C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
5539|TYC 732-1310-1                                                        |Star                           |06 27 37.2548863032 +07 49 46.148852136|203.2503941853530 -01.6815897958681|   1.464 -1.725   |10.47    |~              |    ~     ~    
5540|TYC 732-1478-1                                                        |Star                           |06 28 18.0531876240 +07 41 44.223945180|203.4472418558053 -01.5945627555552|  2.669 -15.681   |10.20    |~              |    ~     ~    
5541|TYC 732-1572-1                                                        |Star                           |06 29 11.5642860552 +07 35 45.166412796|203.6381616566103 -01.4450453663834|  -6.925 -4.455   |9.94     |~              |    ~     ~    
5542|TYC 732-1624-1                                                        |Star                           |06 28 53.0038542048 +07 36 42.846680520|203.5884100421712 -01.5055361478246| -10.623 -3.326   |10.33    |~              |    ~     ~    
5543|TYC 732-1632-1                                                        |Star                           |06 23 36.3921972576 +08 07 21.961241004|202.5274799434399 -02.4244848225068|  7.248 -13.551   |10.21    |~              |    ~     ~    
5544|TYC 732-1692-1                                                        |Star                           |06 28 25.5965086272 +07 55 48.802746432|203.2538115959526 -01.4581056977838|  -0.140 -1.471   |10.50    |~              |    ~     ~    
5545|TYC 732-1910-1                                                        |Star                           |06 27 05.2990722192 +07 36 18.687819348|203.3877742786170 -01.9026380110016|  -0.030 -0.711   |10.13    |~              |    ~     ~    
5546|TYC 732-1930-1                                                        |Star                           |06 23 57.6964621608 +07 37 48.086412456|203.0047428000274 -02.5767387737011|   0.305 -6.226   |9.53     |~              |    ~     ~    
5547|TYC 732-1944-1                                                        |Star                           |06 25 36.2514233136 +07 42 10.523732796|203.1300404866080 -02.1826948603240|   1.690 -7.051   |10.78    |~              |    ~     ~    
5548|TYC 732-1962-1                                                        |Star                           |06 26 30.3638475768 +07 42 38.269996740|203.2272599670193 -01.9813442885962|  -0.146 -8.791   |10.97    |~              |    ~     ~    
5549|TYC 732-2057-1                                                        |Star                           |06 29 49.5999000336 +08 18 20.043275724|203.0819124090839 -00.9770503144309|  -1.258 -1.813   |10.60    |~              |    ~     ~    
5550|TYC 732-2076-1                                                        |Star                           |06 24 32.9889461736 +07 30 07.276046004|203.1861324943408 -02.5074809877068|     3.40 -5.60   |10.70    |~              |    ~     ~    
5551|TYC 732-2128-1                                                        |Star                           |06 26 19.5998339136 +07 39 28.554400584|203.2532525048104 -02.0452030802075|  -3.439 -2.812   |10.27    |~              |    ~     ~    
5552|TYC 732-2208-1                                                        |Star                           |06 23 25.5121161888 +07 34 46.338889836|202.9873404963413 -02.7178586802550|   0.729 -6.278   |10.67    |~              |    ~     ~    
5553|TYC 732-2214-1                                                        |Star                           |06 29 29.8068805992 +07 46 30.954602280|203.5140835522961 -01.2951556288878|  2.005 -11.753   |9.58     |~              |    ~     ~    
5554|TYC 732-2248-1                                                        |Star                           |06 29 43.7517945144 +08 16 28.364509920|203.0982312103451 -01.0127930926424|   1.896 -2.329   |10.86    |~              |    ~     ~    
5555|TYC 732-2433-1                                                        |Star                           |06 26 05.3386961616 +08 20 12.728471280|202.6245914440510 -01.7813000808927|  -1.635 -4.536   |10.36    |~              |    ~     ~    
5556|TYC 732-2441-1                                                        |Star                           |06 27 14.2612498080 +08 18 08.954532900|202.7873039912434 -01.5457726155477|  2.864 -14.605   |10.68    |~              |    ~     ~    
5557|TYC 732-2470-1                                                        |Star                           |06 29 17.5561624728 +08 12 01.321284060|203.1138888821240 -01.1428939297329| -27.326 17.465   |10.50    |~              |    ~     ~    
5558|TYC 732-2581-1                                                        |Star                           |06 24 59.1857495904 +08 10 39.151720128|202.6384764549254 -02.0968967645668|  5.091 -10.657   |9.56     |~              |    ~     ~    
5559|TYC 732-2680-1                                                        |Star                           |06 24 48.2164934160 +08 10 17.498604720|202.6226910243112 -02.1397228332109|  -2.937 -7.043   |10.49    |~              |    ~     ~    
5560|TYC 732-2719-1                                                        |Star                           |06 23 58.0942370328 +08 09 10.013784408|202.5427512675427 -02.3313132948561|  -6.236 -6.631   |10.38    |~              |    ~     ~    
5561|HD 256162                                                             |Star                           |06 22 37.9062970176 +05 44 27.586671792|204.5242613116658 -03.7496077407764|  -1.063 -2.358   |10.98    |A0V            |    ~     ~    
5562|HD 256896                                                             |Star                           |06 24 54.5613005136 +05 46 09.758618004|204.7631877812268 -03.2349396386123|  -2.884 -3.716   |9.67     |A2V            |    ~     ~    
5563|HD 257549                                                             |Star                           |06 27 19.6201202592 +05 58 00.507361872|204.8675728362968 -02.6107557541570|  -0.288 -3.547   |10.83    |B9V            |    ~     ~    
5564|TYC 145-2234-1                                                        |Star                           |06 28 05.0145853584 +05 56 28.731778512|204.9774683699207 -02.4558789220918|  -0.048 -6.029   |10.78    |A5:            |    ~     ~    
5565|TYC 145-2773-1                                                        |Star                           |06 28 05.0091198192 +05 47 17.361834432|205.1133165529113 -02.5268550826166|  11.211 -9.508   |10.70    |F0             |    ~     ~    
5566|TYC 145-2052-1                                                        |Star                           |06 23 17.5821258912 +06 02 41.709585552|204.3315444796502 -03.4625230014885|  -0.562 -2.039   |10.92    |A0V            |    ~     ~    
5567|TYC 145-1978-1                                                        |Star                           |06 25 09.7654962888 +06 08 32.255879748|204.4618482554664 -03.0058107477577|   1.185 -1.675   |10.36    |B9V            |    ~     ~    
5568|HD 257627                                                             |Star                           |06 27 32.4819151296 +06 49 56.853980940|204.1247678957392 -02.1619912200949|  -1.089 -1.243   |10.67    |B9             |    ~     ~    
5569|HD 257780                                                             |Star                           |06 27 52.8253436256 +06 08 54.185840268|204.7703845030775 -02.4046688728046|  -1.407 -2.599   |10.83    |B9V            |    ~     ~    
5570|HD 258077                                                             |Star                           |06 28 43.6857177912 +06 47 58.474835628|204.2906278778513 -01.9162528504336|   0.833 -6.042   |10.61    |B9V            |    ~     ~    
5571|HD 257977                                                             |Star                           |06 28 28.7331926856 +07 07 21.701625312|203.9754922346421 -01.8212512985498|  -2.865 -2.525   |10.73    |A2V            |    ~     ~    
5572|HD 256183                                                             |Star                           |06 22 37.3745961216 +05 30 04.649821488|204.7358199955131 -03.8632007809733|   0.845 -8.127   |9.73     |A2             |    ~     ~    
5573|HD 44586                                                              |Star                           |06 22 44.6132369136 +05 07 31.875894768|205.0832052757094 -04.0115176811364|   0.134 -3.813   |8.35     |B9             |    ~     ~    
5574|HD 256268                                                             |Star                           |06 22 55.1245101024 +05 14 28.033277676|205.0009747892715 -03.9191261521078|   1.626 -4.702   |9.57     |A2             |    ~     ~    
5575|HD 44739                                                              |Star                           |06 23 36.7956214632 +05 00 57.826641816|205.2812817591284 -03.8706732806993|  -1.864 -2.696   |9.51     |A0             |    ~     ~    
5576|HD 256519                                                             |Star                           |06 23 46.0224504120 +05 28 06.895729308|204.8976126541146 -03.6264055567969| -2.915 -12.522   |9.05     |K0             |    ~     ~    
5577|HD 44870                                                              |Star                           |06 24 22.7861387928 +05 19 26.742214308|205.0968222642901 -03.5585449987070|  -0.668 -6.239   |8.83     |A0             |    ~     ~    
5578|HD 44871                                                              |Star                           |06 24 25.2170426400 +05 17 57.006668976|205.1236325211579 -03.5611957433971|  -1.302 -2.764   |9.16     |A0             |    ~     ~    
5579|HD 256803                                                             |Star                           |06 24 36.1497719712 +05 15 44.185566708|205.1774794789415 -03.5381665273106|  -9.710 -6.332   |9.21     |K0             |    ~     ~    
5580|HD 256830                                                             |Star                           |06 24 43.5450389208 +05 22 15.072039228|205.0954226668746 -03.4605610059889|   5.729 -5.160   |9.99     |K2             |    ~     ~    
5581|HD 256832                                                             |Star                           |06 24 45.4774848216 +05 00 53.878465476|205.4149462166358 -03.6187187036388|   -0.085 1.920   |10.24    |G5             |    ~     ~    
5582|HD 44602                                                              |Star                           |06 22 45.2414986872 +04 12 37.201621068|205.8969637235459 -04.4345612230707|-12.677 -36.628   |6.88     |A2III          |    ~     ~    
5583|HD 44601                                                              |Star                           |06 22 47.7170607288 +04 30 41.940052704|205.6341342707913 -04.2855068044952|   5.539 12.248   |8.15     |G8/K0III       |    ~     ~    
5584|HD 256436                                                             |Star                           |06 23 21.3098846784 +04 35 13.663155552|205.6321003686921 -04.1268837372509|  -0.847 -3.825   |10.33    |A0             |    ~     ~    
5585|HD 44730                                                              |Star                           |06 23 30.5103065304 +04 37 35.691868956|205.6148622282953 -04.0747209296604| -0.825 -10.393   |8.45     |K4(III)        |    ~     ~    
5586|* eps Mon A                                                           |Star                           |06 23 46.0854171912 +04 35 34.376500932|205.6748937166424 -04.0330776695613|  -15.127 7.701   |4.398    |A8V(n)         |    ~     ~    
5587|* eps Mon                                                             |Double or Multiple Star        |06 23 46.2 +04 35 44                   |205.6727 -04.0314                  |            ~ ~   |4.31     |A7IV+F4V       |    ~     ~    
5588|* eps Mon B                                                           |Star                           |06 23 46.4858893296 +04 35 45.135912588|205.6730141206198 -04.0302169814478|  -18.845 0.658   |6.60     |F5V            |    ~     ~    
5589|HD 256677                                                             |Star                           |06 24 09.8096997888 +04 17 27.291703056|205.9889032997817 -04.0858955635976|   2.273 -1.870   |9.8      |K7             |    ~     ~    
5590|HD 44907                                                              |Double or Multiple Star        |06 24 32.4320353 +04 11 11.674970      |206.1252767635 -04.0509862107      |    -4.31 -4.49   |7.33     |B9III          |0.0017  0.0    
5591|HD 44906                                                              |Star                           |06 24 37.1806121064 +04 28 59.672413020|205.8709628056371 -03.8959541692849|  1.661 -18.892   |8.17     |K2III          |    ~     ~    
5592|HD 44966                                                              |High Proper Motion Star        |06 24 50.1798839088 +04 52 19.179533028|205.5509213983063 -03.6677842380533|-37.651 -37.383   |7.05     |F5/6V          |    ~     ~    
5593|HD 44638                                                              |Star                           |06 22 55.5005985960 +03 45 38.783382876|206.3162865263793 -04.6053935461728|  -6.693 -3.727   |7.01     |K0/1III        |    ~     ~    
5594|TYC 137-247-1                                                         |Star                           |06 23 01.8295181256 +03 36 07.089731892|206.4696926875931 -04.6557036665007|  -0.501 -8.847   |10.97    |A:             |    ~     ~    
5595|HD 44700                                                              |Star                           |06 23 18.4918270464 +03 45 52.163166492|206.3574462476325 -04.5189764567738|   3.331 -8.605   |6.385    |B3III          |    ~     ~    
5596|HD 256613                                                             |Star                           |06 23 52.6752020208 +03 09 25.724521116|206.9635182868118 -04.6742673446690|  -2.633 -3.805   |10.68    |A              |    ~     ~    
5597|HD 256648                                                             |Star                           |06 23 59.6759779536 +03 31 29.296950924|206.6501003108007 -04.4782680422350|  -2.050 -4.618   |10.88    |A0             |    ~     ~    
5598|HD 256708                                                             |Star                           |06 24 11.4286805808 +03 31 31.339984116|206.6722961317275 -04.4346836694085|  10.227 -5.414   |10.69    |K0             |    ~     ~    
5599|HD 44854                                                              |Star                           |06 24 10.7015063904 +03 05 31.646326704|207.0561650445550 -04.6378578516671|  -5.916 -7.718   |9.43     |A0V            |    ~     ~    
5600|AG+03 794                                                             |Long-Period Variable Candidate |06 24 46.9387811208 +03 45 47.741437656|206.5294050725404 -04.1936601296531|  -1.126 -5.169   |8.73     |M4/5III        |    ~     ~    
5601|HD 44946                                                              |Star                           |06 24 39.5072135088 +02 51 06.433737264|207.3255726784715 -04.6426850093725| -13.595 -9.019   |8.83     |G8IV           |    ~     ~    
5602|HD 288622                                                             |Star                           |06 22 59.9548515912 +02 47 59.359226748|207.1795791636885 -05.0340672754858|   5.224 17.609   |10.43    |K5             |    ~     ~    
5603|HD 288621                                                             |Star                           |06 23 43.2450408576 +02 55 58.584620028|207.1447595602404 -04.8127733033135|  -4.435 -4.101   |10.71    |A0             |    ~     ~    
5604|HD 288651                                                             |Star                           |06 24 19.9165210248 +02 51 46.232647884|207.2779321705360 -04.7098731053180| -12.899 -4.144   |9.97     |A7             |    ~     ~    
5605|BD+03 1230                                                            |Star                           |06 24 17.9568369144 +03 43 29.361423072|206.5076109355165 -04.3182615686913| 11.142 -14.991   |9.54     |~              |    ~     ~    
5606|Cl Collinder 92                                                       |Open Cluster                   |06 22 55.2 +05 06 00                   |205.1263 -03.9845                  |  -0.670 -2.120   |8.6      |~              |    ~     ~    
5607|BD+03 1231                                                            |Long-Period Variable Candidate |06 24 20.7457200528 +03 42 42.372319104|206.5245979403919 -04.3140296508389|  -1.246 -2.707   |9.75     |M3             |    ~     ~    
5608|IRAS 06219+0311                                                       |Star                           |06 24 38.2362173736 +03 09 41.465157048|207.0475925074903 -04.5041946044827|   0.357 -2.185   |10.87    |M2/3           |    ~     ~    
5609|[SC93] 167                                                            |Star                           |06 23 12.0 +05 12 00                   |205.0701 -03.8763                  |            ~ ~   |8.04     |B9             |    ~     ~    
5610|[SC93] 188                                                            |Star                           |06 24 54.0 +05 24 00                   |205.0897 -03.4086                  |            ~ ~   |8.16     |A0             |    ~     ~    
5611|CCDM J06232+0353B                                                     |Star                           |06 23 14.5329945288 +03 53 22.237088172|206.2386804167520 -04.4755896540623|  0.474 -33.549   |9.7      |~              |    ~     ~    
5612|LS VI +05 3                                                           |Star                           |06 26 07.5932928600 +05 11 33.431825580|205.4156885832188 -03.2344013645513|   -0.696 0.408   |10.77    |B              |    ~     ~    
5613|HD 257400                                                             |Star                           |06 26 42.9407113416 +05 18 34.199482860|205.3800754608498 -03.0502644562709|  -3.700 -1.074   |9.36     |K0             |    ~     ~    
5614|TYC 141-613-1                                                         |Star                           |06 26 54.9078192576 +05 20 26.503895616|205.3754394710279 -02.9918124591050| -10.592 -8.258   |10.6     |F8             |    ~     ~    
5615|BD+05 1242                                                            |Star                           |06 27 27.8293445880 +05 06 51.691976280|205.6396650450583 -02.9756107497842|  1.076 -14.908   |8.82     |~              |    ~     ~    
5616|HD 45431                                                              |Star                           |06 27 27.9319999344 +05 10 31.532804472|205.5856662036474 -02.9469532090999|   0.746 -1.519   |6.72     |~              |    ~     ~    
5617|HD 257703                                                             |Star                           |06 27 39.8922254952 +05 32 37.388434236|205.2818744104722 -02.7323865586151|  -3.170 -4.774   |9.67     |A0             |    ~     ~    
5618|AG+05 796                                                             |Star                           |06 28 14.2286386344 +05 16 24.602178108|205.5876780254138 -02.7312739985471|   -0.953 2.962   |8.509    |~              |    ~     ~    
5619|V* V648 Mon                                                           |alpha2 CVn Variable            |06 28 13.9590789408 +05 16 20.115418044|205.5882658278013 -02.7328422584135|    1.305 0.925   |7.603    |A0IIIpSiSr     |    ~     ~    
5620|TYC 141-143-1                                                         |Star                           |06 28 40.7747699256 +05 28 48.268726068|205.4553855315701 -02.5380502595896|   3.127 -0.051   |10.88    |K0             |    ~     ~    
5621|HD 45723                                                              |Star                           |06 29 21.4824265032 +05 09 03.100358556|205.8257456926797 -02.5405867991113|  -1.984 -0.537   |9.55     |A3IV           |    ~     ~    
5622|HD 258403                                                             |Star                           |06 29 46.2548367864 +05 20 39.744895776|205.7015481175787 -02.3599902629492| -4.915 -11.137   |9.36     |F0III          |    ~     ~    
5623|HD 257000                                                             |Star                           |06 25 17.7560544888 +04 40 38.625557376|205.7768919400700 -03.6566109824667|  7.593 -33.070   |9.97     |F0             |    ~     ~    
5624|HD 257033                                                             |Star                           |06 25 23.9941366104 +04 31 37.172759520|205.9224684027088 -03.7033791644974|   0.865 -2.524   |9.61     |F0             |    ~     ~    
5625|HD 257101                                                             |Star                           |06 25 37.6867354776 +04 51 01.295282988|205.6617926345087 -03.5030886518293|  -1.753 -0.113   |9.45     |A2             |    ~     ~    
5626|HD 257131                                                             |Star                           |06 25 42.4178414256 +04 10 17.132334672|206.2737914329889 -03.8002677875528|  -3.731 -9.259   |9.34     |A7             |    ~     ~    
5627|HD 45136                                                              |Double or Multiple Star        |06 25 54.4436 +04 31 24.136            |205.9844106 -03.5929785            |     1.90 -2.60   |8.07     |A0V            |    ~     ~    
5628|HD 45151                                                              |Star                           |06 25 58.2035566824 +04 25 17.296581036|206.0821475071984 -03.6263384814136|  -2.814 -8.451   |7.87     |B5IV           |    ~     ~    
5629|HD 45211                                                              |Star                           |06 26 24.1018890000 +04 06 12.460368096|206.4145210482044 -03.6781714557068|  -2.350 -4.779   |7.54     |G8III          |    ~     ~    
5630|HD 45280                                                              |Star                           |06 26 39.4577293776 +04 50 07.956537540|205.7940087361165 -03.2826991335780|  -0.957 22.540   |8.06     |K0III          |    ~     ~    
5631|AG+04 763                                                             |Star                           |06 26 53.0700830688 +04 03 59.959604016|206.5030241699301 -03.5884604129132|   -6.188 1.865   |8.82     |~              |    ~     ~    
5632|HD 45315                                                              |Star                           |06 26 52.7439739632 +04 04 10.791964488|206.4997230128735 -03.5882704707725|  -4.713 -9.705   |8.53     |K0III/IV       |    ~     ~    
5633|HD 45339                                                              |Double or Multiple Star        |06 26 56.22492 +04 09 13.0193          |206.43185038 -03.53661468          |     0.84 -5.43   |8.99     |A8/9V          |0.0050  0.0    
5634|HD 257551                                                             |Star                           |06 27 12.4050809016 +04 49 18.080633676|205.8697562773225 -03.1678738003164| -15.093 -9.191   |9.35     |K0             |    ~     ~    
5635|HD 45432                                                              |Star                           |06 27 25.7483003184 +04 43 40.453923792|205.9787009917660 -03.1621752021229|  -5.218 -5.571   |9.29     |A0V            |    ~     ~    
5636|HD 45446                                                              |Star                           |06 27 31.2958533024 +04 12 01.744219152|206.4577402420689 -03.3857202527156|  -3.081 -2.984   |9.35     |A1IV           |    ~     ~    
5637|HD 45489                                                              |Star                           |06 27 54.0374222040 +04 47 45.548128860|205.9726928632675 -03.0265395509483|   2.764 -4.085   |9.18     |A0IV/V         |    ~     ~    
5638|HD 257871                                                             |Star                           |06 28 04.9123867104 +04 53 51.243154908|205.9034321855450 -02.9395142967881|  -1.843 -0.525   |10.72    |F0             |    ~     ~    
5639|HD 45545                                                              |Star                           |06 28 16.3212382824 +04 16 45.294796848|206.4744052192496 -03.1834073613823| -3.018 -25.291   |8.40     |K4III          |    ~     ~    
5640|HD 45581                                                              |Star                           |06 28 27.3426297600 +04 24 30.617024256|206.3808016392783 -03.0830655481148|   2.840 -2.744   |9.29     |B9V            |    ~     ~    
5641|HD 258143                                                             |Asymptotic Giant Branch Star   |06 28 53.5174145856 +04 24 45.044209116|206.4275577633354 -02.9847795334527|  -6.113 -7.355   |9.41     |K2             |    ~     ~    
5642|HD 45760                                                              |Star                           |06 29 26.5020183672 +04 15 11.698812252|206.6323821905654 -02.9367769313621|  -7.985 -8.984   |7.55     |A0V            |    ~     ~    
5643|HD 258336                                                             |Star                           |06 29 29.4358495224 +04 17 32.773210152|206.6032107763616 -02.9078720637655|  -5.153 -2.169   |10.16    |F0             |    ~     ~    
5644|HD 45770                                                              |Star                           |06 29 36.0083756664 +04 28 07.849923816|206.4591576809037 -02.8022011425290|  -1.084 -1.202   |9.35     |B8Ib/II        |    ~     ~    
5645|V* SW Mon                                                             |Long-Period Variable           |06 27 00.9759499560 +05 22 43.790629584|205.3532848347682 -02.9518314411877|   -5.560 3.607   |10.07    |M5III          |    ~     ~    
5646|HD 258496                                                             |Star                           |06 29 59.0542960296 +03 55 59.146393152|206.9793003872160 -02.9644868024574| -1.482 -11.177   |10.41    |F2             |    ~     ~    
5647|HD 257001                                                             |Star                           |06 25 15.1725212160 +03 44 56.232746268|206.5966048024301 -04.0962310620424|  -1.173 -4.846   |10.69    |A0             |    ~     ~    
5648|HD 45049                                                              |Double or Multiple Star        |06 25 16.2833142216 +03 00 20.496348540|207.2595890073004 -04.4358521196000|-10.117 -18.613   |8.60     |G8IV           |    ~     ~    
5649|HD 45048                                                              |Star                           |06 25 20.7323152872 +03 50 54.663357984|206.5188513057758 -04.0296574596526|  -0.702 -1.891   |9.36     |B9IV           |    ~     ~    
5650|BD+03 1239                                                            |Star                           |06 25 40.1900466096 +02 56 04.557769512|207.3689199460168 -04.3804669920132|  -0.486 -2.604   |10.46    |F              |    ~     ~    
5651|HD 45281                                                              |Star                           |06 26 37.9197638472 +03 36 29.748444696|206.8811602381796 -03.8562407701997|  -43.806 4.141   |8.73     |G0V            |    ~     ~    
5652|HD 45282                                                              |Chemically Peculiar Star       |06 26 40.7720940072 +03 25 29.792391024|207.0496062747037 -03.9304303925210|  4.574 -89.152   |8.03     |Gwl            |    ~     ~    
5653|HD 45297                                                              |Star                           |06 26 42.5717287296 +03 52 18.420390624|206.6559381781908 -03.7172688744492|   0.475 -2.252   |9.23     |B3/5II/III     |    ~     ~    
5654|HD 257427                                                             |Star                           |06 26 44.9459611032 +03 23 20.159297268|207.0896568835881 -03.9316682368858|  -1.154 -2.728   |9.68     |B9             |    ~     ~    
5655|HD 45316                                                              |Star                           |06 26 46.5926424888 +03 09 49.193536788|207.2931184225101 -04.0296254700729|  -3.123 -8.827   |8.30     |A0/1V          |    ~     ~    
5656|HD 45356                                                              |Star                           |06 27 03.5590337568 +03 23 02.942248020|207.1297492826569 -03.8652106588415|   -5.618 2.333   |8.31     |G8IV           |    ~     ~    
5657|HD 257552                                                             |Star                           |06 27 09.9790866144 +03 23 11.969315232|207.1398797272637 -03.8403670668893| -1.613 -16.193   |10.38    |F0             |    ~     ~    
5658|HD 258337                                                             |Star                           |06 29 28.1932086168 +03 37 25.737996180|207.1948586919058 -03.2209768189238|  -8.418 -8.326   |9.73     |F0             |    ~     ~    
5659|HD 258373                                                             |Star                           |06 29 32.5473227664 +03 06 08.049679776|207.6668654660555 -03.4453355071480|    6.938 7.808   |9.71     |G0             |    ~     ~    
5660|HD 258529                                                             |Double or Multiple Star        |06 29 59.476 +03 22 32.80              |207.475388 -03.219870              |      -0.6 -6.5   |10.65    |A0             |    ~     ~    
5661|HD 45415                                                              |Star                           |06 27 20.4505611720 +02 54 29.836279548|207.5854093803589 -04.0225007003917| -43.751 13.052   |5.543    |G8III          |    ~     ~    
5662|HD 288691                                                             |High Proper Motion Star        |06 28 20.2714741992 +02 50 58.184687436|207.7527537967379 -03.8287111947847| 21.738 -52.876   |9.97     |K2             |    ~     ~    
5663|HD 288726                                                             |Star                           |06 29 28.1676747048 +02 54 14.659110036|207.8346678985055 -03.5527986255564| 10.546 -11.554   |10.79    |G              |    ~     ~    
5664|IRAS 06232+0316                                                       |Star                           |06 25 52.3788671256 +03 14 13.376692500|207.1234190923331 -04.1957672816275|  -1.160 -8.870   |9.78     |M2/3?          |    ~     ~    
5665|ADS 5104 AB                                                           |Double or Multiple Star        |06 28 40.53 +04 52 47.3                |205.98768 -02.81663                |            ~ ~   |9.5      |~              |    ~     ~    
5666|GSC 00137-00922                                                       |Chemically Peculiar Star       |06 28 55.5598399032 +03 35 44.181350952|207.1572313745776 -03.3543929139539|  -5.590 -1.021   |10.7     |A3mF3          |    ~     ~    
5667|TYC 141-390-1                                                         |Star                           |06 29 22.0529776416 +04 43 46.344097560|206.2008661809676 -02.7331997195100|   -2.340 0.201   |10.67    |~              |    ~     ~    
5668|TYC 137-83-1                                                          |Star                           |06 29 12.6308235240 +03 24 30.793026780|207.3562883775366 -03.3776725707798|  -4.650 -8.604   |10.68    |~              |    ~     ~    
5669|TYC 137-189-1                                                         |Star                           |06 23 49.2363595440 +03 34 35.601307428|206.5839242407486 -04.4927785598215| -2.636 -10.721   |10.53    |~              |    ~     ~    
5670|HD 256582                                                             |Star                           |06 23 48.5324753136 +03 42 03.780525996|206.4718988341931 -04.4376990158886|  -0.635 -1.815   |10.01    |B5             |    ~     ~    
5671|TYC 137-381-1                                                         |Star                           |06 27 35.5738434768 +03 38 14.684827740|206.9662565990808 -03.6301502146222|  -14.106 6.861   |10.89    |~              |    ~     ~    
5672|HD 256951                                                             |Chemically Peculiar Star       |06 25 03.0224905296 +03 32 37.326122628|206.7555973778680 -04.2360010215368|  -0.062 -1.545   |10.44    |B7IVHgMn       |    ~     ~    
5673|TYC 137-479-1                                                         |Star                           |06 28 40.0539729216 +03 11 59.096239692|207.4793128660953 -03.5941988048209|  -4.174 -2.880   |10.43    |A2V            |    ~     ~    
5674|TYC 137-499-1                                                         |Star                           |06 28 25.4522986464 +03 33 04.958511768|207.1386654451417 -03.4858797354605|  -1.430 -2.603   |10.16    |~              |    ~     ~    
5675|HD 257981                                                             |Star                           |06 28 16.9818027312 +03 08 41.542017324|207.4837508689855 -03.7046760862352|  -3.906 -2.893   |10.60    |A2V            |    ~     ~    
5676|TYC 137-535-1                                                         |Star                           |06 28 26.9501513640 +03 41 42.101986740|207.0138787814748 -03.4140530354612| -1.334 -15.241   |10.56    |~              |    ~     ~    
5677|TYC 137-627-1                                                         |Star                           |06 29 57.8250474624 +03 06 07.091877492|207.7156364869280 -03.3521129416733| 21.563 -44.286   |9.45     |~              |    ~     ~    
5678|TYC 137-657-1                                                         |Star                           |06 26 24.4162598664 +03 29 50.024759316|206.9538400904023 -03.9573562423351| 32.285 -25.662   |10.52    |~              |    ~     ~    
5679|TYC 137-789-1                                                         |Star                           |06 28 17.1099674064 +03 14 13.620592212|207.4019813442895 -03.6616576497264|   2.632 -4.865   |10.44    |~              |    ~     ~    
5680|TYC 137-797-1                                                         |Star                           |06 23 51.6730870392 +03 14 32.228015532|206.8858576963426 -04.6385636224819| -26.099 -4.454   |10.183   |~              |    ~     ~    
5681|TYC 137-802-1                                                         |Star                           |06 26 19.7994811224 +03 08 36.802002264|207.2593959956488 -04.1377841049190|  -11.512 1.086   |10.45    |~              |    ~     ~    
5682|TYC 137-819-1                                                         |Star                           |06 26 24.2756 +03 10 48.423            |207.2355062 -04.1043814            |-23.950 -12.401   |9.81     |~              |    ~     ~    
5683|TYC 137-869-1                                                         |Star                           |06 29 01.0965474912 +03 28 22.170396180|207.2769977560853 -03.3906002082661|   -1.286 1.223   |10.40    |~              |    ~     ~    
5684|TYC 137-892-1                                                         |Star                           |06 24 40.0301570952 +03 16 57.152472744|206.9434247333202 -04.4416035717960|  -2.626 -4.286   |10.86    |~              |    ~     ~    
5685|TYC 137-979-1                                                         |High Proper Motion Star        |06 23 47.6614357104 +03 17 54.230557272|206.8282057825843 -04.6273847697864|  7.081 -49.912   |10.16    |~              |    ~     ~    
5686|HD 257631                                                             |Star                           |06 27 16.9249208808 +02 59 24.956404944|207.5057129080328 -03.9976989625024|  -0.804 -1.794   |10.89    |B8V            |    ~     ~    
5687|TYC 137-1006-1                                                        |Star                           |06 23 33.5850685128 +03 05 13.435743156|206.9889791655742 -04.7771049690925|  9.487 -32.366   |10.82    |~              |    ~     ~    
5688|TYC 137-1016-1                                                        |Star                           |06 22 52.6785618336 +02 58 44.197109544|207.0061153545609 -04.9780242279095| -40.964 -9.186   |10.43    |~              |    ~     ~    
5689|TYC 137-1030-1                                                        |Star                           |06 25 54.9219405528 +02 57 31.145868000|207.3759166338641 -04.3149861475217|   1.139 -1.871   |10.29    |~              |    ~     ~    
5690|TYC 137-1031-1                                                        |High Proper Motion Star        |06 23 09.3245737632 +03 22 44.100835716|206.6825110398598 -04.7314379055073|-38.401 -32.560   |10.49    |~              |    ~     ~    
5691|TYC 137-1039-1                                                        |Star                           |06 26 16.8957452472 +02 57 24.059153016|207.4200037786984 -04.2347897609254|   0.496 -4.763   |10.72    |~              |    ~     ~    
5692|LAMOST J062321.45+025706.7                                            |White Dwarf                    |06 23 21.4537432992 +02 57 06.693824700|207.0858293246272 -04.8844137957469| -16.344 -7.515   |10.38    |DA?            |    ~     ~    
5693|HD 258372                                                             |Emission-line Star             |06 29 30.0227663664 +03 12 07.787353608|207.5731719940894 -03.4086115778311|  -0.916 -3.396   |10.97    |B9V            |    ~     ~    
5694|TYC 141-6-1                                                           |Star                           |06 28 44.2333112472 +04 57 11.730231288|205.9295904229948 -02.7690336252417|  -5.019 -4.647   |9.43     |~              |    ~     ~    
