C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
86  |TYC 4537-589-1                                                        |Star                           |06 15 39.1974236688 +81 27 19.281235356|132.2897908266472 +25.4903643697653| -9.256 -37.523   |10.58    |~              |    ~     ~    
87  |TYC 4537-648-1                                                        |Star                           |06 18 20.1783484608 +81 31 45.288571044|132.2342044707086 +25.6034640320712|  -5.041 24.019   |10.36    |~              |    ~     ~    
88  |HD 42702                                                              |High Proper Motion Star        |06 23 07.1644822704 +78 23 47.389989984|135.6682507187908 +25.1254795671834|-25.181 -72.077   |8.30     |G5             |    ~     ~    
89  |HD 43852                                                              |Star                           |06 29 22.9814319936 +78 17 07.331334900|135.8610937503705 +25.4119573029914|-12.389 -11.373   |7.95     |K2             |    ~     ~    
90  |HD 43748                                                              |Star                           |06 28 33.5052489000 +77 57 33.730917804|136.2053932465230 +25.3057587786415| -3.688 -33.538   |7.97     |G5III-IV       |    ~     ~    
91  |BD+77 230                                                             |Star                           |06 17 43.0393565592 +77 57 47.282602392|136.0620680898041 +24.7556260593084|  3.463 -32.014   |9.42     |F8             |    ~     ~    
92  |BD+77 231                                                             |Star                           |06 17 04.9378456704 +77 15 03.960345852|136.8114412378062 +24.5451954527893| -8.802 -48.567   |9.59     |F8             |    ~     ~    
93  |AG+77 159                                                             |Spectroscopic Binary           |06 19 51.7824014376 +77 09 18.034416396|136.9558172438538 +24.6705464319380|  2.856 -39.966   |9.95     |K2             |    ~     ~    
94  |BD+77 232                                                             |Star                           |06 21 54.7205001816 +77 45 20.169434484|136.3419283559381 +24.9205621114910|   7.688 -3.035   |9.61     |K0             |    ~     ~    
95  |BD+77 233                                                             |Star                           |06 21 34.8345984936 +76 59 32.376885540|137.1550094611411 +24.7247751940223|    1.421 2.998   |9.00     |K0             |    ~     ~    
96  |BD+77 234                                                             |Star                           |06 23 23.8937631120 +77 13 38.162383788|136.9292476773470 +24.8779821904503| -9.024 -12.051   |10.06    |A2             |    ~     ~    
97  |HD 43556                                                              |Star                           |06 26 52.7213042880 +77 29 18.129404040|136.6943975631518 +25.1211515448651|   4.901 30.040   |8.55     |F0             |    ~     ~    
98  |HD 43723                                                              |Star                           |06 27 39.8306705496 +77 14 26.988510444|136.9716346742659 +25.1108635621778|  -3.780 -4.076   |8.15     |K5             |    ~     ~    
99  |AG+77 165                                                             |Spectroscopic Binary           |06 28 07.0439509944 +77 10 16.887731916|137.0524722295379 +25.1208366150871|  0.284 -12.261   |10.27    |K0             |    ~     ~    
