C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:17:23

dec< 0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5506

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
54  |HD 185450                                                                                                |Star                              |19 40 57.2783538888 -41 23 19.283557344|357.8283023116499 -26.3992277690633| -3.319 -14.935   |8.58     |Fm_dD          |    ~     ~          |    1|  218.584   pc  |  -0.9795     +0.9795    |paral   |2020yCat.1350....0G
55  |HD 184555                                                                                                |Star                              |19 36 52.3837935768 -41 43 43.254887772|357.2533323473160 -25.7420849578236|    1.873 6.567   |10.00    |F2V            |    ~     ~          |    1|  264.578   pc  |  -1.4420     +1.4420    |paral   |2020yCat.1350....0G
56  |HD 184840                                                                                                |Star                              |19 38 11.9669108040 -41 48 16.084084788|357.2394171310680 -26.0004582890246| 25.727 -24.573   |7.56     |A5V(+F)        |    ~     ~          |    1|  170.926   pc  |  -0.8443     +0.8443    |paral   |2020yCat.1350....0G
57  |HD 185388                                                                                                |Star                              |19 40 40.1848436112 -41 47 50.106278472|357.3711293894490 -26.4454761777039| 22.599 -22.250   |8.04     |K3III          |    ~     ~          |    1|  373.832   pc  |  -2.8789     +2.8789    |paral   |2020yCat.1350....0G
58  |HD 183904                                                                                                |Star                              |19 33 32.8457986104 -42 08 46.934576664|356.6335881452144 -25.2480881545337|-10.575 -16.105   |10.14    |G3V            |    ~     ~          |    1|  168.663   pc  |  -0.3869     +0.3869    |paral   |2020yCat.1350....0G
59  |HD 184000                                                                                                |Star                              |19 34 06.3346564968 -42 28 50.285432100|356.3042706514008 -25.4319215604637|    6.131 1.888   |10.13    |B9V            |    ~     ~          |    1|  559.848   pc  |  -9.8417     +9.8417    |paral   |2020yCat.1350....0G
60  |HD 184234                                                                                                |Star                              |19 35 16.8781773264 -42 11 02.793090624|356.6823791667508 -25.5685723438615|-12.424 -22.489   |8.70     |F8V            |    ~     ~          |    1|  151.281   pc  |  -0.4509     +0.4509    |paral   |2020yCat.1350....0G
61  |HD 184556                                                                                                |Star                              |19 36 48.7918529112 -42 15 56.099408184|356.6722894841833 -25.8635002714346| -0.820 -15.088   |8.47     |A1IV/V         |    ~     ~          |    1|  269.484   pc  |  -6.9789     +6.9789    |paral   |2020yCat.1350....0G
62  |HD 184581                                                                                                |Star                              |19 37 03.5031956112 -41 59 53.015769780|356.9728825364356 -25.8420511804583|  23.543 -9.738   |8.88     |K0III          |    ~     ~          |    1|  379.997   pc  |  -7.7108     +7.7108    |paral   |2020yCat.1350....0G
63  |HD 184991                                                                                                |Double or Multiple Star           |19 38 53.85873 -42 07 05.4066          |356.93552453 -26.20239871          |    -20.91 2.78   |9.89     |F5V            |    ~     ~          |    0|                |                         |        |                   
