C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:05:06

dec >=0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8634

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
42  |TYC 4618-782-1                                                                                                                              |Star                              |06 36 19.1023525272 +83 05 26.159692524|130.6377521012790 +26.4626389704672|    1.953 4.142  |10.93    |~                  |    ~     ~    |    1| 1504.212   pc  | -26.6993    +26.6993  |paral   |2020yCat.1350....0G
43  |TYC 4618-1044-1                                                                                                                             |High Proper Motion Star           |06 41 30.7874544792 +84 04 54.316497720|129.5542801811282 +26.7167880971828|-14.630 -71.154  |10.87    |~                  |    ~     ~    |    1|  159.157   pc  |  -0.2761     +0.2761  |paral   |2020yCat.1350....0G
44  |BD+81 216                                                                                                                                   |Star                              |06 32 39.8322780240 +81 12 55.723471344|132.6878092777540 +26.0728385491251| -0.321 -23.453  |10.21    |K0                 |    ~     ~    |    1|  695.459   pc  |  -5.5621     +5.5621  |paral   |2020yCat.1350....0G
45  |BD+81 217                                                                                                                                   |Star                              |06 34 46.9495351296 +81 04 44.961624912|132.8517648437135 +26.1324191817231| 21.304 -37.199  |10.65    |K0                 |    ~     ~    |    1|  426.148   pc  |  -2.1974     +2.1974  |paral   |2020yCat.1350....0G
46  |BD+81 219                                                                                                                                   |Double or Multiple Star           |06 38 36.3371341488 +81 08 02.205532896|132.8146295845764 +26.2864472056805|   0.706 -1.364  |10.627   |F0                 |    ~     ~    |    1|  390.366   pc  |  -1.7372     +1.7372  |paral   |2020yCat.1350....0G
47  |BD+80 208                                                                                                                                   |Star                              |06 32 10.3488859464 +80 55 19.755949368|133.0066787165761 +26.0071088841788|  10.843 -5.521  |10.14    |F5                 |    ~     ~    |    1|  447.648   pc  |  -2.4648     +2.4648  |paral   |2020yCat.1350....0G
48  |BD+80 209                                                                                                                                   |Star                              |06 32 05.5280678400 +80 46 07.895963064|133.1743653161802 +25.9789755674272| -0.854 -18.403  |9.11     |K0                 |    ~     ~    |    1|  463.092   pc  |  -2.8951     +2.8951  |paral   |2020yCat.1350....0G
49  |HD 44490                                                                                                                                    |Star                              |06 35 26.9201633544 +80 34 23.596499460|133.4132132251858 +26.0824837778704|   -1.011 0.717  |7.15     |K0                 |    ~     ~    |    1|  446.150   pc  |  -3.1649     +3.1649  |paral   |2020yCat.1350....0G
50  |BD+80 215                                                                                                                                   |Star                              |06 38 22.1411527344 +80 11 44.894381244|133.8489122577077 +26.1477334594605|-17.994 -14.121  |8.81     |K0                 |    ~     ~    |    1|  400.000   pc  |  -2.1920     +2.1920  |paral   |2020yCat.1350....0G
51  |TYC 4533-776-1                                                                                                                              |Star                              |06 32 21.0605054448 +79 43 24.955722552|134.3219306395535 +25.8146725517243|  -3.630 -5.648  |10.28    |K0                 |    ~     ~    |    1|  835.492   pc  |  -8.0973     +8.0973  |paral   |2020yCat.1350....0G
52  |HD 44280                                                                                                                                    |Star                              |06 32 56.3058342768 +79 28 06.109264236|134.6062981634044 +25.7971288573791| -8.846 -21.810  |7.95     |G0                 |    ~     ~    |    1|  170.146   pc  |  -0.5153     +0.5153  |paral   |2020yCat.1350....0G
53  |HD 44385                                                                                                                                    |Star                              |06 33 03.9982186368 +78 58 46.294030776|135.1420633646133 +25.7186272491144| -4.501 -17.155  |6.60     |K0                 |    ~     ~    |    1|  221.131   pc  |  -0.8460     +0.8460  |paral   |2020yCat.1350....0G
54  |BD+79 203                                                                                                                                   |Star                              |06 34 35.1779727648 +79 31 48.263338560|134.5526515830343 +25.8814724100619|   1.635 -0.541  |9.38     |K2                 |    ~     ~    |    1| 1330.141   pc  | -27.7776    +27.7776  |paral   |2020yCat.1350....0G
55  |BD+79 204                                                                                                                                   |Star                              |06 33 55.1640692280 +78 58 33.046947336|135.1538988739085 +25.7581402276445|    0.974 0.706  |9.38     |K2                 |    ~     ~    |    1|  481.232   pc  |  -3.0801     +3.0801  |paral   |2020yCat.1350....0G
56  |HD 44706                                                                                                                                    |Star                              |06 34 58.2972977976 +79 11 27.196542672|134.9277206253250 +25.8433385161406| -12.734 13.958  |8.70     |F5                 |    ~     ~    |    1|  192.356   pc  |  -0.5920     +0.5920  |paral   |2020yCat.1350....0G
57  |BD+79 206                                                                                                                                   |Star                              |06 36 39.5562341664 +79 25 36.855790608|134.6826857219843 +25.9584199715731|-12.372 -34.984  |9.46     |K0                 |    ~     ~    |    1|  269.585   pc  |  -1.9550     +1.9550  |paral   |2020yCat.1350....0G
58  |HD 45560                                                                                                                                    |Star                              |06 40 16.5961323360 +79 35 58.252482384|134.5196782198502 +26.1466697379543|  -2.413 15.593  |6.760    |A1V                |    ~     ~    |    1|  141.569   pc  |  -2.1946     +2.1946  |paral   |2020yCat.1350....0G
59  |HD 45592                                                                                                                                    |Star                              |06 39 56.3969459352 +79 07 48.879297228|135.0345230995222 +26.0647297522246| -17.075 -2.585  |8.13     |A3                 |    ~     ~    |    1|  303.426   pc  |  -4.2719     +4.2719  |paral   |2020yCat.1350....0G
60  |BD+79 210                                                                                                                                   |Star                              |06 40 26.8302389160 +79 17 38.662600992|134.8577515420327 +26.1116108608720|   2.850 13.620  |10.06    |F8                 |    ~     ~    |    1|  202.737   pc  |  -0.4439     +0.4439  |paral   |2020yCat.1350....0G
61  |TYC 4534-48-1                                                                                                                               |Star                              |06 43 14.8209195168 +79 30 26.624504772|134.6414414202990 +26.2678327996743| -10.940 -2.151  |10.23    |G5                 |    ~     ~    |    1|  238.983   pc  |  -0.8510     +0.8510  |paral   |2020yCat.1350....0G
62  |TYC 4534-1653-1                                                                                                                             |Star                              |06 43 30.9902719368 +79 37 15.732069060|134.5174370325342 +26.2943050245356|  -6.665 10.681  |10.14    |G5                 |    ~     ~    |    1|  299.437   pc  |  -1.1835     +1.1835  |paral   |2020yCat.1350....0G
63  |BD+78 229                                                                                                                                   |Star                              |06 42 25.8967752624 +78 35 20.226653268|135.6501012005728 +26.1072412276330|    2.520 6.948  |9.57     |G0                 |    ~     ~    |    1|  404.891   pc  |  -2.1476     +2.1476  |paral   |2020yCat.1350....0G
64  |IDS 06155+7937                                                                                                                              |Double or Multiple Star           |06 32 42.0 +79 34 00                   |134.4967 +25.8033                  |            ~ ~  |9.3      |~                  |    ~     ~    |    0|                |                       |        |                   
65  |BD+79 207                                                                                                                                   |Star                              |06 39 58.4123590104 +79 38 16.991495160|134.4750446729209 +26.1385325941738|  -4.394 -4.926  |9.95     |~                  |    ~     ~    |    1|  118.793   pc  |  -0.1693     +0.1693  |paral   |2020yCat.1350....0G
66  |TYC 4533-183-1                                                                                                                              |Star                              |06 35 56.7092857464 +80 14 50.903494224|133.7751491954415 +26.0535351785352| -4.942 -10.996  |9.90     |~                  |    ~     ~    |    1|  442.615   pc  |  -3.3892     +3.3892  |paral   |2020yCat.1350....0G
67  |TYC 4533-301-1                                                                                                                              |Star                              |06 37 15.9651307080 +80 31 44.901762456|133.4740349968091 +26.1497466868600|-18.185 -31.490  |9.99     |~                  |    ~     ~    |    1|  115.439   pc  |  -0.1692     +0.1692  |paral   |2020yCat.1350....0G
68  |TYC 4533-455-1                                                                                                                              |Star                              |06 37 04.6908971496 +80 26 30.649266960|133.5689956274795 +26.1294251680334|-19.749 -16.025  |10.75    |~                  |    ~     ~    |    1|  126.923   pc  |  -0.1756     +0.1756  |paral   |2020yCat.1350....0G
69  |TYC 4533-527-1                                                                                                                              |Star                              |06 34 35.0952221496 +80 24 21.400342380|133.5910841087474 +26.0215016314429| -7.288 -23.602  |10.44    |~                  |    ~     ~    |    1|  245.477   pc  |  -0.8014     +0.8014  |paral   |2020yCat.1350....0G
70  |TYC 4533-609-1                                                                                                                              |Star                              |06 39 22.2586289256 +80 07 11.167639860|133.9394857138486 +26.1794522670330|   4.344 -3.864  |10.89    |~                  |    ~     ~    |    1| 1010.101   pc  | -47.5462    +47.5462  |paral   |2020yCat.1350....0G
71  |TYC 4533-681-1                                                                                                                              |Star                              |06 32 37.4636389080 +80 13 45.388107588|133.7702454065925 +25.9116749924848|   0.247 -3.720  |10.02    |~                  |    ~     ~    |    1|  206.877   pc  |  -0.5521     +0.5521  |paral   |2020yCat.1350....0G
72  |TYC 4533-717-1                                                                                                                              |Star                              |06 31 24.3050449584 +80 30 21.508883460|133.4574736632391 +25.9077081551489| -0.897 -14.571  |10.82    |~                  |    ~     ~    |    1|  329.902   pc  |  -1.4802     +1.4802  |paral   |2020yCat.1350....0G
73  |TYC 4533-926-1                                                                                                                              |Star                              |06 32 31.0594976784 +78 54 48.393122868|135.2091257876249 +25.6811062503516|  -10.275 0.368  |10.75    |~                  |    ~     ~    |    1|  408.998   pc  |  -4.0649     +4.0649  |paral   |2020yCat.1350....0G
74  |TYC 4533-1110-1                                                                                                                             |High Proper Motion Star           |06 36 20.0203950240 +79 12 23.315630328|134.9221021129294 +25.9088335011875|-43.830 -74.080  |10.13    |~                  |    ~     ~    |    1|  217.765   pc  |  -1.7641     +1.7641  |paral   |2020yCat.1350....0G
75  |TYC 4533-1219-1                                                                                                                             |Star                              |06 39 31.7403295848 +79 57 34.030149084|134.1174406939577 +26.1639442033776| -2.239 -15.728  |10.99    |~                  |    ~     ~    |    1|  533.931   pc  |  -3.5350     +3.5350  |paral   |2020yCat.1350....0G
76  |TYC 4533-1514-1                                                                                                                             |Star                              |06 32 04.3510745712 +79 35 04.910104968|134.4715009533619 +25.7784048894162| 12.570 -32.636  |10.93    |~                  |    ~     ~    |    1|  221.082   pc  |  -1.2562     +1.2562  |paral   |2020yCat.1350....0G
77  |TYC 4533-1526-1                                                                                                                             |Star                              |06 34 48.7173139800 +79 10 14.423100996|134.9484973883818 +25.8326099388904|-16.032 -36.571  |10.22    |~                  |    ~     ~    |    1|  179.924   pc  |  -0.5924     +0.5924  |paral   |2020yCat.1350....0G
78  |TYC 4534-182-1                                                                                                                              |Star                              |06 41 03.4370870304 +79 42 18.103990860|134.4085759859829 +26.1958606043250|-24.338 -37.128  |10.91    |~                  |    ~     ~    |    1|  272.769   pc  |  -0.8556     +0.8556  |paral   |2020yCat.1350....0G
79  |TYC 4534-414-1                                                                                                                              |Star                              |06 41 54.2192965296 +79 19 08.227503876|134.8406776307290 +26.1819599824875|   2.118 -1.235  |10.99    |~                  |    ~     ~    |    1|  802.053   pc  |  -8.2984     +8.2984  |paral   |2020yCat.1350....0G
80  |TYC 4534-637-1                                                                                                                              |Star                              |06 42 05.7313119600 +80 05 39.447919788|133.9849853666876 +26.2920492793769| -0.958 -17.072  |10.52    |~                  |    ~     ~    |    1| 1653.713   pc  | -47.8584    +47.8584  |paral   |2020yCat.1350....0G
