C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
4613|TYC 2119-1171-1                                                       |Star                           |18 35 10.7321023464 +29 03 07.239374208|057.7868363961400 +16.0559343686332| -2.398 -26.524   |10.91    |~               |    ~     ~    
4614|TYC 2119-1174-1                                                       |Star                           |18 40 04.5501507288 +29 24 29.981264148|058.5564205509257 +15.2079495777173|-17.672 -27.469   |10.01    |~               |    ~     ~    
4615|TYC 2119-1197-1                                                       |Star                           |18 41 32.5381252584 +29 08 21.604001064|058.4295127550141 +14.8084477001257|   3.960 -3.643   |10.63    |~               |    ~     ~    
4616|TYC 2119-1215-1                                                       |Star                           |18 36 49.8255944592 +28 45 36.279807624|057.6513382293301 +15.6099783143616|  -20.649 0.102   |10.57    |~               |    ~     ~    
4617|TYC 2119-1249-1                                                       |Star                           |18 36 39.9164469720 +28 33 38.974040244|057.4460408170533 +15.5662724259959|   -0.219 2.280   |10.39    |~               |    ~     ~    
4618|TYC 2119-1301-1                                                       |Star                           |18 39 13.6057968480 +28 23 03.598896588|057.5049009003273 +14.9790763225910| -6.805 -15.097   |10.86    |~               |    ~     ~    
4619|TYC 2119-1323-1                                                       |Star                           |18 39 10.6321916616 +28 36 17.592581952|057.7106243331577 +15.0754379109398|    0.679 9.170   |9.94     |~               |    ~     ~    
4620|TYC 2119-1410-1                                                       |Star                           |18 37 58.7258166456 +29 18 24.081563412|058.2754776028428 +15.5897362982678|-12.024 -14.469   |10.32    |~               |    ~     ~    
4621|TYC 2119-1442-1                                                       |Star                           |18 38 44.9722555776 +29 50 14.537607612|058.8509733860161 +15.6398455309857|    4.830 4.508   |10.31    |~               |    ~     ~    
4622|TYC 2119-1546-1                                                       |Star                           |18 40 58.0810684512 +29 27 23.536583100|058.6808543597066 +15.0478519160319| -8.472 -31.876   |10.94    |~               |    ~     ~    
4623|TYC 2119-1630-1                                                       |Star                           |18 37 44.0824371672 +29 16 18.631795080|058.2207676520474 +15.6253670516255|  -7.437 -4.190   |10.90    |~               |    ~     ~    
4624|TYC 2119-1654-1                                                       |Star                           |18 37 51.3904713456 +29 16 09.313610340|058.2289377854870 +15.5998653101658|-16.755 -23.745   |10.65    |~               |    ~     ~    
4625|TYC 2119-1790-1                                                       |Star                           |18 38 48.7151069112 +29 05 17.843229888|058.1396475163088 +15.3375059502441|  1.595 -11.085   |10.62    |~               |    ~     ~    
4626|TYC 2119-1792-1                                                       |Star                           |18 36 10.7912429904 +28 33 59.986574136|057.4088104467955 +15.6668141779527| -19.073 17.192   |10.12    |~               |    ~     ~    
4627|TYC 2119-1895-1                                                       |Star                           |18 35 20.4997592400 +28 32 12.079481100|057.3062734569434 +15.8250495503378|  -2.277 -2.645   |10.68    |~               |    ~     ~    
4628|TYC 2119-1988-1                                                       |Star                           |18 35 15.2267877768 +28 50 20.580596952|057.5887552015033 +15.9591435465250| -20.536 25.530   |10.07    |~               |    ~     ~    
4629|TYC 2119-2070-1                                                       |Star                           |18 37 21.3203353320 +28 56 15.884389068|057.8675927581301 +15.5726970987889|  -1.870 -4.271   |10.55    |~               |    ~     ~    
4630|TYC 2119-2128-1                                                       |Star                           |18 39 32.7197003400 +28 31 20.384657904|057.6647269659335 +14.9687411428020| 13.414 -15.953   |10.70    |~               |    ~     ~    
4631|TYC 2119-2212-1                                                       |Star                           |18 36 26.3613901488 +28 47 16.067431680|057.6435043485143 +15.6997290246525|  -9.999 29.442   |10.64    |~               |    ~     ~    
4632|TYC 2119-2225-1                                                       |Star                           |18 40 38.2620063912 +28 25 10.358052348|057.6645351010105 +14.7075978487473|  -0.936 -2.797   |10.41    |~               |    ~     ~    
4633|TYC 2119-2228-1                                                       |Star                           |18 35 16.5379646616 +28 09 08.114974704|056.9319751065216 +15.6900162074977| -7.078 -16.641   |10.66    |~               |    ~     ~    
4634|TYC 2119-2229-1                                                       |Red Giant Branch star Candidate|18 39 17.9741360736 +28 14 58.513267896|057.3831209701366 +14.9114800150382|   0.308 -8.456   |10.76    |~               |    ~     ~    
4635|TYC 2120-310-1                                                        |Star                           |18 43 54.8254004760 +28 57 20.894369436|058.4667300312196 +14.2598034307299| -5.630 -21.084   |10.69    |~               |    ~     ~    
4636|TYC 2120-392-1                                                        |Star                           |18 43 59.4001141368 +28 57 28.987885980|058.4756926876603 +14.2453895099892|    2.253 4.021   |10.13    |~               |    ~     ~    
4637|TYC 2120-393-1                                                        |Star                           |18 42 21.0265468080 +29 23 41.456584140|058.7441224075963 +14.7467196296989|  -9.423 -7.133   |10.89    |~               |    ~     ~    
4638|TYC 2120-794-1                                                        |Star                           |18 43 20.8402789848 +28 58 24.049629408|058.4326404646662 +14.3804937196561|   -0.951 3.700   |9.92     |~               |    ~     ~    
4639|TYC 2120-959-1                                                        |Star                           |18 44 58.3799419800 +29 41 42.874218960|059.2617327970794 +14.3410720880072|   0.359 -1.645   |10.91    |~               |    ~     ~    
4640|TYC 2120-974-1                                                        |High Proper Motion Star        |18 44 18.8250793368 +28 08 45.627048204|057.7373352884211 +13.8562416303869|-33.354 -67.569   |10.20    |~               |    ~     ~    
4641|TYC 2120-1058-1                                                       |Star                           |18 42 40.0735307208 +28 29 43.335505932|057.9187412101073 +14.3277250175724|  -0.383 -3.307   |10.01    |~               |    ~     ~    
4642|TYC 2120-1208-1                                                       |Star                           |18 44 24.1830901752 +28 40 48.083021220|058.2497944354588 +14.0517285189071|  -2.492 -8.433   |10.44    |~               |    ~     ~    
4643|TYC 2120-1352-1                                                       |High Proper Motion Star        |18 44 25.7923759800 +28 08 21.573694464|057.7415968345510 +13.8301112924850| -9.584 110.866   |10.52    |~               |    ~     ~    
4644|TYC 2120-1442-1                                                       |Star                           |18 44 32.4745850328 +28 21 32.996823624|057.9591915509281 +13.8956988714661|  -6.218 -3.613   |10.93    |~               |    ~     ~    
4645|TYC 2120-1795-1                                                       |Star                           |18 44 08.032032 +29 10 03.01404        |058.686937791 +14.299667509        |      -3.6 -0.1   |10.89    |~               |    ~     ~    
4646|TYC 2120-1868-1                                                       |Star                           |18 44 54.7883922048 +28 17 39.831927648|057.9318452020801 +13.7947639607608|  28.101 12.593   |10.88    |~               |    ~     ~    
4647|TYC 2120-1894-1                                                       |Star                           |18 42 40.0368544632 +28 12 38.018058516|057.6490056625553 +14.2146716108403|  5.233 -21.599   |10.36    |~               |    ~     ~    
4648|TYC 2120-2203-1                                                       |Star                           |18 43 15.9076632528 +29 16 56.934685200|058.7185192323109 +14.5192338890376|  8.231 -16.916   |10.05    |~               |    ~     ~    
4649|TYC 2120-2444-1                                                       |Star                           |18 42 30.8186029272 +28 09 02.404986300|057.5784249530613 +14.2219012228129|  -0.117 -2.432   |10.77    |~               |    ~     ~    
4650|TYC 2120-2468-1                                                       |Star                           |18 43 55.0866701424 +28 32 19.233749508|058.0724073241030 +14.0929721114759|    2.920 2.815   |10.07    |~               |    ~     ~    
4651|TYC 2624-1734-1                                                       |Star                           |18 35 12.4377036144 +30 24 25.202552760|059.0951956537364 +16.5651147162546|  -3.315 -9.650   |10.02    |~               |    ~     ~    
4652|TYC 2624-1824-1                                                       |Star                           |18 33 52.4120980104 +30 38 13.168705452|059.2051933897603 +16.9176835406174|   6.544 -2.542   |9.65     |~               |    ~     ~    
4653|TYC 2624-2189-1                                                       |Star                           |18 34 12.6933521592 +30 16 24.149145288|058.8815667915006 +16.7138335941615|   6.352 11.576   |10.53    |~               |    ~     ~    
4654|TYC 2624-2280-1                                                       |Star                           |18 34 45.6791663400 +30 17 07.653991164|058.9398885972421 +16.6084214994214|   3.656 -0.142   |10.45    |~               |    ~     ~    
4655|TYC 2624-2337-1                                                       |Star                           |18 34 12.5065327464 +30 11 38.324151204|058.8044993310766 +16.6845904078176|   -2.065 2.853   |10.92    |~               |    ~     ~    
4656|TYC 2624-2370-1                                                       |Star                           |18 35 32.4469984704 +30 21 03.376712700|059.0693602442830 +16.4773494283365|  3.684 -12.900   |10.85    |~               |    ~     ~    
4657|TYC 2637-83-1                                                         |Star                           |18 40 12.6289860648 +30 28 28.295097672|059.5878085196039 +15.5938249906346|  7.050 -42.407   |10.48    |~               |    ~     ~    
4658|TYC 2637-531-1                                                        |Star                           |18 38 52.4315978064 +30 15 05.517750168|059.2588665021225 +15.7742709814984| -8.461 -26.030   |10.98    |~               |    ~     ~    
4659|TYC 2637-669-1                                                        |High Proper Motion Star        |18 44 58.0969900584 +30 12 46.581325128|059.7524322433925 +14.5465122120759|-24.642 -82.231   |10.10    |~               |    ~     ~    
4660|TYC 2637-781-1                                                        |Star                           |18 42 03.1438998600 +30 02 24.364908528|059.3323561051767 +15.0588196642038|  10.363 -5.606   |10.04    |~               |    ~     ~    
4661|TYC 2637-813-1                                                        |Star                           |18 37 57.0504430536 +30 32 54.780790308|059.4651217082042 +16.0717479943858|  -7.550 -1.891   |10.25    |~               |    ~     ~    
4662|TYC 2637-823-1                                                        |Star                           |18 39 17.5411795272 +30 28 51.679042284|059.5150788283711 +15.7789488777787| 12.568 -22.530   |9.83     |~               |    ~     ~    
4663|TYC 2637-927-1                                                        |High Proper Motion Star        |18 43 55.1550329424 +30 07 20.667025164|059.5742336923520 +14.7193639809011|-39.436 -45.050   |10.22    |~               |    ~     ~    
4664|TYC 2637-935-1                                                        |Star                           |18 39 46.1034093912 +30 15 39.510594504|059.3450661353951 +15.5995815070282|  -1.627 -5.225   |10.37    |~               |    ~     ~    
4665|TYC 2637-1021-1                                                       |Star                           |18 40 19.3984559328 +30 27 19.891889388|059.5793271075484 +15.5640700073493|  -3.188 -7.489   |10.94    |~               |    ~     ~    
4666|TYC 2637-1167-1                                                       |Star                           |18 40 57.6001479816 +30 08 05.182591560|059.3275387784623 +15.3133381684856|   -0.444 1.037   |10.67    |~               |    ~     ~    
4667|TYC 2637-1283-1                                                       |Star                           |18 43 52.6385207544 +30 27 25.591632552|059.8890337221607 +14.8588813957317|    5.965 0.984   |10.31    |~               |    ~     ~    
4668|TYC 2637-1507-1                                                       |Star                           |18 41 33.0443507880 +30 04 21.662271768|059.3196574861107 +15.1714898514232|  9.920 -14.915   |10.87    |~               |    ~     ~    
4669|TYC 2637-1697-1                                                       |Star                           |18 42 36.5762373144 +30 22 49.099039788|059.7054068908975 +15.0805186811797|   -9.428 1.529   |10.03    |~               |    ~     ~    
4670|TYC 2637-1699-1                                                       |Star                           |18 38 15.5996728224 +30 06 42.516038376|059.0718737785155 +15.8431938576147|   5.144 10.070   |10.29    |~               |    ~     ~    
4671|TYC 2637-1765-1                                                       |Star                           |18 41 11.5387637904 +30 06 32.650573572|059.3231826620153 +15.2570662065252|-11.632 -29.760   |10.51    |~               |    ~     ~    
4672|TYC 2637-1885-1                                                       |Star                           |18 38 55.3490750328 +30 15 18.641541060|059.2665522786029 +15.7659737861627|-18.625 -44.413   |10.51    |~               |    ~     ~    
4673|TYC 2637-2179-1                                                       |Star                           |18 41 01.1675755944 +30 13 53.202831672|059.4251053099755 +15.3389590294726|   -1.849 0.883   |10.69    |~               |    ~     ~    
4674|BD+33 3118                                                            |High Proper Motion Star        |18 30 14.7462816336 +33 21 59.550265800|061.5807493269655 +18.6278993213101|-46.479 -29.496   |8.65     |G5              |    ~     ~    
4675|BD+33 3120                                                            |Pulsating Variable             |18 31 01.9949223048 +33 07 33.089826792|061.4052471243297 +18.3884424149659| -4.256 -11.709   |9.31     |F0              |    ~     ~    
4676|BD+33 3122                                                            |Star                           |18 31 04.2698226216 +33 23 45.729256632|061.6743325348097 +18.4772734244657|   11.003 5.878   |8.51     |M0              |    ~     ~    
4677|HD 171231                                                             |Star                           |18 32 10.5819045936 +33 07 12.665477748|061.4898797041148 +18.1629266054072|  -4.207 -8.845   |8.95     |F               |    ~     ~    
4678|BD+33 3134                                                            |Star                           |18 33 01.3200815064 +33 14 17.508484068|061.6726505669999 +18.0402288123648|  -0.613 10.709   |8.99     |K5              |    ~     ~    
4679|HD 171385                                                             |High Proper Motion Star        |18 33 06.9785294688 +33 21 22.340959452|061.7959168358443 +18.0642913504306|  1.351 -51.083   |8.41     |K               |    ~     ~    
4680|BD+33 3137                                                            |Star                           |18 33 24.1191203184 +33 09 26.517326796|061.6235057207784 +17.9369446167801|-12.446 -29.156   |9.12     |K2              |    ~     ~    
4681|AG+32 1634                                                            |Star                           |18 30 21.8407948824 +32 46 17.861346624|061.0037296247826 +18.3930719234752|   8.061 19.623   |10.45    |F2              |    ~     ~    
4682|BD+32 3140                                                            |Star                           |18 30 19.3240596024 +32 46 01.802527104|060.9960179417729 +18.3997127591193|  -2.762 -6.746   |9.28     |K0              |    ~     ~    
4683|HD 170931                                                             |Star                           |18 30 31.5772612848 +32 38 30.504886368|060.8888833289096 +18.3147331160388|  -7.410 14.290   |7.62     |A0              |    ~     ~    
4684|HD 171026                                                             |Star                           |18 31 06.9405739440 +32 14 43.352006928|060.5466753802837 +18.0560426524322|  -2.294 -1.191   |7.82     |A0              |    ~     ~    
4685|BD+32 3144                                                            |Star                           |18 31 06.5275130976 +33 04 53.558852160|061.3675819152140 +18.3578432459389| -5.851 -17.583   |10.18    |K2              |    ~     ~    
4686|BD+32 3145                                                            |Star                           |18 31 10.1794909944 +33 05 07.331157312|061.3761455518754 +18.3473017753056|   1.375 20.533   |10.05    |F2              |    ~     ~    
4687|BD+32 3149                                                            |Star                           |18 32 23.8449051648 +32 50 20.833854252|061.2315574882695 +18.0185302590479| -16.852 -3.973   |9.79     |F5              |    ~     ~    
4688|BD+32 3143B                                                           |Star                           |18 31 06.7092956880 +32 14 49.125657480|060.5479384310173 +18.0573822001945|  -1.020 -2.493   |8.58     |~               |    ~     ~    
4689|BD+32 3146                                                            |High Proper Motion Star        |18 31 31.4403500880 +32 42 53.787508740|061.0401205308304 +18.1450491622472|  21.624 58.799   |9.80     |~               |    ~     ~    
4690|HD 170877                                                             |Star                           |18 30 19.9731902496 +31 35 51.596712816|059.8485639517282 +17.9761815527109|   -6.795 0.833   |8.29     |K               |    ~     ~    
4691|BD+31 3282                                                            |Star                           |18 30 57.7568803560 +31 14 43.942234200|059.5555643502184 +17.7226888484112|   6.263 -8.331   |8.65     |K0              |    ~     ~    
4692|BD+31 3287                                                            |Spectroscopic Binary           |18 33 01.2897020112 +31 35 42.929665872|060.0659080201641 +17.4424142856738| -10.276 -5.392   |9.15     |F2              |    ~     ~    
4693|HIP 90942                                                             |Star                           |18 33 03.1717465104 +31 35 36.874648464|060.0668445617382 +17.4355844564548|  6.395 -14.005   |10.10    |~               |    ~     ~    
4694|BD+30 3216                                                            |Star                           |18 30 58.0508427720 +30 49 59.967267888|059.1535866304664 +17.5704200118170|  -0.071 -4.015   |9.82     |F0              |    ~     ~    
4695|BD+30 3220                                                            |Star                           |18 31 13.2580322592 +31 03 19.650777444|059.3912490432109 +17.6015607553368|  -2.180 26.442   |10.02    |F8              |    ~     ~    
4696|HD 171406                                                             |Be Star                        |18 33 23.0362685928 +30 53 31.594470396|059.4117538424843 +17.1103826845594|   2.996 -7.429   |6.534    |B4Ve            |    ~     ~    
4697|BD+30 3228                                                            |Star                           |18 33 35.3920933680 +31 01 13.368522792|059.5535218887450 +17.1170701760039|  -9.821 -0.872   |10.26    |K2              |    ~     ~    
4698|BD+30 3231                                                            |Star                           |18 33 44.9054870304 +31 03 45.459209916|059.6077647470871 +17.1012377270978|   9.656 -8.386   |9.35     |K0              |    ~     ~    
4699|TYC 2624-2070-1                                                       |Star                           |18 31 23.6738853672 +30 55 03.529869780|059.2711931441427 +17.5162691540770|  11.184 -2.939   |10.22    |~               |    ~     ~    
4700|IRAS 18308+3111                                                       |Long-Period Variable           |18 32 42.4952726400 +31 13 48.402827652|059.6843560598061 +17.3699966895563|  -0.095 -5.696   |9.93     |~               |    ~     ~    
4701|IRAS 18317+3127                                                       |Star                           |18 33 38.0133893904 +31 30 13.598489592|060.0271717654905 +17.2874771489861|  -0.669 -1.088   |10.87    |~               |    ~     ~    
4702|TYC 2624-114-1                                                        |Star                           |18 32 05.1265220544 +31 38 23.058381084|060.0326078458631 +17.6441121137814|  1.591 -10.196   |9.71     |~               |    ~     ~    
4703|TYC 2624-340-1                                                        |Star                           |18 30 42.9204820841 +30 53 34.204017637|059.1907743152528 +17.6426253318077|    6.079 6.883   |10.51    |~               |    ~     ~    
4704|TYC 2624-341-1                                                        |Star                           |18 30 59.3651562096 +31 04 00.881474232|059.3833238761700 +17.6518895587371| 13.491 -12.527   |10.38    |~               |    ~     ~    
4705|TYC 2624-359-1                                                        |Star                           |18 30 23.0762200920 +31 23 09.411340236|059.6454990100409 +17.8888894772011|  9.014 -10.907   |10.82    |~               |    ~     ~    
4706|TYC 2624-1521-1                                                       |Star                           |18 33 09.7889921352 +31 51 35.315329932|060.3354697672100 +17.5115888766520|  -1.536 -5.778   |10.88    |~               |    ~     ~    
4707|TYC 2624-1700-1                                                       |Star                           |18 33 03.8099694480 +31 01 32.346522948|059.5148459215151 +17.2237436686961|   0.210 -7.951   |10.89    |~               |    ~     ~    
4708|TYC 2624-1714-1                                                       |Star                           |18 32 16.6390980264 +30 57 21.836632392|059.3818289497509 +17.3545098363555|  -4.170 -8.805   |9.14     |~               |    ~     ~    
4709|TYC 2624-1717-1                                                       |Star                           |18 33 06.5688642000 +31 52 06.982808088|060.3396680937450 +17.5254164446203|   9.471 14.566   |10.02    |~               |    ~     ~    
4710|TYC 2624-1736-1                                                       |Star                           |18 33 24.0805962240 +30 44 35.122580844|059.2685100812649 +17.0514560144462|    3.870 1.887   |10.63    |~               |    ~     ~    
4711|TYC 2624-1797-1                                                       |Star                           |18 32 52.3254069216 +31 40 57.746745552|060.1389173661136 +17.5041296503937| 13.511 -14.297   |9.57     |~               |    ~     ~    
4712|TYC 2624-1893-1                                                       |Star                           |18 33 10.0328810328 +31 32 29.724093132|060.0255862882009 +17.3937981312020| -7.876 -15.980   |10.69    |~               |    ~     ~    
4713|TYC 2624-2247-1                                                       |Star                           |18 33 32.1865355160 +30 44 35.228487336|059.2798518019839 +17.0245292111420|  -3.738 -6.345   |10.71    |~               |    ~     ~    
4714|TYC 2628-62-1                                                         |Star                           |18 32 10.2924142128 +32 41 16.156978080|061.0651621756858 +18.0082064618074|   3.398 -0.367   |10.59    |~               |    ~     ~    
4715|TYC 2628-258-1                                                        |Star                           |18 30 05.4125093448 +32 37 16.262169204|060.8339613560569 +18.3930744032707| -4.784 -17.424   |10.45    |~               |    ~     ~    
4716|TYC 2628-344-1                                                        |Star                           |18 30 14.5234397400 +32 09 55.962271728|060.3981695166279 +18.1995887183688|-14.467 -11.352   |10.57    |~               |    ~     ~    
4717|TYC 2628-461-1                                                        |Star                           |18 31 33.5579188416 +32 13 49.768309560|060.5677763689469 +17.9632047702746|  -4.122 -4.133   |10.88    |~               |    ~     ~    
4718|TYC 2628-700-1                                                        |Star                           |18 31 51.7515331344 +33 03 35.571336840|061.4058062218379 +18.2026450091681|  -2.020 -7.326   |9.74     |~               |    ~     ~    
4719|TYC 2628-804-1                                                        |Star                           |18 32 12.9633065880 +33 22 20.166202776|061.7407501079203 +18.2455182813380| -9.425 -18.547   |10.88    |~               |    ~     ~    
4720|TYC 2628-970-1                                                        |Star                           |18 33 09.4492640640 +33 13 57.751213764|061.6779936609922 +18.0118218831116|  13.178 12.294   |10.98    |~               |    ~     ~    
4721|TYC 2628-1405-1                                                       |Star                           |18 32 44.3306191344 +32 51 35.047427652|061.2789885813324 +17.9591001664574|  -0.799 -1.597   |10.89    |~               |    ~     ~    
4722|TYC 2628-1480-1                                                       |Star                           |18 33 26.2391356008 +32 53 47.961557700|061.3709163153758 +17.8357445871178|  -4.112 -4.172   |10.85    |~               |    ~     ~    
4723|TYC 2628-1604-1                                                       |Spectroscopic Binary           |18 32 55.3401573744 +32 12 03.959102232|060.6491061298456 +17.6839471840472|   -4.056 1.591   |10.61    |~               |    ~     ~    
4724|TYC 2628-1678-1                                                       |Star                           |18 31 02.1413073192 +32 53 45.017502360|061.1791100544489 +18.3057478424579|  -5.372 -3.334   |10.08    |~               |    ~     ~    
4725|TYC 2628-1764-1                                                       |Star                           |18 31 03.8440101888 +31 58 51.182487768|060.2832556659204 +17.9704805593629|  -8.485 -9.101   |10.70    |~               |    ~     ~    
4726|TYC 2628-1882-1                                                       |Star                           |18 33 18.8323848864 +32 10 44.944867776|060.6594115748892 +17.5988154194044|  5.025 -10.968   |10.18    |~               |    ~     ~    
4727|TYC 2628-1926-1                                                       |High Proper Motion Star        |18 30 04.7991287232 +31 56 36.476033676|060.1671239460849 +18.1515197691969| 23.845 147.686   |10.50    |~               |    ~     ~    
4728|HD 171519                                                             |High Proper Motion Star        |18 33 55.1764134936 +32 07 50.545617888|060.6613810578707 +17.4617755186552| -58.603 18.141   |8.11     |K0              |    ~     ~    
4729|BD+32 3155                                                            |Star                           |18 34 47.8877774136 +32 46 09.724850940|061.3556563924189 +17.5231669309514|   1.787 -2.256   |9.37     |A5              |    ~     ~    
4730|BD+32 3154                                                            |Star                           |18 34 40.1740425456 +32 17 18.785323320|060.8763030629673 +17.3721805659650|   2.038 27.214   |10.45    |~               |    ~     ~    
4731|BD+31 3292                                                            |Star                           |18 33 58.7759880936 +31 27 33.779432628|060.0125471293256 +17.2025134769290|   -2.335 1.097   |9.58     |K0              |    ~     ~    
4732|BD+31 3296                                                            |Star                           |18 34 30.7783416912 +31 46 14.258137008|060.3592361590051 +17.2121449928687| 13.233 -16.607   |9.33     |A5              |    ~     ~    
4733|HD 171621                                                             |Star                           |18 34 32.1448742016 +31 43 46.097383620|060.3210806156938 +17.1924287232820|   0.557 14.861   |8.45     |A5              |    ~     ~    
4734|BD+31 3299                                                            |Star                           |18 35 19.0891569384 +31 58 51.448806768|060.6299413161489 +17.1311190328597|  -6.401 -4.650   |8.79     |K5              |    ~     ~    
4735|HD 171828                                                             |High Proper Motion Star        |18 35 36.2685793536 +31 36 33.189513912|060.2925395814256 +16.9366450526444|  43.730 29.166   |8.56     |G5              |    ~     ~    
4736|TYC 2628-1843-1                                                       |Star                           |18 34 40.8776065752 +31 57 33.500324484|060.5566321853904 +17.2486211986609|   -0.648 4.494   |10.87    |~               |    ~     ~    
4737|BD+33 3152                                                            |Star                           |18 36 23.4718266120 +33 15 43.297633080|061.9643554118469 +17.3925124994007|   2.149 -2.074   |9.78     |A5              |    ~     ~    
4738|HD 172115                                                             |Star                           |18 36 56.8715769960 +33 13 26.031745020|061.9718906742802 +17.2702458815794|   4.560 -0.616   |8.20     |G5              |    ~     ~    
4739|BD+33 3157                                                            |Star                           |18 36 59.9137708824 +33 18 29.495725344|062.0580836697735 +17.2913268085614|   1.699 17.389   |10.29    |K0              |    ~     ~    
4740|HD 172361                                                             |Star                           |18 38 20.8096654992 +33 18 18.087712236|062.1635363361189 +17.0282427526166|   9.344 -4.831   |8.60     |G               |    ~     ~    
4741|BD+33 3168                                                            |Star                           |18 40 02.0892196224 +33 14 52.501483752|062.2449181036608 +16.6794366992624|  4.184 -22.190   |9.27     |K0              |    ~     ~    
4742|TYC 2641-360-1                                                        |Star                           |18 41 47.3848334040 +33 13 53.967340560|062.3724877975201 +16.3330917156334|  13.530 -5.803   |10.81    |F0              |    ~     ~    
4743|BD+33 3181                                                            |Star                           |18 41 45.7688549712 +33 13 52.544050608|062.3698990564613 +16.3381617823636|    0.710 4.166   |9.77     |G5              |    ~     ~    
4744|HD 173632                                                             |Star                           |18 44 54.0872242128 +33 11 14.996493780|062.5866417761533 +15.7140499041327| 22.015 -31.077   |7.37     |K5              |    ~     ~    
4745|BD+32 3158                                                            |Star                           |18 36 22.7951457216 +32 15 29.720092608|060.9865039589540 +17.0249932794427|    3.217 9.239   |9.48     |K5              |    ~     ~    
4746|BD+32 3159                                                            |Star                           |18 36 43.1754884232 +32 24 55.167988176|061.1668791287321 +17.0165629556278|  -0.127 -3.608   |9.86     |A2              |    ~     ~    
4747|BD+32 3160                                                            |Star                           |18 37 14.8431476376 +33 05 49.117619292|061.8724628291309 +17.1652757716976|   0.561 -5.283   |9.57     |M2              |    ~     ~    
4748|BD+32 3161                                                            |Star                           |18 37 32.7511195200 +32 25 45.185525256|061.2480328092776 +16.8598163297062|    5.347 9.134   |9.47     |F0              |    ~     ~    
4749|BD+32 3162                                                            |Star                           |18 37 40.9111531920 +32 35 06.839159208|061.4105241645273 +16.8911911121956|    3.503 4.694   |9.48     |A5              |    ~     ~    
4750|BD+32 3164                                                            |Star                           |18 37 59.2547163936 +32 15 18.974551104|061.1157625184217 +16.7084027084087|  -0.364 -1.604   |9.54     |A0              |    ~     ~    
4751|BD+32 3166                                                            |Star                           |18 38 06.4923748560 +32 37 27.483985092|061.4833010625079 +16.8223608161621|   6.191 -0.880   |9.80     |K5              |    ~     ~    
4752|HD 172470                                                             |Star                           |18 38 58.5722493168 +32 13 45.323356224|061.1722778166454 +16.5048262458757|  -11.380 6.113   |7.10     |K5              |    ~     ~    
4753|BD+32 3175                                                            |Star                           |18 39 13.9636178496 +32 42 00.863070732|061.6490330792764 +16.6310774228152|  -11.606 5.284   |9.52     |F8              |    ~     ~    
4754|BD+32 3175B                                                           |Star                           |18 39 13.8454826640 +32 42 13.751279820|061.6523371164138 +16.6327996456496|  -11.359 5.250   |10.82    |~               |    ~     ~    
4755|BD+32 3179                                                            |High Proper Motion Star        |18 40 43.4046544320 +32 42 19.695626316|061.7767611857139 +16.3423394499724|-34.439 -89.060   |9.89     |G5              |    ~     ~    
4756|BD+32 3183                                                            |Star                           |18 41 39.9562149216 +32 49 06.723365844|061.9636761946295 +16.2014429360617|  -0.062 -3.225   |9.43     |A2              |    ~     ~    
4757|BD+32 3190                                                            |Star                           |18 44 06.5239419216 +32 17 26.983281660|061.6603197381007 +15.5244775634907|  3.434 -23.636   |8.43     |K5              |    ~     ~    
4758|BD+32 3191                                                            |Star                           |18 44 16.6278712536 +32 22 28.407330768|061.7547338470513 +15.5238099336482| -7.408 -30.912   |10.49    |F8              |    ~     ~    
4759|BD+32 3193                                                            |Star                           |18 44 31.4854164144 +32 57 26.324188812|062.3343474729820 +15.6990168594785|    2.200 3.100   |9.73     |A2              |    ~     ~    
4760|BD+31 3305                                                            |Star                           |18 36 49.0734497400 +32 05 32.881745508|060.8615706077029 +16.8773676588209|        0.6 2.0   |9.52     |F2              |    ~     ~    
4761|BD+31 3337                                                            |Star                           |18 42 19.0829422272 +32 07 43.670013816|061.3541901389984 +15.8123050248326|    7.571 8.956   |8.91     |K0              |    ~     ~    
4762|BD+32 3169                                                            |Star                           |18 38 40.0617696624 +33 01 27.766672536|061.9170092605752 +16.8619368456220| -7.395 -46.160   |9.47     |~               |    ~     ~    
4763|BD+32 3176                                                            |High Proper Motion Star        |18 39 31.3303284504 +32 36 20.006788248|061.5812088885508 +16.5391466846021|-82.575 -44.815   |9.92     |~               |    ~     ~    
4764|BD+32 3188                                                            |Spectroscopic Binary           |18 43 27.2731581672 +33 07 49.977189228|062.4120425525227 +15.9723726274403|  6.753 -10.717   |10.58    |~               |    ~     ~    
4765|BD+32 3189                                                            |Star                           |18 44 02.9109856320 +32 24 47.277508500|061.7724722873942 +15.5831817106470| 12.801 -32.148   |10.40    |~               |    ~     ~    
4766|BD+32 3194                                                            |Star                           |18 44 46.9516371072 +32 42 26.143482420|062.1160371497057 +15.5532235557327|  -0.577 -7.528   |9.959    |~               |    ~     ~    
