C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
61  |TYC 3527-162-1                                                        |Star                           |18 43 04.7848981392 +45 14 28.972457736|074.3274268124119 +20.2815464320448|   -0.063 5.825   |10.78    |~               |    ~     ~    
62  |TYC 3527-179-1                                                        |High Proper Motion Star        |18 38 12.2125677648 +45 01 37.288175844|073.8230110165367 +21.0316971225098|-70.792 -63.504   |10.21    |~               |    ~     ~    
63  |TYC 3527-227-1                                                        |Star                           |18 39 47.9713769976 +45 02 22.016302548|073.9287389998432 +20.7673024981015| -5.584 -21.576   |10.27    |~               |    ~     ~    
64  |TYC 3527-257-1                                                        |Star                           |18 35 56.8444898616 +45 16 22.452730860|073.9452834965011 +21.4852433226723|-28.826 -19.203   |10.74    |~               |    ~     ~    
65  |TYC 3527-278-1                                                        |Star                           |18 34 53.7382488696 +45 06 19.416515580|073.7139791261185 +21.6121943694189|  -0.700 14.525   |9.84     |~               |    ~     ~    
66  |TYC 3527-292-1                                                        |Star                           |18 36 12.2064581040 +45 03 19.901587788|073.7370594147955 +21.3769846774140|  0.327 -15.494   |10.50    |~               |    ~     ~    
67  |TYC 3527-312-1                                                        |Star                           |18 40 03.5112501672 +45 05 34.500923916|073.9982786821968 +20.7404385753610|    0.612 3.925   |10.77    |~               |    ~     ~    
68  |TYC 3527-360-1                                                        |Star                           |18 42 16.8286718304 +45 04 28.372698948|074.1110490739068 +20.3622585871872|   1.211 -0.292   |10.66    |~               |    ~     ~    
69  |TYC 3527-373-1                                                        |Star                           |18 38 53.2884305328 +46 51 51.682853340|075.7411321929355 +21.4723909036271|-18.868 -23.920   |9.93     |~               |    ~     ~    
70  |TYC 3527-403-1                                                        |Spectroscopic Binary           |18 39 58.6788457008 +46 52 21.258274332|075.8092221704875 +21.2970462902535|   -0.861 1.010   |10.61    |Am              |    ~     ~    
71  |TYC 3527-440-1                                                        |Spectroscopic Binary           |18 41 33.3425804856 +46 40 41.947909680|075.6983046515844 +20.9808159199103| -16.336 10.530   |10.63    |~               |    ~     ~    
72  |TYC 3527-453-1                                                        |Star                           |18 35 17.2254044232 +45 32 24.251938332|074.1825544224951 +21.6753186220970|  5.482 -35.121   |10.68    |~               |    ~     ~    
73  |TYC 3527-534-1                                                        |Star                           |18 40 03.4123842048 +46 28 41.170725228|075.4100325682967 +21.1653875913553|  0.190 -38.800   |10.70    |~               |    ~     ~    
74  |TYC 3527-659-1                                                        |Star                           |18 37 38.5543178280 +45 33 36.138449844|074.3353539652840 +21.2877147764849|  -11.818 5.354   |10.90    |~               |    ~     ~    
75  |TYC 3527-781-1                                                        |Star                           |18 36 46.0384308984 +45 21 25.162451676|074.0778773182221 +21.3729382271048|   -3.663 5.225   |10.70    |~               |    ~     ~    
76  |TYC 3527-788-1                                                        |Star                           |18 39 11.5845552744 +46 27 18.239143788|075.3383902088161 +21.3002768844042|   -0.287 6.336   |10.69    |~               |    ~     ~    
77  |TYC 3527-862-1                                                        |Star                           |18 39 26.0216109672 +46 39 43.135966512|075.5635865042397 +21.3228667661038|  9.531 -16.097   |10.00    |F7III           |    ~     ~    
78  |TYC 3527-863-1                                                        |Star                           |18 39 40.0253829240 +45 26 49.599885444|074.3358858676314 +20.9154461618445|   3.251 -8.362   |9.63     |~               |    ~     ~    
79  |TYC 3527-889-1                                                        |Star                           |18 42 48.0043166376 +45 19 58.997647812|074.4035053297914 +20.3572688878179|  12.597 11.866   |10.76    |~               |    ~     ~    
80  |TYC 3527-890-1                                                        |Star                           |18 44 25.5486984648 +46 40 41.047654800|075.8607296827688 +20.5125451991923|  -3.090 -6.266   |10.73    |~               |    ~     ~    
81  |TYC 3527-932-1                                                        |Star                           |18 37 38.8517546304 +46 33 01.531751544|075.3510928036217 +21.5825653690186|    2.230 2.227   |10.76    |F6III           |    ~     ~    
82  |TYC 3527-949-1                                                        |High Proper Motion Star        |18 44 06.3443670480 +45 03 12.688760016|074.1993898633694 +20.0500922632473|-13.756 115.917   |10.73    |~               |    ~     ~    
83  |TYC 3527-1058-1                                                       |Star                           |18 44 33.2933928504 +46 00 37.763746128|075.1922408089321 +20.2811100775326| -9.115 -15.977   |10.67    |K2III           |    ~     ~    
84  |TYC 3527-1168-1                                                       |Star                           |18 42 23.5759180920 +46 21 53.371800360|075.4263926115509 +20.7474453484957|  0.090 -11.360   |10.45    |~               |    ~     ~    
85  |TYC 3527-1233-1                                                       |Star                           |18 44 08.6840151624 +45 23 11.853826692|074.5377211214951 +20.1503665281874|   0.966 -2.996   |10.65    |~               |    ~     ~    
86  |TYC 3527-1261-1                                                       |Star                           |18 36 04.2329834400 +45 24 32.585457600|074.0918752691025 +21.5052590867157|    0.333 0.846   |10.67    |~               |    ~     ~    
87  |TYC 3527-1286-1                                                       |Star                           |18 36 38.3732458944 +46 22 38.890594524|075.1182625689744 +21.6974766707053|  -9.832 16.440   |10.71    |~               |    ~     ~    
88  |TYC 3527-1297-1                                                       |Star                           |18 42 34.8591502728 +45 20 31.559730288|074.3996746489298 +20.3966541994032|  -0.700 11.225   |10.79    |~               |    ~     ~    
89  |TYC 3527-1348-1                                                       |High Proper Motion Star        |18 36 52.0137822168 +46 48 52.704937332|075.5806065903550 +21.7881150246032|  22.442 29.455   |10.29    |~               |    ~     ~    
