C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:00:10

dec< 0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5768

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
5394|TYC 5374-1249-1                                                       |Star                              |06 13 50.8098135360 -14 58 50.586756204|222.3526749237819 -14.9664805837122|   0.452 -3.250   |10.82    |~                |    ~     ~    |    1| 1510.118   pc  | -43.5567    +43.5567  |paral   |2020yCat.1350....0G
5395|TYC 5374-1421-1                                                       |Star                              |06 12 39.7955684328 -14 43 57.869695596|221.9957564383016 -15.1229466373229|   -1.502 2.322   |10.83    |~                |    ~     ~    |    1| 1704.739   pc  | -50.5668    +50.5668  |paral   |2020yCat.1350....0G
5396|HD 42283B                                                             |Star                              |06 09 10.013827 -14 03 55.36549        |221.000173433 -15.613445644        |     -12.2 -3.1   |9.45     |~                |    ~     ~    |    0|                |                       |        |                   
5397|TYC 5374-1717-1                                                       |Star                              |06 11 49.6171953120 -14 20 37.377453156|221.5420193360611 -15.1442562055429|   -4.130 4.145   |10.56    |~                |    ~     ~    |    1|  902.609   pc  | -13.4426    +13.4426  |paral   |2020yCat.1350....0G
5398|HD 42185A                                                             |Star                              |06 08 46.7847104640 -14 57 43.951861944|221.8073305695259 -16.0718551043185|  -8.903 -4.517   |10.22    |~                |    ~     ~    |    1|  334.303   pc  |  -3.2969     +3.2969  |paral   |2020yCat.1350....0G
5399|HD 42185B                                                             |Star                              |06 08 46.9489243968 -14 57 46.079073828|221.8081751955382 -16.0714981861923|  -8.438 -4.589   |10.32    |~                |    ~     ~    |    1|  335.875   pc  |  -1.7599     +1.7599  |paral   |2020yCat.1350....0G
5400|TYC 5932-41-1                                                         |Star                              |06 02 17.5886764776 -16 52 26.919365592|222.9683657886245 -18.2756841657231|   5.990 -2.473   |10.97    |~                |    ~     ~    |    1|  239.366   pc  |  -0.9167     +0.9167  |paral   |2020yCat.1350....0G
5401|TYC 5932-57-1                                                         |Star                              |06 06 28.5001009632 -16 37 36.442654356|223.1549922666285 -17.2599062982840|    4.518 1.489   |10.69    |~                |    ~     ~    |    1| 1495.886   pc  | -38.4880    +38.4880  |paral   |2020yCat.1350....0G
5402|TYC 5932-337-1                                                        |Star                              |06 01 51.6524781384 -16 43 38.757244188|222.7830837012587 -18.3114616491266|    1.957 6.491   |10.67    |~                |    ~     ~    |    1|  668.226   pc  |  -6.3853     +6.3853  |paral   |2020yCat.1350....0G
5403|TYC 5932-455-1                                                        |Star                              |06 03 57.8220459912 -16 44 55.822797060|223.0169634784129 -17.8592728205722|   1.301 -3.513   |10.70    |~                |    ~     ~    |    1| 1237.317   pc  | -21.2803    +21.2803  |paral   |2020yCat.1350....0G
5404|TYC 5932-992-1                                                        |Star                              |06 00 21.0318159816 -16 11 27.662277192|222.1120461633655 -18.4267634813427|   -1.825 4.354   |10.932   |~                |    ~     ~    |    1|  924.233   pc  | -45.4900    +45.4900  |ST-L    |2020AJ....160...83S
5405|TYC 5933-99-1                                                         |Star                              |06 09 28.4578177632 -15 02 42.384954696|221.9581043018113 -15.9535390667648|   -2.612 1.282   |9.73     |~                |    ~     ~    |    1|  665.380   pc  |  -8.5890     +8.5890  |paral   |2020yCat.1350....0G
5406|TYC 5933-452-1                                                        |Star                              |06 12 06.5474058504 -15 53 30.021583848|223.0321423130498 -15.7253323065735|  4.490 -22.755   |10.94    |~                |    ~     ~    |    1|  539.025   pc  |  -6.7407     +6.7407  |paral   |2020yCat.1350....0G
5407|TYC 5933-819-1                                                        |Star                              |06 13 43.3285071792 -15 26 27.412313316|222.7731154759067 -15.1853517969743|  2.822 -14.347   |10.91    |~                |    ~     ~    |    1| 1074.229   pc  | -20.1944    +20.1944  |paral   |2020yCat.1350....0G
5408|TYC 5933-1075-1                                                       |Star                              |06 12 32.2205251704 -15 30 40.650993792|222.7167066268812 -15.4743537310984|  8.405 -13.330   |10.912   |~                |    ~     ~    |    1|  798.411   pc  | -30.3900    +30.3900  |ST-L    |2020AJ....160...83S
5409|TYC 5933-1083-1                                                       |Star                              |06 10 07.5067836360 -15 22 16.885033680|222.3345730245593 -15.9455923354910|    2.039 7.008   |10.76    |~                |    ~     ~    |    1| 1465.631   pc  | -27.7102    +27.7102  |paral   |2020yCat.1350....0G
5410|TYC 5933-1186-1                                                       |Star                              |06 10 16.4151504864 -16 08 21.217772832|223.0781680231444 -16.2291885175201|  25.202 -1.562   |10.78    |~                |    ~     ~    |    1|  222.296   pc  |  -0.7116     +0.7116  |paral   |2020yCat.1350....0G
5411|TYC 5933-1380-1                                                       |Star                              |06 09 57.3916489680 -16 29 30.876855684|223.3810456251897 -16.4429526507505| -10.491 40.636   |10.73    |~                |    ~     ~    |    1|  166.229   pc  |  -0.4145     +0.4145  |paral   |2020yCat.1350....0G
5412|TYC 5933-1384-1                                                       |Star                              |06 11 59.5238653104 -16 33 09.350343648|223.6465533201403 -16.0225759318143|   -1.481 1.244   |10.78    |~                |    ~     ~    |    1|  600.492   pc  |  -7.0315     +7.0315  |paral   |2020yCat.1350....0G
5413|TYC 5933-1870-2                                                       |Star                              |06 11 24.634 -16 49 41.80              |223.849213 -16.262355              |     -13.2 -5.6   |8.95     |~                |    ~     ~    |    0|                |                       |        |                   
5414|TYC 5936-170-1                                                        |Spectroscopic Binary              |06 06 10.4379642744 -18 02 20.685633252|224.4810521835191 -17.8936846603955|  -2.119 -0.122   |10.78    |~                |    ~     ~    |    1| 2472.799   pc  |-108.2308   +108.2308  |paral   |2020yCat.1350....0G
5415|TYC 5936-346-1                                                        |Star                              |06 01 50.8611495456 -18 05 03.660808272|224.0946027304692 -18.8553988222723| -29.666 12.262   |10.66    |~                |    ~     ~    |    1|  105.818   pc  |  -0.1601     +0.1601  |paral   |2020yCat.1350....0G
5416|TYC 5936-622-1                                                        |Star                              |06 05 00.6452362728 -18 42 00.084266352|225.0042921959006 -18.4092488233370|   -1.924 5.728   |10.91    |~                |    ~     ~    |    1|  742.005   pc  | -16.0216    +16.0216  |paral   |2020yCat.1350....0G
5417|TYC 5936-1038-1                                                       |Star                              |06 07 50.5550582520 -17 18 37.630813464|223.9481745095552 -17.2373473305714|  -12.233 2.724   |10.84    |~                |    ~     ~    |    1|  412.201   pc  |  -2.5996     +2.5996  |paral   |2020yCat.1350....0G
5418|TYC 5936-1078-1                                                       |Star                              |06 04 37.8446657592 -17 04 34.298637060|223.3992601274185 -17.8450892925177|   5.027 -9.092   |10.90    |~                |    ~     ~    |    1|  438.174   pc  |  -2.4960     +2.4960  |paral   |2020yCat.1350....0G
5419|TYC 5936-1394-1                                                       |Star                              |06 06 18.6462217344 -17 10 24.667067964|223.6623668285932 -17.5168468775604|   3.406 -7.721   |10.96    |~                |    ~     ~    |    1| 1218.769   pc  | -18.7160    +18.7160  |paral   |2020yCat.1350....0G
5420|TYC 5936-1425-1                                                       |Star                              |06 05 23.6847474576 -17 24 00.813160476|223.7879403747255 -17.8082091575786|    2.140 0.314   |10.98    |~                |    ~     ~    |    1| 2191.060   pc  | -91.6942    +91.6942  |paral   |2020yCat.1350....0G
5421|TYC 5936-1634-1                                                       |Star                              |06 05 48.8649880128 -17 44 21.348467880|224.1563503229607 -17.8523747080870|    1.483 6.561   |10.88    |~                |    ~     ~    |    1| 1503.759   pc  | -28.9445    +28.9445  |paral   |2020yCat.1350....0G
5422|TYC 5936-1729-1                                                       |Star                              |06 00 17.2373539896 -17 44 07.935338292|223.6005888307284 -19.0582811420663|  -3.675 -8.546   |10.94    |~                |    ~     ~    |    1|  774.713   pc  |  -7.2622     +7.2622  |paral   |2020yCat.1350....0G
5423|TYC 5936-1827-1                                                       |Star                              |06 03 04.8503715408 -17 50 16.932476796|223.9786226925408 -18.4885182186123|    0.778 4.743   |10.789   |~                |    ~     ~    |    1|  861.231   pc  | -48.6600    +48.6600  |ST-L    |2020AJ....160...83S
5424|TYC 5937-282-1                                                        |Star                              |06 12 26.7995671032 -17 43 08.923768572|224.8021455924726 -16.3984981977468|  -3.460 10.484   |10.985   |~                |    ~     ~    |    1| 1244.480   pc  |-111.6000   +111.6000  |ST-L    |2020AJ....160...83S
5425|TYC 5937-834-1                                                        |Spectroscopic Binary              |06 08 18.1738431648 -18 30 02.860693668|225.1371757467061 -17.6141439015663|   3.012 -5.019   |10.819   |~                |    ~     ~    |    1|  815.432   pc  | -28.0300    +28.0300  |ST-L    |2020AJ....160...83S
5426|TYC 5937-1025-1                                                       |Star                              |06 10 46.5737388000 -18 41 13.943763744|225.5612118823642 -17.1510518728716|   -5.989 6.430   |10.54    |~                |    ~     ~    |    1|  464.253   pc  |  -3.7071     +3.7071  |paral   |2020yCat.1350....0G
5427|TYC 5937-1035-1                                                       |Star                              |06 11 14.7253834104 -18 12 32.074983972|225.1495627066748 -16.8574761687233|   -7.876 3.509   |10.66    |~                |    ~     ~    |    1|  911.910   pc  | -16.4653    +16.4653  |paral   |2020yCat.1350....0G
5428|TYC 5937-1397-1                                                       |Star                              |06 11 21.3128751480 -17 57 59.088151404|224.9286502603690 -16.7359922913347|   -4.015 7.371   |10.93    |~                |    ~     ~    |    1|  161.129   pc  |  -0.8905     +0.8905  |paral   |2020yCat.1350....0G
5429|TYC 5940-40-1                                                         |Star                              |06 00 06.9651067920 -19 48 04.324396500|225.6008727374784 -19.9024213512962|   1.429 -7.719   |10.94    |~                |    ~     ~    |    1| 1688.904   pc  | -39.0778    +39.0778  |paral   |2020yCat.1350....0G
5430|TYC 5940-534-1                                                        |Star                              |06 03 25.2291451248 -20 04 53.775395796|226.1934502063211 -19.2941076781609|    6.519 0.348   |10.89    |~                |    ~     ~    |    1|  803.277   pc  |  -8.0012     +8.0012  |paral   |2020yCat.1350....0G
5431|TYC 5940-937-1                                                        |Star                              |06 07 15.1613959488 -20 22 20.632706616|226.8450262805097 -18.5779619768236|   -0.013 5.951   |10.87    |~                |    ~     ~    |    1|  781.677   pc  | -10.6317    +10.6317  |paral   |2020yCat.1350....0G
5432|TYC 5940-991-1                                                        |Star                              |06 07 55.6313112432 -20 32 23.710851996|227.0725496567057 -18.4973993105336|  -0.044 -7.975   |10.910   |~                |    ~     ~    |    1|  962.826   pc  | -35.2200    +35.2200  |ST-L    |2020AJ....160...83S
5433|TYC 5940-1044-1                                                       |Star                              |06 07 37.7413259784 -20 31 56.160714036|227.0365459813131 -18.5587660379658|  -6.092 -3.116   |10.982   |~                |    ~     ~    |    1|  785.552   pc  | -32.0300    +32.0300  |ST-L    |2020AJ....160...83S
5434|TYC 5940-1319-1                                                       |Star                              |06 06 29.0082864552 -19 02 12.864741540|225.4751410091854 -18.2219945500569|   -0.556 0.882   |10.96    |~                |    ~     ~    |    1| 2691.790   pc  |-109.4106   +109.4106  |paral   |2020yCat.1350....0G
5435|TYC 5940-1580-1                                                       |Star                              |06 03 54.9413922408 -18 56 59.064787212|225.1388544357241 -18.7457506166550|  -1.775 -3.711   |10.85    |~                |    ~     ~    |    1| 1008.573   pc  | -12.0032    +12.0032  |paral   |2020yCat.1350....0G
5436|TYC 5940-1717-1                                                       |Star                              |06 06 35.1641705280 -19 09 18.416722500|225.5995869498433 -18.2462905970979|   -2.553 4.697   |10.51    |~                |    ~     ~    |    1|  905.633   pc  |  -8.9399     +8.9399  |paral   |2020yCat.1350....0G
5437|TYC 5940-2169-1                                                       |Star                              |06 07 10.9916472336 -19 35 57.242091732|226.0879334263152 -18.2912933936855|   1.071 -1.515   |10.79    |~                |    ~     ~    |    1| 2477.087   pc  | -90.8122    +90.8122  |paral   |2020yCat.1350....0G
5438|TYC 5940-2246-1                                                       |Star                              |06 07 52.8676594848 -19 36 51.510450852|226.1704235377406 -18.1460209471622|    0.890 1.217   |10.92    |~                |    ~     ~    |    1| 1217.582   pc  | -19.4208    +19.4208  |paral   |2020yCat.1350....0G
5439|TYC 5940-2449-1                                                       |Star                              |06 02 48.4243429224 -19 42 53.429213628|225.7760283338279 -19.2850912984730| -0.098 -10.015   |10.50    |~                |    ~     ~    |    1|  662.778   pc  |  -6.8088     +6.8088  |paral   |2020yCat.1350....0G
5440|TYC 5941-1143-1                                                       |Star                              |06 10 44.3440092000 -20 23 22.002309276|227.1968871314034 -17.8322351870294|   -3.922 0.010   |10.65    |~                |    ~     ~    |    1|  445.177   pc  |  -2.6358     +2.6358  |paral   |2020yCat.1350....0G
5441|TYC 5941-1204-1                                                       |Star                              |06 08 55.1168555448 -19 52 32.028350376|226.5239894981922 -18.0240072058331|   9.069 -5.905   |10.93    |~                |    ~     ~    |    1|  912.468   pc  | -45.6900    +45.6900  |ST-L    |2020AJ....160...83S
5442|TYC 5941-1417-1                                                       |Star                              |06 09 06.5140612968 -19 56 06.288230868|226.5999750466315 -18.0062757285286|  -2.931 14.320   |10.81    |~                |    ~     ~    |    1|  974.849   pc  | -11.4990    +11.4990  |paral   |2020yCat.1350....0G
5443|TYC 5941-1428-1                                                       |Star                              |06 09 01.4058359112 -19 57 57.384908388|226.6215817171684 -18.0367792432557|   -2.934 1.974   |10.73    |~                |    ~     ~    |    1|  292.022   pc  |  -1.1342     +1.1342  |paral   |2020yCat.1350....0G
5444|TYC 5941-1729-1                                                       |Star                              |06 13 19.0637291088 -20 17 33.679486500|227.3526227343906 -17.2383610389330|   2.404 -1.290   |10.79    |~                |    ~     ~    |    1| 2285.714   pc  | -66.8735    +66.8735  |paral   |2020yCat.1350....0G
5445|TYC 5944-279-2                                                        |Star                              |06 02 33.6188778936 -21 26 54.978017532|227.4530095879666 -20.0026498580238|   -1.282 8.536   |10.96    |~                |    ~     ~    |    1| 1105.583   pc  | -17.8458    +17.8458  |paral   |2020yCat.1350....0G
5446|TYC 5944-412-1                                                        |Star                              |06 07 57.7912980744 -21 31 12.741479508|228.0307233372830 -18.8677299808390|    7.864 7.949   |10.84    |~                |    ~     ~    |    1|  958.313   pc  | -14.6020    +14.6020  |paral   |2020yCat.1350....0G
5447|TYC 5944-686-1                                                        |Star                              |06 07 55.3201640232 -21 49 22.590235668|228.3225709493728 -18.9923481799604|   -1.299 1.302   |10.797   |~                |    ~     ~    |    1| 1124.020   pc  | -74.2900    +74.2900  |ST-L    |2020AJ....160...83S
5448|TYC 5944-742-1                                                        |Star                              |06 07 09.1777973880 -22 06 13.499659152|228.5256145486945 -19.2640951716070|  -2.584 -9.805   |10.82    |~                |    ~     ~    |    1|  972.668   pc  | -11.2584    +11.2584  |paral   |2020yCat.1350....0G
5449|TYC 5944-1231-1                                                       |Star                              |06 04 53.8792022472 -22 14 03.591467844|228.4445541257885 -19.7967965339648|  5.080 -11.125   |10.73    |~                |    ~     ~    |    1|  894.935   pc  | -10.4919    +10.4919  |paral   |2020yCat.1350....0G
5450|TYC 5944-1407-1                                                       |Star                              |06 01 15.6409322976 -22 24 24.067528992|228.2795572156202 -20.6413902770286|  4.039 -31.973   |10.78    |~                |    ~     ~    |    1|  288.035   pc  |  -1.2528     +1.2528  |paral   |2020yCat.1350....0G
5451|TYC 5944-1756-1                                                       |Star                              |06 07 07.5233740344 -21 20 50.050777380|227.7828407232111 -18.9815149609141|   -1.650 1.812   |10.92    |~                |    ~     ~    |    1| 3960.396   pc  |-254.0927   +254.0927  |paral   |2020yCat.1350....0G
5452|TYC 5944-1881-1                                                       |Star                              |06 06 28.9879961112 -21 19 10.002273636|227.6950750997327 -19.1090241806840|    3.172 3.709   |10.86    |~                |    ~     ~    |    1| 1871.257   pc  | -54.6250    +54.6250  |paral   |2020yCat.1350....0G
5453|TYC 5944-2060-1                                                       |Star                              |06 06 53.2674262536 -21 13 55.556504940|227.6479438196223 -18.9884782894017|  2.009 -21.394   |10.96    |~                |    ~     ~    |    1|  304.999   pc  |  -5.5908     +5.5908  |paral   |2020yCat.1350....0G
5454|TYC 5944-2119-1                                                       |Star                              |06 07 42.8162877648 -21 15 40.783609224|227.7545694466012 -18.8220313787812|    2.618 6.762   |10.976   |~                |    ~     ~    |    1|  913.783   pc  | -43.2500    +43.2500  |ST-L    |2020AJ....160...83S
5455|TYC 5944-2648-1                                                       |Star                              |06 03 03.0253449264 -20 39 04.859760888|226.7157547046513 -19.5933744700071|   -1.416 0.781   |10.98    |~                |    ~     ~    |    1| 1105.461   pc  | -15.2755    +15.2755  |paral   |2020yCat.1350....0G
5456|TYC 5945-12-1                                                         |Star                              |06 08 54.8754429384 -20 38 03.436997856|227.2587828171079 -18.3210971244618|  9.629 -18.767   |10.89    |~                |    ~     ~    |    1|  325.935   pc  |  -6.2465     +6.2465  |paral   |2020yCat.1350....0G
5457|TYC 5945-164-1                                                        |Star                              |06 10 17.3011373976 -21 03 41.341440168|227.8045364644002 -18.1911356094809|  -5.631 11.557   |10.99    |~                |    ~     ~    |    1|  906.125   pc  | -10.4275    +10.4275  |paral   |2020yCat.1350....0G
5458|TYC 5945-228-1                                                        |Star                              |06 09 19.7393849256 -21 04 36.294440772|227.7280667206072 -18.4033882289651|    1.133 1.277   |10.98    |~                |    ~     ~    |    1| 2651.113   pc  |-214.3663   +214.3663  |paral   |2020yCat.1350....0G
5459|TYC 5945-1615-1                                                       |Star                              |06 13 32.6953258704 -21 57 51.241476816|228.9881860360235 -17.8423630487322|   9.707 -1.115   |10.80    |~                |    ~     ~    |    1|  407.997   pc  |  -2.5968     +2.5968  |paral   |2020yCat.1350....0G
5460|TYC 5945-1994-1                                                       |Star                              |06 13 16.6446279672 -20 39 05.874237504|227.6943854682747 -17.3882676337198|   -4.807 2.405   |10.31    |~                |    ~     ~    |    1|  519.049   pc  |  -7.5705     +7.5705  |paral   |2020yCat.1350....0G
5461|TYC 6492-856-1                                                        |Star                              |06 04 39.3350839176 -22 57 45.966836232|229.1409260719481 -20.1213326793850|   -1.488 6.747   |10.92    |~                |    ~     ~    |    1|  917.095   pc  | -10.4292    +10.4292  |paral   |2020yCat.1350....0G
5462|TYC 6492-1143-1                                                       |Star                              |06 04 59.9139335208 -23 24 10.213406028|229.6074140806571 -20.2114742276804|    5.468 2.087   |10.718   |~                |    ~     ~    |    1|  867.591   pc  | -25.9600    +25.9600  |ST-L    |2020AJ....160...83S
5463|TYC 6492-1943-1                                                       |Pulsating Variable                |06 02 38.6427639312 -23 47 14.336247948|229.7773877608026 -20.8544810691515|   -8.331 2.961   |10.50    |~                |    ~     ~    |    1|  373.972   pc  |  -2.0139     +2.0139  |paral   |2020yCat.1350....0G
5464|TYC 6492-2490-1                                                       |Star                              |06 08 15.6034877064 -22 55 59.930541192|229.4417899462534 -19.3407957879464|    2.076 2.907   |10.969   |~                |    ~     ~    |    1| 1037.620   pc  | -40.5200    +40.5200  |ST-L    |2020AJ....160...83S
5465|TYC 6492-2569-1                                                       |Star                              |06 05 31.7841353136 -23 23 54.417446700|229.6511613534842 -20.0966482600593|  -5.050 15.361   |10.02    |~                |    ~     ~    |    1|  956.389   pc  | -27.1660    +27.1660  |paral   |2020yCat.1350....0G
5466|TYC 6492-2570-1                                                       |Star                              |06 05 30.7109822184 -23 23 51.425450448|229.6487193834896 -20.1001514943798|    0.225 6.503   |10.28    |~                |    ~     ~    |    1|  886.132   pc  | -10.0509    +10.0509  |paral   |2020yCat.1350....0G
5467|TYC 6496-615-1                                                        |Star                              |06 05 11.0347967232 -25 06 08.926765740|231.3129817113328 -20.7932924294053|  -4.350 -0.459   |10.74    |~                |    ~     ~    |    1|  566.669   pc  | -18.9136    +18.9136  |paral   |2020yCat.1350....0G
5468|TYC 6496-1119-1                                                       |Star                              |06 06 26.0153954568 -25 13 22.875011112|231.5422889670388 -20.5731383072509|   0.338 -2.864   |10.77    |~                |    ~     ~    |    1| 1032.540   pc  | -37.7600    +37.7600  |ST-L    |2020AJ....160...83S
5469|TYC 6496-1289-1                                                       |Star                              |06 02 21.5925996384 -25 01 34.082967072|230.9904113982629 -21.3627035532659|    2.769 1.534   |10.849   |~                |    ~     ~    |    1| 3368.040   pc  |-592.6000   +592.6000  |ST-L    |2020AJ....160...83S
5470|TYC 6496-1551-1                                                       |Star                              |06 02 00.2947731048 -26 05 44.026031292|232.0354189804020 -21.8164755221110|   -2.159 0.009   |10.94    |~                |    ~     ~    |    1| 1136.622   pc  | -13.0483    +13.0483  |paral   |2020yCat.1350....0G
5471|TYC 6500-171-1                                                        |Star                              |06 03 40.2692612880 -27 49 44.761932444|233.9272395197750 -22.0690722492792|   3.723 22.653   |10.891   |~                |    ~     ~    |    1|  411.262   pc  |  -8.3370     +8.3370  |ST-L    |2020AJ....160...83S
5472|TYC 6500-1050-1                                                       |Star                              |06 04 23.0298674616 -27 03 33.410814156|233.2075839119028 -21.6549035497965|    0.246 3.349   |10.960   |~                |    ~     ~    |    1| 1561.760   pc  |-134.9000   +134.9000  |ST-L    |2020AJ....160...83S
5473|TYC 6504-498-1                                                        |Star                              |06 03 18.5417990736 -29 39 39.624056856|235.7645988849745 -22.7598749434724|   5.290 11.304   |10.86    |~                |    ~     ~    |    1|  560.287   pc  |  -3.5159     +3.5159  |paral   |2020yCat.1350....0G
5474|TYC 6504-1038-1                                                       |Star                              |06 03 16.7996583576 -28 34 32.652244848|234.6542590665145 -22.4037840412186|  -6.434 12.593   |10.925   |~                |    ~     ~    |    1| 1063.130   pc  | -54.5100    +54.5100  |ST-L    |2020AJ....160...83S
5475|TYC 6504-1449-1                                                       |Star                              |06 00 02.4135886080 -28 56 19.981867560|234.7687366669160 -23.1942914140940|   2.861 25.484   |10.83    |~                |    ~     ~    |    1|  222.836   pc  |  -0.6753     +0.6753  |paral   |2020yCat.1350....0G
5476|TYC 6504-2098-1                                                       |Star                              |06 08 16.4838904416 -28 43 02.069304024|235.1996534981385 -21.4215138381311|  7.526 -23.717   |10.00    |~                |    ~     ~    |    1|  158.823   pc  |  -0.3279     +0.3279  |paral   |2020yCat.1350....0G
5477|TYC 6505-429-1                                                        |Star                              |06 13 04.5933132504 -22 39 48.264782220|229.6230180014362 -18.2113652119884|   -2.031 2.680   |10.700   |~                |    ~     ~    |    1|  733.925   pc  | -27.2300    +27.2300  |ST-L    |2020AJ....160...83S
5478|TYC 6505-573-1                                                        |Star                              |06 11 19.9470047040 -22 51 40.356238968|229.6541268331988 -18.6584816844255|  -1.932 -2.702   |10.64    |~                |    ~     ~    |    1|  912.992   pc  |  -9.5859     +9.5859  |paral   |2020yCat.1350....0G
5479|TYC 6505-1047-1                                                       |Star                              |06 13 14.9566863504 -23 24 03.196782252|230.3572599166071 -18.4556761010381|    0.723 4.932   |10.89    |~                |    ~     ~    |    1| 1130.327   pc  | -14.8206    +14.8206  |paral   |2020yCat.1350....0G
5480|TYC 6505-1622-1                                                       |Star                              |06 12 00.0956300040 -24 20 55.079007972|231.1713297373571 -19.0765305695782|   4.842 -0.606   |10.72    |~                |    ~     ~    |    1|  390.747   pc  |  -5.3745     +5.3745  |paral   |2020yCat.1350....0G
5481|TYC 6509-625-1                                                        |Star                              |06 12 57.3814400544 -26 10 11.619216948|233.0494661448375 -19.5477437674850|  -17.037 6.247   |10.96    |~                |    ~     ~    |    1|  420.151   pc  |  -9.6290     +9.6290  |ST-L    |2020AJ....160...83S
5482|TYC 6509-1104-1                                                       |Star                              |06 10 09.2776875120 -24 35 00.854452860|231.2370907718629 -19.5540021073256|   -3.463 7.011   |10.90    |~                |    ~     ~    |    1|  988.338   pc  | -11.4287    +11.4287  |paral   |2020yCat.1350....0G
5483|TYC 6509-1184-1                                                       |Star                              |06 10 52.1613888696 -25 03 54.083419092|231.7755092414237 -19.5808109777459|   3.555 25.791   |10.95    |~                |    ~     ~    |    1|   83.899   pc  |  -0.0873     +0.0873  |paral   |2020yCat.1350....0G
5484|HD 42899B                                                             |Star                              |06 12 17.6932242539 -25 14 43.187404930|232.0793194974872 -19.3473197616342|   -2.806 5.381   |8.70     |~                |    ~     ~    |    1|  129.438   pc  |  -2.5751     +2.5751  |paral   |2020yCat.1350....0G
5485|TYC 6513-1527-1                                                       |Spectroscopic Binary              |06 12 32.2746090168 -27 28 21.780499512|234.3052781483936 -20.1049146395667|   -0.285 2.775   |10.54    |~                |    ~     ~    |    1| 2544.529   pc  |-128.1977   +128.1977  |paral   |2020yCat.1350....0G
5486|TYC 6513-1649-1                                                       |Star                              |06 09 30.2629568424 -27 21 09.138918060|233.9303105704360 -20.6915627263498|    1.017 0.259   |10.68    |~                |    ~     ~    |    1|  240.050   pc  |  -0.7203     +0.7203  |paral   |2020yCat.1350....0G
5487|TYC 6517-255-1                                                        |Star                              |06 12 18.6147345504 -28 19 48.797086044|235.1411219999511 -20.4558395642098|-15.009 -15.186   |10.89    |~                |    ~     ~    |    1|  339.997   pc  |  -1.2831     +1.2831  |paral   |2020yCat.1350....0G
5488|TYC 6517-1872-1                                                       |Star                              |06 10 11.8925187024 -29 38 30.092551332|236.2867958161835 -21.3434010169961|  -1.547 -0.607   |10.953   |~                |    ~     ~    |    1| 1758.670   pc  |-151.7000   +151.7000  |ST-L    |2020AJ....160...83S
5489|TYC 6517-2200-1                                                       |Star                              |06 13 03.2368552248 -29 57 27.690325380|236.8323195459296 -20.8694115503518|   -2.640 2.351   |10.432   |~                |    ~     ~    |    1| 1550.400   pc  |-113.1000   +113.1000  |ST-L    |2020AJ....160...83S
5490|TYC 7071-80-1                                                         |Star                              |06 03 02.0825369016 -31 50 33.028198116|237.9894242296458 -23.5195783739757|    3.585 4.374   |10.94    |~                |    ~     ~    |    1| 2751.789   pc  | -82.5385    +82.5385  |paral   |2020yCat.1350....0G
5491|TYC 7071-571-1                                                        |Star                              |06 06 10.2657298416 -31 34 14.781700200|237.9404964118737 -22.8006934168062|   6.160 21.253   |10.20    |~                |    ~     ~    |    1|  481.997   pc  |  -2.6949     +2.6949  |paral   |2020yCat.1350....0G
5492|TYC 7071-1264-1                                                       |Star                              |06 02 13.5691712400 -30 26 43.579379868|236.4868468340680 -23.2376129642340|   5.525 -3.763   |10.880   |~                |    ~     ~    |    1| 1125.010   pc  | -45.8700    +45.8700  |ST-L    |2020AJ....160...83S
5493|TYC 7071-1862-1                                                       |Star                              |06 01 09.6669385056 -30 13 52.395499632|236.1852487613990 -23.3858680047586|    1.525 5.120   |10.65    |~                |    ~     ~    |    1| 2696.872   pc  |-112.7333   +112.7333  |paral   |2020yCat.1350....0G
5494|TYC 7072-536-1                                                        |Star                              |06 12 17.9127430224 -30 34 01.626056904|237.3865418323716 -21.2306230213609|  -0.741 10.255   |10.95    |~                |    ~     ~    |    1|  554.293   pc  |  -3.1953     +3.1953  |paral   |2020yCat.1350....0G
5495|TYC 7072-637-1                                                        |Star                              |06 12 42.5087237136 -30 16 08.363249076|237.1181440094075 -21.0461722015060|  -2.552 -1.556   |10.88    |~                |    ~     ~    |    1| 1112.140   pc  | -58.5100    +58.5100  |ST-L    |2020AJ....160...83S
5496|TYC 7072-697-1                                                        |Star                              |06 13 34.8107935848 -30 31 35.548928832|237.4461514662419 -20.9573165028135|    2.296 1.218   |10.439   |~                |    ~     ~    |    1|  847.883   pc  | -29.3300    +29.3300  |ST-L    |2020AJ....160...83S
5497|CD-31 3001                                                            |Star                              |06 06 41.9020329768 -31 58 38.619958656|238.3972953473640 -22.8252427844520|   10.594 0.107   |10.29    |~                |    ~     ~    |    1|  589.692   pc  |  -4.6944     +4.6944  |paral   |2020yCat.1350....0G
