C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:00:10

dec< 0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5768

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
60  |HD 41263                                                              |Star                              |06 03 58.2290596008 -01 30 51.565144824|208.8266295451988 -11.2448274678502|  -2.154 -2.123   |9.42     |A0V              |    ~     ~    |    1|  594.071   pc  |  -7.3760     +7.3760  |paral   |2020yCat.1350....0G
61  |HD 41334                                                              |Star                              |06 04 24.0189365928 -01 27 17.347936608|208.8231196599614 -11.1220740785760|  -4.683 -1.517   |9.75     |A0IV             |    ~     ~    |    1|  369.604   pc  |  -2.5819     +2.5819  |paral   |2020yCat.1350....0G
62  |HD 41346                                                              |Spectroscopic Binary              |06 04 32.5392997872 -01 34 12.193519440|208.9440468453199 -11.1435299145212|  -7.051 -2.360   |8.88     |A0V              |    ~     ~    |    1|  317.108   pc  |  -1.8804     +1.8804  |paral   |2020yCat.1350....0G
63  |HD 291168                                                             |Star                              |06 04 37.3904662416 -01 35 39.870562200|208.9755561509804 -11.1367741058390|    0.970 0.487   |9.40     |K0               |    ~     ~    |    1|  473.373   pc  |  -3.0475     +3.0475  |paral   |2020yCat.1350....0G
64  |HD 41381                                                              |Star                              |06 04 42.8347791240 -01 34 49.672709148|208.9735517856916 -11.1102267746959|-21.387 -14.538   |6.95     |A1V              |    ~     ~    |    1|  128.291   pc  |  -0.4707     +0.4707  |paral   |2020yCat.1350....0G
65  |HD 41420                                                              |High Proper Motion Star           |06 04 57.1630460424 -01 08 03.236631900|208.5979160174530 -10.8519569650034|  9.903 -65.340   |8.13     |F5V              |    ~     ~    |    1|  107.437   pc  |  -0.2724     +0.2724  |paral   |2020yCat.1350....0G
66  |HD 41503                                                              |Star                              |06 05 33.5807661960 -01 15 11.100430692|208.7764318385514 -10.7719929002847|  -3.241 -2.773   |9.00     |A0V              |    ~     ~    |    1|  409.954   pc  |  -3.5965     +3.5965  |paral   |2020yCat.1350....0G
67  |HD 41678                                                              |Star                              |06 06 31.6032619872 -01 01 12.555119028|208.6792404143807 -10.4501929554706|  25.714 -7.636   |8.77     |F3V              |    ~     ~    |    1|  135.529   pc  |  -0.3619     +0.3619  |paral   |2020yCat.1350....0G
68  |HD 41835                                                              |Eclipsing Binary                  |06 07 20.1804336672 -01 57 04.419005652|209.6151569809105 -10.6979752952672|  -7.671 -5.111   |8.32     |A0V              |0.0083  0.0    |    1|  325.998   pc  |  -8.9165     +8.9165  |paral   |2020yCat.1350....0G
69  |HD 41873                                                              |High Proper Motion Star           |06 07 33.1345871976 -01 14 04.828402464|208.9927753117389 -10.3212932909428| 45.123 -33.365   |8.15     |G5V              |    ~     ~    |    1|   70.406   pc  |  -0.2057     +0.2057  |paral   |2020yCat.1350....0G
