C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:42:58

dec< 0&rah >=21.75&rah< 22.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3324

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2891|TYC 6382-544-1                                                                                           |Star                                  |21 53 39.7625550456 -21 51 38.667292668|030.3544285636887 -49.4194434521648|   5.806 -7.457   |10.64    |~                |    ~     ~    |    1| 2924.832   pc  |-180.5029   +180.5029  |paral   |2020yCat.1350....0G
2892|TYC 6382-722-1                                                                                           |Star                                  |21 55 21.6908727048 -20 58 53.845049244|031.8267721364742 -49.5379810912836| -21.318 -6.887   |10.93    |~                |    ~     ~    |    1|  284.641   pc  |  -1.1586     +1.1586  |paral   |2020yCat.1350....0G
2893|TYC 6382-741-1                                                                                           |Star                                  |21 52 16.3884910560 -21 01 08.374965348|031.4382519018560 -48.8623200979778|  -11.995 0.159   |10.785   |~                |    ~     ~    |    1|  793.934   pc  | -35.2900    +35.2900  |ST-L    |2020AJ....160...83S
2894|TYC 6382-1452-1                                                                                          |Star                                  |21 57 34.0561904856 -21 26 45.928447692|031.3771883938189 -50.1673109415627|  -1.476 -2.104   |10.629   |~                |    ~     ~    |    1|  440.504   pc  | -12.6500    +12.6500  |ST-L    |2020AJ....160...83S
2895|TYC 6953-260-1                                                                                           |Star                                  |21 47 04.7945788728 -22 41 24.951423372|028.4972520167039 -48.1900644093936|  11.711 -4.506   |10.82    |~                |    ~     ~    |    1| 1068.947   pc  | -22.8530    +22.8530  |paral   |2020yCat.1350....0G
2896|TYC 6953-464-1                                                                                           |Star                                  |21 47 15.8099485056 -23 05 19.357476072|027.9381449482407 -48.3384517214356|   6.599 -0.537   |10.94    |~                |    ~     ~    |    1| 2520.161   pc  |-111.7813   +111.7813  |paral   |2020yCat.1350....0G
2897|TYC 6954-249-1                                                                                           |Star                                  |21 58 52.1549698920 -22 49 45.821878536|029.4221200872272 -50.8444125017391| 21.304 -22.635   |10.99    |~                |    ~     ~    |    1|  427.387   pc  |  -2.9043     +2.9043  |paral   |2020yCat.1350....0G
2898|TYC 6954-480-1                                                                                           |Star                                  |21 59 57.6745700952 -23 07 51.451646988|029.0649644107623 -51.1662849772698|   8.198 -8.883   |10.87    |~                |    ~     ~    |    1| 3553.660   pc  |-173.0105   +173.0105  |paral   |2020yCat.1350....0G
2899|TYC 6954-624-1                                                                                           |Star                                  |21 57 45.2739493608 -23 05 23.502274800|028.9178800860494 -50.6657426557940|  10.284 -7.224   |10.954   |~                |    ~     ~    |    1| 1325.400   pc  |-237.2000   +237.2000  |ST-L    |2020AJ....160...83S
2900|TYC 6954-642-1                                                                                           |Star                                  |21 57 13.4406219504 -24 35 03.344350920|026.5795951644603 -50.9172898669202|  -5.747 -5.868   |10.986   |~                |    ~     ~    |    1|  902.055   pc  | -41.9400    +41.9400  |ST-L    |2020AJ....160...83S
2901|TYC 6956-31-1                                                                                            |High Proper Motion Star               |21 49 37.6927586568 -25 05 10.120014816|025.1996586984385 -49.3553534781663|72.975 -100.180   |10.98    |~                |    ~     ~    |    1|   75.713   pc  |  -0.1146     +0.1146  |paral   |2020yCat.1350....0G
2902|HD 207039B                                                                                               |Star                                  |21 46 45.9996348768 -27 05 54.875631660|021.9785642975903 -49.1486812611830|  3.280 -25.211   |10.41    |~                |    ~     ~    |    1|  224.477   pc  |  -0.9473     +0.9473  |paral   |2020yCat.1350....0G
2903|TYC 6956-299-1                                                                                           |Star                                  |21 47 12.8754119304 -26 08 42.843805764|023.4358235528976 -49.0557571939048|   -0.594 3.100   |10.80    |~                |    ~     ~    |    1| 1189.061   pc  | -26.0151    +26.0151  |paral   |2020yCat.1350....0G
2904|TYC 6956-734-2                                                                                           |Star                                  |21 46 44.835 -26 35 23.03              |022.739270 -49.044552              |      -11.5 2.0   |10.25    |~                |    ~     ~    |    0|                |                       |        |                   
2905|TYC 6956-777-1                                                                                           |Star                                  |21 48 28.8930900816 -26 10 04.482342912|023.4925970861250 -49.3385407707447|  1.846 -28.199   |10.92    |~                |    ~     ~    |    1|  311.177   pc  |  -4.5898     +4.5898  |paral   |2020yCat.1350....0G
2906|TYC 6956-818-1                                                                                           |Star                                  |21 47 53.8964360184 -26 05 12.946442532|023.5720858320771 -49.1936014092700|-10.103 -10.187   |10.733   |~                |    ~     ~    |    1|  796.490   pc  | -34.2200    +34.2200  |ST-L    |2020AJ....160...83S
2907|TYC 6956-890-1                                                                                           |Star                                  |21 49 11.0242700040 -25 57 28.135629144|023.8589736136683 -49.4487484184426| 16.047 -11.448   |10.092   |~                |    ~     ~    |    1| 1181.440   pc  | -99.6000    +99.6000  |ST-L    |2020AJ....160...83S
2908|TYC 6956-893-1                                                                                           |Star                                  |21 49 07.5924848808 -26 54 38.638325376|022.4167466124756 -49.6285119425587|   5.162 -6.238   |10.56    |~                |    ~     ~    |    1| 1578.283   pc  | -48.3249    +48.3249  |paral   |2020yCat.1350....0G
2909|TYC 6956-947-1                                                                                           |Star                                  |21 48 35.4298365312 -26 22 09.626072304|023.1975833266380 -49.4038690189997|    0.655 0.043   |10.84    |~                |    ~     ~    |    1| 3066.544   pc  |-174.9087   +174.9087  |paral   |2020yCat.1350....0G
2910|TYC 6956-970-1                                                                                           |Star                                  |21 49 52.9131112176 -26 36 06.792969132|022.9357403191573 -49.7336275610678|  4.075 -12.883   |10.649   |~                |    ~     ~    |    1|  318.001   pc  |  -6.4160     +6.4160  |ST-L    |2020AJ....160...83S
2911|TYC 6956-1020-1                                                                                          |Star                                  |21 55 40.1218711776 -26 40 24.551807016|023.2191613326566 -51.0160777928263|  13.188 -7.089   |10.95    |~                |    ~     ~    |    1| 2543.235   pc  | -97.0207    +97.0207  |paral   |2020yCat.1350....0G
2912|TYC 6956-1550-1                                                                                          |High Proper Motion Star               |21 56 31.7738179776 -25 12 19.428161580|025.5635305615452 -50.9042552999859|-30.646 -41.224   |10.37    |~                |    ~     ~    |    1|  199.406   pc  |  -2.5567     +2.5567  |paral   |2020yCat.1350....0G
2913|TYC 6957-1123-1                                                                                          |Star                                  |21 58 53.3846006424 -25 47 24.966250620|024.8320514199633 -51.5491445415566| 21.245 -24.984   |10.98    |~                |    ~     ~    |    1|  154.219   pc  |  -0.3235     +0.3235  |paral   |2020yCat.1350....0G
2914|TYC 6957-1511-1                                                                                          |Star                                  |21 59 58.1251903104 -25 48 59.541869988|024.8709096827008 -51.7922258575638|   0.794 -7.879   |10.93    |~                |    ~     ~    |    1| 1676.165   pc  | -33.7143    +33.7143  |paral   |2020yCat.1350....0G
2915|TYC 6959-1192-1                                                                                          |Star                                  |21 51 26.4507086280 -28 38 58.914203496|019.8888963223836 -50.4345732048271|  0.515 -12.790   |10.72    |~                |    ~     ~    |    1|  857.339   pc  | -10.8049    +10.8049  |paral   |2020yCat.1350....0G
2916|TYC 6959-1356-1                                                                                          |Star                                  |21 54 52.5505386552 -28 56 07.492586136|019.6193431324784 -51.2213519636089|   6.084 -9.898   |10.81    |~                |    ~     ~    |    1|  943.908   pc  | -42.4900    +42.4900  |ST-L    |2020AJ....160...83S
2917|TYC 6960-1709-2                                                                                          |Star                                  |21 59 43.622 -29 58 55.22              |018.160481 -52.403357              |    -26.1 -11.7   |10.24    |~                |    ~     ~    |    0|                |                       |        |                   
2918|TYC 7488-873-1                                                                                           |Star                                  |21 48 26.9745855168 -30 26 16.057183380|016.9793556262428 -50.0375778168927|  4.128 -10.105   |10.76    |~                |    ~     ~    |    1|  313.842   pc  |  -6.4080     +6.4080  |ST-L    |2020AJ....160...83S
2919|TYC 7488-1303-1                                                                                          |Star                                  |21 56 39.3102357144 -31 15 57.402015084|015.9695073185288 -51.8768007893646|  -6.090 -7.826   |10.935   |~                |    ~     ~    |    1|  659.818   pc  | -26.3400    +26.3400  |ST-L    |2020AJ....160...83S
2920|TYC 7488-1779-1                                                                                          |Star                                  |21 57 30.0345869088 -31 01 07.359466908|016.3960717403445 -52.0340933264425|-35.078 -32.316   |10.97    |~                |    ~     ~    |    1|  255.781   pc  |  -1.3346     +1.3346  |paral   |2020yCat.1350....0G
2921|TYC 7488-1892-1                                                                                          |Star                                  |21 49 07.6214509752 -32 03 29.264052492|014.4858665172012 -50.3515580558236|  13.102 -4.485   |10.867   |~                |    ~     ~    |    1|  967.804   pc  | -39.0200    +39.0200  |ST-L    |2020AJ....160...83S
2922|TYC 7491-350-1                                                                                           |Star                                  |21 50 41.5634396496 -33 14 45.815773992|012.6589814738336 -50.7674240605644|  15.876 17.574   |10.96    |~                |    ~     ~    |    1|  254.065   pc  |  -0.9360     +0.9360  |paral   |2020yCat.1350....0G
2923|TYC 7491-662-1                                                                                           |Spectroscopic Binary                  |21 54 04.0973981880 -34 22 42.734035524|010.9039220822399 -51.5169634948952|   -8.775 0.626   |10.62    |~                |    ~     ~    |    1|  317.925   pc  |  -4.8618     +4.8618  |paral   |2020yCat.1350....0G
2924|TYC 7491-673-1                                                                                           |Star                                  |21 50 41.8731879312 -34 28 46.107800076|010.7097110831601 -50.8253105499349|   -1.604 2.771   |10.99    |~                |    ~     ~    |    1|  865.951   pc  | -12.3729    +12.3729  |paral   |2020yCat.1350....0G
2925|TYC 7491-800-1                                                                                           |Star                                  |21 50 14.0416964568 -34 54 15.584591700|010.0336588636498 -50.7422727777914| -2.342 -11.562   |10.962   |~                |    ~     ~    |    1| 1007.200   pc  | -51.0100    +51.0100  |ST-L    |2020AJ....160...83S
2926|TYC 7491-1229-1                                                                                          |Star                                  |21 57 48.9294765480 -33 57 16.627753548|011.6252755930952 -52.2801099446757| -7.513 -30.361   |10.890   |~                |    ~     ~    |    1|  276.342   pc  |  -5.0870     +5.0870  |ST-L    |2020AJ....160...83S
2927|TYC 7491-1385-1                                                                                          |Star                                  |21 59 58.8294380832 -33 01 15.759085908|013.1842364741021 -52.6975423065425|   5.817 -4.223   |10.90    |~                |    ~     ~    |    1| 1961.554   pc  | -77.3386    +77.3386  |paral   |2020yCat.1350....0G
2928|TYC 7493-1482-1                                                                                          |Star                                  |21 46 07.1239104672 -36 06 59.380151760|008.1123724456693 -49.9256654214972|   3.903 -2.036   |10.77    |~                |    ~     ~    |    1| 1485.443   pc  | -40.1590    +40.1590  |paral   |2020yCat.1350....0G
2929|TYC 7494-989-1                                                                                           |Star                                  |21 52 04.7221339728 -35 19 33.949943868|009.3753638345654 -51.1270936253202|   6.188 -6.475   |10.85    |~                |    ~     ~    |    1| 1863.586   pc  | -64.2496    +64.2496  |paral   |2020yCat.1350....0G
2930|TYC 7981-254-1                                                                                           |Spectroscopic Binary                  |21 45 01.8376983360 -38 05 20.281502940|005.0590445229202 -49.6900735581146| 32.441 -10.648   |10.97    |~                |    ~     ~    |    1|  411.760   pc  | -20.7355    +20.7355  |paral   |2020yCat.1350....0G
2931|TYC 7982-1-1                                                                                             |Star                                  |21 58 08.9521472880 -37 50 16.838147796|005.2745207991259 -52.2842248368377|  -0.246 -8.855   |10.915   |~                |    ~     ~    |    1| 1034.690   pc  | -61.5900    +61.5900  |ST-L    |2020AJ....160...83S
2932|TYC 7982-168-1                                                                                           |Star                                  |21 55 56.8406330472 -37 41 02.702886036|005.5639579655175 -51.8582859090038|   2.074 -3.359   |10.961   |~                |    ~     ~    |    1| 2128.565   pc  | -74.7580    +74.7580  |paral   |2020yCat.1350....0G
2933|TYC 7986-42-1                                                                                            |Star                                  |21 59 13.4020669368 -39 37 04.299212892|002.3444884278255 -52.3466617958860|   6.602 12.786   |10.93    |~                |    ~     ~    |    1|   77.797   pc  |  -0.3195     +0.3195  |ST-L    |2020AJ....160...83S
2934|TYC 7986-910-1                                                                                           |Star                                  |21 52 17.6194561056 -39 44 59.264779416|002.3354470131299 -51.0069416589999|  -3.460 -6.936   |10.97    |~                |    ~     ~    |    1| 1037.129   pc  | -13.4455    +13.4455  |paral   |2020yCat.1350....0G
2935|TYC 7989-722-1                                                                                           |Star                                  |21 49 39.2829619920 -42 42 02.908025496|357.8020550496145 -50.1844767821123|   -8.742 1.033   |10.575   |~                |    ~     ~    |    1| 2359.640   pc  |-355.5000   +355.5000  |ST-L    |2020AJ....160...83S
2936|TYC 7989-790-1                                                                                           |Star                                  |21 49 59.3102907096 -42 42 07.344795240|357.7868688577724 -50.2450396247941| 10.799 -15.025   |10.883   |~                |    ~     ~    |    1|  544.142   pc  | -18.8500    +18.8500  |ST-L    |2020AJ....160...83S
2937|TYC 7990-6-1                                                                                             |Star                                  |21 53 53.6524193640 -41 56 21.976124064|358.8211493662514 -51.0653020820796|  6.085 -20.799   |10.37    |~                |    ~     ~    |    1| 1534.684   pc  | -33.6801    +33.6801  |paral   |2020yCat.1350....0G
2938|TYC 7990-175-1                                                                                           |Star                                  |21 54 19.0503797136 -41 36 18.253273752|359.3322945520794 -51.1882744708008|  24.058 -7.667   |10.815   |~                |    ~     ~    |    1|  282.620   pc  |  -4.7920     +4.7920  |ST-L    |2020AJ....160...83S
2939|TYC 7990-188-1                                                                                           |Star                                  |21 55 00.8288837712 -41 53 55.093893324|358.8396983489056 -51.2772140056861|   1.584 -8.918   |10.865   |~                |    ~     ~    |    1|  573.163   pc  | -30.1400    +30.1400  |ST-L    |2020AJ....160...83S
2940|TYC 7990-344-1                                                                                           |Star                                  |21 55 35.3797643112 -41 33 38.495413260|359.3521503650134 -51.4299516404505|  4.790 -10.710   |10.81    |~                |    ~     ~    |    1| 1076.310   pc  | -15.4073    +15.4073  |paral   |2020yCat.1350....0G
2941|TYC 7990-360-1                                                                                           |Star                                  |21 58 24.0873828456 -42 10 44.228601012|358.2433832366159 -51.8575739247053|  -3.699 -2.422   |10.96    |~                |    ~     ~    |    1|  523.204   pc  |  -6.6246     +6.6246  |paral   |2020yCat.1350....0G
2942|TYC 7990-361-1                                                                                           |Star                                  |21 56 06.2049168312 -42 42 10.553709492|357.5190384045148 -51.3556398665314|   0.801 -8.815   |10.942   |~                |    ~     ~    |    1| 2538.570   pc  |-369.0000   +369.0000  |ST-L    |2020AJ....160...83S
2943|TYC 7990-1083-1                                                                                          |Star                                  |21 51 01.9597255320 -42 53 32.148356064|357.4490845506310 -50.4074264130631|  39.111 -3.983   |10.918   |~                |    ~     ~    |    1|  294.463   pc  | -11.8800    +11.8800  |ST-L    |2020AJ....160...83S
2944|TYC 7990-1241-1                                                                                          |Star                                  |21 50 57.5177004360 -42 58 20.100360936|357.3281178163737 -50.3822331560557|  0.180 -19.022   |10.92    |~                |    ~     ~    |    1|  393.005   pc  |  -8.8347     +8.8347  |paral   |2020yCat.1350....0G
2945|TYC 7993-138-1                                                                                           |Star                                  |21 48 30.8924952504 -43 19 41.393196048|356.8814551067995 -49.8889050279570|  9.950 -12.472   |10.81    |~                |    ~     ~    |    1| 2394.636   pc  |-106.0842   +106.0842  |paral   |2020yCat.1350....0G
2946|TYC 7993-186-1                                                                                           |Star                                  |21 49 49.4974871688 -43 09 17.563940316|357.0934953048657 -50.1504226079700| -1.963 -36.638   |10.959   |~                |    ~     ~    |    1|  257.655   pc  |  -4.2500     +4.2500  |ST-L    |2020AJ....160...83S
2947|TYC 7993-636-1                                                                                           |Star                                  |21 47 09.7613335344 -43 53 11.758328052|356.0841896802067 -49.5631074471258| 18.039 -14.280   |10.67    |~                |    ~     ~    |    1|  572.443   pc  |  -4.2272     +4.2272  |paral   |2020yCat.1350....0G
2948|TYC 7993-707-1                                                                                           |Star                                  |21 48 43.5753207240 -44 52 54.627440124|354.4977391266371 -49.6733476895848|   6.009 -9.687   |10.822   |~                |    ~     ~    |    1| 1118.900   pc  | -82.1300    +82.1300  |ST-L    |2020AJ....160...83S
2949|TYC 7993-775-1                                                                                           |Star                                  |21 47 45.0006687696 -44 04 02.411359464|355.7832850985566 -49.6392554918186| 39.456 -22.452   |10.51    |~                |    ~     ~    |    1|  371.140   pc  |  -1.7218     +1.7218  |paral   |2020yCat.1350....0G
2950|TYC 7994-360-1                                                                                           |Star                                  |21 55 23.9713162248 -44 42 01.174831236|354.4258480293598 -50.8702485228959|   2.420 -4.247   |10.91    |~                |    ~     ~    |    1|  864.977   pc  |  -9.3523     +9.3523  |paral   |2020yCat.1350....0G
2951|TYC 8437-257-1                                                                                           |Star                                  |21 49 24.6322602072 -46 44 26.899897020|351.6529114271573 -49.4213657504130|  19.007 -6.479   |10.97    |~                |    ~     ~    |    1|  605.769   pc  | -21.0800    +21.0800  |ST-L    |2020AJ....160...83S
2952|2MASS J21584988-4639398                                                                                  |Long-Period Variable                  |21 58 49.8787582944 -46 39 39.887934660|351.1793880075872 -51.0098464457547|   1.307 -3.239   |10.97    |~                |    ~     ~    |    1| 2464.900   pc  |-321.6000   +321.6000  |ST-L    |2020AJ....160...83S
2953|TYC 8437-598-1                                                                                           |Star                                  |21 59 00.9887327904 -47 15 34.577761932|350.2489308348407 -50.8850145284914|  -8.246 -2.737   |10.916   |~                |    ~     ~    |    1|  584.330   pc  | -21.4900    +21.4900  |ST-L    |2020AJ....160...83S
2954|TYC 8437-980-1                                                                                           |Star                                  |21 51 40.3003437192 -45 16 40.564982532|353.7420086449274 -50.1094691564142|   4.240 -4.251   |10.710   |~                |    ~     ~    |    1| 1983.980   pc  |-197.5000   +197.5000  |ST-L    |2020AJ....160...83S
2955|TYC 8437-1715-1                                                                                          |Star                                  |21 51 39.1442985264 -46 18 25.338953016|352.1769989843597 -49.8922760536974|  8.897 -10.362   |10.934   |~                |    ~     ~    |    1|  448.197   pc  | -11.7000    +11.7000  |ST-L    |2020AJ....160...83S
2956|TYC 8437-1862-1                                                                                          |Spectroscopic Binary                  |21 50 58.5280812528 -46 17 01.141282608|352.2516550100529 -49.7831823097194|  0.044 -13.644   |10.781   |~                |    ~     ~    |    1| 1696.620   pc  |-151.9000   +151.9000  |ST-L    |2020AJ....160...83S
2957|TYC 8440-206-1                                                                                           |Star                                  |21 45 04.6787524464 -48 33 30.111007140|349.2137111228240 -48.2983753992107| 25.134 -24.340   |10.944   |~                |    ~     ~    |    1| 1036.010   pc  | -41.6000    +41.6000  |ST-L    |2020AJ....160...83S
2958|TYC 8440-368-1                                                                                           |High Proper Motion Star               |21 50 10.7422750684 -49 04 07.952813835|348.1475051530384 -48.9835688346547|     63.6 -27.4   |10.94    |~                |    ~     ~    |    0|                |                       |        |                   
2959|TYC 8440-1615-1                                                                                          |Star                                  |21 54 07.9203765960 -48 19 03.275294700|348.9935266643887 -49.8123189461184| 22.341 -27.453   |10.853   |~                |    ~     ~    |    1|  268.108   pc  |  -4.0460     +4.0460  |ST-L    |2020AJ....160...83S
2960|TYC 8443-1657-1                                                                                          |Spectroscopic Binary                  |21 54 36.4149395280 -51 21 22.030185132|344.4987136607871 -48.9846152493933|   -5.433 2.309   |10.70    |~                |    ~     ~    |    1|  379.708   pc  | -11.8947    +11.8947  |paral   |2020yCat.1350....0G
2961|TYC 9116-524-1                                                                                           |Spectroscopic Binary                  |21 59 49.0224831456 -61 31 18.395297184|330.4523843158704 -45.3693820702917|   7.653 -9.004   |10.874   |~                |    ~     ~    |    1| 2455.690   pc  |-303.8000   +303.8000  |ST-L    |2020AJ....160...83S
2962|TYC 9119-13-1                                                                                            |Star                                  |21 52 35.6249931984 -62 34 59.905671528|329.7496478348920 -44.1069696556816|  0.863 -10.649   |10.75    |~                |    ~     ~    |    1| 2178.649   pc  | -65.9765    +65.9765  |paral   |2020yCat.1350....0G
2963|TYC 9119-54-1                                                                                            |Star                                  |21 54 53.1361985424 -62 49 52.193272584|329.2680222241775 -44.2121980665390|  9.132 -14.608   |10.69    |~                |    ~     ~    |    1|  895.496   pc  |  -9.6229     +9.6229  |paral   |2020yCat.1350....0G
2964|TYC 9119-795-1                                                                                           |Star                                  |21 54 16.3422254184 -64 51 43.473769236|326.9070396386322 -43.1111014642761| 12.431 -31.034   |10.94    |~                |    ~     ~    |    1|  277.921   pc  |  -4.0650     +4.0650  |ST-L    |2020AJ....160...83S
2965|TYC 9119-2239-1                                                                                          |Star                                  |21 53 54.9285627528 -64 07 41.254832784|327.7959642960729 -43.4595834179188|  1.779 -16.451   |10.772   |~                |    ~     ~    |    1|  459.095   pc  | -11.1600    +11.1600  |ST-L    |2020AJ....160...83S
2966|TYC 9122-375-1                                                                                           |Spectroscopic Binary                  |21 52 41.1703467480 -66 29 59.082110988|325.1391664387214 -42.1032542266385|   2.742 -4.694   |10.899   |~                |    ~     ~    |    1| 2367.460   pc  |-401.5000   +401.5000  |ST-L    |2020AJ....160...83S
2967|CPD-67 3831A                                                                                             |High Proper Motion Star               |21 46 35.0459392704 -66 55 49.264886532|325.0746427363635 -41.3638505263733| 11.260 -57.922   |10.79    |~                |    ~     ~    |    1|   99.128   pc  |  -0.1405     +0.1405  |paral   |2020yCat.1350....0G
2968|CPD-67 3831B                                                                                             |High Proper Motion Star               |21 46 35.0146494312 -66 55 51.142112400|325.0740831422463 -41.3635372721081| 10.431 -52.100   |10.99    |~                |    ~     ~    |    1|   98.428   pc  |  -0.1347     +0.1347  |paral   |2020yCat.1350....0G
2969|TYC 9122-1826-2                                                                                          |Star                                  |21 48 43.959 -65 30 09.47              |326.569950 -42.282381              |        5.8 4.9   |8.68     |~                |    ~     ~    |    0|                |                       |        |                   
2970|TYC 9122-1920-1                                                                                          |Star                                  |21 45 55.1431372248 -65 56 41.001041400|326.2535708679843 -41.8092288167998|  13.392 -5.760   |10.911   |~                |    ~     ~    |    1| 1887.270   pc  |-188.7000   +188.7000  |ST-L    |2020AJ....160...83S
2971|TYC 9323-1418-1                                                                                          |Star                                  |21 59 22.7626497168 -69 15 07.598705652|321.6275281818955 -41.0670493923415| 26.590 -16.454   |10.489   |~                |    ~     ~    |    1|  289.111   pc  |  -4.0090     +4.0090  |ST-L    |2020AJ....160...83S
2972|TYC 9331-339-1                                                                                           |Star                                  |21 51 58.4363586192 -72 39 13.266210744|318.5349546371589 -38.5584449934672| 36.765 -14.887   |10.61    |~                |    ~     ~    |    1|  163.140   pc  |  -0.3353     +0.3353  |paral   |2020yCat.1350....0G
2973|TYC 9335-369-1                                                                                           |High Proper Motion Star               |21 51 18.6722523840 -73 26 23.964235008|317.7689410659099 -38.0492543879405| 46.240 -48.554   |10.77    |~                |    ~     ~    |    1|  191.659   pc  |  -2.2700     +2.2700  |ST-L    |2020AJ....160...83S
2974|TYC 9335-766-1                                                                                           |Star                                  |21 46 04.1743032864 -74 14 48.443194392|317.2227952901640 -37.2766661173954| 19.741 -22.038   |10.86    |~                |    ~     ~    |    1|  232.171   pc  |  -3.3480     +3.3480  |ST-L    |2020AJ....160...83S
2975|TYC 8808-725-1                                                                                           |Star                                  |21 53 46.3475830704 -52 55 58.213745868|342.3171294136020 -48.3318771586327|  -11.346 0.676   |10.83    |~                |    ~     ~    |    1|  976.276   pc  | -11.3421    +11.3421  |paral   |2020yCat.1350....0G
2976|TYC 8808-811-1                                                                                           |Star                                  |21 55 58.1960008152 -52 45 09.847769508|342.3948909063723 -48.7058926712518|  -0.253 -6.831   |10.849   |~                |    ~     ~    |    1| 2290.680   pc  |-275.3000   +275.3000  |ST-L    |2020AJ....160...83S
2977|TYC 8812-562-1                                                                                           |Star                                  |21 53 24.0654195360 -55 39 20.007582660|338.5834139296114 -47.2696835182539|    1.724 1.376   |10.83    |~                |    ~     ~    |    1| 2415.459   pc  |-154.0293   +154.0293  |paral   |2020yCat.1350....0G
2978|TYC 8812-1225-1                                                                                          |Star                                  |21 50 46.081 -55 09 45.31              |339.464311 -47.113670              |            ~ ~   |10.68    |~                |    ~     ~    |    0|                |                       |        |                   
2979|TYC 8819-337-1                                                                                           |Star                                  |21 46 21.7462847088 -58 18 58.291893684|335.6050453939699 -45.3293746612573|  -2.520 -7.790   |10.908   |~                |    ~     ~    |    1| 1862.890   pc  |-189.3000   +189.3000  |ST-L    |2020AJ....160...83S
2980|TYC 8820-39-2                                                                                            |Star                                  |21 51 34.014 -59 25 17.54              |333.773339 -45.471062              |            ~ ~   |10.52    |~                |    ~     ~    |    0|                |                       |        |                   
2981|TYC 8820-559-1                                                                                           |Star                                  |21 58 32.6904052488 -59 34 46.771210128|332.9893198787651 -46.1854885385401|  -1.476 -5.367   |10.90    |~                |    ~     ~    |    1|  333.886   pc  |  -6.1760     +6.1760  |ST-L    |2020AJ....160...83S
2982|TYC 9478-42-1                                                                                            |Star                                  |21 49 27.0645 -77 16 47.023            |314.0683722 -35.6023306            |   39.652 2.122   |9.44     |~                |    ~     ~    |    0|                |                       |        |                   
2983|TYC 9478-42-2                                                                                            |Star                                  |21 49 27.9528 -77 16 46.886            |314.0677824 -35.6029907            |   39.117 2.773   |10.61    |~                |    ~     ~    |    0|                |                       |        |                   
2984|TYC 9486-898-1                                                                                           |Star                                  |21 59 06.8756240424 -81 23 22.865569188|309.9547484379920 -33.2411576118335|   27.030 3.573   |10.96    |~                |    ~     ~    |    1|  375.161   pc  |  -7.3010     +7.3010  |ST-L    |2020AJ....160...83S
2985|* lam Oct B                                                                                              |High Proper Motion Star               |21 50 56.1023007840 -82 43 06.591752040|309.0205368149377 -32.1334888759191| 69.166 -25.756   |7.23     |~                |    ~     ~    |    1|  124.967   pc  |  -0.3920     +0.3920  |paral   |2020yCat.1350....0G
2986|* lam Oct A                                                                                              |High Proper Motion Star               |21 50 54.5511063048 -82 43 08.057062992|309.0208242756456 -32.1326071447617| 70.028 -33.714   |5.46     |~                |    ~     ~    |    1|  124.656   pc  |  -1.0815     +1.0815  |paral   |2020yCat.1350....0G
2987|TYC 9528-328-1                                                                                           |Star                                  |21 51 55.9575198768 -84 45 27.056923632|307.2353005237938 -30.7772436017564|  11.163 -8.393   |10.487   |~                |    ~     ~    |    1|  945.950   pc  | -42.6700    +42.6700  |ST-L    |2020AJ....160...83S
2988|HD 207247                                                                                                |Star                                  |21 47 53.3360836968 -11 16 43.438215864|043.9584307055656 -44.1640000247667| -4.109 -33.539   |10.38    |F2/3V            |    ~     ~    |    1|  290.715   pc  |  -8.7670     +8.7670  |ST-L    |2020AJ....160...83S
2989|UCAC4 146-233141                                                                                         |Star                                  |21 50 12.4644329832 -60 49 12.373042908|332.1113459915387 -44.6915962670053|  11.756 -8.712   |10.367   |~                |    ~     ~    |    1|  254.590   pc  |  -3.4060     +3.4060  |ST-L    |2020AJ....160...83S
2990|CD-48 14006                                                                                              |High Proper Motion Star               |21 47 52.9501685400 -47 36 38.413254312|350.4440821273038 -48.9739760874528|150.946 -37.925   |10.399   |G5               |    ~     ~    |    1|   95.275   pc  |  -0.5316     +0.5316  |ST-L    |2020AJ....160...83S
2991|UCAC2 15649770                                                                                           |Star                                  |21 58 05.8435461888 -38 26 43.479589560|004.2855593731601 -52.2331604445127| 11.344 -16.747   |10.898   |~                |    ~     ~    |    1|  380.286   pc  |  -9.8110     +9.8110  |ST-L    |2020AJ....160...83S
2992|UCAC2 15187784                                                                                           |Star                                  |21 56 27.3539611752 -39 08 52.101241080|003.1883811546616 -51.8585742608957| -8.257 -32.020   |10.948   |~                |    ~     ~    |    1|  403.839   pc  |  -9.7390     +9.7390  |ST-L    |2020AJ....160...83S
2993|UCAC2 29203351                                                                                           |Star                                  |21 51 04.0551439200 -07 54 00.846693324|048.5815600151698 -43.2363927382249| -2.591 -29.974   |10.522   |~                |    ~     ~    |    1|  417.538   pc  | -11.8900    +11.8900  |ST-L    |2020AJ....160...83S
