C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
3521|TYC 3085-687-1                                                        |High Proper Motion Star        |17 12 57.4810097376 +44 03 50.252328036|069.3797527220563 +35.6998243178226| -21.799 52.640    |10.93    |~                    |    ~     ~    
3522|TYC 3085-920-1                                                        |Star                           |17 14 03.1899573336 +43 48 50.294116584|069.0951475025965 +35.4811987332186|  5.656 -21.020    |10.62    |~                    |    ~     ~    
3523|IDS 17039+5935 AB                                                     |Double or Multiple Star        |17 05 19.94 +59 27 13.2                |088.48577 +36.49222                |            ~ ~    |10.5     |~                    |    ~     ~    
3524|HD 154878                                                             |Star                           |17 06 45.1440975624 +33 56 09.782465316|056.8339193404543 +35.4669102434689| -24.297 19.292    |7.83     |K2                   |    ~     ~    
3525|2MASS J17145298+6742094                                               |Long-Period Variable           |17 14 52.9769149200 +67 42 09.480883212|098.2295425381292 +34.0543740526456|   -0.874 1.167    |10.84    |~                    |    ~     ~    
3526|HD 153930A                                                            |Star                           |17 02 07.896 +07 12 48.83              |026.721255 +27.553892              |       0.1 -9.1    |8.40     |~                    |    ~     ~    
3527|TYC 4198-679-1                                                        |Red Giant Branch star          |17 09 44.8402035264 +60 07 10.096560732|089.2116908676673 +35.8531770989681| -2.100 -10.588    |10.85    |K8                   |    ~     ~    
3528|TYC 3899-307-1                                                        |Star                           |17 10 31.5117123000 +59 26 03.875135100|088.3581166445859 +35.8400596727651|    2.017 1.077    |10.96    |G2                   |    ~     ~    
3529|HD 154399B                                                            |Spectroscopic Binary           |17 05 04.2615736589 +01 48 46.500101972|021.8008715600870 +24.3689842177424| -9.989 -26.562    |10.86    |~                    |    ~     ~    
3530|TYC 398-976-1                                                         |Star                           |17 07 16.5137724072 +01 21 14.157410796|021.6557436280843 +23.6643445138988|   7.833 -0.812    |10.60    |~                    |    ~     ~    
3531|TYC 398-1304-1                                                        |Star                           |17 03 24.6811341960 +00 44 11.392362060|020.5485094713171 +24.2026883739759| -4.821 -11.186    |10.84    |~                    |    ~     ~    
3532|TYC 398-1427-1                                                        |Star                           |17 04 25.1030407680 +00 48 23.777196048|020.7514378516398 +24.0183588091970|   -4.377 3.385    |10.50    |~                    |    ~     ~    
3533|TYC 398-1882-1                                                        |Star                           |17 03 11.4590090448 +00 31 14.584555488|020.3131026905169 +24.1437641378749|  0.262 -17.724    |10.88    |~                    |    ~     ~    
3534|TYC 399-326-1                                                         |Star                           |17 14 44.9081761560 +00 50 47.485410756|022.1601970117470 +21.7854436144792|  -7.716 12.445    |10.95    |~                    |    ~     ~    
3535|TYC 399-1605-1                                                        |Star                           |17 09 48.5229191304 +00 29 42.848701908|021.1780032093958 +22.6919576871470|  -2.636 -8.544    |10.76    |~                    |    ~     ~    
3536|TYC 402-2652-1                                                        |Star                           |17 01 43.6273674216 +02 03 28.589383152|021.5884454779267 +25.2180461913911| -8.465 -10.791    |10.92    |~                    |    ~     ~    
3537|TYC 402-2843-1                                                        |Star                           |17 00 07.4684111448 +01 57 17.055712188|021.2723657374949 +25.5170711951737|  7.389 -15.614    |10.73    |~                    |    ~     ~    
3538|TYC 402-2896-1                                                        |Star                           |17 06 52.0496797728 +02 32 22.349698404|022.7371990736698 +24.3276284889480|   3.847 12.647    |10.93    |~                    |    ~     ~    
3539|TYC 403-366-1                                                         |Star                           |17 14 14.3408500440 +01 53 59.614886868|023.0896526270007 +22.4052450511506|   9.184 -2.692    |10.62    |~                    |    ~     ~    
3540|TYC 403-417-1                                                         |Star                           |17 10 07.6422076680 +02 44 37.505773932|023.3605260248039 +23.7109372617499| -2.017 -12.484    |10.82    |~                    |    ~     ~    
3541|TYC 403-497-1                                                         |Star                           |17 12 38.8103109504 +02 08 56.752460196|023.1198628559445 +22.8738244248896|  1.257 -23.076    |10.92    |~                    |    ~     ~    
3542|TYC 403-572-1                                                         |Star                           |17 11 55.9485003312 +02 09 51.606505476|023.0414302955809 +23.0377323575781| -13.848 -3.879    |10.96    |~                    |    ~     ~    
3543|TYC 403-1657-1                                                        |Star                           |17 14 43.8342637848 +03 12 49.397362596|024.4051296630991 +22.9226379589595|   -4.524 9.983    |10.20    |~                    |    ~     ~    
3544|TYC 406-1073-1                                                        |Star                           |17 05 28.8511821936 +04 08 49.733394144|024.1134764431879 +25.3976459877948| -8.302 -12.982    |10.69    |~                    |    ~     ~    
3545|TYC 406-1192-1                                                        |Star                           |17 05 01.0592917152 +05 21 23.147885880|025.2399787921261 +26.0653986850582|    3.908 0.177    |10.98    |~                    |    ~     ~    
3546|TYC 406-1774-1                                                        |Star                           |17 03 06.2389358232 +05 03 58.544585424|024.7065576213386 +26.3520237143586|   4.104 -3.132    |10.60    |~                    |    ~     ~    
3547|TYC 406-1799-1                                                        |Star                           |17 03 34.1564455224 +04 10 59.684462652|023.8992135772862 +25.8348581787294|   0.808 -5.635    |10.95    |~                    |    ~     ~    
3548|TYC 407-61-1                                                          |Star                           |17 08 26.3992181688 +05 25 23.649548952|025.7433004790161 +25.3412772061138|   -1.670 0.384    |10.87    |~                    |    ~     ~    
3549|TYC 407-178-1                                                         |Star                           |17 08 46.2341959368 +03 47 41.340350256|024.1978254924605 +24.5080208197506|   4.283 -6.332    |9.94     |~                    |    ~     ~    
3550|TYC 407-349-1                                                         |Star                           |17 08 52.4548644576 +05 24 07.357724604|025.7777138905729 +25.2356246580272| -1.388 -24.844    |10.95    |~                    |    ~     ~    
3551|TYC 407-649-1                                                         |Star                           |17 11 56.5790397576 +04 27 29.600056296|025.2479287857842 +24.1206011251225|   4.258 -0.378    |10.97    |~                    |    ~     ~    
3552|TYC 407-852-1                                                         |Star                           |17 10 50.8681142400 +04 04 01.049276280|024.7289769749937 +24.1789469156737|  -4.960 -6.470    |10.53    |~                    |    ~     ~    
3553|TYC 407-1247-1                                                        |Star                           |17 08 34.4019591480 +05 09 43.388517492|025.5042430394994 +25.1910037860607|    8.725 1.188    |10.97    |~                    |    ~     ~    
3554|TYC 407-1354-1                                                        |Spectroscopic Binary           |17 10 08.0156323224 +03 53 56.247043740|024.4745942385192 +24.2572392647635|  -8.036 -9.124    |10.77    |~                    |    ~     ~    
3555|TYC 410-8-1                                                           |Star                           |17 04 41.2891528536 +06 23 31.835554836|026.2237534629190 +26.6151449336201|  0.182 -12.586    |10.94    |~                    |    ~     ~    
3556|TYC 410-724-1                                                         |Star                           |17 04 21.5750765568 +06 09 04.293599004|025.9423576632850 +26.5773604782377|   -0.306 5.979    |10.83    |~                    |    ~     ~    
3557|TYC 410-1240-1                                                        |Star                           |17 06 55.1209451616 +05 52 00.201302364|025.9864142072300 +25.8815254867926|  -3.714 -4.491    |10.94    |~                    |    ~     ~    
3558|BD+07 3307                                                            |Star                           |17 07 02.1695423784 +06 54 29.995814520|027.0335171148704 +26.3306261478417| -15.995 -0.045    |10.53    |~                    |    ~     ~    
3559|TYC 410-1614-1                                                        |Star                           |17 06 33.0732246216 +06 11 03.271660404|026.2537069781711 +26.1083387958156|  -3.242 -8.700    |10.78    |~                    |    ~     ~    
3560|TYC 410-1627-1                                                        |Star                           |17 02 00.7754494680 +07 13 31.603452816|026.7181879732351 +27.5855162761340|  -1.224 -2.781    |10.79    |~                    |    ~     ~    
3561|TYC 410-1736-1                                                        |Star                           |17 03 35.2454281320 +05 57 42.323593104|025.6554668884638 +26.6607438736867|    0.361 0.522    |10.84    |~                    |    ~     ~    
3562|TYC 410-2285-1                                                        |Star                           |17 06 59.0104359888 +06 40 44.742579744|026.7990165365318 +26.2383578747851|   -2.303 3.724    |10.72    |~                    |    ~     ~    
3563|TYC 410-2543-1                                                        |Star                           |17 00 46.3213054296 +07 08 27.592471752|026.4756952711114 +27.8216792432361|  -0.097 -6.535    |10.58    |~                    |    ~     ~    
3564|TYC 411-128-1                                                         |Star                           |17 08 50.9132825688 +06 53 57.826412880|027.2511992108496 +25.9253897875411|-16.325 -10.043    |10.03    |~                    |    ~     ~    
3565|TYC 411-262-1                                                         |Star                           |17 12 48.5009940288 +07 10 50.490113628|028.0198906258064 +25.1747600579814|   1.537 -5.206    |10.82    |~                    |    ~     ~    
3566|TYC 411-658-1                                                         |Star                           |17 09 49.9032322488 +06 25 19.635715668|026.9018549261009 +25.4914353271168|  -5.916 -9.795    |10.87    |~                    |    ~     ~    
3567|TYC 411-750-1                                                         |Star                           |17 11 33.8803315104 +06 07 25.097390112|026.8248339444411 +24.9721168732521|   -0.161 7.103    |10.62    |~                    |    ~     ~    
3568|TYC 411-756-1                                                         |Star                           |17 09 17.1433256352 +06 23 56.984773200|026.8108061123681 +25.6017927955761|   5.034 -1.612    |10.95    |~                    |    ~     ~    
3569|TYC 411-1013-1                                                        |Star                           |17 08 04.1556968280 +06 01 24.835981404|026.2869866854651 +25.6992907290740|    0.974 0.139    |10.57    |~                    |    ~     ~    
3570|TYC 411-1039-1                                                        |Star                           |17 13 40.4191274184 +06 46 49.578368232|027.7320327586355 +24.8029621955325|  -3.376 -7.876    |10.93    |~                    |    ~     ~    
3571|TYC 411-1345-1                                                        |Star                           |17 10 26.1834735336 +05 53 13.959947724|026.4512310071891 +25.1136129048576|   -2.261 0.837    |10.67    |~                    |    ~     ~    
3572|TYC 976-367-1                                                         |Star                           |17 03 37.3310047728 +08 11 25.726908948|027.8934996330550 +27.6620240720550|   -5.855 0.325    |10.85    |~                    |    ~     ~    
3573|TYC 976-591-1                                                         |Star                           |17 00 17.4267681888 +07 40 32.513186172|026.9549153099173 +28.1696864875038|  -0.062 -6.535    |10.56    |~                    |    ~     ~    
3574|TYC 976-614-1                                                         |Star                           |17 05 53.6241360792 +07 40 11.578936548|027.6516179115626 +26.9263789501552| -20.010 -4.033    |10.74    |~                    |    ~     ~    
3575|TYC 976-870-1                                                         |Star                           |17 01 17.9937248184 +08 07 43.591836108|027.5413783719544 +28.1491086573065|    3.273 3.341    |10.93    |~                    |    ~     ~    
3576|TYC 976-996-1                                                         |Star                           |17 04 50.8329974568 +07 52 28.376046768|027.7270632244997 +27.2497588865267| -2.891 -13.178    |10.81    |~                    |    ~     ~    
3577|TYC 976-1048-1                                                        |Star                           |17 02 54.2091493200 +08 43 25.232003580|028.3452214759072 +28.0574876904427| 11.232 -14.305    |10.93    |~                    |    ~     ~    
3578|TYC 976-1336-1                                                        |Star                           |17 05 39.2265470016 +08 48 07.703739972|028.7629645625366 +27.4818875798165|   -4.740 3.559    |10.77    |~                    |    ~     ~    
3579|TYC 976-2215-1                                                        |Star                           |17 04 14.8279526400 +09 02 46.643050176|028.8385403892936 +27.9011966489552|   0.241 -3.288    |10.81    |~                    |    ~     ~    
3580|TYC 976-2571-1                                                        |Star                           |17 03 33.5566766040 +08 54 23.784041232|028.6120832137410 +27.9925400658607|   -2.056 3.493    |10.96    |~                    |    ~     ~    
3581|TYC 976-2681-1                                                        |Star                           |17 04 08.6008092000 +09 20 46.257374112|029.1312973697763 +28.0553014588762|   -2.676 9.394    |10.95    |~                    |    ~     ~    
3582|HD 153914B                                                            |Star                           |17 01 58.9575694512 +08 27 01.110645036|027.9531694761467 +28.1407943277496|   20.149 2.403    |7.59     |~                    |    ~     ~    
3583|TYC 977-1360-1                                                        |Star                           |17 08 56.9445873888 +07 31 03.381163572|027.8782864649923 +26.1811720486145|  -1.079 -0.652    |10.97    |~                    |    ~     ~    
3584|TYC 977-1585-1                                                        |Star                           |17 08 13.055 +08 09 23.60              |028.426821 +26.628044              |            ~ ~    |10.55    |~                    |    ~     ~    
3585|TYC 978-741-1                                                         |Star                           |17 14 34.4386148904 +08 25 37.295664168|029.4693160364780 +25.3366422331938|   -3.901 4.221    |10.93    |~                    |    ~     ~    
3586|TYC 978-1472-1                                                        |Star                           |17 14 11.5658161392 +08 09 21.705966504|029.1542303533372 +25.3018302157799|  -5.743 11.884    |10.99    |~                    |    ~     ~    
3587|TYC 980-436-1                                                         |Star                           |17 02 28.2811570920 +10 45 51.504052464|030.3865204616534 +29.0375163178824|  -0.949 -0.845    |10.76    |~                    |    ~     ~    
3588|2MASS J17011436+1013171                                               |Long-Period Variable           |17 01 14.3608813056 +10 13 16.975697304|029.6769129242309 +29.0791212955419|   -5.487 1.730    |10.63    |~                    |    ~     ~    
3589|TYC 980-1709-1                                                        |Star                           |17 00 52.0604078880 +09 49 07.707681768|029.2163937763486 +28.9879445895510|-11.643 -33.895    |10.97    |~                    |    ~     ~    
3590|TYC 980-2493-1                                                        |Star                           |17 05 39.1633030704 +09 36 53.842147632|029.5884584300619 +27.8369686660841|  -6.455 -9.936    |10.69    |~                    |    ~     ~    
3591|TYC 981-524-1                                                         |Star                           |17 08 42.8597216544 +11 10 34.083845904|031.5483205852525 +27.8236202743007|    4.136 0.119    |10.96    |~                    |    ~     ~    
3592|TYC 981-562-1                                                         |Star                           |17 10 34.8901242792 +11 03 12.074284944|031.6406218926681 +27.3565212912186| -0.003 -10.270    |10.86    |~                    |    ~     ~    
3593|TYC 981-679-1                                                         |Star                           |17 06 40.2237203280 +09 57 03.434710788|030.0534706687707 +27.7560838515330| -11.536 19.746    |10.97    |~                    |    ~     ~    
3594|TYC 981-758-1                                                         |Star                           |17 13 00.6969849624 +11 01 01.195997628|031.8862681445723 +26.8005966689473|-10.877 -25.017    |10.89    |~                    |    ~     ~    
3595|TYC 981-895-1                                                         |Star                           |17 07 06.0785382480 +09 48 02.264288544|029.9520189749308 +27.5954924178310|   -0.008 1.751    |10.69    |~                    |    ~     ~    
3596|TYC 981-1258-1                                                        |Star                           |17 07 49.4313571200 +11 14 44.620110132|031.5156934787054 +28.0509920268733|  -5.581 11.172    |10.86    |~                    |    ~     ~    
3597|TYC 981-1611-1                                                        |Star                           |17 08 24.5510759688 +10 18 00.841312620|030.6169425217523 +27.5195695274401|   4.903 -6.804    |10.94    |~                    |    ~     ~    
3598|TYC 984-36-1                                                          |Star                           |17 06 21.1358255040 +11 20 26.641948956|031.4413152311506 +28.4182665112344|  -5.765 -5.556    |10.72    |~                    |    ~     ~    
3599|TYC 984-217-1                                                         |Star                           |17 02 39.0480367416 +12 42 47.584636848|032.4408674039946 +29.8112096810073|  -5.443 -3.672    |10.35    |~                    |    ~     ~    
3600|TYC 984-389-1                                                         |Star                           |17 04 29.6306990832 +12 25 38.744583780|032.3535941117555 +29.2838052565650|    3.277 3.873    |10.12    |~                    |    ~     ~    
3601|TYC 984-452-1                                                         |Star                           |17 05 40.4663106672 +12 34 33.514821372|032.6443853403172 +29.0822070057326|    1.768 4.421    |10.73    |~                    |    ~     ~    
3602|TYC 984-682-1                                                         |Spectroscopic Binary           |17 01 05.4310126464 +12 20 34.424821788|031.8708385829805 +30.0061121516312| -3.469 -18.920    |10.99    |~                    |    ~     ~    
3603|TYC 984-1221-1                                                        |Star                           |17 00 50.8915810440 +11 55 33.027534588|031.4044702716991 +29.8871874952402|   0.484 -4.791    |10.99    |~                    |    ~     ~    
3604|TYC 985-137-1                                                         |Star                           |17 07 53.7934141704 +12 52 58.468930104|033.2175835946446 +28.7134134572607|   -4.714 3.156    |10.76    |~                    |    ~     ~    
3605|TYC 985-292-1                                                         |Star                           |17 09 29.0588959632 +11 21 08.624829708|031.8187994023435 +27.7264743168771|  -6.035 -7.093    |10.33    |~                    |    ~     ~    
3606|TYC 985-414-1                                                         |Star                           |17 07 48.4008569808 +11 51 40.931215848|032.1480398300980 +28.3124440115893|   3.563 -3.565    |10.97    |~                    |    ~     ~    
3607|TYC 985-1375-1                                                        |Star                           |17 11 13.4448547128 +12 23 49.186649832|033.0922592710396 +27.7738359810536|  1.800 -13.086    |10.97    |~                    |    ~     ~    
3608|TYC 985-1409-1                                                        |Star                           |17 13 19.9577555424 +12 27 43.381512108|033.3981586781289 +27.3314785174374| -9.767 -11.106    |10.97    |~                    |    ~     ~    
3609|TYC 985-1467-1                                                        |Star                           |17 11 24.5931480888 +12 52 35.035448088|033.6078094559483 +27.9290806719949|   6.320 -2.477    |9.84     |~                    |    ~     ~    
3610|TYC 985-1593-1                                                        |Star                           |17 13 28.9599379104 +12 22 27.666161328|033.3251999674510 +27.2619842738832|   -6.848 3.008    |10.87    |~                    |    ~     ~    
3611|TYC 985-1594-1                                                        |Star                           |17 09 54.9477409968 +11 53 24.015085872|032.4208166715619 +27.8551126996070|  -2.887 -0.467    |10.85    |~                    |    ~     ~    
3612|TYC 985-1735-1                                                        |Star                           |17 07 59.9710537440 +12 10 52.340181420|032.5009671559036 +28.4022233388507|  1.415 -10.922    |10.91    |~                    |    ~     ~    
3613|TYC 988-211-1                                                         |Star                           |17 01 19.3801281216 +14 44 23.661351420|034.4430862137085 +30.9190221458095|-12.418 -10.055    |10.84    |~                    |    ~     ~    
3614|TYC 988-236-1                                                         |Star                           |17 00 10.3753475424 +14 49 35.845522392|034.4091527492985 +31.2087813643918|  -3.546 -2.292    |10.90    |~                    |    ~     ~    
3615|TYC 988-286-1                                                         |High Proper Motion Star        |17 01 49.9592554320 +14 42 46.477044216|034.4704538447403 +30.7950792138723|-20.474 -48.703    |10.77    |~                    |    ~     ~    
3616|TYC 988-531-1                                                         |Star                           |17 00 19.1388076848 +14 07 33.875565816|033.6739082928359 +30.9000957053302| -8.016 -11.074    |10.95    |~                    |    ~     ~    
3617|TYC 988-589-1                                                         |Star                           |17 04 00.3655028376 +14 12 15.019397676|034.1690728267829 +30.1108643360801|   6.165 -3.753    |10.47    |~                    |    ~     ~    
3618|TYC 988-1445-1                                                        |Star                           |17 05 14.7586858248 +13 12 57.989401488|033.2654988659753 +29.4386574317529| 14.773 -15.587    |10.50    |~                    |    ~     ~    
3619|TYC 988-1917-1                                                        |Star                           |17 02 24.6332298432 +13 42 41.964820776|033.4678998397765 +30.2693126661174|  -12.447 0.371    |10.61    |~                    |    ~     ~    
3620|TYC 989-436-1                                                         |Star                           |17 13 12.0717051336 +14 44 35.662172892|035.7442794310784 +28.2794109208070|  -5.153 -1.791    |10.77    |~                    |    ~     ~    
3621|TYC 989-678-1                                                         |Star                           |17 06 37.4639549352 +14 02 56.976133524|034.2961007886167 +29.4667971583116|    0.295 2.066    |10.96    |~                    |    ~     ~    
3622|TYC 989-854-1                                                         |Star                           |17 11 52.3295067936 +14 31 55.142046264|035.3794605994499 +28.4914540868082|-19.356 -11.529    |10.97    |~                    |    ~     ~    
3623|TYC 989-1155-1                                                        |Star                           |17 12 59.3496636720 +14 54 51.090862968|035.8999776802289 +28.3937358168045|   0.310 -6.223    |10.79    |~                    |    ~     ~    
3624|TYC 1522-31-1                                                         |Star                           |17 02 35.4899819928 +16 35 26.404953000|036.5766026069223 +31.3475114775651| -5.855 -11.431    |10.53    |~                    |    ~     ~    
3625|TYC 1522-782-1                                                        |Star                           |17 02 16.2262946136 +16 21 30.319934256|036.2907662552676 +31.3313387431015|   11.473 1.438    |10.64    |~                    |    ~     ~    
3626|TYC 1522-948-1                                                        |Star                           |17 02 39.8907348408 +15 08 00.943200024|035.0126362414215 +30.7742986314536|  -5.377 -9.458    |10.89    |~                    |    ~     ~    
3627|TYC 1522-1339-1                                                       |Star                           |17 03 23.6133265248 +15 54 43.830205092|035.9282202245710 +30.9123411591236| -8.557 -12.548    |10.75    |~                    |    ~     ~    
3628|TYC 1526-58-1                                                         |Star                           |17 00 44.0436850968 +17 57 38.096293608|037.8823454517278 +32.2651062327550|  -6.006 -3.534    |10.97    |~                    |    ~     ~    
3629|TYC 1526-1331-1                                                       |Star                           |17 00 54.7144649016 +17 22 08.563735812|037.2502494100061 +32.0097097015413| -5.642 -16.911    |10.77    |~                    |    ~     ~    
3630|TYC 1530-268-1                                                        |Star                           |17 00 14.3960357304 +19 58 07.175468208|040.0661017667979 +33.0819866193282|  -3.940 13.014    |10.79    |~                    |    ~     ~    
3631|TYC 1530-601-1                                                        |Star                           |17 01 01.5344597328 +18 49 53.836250484|038.8747802879727 +32.5124513500230|  -1.487 -3.365    |10.74    |~                    |    ~     ~    
3632|TYC 1530-670-1                                                        |Star                           |17 03 01.6897370736 +19 47 46.761142668|040.1417409363044 +32.4071968987864|   -7.184 2.251    |10.73    |~                    |    ~     ~    
3633|TYC 1530-999-1                                                        |Spectroscopic Binary           |17 00 15.2015771472 +19 58 05.011545108|040.0667165370360 +33.0788168073338|-15.586 -13.191    |10.75    |~                    |    ~     ~    
3634|TYC 1534-624-1                                                        |Star                           |17 03 13.9350186864 +21 42 58.226985216|042.3097465403673 +33.0075334721405|  2.198 -15.901    |10.90    |~                    |    ~     ~    
3635|TYC 1535-200-1                                                        |Star                           |17 04 04.8226709760 +16 30 57.723489540|036.6526406892806 +30.9888497707227| -3.359 -11.250    |10.96    |~                    |    ~     ~    
3636|TYC 1535-361-1                                                        |Star                           |17 06 03.9938241504 +15 23 09.100755384|035.6514990883391 +30.1159495355460|  -1.770 -3.868    |10.92    |~                    |    ~     ~    
3637|TYC 1535-613-1                                                        |Star                           |17 06 51.0109306680 +16 26 52.507098816|036.8706434697030 +30.3482466594113|   0.013 -6.845    |10.55    |~                    |    ~     ~    
3638|TYC 1535-1140-1                                                       |Star                           |17 11 13.5991907880 +15 32 09.396840408|036.3639098120547 +29.0275933746440|-12.333 -16.654    |10.052   |~                    |    ~     ~    
3639|TYC 1535-1350-1                                                       |Star                           |17 11 31.6402747416 +15 27 48.575767356|036.3196270974219 +28.9327483223969|    1.074 1.846    |10.47    |~                    |    ~     ~    
3640|TYC 1535-1352-1                                                       |Star                           |17 11 20.4371376312 +15 30 08.263283940|036.3405879745145 +28.9892547273985|   5.512 -8.054    |10.51    |~                    |    ~     ~    
3641|TYC 1535-1413-1                                                       |Star                           |17 11 27.8174493816 +16 33 56.728236852|037.4787585258417 +29.3691628065271|  -26.462 6.119    |10.72    |~                    |    ~     ~    
3642|TYC 1536-272-1                                                        |Star                           |17 12 34.2715752408 +15 14 38.284475676|036.2004595450273 +28.6155598901296| -0.264 -10.704    |10.93    |~                    |    ~     ~    
3643|TYC 1536-594-1                                                        |Star                           |17 12 14.6325903096 +15 01 40.870026228|035.9388719267922 +28.6039432067668|  2.759 -17.995    |10.79    |~                    |    ~     ~    
3644|TYC 1539-4-1                                                          |Star                           |17 04 25.4818438872 +17 03 18.479625012|037.2721721577230 +31.1142275297079| -30.107 22.023    |10.77    |~                    |    ~     ~    
3645|TYC 1539-11-1                                                         |Star                           |17 04 51.4307385216 +18 15 52.887637548|038.6332924993213 +31.4616536337794|  -8.778 -4.125    |10.84    |~                    |    ~     ~    
3646|TYC 1539-525-1                                                        |Star                           |17 06 17.3843272728 +18 43 22.791373140|039.2772282822569 +31.3092883898642|  12.488 -6.571    |10.90    |~                    |    ~     ~    
3647|TYC 1539-1039-1                                                       |Star                           |17 11 22.2237989352 +18 40 55.998852888|039.7351640213670 +30.1716643207290|  -6.590 -9.695    |10.87    |~                    |    ~     ~    
3648|TYC 1539-1554-1                                                       |Spectroscopic Binary           |17 11 56.3626328976 +18 03 34.363464588|039.1218407523396 +29.8198067172750| -4.117 -14.495    |10.98    |~                    |    ~     ~    
3649|TYC 1540-202-1                                                        |Star                           |17 13 01.8916364328 +17 08 55.113033840|038.2599343498990 +29.2409503419493|   -8.841 4.249    |10.80    |~                    |    ~     ~    
3650|TYC 1540-966-1                                                        |Star                           |17 12 27.5131311960 +17 47 38.774349672|038.8897689699947 +29.6074764349210|  -11.855 1.268    |10.90    |~                    |    ~     ~    
3651|TYC 1540-1675-1                                                       |Star                           |17 14 28.8207651144 +18 00 28.170067824|039.3211177948849 +29.2388853486684|   -0.981 1.209    |10.87    |~                    |    ~     ~    
3652|TYC 1540-1776-1                                                       |Star                           |17 13 23.1899064528 +17 05 40.747373700|038.2389642684123 +29.1420941495357| -4.310 -15.380    |10.94    |~                    |    ~     ~    
3653|TYC 1543-303-1                                                        |Star                           |17 04 10.6781260104 +19 02 34.897934760|039.4200151637493 +31.8899408650931|  -2.393 -2.725    |10.97    |~                    |    ~     ~    
3654|TYC 1543-379-1                                                        |Star                           |17 05 38.4761813184 +18 51 10.776926088|039.3553930585786 +31.4990354650717| -14.485 -2.517    |10.92    |~                    |    ~     ~    
3655|HD 154441B                                                            |Star                           |17 04 41.2488176994 +19 35 55.554584650|040.0829058297767 +31.9723598435016|   14.210 1.031    |9.30     |~                    |    ~     ~    
3656|TYC 1543-607-1                                                        |Star                           |17 06 44.3941964424 +20 03 12.797917380|040.7819355409549 +31.6772990085063|   -1.513 0.008    |10.73    |~                    |    ~     ~    
3657|TYC 1544-2005-1                                                       |Star                           |17 14 58.4643758568 +19 26 50.313860556|040.9109039295210 +29.6501991199908|   -4.983 0.131    |10.63    |~                    |    ~     ~    
3658|TYC 1547-22-1                                                         |Star                           |17 05 17.2831480512 +20 42 47.462935068|041.3756342274580 +32.2223669373326|  -0.785 -7.412    |10.90    |~                    |    ~     ~    
3659|TYC 1547-472-1                                                        |Star                           |17 09 13.4833675080 +22 25 51.248865684|043.6460236865334 +31.9271515221530|   3.794 -3.171    |10.79    |~                    |    ~     ~    
3660|TYC 1547-1033-1                                                       |Star                           |17 06 27.1397925240 +21 54 17.369889624|042.8117766685613 +32.3628198369621|  -4.407 -2.462    |10.67    |~                    |    ~     ~    
3661|TYC 1548-92-1                                                         |Star                           |17 12 11.1989799216 +21 36 39.170996064|043.0030268341659 +31.0090616735997|    3.706 4.972    |9.91     |~                    |    ~     ~    
3662|TYC 1548-92-2                                                         |Star                           |17 12 10.7897290416 +21 36 42.635937960|043.0034672577067 +31.0108774912812|    3.799 4.750    |10.56    |~                    |    ~     ~    
3663|TYC 2060-337-1                                                        |Star                           |17 04 59.4383856792 +24 07 50.635934688|045.2008396038992 +33.3836453262420|    0.896 9.509    |10.68    |~                    |    ~     ~    
3664|TYC 2060-521-1                                                        |Star                           |17 02 35.4187065312 +23 28 40.528761528|044.2537758754039 +33.7069968792091|  10.211 -9.602    |10.97    |~                    |    ~     ~    
3665|TYC 2060-633-1                                                        |Star                           |17 05 48.9897504888 +24 11 00.704460372|045.3293952344416 +33.2201483874850|  -5.252 -3.877    |10.93    |~                    |    ~     ~    
3666|TYC 2060-1301-1                                                       |Star                           |17 02 02.6089731072 +22 36 16.564370616|043.2101520161360 +33.5538525217127| -8.111 -22.405    |10.97    |~                    |    ~     ~    
3667|GSC 02061-01816                                                       |Double or Multiple Star        |17 13 55.4931891600 +22 54 33.730354728|044.5884836301617 +31.0561170262313|  15.190 -0.868    |10.664   |~                    |    ~     ~    
3668|TYC 2064-63-1                                                         |Star                           |17 07 49.8531222600 +25 56 13.821553752|047.4942148229573 +33.3021433828888|  3.271 -14.354    |10.93    |~                    |    ~     ~    
3669|TYC 2064-488-1                                                        |Star                           |17 07 17.1841299528 +24 59 16.806900696|046.3661037754692 +33.1426800188552|   -1.259 1.841    |10.70    |~                    |    ~     ~    
3670|TYC 2064-803-1                                                        |Star                           |17 06 10.2311518512 +25 40 46.751630412|047.0698330928206 +33.5859784258505| 16.721 -13.159    |10.38    |~                    |    ~     ~    
3671|IRAS 17036+2532                                                       |Long-Period Variable Candidate |17 05 44.8308501336 +25 28 01.590604176|046.7924163512896 +33.6159560779805|  -0.621 -0.698    |10.91    |~                    |    ~     ~    
3672|TYC 2064-985-1                                                        |Star                           |17 05 51.5538392064 +25 29 44.372715720|046.8340245922146 +33.6000264389897|   0.899 -5.662    |10.92    |~                    |    ~     ~    
