C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:12

dec< 0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7147

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
46  |HD 78777                                                              |Star                              |09 10 01.4727250008 -01 04 29.188379064|231.4736937927049 +29.8234145913056|  5.155 -43.933   |8.63     |F2V            |    ~     ~    |    1|  162.397   pc  |  -2.3710     +2.3710    |ST-L    |2020AJ....160...83S
47  |HD 78793                                                              |Star                              |09 10 03.4014214632 -01 31 07.496306904|231.9095377417487 +29.5913139727083|  -7.920 -1.132   |9.37     |G8IV           |    ~     ~    |    1|  604.019   pc  | -18.3800    +18.3800    |ST-L    |2020AJ....160...83S
48  |HD 78971                                                              |High Proper Motion Star           |09 11 04.7120605416 -01 32 57.535321596|232.0979885196857 +29.7896748111422|-44.531 -26.652   |8.20     |F7V            |    ~     ~    |    1|  168.805   pc  |  -0.7466     +0.7466    |paral   |2020yCat.1350....0G
49  |BD-01 2190                                                            |Star                              |09 02 39.5109512424 -01 41 25.891558980|230.9449182259419 +27.9382221242000|  -2.940 -7.838   |10.28    |K0             |    ~     ~    |    1|  707.264   pc  |  -8.4537     +8.4537    |paral   |2020yCat.1350....0G
50  |BD-01 2191                                                            |High Proper Motion Star           |09 03 13.9980612696 -01 35 40.606251756|230.9394885716735 +28.1108717832640| 46.042 -39.207   |10.04    |G0             |    ~     ~    |    1|   97.374   pc  |  -0.1546     +0.1546    |paral   |2020yCat.1350....0G
51  |HD 77875                                                              |Star                              |09 05 03.4221436512 -01 40 19.478950356|231.2899285353207 +28.4550688967192|-22.130 -20.230   |9.35     |F5IV           |    ~     ~    |    1|  161.363   pc  |  -0.4661     +0.4661    |paral   |2020yCat.1350....0G
52  |BD-01 2199                                                            |Star                              |09 05 38.5992812856 -01 56 19.776523920|231.6353504705058 +28.4357940615450| -23.286 -4.571   |10.235   |F8             |    ~     ~    |    1|  289.255   pc  |  -4.6180     +4.6180    |ST-L    |2020AJ....160...83S
53  |BD-01 2201                                                            |Double or Multiple Star           |09 05 50.6000900136 -01 37 19.651797408|231.3615556182606 +28.6478030404683|  -3.186 -4.892   |10.285   |K2             |    ~     ~    |    1|  758.995   pc  | -24.2000    +24.2000    |ST-L    |2020AJ....160...83S
54  |HD 78127                                                              |Star                              |09 06 31.0507716288 -01 45 49.857480936|231.6008770225227 +28.7140275697779| -29.695 -2.633   |9.651    |A0mA7-A9       |    ~     ~    |    1|  271.625   pc  |  -4.8690     +4.8690    |ST-L    |2020AJ....160...83S
55  |HD 78464                                                              |High Proper Motion Star           |09 08 19.2608533560 -01 41 01.035026844|231.8005407105054 +29.1371138835318|-26.388 -43.891   |8.67     |K3III          |    ~     ~    |    1|  279.057   pc  |  -2.1259     +2.1259    |paral   |2020yCat.1350....0G
56  |HD 78610                                                              |Star                              |09 09 08.6136532512 -01 35 16.458485856|231.8350665958257 +29.3618493364671|-27.961 -35.358   |7.44     |K4III          |    ~     ~    |    1|  226.829   pc  |  -1.1680     +1.1680    |paral   |2020yCat.1350....0G
57  |HD 78918                                                              |Star                              |09 10 47.7218826408 -01 50 32.408946456|232.3372952866148 +29.5714046969462| -15.415 -4.333   |9.60     |F6V            |    ~     ~    |    1|  292.181   pc  |  -4.6970     +4.6970    |ST-L    |2020AJ....160...83S
58  |TYC 4878-1130-1                                                       |Star                              |09 04 52.4431661400 -00 33 58.675626180|230.1935309177376 +29.0032523571036|  -15.764 5.087   |10.6     |~              |    ~     ~    |    1|  302.544   pc  |  -1.7208     +1.7208    |paral   |2020yCat.1350....0G
59  |BD-01 2198                                                            |Star                              |09 05 22.1463441840 -01 56 47.757904332|231.6009736897309 +28.3738238515277|  -8.325 -5.515   |10.893   |~              |    ~     ~    |    1|  644.414   pc  | -26.8900    +26.8900    |ST-L    |2020AJ....160...83S
60  |TYC 4878-607-1                                                        |Double or Multiple Star           |09 05 54.273888 -00 15 10.36332        |230.043588463 +29.387267508        |    -12.9 -11.9   |10.604   |~              |    ~     ~    |    0|                |                         |        |                   
