C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:12

dec< 0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7147

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
5376|AKARI-IRC-V1 J0907108-613249                                          |Long-Period Variable Candidate    |09 07 10.8473819832 -61 32 49.938515628|279.3087852223594 -09.4502099062145|   1.506 -4.469   |10.32    |~              |    ~     ~    |    1| 1279.59    pc  | -30.4547    +30.4547    |paral   |2020yCat.1350....0G
5377|TYC 8594-433-1                                                        |Star                              |09 01 29.6498317128 -59 51 54.693207576|277.5613506832096 -08.8700966400746| -22.451 -5.015   |9.791    |~              |    ~     ~    |    1|  646.498   pc  | -21.9900    +21.9900    |ST-L    |2020AJ....160...83S
5378|TYC 8594-1186-1                                                       |Star                              |09 00 12.2701474968 -59 54 07.957335132|277.4836450709507 -09.0172322722784|   -8.694 7.941   |10.344   |~              |    ~     ~    |    1| 1232.770   pc  | -77.2300    +77.2300    |ST-L    |2020AJ....160...83S
5379|TYC 8594-2138-1                                                       |Star                              |09 01 07.1329874400 -59 49 56.275937940|277.5050495051171 -08.8845316494894|   5.395 -2.177   |10.81    |~              |    ~     ~    |    1|   70.089   pc  |  -0.2718     +0.2718    |ST-L    |2020AJ....160...83S
5380|GSC 08927-00048                                                       |Double or Multiple Star           |09 08 10.964280 -61 35 53.07216        |279.427632187 -09.394887018        |       -5.3 8.8   |10.529   |~              |    ~     ~    |    0|                |                         |        |                   
5381|TYC 8927-155-1                                                        |Star                              |09 03 32.2235660616 -60 07 00.277180356|277.9229695351729 -08.8408948895260|  -10.734 9.831   |10.89    |~              |    ~     ~    |    1| 1156.738   pc  | -13.9156    +13.9156    |paral   |2020yCat.1350....0G
5382|TYC 8927-380-1                                                        |Star                              |09 05 32.5571295912 -61 41 00.240198612|279.2819979118417 -09.6863370983944|  -7.018 15.456   |10.66    |~              |    ~     ~    |    1|  826.037   pc  |  -7.7104     +7.7104    |paral   |2020yCat.1350....0G
5383|TYC 8927-383-1                                                        |Star                              |09 00 22.1598567408 -60 09 27.725103000|277.6944426310888 -09.1668096824208|   -7.258 9.002   |10.308   |~              |    ~     ~    |    1|  762.469   pc  | -26.6200    +26.6200    |ST-L    |2020AJ....160...83S
5384|TYC 8927-485-1                                                        |Star                              |09 00 30.8990692368 -60 20 05.570324412|277.8431575208949 -09.2676578742097|   -2.582 3.871   |10.70    |~              |    ~     ~    |    1| 1736.413   pc  | -34.6740    +34.6740    |paral   |2020yCat.1350....0G
5385|TYC 8927-792-1                                                        |Star                              |09 06 02.1041817552 -61 23 29.046353640|279.0985911398207 -09.4497004691009| -10.099 10.944   |10.33    |~              |    ~     ~    |    1|  912.409   pc  | -10.3229    +10.3229    |paral   |2020yCat.1350....0G
5386|TYC 8927-797-1                                                        |Star                              |09 02 06.2384873760 -60 08 08.096308584|277.8193422115400 -08.9882691111777|   -8.305 8.846   |10.86    |~              |    ~     ~    |    1|  539.782   pc  | -17.3653    +17.3653    |paral   |2020yCat.1350....0G
5387|TYC 8927-1048-1                                                       |Star                              |09 07 22.0055287440 -61 29 00.141960192|279.2752780337380 -09.3912728592913|  -9.844 11.382   |10.79    |~              |    ~     ~    |    1|  292.577   pc  |  -1.1043     +1.1043    |paral   |2020yCat.1350....0G
5388|TYC 8927-1074-1                                                       |Star                              |09 07 54.5948976984 -61 25 05.725156728|279.2696622409364 -09.2995081684763|   -5.669 8.230   |10.70    |~              |    ~     ~    |    1|  799.808   pc  |  -7.8682     +7.8682    |paral   |2020yCat.1350....0G
5389|TYC 8927-1091-1                                                       |Star                              |09 02 03.6180254952 -60 11 23.811799128|277.8575161897401 -09.0278112595503|  -9.569 14.855   |9.88     |~              |    ~     ~    |    1|  497.216   pc  |  -4.6725     +4.6725    |paral   |2020yCat.1350....0G
5390|TYC 8927-1094-1                                                       |Star                              |09 06 09.7827393168 -61 28 41.651534496|279.1749444017316 -09.4955523444346|   -9.644 5.689   |10.561   |~              |    ~     ~    |    1| 1892.390   pc  |-172.8000   +172.8000    |ST-L    |2020AJ....160...83S
5391|TYC 8927-1101-1                                                       |Star                              |09 03 53.7131359224 -60 30 16.398323208|278.2488209563614 -09.0617025334965|   -2.626 3.098   |10.36    |~              |    ~     ~    |    1| 1006.847   pc  | -12.1649    +12.1649    |paral   |2020yCat.1350....0G
5392|TYC 8927-1164-1                                                       |Star                              |09 00 28.6701047928 -61 32 06.188480880|278.7695792114514 -10.0463369299291|   0.515 -3.450   |10.812   |~              |    ~     ~    |    1| 1278.060   pc  | -78.8800    +78.8800    |ST-L    |2020AJ....160...83S
5393|TYC 8927-1180-1                                                       |Star                              |09 03 09.0350295144 -61 38 20.223028320|279.0591932041375 -09.8716611734665| -1.644 -12.560   |10.90    |~              |    ~     ~    |    1|  291.664   pc  |  -1.0208     +1.0208    |paral   |2020yCat.1350....0G
5394|TYC 8927-1200-1                                                       |Star                              |09 02 52.6887852768 -61 20 01.166854992|278.8027548115467 -09.6973059555413|  -0.933 -2.517   |10.93    |~              |    ~     ~    |    1|  896.422   pc  | -48.2200    +48.2200    |ST-L    |2020AJ....160...83S
5395|TYC 8927-1394-1                                                       |Star                              |09 05 08.5214813232 -61 46 17.941031544|279.3177787633522 -09.7801170420819|   -2.222 7.993   |10.83    |~              |    ~     ~    |    1| 1004.016   pc  | -10.1813    +10.1813    |paral   |2020yCat.1350....0G
5396|TYC 8927-1428-1                                                       |Star                              |09 07 08.1254854176 -61 50 42.304949556|279.5313650794786 -09.6516629866031| -24.790 -6.359   |10.67    |~              |    ~     ~    |    1|  146.334   pc  |  -0.2163     +0.2163    |paral   |2020yCat.1350....0G
5397|TYC 8927-1494-1                                                       |Star                              |09 08 12.6760206144 -61 51 05.090661864|279.6216130819688 -09.5609699885932|  2.384 -10.281   |10.07    |~              |    ~     ~    |    1|  655.652   pc  |  -4.6857     +4.6857    |paral   |2020yCat.1350....0G
5398|TYC 8927-1614-1                                                       |Star                              |09 00 24.1471480008 -61 33 02.491581312|278.7758412681606 -10.0632846034443|   -2.658 4.708   |10.59    |~              |    ~     ~    |    1| 1440.507   pc  | -24.0707    +24.0707    |paral   |2020yCat.1350....0G
5399|TYC 8927-1679-1                                                       |Star                              |09 08 11.6279875992 -60 38 52.243417716|278.7111069630357 -08.7606026414206|   -5.040 2.578   |10.94    |~              |    ~     ~    |    1| 1774.280   pc  |-160.0000   +160.0000    |ST-L    |2020AJ....160...83S
5400|TYC 8927-1712-1                                                       |Star                              |09 02 17.5737622080 -61 38 40.509296736|278.9962504938179 -09.9526556985832|   -7.969 9.863   |10.764   |~              |    ~     ~    |    1| 1320.710   pc  | -79.1600    +79.1600    |ST-L    |2020AJ....160...83S
5401|TYC 8927-1888-1                                                       |Star                              |09 00 30.5635087536 -61 34 33.618078156|278.8038295896132 -10.0698727220802|  -14.270 9.663   |10.28    |~              |    ~     ~    |    1|  133.475   pc  |  -0.9468     +0.9468    |ST-L    |2020AJ....160...83S
5402|TYC 8927-1970-1                                                       |Star                              |09 03 43.0820001648 -61 28 24.381336864|278.9767403779334 -09.7124200447910|   -4.227 6.741   |10.22    |~              |    ~     ~    |    1| 1063.717   pc  | -15.7278    +15.7278    |paral   |2020yCat.1350....0G
5403|TYC 8927-2049-1                                                       |Star                              |09 03 24.8543762808 -60 16 16.049290512|278.0308896421618 -08.9535817445769| -10.596 13.431   |10.47    |~              |    ~     ~    |    1|  691.754   pc  |  -9.9533     +9.9533    |paral   |2020yCat.1350....0G
5404|TYC 8927-2187-1                                                       |Star                              |09 03 59.1504074880 -60 34 14.733476868|278.3068279213006 -09.0967188581597|   -5.615 5.486   |10.54    |~              |    ~     ~    |    1|  457.896   pc  |  -2.2225     +2.2225    |paral   |2020yCat.1350....0G
5405|TYC 8927-2192-1                                                       |Pulsating Variable                |09 01 58.0583961456 -60 47 18.901629312|278.3104535988662 -09.4260806782773|   -5.030 7.022   |10.99    |~              |    ~     ~    |    1| 1173.985   pc  | -35.0073    +35.0073    |paral   |2020yCat.1350....0G
5406|TYC 8927-2214-1                                                       |Spectroscopic Binary              |09 05 36.1103330520 -60 27 28.831385268|278.3534271764796 -08.8728092649718| -21.447 19.201   |10.68    |~              |    ~     ~    |    1|  234.648   pc  |  -0.9911     +0.9911    |paral   |2020yCat.1350....0G
5407|TYC 8927-2225-1                                                       |Star                              |09 07 21.2598994032 -60 29 31.640769348|278.5240991980609 -08.7337653648883|  25.801 -4.787   |10.54    |~              |    ~     ~    |    1|  527.537   pc  |  -5.5103     +5.5103    |paral   |2020yCat.1350....0G
5408|TYC 8927-2379-1                                                       |Star                              |09 04 15.7590646152 -60 26 13.091241084|278.2272887586634 -08.9831833734189|   -5.300 3.044   |10.84    |~              |    ~     ~    |    0|                |                         |        |                   
5409|TYC 8927-2743-1                                                       |Star                              |09 05 28.6984765464 -60 50 52.113458940|278.6397834609659 -09.1414794120469|   -3.775 3.403   |10.732   |~              |    ~     ~    |    1| 1285.340   pc  | -84.1100    +84.1100    |ST-L    |2020AJ....160...83S
5410|TYC 8927-2967-1                                                       |Star                              |09 07 01.1053137024 -61 03 59.050174212|278.9310628893342 -09.1459051649845|   -5.014 5.890   |10.59    |~              |    ~     ~    |    1| 1401.345   pc  | -61.0732    +61.0732    |paral   |2020yCat.1350....0G
5411|TYC 8927-2997-1                                                       |Star                              |09 04 15.3487577352 -61 00 31.586600232|278.6636359984360 -09.3592145644586|   0.127 -6.787   |10.673   |~              |    ~     ~    |    1|  820.533   pc  | -23.2300    +23.2300    |ST-L    |2020AJ....160...83S
5412|TYC 8927-3006-1                                                       |Star                              |09 03 17.8181556432 -60 53 22.216274520|278.4950256892568 -09.3690819441670|  -13.675 5.571   |10.65    |~              |    ~     ~    |    1|  453.782   pc  |  -4.0360     +4.0360    |paral   |2020yCat.1350....0G
5413|TYC 8927-3095-1                                                       |Star                              |09 02 36.2523335160 -60 54 50.668073676|278.4581728646036 -09.4489289918583|  -10.042 0.133   |10.36    |~              |    ~     ~    |    1|  518.135   pc  |  -4.4296     +4.4296    |paral   |2020yCat.1350....0G
5414|TYC 8927-3114-1                                                       |Star                              |09 02 00.2722729056 -61 07 33.290556132|278.5733531922629 -09.6419320202859| -12.958 19.840   |10.521   |~              |    ~     ~    |    1|  775.109   pc  | -24.0400    +24.0400    |ST-L    |2020AJ....160...83S
5415|TYC 8927-3141-1                                                       |Star                              |09 06 23.0013771936 -60 48 06.488440956|278.6786348728696 -09.0282954568386|  8.468 -10.217   |10.32    |~              |    ~     ~    |    1|  728.581   pc  | -40.9200    +40.9200    |ST-L    |2020AJ....160...83S
5416|CD-60 2493                                                            |Star                              |09 08 09.5964613392 -61 09 55.004109912|279.0986936259046 -09.1086758056358|   -6.500 6.499   |10.625   |~              |    ~     ~    |    1| 1143.960   pc  | -64.3200    +64.3200    |ST-L    |2020AJ....160...83S
5417|TYC 8927-3244-1                                                       |Star                              |09 03 39.4184327400 -61 10 19.018572384|278.7405508551894 -09.5207926593679|   -5.910 5.435   |10.84    |~              |    ~     ~    |    1| 1910.585   pc  |-100.7492   +100.7492    |paral   |2020yCat.1350....0G
5418|TYC 8927-3389-1                                                       |Star                              |09 02 04.2346539936 -60 39 50.197303008|278.2227958720131 -09.3354508544665| 16.603 -18.811   |10.88    |~              |    ~     ~    |    1|  360.425   pc  |  -1.7018     +1.7018    |paral   |2020yCat.1350....0G
5419|TYC 8927-3412-1                                                       |Star                              |09 07 09.3968855016 -60 59 23.258338224|278.8842717432411 -09.0825452238369| -18.575 13.030   |10.50    |~              |    ~     ~    |    1|  574.845   pc  |  -4.7915     +4.7915    |paral   |2020yCat.1350....0G
5420|TYC 8927-3465-1                                                       |Star                              |09 07 12.7377451824 -60 36 54.752811444|278.6053813989055 -08.8286454959333|  -10.491 0.656   |10.45    |~              |    ~     ~    |    1|  829.876   pc  |  -6.8181     +6.8181    |paral   |2020yCat.1350....0G
5421|TYC 8927-3483-1                                                       |Star                              |09 00 30.1658743008 -60 51 31.892134752|278.2473858258397 -09.6075827183960| -8.410 -10.012   |9.69     |~              |    ~     ~    |    1|  180.138   pc  |  -0.3764     +0.3764    |paral   |2020yCat.1350....0G
5422|TYC 8927-3589-1                                                       |Star                              |09 04 35.3169423384 -60 56 12.011771328|278.6353826105175 -09.2814230691982|   -5.424 9.012   |10.67    |~              |    ~     ~    |    1|  662.076   pc  |  -8.9422     +8.9422    |paral   |2020yCat.1350....0G
5423|TYC 8931-127-1                                                        |Star                              |09 06 42.1184029200 -62 04 48.999904896|279.6760965194302 -09.8454762090657|   -6.371 7.514   |10.61    |~              |    ~     ~    |    1|  992.359   pc  |  -9.6508     +9.6508    |paral   |2020yCat.1350....0G
5424|TYC 8931-209-1                                                        |Star                              |09 01 32.7987792360 -62 00 18.079763832|279.2170076278727 -10.2533876229121|   -4.793 1.469   |10.470   |~              |    ~     ~    |    1|  739.056   pc  | -27.9500    +27.9500    |ST-L    |2020AJ....160...83S
5425|TYC 8931-299-1                                                        |Star                              |09 08 09.2736456144 -62 11 38.373730152|279.8766715961743 -09.7937529129860|  -6.562 12.952   |10.89    |~              |    ~     ~    |    1| 1227.144   pc  | -17.0165    +17.0165    |paral   |2020yCat.1350....0G
5426|TYC 8931-841-1                                                        |High Proper Motion Star           |09 00 15.9548100480 -62 31 33.802975056|279.5243896630091 -10.7031865751643| -92.031 56.430   |10.77    |~              |    ~     ~    |    1|  198.716   pc  |  -0.7266     +0.7266    |paral   |2020yCat.1350....0G
5427|HD 309558                                                             |High Proper Motion Star           |09 04 15.1302788712 -62 30 02.515438116|279.8078609398189 -10.3364154536156| -59.693 56.582   |10.47    |G5             |    ~     ~    |    1|   71.531   pc  |  -0.2630     +0.2630    |ST-L    |2020AJ....160...83S
5428|TYC 8931-1487-1                                                       |Star                              |09 05 39.6933080760 -62 04 16.499468136|279.5876659165405 -09.9310874947814| -17.440 18.430   |10.88    |~              |    ~     ~    |    1|  469.109   pc  |  -3.6751     +3.6751    |paral   |2020yCat.1350....0G
5429|HD 309559                                                             |Spectroscopic Binary              |09 04 26.9254002672 -62 32 14.632651608|279.8511615685451 -10.3432430806228|   16.851 2.010   |10.63    |F8             |    ~     ~    |    1|  163.215   pc  |  -0.5621     +0.5621    |paral   |2020yCat.1350....0G
5430|HD 309556                                                             |Star                              |09 05 50.3354268336 -62 22 08.195514492|279.8291026071759 -10.1114258605739| -21.312 23.387   |10.64    |G0             |    ~     ~    |    1|  313.048   pc  |  -1.2544     +1.2544    |paral   |2020yCat.1350....0G
5431|TYC 8931-2831-1                                                       |Star                              |09 00 47.5855784424 -62 20 40.893992196|279.4230314840689 -10.5398225550525|   -8.559 3.859   |10.719   |~              |    ~     ~    |    1|  975.661   pc  | -52.6100    +52.6100    |ST-L    |2020AJ....160...83S
5432|TYC 8931-3407-1                                                       |Star                              |09 03 13.1403134352 -61 57 04.454939448|279.3050121006831 -10.0690766262510| -24.278 13.069   |10.64    |~              |    ~     ~    |    1|  478.377   pc  |  -2.8834     +2.8834    |paral   |2020yCat.1350....0G
5433|TYC 8940-18-1                                                         |Star                              |09 12 14.6215757088 -61 44 40.826672304|279.8653064131315 -09.1360732917929|   -7.885 6.029   |10.898   |~              |    ~     ~    |    1| 1083.650   pc  | -48.4600    +48.4600    |ST-L    |2020AJ....160...83S
5434|TYC 8940-118-1                                                        |Star                              |09 09 09.6015330384 -61 40 28.501728204|279.5638714217610 -09.3594311159276|   -5.299 3.093   |10.60    |~              |    ~     ~    |    1|  790.389   pc  |  -8.6211     +8.6211    |paral   |2020yCat.1350....0G
5435|TYC 8940-146-1                                                        |Star                              |09 09 09.7818754656 -61 47 34.403656416|279.6533368610483 -09.4382083502060| 18.106 -39.374   |10.77    |~              |    ~     ~    |    1|  221.744   pc  |  -0.5065     +0.5065    |paral   |2020yCat.1350....0G
5436|TYC 8940-239-1                                                        |Star                              |09 08 58.1066672880 -60 57 47.429545608|279.0124363424453 -08.9009461213738| -27.839 32.537   |10.79    |~              |    ~     ~    |    1|  307.295   pc  |  -1.0671     +1.0671    |paral   |2020yCat.1350....0G
5437|HD 304624                                                             |Spectroscopic Binary              |09 10 28.3380148608 -61 44 38.916509748|279.7217637371653 -09.2905906667208| -22.867 10.225   |10.46    |F0             |    ~     ~    |    1|  255.558   pc  |  -1.0646     +1.0646    |paral   |2020yCat.1350....0G
5438|TYC 8940-708-1                                                        |Star                              |09 13 26.5380171168 -61 06 58.279987512|279.4963724066522 -08.6044234285494|   -5.255 5.377   |10.98    |~              |    ~     ~    |    1|  782.595   pc  | -10.1055    +10.1055    |paral   |2020yCat.1350....0G
5439|TYC 8940-1436-1                                                       |Star                              |09 11 13.4901742440 -61 30 20.884410828|279.6040828751393 -09.0640860058777|   -6.306 5.954   |10.320   |~              |    ~     ~    |    1| 2296.720   pc  |-234.3000   +234.3000    |ST-L    |2020AJ....160...83S
5440|TYC 8940-1492-1                                                       |Star                              |09 11 20.3211510072 -61 13 02.540193600|279.3977884469505 -08.8595066710469|   -4.627 5.828   |10.44    |~              |    ~     ~    |    1| 1961.938   pc  | -57.7380    +57.7380    |paral   |2020yCat.1350....0G
5441|TYC 8940-1513-1                                                       |Star                              |09 10 51.4192409376 -61 29 19.596167628|279.5614077774857 -09.0850577236014|   3.482 -8.182   |10.93    |~              |    ~     ~    |    1|  287.571   pc  |  -1.0751     +1.0751    |paral   |2020yCat.1350....0G
5442|TYC 8940-1519-1                                                       |Star                              |09 09 57.4276233576 -61 07 29.705797200|279.2151297646388 -08.9204780905534|  -1.164 -7.277   |10.67    |~              |    ~     ~    |    1|  564.016   pc  |  -4.1037     +4.1037    |paral   |2020yCat.1350....0G
5443|HD 304623                                                             |Star                              |09 12 51.5687079840 -61 27 10.865948292|279.6982968877877 -08.8846441716505|   -4.658 7.257   |10.92    |A0             |    ~     ~    |    1|  796.940   pc  | -10.9239    +10.9239    |paral   |2020yCat.1350....0G
5444|TYC 8940-1596-1                                                       |Star                              |09 11 22.7755052280 -61 30 11.951812476|279.6148287937532 -09.0487810394434|   5.150 -5.408   |10.823   |~              |    ~     ~    |    1| 1001.680   pc  | -60.9400    +60.9400    |ST-L    |2020AJ....160...83S
5445|TYC 8940-1633-1                                                       |Star                              |09 09 01.5679217136 -61 34 37.248469140|279.4795280535141 -09.3060803939154| -13.863 13.653   |10.85    |~              |    ~     ~    |    1|  446.329   pc  | -23.6262    +23.6262    |paral   |2020yCat.1350....0G
5446|HD 304629                                                             |Star                              |09 13 38.9787440904 -61 18 00.531141588|279.6498923039309 -08.7113336494727|   -6.987 7.718   |10.55    |A0             |    ~     ~    |    1|  595.203   pc  |  -8.5024     +8.5024    |paral   |2020yCat.1350....0G
5447|HD 309545                                                             |Star                              |09 06 56.3922281592 -62 09 11.242545192|279.7502331492235 -09.8727702450789|  -18.236 7.103   |10.06    |M0             |    ~     ~    |    1| 1335.292   pc  | -19.4347    +19.4347    |paral   |2020yCat.1350....0G
5448|V* V584 Car                                                           |Mira Variable                     |09 11 29.9505118608 -61 37 12.576604116|279.7119105124670 -09.1170770084326|   -5.362 3.535   |10.8     |~              |    ~     ~    |    0|                |                         |        |                   
5449|HD 79950                                                              |Star                              |09 14 10.3108490352 -62 06 45.639013680|280.2950310524446 -09.2192112705890|   -7.446 7.871   |9.44     |B9IV           |    ~     ~    |    1|  537.143   pc  |  -8.8288     +8.8288    |paral   |2020yCat.1350....0G
5450|* i Car                                                               |Star                              |09 11 16.7208929 -62 19 01.129500      |280.2161170436 -09.6056804366      |   -37.48 14.59   |3.943    |B3V            |    ~     ~    |    1|  160.8286  pc  |  -7.7985     +7.7985    |paral   |2018yCat.1345....0G
5451|HD 79701                                                              |Star                              |09 12 39.1334310264 -62 15 52.409097180|280.2861305881824 -09.4524659821147|   -3.248 2.416   |9.58     |K2/4           |    ~     ~    |    1|  737.953   pc  | -10.7826    +10.7826    |paral   |2020yCat.1350....0G
5452|HD 79796                                                              |Star                              |09 13 12.5218038984 -62 25 19.921440072|280.4480615345430 -09.5117193689751| -12.859 19.401   |9.17     |F5IV           |    ~     ~    |    1|  159.226   pc  |  -0.3169     +0.3169    |paral   |2020yCat.1350....0G
5453|HD 78408                                                              |Star                              |09 04 56.2789652280 -63 26 04.418854152|280.5788128258346 -10.8877454979535|   -9.795 4.217   |9.64     |B9IV           |    ~     ~    |    1|  748.335   pc  |  -8.9601     +8.9601    |paral   |2020yCat.1350....0G
5454|HD 78725                                                              |Star                              |09 06 45.0186256968 -62 50 59.490380544|280.2669017103879 -10.3494271128860| -20.457 -0.095   |7.53     |B8V            |    ~     ~    |    1|  247.451   pc  |  -1.4328     +1.4328    |paral   |2020yCat.1350....0G
5455|HD 78843                                                              |Spectroscopic Binary              |09 07 22.3262654688 -62 59 49.066886328|280.4267038796746 -10.3934410865885| -11.579 -2.218   |8.85     |K0III          |    ~     ~    |    1|  496.524   pc  |  -3.6734     +3.6734    |paral   |2020yCat.1350....0G
5456|HD 78898                                                              |Star                              |09 07 43.6270436712 -62 53 40.542306756|280.3758348894701 -10.2954383194720|  -2.984 -2.051   |9.16     |A4IV/V         |    ~     ~    |    1|  569.963   pc  |  -5.9124     +5.9124    |paral   |2020yCat.1350....0G
5457|HD 79259                                                              |Star                              |09 10 07.8660458952 -62 54 49.927256244|280.5755576321408 -10.1039526181097| -17.986 15.114   |9.21     |G8III          |    ~     ~    |    1|  404.793   pc  |  -2.0810     +2.0810    |paral   |2020yCat.1350....0G
5458|CPD-62 1185                                                           |Star                              |09 10 51.6315777672 -62 47 04.443418428|280.5346738341560 -09.9555520217562|  -19.923 6.967   |10.67    |~              |    ~     ~    |    1|  441.053   pc  |  -4.2213     +4.2213    |paral   |2020yCat.1350....0G
5459|HD 79464                                                              |Star                              |09 11 18.1949235720 -62 56 44.351895264|280.6903028268720 -10.0263012150534| -10.498 10.963   |9.36     |F3III          |    ~     ~    |    1|  631.752   pc  |  -4.9889     +4.9889    |paral   |2020yCat.1350....0G
5460|HD 79655                                                              |Star                              |09 12 22.7654424528 -62 54 57.572305884|280.7517453094813 -09.9158135797507|   -7.384 9.120   |8.26     |B8V            |    ~     ~    |    1|  508.311   pc  |  -7.0021     +7.0021    |paral   |2020yCat.1350....0G
5461|HD 79797                                                              |Star                              |09 13 08.9539841280 -62 39 36.866575836|280.6208952751894 -09.6780581950103|   -6.241 5.561   |9.45     |B8III/IV       |    ~     ~    |    1|  639.591   pc  | -37.0214    +37.0214    |paral   |2020yCat.1350....0G
5462|HD 79951                                                              |Star                              |09 14 01.1888793696 -63 12 26.415742248|281.0971532920506 -09.9762326357348|   -2.233 0.502   |9.32     |G5/8III/IV     |    ~     ~    |    1|  954.563   pc  | -11.2076    +11.2076    |paral   |2020yCat.1350....0G
5463|HD 80005                                                              |Star                              |09 14 17.7378665712 -62 43 53.486828400|280.7645147980655 -09.6299088916022|   -8.351 9.585   |9.41     |A0V            |    ~     ~    |    1|  455.705   pc  |  -3.6134     +3.6134    |paral   |2020yCat.1350....0G
5464|CPD-62 1201                                                           |Star                              |09 14 18.9405728040 -62 43 37.860033396|280.7628723627286 -09.6252728968576| 16.057 -41.445   |9.12     |~              |    ~     ~    |    1|  378.315   pc  |  -1.9035     +1.9035    |paral   |2020yCat.1350....0G
5465|HD 80058                                                              |Star                              |09 14 34.6784010120 -63 10 29.183449512|281.1163187055915 -09.9079328253530|   0.649 -9.972   |9.83     |A7V            |    ~     ~    |    1|  429.443   pc  |  -2.3053     +2.3053    |paral   |2020yCat.1350....0G
5466|HD 78790                                                              |Star                              |09 06 57.3639176736 -63 48 23.548642452|281.0145124882221 -10.9625910982945| -16.740 12.229   |8.81     |K1III          |    ~     ~    |    1|  460.638   pc  |  -2.8433     +2.8433    |paral   |2020yCat.1350....0G
5467|HD 309579                                                             |Star                              |09 09 43.3075668744 -63 48 17.118679536|281.2189601808083 -10.7327278356936| -21.185 23.470   |9.43     |F2IV           |    ~     ~    |    1|  275.657   pc  |  -1.5121     +1.5121    |paral   |2020yCat.1350....0G
5468|HD 79515                                                              |High Proper Motion Star           |09 11 27.4556838912 -63 51 50.509723932|281.3939842500802 -10.6300137611096| -45.081 23.683   |9.49     |A1mA6-F0       |    ~     ~    |    1|  281.857   pc  |  -2.4230     +2.4230    |paral   |2020yCat.1350....0G
5469|HD 79865                                                              |Star                              |09 13 30.1902784512 -64 11 52.581832980|281.7986281440997 -10.6892091406745| -11.127 17.288   |8.13     |G8III          |    ~     ~    |    1|  358.963   pc  |  -2.0230     +2.0230    |paral   |2020yCat.1350....0G
5470|HD 79923                                                              |Star                              |09 13 49.9125846504 -63 41 05.120767968|281.4391343490826 -10.3154191516222|  -8.123 12.265   |9.13     |G8III          |    ~     ~    |    1|  451.386   pc  |  -2.2820     +2.2820    |paral   |2020yCat.1350....0G
5471|HD 79966                                                              |Star                              |09 14 00.0469656912 -64 11 49.885762380|281.8353347456587 -10.6488178745792|   3.685 -8.186   |8.95     |F5V            |    ~     ~    |    1|  126.828   pc  |  -0.2011     +0.2011    |paral   |2020yCat.1350....0G
5472|HD 79985                                                              |Spectroscopic Binary              |09 14 10.5419784504 -63 41 34.857048228|281.4715581161721 -10.2930107474164|-97.005 101.742   |7.90     |G1V            |    ~     ~    |    1|   75.808   pc  |  -0.8856     +0.8856    |paral   |2020yCat.1350....0G
5473|HD 80059                                                              |Star                              |09 14 32.9116419192 -63 51 50.669516268|281.6276659186679 -10.3788713157499|  -1.564 -8.245   |8.70     |K0III/IV       |    ~     ~    |    1|  417.938   pc  |  -4.8734     +4.8734    |paral   |2020yCat.1350....0G
5474|HD 80078                                                              |Star                              |09 14 37.3580978544 -64 09 12.880110600|281.8494238046674 -10.5694666178121|  -11.492 7.857   |8.20     |BpHgMn         |    ~     ~    |    1|  481.139   pc  |  -5.0466     +5.0466    |paral   |2020yCat.1350....0G
5475|HD 309567                                                             |Star                              |09 14 07.4137657080 -62 49 14.254907052|280.8172133048913 -09.7049265893483| -44.526 15.821   |10.12    |G0             |    ~     ~    |    1|  259.296   pc  |  -0.7866     +0.7866    |paral   |2020yCat.1350....0G
5476|HD 309633                                                             |Star                              |09 14 44.5242944520 -64 01 03.822554136|281.7570090729993 -10.4676360755818|   -4.718 0.990   |10.86    |A              |    ~     ~    |    1|  677.599   pc  |  -6.4739     +6.4739    |paral   |2020yCat.1350....0G
5477|HD 79967                                                              |Star                              |09 13 58.2348846984 -64 22 28.765723620|281.9660344955357 -10.7713441669162| -32.149 33.514   |9.24     |F6V            |    ~     ~    |    1|  195.691   pc  |  -0.4481     +0.4481    |paral   |2020yCat.1350....0G
5478|IRAS 09013-6303                                                       |Star                              |09 02 18.9613771680 -63 15 37.357945632|280.2493114746820 -10.9979200503705|   -7.480 5.770   |10.65    |~              |    ~     ~    |    1| 1909.490   pc  | -62.7138    +62.7138    |paral   |2020yCat.1350....0G
5479|IRAS 09104-6258                                                       |Long-Period Variable              |09 11 31.0875868656 -63 10 57.595697292|280.8851967315173 -10.1675482941072|   4.187 -2.411   |10.96    |~              |    ~     ~    |    1| 1175.226   pc  | -43.9208    +43.9208    |paral   |2020yCat.1350....0G
5480|IRAS 09115-6338                                                       |Long-Period Variable              |09 12 36.5038098408 -63 50 39.128626032|281.4657569550358 -10.5228321077074|  -4.041 10.139   |10.82    |~              |    ~     ~    |    1| 1122.083   pc  | -45.4524    +45.4524    |paral   |2020yCat.1350....0G
