C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:15:01

dec< 0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5671

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
4498|TYC 7800-712-1                                                                                                                              |Star                               |13 38 33.3439467264 -43 47 14.266986468|311.8600443564014 +18.2661166072941|   -1.695 0.019   |10.40    |~                 |    ~     ~    |    1|  333.444   pc  |  -5.4814     +5.4814    |paral   |2020yCat.1350....0G
4499|TYC 7800-810-1                                                                                                                              |Star                               |13 38 30.1009542360 -43 26 15.380128644|311.9204791641643 +18.6112142596772|   3.967 -0.606   |10.25    |~                 |    ~     ~    |    1|  125.774   pc  |  -0.2958     +0.2958    |paral   |2020yCat.1350....0G
4500|TYC 7800-893-1                                                                                                                              |Star                               |13 39 57.5775205752 -44 10 34.958700012|312.0412768716070 +17.8354529522773|  -17.856 1.443   |10.555   |~                 |    ~     ~    |    1|  753.968   pc  | -48.0800    +48.0800    |ST-L    |2020AJ....160...83S
4501|TYC 7800-1028-1                                                                                                                             |High Proper Motion Star            |13 38 26.7137569248 -43 36 42.247472472|311.8747564630127 +18.4422574030898|-91.595 -25.725   |10.71    |~                 |    ~     ~    |    1|   82.390   pc  |  -0.6763     +0.6763    |ST-L    |2020AJ....160...83S
4502|TYC 7800-1034-1                                                                                                                             |Star                               |13 39 54.1760821896 -43 37 08.451684156|312.1460633394318 +18.3839405773939| -13.164 -5.631   |10.90    |~                 |    ~     ~    |    1|  564.493   pc  |  -5.4171     +5.4171    |paral   |2020yCat.1350....0G
4503|TYC 7800-1052-1                                                                                                                             |Star                               |13 36 38.6291508864 -43 55 06.846602916|311.4776663281875 +18.2017877058753| -13.893 -4.342   |10.399   |~                 |    ~     ~    |    1| 1427.340   pc  |-114.6000   +114.6000    |ST-L    |2020AJ....160...83S
4504|TYC 7800-1055-1                                                                                                                             |Star                               |13 36 41.2246072056 -44 30 04.514518044|311.3733724718469 +17.6275624932908| -16.979 -9.274   |10.63    |~                 |    ~     ~    |    1|  362.687   pc  |  -2.0652     +2.0652    |paral   |2020yCat.1350....0G
4505|TYC 7800-1091-1                                                                                                                             |Star                               |13 37 59.7841192512 -44 20 03.032883492|311.6470895915146 +17.7482765099082|  -9.549 -3.545   |10.50    |~                 |    ~     ~    |    1|  427.551   pc  |  -3.7291     +3.7291    |paral   |2020yCat.1350....0G
4506|TYC 7800-1740-1                                                                                                                             |Star                               |13 36 19.6161937128 -44 00 04.327828128|311.4027535133109 +18.1309797832338|  14.487 -2.439   |10.62    |~                 |    ~     ~    |    1|  179.314   pc  |  -1.0804     +1.0804    |paral   |2020yCat.1350....0G
4507|TYC 7801-1115-1                                                                                                                             |Star                               |13 41 57.5028745752 -43 10 51.273616224|312.6248262763473 +18.7379771077501| 30.978 -20.017   |10.6     |~                 |    ~     ~    |    1|  131.409   pc  |  -0.2746     +0.2746    |paral   |2020yCat.1350....0G
4508|TYC 7801-1469-1                                                                                                                             |Star                               |13 44 25.7194980168 -43 24 50.437536660|313.0367054741780 +18.4155956232931|  -8.980 -4.132   |10.752   |~                 |    ~     ~    |    1|  806.018   pc  | -45.6100    +45.6100    |ST-L    |2020AJ....160...83S
4509|TYC 7801-1633-1                                                                                                                             |Star                               |13 41 18.0181318632 -43 56 54.491454384|312.3370559963803 +18.0108059943790|   12.086 3.451   |10.74    |~                 |    ~     ~    |    1|  448.893   pc  |  -3.7682     +3.7682    |paral   |2020yCat.1350....0G
4510|TYC 7801-1636-1                                                                                                                             |Star                               |13 40 01.1749751592 -44 44 16.046729016|311.9367002741212 +17.2828603098075|   -7.580 9.577   |10.699   |~                 |    ~     ~    |    1| 1737.420   pc  |-599.2000   +599.2000    |ST-L    |2020AJ....160...83S
4511|TYC 7801-1761-1                                                                                                                             |Star                               |13 43 28.9180051368 -44 00 04.328642628|312.7293247235237 +17.8782440964542|  -13.642 2.550   |10.62    |~                 |    ~     ~    |    1|  192.597   pc  |  -0.5675     +0.5675    |paral   |2020yCat.1350....0G
4512|TYC 7801-1975-1                                                                                                                             |Star                               |13 41 59.9269792104 -43 29 47.956020900|312.5639945460200 +18.4274545667306|-41.677 -13.324   |10.48    |~                 |    ~     ~    |    1|  240.778   pc  |  -0.9972     +0.9972    |paral   |2020yCat.1350....0G
4513|TYC 7801-2200-1                                                                                                                             |Star                               |13 40 25.4631979464 -43 28 34.018368096|312.2735168529399 +18.5053054482691|  18.453 -2.694   |10.50    |~                 |    ~     ~    |    1|  211.932   pc  |  -0.7950     +0.7950    |paral   |2020yCat.1350....0G
4514|TYC 7801-2210-1                                                                                                                             |Star                               |13 43 40.5295372800 -44 09 47.937720204|312.7291103260906 +17.7124470784389|   -6.360 5.238   |10.78    |~                 |    ~     ~    |    1| 1737.880   pc  |-224.9000   +224.9000    |ST-L    |2020AJ....160...83S
4515|TYC 7801-2399-1                                                                                                                             |Star                               |13 41 22.1127436248 -43 28 59.426309352|312.4489298325004 +18.4639753120280| -23.700 -9.721   |10.092   |~                 |    ~     ~    |    1|  356.595   pc  |  -2.1872     +2.1872    |paral   |2020yCat.1350....0G
4516|TYC 7801-2410-1                                                                                                                             |Star                               |13 44 26.0718647808 -44 18 29.104234920|312.8362268891522 +17.5420922763119|  -5.086 -2.885   |10.81    |~                 |    ~     ~    |    1|  747.049   pc  | -20.3142    +20.3142    |paral   |2020yCat.1350....0G
4517|TYC 7801-2414-1                                                                                                                             |Star                               |13 44 39.4827616272 -43 50 43.747373184|312.9816564371498 +17.9852947746390|   -4.646 3.199   |10.84    |~                 |    ~     ~    |    1|  454.112   pc  |  -5.7122     +5.7122    |paral   |2020yCat.1350....0G
4518|TYC 7801-2473-1                                                                                                                             |Star                               |13 44 31.9013366496 -44 13 50.947526892|312.8714057488160 +17.6138406370428|-20.668 -11.679   |10.37    |~                 |    ~     ~    |    1|  476.440   pc  |  -4.3583     +4.3583    |paral   |2020yCat.1350....0G
4519|TYC 7801-2524-1                                                                                                                             |Star                               |13 43 37.1419377312 -44 08 15.248192496|312.7244210384532 +17.7397515101638| -3.398 -11.710   |10.59    |~                 |    ~     ~    |    1|  356.633   pc  |  -2.3911     +2.3911    |paral   |2020yCat.1350....0G
4520|TYC 7801-2536-1                                                                                                                             |High Proper Motion Star            |13 44 11.8008644712 -43 59 20.620089456|312.8640174622159 +17.8628654359477|-44.626 -27.535   |10.27    |~                 |    ~     ~    |    1|  270.717   pc  |  -1.3925     +1.3925    |paral   |2020yCat.1350....0G
4521|TYC 7801-2576-1                                                                                                                             |Star                               |13 40 54.0475474848 -44 16 12.653747832|312.1952982881888 +17.7100797840180| -29.349 -5.827   |10.63    |~                 |    ~     ~    |    1|  674.354   pc  |  -9.3225     +9.3225    |paral   |2020yCat.1350....0G
4522|GEN# -0.04208551                                                                                                                            |Star                               |13 35 06.0 -43 37 18                   |311.2453 +18.5442                  |            ~ ~   |10.012   |~                 |    ~     ~    |    0|                |                         |        |                   
4523|HD 118931                                                                                                                                   |Star                               |13 41 00.7533710520 -45 15 08.175302712|312.0102431391962 +16.7438229949601|-44.507 -14.223   |9.23     |A1mA5/8-F0/2      |    ~     ~    |    1|  227.702   pc  |  -1.2962     +1.2962    |paral   |2020yCat.1350....0G
4524|CD-44 8821                                                                                                                                  |Star                               |13 42 06.6131865024 -45 14 46.015368396|312.2091276935275 +16.7108983665989| -20.236 -5.837   |10.35    |F0                |    ~     ~    |    1|  477.578   pc  |  -9.5110     +9.5110    |paral   |2020yCat.1350....0G
4525|V* V498 Cen                                                                                                                                 |Eclipsing Binary                   |13 42 25.0642917888 -45 05 54.126564108|312.2960918051015 +16.8444424080318|  -8.680 -5.335   |10.91    |~                 |    ~     ~    |    1|  537.548   pc  |  -5.4324     +5.4324    |paral   |2020yCat.1350....0G
4526|CD-44 8822                                                                                                                                  |Star                               |13 42 12.9487461216 -45 01 27.319654200|312.2754787755804 +16.9242869266761|-12.310 -10.005   |9.77     |~                 |    ~     ~    |    1|  580.956   pc  |  -6.4802     +6.4802    |paral   |2020yCat.1350....0G
4527|CD-44 8849                                                                                                                                  |Star                               |13 44 38.4962310336 -44 54 12.772606140|312.7405033760074 +16.9525350763544| -24.349 -8.994   |10.23    |~                 |    ~     ~    |    1|  478.790   pc  |  -4.1492     +4.1492    |paral   |2020yCat.1350....0G
4528|HD 118763                                                                                                                                   |Star                               |13 39 49.2970318704 -45 24 02.363823540|311.7654657653590 +16.6395973212957|  -6.712 -2.904   |10.05    |A0V               |    ~     ~    |    1|  547.435   pc  |  -7.2824     +7.2824    |paral   |2020yCat.1350....0G
4529|HD 118857                                                                                                                                   |Star                               |13 40 25.4575665936 -45 10 36.033101508|311.9198408687952 +16.8384659558733| -10.080 -4.740   |9.726    |G8(III)           |    ~     ~    |    1|  627.100   pc  | -84.1700    +84.1700    |ST-L    |2020AJ....160...83S
4530|V* V747 Cen                                                                                                                                 |Eclipsing Binary                   |13 39 23.7576947616 -45 05 54.354103152|311.7499281504516 +16.9506137680301|-51.496 -11.503   |10.03    |A9/F0V            |    ~     ~    |    1|  278.823   pc  |  -1.2828     +1.2828    |paral   |2020yCat.1350....0G
4531|CD-44 8795                                                                                                                                  |Star                               |13 39 52.6595951160 -45 03 56.513602188|311.8437787218756 +16.9662073155330|   9.282 -4.887   |10.278   |~                 |    ~     ~    |    1|  840.670   pc  | -91.8400    +91.8400    |ST-L    |2020AJ....160...83S
4532|CD-44 8810                                                                                                                                  |Star                               |13 41 06.4351241520 -45 19 30.398511900|312.0121014516925 +16.6691244669895|-20.268 -23.314   |10.201   |~                 |    ~     ~    |    1|  335.699   pc  | -27.5400    +27.5400    |ST-L    |2020AJ....160...83S
4533|HD 119118                                                                                                                                   |High Proper Motion Star            |13 42 16.2626339472 -45 26 43.782954360|312.1955525581897 +16.5099465896257|-71.290 -60.273   |8.27     |F2V               |    ~     ~    |    1|  108.460   pc  |  -0.3423     +0.3423    |paral   |2020yCat.1350....0G
4534|HD 119140                                                                                                                                   |Star                               |13 42 23.9716554168 -45 35 44.080326060|312.1865412176976 +16.3584322807251|  -28.707 3.747   |9.07     |K1/2(III)         |    ~     ~    |    1|  507.640   pc  |  -7.2156     +7.2156    |paral   |2020yCat.1350....0G
4535|HD 119327                                                                                                                                   |Star                               |13 43 32.1956199720 -45 34 35.274510012|312.3935005340122 +16.3359939971687|   -8.787 1.167   |9.28     |K1/2III           |    ~     ~    |    1|  848.969   pc  | -14.2708    +14.2708    |paral   |2020yCat.1350....0G
4536|HD 119378                                                                                                                                   |Star                               |13 43 51.8806398624 -45 26 14.386717752|312.4825053918019 +16.4599793736913| 25.067 -32.952   |7.27     |F3IV              |    ~     ~    |    1|  110.689   pc  |  -0.3418     +0.3418    |paral   |2020yCat.1350....0G
4537|HD 119573                                                                                                                                   |Star                               |13 44 57.3404428608 -45 13 23.360228616|312.7254771037354 +16.6284706199848|-26.343 -19.659   |8.14     |A5/7IV/V          |    ~     ~    |    1|  133.435   pc  |  -0.5074     +0.5074    |paral   |2020yCat.1350....0G
4538|HD 118898                                                                                                                                   |Star                               |13 40 45.3321560112 -45 34 40.004966676|311.8965961351211 +16.4337791219313|  -12.687 1.249   |9.38     |A9V               |    ~     ~    |    1|  302.599   pc  |  -1.7855     +1.7855    |paral   |2020yCat.1350....0G
4539|HD 118947                                                                                                                                   |Star                               |13 41 07.1588833824 -45 35 15.745035516|311.9595704789830 +16.4113931676909|   -5.343 1.072   |8.21     |K3III             |    ~     ~    |    1|  887.784   pc  | -22.6202    +22.6202    |paral   |2020yCat.1350....0G
4540|HD 118998                                                                                                                                   |Star                               |13 41 36.6305566248 -45 29 37.786078248|312.0670584762725 +16.4861133001150| 30.077 -33.085   |6.88     |K2/3III           |    ~     ~    |    1|  151.490   pc  |  -0.6632     +0.6632    |paral   |2020yCat.1350....0G
4541|HD 119155                                                                                                                                   |Star                               |13 42 27.7851588120 -45 43 41.488773276|312.1695969301827 +16.2263522309657|  -5.964 -6.812   |9.67     |A7V               |    ~     ~    |    1|  495.221   pc  | -10.7907    +10.7907    |paral   |2020yCat.1350....0G
4542|HD 119278                                                                                                                                   |Star                               |13 43 19.2637815000 -46 02 47.204797020|312.2533414752915 +15.8841528159383| -19.052 -3.799   |8.28     |B9V               |    ~     ~    |    1|  328.116   pc  |  -4.1772     +4.1772    |paral   |2020yCat.1350....0G
4543|HD 119509                                                                                                                                   |Star                               |13 44 40.6320433008 -46 40 20.343067068|312.3543584436831 +15.2231017852423| -10.733 -4.228   |10.44    |A0IV              |    ~     ~    |    1| 1119.650   pc  |-166.0000   +166.0000    |ST-L    |2020AJ....160...83S
4544|HD 119069                                                                                                                                   |Chemically Peculiar Star           |13 41 56.0347761240 -45 51 03.295515276|312.0495454643985 +16.1249768449417|  16.007 20.887   |8.41     |B3II              |    ~     ~    |    1| 1457.513   pc  |-140.2068   +140.2068    |paral   |2020yCat.1350....0G
4545|CD-44 8819                                                                                                                                  |Star                               |13 41 58.8836060736 -45 34 54.798707676|312.1148027038727 +16.3867388561707|  -0.906 -5.311   |10.448   |~                 |    ~     ~    |    1|  803.372   pc  | -76.0800    +76.0800    |ST-L    |2020AJ....160...83S
4546|CD-45 8631                                                                                                                                  |Star                               |13 41 36.4806161016 -45 57 23.523154308|311.9695748956421 +16.0329710943611|  -6.102 -8.103   |9.69     |~                 |    ~     ~    |    1| 1183.992   pc  | -39.8122    +39.8122    |paral   |2020yCat.1350....0G
4547|TYC 8261-569-1                                                                                                                              |Star                               |13 40 06.2598058080 -45 20 58.468916292|311.8267022841631 +16.6800034892118|   1.075 -6.730   |10.60    |~                 |    ~     ~    |    1|  306.457   pc  |  -1.4369     +1.4369    |paral   |2020yCat.1350....0G
4548|TYC 8261-1521-1                                                                                                                             |Star                               |13 40 20.4303810864 -45 38 41.892985356|311.8086025518274 +16.3822279049412|-34.552 -25.253   |10.78    |~                 |    ~     ~    |    1|  274.786   pc  |  -1.8424     +1.8424    |paral   |2020yCat.1350....0G
4549|TYC 8262-2672-1                                                                                                                             |High Proper Motion Star            |13 41 57.2517908664 -45 02 39.987741840|312.2238806525939 +16.9139499967552|-57.630 -16.657   |10.84    |~                 |    ~     ~    |    1|  282.973   pc  |  -1.6015     +1.6015    |paral   |2020yCat.1350....0G
4550|TYC 8262-2927-1                                                                                                                             |Star                               |13 44 02.8916698776 -45 58 44.170429440|312.3963922825304 +15.9237654916772| -34.426 -6.286   |10.76    |~                 |    ~     ~    |    1|  271.783   pc  |  -3.6564     +3.6564    |paral   |2020yCat.1350....0G
4551|TYC 8262-3108-1                                                                                                                             |Star                               |13 43 17.6609412360 -46 16 30.332708076|312.1993328571873 +15.6614438487915|    5.850 4.002   |9.81     |~                 |    ~     ~    |    1| 1521.838   pc  | -55.5838    +55.5838    |paral   |2020yCat.1350....0G
4552|HD 119251                                                                                                                                   |Star                               |13 42 58.4624751240 -42 10 55.555753224|313.0383535341184 +19.6760561611634| -0.297 -43.922   |7.51     |G0V               |    ~     ~    |    1|   46.274   pc  |  -0.0478     +0.0478    |paral   |2020yCat.1350....0G
4553|HD 119401                                                                                                                                   |Star                               |13 43 51.7708641288 -42 14 46.356840240|313.1945604052828 +19.5784544632742|   -0.330 3.177   |9.17     |F0V               |    ~     ~    |    1|  321.079   pc  |  -2.7216     +2.7216    |paral   |2020yCat.1350....0G
4554|CD-41 8096                                                                                                                                  |Star                               |13 44 10.4387261520 -42 00 36.781468956|313.3082770033785 +19.7965296332766| -12.445 -4.010   |10.63    |A2                |    ~     ~    |    0|                |                         |        |                   
4555|CD-41 8070                                                                                                                                  |Star                               |13 42 35.4999805368 -42 13 27.153044112|312.9553787626328 +19.6497659415565|  -0.140 -6.329   |9.95     |~                 |    ~     ~    |    1|  599.736   pc  |  -6.1866     +6.1866    |paral   |2020yCat.1350....0G
4556|CD-41 8093                                                                                                                                  |Star                               |13 43 58.0522224696 -42 05 49.034700528|313.2486727003308 +19.7200758037745|  7.039 -11.241   |10.07    |~                 |    ~     ~    |    1|  840.167   pc  | -46.1900    +46.1900    |ST-L    |2020AJ....160...83S
4557|HD 119594                                                                                                                                   |Star                               |13 44 59.3381553360 -42 29 41.585016264|313.3528753700387 +19.2906838371334| -14.404 -7.832   |10.20    |A3III             |    ~     ~    |    1|  373.734   pc  |  -2.8215     +2.8215    |paral   |2020yCat.1350....0G
4558|HD 119402                                                                                                                                   |Star                               |13 43 52.8168462120 -42 34 57.655876116|313.1215424691908 +19.2490896588172| -10.242 -2.130   |9.08     |A8IV              |    ~     ~    |    1|  642.178   pc  | -10.7635    +10.7635    |paral   |2020yCat.1350....0G
4559|HD 119326                                                                                                                                   |Star                               |13 43 27.6119061168 -42 40 55.084203516|313.0192103106710 +19.1685337876223|   -7.657 8.820   |7.91     |K0III             |    ~     ~    |    1|  293.582   pc  |  -4.8956     +4.8956    |paral   |2020yCat.1350....0G
4560|TYC 7797-885-1                                                                                                                              |Star                               |13 41 59.2471033536 -42 05 07.907762076|312.8696723040678 +19.8087098790349| -13.666 -4.227   |10.65    |~                 |    ~     ~    |    1|  675.813   pc  |  -9.4998     +9.4998    |paral   |2020yCat.1350....0G
4561|TYC 7797-1361-1                                                                                                                             |Star                               |13 43 16.8139758984 -42 33 12.775386384|313.0137426419789 +19.3010516918848|  -25.134 6.043   |10.73    |K1III             |    ~     ~    |    1|  866.174   pc  | -49.1700    +49.1700    |ST-L    |2020AJ....160...83S
4562|TYC 7797-1538-1                                                                                                                             |Star                               |13 42 53.6122268256 -42 18 41.823903816|312.9938829475418 +19.5525888526371|-13.707 -11.956   |10.67    |~                 |    ~     ~    |    1| 1211.387   pc  | -28.7622    +28.7622    |paral   |2020yCat.1350....0G
4563|TYC 7797-1816-1                                                                                                                             |Star                               |13 42 43.1663906088 -42 23 20.777988840|312.9432616980312 +19.4835782202075| -8.137 -16.497   |10.550   |~                 |    ~     ~    |    1|  913.629   pc  | -41.6000    +41.6000    |ST-L    |2020AJ....160...83S
4564|1RXS J134442.5-634758                                                                                                                       |Young Stellar Object               |13 44 42.7967106480 -63 47 49.449431184|308.7722516063687 -01.5310688264227|-35.635 -23.119   |10.969   |K4Ve              |    ~     ~    |    1|   98.921   pc  |  -0.3131     +0.3131    |paral   |2020yCat.1350....0G
4565|NGC 5202                           NGC 5202                                                                                                 |Galaxy                             |13 32 00.4940844144 -01 41 55.601626848|323.2633979679877 +59.5619246705359|            ~ ~   |     ~   |~                 |0.557 0.212    |    0|                |                         |        |                   
4566|TYC 6134-450-1                                                                                                                              |Star                               |13 39 53.0840703168 -22 12 21.668477652|317.4691151086877 +39.2942619685806|  2.848 -33.758   |10.737   |~                 |    ~     ~    |    1|  273.071   pc  |  -6.0480     +6.0480    |ST-L    |2020AJ....160...83S
4567|TYC 6715-15-1                                                                                                                               |Star                               |13 44 28.7025634656 -23 17 40.983188568|318.4331870781507 +37.9752571558730|   -8.141 3.175   |10.96    |~                 |    ~     ~    |    1|  968.469   pc  | -49.1400    +49.1400    |ST-L    |2020AJ....160...83S
4568|TYC 6715-426-1                                                                                                                              |Star                               |13 42 58.3729368480 -23 09 12.015195948|318.0542909231076 +38.2003921558587|  1.471 -20.061   |10.92    |~                 |    ~     ~    |    1|  185.041   pc  |  -2.0370     +2.0370    |ST-L    |2020AJ....160...83S
4569|TYC 6719-127-1                                                                                                                              |Star                               |13 42 42.3950685648 -25 55 31.188738432|317.1232657315151 +35.5296139976030|  -0.698 -8.208   |10.833   |~                 |    ~     ~    |    1|  544.885   pc  | -24.5900    +24.5900    |ST-L    |2020AJ....160...83S
4570|TYC 6723-840-1                                                                                                                              |Star                               |13 43 47.9513703192 -26 52 53.780256948|317.1284956423308 +34.5425480572122|  1.027 -16.593   |10.94    |~                 |    ~     ~    |    1|  306.615   pc  |  -6.0410     +6.0410    |ST-L    |2020AJ....160...83S
4571|TYC 6726-1440-1                                                                                                                             |Star                               |13 35 54.1269994224 -28 32 57.233502240|314.6238303547320 +33.3110216456555| -10.299 -8.136   |10.793   |~                 |    ~     ~    |    1|  969.942   pc  | -97.5800    +97.5800    |ST-L    |2020AJ....160...83S
4572|TYC 7270-1952-1                                                                                                                             |Star                               |13 42 16.4494349400 -33 26 10.139708040|314.9608567015882 +28.2453859926036| -16.945 -7.952   |10.864   |~                 |    ~     ~    |    1|  413.947   pc  | -12.5300    +12.5300    |ST-L    |2020AJ....160...83S
4573|TYC 7277-1397-1                                                                                                                             |Star                               |13 30 19.2611161680 -36 12 25.441031880|311.6509142072130 +26.0055147362078|  3.804 -24.290   |10.799   |~                 |    ~     ~    |    1|  187.171   pc  |  -2.0570     +2.0570    |ST-L    |2020AJ....160...83S
4574|NGC 5182                           NGC 5182                                                                                                 |Galaxy towards a Group of Galaxies |13 30 41.1258836400 -28 09 01.231077312|313.3647113975445 +33.9250749073161|            ~ ~   |     ~   |~                 |1.297 0.856    |    1|   59.94    Mpc |                         |redshift|2007ApJ...655..790C
4575|CD-41 7947                                                                                                                                  |Young Stellar Object               |13 34 31.8880438128 -42 09 30.690277992|311.4117448365108 +20.0025675897678|-38.956 -27.464   |10.70    |K2IVe             |    ~     ~    |    1|   92.570   pc  |  -0.4334     +0.4334    |ST-L    |2020AJ....160...83S
4576|HD 118667                                                                                                                                   |Double or Multiple Star            |13 41 39.4760791 -75 06 55.332174      |306.2115128130 -12.5643266562      |   -11.08 -3.18   |6.93     |A0V+G8/K0III      |0.0017  0.0    |    1|  286.902   pc  | -49.2700    +49.2700    |ST-L    |2020AJ....160...83S
4577|HD 118369                                                                                                                                   |Star                               |13 37 47.5016504335 -55 59 07.688810682|309.4234398022150 +06.3009362333152| -11.928 -5.064   |8.73     |B9V               |    ~     ~    |    1|  528.597   pc  |  -7.0133     +7.0133    |paral   |2020yCat.1350....0G
4578|HD 119360A                                                                                                                                  |Star                               |13 43 30.9030707980 -37 39 21.046351631|314.1967115054240 +24.0741254277469| -16.807 -8.678   |9.65     |A3/5V             |    ~     ~    |    1|  355.202   pc  |  -3.3056     +3.3056    |paral   |2020yCat.1350....0G
4579|HD 119405A                                                                                                                                  |Star                               |13 44 04.7860694184 -47 37 38.288644423|312.0435545794629 +14.3109658628152|-21.996 -15.449   |10.33    |~                 |    ~     ~    |    1|  225.673   pc  |  -2.1440     +2.1440    |paral   |2020yCat.1350....0G
4580|HD 118207A                                                                                                                                  |High Proper Motion Star            |13 35 24.4858402896 -04 56 03.566994864|322.9122295139728 +56.2221890347518|-45.542 -36.666   |8.67     |~                 |    ~     ~    |    1|  132.142   pc  |  -0.4261     +0.4261    |paral   |2020yCat.1350....0G
4581|* Q Cen A                                                                                                                                   |High Proper Motion Star            |13 41 44.7704279736 -54 33 33.934726980|310.2503415496840 +07.5958994922337|-43.783 -24.935   |5.217    |B8.5Vn            |    ~     ~    |    1|   88.645   pc  |  -0.7512     +0.7512    |paral   |2020yCat.1350....0G
4582|TYC 7800-107-1                                                                                                                              |Star                               |13 34 26.5104744216 -43 13 25.356200232|311.1953687611097 +18.9569674308746|-26.554 -15.370   |10.71    |~                 |    ~     ~    |    1|  303.398   pc  |  -2.4025     +2.4025    |paral   |2020yCat.1350....0G
4583|TYC 8999-184-1                                                                                                                              |Star                               |13 38 56.3244426984 -63 55 26.369528664|308.1234905821684 -01.5320786708412|-41.830 -22.637   |10.23    |~                 |    ~     ~    |    1|  166.792   pc  |  -0.3422     +0.3422    |paral   |2020yCat.1350....0G
4584|TYC 9004-1507-1                                                                                                                             |Star                               |13 44 49.1033131176 -61 03 45.955577952|309.3454103544273 +01.1425275441890|-35.968 -18.495   |10.50    |~                 |    ~     ~    |    1|  355.796   pc  |  -3.8230     +3.8230    |paral   |2020yCat.1350....0G
4585|TYC 9246-544-1                                                                                                                              |Star                               |13 30 09.5080777920 -69 54 10.502159580|306.2711469660562 -07.2826053766771|-29.689 -10.973   |10.66    |~                 |    ~     ~    |    1|  301.423   pc  |  -1.0448     +1.0448    |paral   |2020yCat.1350....0G
4586|TYC 9250-2002-1                                                                                                                             |Star                               |13 32 04.4212357104 -71 28 29.660887128|306.1832604194576 -08.8601375968878|-18.676 -13.081   |10.84    |~                 |    ~     ~    |    1|  726.955   pc  | -24.2400    +24.2400    |ST-L    |2020AJ....160...83S
4587|TYC 5548-789-1                                                                                                                              |Spectroscopic Binary               |13 35 19.3754136408 -10 50 34.782664020|320.0453940974396 +50.5648047007803|  -12.039 6.103   |10.963   |~                 |    ~     ~    |    1| 1596.950   pc  |-134.2000   +134.2000    |ST-L    |2020AJ....160...83S
4588|TYC 4969-1033-1                                                                                                                             |High Proper Motion Star            |13 39 06.1171708224 -03 58 25.736613996|325.0519633162086 +56.8368685242234| 78.332 127.551   |10.889   |~                 |    ~     ~    |    1|   67.412   pc  |  -1.1020     +1.1020    |ST-L    |2020AJ....160...83S
4589|TYC 4969-24-1                                                                                                                               |Star                               |13 30 54.3097105272 -02 47 10.750178184|322.1146031894896 +58.6077723682216|-13.017 -13.595   |10.658   |~                 |    ~     ~    |    1| 1953.090   pc  |-215.2000   +215.2000    |ST-L    |2020AJ....160...83S
4590|TYC 4969-781-1                                                                                                                              |Star                               |13 31 29.9135808408 -03 31 16.836559032|321.9762188272479 +57.8615188805773| 15.381 -12.758   |10.90    |~                 |    ~     ~    |    1|  411.189   pc  | -11.4700    +11.4700    |ST-L    |2020AJ....160...83S
4591|TYC 5548-591-1                                                                                                                              |Spectroscopic Binary               |13 31 17.2132926864 -10 30 29.645597484|318.6628780443816 +51.1423156739949|-23.295 -17.380   |10.887   |~                 |    ~     ~    |    1|  200.886   pc  |  -3.1510     +3.1510    |ST-L    |2020AJ....160...83S
4592|TYC 5548-1234-1                                                                                                                             |Star                               |13 32 08.3380644984 -10 05 27.913561224|319.1538366367101 +51.4941484036653| -22.892 12.167   |10.889   |~                 |    ~     ~    |    1|  395.023   pc  |  -9.7280     +9.7280    |ST-L    |2020AJ....160...83S
4593|TYC 5549-1253-1                                                                                                                             |Star                               |13 41 18.7745659440 -11 19 27.035560704|322.0332264365028 +49.6888165079711|  7.466 -37.355   |9.869    |~                 |    ~     ~    |    1|  170.992   pc  |  -1.7630     +1.7630    |ST-L    |2020AJ....160...83S
4594|TYC 7788-1889-1                                                                                                                             |Star                               |13 32 01.8911313888 -38 47 10.024304712|311.5391562213578 +23.4062358215520| -20.085 -8.111   |10.590   |~                 |    ~     ~    |    1|  515.742   pc  | -23.0500    +23.0500    |ST-L    |2020AJ....160...83S
4595|TYC 4966-192-1                                                                                                                              |Star                               |13 30 01.4748833448 -02 19 40.281403440|321.9663655112798 +59.1104447494354| -7.921 -11.457   |10.98    |~                 |    ~     ~    |    1|  245.013   pc  |  -3.9200     +3.9200    |ST-L    |2020AJ....160...83S
4596|HD 118036A                                                                                                                                  |High Proper Motion Star            |13 34 16.2573749928 -00 18 49.585524192|325.2377049391423 +60.6895014950837|-197.844 20.178   |7.72     |~                 |    ~     ~    |    1|   26.883   pc  |  -0.0201     +0.0201    |paral   |2020yCat.1350....0G
4597|HD 118036B                                                                                                                                  |High Proper Motion Star            |13 34 16.3720134960 -00 18 50.851557000|325.2383806211291 +60.6890091387081|-236.743 16.556   |8.63     |~                 |    ~     ~    |    1|   27.289   pc  |  -0.0530     +0.0530    |paral   |2020yCat.1350....0G
