C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:05

dec >=0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5410

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
53  |BD+46 4213                                                                                               |Star                                  |23 55 21.8669198136 +47 10 46.455572820|113.1349215627737 -14.6227229775553|   7.481 -7.031  |9.53     |A0               |    ~     ~    |    1|  392.634   pc  |  -3.9774     +3.9774  |paral   |2020yCat.1350....0G
54  |HD 224165                                                                                                |Star                                  |23 55 33.4754737152 +47 21 20.893767696|113.2084612577968 -14.4581991453441| -11.027 -7.272  |5.989    |G8Ib             |    ~     ~    |    1|  523.780   pc  |  -9.6844     +9.6844  |paral   |2020yCat.1350....0G
55  |BD+46 4216                                                                                               |High Proper Motion Star               |23 56 04.6722658368 +47 15 00.637531704|113.2731598556818 -14.5806901013151|-81.727 -63.868  |9.70     |G0               |    ~     ~    |    1|  155.046   pc  |  -0.3293     +0.3293  |paral   |2020yCat.1350....0G
56  |BD+46 4217                                                                                               |Star                                  |23 56 33.3906080616 +47 43 29.893004976|113.4618528806211 -14.1350990734886| 17.481 -34.813  |8.82     |F2               |    ~     ~    |    1|  163.191   pc  |  -0.4154     +0.4154  |paral   |2020yCat.1350....0G
57  |BD+46 4218                                                                                               |Star                                  |23 56 39.6243663096 +47 37 23.742221916|113.4566401092386 -14.2381765719440|-20.588 -12.643  |9.42     |F8               |    ~     ~    |    1|  115.370   pc  |  -0.1690     +0.1690  |paral   |2020yCat.1350....0G
58  |BD+46 4219                                                                                               |Star                                  |23 57 18.2213647056 +47 29 52.403514576|113.5380179395163 -14.3840454461046| -2.939 -13.554  |9.94     |K2               |    ~     ~    |    1|  593.613   pc  |  -4.0523     +4.0523  |paral   |2020yCat.1350....0G
59  |BD+46 4220                                                                                               |Star                                  |23 57 22.7703634416 +47 17 25.040767164|113.5048687711304 -14.5895511916582|  -0.233 -4.104  |9.53     |A0               |    ~     ~    |    1|  559.441   pc  |  -7.6366     +7.6366  |paral   |2020yCat.1350....0G
60  |BD+46 4222                                                                                               |Star                                  |23 57 40.2691209648 +47 00 02.361900060|113.4907160154420 -14.8830798735268|   2.314 -4.846  |9.86     |B9IVCrSi         |    ~     ~    |    1|  740.247   pc  | -13.4252    +13.4252  |paral   |2020yCat.1350....0G
61  |BD+46 4223                                                                                               |Star                                  |23 57 59.2906124640 +47 11 26.169814824|113.5871540608741 -14.7090189505985| 14.921 -17.867  |9.40     |F5               |    ~     ~    |    1|  156.436   pc  |  -0.3206     +0.3206  |paral   |2020yCat.1350....0G
62  |BD+46 4226                                                                                               |Double or Multiple Star               |23 59 36.5583441672 +47 37 09.042963132|113.9569091145695 -14.3473540766641|  -0.666 -5.928  |10.749   |F5               |    ~     ~    |    1|  461.766   pc  |  -3.4116     +3.4116  |paral   |2020yCat.1350....0G
63  |BD+46 4228                                                                                               |Star                                  |23 59 41.4111385008 +47 08 46.375264968|113.8700608074818 -14.8129902738445|-18.030 -13.206  |9.22     |K0               |    ~     ~    |    1|  528.681   pc  |  -3.8851     +3.8851  |paral   |2020yCat.1350....0G
64  |BD+46 4230                                                                                               |Star                                  |23 59 44.1997313184 +47 36 09.057051288|113.9750531555709 -14.3680765166021| -19.593 27.635  |9.82     |G0               |    ~     ~    |    1|   90.166   pc  |  -0.1033     +0.1033  |paral   |2020yCat.1350....0G
65  |BD+45 4348                                                                                               |Star                                  |23 52 48.7698039720 +46 28 22.697494896|112.5283614758339 -15.2111437394092|  -6.204 -4.729  |9.47     |B5               |    ~     ~    |    1| 1831.837   pc  |-117.7825   +117.7825  |paral   |2020yCat.1350....0G
66  |HD 223820                                                                                                |Star                                  |23 52 53.1745774872 +46 29 32.361629532|112.5457727893005 -15.1952733491666|   6.466 -1.368  |8.30     |K0               |    ~     ~    |    1|  291.435   pc  |  -1.7157     +1.7157  |paral   |2020yCat.1350....0G
67  |BD+45 4351                                                                                               |Star                                  |23 53 44.8275969912 +46 47 47.945611428|112.7675152027391 -14.9333593983602|  -3.912 -4.686  |8.80     |K0               |    ~     ~    |    1|  596.623   pc  | -26.9817    +26.9817  |paral   |2020yCat.1350....0G
68  |BD+45 4352                                                                                               |Star                                  |23 53 46.6846463160 +46 28 18.982151508|112.6956769803888 -15.2506215947752|    4.239 1.090  |9.31     |K5               |    ~     ~    |    1|  940.911   pc  | -13.8109    +13.8109  |paral   |2020yCat.1350....0G
69  |BD+45 4357                                                                                               |Star                                  |23 54 29.5884972960 +46 47 15.578045880|112.8940769509053 -14.9712252904410| 16.598 -10.733  |9.36     |K2               |    ~     ~    |    1|  507.485   pc  |  -4.0176     +4.0176  |paral   |2020yCat.1350....0G
