C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:14:34

dec >=0&rah >=0.0&rah< 0.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4977

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
46  |HD 224720                                                                                                |Star                              |00 00 08.9605902744 +46 56 23.987507424|113.9054743676101 -15.0308756724086|  11.008 -2.082   |7.34     |A2              |    ~     ~          |    1|  297.221   pc  |  -2.3675     +2.3675  |paral   |2020yCat.1350....0G
47  |BD+46 4233                                                                                               |Star                              |00 00 23.2482920112 +47 22 25.904542332|114.0379558080033 -14.6143714979264|  10.553 -6.617   |9.37     |kA3mF2          |    ~     ~          |    1|  505.894   pc  |  -4.0693     +4.0693  |paral   |2020yCat.1350....0G
48  |BD+46 4234                                                                                               |Star                              |00 00 30.2498721480 +46 52 51.856974624|113.9544726713258 -15.1009162263454|-22.298 -20.643   |10.21    |F2              |    ~     ~          |    1|  230.563   pc  |  -0.9037     +0.9037  |paral   |2020yCat.1350....0G
49  |BD+46 4235                                                                                               |Star                              |00 01 07.6886632488 +46 55 28.737809040|114.0717012117888 -15.0797601792792|  47.993 -2.188   |10.83    |F2              |    ~     ~          |    1|  293.453   pc  |  -1.2573     +1.2573  |paral   |2020yCat.1350....0G
50  |BD+46 4237                                                                                               |Star                              |00 01 23.5972462656 +47 23 52.984280472|114.2153322622458 -14.6249346702289|  -2.148 -2.966   |9.53     |A0              |    ~     ~          |    1|  846.955   pc  | -15.3509    +15.3509  |paral   |2020yCat.1350....0G
51  |HD 224969                                                                                                |Star                              |00 02 11.8974428784 +47 34 37.934893272|114.3896387092057 -14.4761886687873|  -7.179 -7.591   |8.44     |A2              |    ~     ~          |    1|  330.655   pc  |  -2.7443     +2.7443  |paral   |2020yCat.1350....0G
52  |HD 224999                                                                                                |Star                              |00 02 30.1871557896 +47 25 22.405587492|114.4106458412322 -14.6375886914870| 11.888 -28.654   |7.61     |F8              |    ~     ~          |    1|  113.140   pc  |  -0.2509     +0.2509  |paral   |2020yCat.1350....0G
53  |BD+45 4386                                                                                               |Star                              |00 00 09.3404905368 +46 32 58.609268736|113.8237654650769 -15.4132156766613|-44.379 -13.959   |9.26     |F5              |    ~     ~          |    1|  175.765   pc  |  -0.4140     +0.4140  |paral   |2020yCat.1350....0G
54  |HD 224872                                                                                                |Chemically Peculiar Star          |00 01 18.9977926560 +46 43 55.014250332|114.0644079871766 -15.2750126519353|   4.537 -1.799   |8.31     |B9.5IIIHgMn     |    ~     ~          |    1|  482.323   pc  |  -7.7468     +7.7468  |paral   |2020yCat.1350....0G
55  |BD+45 4397                                                                                               |Star                              |00 02 11.3180648880 +46 35 09.945704796|114.1864570064855 -15.4476659078777|  -5.032 -2.245   |9.58     |K2              |    ~     ~          |    1| 1217.137   pc  | -22.3695    +22.3695  |paral   |2020yCat.1350....0G
56  |BD+45 4396                                                                                               |Star                              |00 01 57.8846709552 +46 16 08.939634312|114.0822058194739 -15.7507515014624|   15.393 0.012   |9.89     |A2              |    ~     ~          |    1|  326.168   pc  |  -5.2448     +5.2448  |paral   |2020yCat.1350....0G
57  |BD+44 4540                                                                                               |Star                              |00 01 58.1752863504 +45 47 46.110528312|113.9854999574204 -16.2145342293684|  -3.070 -4.158   |9.67     |K2              |    ~     ~          |    1|  439.252   pc  | -16.5737    +16.5737  |paral   |2020yCat.1350....0G
58  |IRAS 23576+4708                                                                                          |Long-Period Variable Candidate    |00 00 14.3316573720 +47 25 27.109760988|114.0230950834985 -14.5599730724539|  -8.462 -2.854   |10.05    |~               |    ~     ~          |    1| 1317.87    pc  | -52.1035    +52.1035  |paral   |2020yCat.1350....0G
59  |V* CG And                                                                                                |alpha2 CVn Variable               |00 00 43.6344938328 +45 15 12.007059804|113.6493581043813 -16.7024536670808|   17.745 0.607   |6.347    |A0IIspSiSrHg    |    ~     ~          |    1|  179.263   pc  |  -1.3015     +1.3015  |paral   |2020yCat.1350....0G
