C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:04

dec >=0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5048

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
45  |TYC 2826-962-1                                                                                                                                                                                                                                       |Star                              |01 31 53.1482840712 +43 32 14.556437520|130.6553706063551 -18.7269620078455|   18.234 5.672   |10.44    |~                 |    ~     ~    |    1|  337.211   pc  |  -8.0621     +8.0621  |paral   |2020yCat.1350....0G
46  |TYC 2826-1292-1                                                                                                                                                                                                                                      |Star                              |01 35 34.4091741552 +44 41 06.843844788|131.1339649832198 -17.4824767169675| -0.802 -12.162   |10.63    |~                 |    ~     ~    |    1|  303.324   pc  |  -1.9873     +1.9873  |paral   |2020yCat.1350....0G
47  |TYC 2826-1603-1                                                                                                                                                                                                                                      |Star                              |01 33 19.1524330992 +43 56 51.003421656|130.8520009040561 -18.2792381964904|   0.156 -3.756   |10.48    |~                 |    ~     ~    |    1| 1610.565   pc  | -38.3900    +38.3900  |paral   |2020yCat.1350....0G
48  |TYC 2826-1651-1                                                                                                                                                                                                                                      |Star                              |01 30 39.9646294104 +43 49 44.193459756|130.3758246022793 -18.4750821748046|   4.165 -1.264   |10.18    |~                 |    ~     ~    |    1|  874.967   pc  | -19.2157    +19.2157  |paral   |2020yCat.1350....0G
49  |TYC 2826-1653-1                                                                                                                                                                                                                                      |Star                              |01 31 59.4470704584 +43 46 40.333384776|130.6332384559626 -18.4866336172189| -11.418 -4.951   |10.68    |~                 |    ~     ~    |    1|  348.420   pc  |  -1.9181     +1.9181  |paral   |2020yCat.1350....0G
50  |TYC 2826-1684-1                                                                                                                                                                                                                                      |High Proper Motion Star           |01 35 40.7509338912 +44 41 43.467606924|131.1514351045127 -17.4691087770270|   98.631 1.734   |10.74    |~                 |    ~     ~    |    1|  206.577   pc  |  -0.7041     +0.7041  |paral   |2020yCat.1350....0G
51  |TYC 2826-1777-1                                                                                                                                                                                                                                      |Star                              |01 34 21.5165608704 +44 10 45.110445240|131.0035509421060 -18.0188368491652|  -3.013 -2.378   |10.78    |~                 |    ~     ~    |    1| 1032.738   pc  | -27.9435    +27.9435  |paral   |2020yCat.1350....0G
52  |TYC 2826-1821-1                                                                                                                                                                                                                                      |Star                              |01 30 33.8621426208 +43 45 39.283263972|130.3681719327979 -18.5451704334672|  -3.015 -1.764   |10.75    |~                 |    ~     ~    |    1|  613.648   pc  |  -6.7781     +6.7781  |paral   |2020yCat.1350....0G
53  |TYC 2826-1972-1                                                                                                                                                                                                                                      |Star                              |01 31 55.9780660128 +44 25 34.840594236|130.5100122331659 -17.8487321567902| 33.031 -17.402   |10.52    |~                 |    ~     ~    |    1|  327.686   pc  | -12.4559    +12.4559  |paral   |2020yCat.1350....0G
54  |TYC 2826-2044-1                                                                                                                                                                                                                                      |High Proper Motion Star           |01 31 21.1953994560 +43 38 54.070105524|130.5357619276290 -18.6332876993009|   53.643 4.943   |10.99    |~                 |    ~     ~    |    1|  163.156   pc  |  -0.4605     +0.4605  |paral   |2020yCat.1350....0G
