C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:33:23

dec< 0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 8703

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
7490|CPD-83 256                                                                                               |Star                              |08 44 27.1412306208 -84 20 46.307805864|297.4661466002054 -24.3469078502005|    0.092 5.526   |10.53    |~              |    ~     ~    |    1|  353.207   pc  |  -2.5575     +2.5575    |paral   |2020yCat.1350....0G
7491|CPD-82 282                                                                                               |High Proper Motion Star           |08 43 11.6742589200 -83 03 39.603961404|296.2371807692823 -23.7199341524885| 41.724 -59.545   |10.60    |~              |    ~     ~    |    1|  134.802   pc  |  -0.2344     +0.2344    |paral   |2020yCat.1350....0G
7492|CPD-83 239                                                                                               |Star                              |08 30 02.0447560656 -83 42 40.361124816|296.6572865203124 -24.3670840632142|    2.808 4.772   |10.23    |~              |    ~     ~    |    1|  952.562   pc  | -10.9792    +10.9792    |paral   |2020yCat.1350....0G
7493|TYC 9506-141-1                                                                                           |Star                              |08 42 09.6171677856 -82 52 04.667697480|296.0383138181699 -23.6485207416247|  21.491 -0.764   |10.68    |~              |    ~     ~    |    1|  169.331   pc  |  -0.3269     +0.3269    |paral   |2020yCat.1350....0G
7494|TYC 9506-478-1                                                                                           |Star                              |08 35 11.3542094448 -84 22 08.058177840|297.3647048493617 -24.5562471425412|   -4.430 5.516   |10.756   |~              |    ~     ~    |    1|  916.085   pc  | -35.4900    +35.4900    |ST-L    |2020AJ....160...83S
7495|TYC 9506-1498-1                                                                                          |Star                              |08 41 45.0821791224 -82 53 29.610231036|296.0534504591419 -23.6714353367987|   -7.153 7.633   |10.70    |~              |    ~     ~    |    1| 1322.120   pc  | -83.1400    +83.1400    |ST-L    |2020AJ....160...83S
7496|TYC 9510-1565-1                                                                                          |Star                              |08 37 47.4014180880 -84 52 14.480359536|297.8815970647971 -24.7427754889145| -17.172 16.478   |10.98    |~              |    ~     ~    |    1|  599.808   pc  |  -3.8855     +3.8855    |paral   |2020yCat.1350....0G
7497|CPD-85 172                                                                                               |High Proper Motion Star           |08 32 46.6639407984 -85 31 45.893590608|298.4683337535404 -25.1450607096584| -69.195 59.819   |10.41    |G0             |    ~     ~    |    1|  125.598   pc  |  -0.1609     +0.1609    |paral   |2020yCat.1350....0G
7498|CPD-85 176                                                                                               |Spectroscopic Binary              |08 37 49.8378225600 -85 59 04.513005996|298.9614399071588 -25.2748736175651| -12.094 21.807   |10.03    |F8             |    ~     ~    |    1|  191.703   pc  |  -1.9919     +1.9919    |paral   |2020yCat.1350....0G
7499|TYC 9510-606-1                                                                                           |Star                              |08 37 21.2487270984 -85 37 44.178352392|298.6110242964787 -25.1135612797438| -19.664 27.299   |10.89    |~              |    ~     ~    |    1|  746.603   pc  |  -5.5184     +5.5184    |paral   |2020yCat.1350....0G
7500|TYC 9510-1804-1                                                                                          |Star                              |08 43 11.6166715368 -85 47 55.699593000|298.8335115588294 -25.1007055536445|   -7.352 3.027   |10.85    |~              |    ~     ~    |    1|  790.952   pc  |  -9.6969     +9.6969    |paral   |2020yCat.1350....0G
7501|HD 77888                                                                                                 |Star                              |08 33 03.0136841016 -87 13 02.641492020|300.1375369910194 -25.9069953893333|   3.448 -3.614   |9.38     |A1V            |    ~     ~    |    1|  321.347   pc  |  -1.2495     +1.2495    |paral   |2020yCat.1350....0G
7502|CD-87 48                                                                                                 |Star                              |08 36 11.4293601696 -87 30 10.379768724|300.4387330939230 -26.0042739868888| -2.094 -12.809   |9.87     |F5             |    ~     ~    |    1|  211.811   pc  |  -2.2110     +2.2110    |ST-L    |2020AJ....160...83S
7503|HD 80952                                                                                                 |Star                              |08 35 32.4562131072 -88 14 44.355042312|301.1727257445095 -26.3475505555620| -13.210 21.898   |8.98     |K2/4(III)      |    ~     ~    |    1|  565.963   pc  |  -4.0360     +4.0360    |paral   |2020yCat.1350....0G
7504|HD 90105                                                                                                 |Star                              |08 42 05.4772763280 -89 27 37.934937972|302.3962669863392 -26.8767776603916| 16.611 -14.443   |7.19     |M1III          |    ~     ~    |    1|  414.336   pc  |  -4.1889     +4.1889    |paral   |2020yCat.1350....0G
7505|CPD-87 143                                                                                               |Spectroscopic Binary              |08 31 08.5186442400 -87 57 40.163176944|300.8703141736548 -26.2539677307515| 29.858 -18.245   |10.62    |~              |    ~     ~    |    1|  164.810   pc  |  -2.2001     +2.2001    |paral   |2020yCat.1350....0G
7506|TYC 9514-369-1                                                                                           |Star                              |08 31 17.1709614624 -88 02 56.782529016|300.9591916463148 -26.2911866439869|  -10.897 9.346   |10.96    |~              |    ~     ~    |    1| 1002.205   pc  |  -9.1402     +9.1402    |paral   |2020yCat.1350....0G
7507|TYC 9514-690-1                                                                                           |Star                              |08 43 56.9565608088 -86 38 12.801020856|299.6458552177803 -25.5046682661836|  -10.211 5.853   |10.76    |~              |    ~     ~    |    1| 1181.754   pc  | -15.5016    +15.5016    |paral   |2020yCat.1350....0G
7508|TYC 9514-846-1                                                                                           |Star                              |08 34 45.8539882584 -86 46 14.653032996|299.7066645721341 -25.6844732253009|  -9.546 12.454   |10.879   |~              |    ~     ~    |    1|  928.848   pc  | -42.5100    +42.5100    |ST-L    |2020AJ....160...83S
7509|CPD-52 1588                                                                                              |Double or Multiple Star           |08 40 58.5857832696 -52 31 42.358089324|269.9983535579348 -06.4797702679977|   -6.308 4.660   |10.619   |~              |    ~     ~    |    1| 1082.954   pc  | -49.2572    +49.2572    |paral   |2020yCat.1350....0G
7510|HD 73140                                                                                                 |Star                              |08 34 46.1074913424 -48 49 14.411847216|266.4247594544713 -05.0404117974805|   -5.906 6.475   |9.111    |B9.5V          |    ~     ~    |    1|  543.892   pc  | -14.6726    +14.6726    |paral   |2020yCat.1350....0G
7511|Cl Waterloo 6 1                                                                                          |Star                              |08 40 19.6 -46 08 42                   |264.8512 -02.6791                  |            ~ ~   |9.67     |B2V            |    ~     ~    |    0|                |                         |        |                   
7512|HD 74333A                                                                                                |Star                              |08 43 07.657749 -12 25 19.00150        |237.800698286 +17.993979733        |    -22.6 -24.7   |7.75     |~              |    ~     ~    |    0|                |                         |        |                   
7513|HD 72136B                                                                                                |High Proper Motion Star           |08 30 19.4631264672 -26 02 10.598358552|247.4823996765799 +07.7169737908889| -11.277 97.797   |8.80     |~              |    ~     ~    |    1|   88.655   pc  |  -0.4975     +0.4975    |paral   |2020yCat.1350....0G
7514|HD 73941A                                                                                                |Star                              |08 40 41.396 -12 10 08.62              |237.230261 +17.642446              |     -34.9 12.2   |7.84     |~              |    ~     ~    |    0|                |                         |        |                   
7515|HD 73461A                                                                                                |Star                              |08 36 41.0084839662 -47 29 59.492843757|265.5536304941654 -03.9952468367628|    0.919 6.845   |7.73     |~              |    ~     ~    |    1|  221.214   pc  | -16.0705    +16.0705    |paral   |2018yCat.1345....0G
7516|TYC 7147-1931-1                                                                                          |Star                              |08 32 08.701 -36 06 27.20              |255.905694 +02.130330              |       -5.6 5.0   |9.51     |~              |    ~     ~    |    0|                |                         |        |                   
7517|BD-09 2563A                                                                                              |High Proper Motion Star           |08 32 55.5197429806 -09 32 55.629808902|233.8356081648519 +17.4832205237447|-131.446 -151.420 |10.58    |~              |    ~     ~    |    1|   54.4894  pc  |  -0.0469     +0.0469    |paral   |2020yCat.1350....0G
7518|BD-22 2338A                                                                                              |Star                              |08 38 15.2454666319 -22 31 22.058746816|245.6526802508911 +11.2315653973062|   6.708 -9.774   |10.186   |G              |    ~     ~    |    1|  267.695   pc  |  -0.9817     +0.9817    |paral   |2020yCat.1350....0G
7519|HD 74005A                                                                                                |Star                              |08 40 17.6026337219 -32 09 55.088452023|253.7541536424149 +05.8419916383547|   -9.058 3.526   |8.45     |~              |    ~     ~    |    1|  594.884   pc  | -16.7389    +16.7389    |paral   |2018yCat.1345....0G
7520|CD-52 2481                                                                                               |Star                              |08 39 34.9612081560 -53 18 57.820499208|270.5028857760085 -07.1228131506845|   -7.879 9.147   |10.16    |~              |    ~     ~    |    1|  566.765   pc  |  -7.0990     +7.0990    |paral   |2020yCat.1350....0G
7521|ASAS J083611-3903.7                                                                                      |Classical Cepheid Variable        |08 36 11.3720683032 -39 03 42.422569956|258.7553414272830 +01.0100744989039|   -4.968 6.692   |10.445   |~              |    ~     ~    |    1| 2398.657   pc  |-105.2900   +105.2900    |paral   |2020yCat.1350....0G
7522|TYC 5454-162-1                                                                                           |Star                              |08 42 24.2007086856 -13 26 51.161585604|238.5850158555302 +17.2698977861043|  -0.837 -2.760   |10.900   |~              |    ~     ~    |    1| 1133.820   pc  | -85.6500    +85.6500    |ST-L    |2020AJ....160...83S
7523|TYC 6011-618-1                                                                                           |Star                              |08 39 16.6745035680 -16 07 45.001260372|240.4373788092734 +15.1256136197930|   -3.576 2.557   |10.91    |~              |    ~     ~    |    1| 1931.060   pc  |-219.1000   +219.1000    |ST-L    |2020AJ....160...83S
7524|TYC 8155-2959-1                                                                                          |Star                              |08 43 32.9667327048 -47 21 36.938853972|266.1510375488049 -02.9891506493460|   -8.459 6.629   |10.56    |~              |    ~     ~    |    1|  920.556   pc  | -13.2198    +13.2198    |paral   |2020yCat.1350....0G
7525|TYC 4862-21-1                                                                                            |Star                              |08 33 27.2711654232 -01 45 50.631336612|226.8550501650690 +21.6533037801624|  -0.426 -0.693   |10.31    |~              |    ~     ~    |    1| 2125.850   pc  | -95.8079    +95.8079    |paral   |2020yCat.1350....0G
7526|TYC 4862-63-1                                                                                            |Star                              |08 30 46.5672549168 -01 43 46.409772756|226.4623293342938 +21.0917053661786|  -2.395 -4.012   |10.81    |~              |    ~     ~    |    1| 1522.533   pc  | -35.0034    +35.0034    |paral   |2020yCat.1350....0G
7527|TYC 4862-222-1                                                                                           |Star                              |08 32 58.0088165280 -01 14 46.275653472|226.3069299634227 +21.8075753003068|-15.341 -18.681   |10.79    |~              |    ~     ~    |    1|  110.524   pc  |  -0.2785     +0.2785    |paral   |2020yCat.1350....0G
7528|HD 72054A                                                                                                |Star                              |08 30 49.2286533048 -00 47 02.649797016|225.5881612316676 +21.5723635945223|   -9.220 2.667   |9.70     |~              |    ~     ~    |    1|  469.572   pc  | -16.1404    +16.1404    |paral   |2020yCat.1350....0G
7529|TYC 4862-1132-1                                                                                          |Star                              |08 32 12.8922532080 -00 13 46.338602556|225.2548287541076 +22.1496944863150|   3.065 -2.467   |10.94    |~              |    ~     ~    |    1| 2163.566   pc  | -69.2790    +69.2790    |paral   |2020yCat.1350....0G
7530|TYC 4862-1635-1                                                                                          |Star                              |08 35 54.8409823272 -00 04 20.879824260|225.6027984386633 +23.0309904435854|   9.735 -4.500   |10.30    |~              |    ~     ~    |    1| 1183.992   pc  | -22.5696    +22.5696    |paral   |2020yCat.1350....0G
7531|TYC 4863-284-1                                                                                           |Star                              |08 39 23.426 -00 16 31.97              |226.266087 +23.683512              |     -14.5 -2.8   |10.87    |~              |    ~     ~    |    0|                |                         |        |                   
7532|BD+00 2359                                                                                               |Star                              |08 40 37.2366 -00 11 36.500            |226.3566148 +23.9908577            |  -4.868 -6.490   |10.22    |A0             |    ~     ~    |    0|                |                         |        |                   
7533|TYC 4863-1412-1                                                                                          |Star                              |08 41 23.8031264184 -01 51 04.136882184|228.0250154532833 +23.3199209552421|   -0.820 0.597   |10.34    |~              |    ~     ~    |    1| 1544.163   pc  | -39.5817    +39.5817    |paral   |2020yCat.1350....0G
7534|TYC 4863-1814-1                                                                                          |Star                              |08 38 44.9383521168 -01 35 18.164899752|227.4130978475897 +22.8840092082893|  -1.706 -2.458   |10.92    |~              |    ~     ~    |    1| 2417.211   pc  | -97.5765    +97.5765    |paral   |2020yCat.1350....0G
7535|BD-00 2043                                                                                               |Star                              |08 40 55.9343 -00 49 41.182            |226.9993862 +23.7392546            | -21.280 -2.414   |9.85     |F5             |    ~     ~    |    0|                |                         |        |                   
7536|TYC 4866-436-1                                                                                           |Star                              |08 31 57.0767404608 -02 00 17.572729284|226.8756650749226 +21.2075404880225| 16.972 -14.119   |10.89    |~              |    ~     ~    |    1|  214.772   pc  |  -0.7473     +0.7473    |paral   |2020yCat.1350....0G
7537|TYC 4866-567-1                                                                                           |Star                              |08 32 30.1351834032 -03 41 24.754398396|228.5042669612352 +20.4708945993403|  -0.853 -3.698   |10.90    |~              |    ~     ~    |    1| 1033.485   pc  | -15.9146    +15.9146    |paral   |2020yCat.1350....0G
7538|TYC 4866-1149-1                                                                                          |Star                              |08 34 37.9092131688 -02 19 53.313010464|227.5417146227674 +21.6205997977284| -10.808 -4.431   |10.51    |~              |    ~     ~    |    1|  298.169   pc  |  -1.4669     +1.4669    |paral   |2020yCat.1350....0G
7539|TYC 4866-1282-1                                                                                          |Star                              |08 30 38.3646686808 -03 36 50.972507532|228.1814777376216 +20.1101629443642|   -4.127 5.233   |10.84    |~              |    ~     ~    |    1| 2051.282   pc  | -90.0460    +90.0460    |paral   |2020yCat.1350....0G
7540|TYC 4866-1297-1                                                                                          |Star                              |08 33 35.3700438408 -02 45 44.104951656|227.7983942137020 +21.1776304031417|   5.616 -2.889   |10.70    |~              |    ~     ~    |    1| 1262.626   pc  | -30.4497    +30.4497    |paral   |2020yCat.1350....0G
7541|TYC 4866-1651-1                                                                                          |Star                              |08 35 20.0550584088 -02 36 38.755353600|227.8963719245463 +21.6298122270743|  -10.190 1.530   |10.60    |~              |    ~     ~    |    1| 1695.778   pc  | -54.6376    +54.6376    |paral   |2020yCat.1350....0G
7542|TYC 4867-164-1                                                                                           |Star                              |08 41 46.0241041656 -02 46 33.354436800|228.9395507142630 +22.9244606290118|-21.697 -23.051   |10.79    |~              |    ~     ~    |    1|  272.911   pc  |  -9.9059     +9.9059    |paral   |2020yCat.1350....0G
7543|TYC 4867-208-1                                                                                           |Star                              |08 40 27.5494136809 -02 14 40.168592213|228.2623070444745 +22.9174782380118|       -3.9 0.8   |10.96    |~              |    ~     ~    |    0|                |                         |        |                   
7544|TYC 4867-588-1                                                                                           |Star                              |08 40 03.5486692272 -02 43 20.576320392|228.6515133229033 +22.5865132158263|  -7.443 -3.596   |10.81    |~              |    ~     ~    |    1| 1489.647   pc  | -35.5048    +35.5048    |paral   |2020yCat.1350....0G
7545|TYC 4867-639-1                                                                                           |Star                              |08 41 42.1735181904 -02 37 20.486687484|228.7876815195097 +22.9899322740419|   0.745 -0.205   |10.45    |~              |    ~     ~    |    1| 2719.608   pc  |-128.6951   +128.6951    |paral   |2020yCat.1350....0G
7546|TYC 4870-50-1                                                                                            |Star                              |08 33 42.2745425832 -04 53 06.429341472|229.7607773858506 +20.1121114291625|  -3.335 -5.600   |10.34    |~              |    ~     ~    |    1|  638.203   pc  | -10.5084    +10.5084    |paral   |2020yCat.1350....0G
7547|TYC 4870-163-1                                                                                           |Star                              |08 32 39.4819638840 -03 46 52.000919436|228.6088461525504 +20.4577233783066|  -23.225 5.433   |10.02    |~              |    ~     ~    |    1|  697.788   pc  |  -7.4010     +7.4010    |paral   |2020yCat.1350....0G
7548|TYC 4870-242-1                                                                                           |Star                              |08 30 12.2200010400 -04 11 15.557567064|228.6468207917720 +19.7237745267469|  -0.781 -1.675   |10.79    |~              |    ~     ~    |    1| 1234.416   pc  | -26.2090    +26.2090    |paral   |2020yCat.1350....0G
7549|TYC 4870-302-1                                                                                           |Star                              |08 34 28.6082778744 -04 48 33.708678048|229.7981341095174 +20.3158636970071|  -0.829 -2.502   |10.95    |~              |    ~     ~    |    1| 2619.859   pc  |-118.0549   +118.0549    |paral   |2020yCat.1350....0G
7550|TYC 4870-414-1                                                                                           |Star                              |08 33 47.4379020216 -04 43 16.549430916|229.6233391963680 +20.2153753318231|   -4.500 7.354   |10.88    |~              |    ~     ~    |    1|  341.693   pc  |  -2.2183     +2.2183    |paral   |2020yCat.1350....0G
7551|TYC 4870-460-1                                                                                           |Star                              |08 34 54.0011560080 -04 25 41.777378580|229.5086605358142 +20.6036077705265|  -3.283 -1.416   |10.91    |~              |    ~     ~    |    1| 1100.473   pc  | -19.7400    +19.7400    |paral   |2020yCat.1350....0G
7552|TYC 4870-471-1                                                                                           |Star                              |08 34 24.3676090488 -04 23 15.338310648|229.4034561435877 +20.5193018824555|   -1.239 6.242   |10.92    |~              |    ~     ~    |    1| 1055.409   pc  | -16.2628    +16.2628    |paral   |2020yCat.1350....0G
7553|TYC 4870-576-1                                                                                           |Star                              |08 34 18.4292294736 -05 06 46.484528472|230.0510936917018 +20.1220030828125|  -2.604 -0.365   |10.85    |~              |    ~     ~    |    1|  841.680   pc  | -19.8359    +19.8359    |paral   |2020yCat.1350....0G
7554|TYC 4870-636-1                                                                                           |Star                              |08 31 08.7950100840 -03 50 30.036219252|228.4585952305259 +20.1028231828418|  -2.494 -1.601   |10.49    |~              |    ~     ~    |    1| 1015.435   pc  | -20.2097    +20.2097    |paral   |2020yCat.1350....0G
7555|TYC 4870-667-1                                                                                           |Star                              |08 34 12.5202686352 -04 25 35.190870492|229.4117897484077 +20.4570875008067|  4.128 -12.012   |10.93    |~              |    ~     ~    |    1| 2486.944   pc  |-106.3801   +106.3801    |paral   |2020yCat.1350....0G
7556|TYC 4870-691-1                                                                                           |Star                              |08 34 58.1826088896 -04 31 22.568443176|229.6047701131202 +20.5694316506586| -12.647 -2.940   |10.77    |~              |    ~     ~    |    1|  672.269   pc  |  -9.8976     +9.8976    |paral   |2020yCat.1350....0G
7557|ASAS J083039-0434.0                                                                                      |Long-Period Variable              |08 30 38.7833796336 -04 34 01.151435460|229.0527397297752 +19.6238902528593|   1.868 -1.727   |10.80    |~              |    ~     ~    |    1| 4413.063   pc  |-408.9776   +408.9776    |paral   |2020yCat.1350....0G
7558|TYC 4870-863-1                                                                                           |Star                              |08 31 06.6497037168 -04 55 13.596031164|229.4375530534340 +19.5409787762783| -21.364 -0.223   |10.95    |~              |    ~     ~    |    1| 1649.893   pc  | -35.3879    +35.3879    |paral   |2020yCat.1350....0G
7559|TYC 4870-932-1                                                                                           |Star                              |08 31 27.0854773392 -05 13 02.120534616|229.7535947437504 +19.4601133770593|   -6.648 3.284   |10.34    |~              |    ~     ~    |    1| 1747.030   pc  | -45.7817    +45.7817    |paral   |2020yCat.1350....0G
7560|TYC 4870-1010-1                                                                                          |Star                              |08 35 01.8588140664 -05 14 09.108576456|230.2629215881763 +20.2117699614233|   -0.159 3.784   |10.98    |~              |    ~     ~    |    1| 1254.390   pc  | -26.4347    +26.4347    |paral   |2020yCat.1350....0G
7561|TYC 4871-64-1                                                                                            |Star                              |08 41 40.9094988072 -05 18 45.371445660|231.2640364454397 +21.5801505705472|   -0.603 4.023   |10.07    |~              |    ~     ~    |    1| 2498.126   pc  |-105.4667   +105.4667    |paral   |2020yCat.1350....0G
7562|TYC 4871-510-1                                                                                           |Star                              |08 44 51.9522945720 -05 24 08.327457756|231.7997209524145 +22.2039279814854| -4.635 -23.602   |10.97    |~              |    ~     ~    |    1|  119.043   pc  |  -0.2579     +0.2579    |paral   |2020yCat.1350....0G
7563|TYC 4871-689-1                                                                                           |Star                              |08 38 43.7633112000 -03 54 38.328647400|229.5647640682610 +21.6884351464195|   -2.823 1.116   |10.20    |~              |    ~     ~    |    1| 2206.045   pc  |-137.2390   +137.2390    |paral   |2020yCat.1350....0G
7564|TYC 4871-886-1                                                                                           |Star                              |08 39 12.3391243392 -05 00 13.100638716|230.6329845992183 +21.2190872693936|  -1.573 -1.299   |10.81    |~              |    ~     ~    |    1| 2248.707   pc  | -93.0430    +93.0430    |paral   |2020yCat.1350....0G
7565|TYC 4871-962-1                                                                                           |Star                              |08 43 17.4736544976 -04 02 12.257003724|230.3217709743457 +22.5932312422550|   -3.045 0.620   |10.76    |~              |    ~     ~    |    1| 1561.768   pc  | -32.9281    +32.9281    |paral   |2020yCat.1350....0G
7566|TYC 4871-1053-1                                                                                          |Star                              |08 38 53.5076911704 -03 54 31.302380952|229.5856021465054 +21.7240694725898|  -23.924 8.325   |10.93    |~              |    ~     ~    |    1|  338.009   pc  |  -1.8052     +1.8052    |paral   |2020yCat.1350....0G
7567|AKARI-IRC-V1 J0841007-050951                                                                             |Long-Period Variable Candidate    |08 41 00.7740831504 -05 09 51.638236632|231.0340890784117 +21.5171335884601|  -6.435 -0.236   |10.90    |~              |    ~     ~    |    1| 1714.38    pc  | -72.89      +72.89      |paral   |2020yCat.1350....0G
7568|TYC 4871-1243-1                                                                                          |Star                              |08 39 22.0196303592 -04 29 49.905260196|230.1923542894145 +21.5186256472723|  -4.926 -1.848   |10.55    |~              |    ~     ~    |    0|                |                         |        |                   
7569|TYC 4874-835-1                                                                                           |Star                              |08 30 00.5594443056 -06 57 11.153499192|231.1219986875277 +18.2498285893340|  1.647 -14.922   |10.71    |~              |    ~     ~    |    1| 1282.709   pc  | -25.1737    +25.1737    |paral   |2020yCat.1350....0G
7570|TYC 4874-1253-1                                                                                          |High Proper Motion Star           |08 33 37.6627792296 -06 02 09.439292796|230.7940351635868 +19.4958861606799| -18.023 67.643   |10.59    |~              |    ~     ~    |    1|  105.993   pc  |  -0.1573     +0.1573    |paral   |2020yCat.1350....0G
7571|TYC 4874-1571-1                                                                                          |Star                              |08 37 15.4187994312 -06 29 09.044782404|231.7052557681034 +20.0254395590333|  -5.454 -0.034   |10.589   |~              |    ~     ~    |    1| 2059.380   pc  |-220.4000   +220.4000    |ST-L    |2020AJ....160...83S
7572|GSC 04875-00285                                                                                          |Star                              |08 39 17.4598716024 -07 10 54.729307812|232.6186312351510 +20.0820161017337|  -6.131 -2.168   |10.97    |~              |    ~     ~    |    1| 1263.584   pc  | -23.4707    +23.4707    |paral   |2020yCat.1350....0G
7573|TYC 4875-288-1                                                                                           |Star                              |08 38 49.7866578456 -07 24 29.245741128|232.7567332838253 +19.8642429867700|   -4.740 2.349   |10.92    |~              |    ~     ~    |    1| 1785.077   pc  | -53.5332    +53.5332    |paral   |2020yCat.1350....0G
7574|TYC 4875-320-1                                                                                           |Star                              |08 38 10.3314488328 -07 17 10.614295572|232.5545593767912 +19.7917289572789|  -4.890 -1.448   |10.92    |~              |    ~     ~    |    1| 1093.853   pc  | -16.8708    +16.8708    |paral   |2020yCat.1350....0G
7575|TYC 4875-354-1                                                                                           |Star                              |08 37 52.2896839032 -07 23 59.841851820|232.6142662945646 +19.6679467880435|   -1.527 2.648   |10.78    |~              |    ~     ~    |    1| 1620.483   pc  | -45.9544    +45.9544    |paral   |2020yCat.1350....0G
7576|TYC 4875-916-1                                                                                           |Spectroscopic Binary              |08 44 49.5881442264 -06 40 10.090045020|232.9463034584571 +21.5158779897293|   -2.263 8.306   |10.959   |~              |    ~     ~    |    1|  780.806   pc  | -33.8300    +33.8300    |ST-L    |2020AJ....160...83S
7577|TYC 4875-951-1                                                                                           |Star                              |08 40 44.2350306600 -06 05 51.409073220|231.8442540082975 +20.9644258830447|  -4.640 -0.457   |10.94    |~              |    ~     ~    |    1| 1296.344   pc  | -25.5437    +25.5437    |paral   |2020yCat.1350....0G
7578|TYC 4875-1300-1                                                                                          |Star                              |08 39 24.0957852840 -06 57 19.918360512|232.4305677396875 +20.2262792003085|  -3.795 -3.679   |10.68    |~              |    ~     ~    |    1| 2056.767   pc  | -68.5307    +68.5307    |paral   |2020yCat.1350....0G
7579|TYC 4875-1424-1                                                                                          |Spectroscopic Binary              |08 40 49.9700281440 -06 33 36.955604700|232.2766405890294 +20.7378436460117|  -3.582 -0.721   |10.594   |~              |    ~     ~    |    1| 1274.740   pc  |-109.6000   +109.6000    |ST-L    |2020AJ....160...83S
7580|TYC 4875-1434-1                                                                                          |Star                              |08 42 22.2510466080 -06 59 40.106498568|232.8876442749674 +20.8272703617298|  -3.809 -1.659   |10.51    |~              |    ~     ~    |    1| 1558.750   pc  |-145.0000   +145.0000    |ST-L    |2020AJ....160...83S
7581|TYC 4875-1461-1                                                                                          |Star                              |08 37 41.9400708096 -06 41 30.975856404|231.9531670434651 +20.0091327109835|  -3.238 -1.441   |10.768   |~              |    ~     ~    |    1| 1099.240   pc  | -48.3000    +48.3000    |ST-L    |2020AJ....160...83S
7582|TYC 5428-147-1                                                                                           |Star                              |08 31 19.8064589712 -08 20 26.190541824|232.5431276550914 +17.7959324233565|   -4.036 1.883   |10.87    |~              |    ~     ~    |    1| 3051.572   pc  |-164.8240   +164.8240    |paral   |2020yCat.1350....0G
7583|TYC 5428-700-1                                                                                           |Star                              |08 33 04.9515027192 -08 14 45.629558340|232.7013617678461 +18.2133596555548|  -8.819 -8.797   |10.78    |~              |    ~     ~    |    1|  933.105   pc  | -66.2200    +66.2200    |ST-L    |2020AJ....160...83S
7584|TYC 5428-905-1                                                                                           |Star                              |08 31 43.3222958664 -08 52 02.651576304|233.0653566322768 +17.5974982412318|   -6.254 2.367   |10.92    |~              |    ~     ~    |    1| 2495.770   pc  |-338.9000   +338.9000    |ST-L    |2020AJ....160...83S
7585|TYC 5428-940-1                                                                                           |Star                              |08 30 46.7502646872 -09 02 58.054276932|233.0965773260889 +17.3034361677915|   -5.435 1.616   |10.648   |~              |    ~     ~    |    1|  979.732   pc  | -39.6500    +39.6500    |ST-L    |2020AJ....160...83S
7586|TYC 5428-2462-1                                                                                          |Star                              |08 30 03.2732817048 -08 18 28.242267048|232.3383717647584 +17.5457926530625|   -3.223 3.207   |10.87    |~              |    ~     ~    |    1| 1682.086   pc  | -47.5341    +47.5341    |paral   |2020yCat.1350....0G
7587|TYC 5429-382-1                                                                                           |Star                              |08 34 07.3800325368 -08 57 33.288001200|233.4802529252804 +18.0492326141932|   -4.132 4.289   |10.934   |~              |    ~     ~    |    1| 1971.500   pc  |-222.8000   +222.8000    |ST-L    |2020AJ....160...83S
7588|TYC 5429-506-1                                                                                           |Star                              |08 40 48.1893183600 -09 07 51.767445432|234.5753551847436 +19.3429266768546|  -1.947 -1.701   |10.97    |~              |    ~     ~    |    1| 1013.993   pc  | -16.4509    +16.4509    |paral   |2020yCat.1350....0G
7589|TYC 5429-775-1                                                                                           |Star                              |08 40 34.6678518168 -07 56 50.391399372|233.4879373685583 +19.9391000507568|  -12.438 3.350   |10.92    |~              |    ~     ~    |    1|  719.787   pc  | -10.2064    +10.2064    |paral   |2020yCat.1350....0G
7590|TYC 5429-947-1                                                                                           |Star                              |08 33 53.8305589752 -07 50 59.006214492|232.4609705593480 +18.5950389707322|   -2.148 0.652   |10.895   |~              |    ~     ~    |    1| 2028.820   pc  |-217.9000   +217.9000    |ST-L    |2020AJ....160...83S
7591|TYC 5429-1244-1                                                                                          |Spectroscopic Binary              |08 38 13.1534002992 -09 15 31.085147448|234.3212307144382 +18.7385986688453|  -13.799 3.304   |9.75     |~              |    ~     ~    |    1|  227.056   pc  |  -1.2425     +1.2425    |paral   |2020yCat.1350....0G
7592|TYC 5429-1541-1                                                                                          |Star                              |08 33 55.6914910368 -07 49 19.720364916|232.4406418101998 +18.6162153241588| -13.722 -5.826   |10.51    |~              |    ~     ~    |    1|  338.707   pc  |  -3.1319     +3.1319    |paral   |2020yCat.1350....0G
7593|TYC 5429-1564-1                                                                                          |Star                              |08 37 30.7670419320 -08 00 23.988107952|233.1070733488178 +19.2678102882514| -13.993 -1.688   |10.531   |~              |    ~     ~    |    1|  847.701   pc  | -36.7700    +36.7700    |ST-L    |2020AJ....160...83S
