C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
42  |TYC 4754-16-1                                                                                                                               |Star                               |05 02 30.0201237672 -01 57 56.611623276|201.6035127978498 -25.0044163468387| -1.998 -11.301    |10.551   |~              |    ~     ~    |    1|  984.177   pc  | -55.3000    +55.3000    |ST-L    |2020AJ....160...83S
43  |TYC 4754-29-1                                                                                                                               |Star                               |05 00 54.1730161872 -01 54 08.968050756|201.3272432585226 -25.3218782509204| -3.983 -14.235    |10.297   |~              |    ~     ~    |    1|  201.138   pc  |  -4.1760     +4.1760    |ST-L    |2020AJ....160...83S
44  |TYC 4754-108-1                                                                                                                              |Star                               |05 01 15.5709839520 -02 21 37.327980636|201.8178795425706 -25.4672695823360|   2.381 -8.497    |10.249   |~              |    ~     ~    |    1|  591.003   pc  | -20.3700    +20.3700    |ST-L    |2020AJ....160...83S
45  |TYC 4754-668-1                                                                                                                              |High Proper Motion Star            |05 01 12.5917231464 -02 24 41.945541372|201.8608651100689 -25.5030197287232|  23.112 65.212    |10.79    |~              |    ~     ~    |    1|  143.823   pc  |  -7.7796     +7.7796    |paral   |2020yCat.1350....0G
46  |BD-05 1132                                                                                                                                  |Star                               |05 02 22.5755645880 -05 26 08.128736016|204.9774547743343 -26.6843931409602|  15.049 -7.739    |9.36     |K0             |    ~     ~    |    1|  542.888   pc  |  -4.9809     +4.9809    |paral   |2020yCat.1350....0G
47  |HD 32006                                                                                                                                    |Star                               |05 00 02.2675308624 -02 46 19.232765220|202.0531675723062 -25.9337455636749|    8.554 4.982    |8.59     |K1III          |    ~     ~    |    1|  456.059   pc  |  -8.9228     +8.9228    |paral   |2020yCat.1350....0G
48  |BD-03 966                                                                                                                                   |Star                               |05 00 14.0769107352 -03 43 04.597966380|203.0033406131675 -26.3455942478432| -9.929 -28.129    |9.36     |G0             |    ~     ~    |    1|  118.571   pc  |  -0.2629     +0.2629    |paral   |2020yCat.1350....0G
49  |HD 32132                                                                                                                                    |Star                               |05 00 52.2861189912 -03 16 03.859595616|202.6478249497157 -25.9904503491855|  -2.997 -3.440    |9.28     |A6/8V          |    ~     ~    |    1|  202.405   pc  |  -0.7251     +0.7251    |paral   |2020yCat.1350....0G
50  |HD 32305                                                                                                                                    |Star                               |05 02 02.8484351544 -02 55 17.154316236|202.4674761609690 -25.5664878444588|  -3.139 -3.286    |9.00     |B9.5/A0IV/V    |    ~     ~    |    1|  536.817   pc  | -22.6200    +22.6200    |ST-L    |2020AJ....160...83S
51  |HD 32465                                                                                                                                    |Star                               |05 03 21.5981156520 -02 58 56.768782836|202.7012666646339 -25.3085590740357|   0.532 -2.723    |8.29     |B9III/IV       |    ~     ~    |    1|  644.995   pc  | -16.5575    +16.5575    |paral   |2020yCat.1350....0G
52  |HD 293764                                                                                                                                   |Star                               |05 03 34.5788531616 -02 58 45.992797788|202.7270591331340 -25.2597482902097|   4.333 -6.027    |9.56     |~              |    ~     ~    |    1|  384.231   pc  |  -4.7981     +4.7981    |paral   |2020yCat.1350....0G
53  |BD-04 1009                                                                                                                                  |Star                               |05 01 34.0171304400 -03 50 43.306590408|203.3048816750687 -26.1142221277169|  17.680 -7.498    |9.41     |G0             |    ~     ~    |    1|  164.457   pc  |  -1.4890     +1.4890    |ST-L    |2020AJ....160...83S
54  |HD 32146                                                                                                                                    |Star                               |05 00 50.3706610368 -04 26 50.611198776|203.8003135315156 -26.5594174547380|   4.881 13.143    |9.13     |A5V            |    ~     ~    |    1|  386.309   pc  |  -2.9101     +2.9101    |paral   |2020yCat.1350....0G
55  |HD 32393                                                                                                                                    |Star                               |05 02 45.3948278328 -04 12 36.436101804|203.8190397599976 -26.0261221771420|   41.050 2.580    |5.853    |K2IIIbCN1      |    ~     ~    |    1|   93.852   pc  |  -0.3514     +0.3514    |paral   |2020yCat.1350....0G
56  |HD 32527                                                                                                                                    |Variable Star                      |05 03 43.1879328240 -04 12 19.944888192|203.9407410128476 -25.8123131517262|  -5.317 -9.002    |8.37     |A9V            |    ~     ~    |    1|  195.221   pc  |  -1.8636     +1.8636    |paral   |2020yCat.1350....0G
57  |HD 32042                                                                                                                                    |Star                               |05 00 16.0812641112 -05 12 23.099782896|204.4759384852550 -27.0418296128226|  -3.656 -7.362    |9.35     |A3V            |    ~     ~    |    1|  359.712   pc  |  -7.8930     +7.8930    |paral   |2020yCat.1350....0G
58  |BD-05 1119                                                                                                                                  |Star                               |05 00 21.1462903920 -05 03 24.760750104|204.3386713849128 -26.9532618367666|   1.516 -1.149    |9.08     |M1             |    ~     ~    |    1|  632.871   pc  | -10.4537    +10.4537    |paral   |2020yCat.1350....0G
59  |HD 32238                                                                                                                                    |Star                               |05 01 29.3749912896 -05 12 41.840875224|204.6404417135696 -26.7753654633126| 22.355 -25.107    |8.62     |F2/3V          |    ~     ~    |    1|  212.653   pc  |  -1.0808     +1.0808    |paral   |2020yCat.1350....0G
60  |HD 32528                                                                                                                                    |Star                               |05 03 38.2788009600 -05 08 43.074052980|204.8537494050607 -26.2712840147888|   0.434 -6.180    |9.34     |A3III          |    ~     ~    |    1|  277.526   pc  |  -4.7610     +4.7610    |ST-L    |2020AJ....160...83S
61  |HD 293793                                                                                                                                   |High Proper Motion Star            |05 03 32.3180622744 -04 05 54.076674732|203.8121045968041 -25.8014496393068|   4.616 55.286    |10.92    |F2             |    ~     ~    |    1|  244.882   pc  |  -5.5350     +5.5350    |paral   |2020yCat.1350....0G
62  |NGC 1753                           NGC 1753                                                                                                 |Galaxy towards a Group of Galaxies |05 02 32.3233518648 -03 20 39.974098596|202.9442623736686 -25.6620484079059|            ~ ~    |     ~   |~              |0.823 0.379    |    1|   53.38    Mpc |                         |redshift|2007ApJ...655..790C
