C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:05:29

dec< 0&rah >=12.25&rah< 12.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5342

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
4056|HD 107653                                                                                                |Pulsating Variable                  |12 22 40.8969334488 -62 35 22.824869172|299.6292083384243 +00.0975267646721|  -8.327 -0.022   |10.06    |B8/9IV/V       |    ~     ~    |    1| 1089.681   pc  | -16.8611    +16.8611  |paral   |2020yCat.1350....0G
4057|HD 107837                                                                                                |Star                                |12 23 45.8758597752 -62 30 18.424092024|299.7440374974194 +00.1952172234647| -19.173 -2.963   |9.02     |K0(III)        |    ~     ~    |    1|  624.922   pc  |  -5.3502     +5.3502  |paral   |2020yCat.1350....0G
4058|CPD-62 2711                                                                                              |Star                                |12 22 37.3726726320 -63 25 28.263557136|299.7156659625976 -00.7328553700365|  -6.495 -0.665   |10.29    |OB             |    ~     ~    |    1| 2346.316   pc  | -93.5884    +93.5884  |paral   |2020yCat.1350....0G
4059|CPD-62 2716                                                                                              |Double or Multiple Star             |12 22 52.5158886000 -62 41 26.275982352|299.6625268424819 -00.0003382014452|  -5.561 -0.052   |10.340   |OB             |    ~     ~    |    1| 1394.700   pc  |-132.2728   +132.2728  |paral   |2020yCat.1350....0G
4060|HD 107759                                                                                                |Star                                |12 23 18.4837753848 -64 05 21.151171284|299.8642903826326 -01.3851352082761| -20.110 -2.722   |8.74     |K2/3           |    ~     ~    |    1|  676.865   pc  |  -9.2545     +9.2545  |paral   |2020yCat.1350....0G
4061|HD 107821                                                                                                |Star                                |12 23 42.1905788856 -63 52 12.284762052|299.8836577573920 -01.1626030050552|-36.468 -10.406   |7.42     |A3V            |    ~     ~    |    1|  103.119   pc  |  -0.9092     +0.9092  |paral   |2020yCat.1350....0G
4062|HIP 60472                                                                                                |Star                                |12 23 51.5616125011 -63 59 10.690414682|299.9131811141771 -01.2763185323823|   -6.173 6.102   |9.894    |K0             |    ~     ~    |    1|  673.265   pc  |  -5.1674     +5.1674  |paral   |2020yCat.1350....0G
4063|CPD-63 2258                                                                                              |Star                                |12 23 41.4472415208 -64 19 07.465851444|299.9305553010693 -01.6088101461795|  -5.481 -0.077   |10.52    |OB             |    ~     ~    |    1| 2183.883   pc  |-144.0342   +144.0342  |paral   |2020yCat.1350....0G
4064|HD 108017                                                                                                |Star                                |12 25 03.9011871624 -64 20 21.682930776|300.0807860108424 -01.6137029861824|  -10.498 0.318   |9.52     |B9III/IV       |    ~     ~    |    1|  781.739   pc  |  -8.0056     +8.0056  |paral   |2020yCat.1350....0G
4065|HD 108038                                                                                                |Star                                |12 25 05.8385538336 -64 23 55.043555424|300.0903187149800 -01.6723029341510|   -7.061 7.053   |9.39     |B9.5/A0III/IV  |    ~     ~    |    1|  500.200   pc  |  -3.2526     +3.2526  |paral   |2020yCat.1350....0G
4066|IRAS 12209-6415                                                                                          |Star                                |12 23 44.8286365752 -64 32 14.064313884|299.9600876892602 -01.8253919313935|  -4.933 -3.247   |10.47    |K8             |    ~     ~    |    1| 1149.822   pc  | -36.2253    +36.2253  |paral   |2020yCat.1350....0G
4067|CPD-62 2713                                                                                              |Star                                |12 22 44.2624940520 -63 15 09.837896868|299.7093320231742 -00.5607046410986| -14.652 -3.009   |9.68     |~              |    ~     ~    |    1|  433.125   pc  |  -2.1386     +2.1386  |paral   |2020yCat.1350....0G
4068|CPD-62 2714                                                                                              |High Proper Motion Star             |12 22 46.8875708712 -63 04 21.344405988|299.6942292792625 -00.3811338361951|-41.881 -46.228   |9.37     |~              |    ~     ~    |    1|  144.955   pc  |  -0.2437     +0.2437  |paral   |2020yCat.1350....0G
4069|TYC 8983-1931-1                                                                                          |Star                                |12 23 46.9916675520 -64 01 02.086192380|299.9081923795833 -01.3079773130611|   -7.693 0.575   |9.80     |~              |    ~     ~    |    1| 2102.607   pc  | -58.3566    +58.3566  |paral   |2020yCat.1350....0G
4070|CPD-63 2266                                                                                              |Star                                |12 25 03.6667140288 -64 08 04.227205956|300.0594141836679 -01.4099708588527| -19.669 -3.773   |9.97     |~              |    ~     ~    |    1|  295.963   pc  |  -2.5140     +2.5140  |paral   |2020yCat.1350....0G
4071|CPD-61 3111                                                                                              |Emission-line Star                  |12 22 24.2683669104 -62 34 20.000761176|299.5955500234667 +00.1112976875327|   -5.355 0.262   |10.89    |OB             |    ~     ~    |    1| 2212.389   pc  | -75.8673    +75.8673  |paral   |2020yCat.1350....0G
4072|TYC 8979-619-1                                                                                           |Star                                |12 23 30.3196017840 -62 22 16.144352184|299.6997912190617 +00.3251743141469|   -8.338 4.542   |10.85    |~              |    ~     ~    |    1|  765.755   pc  |  -8.9716     +8.9716  |paral   |2020yCat.1350....0G
4073|TYC 8979-478-1                                                                                           |Emission-line Star                  |12 24 26.9604649680 -63 06 40.965792948|299.8860181274924 -00.3993528502835| -40.026 -7.808   |9.95     |~              |    ~     ~    |    1|  275.444   pc  |  -0.8953     +0.8953  |paral   |2020yCat.1350....0G
4074|CD-61 3453                                                                                               |Star                                |12 25 13.3957954392 -62 00 51.723541548|299.8616210820374 +00.7010036850581|  -8.379 -0.499   |9.75     |B8/9           |    ~     ~    |    1| 1293.326   pc  | -29.9412    +29.9412  |paral   |2020yCat.1350....0G
4075|CPD-61 3115                                                                                              |Star                                |12 22 55.0403616456 -62 07 22.527518124|299.6046073158535 +00.5644285111686|  -6.633 -1.163   |10.69    |B7/8           |    ~     ~    |    1| 1317.349   pc  | -27.7666    +27.7666  |paral   |2020yCat.1350....0G
4076|CD-61 3452                                                                                               |Star                                |12 25 11.0 -61 57 30                   |299.8513 +00.7563                  |            ~ ~   |9.28     |~              |    ~     ~    |    0|                |                       |        |                   
4077|CD-61 3472                                                                                               |Star                                |12 27 21.6864662112 -62 26 13.119977940|300.1507238845744 +00.3046843032663|  -6.847 -2.170   |9.87     |M1             |    ~     ~    |    1|  966.744   pc  | -12.6170    +12.6170  |paral   |2020yCat.1350....0G
4078|CD-61 3486                                                                                               |Star                                |12 29 17.5625319696 -62 04 53.577337152|300.3427186633105 +00.6788167201232|   -8.422 2.386   |9.345    |M1             |    ~     ~    |    1|  853.170   pc  | -12.8838    +12.8838  |paral   |2020yCat.1350....0G
4079|CD-61 3463                                                                                               |Star                                |12 26 15.6632418600 -61 52 32.022143004|299.9692246942791 +00.8512709979878|  -7.948 -1.814   |10.72    |~              |    ~     ~    |    1| 1357.036   pc  | -30.9380    +30.9380  |paral   |2020yCat.1350....0G
4080|CD-61 3465                                                                                               |Star                                |12 26 36.3701897952 -61 49 16.493285856|300.0044801730161 +00.9092741120830|  -7.828 -0.439   |10.51    |B7/8           |    ~     ~    |    1| 1211.974   pc  | -26.5868    +26.5868  |paral   |2020yCat.1350....0G
4081|CD-61 3480                                                                                               |Star                                |12 28 17.2678665144 -61 48 30.898728756|300.2010340056978 +00.9403522337827|  -5.058 -0.553   |9.49     |~              |    ~     ~    |    1| 1588.562   pc  | -52.2371    +52.2371  |paral   |2020yCat.1350....0G
4082|NGC 4349 167                       NGC 4349 167                                                          |Star                                |12 24 35.0 -61 52 54                   |299.7731 +00.8253                  |            ~ ~   |10.06    |~              |    ~     ~    |    0|                |                       |        |                   
4083|NGC 4349 175                       NGC 4349 175                                                          |Star                                |12 24 56.0 -61 52 06                   |299.8128 +00.8428                  |            ~ ~   |10.97    |~              |    ~     ~    |    0|                |                       |        |                   
4084|NGC 4349 304                       NGC 4349 304                                                          |Star                                |12 23 29.0 -61 49 00                   |299.6372 +00.8761                  |            ~ ~   |11.34    |~              |    ~     ~    |    0|                |                       |        |                   
4085|NGC 4349 308                       NGC 4349 308                                                          |Star                                |12 24 12.1504728240 -61 46 28.053944544|299.7171898840559 +00.9271720961382|  -7.950 -0.212   |11.89    |~              |    ~     ~    |    1| 1932.741   pc  | -48.1878    +48.1878  |paral   |2020yCat.1350....0G
4086|NGC 4349 309                       NGC 4349 309                                                          |Star                                |12 25 32.0 -61 54 30                   |299.8872 +00.8102                  |            ~ ~   |11.23    |~              |    ~     ~    |    0|                |                       |        |                   
4087|NGC 4349 310                       NGC 4349 310                                                          |Star                                |12 25 52.0874685840 -61 57 24.081875892|299.9311790103682 +00.7659888587549|  -6.791 -0.268   |11.87    |~              |    ~     ~    |    1|  779.120   pc  |  -8.1342     +8.1342  |paral   |2020yCat.1350....0G
4088|NGC 4349 311                       NGC 4349 311                                                          |Star                                |12 25 16.1394413400 -61 58 50.747281500|299.8635501048594 +00.7349794345302|  -5.233 -0.287   |12.07    |~              |    ~     ~    |    1| 2493.766   pc  | -88.3079    +88.3079  |paral   |2020yCat.1350....0G
4089|NGC 4349 313                       NGC 4349 313                                                          |Star                                |12 24 54.6758924220 -61 56 01.459500817|299.8169201417494 +00.7774653210176|  -7.996 -0.467   |12.86    |~              |    ~     ~    |    1| 2097.76    pc  | -80.9706    +80.9706  |paral   |2020yCat.1350....0G
4090|TYC 8975-3833-1                                                                                          |Star                                |12 29 33.1446358248 -61 42 48.960117432|300.3417778333128 +01.0480335081310|   -8.073 4.127   |10.98    |~              |    ~     ~    |    1| 1018.641   pc  | -12.3478    +12.3478  |paral   |2020yCat.1350....0G
4091|TYC 8979-3-1                                                                                             |Star                                |12 27 55.3052219472 -63 03 22.176660204|300.2717113490548 -00.3059409443160|   -5.278 0.585   |10.34    |~              |    ~     ~    |    1| 1724.138   pc  | -33.2937    +33.2937  |paral   |2020yCat.1350....0G
4092|TYC 8979-25-1                                                                                            |Star                                |12 23 20.0771886960 -63 03 41.439865680|299.7552705583312 -00.3632307058043|  -38.161 9.505   |9.62     |~              |    ~     ~    |    1|  137.749   pc  |  -0.3928     +0.3928  |paral   |2020yCat.1350....0G
4093|TYC 8979-29-1                                                                                            |Spectroscopic Binary                |12 28 40.0390683984 -62 09 40.112726040|300.2768147246358 +00.5931599105265|  -5.642 -6.579   |10.77    |~              |    ~     ~    |    1|  468.296   pc  |  -7.9168     +7.9168  |paral   |2020yCat.1350....0G
4094|TYC 8979-42-1                                                                                            |Star                                |12 21 42.5552569080 -62 10 22.116048744|299.4700276024150 +00.4989450104189|  -27.389 4.689   |10.54    |~              |    ~     ~    |    1|  368.501   pc  |  -9.9943     +9.9943  |paral   |2020yCat.1350....0G
4095|CPD-62 2726                                                                                              |Star                                |12 25 02.4639024264 -63 04 02.649071964|299.9480656697009 -00.3486872459119|  -7.260 -0.976   |10.71    |B8/9           |    ~     ~    |    1| 1378.550   pc  | -43.7092    +43.7092  |paral   |2020yCat.1350....0G
4096|TYC 8979-139-1                                                                                           |Star                                |12 22 23.8645288704 -62 08 53.574968220|299.5470899149182 +00.5325273014284|  -1.789 -0.548   |10.18    |~              |    ~     ~    |    1|  601.214   pc  |  -4.0122     +4.0122  |paral   |2020yCat.1350....0G
4097|CD-61 3454                                                                                               |Star                                |12 25 31.3757074944 -62 11 41.866085220|299.9147361393315 +00.5248724062594|  -4.931 -0.225   |10.31    |B8             |    ~     ~    |    1| 2212.879   pc  | -60.7207    +60.7207  |paral   |2020yCat.1350....0G
4098|CPD-62 2721                                                                                              |Star                                |12 23 59.4548555544 -62 52 17.857780788|299.8089804531559 -00.1664254735008| -12.047 -0.249   |9.98     |B8/9           |    ~     ~    |    1|  672.495   pc  |  -7.7335     +7.7335  |paral   |2020yCat.1350....0G
4099|CPD-62 2741                                                                                              |Star                                |12 26 30.2293849608 -62 51 26.960134680|300.0925976888679 -00.1232818923403|   -8.241 0.191   |9.709    |~              |    ~     ~    |    1| 1190.193   pc  | -16.4321    +16.4321  |paral   |2020yCat.1350....0G
4100|CPD-62 2717                                                                                              |Star                                |12 23 12.9840279816 -63 16 32.000726244|299.7653609794874 -00.5774531894130| -11.600 -1.533   |10.42    |B8             |    ~     ~    |    1|  450.674   pc  |  -2.6404     +2.6404  |paral   |2020yCat.1350....0G
4101|CPD-62 2758                                                                                              |Star                                |12 27 28.1957411616 -62 43 05.432133108|300.1893446015970 +00.0258713012272|   -4.888 0.708   |10.9     |B6/7           |    ~     ~    |    1| 1812.251   pc  | -47.2932    +47.2932  |paral   |2020yCat.1350....0G
4102|CPD-62 2772                                                                                              |Star                                |12 28 24.7808325312 -63 07 51.087671184|300.3338026944537 -00.3753199612817|  -10.331 1.182   |10.43    |B8             |    ~     ~    |    1|  725.111   pc  |  -7.7816     +7.7816  |paral   |2020yCat.1350....0G
4103|CD-61 3444                                                                                               |Star                                |12 24 05.7594824472 -62 10 10.814674656|299.7465346105839 +00.5328529578442| -11.191 -0.660   |10.15    |B8             |    ~     ~    |    1|  821.625   pc  | -11.2736    +11.2736  |paral   |2020yCat.1350....0G
4104|TYC 8979-521-1                                                                                           |Star                                |12 23 15.4244566800 -62 15 52.853082048|299.6595573065960 +00.4278798262303| -11.311 -0.340   |10.15    |~              |    ~     ~    |    0|                |                       |        |                   
4105|CD-61 3458                                                                                               |Star                                |12 25 52.0865631408 -62 12 07.027779744|299.9554833112727 +00.5219331406684|   -5.076 0.033   |10.80    |B5/6           |    ~     ~    |    1| 2201.189   pc  | -88.1832    +88.1832  |paral   |2020yCat.1350....0G
4106|TYC 8979-674-1                                                                                           |Star                                |12 26 48.6495021576 -62 53 44.080186308|300.1310855077371 -00.1578340255243|  -3.323 -0.521   |10.68    |~              |    ~     ~    |    1| 1283.203   pc  | -41.1652    +41.1652  |paral   |2020yCat.1350....0G
4107|TYC 8979-1134-1                                                                                          |Star                                |12 26 35.2550140224 -63 34 24.990505248|300.1710830648463 -00.8351504139772|   -3.552 0.716   |10.74    |~              |    ~     ~    |    1|  923.788   pc  | -10.4966    +10.4966  |paral   |2020yCat.1350....0G
4108|CPD-62 2710                                                                                              |Star                                |12 22 33.9174805776 -63 09 32.238111348|299.6795652167275 -00.4696781369707|  -7.097 -0.755   |10.75    |B7/8           |    ~     ~    |    1|  883.626   pc  | -14.9913    +14.9913  |paral   |2020yCat.1350....0G
4109|TYC 8979-1311-1                                                                                          |Star                                |12 26 42.3346998384 -62 56 03.771332736|300.1228720541286 -00.1976051339114|  -18.813 3.002   |10.5     |~              |    ~     ~    |    1|  899.928   pc  |  -8.7466     +8.7466  |paral   |2020yCat.1350....0G
4110|CPD-62 2788                                                                                              |Star                                |12 29 36.0156402936 -62 54 53.510022648|300.4491529575589 -00.1484352370593|  -6.386 -1.122   |10.42    |B7/8           |    ~     ~    |    0|                |                       |        |                   
4111|TYC 8979-1364-1                                                                                          |Star                                |12 23 14.9124743592 -63 16 50.346287544|299.7695094551364 -00.5821239032716| -25.449 -9.766   |10.02    |~              |    ~     ~    |    1|  157.196   pc  |  -0.4003     +0.4003  |paral   |2020yCat.1350....0G
4112|TYC 8979-1430-1                                                                                          |Star                                |12 23 19.1361168024 -63 03 30.040368516|299.7531597664724 -00.3602764567701|  -34.701 6.357   |10.35    |~              |    ~     ~    |    1|  137.265   pc  |  -0.3900     +0.3900  |paral   |2020yCat.1350....0G
4113|CPD-62 2761                                                                                              |Star                                |12 27 36.9386906352 -63 14 26.225467512|300.2542155346443 -00.4927923706860| -11.653 -0.334   |10.97    |B8/9           |    ~     ~    |    1|  804.764   pc  |  -8.8727     +8.8727  |paral   |2020yCat.1350....0G
4114|TYC 8979-1453-1                                                                                          |Star                                |12 23 52.6856452176 -62 22 36.019233048|299.7433479861638 +00.3243302793874|   -8.573 2.047   |9.90     |~              |    ~     ~    |    1|  557.289   pc  |  -3.6647     +3.6647  |paral   |2020yCat.1350....0G
4115|TYC 8979-1580-1                                                                                          |High Proper Motion Star             |12 24 54.1720538520 -62 18 26.828521812|299.8543646459821 +00.4056308220788|  -62.710 1.920   |10.69    |~              |    ~     ~    |    1|  267.294   pc  |  -7.2589     +7.2589  |paral   |2020yCat.1350....0G
4116|TYC 8979-2040-1                                                                                          |Star                                |12 25 46.1205134352 -63 32 53.510722872|300.0778695103728 -00.8187857297071|   -5.904 0.571   |10.84    |~              |    ~     ~    |    1| 1925.669   pc  | -49.6899    +49.6899  |paral   |2020yCat.1350....0G
4117|TYC 8979-2067-1                                                                                          |Star                                |12 23 22.9870374816 -63 09 55.179064908|299.7720135120433 -00.4658348237223| -15.937 -1.225   |10.24    |~              |    ~     ~    |    1|  415.334   pc  |  -2.8290     +2.8290  |paral   |2020yCat.1350....0G
4118|TYC 8979-2085-1                                                                                          |Star                                |12 29 26.2434707856 -63 36 35.438755104|300.4899702580814 -00.8424576492369|   -7.426 2.038   |10.85    |~              |    ~     ~    |    1|  702.395   pc  |  -7.1044     +7.1044  |paral   |2020yCat.1350....0G
4119|TYC 8979-2243-1                                                                                          |Star                                |12 28 05.9917794912 -63 24 40.786686000|300.3239396771217 -00.6578213889069|  -8.045 -0.845   |10.71    |~              |    ~     ~    |    1| 1403.509   pc  | -28.1687    +28.1687  |paral   |2020yCat.1350....0G
4120|TYC 8979-2405-1                                                                                          |Star                                |12 23 01.8037853088 -62 00 15.602162364|299.6046538088151 +00.6837515210105|  -6.013 -0.179   |10.03    |~              |    ~     ~    |    1| 1572.574   pc  | -29.1813    +29.1813  |paral   |2020yCat.1350....0G
4121|TYC 8979-2651-1                                                                                          |Star                                |12 24 36.7958932440 -61 52 50.322963216|299.7765339102149 +00.8266480911473|  -7.699 -0.130   |10.13    |~              |    ~     ~    |    1| 1722.356   pc  |-113.9140   +113.9140  |paral   |2020yCat.1350....0G
4122|TYC 8979-2890-1                                                                                          |Star                                |12 21 36.2567719824 -61 53 45.812598828|299.4258821929623 +00.7724298759294| -15.525 -1.491   |10.39    |~              |    ~     ~    |    1|  809.979   pc  |  -9.9722     +9.9722  |paral   |2020yCat.1350....0G
4123|TYC 8979-3299-1                                                                                          |Star                                |12 22 43.0801672776 -62 06 21.529219284|299.5795635871949 +00.5786841904706|  -11.450 4.392   |10.04    |~              |    ~     ~    |    1| 1254.863   pc  | -20.7858    +20.7858  |paral   |2020yCat.1350....0G
4124|CD-63 760                                                                                                |Star                                |12 27 36.7139423568 -63 55 18.089749200|300.3167116608358 -01.1709931290774|   1.184 -5.522   |10.10    |B9             |    ~     ~    |    1|  435.521   pc  | -10.9065    +10.9065  |paral   |2020yCat.1350....0G
4125|TYC 8983-107-1                                                                                           |Star                                |12 27 26.5361538096 -63 53 21.486908724|300.2951319120767 -01.1404721343407|  -4.487 -0.484   |10.53    |~              |    ~     ~    |    1| 2342.469   pc  | -65.8459    +65.8459  |paral   |2020yCat.1350....0G
4126|CPD-63 2276                                                                                              |Star                                |12 26 18.8707717920 -63 59 00.958884432|300.1807731055610 -01.2461354669875|   -8.468 2.505   |10.49    |B7/8           |    ~     ~    |    1|  786.535   pc  |  -7.3618     +7.3618  |paral   |2020yCat.1350....0G
4127|TYC 8983-174-1                                                                                           |Star                                |12 27 33.1854344232 -63 47 46.298488020|300.2986515230456 -01.0466325559904|  -20.165 1.264   |9.85     |~              |    ~     ~    |    1|  399.776   pc  |  -2.3014     +2.3014  |paral   |2020yCat.1350....0G
4128|TYC 8983-184-1                                                                                           |Star                                |12 24 18.2736897000 -63 58 01.712253972|299.9597176618349 -01.2520895055453|   6.172 -2.117   |10.83    |~              |    ~     ~    |    1|  556.669   pc  |  -7.1272     +7.1272  |paral   |2020yCat.1350....0G
4129|TYC 8983-204-1                                                                                           |Star                                |12 29 10.5610098480 -64 00 52.575510312|300.4959784867484 -01.2481992797870| -12.449 -2.229   |10.75    |~              |    ~     ~    |    1|  637.146   pc  | -11.8133    +11.8133  |paral   |2020yCat.1350....0G
4130|CPD-63 2295                                                                                              |Pulsating Variable                  |12 28 09.6850260408 -64 03 40.865211396|300.3894717478573 -01.3045683035858|  -5.331 -0.876   |10.18    |B7/8           |    ~     ~    |    1| 1428.163   pc  | -35.0820    +35.0820  |paral   |2020yCat.1350....0G
4131|TYC 8983-494-1                                                                                           |Star                                |12 27 12.9775128360 -64 27 33.455370564|300.3239195179784 -01.7102680926249|  -6.574 -1.211   |10.54    |~              |    ~     ~    |    0|                |                       |        |                   
4132|TYC 8983-582-1                                                                                           |Star                                |12 25 39.7818894744 -63 47 36.091205016|300.0906558761672 -01.0638934698234| -11.654 10.347   |10.97    |~              |    ~     ~    |    1|  356.799   pc  |  -2.2788     +2.2788  |paral   |2020yCat.1350....0G
4133|TYC 8983-596-1                                                                                           |Star                                |12 26 20.0233510272 -63 51 41.640071328|300.1709921000901 -01.1244765853732|  -3.905 -0.933   |10.96    |~              |    ~     ~    |    1| 1473.188   pc  | -35.5926    +35.5926  |paral   |2020yCat.1350....0G
4134|TYC 8983-660-1                                                                                           |Star                                |12 29 20.0433 -64 26 27.145            |300.5497856 -01.6714100            |  -5.766 -1.458   |10.93    |~              |    ~     ~    |    0|                |                       |        |                   
4135|CPD-63 2299                                                                                              |Star                                |12 28 44.8462115064 -64 02 39.902523504|300.4518252415539 -01.2819885334512|   -4.513 0.049   |10.82    |B7/8           |    ~     ~    |    1| 1393.146   pc  | -31.8300    +31.8300  |paral   |2020yCat.1350....0G
4136|CPD-63 2269                                                                                              |Star                                |12 25 39.4497894768 -63 54 38.382510132|300.1017710980391 -01.1806705988771|  -7.388 -0.269   |10.87    |B8             |    ~     ~    |    1| 1113.214   pc  | -23.0500    +23.0500  |paral   |2020yCat.1350....0G
4137|CPD-63 2294                                                                                              |Star                                |12 28 04.0401283392 -64 13 52.322506788|300.3946202794895 -01.4746490891345|  -8.627 -1.498   |10.24    |B8             |    ~     ~    |    1|  902.039   pc  | -12.6119    +12.6119  |paral   |2020yCat.1350....0G
4138|TYC 8983-1499-1                                                                                          |Star                                |12 23 48.8447231184 -64 23 15.001317816|299.9512051365109 -01.6757416764706|    8.381 3.717   |10.67    |~              |    ~     ~    |    1|  530.279   pc  |  -6.8049     +6.8049  |paral   |2020yCat.1350....0G
4139|GSC 08983-02183                                                                                          |Double or Multiple Star             |12 23 51.9086363664 -64 06 16.846410060|299.9264631253304 -01.3939498181333|      -8.9 -2.3   |10.977   |~              |    ~     ~    |    0|                |                       |        |                   
4140|HD 108170                                                                                                |Star                                |12 25 54.4326485952 -62 14 57.141269916|299.9646954703345 +00.4753626635680|   -6.606 0.228   |8.69     |O9.5/B0        |    ~     ~    |    1| 3650.968   pc  |-201.2764   +201.2764  |paral   |2020yCat.1350....0G
4141|CD-61 3467                                                                                               |Star                                |12 26 46.3813356816 -61 54 10.673665560|300.0319033704025 +00.8298213118652|  -7.917 -1.868   |10.59    |B8             |    ~     ~    |    1| 1273.074   pc  | -24.9591    +24.9591  |paral   |2020yCat.1350....0G
4142|HD 107838                                                                                                |High Proper Motion Star             |12 23 48.1641000192 -63 59 09.716049312|299.9069774622999 -01.2767136031061| -67.762 -2.044   |8.13     |A4mA7-A7       |    ~     ~    |    1|  134.756   pc  |  -0.4122     +0.4122  |paral   |2020yCat.1350....0G
4143|HD 108610                                                                                                |Spectroscopic Binary                |12 28 54.8618257992 -61 52 15.289058244|300.2801981067295 +00.8848123216062| -11.709 -1.701   |6.92     |B3IV/V         |    ~     ~    |    1|  496.500   pc  |  -8.1102     +8.1102  |paral   |2020yCat.1350....0G
4144|[A72c] 85                                                                                                |Red Supergiant Candidate            |12 27 43.6779532104 -61 56 17.877484248|300.1471046291076 +00.8051788651129|   -7.074 0.080   |10.60    |M2I:           |    ~     ~    |    1| 3795.066   pc  |-325.4972   +325.4972  |paral   |2020yCat.1350....0G
4145|NAME Tupa                          HD 108147                                                             |High Proper Motion Star             |12 25 46.2673666032 -64 01 19.516186956|300.1252919070537 -01.2902982760184|-182.666 -60.693  |6.994    |F8/G0V         |    ~     ~    |    1|   38.822   pc  |  -0.0240     +0.0240  |paral   |2020yCat.1350....0G
4146|V* BP Cru                                                                                                |High Mass X-ray Binary              |12 26 37.5605188992 -62 46 13.261044684|300.0980886185743 -00.0352037243499|  -5.227 -2.071   |10.66    |B1.5Iaeq       |    ~     ~    |    1| 3990.423   pc  |-254.7756   +254.7756  |paral   |2020yCat.1350....0G
4147|HD 108418                                                                                                |Be Star                             |12 27 45.9501652272 -64 34 39.139073256|300.3937848383024 -01.8225134092102|   -7.782 0.304   |9.38     |B5(V)n         |    ~     ~    |    1| 1408.649   pc  | -33.3361    +33.3361  |paral   |2020yCat.1350....0G
4148|NGC 4463 3                         CPD-64 1940                                                           |Star                                |12 29 43.8396578664 -64 48 13.045951224|300.6229917119587 -02.0292366669931|  -5.341 -0.338   |10.46    |B5III:         |    ~     ~    |    1| 1659.476   pc  | -45.4387    +45.4387  |paral   |2020yCat.1350....0G
4149|NGC 4463 4                         CPD-64 1941                                                           |Star                                |12 29 47.0460408312 -64 47 46.455707904|300.6280417819114 -02.0213981640950|  -5.343 -0.391   |11.26    |B6             |    ~     ~    |    1| 1722.950   pc  | -45.4189    +45.4189  |paral   |2020yCat.1350....0G
4150|NGC 4463 6                         NGC 4463 6                                                            |Star                                |12 29 55.7086213032 -64 48 02.011084092|300.6437284276943 -02.0244169791808|  -5.435 -0.343   |12.24    |~              |    ~     ~    |    1| 1751.007   pc  | -32.4999    +32.4999  |paral   |2020yCat.1350....0G
4151|NGC 4463 5                         HD 108719                                                             |Star                                |12 29 55.5000448944 -64 47 24.073131372|300.6424792804570 -02.0139463186505|  -5.310 -0.238   |8.40     |B1/3           |    ~     ~    |    1| 1783.485   pc  | -71.2503    +71.2503  |paral   |2020yCat.1350....0G
4152|NGC 4463 7                         CPD-64 1944                                                           |Star                                |12 29 58.2882884640 -64 47 09.505346208|300.6470762448312 -02.0095011735878|  -5.334 -0.292   |11.17    |OB-            |    ~     ~    |    1| 1849.454   pc  | -60.2005    +60.2005  |paral   |2020yCat.1350....0G
4153|NGC 4463                           NGC 4463                                                              |Open Cluster                        |12 29 51.8 -64 48 00                   |300.6368 -02.0244                  |  -5.326 -0.435   |7.2      |~              | 6.8   6.8     |    1| 1804.0     pc  |                       |paral   |2021A&A...651A.104P
4154|HD 108328                                                                                                |Star                                |12 27 11.5996086408 -64 51 31.864884732|300.3590438276261 -02.1082887567625| -14.729 -1.304   |8.99     |K2/3(III)      |    ~     ~    |    1|  638.978   pc  |  -6.4102     +6.4102  |paral   |2020yCat.1350....0G
4155|HD 108611                                                                                                |Star                                |12 29 02.2523641896 -64 55 00.636825720|300.5592928632414 -02.1483399283644|-37.182 -11.186   |9.05     |G5V            |    ~     ~    |    1|  110.819   pc  |  -0.6042     +0.6042  |paral   |2020yCat.1350....0G
4156|NGC 4463 1                         CPD-64 1943                                                           |Star                                |12 29 55.3453659432 -64 48 40.774507092|300.6439852996709 -02.0352008009271|  -5.420 -0.333   |8.33     |F5Iab          |    ~     ~    |    1| 1854.943   pc  | -55.3971    +55.3971  |paral   |2020yCat.1350....0G
4157|HD 108671                                                                                                |Star                                |12 29 38.7039479304 -66 35 54.993368112|300.7659945176727 -03.8185535977734| -35.382 -7.764   |9.24     |F0/2V          |    ~     ~    |    1|  174.268   pc  |  -0.3492     +0.3492  |paral   |2020yCat.1350....0G
4158|HD 108659                                                                                                |Pulsating Variable                  |12 29 31.1065994136 -66 51 37.757159532|300.7758027191948 -04.0805482145903|   -5.581 0.488   |7.36     |B5Ib           |    ~     ~    |    1| 2662.407   pc  |-137.5152   +137.5152  |paral   |2020yCat.1350....0G
4159|CD-66 1231                                                                                               |Star                                |12 29 05.7237205704 -66 54 09.812883744|300.7379677446328 -04.1262016931744|  -16.206 2.105   |10.16    |~              |    ~     ~    |    1|  477.646   pc  |  -2.8975     +2.8975  |paral   |2020yCat.1350....0G
