C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:05:29

dec< 0&rah >=12.25&rah< 12.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5342

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
42  |BD+00 2928                                                                                               |Star                                |12 20 34.7933494032 -00 17 09.465522000|286.5387391428582 +61.5997165907258|  21.667 -9.458   |10.25    |G0V            |    ~     ~    |    1|  235.660   pc  |  -1.4106     +1.4106  |paral   |2020yCat.1350....0G
43  |TYC 4941-84-1                                                                                            |Horizontal Branch Star              |12 20 40.7188168872 -01 07 31.566078624|287.0198077089666 +60.7924936324026|   -7.865 6.234   |10.20    |~              |    ~     ~    |    1|  647.920   pc  |  -7.0946     +7.0946  |paral   |2020yCat.1350....0G
44  |BD-01 2655                                                                                               |Star                                |12 21 43.1039608512 -02 05 19.422305231|287.9914344899368 +59.9181169959944|      -12.0 1.0   |10.7     |~              |    ~     ~    |    0|                |                       |        |                   
45  |BD-01 2649                                                                                               |Star                                |12 19 37.5450206136 -02 27 16.224192936|287.1561079644446 +59.4393350854486|  22.601 -8.742   |10.88    |~              |    ~     ~    |    1|  411.816   pc  |  -9.2240     +9.2240  |ST-L    |2020AJ....160...83S
46  |TYC 4940-204-1                                                                                           |Star                                |12 17 41.1153600096 -01 54 56.664220752|285.9600884734344 +59.8391487203966| -3.268 -10.277   |10.713   |~              |    ~     ~    |    1|  422.134   pc  | -10.2000    +10.2000  |ST-L    |2020AJ....160...83S
47  |TYC 4940-712-1                                                                                           |Star                                |12 17 00.7210650120 -00 42 14.900238864|284.9764601970586 +60.9617898806853| -39.635 -9.222   |10.7     |G5V            |    ~     ~    |    1|  134.523   pc  |  -1.6106     +1.6106  |paral   |2020yCat.1350....0G
48  |TYC 4940-1110-1                                                                                          |Spectroscopic Binary                |12 18 43.1250675312 -02 22 15.075727536|286.6835965483463 +59.4647573421269| -20.317 -2.261   |10.54    |~              |    ~     ~    |    1|  912.575   pc  | -19.7372    +19.7372  |paral   |2020yCat.1350....0G
49  |TYC 4941-771-1                                                                                           |Star                                |12 21 05.1049541856 -02 00 19.592941608|287.6455741207881 +59.9623869880271| -5.116 -25.368   |10.83    |~              |    ~     ~    |    1|  234.423   pc  |  -1.0826     +1.0826  |paral   |2020yCat.1350....0G
50  |TYC 4941-809-1                                                                                           |Star                                |12 20 38.7516085368 -01 40 14.074861296|287.2719923426640 +60.2615962620133|-36.569 -17.852   |10.79    |G1V            |    ~     ~    |    1|  166.652   pc  |  -1.7690     +1.7690  |ST-L    |2020AJ....160...83S
51  |2MASS J12200845-0231462                                                                                  |Red Giant Branch star               |12 20 08.4539890488 -02 31 46.260359112|287.4370066259058 +59.3974104789665|   -4.341 2.082   |10.67    |~              |    ~     ~    |    1| 1019.888   pc  | -19.6592    +19.6592  |paral   |2020yCat.1350....0G
52  |TYC 4944-464-1                                                                                           |Star                                |12 20 06.3491076144 -02 39 04.709193516|287.4770868210220 +59.2770273829438|  -2.696 -4.754   |10.84    |~              |    ~     ~    |    1|  217.368   pc  |  -0.8316     +0.8316  |paral   |2020yCat.1350....0G
53  |HD 106680                                                                                                |High Proper Motion Star             |12 16 06.8561508792 -03 01 00.120586440|285.7820822410461 +58.6739040273838|-100.654 -115.105 |8.81     |G5V            |    ~     ~    |    1|  107.285   pc  |  -0.2187     +0.2187  |paral   |2020yCat.1350....0G
54  |HD 106989                                                                                                |Star                                |12 18 10.7891743632 -03 01 50.994637824|286.7495770944565 +58.7920489147829|  -36.601 2.863   |9.64     |F5V            |    ~     ~    |    1|  169.354   pc  |  -0.8031     +0.8031  |paral   |2020yCat.1350....0G
55  |HD 107036                                                                                                |Star                                |12 18 34.4311436160 -03 01 20.175362292|286.9295474182750 +58.8246457768852|  -8.172 -6.262   |7.97     |K0III          |    ~     ~    |    1|  221.612   pc  |  -1.1639     +1.1639  |paral   |2020yCat.1350....0G
56  |BD-02 3501                                                                                               |Star                                |12 20 19.3816084560 -03 00 01.899609948|287.7399665097549 +58.9503991232173|   6.807 -6.140   |10.72    |~              |    ~     ~    |    1|  895.015   pc  | -51.1872    +51.1872  |paral   |2020yCat.1350....0G
57  |BD-02 3502                                                                                               |Star                                |12 20 33.2060735712 -02 49 44.861046996|287.7709782705557 +59.1304899693177| -40.935 -0.872   |10.06    |~              |    ~     ~    |    1|  325.791   pc  | -15.1600    +15.1600  |ST-L    |2020AJ....160...83S
