C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:42:36

dec >=0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3947

 #  |                                                                                  identifier                                                                                   |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
3828|TYC 4522-936-1                                                                                                                                                                 |Star                               |04 24 17.0804424288 +82 03 37.125324252|129.7944395386780 +22.2093654777753|    3.253 8.760   |10.54    |~                 |    ~     ~    |    1|  574.713   pc  |  -4.9874     +4.9874  |paral   |2020yCat.1350....0G
3829|TYC 4617-254-1                                                                                                                                                                 |Star                               |04 17 30.1302875016 +84 16 50.944715580|127.8109645698279 +23.4858618769815|  5.829 -15.161   |10.80    |~                 |    ~     ~    |    1| 1534.919   pc  | -30.3921    +30.3921  |paral   |2020yCat.1350....0G
3830|TYC 4617-411-1                                                                                                                                                                 |Star                               |04 29 33.0054645744 +84 00 19.335843828|128.2554632447362 +23.5502570418741|   -1.667 6.844   |10.86    |~                 |    ~     ~    |    1| 1857.010   pc  | -79.3152    +79.3152  |paral   |2020yCat.1350....0G
3831|TYC 4617-662-1                                                                                                                                                                 |Star                               |04 29 42.6955610280 +83 12 59.974756056|128.9364375343623 +23.0696579342602|    1.701 0.750   |10.33    |~                 |    ~     ~    |    1|  854.409   pc  |  -9.1982     +9.1982  |paral   |2020yCat.1350....0G
3832|TYC 4621-1207-1                                                                                                                                                                |Star                               |04 20 53.5300888224 +84 47 00.128627736|127.4478562798572 +23.8711976826350|  1.807 -11.596   |10.97    |~                 |    ~     ~    |    1| 1261.352   pc  | -17.5011    +17.5011  |paral   |2020yCat.1350....0G
3833|TYC 2371-944-2                                                                                                                                                                 |Star                               |04 19 48.153 +31 39 51.79              |166.513173 -13.064588              |      5.2 -10.9   |10.45    |~                 |    ~     ~    |    0|                |                       |        |                   
3834|TYC 3340-1090-1                                                                                                                                                                |Star                               |04 15 21.9332640912 +51 12 48.057806736|152.0559562018860 +00.2546201980486|   3.373 -2.963   |10.59    |~                 |    ~     ~    |    1|  827.335   pc  | -19.6447    +19.6447  |paral   |2020yCat.1350....0G
3835|HD 26842A                                                                                                                                                                      |High Proper Motion Star            |04 15 55.729677 +31 41 35.07156        |165.901517881 -13.635422975        |      7.8 -51.0   |7.97     |~                 |    ~     ~    |    0|                |                       |        |                   
3836|HD 26842B                                                                                                                                                                      |High Proper Motion Star            |04 15 55.678071 +31 41 35.15919        |165.901368008 -13.635536346        |      7.8 -51.0   |8.22     |~                 |    ~     ~    |    0|                |                       |        |                   
3837|HD 26936A                                                                                                                                                                      |Star                               |04 19 13.7685426912 +61 35 02.286208716|145.1697135460588 +08.0476795840169| -3.729 -13.936   |7.91     |~                 |    ~     ~    |    1|  181.311   pc  |  -0.7594     +0.7594  |paral   |2020yCat.1350....0G
3838|HD 26936C                                                                                                                                                                      |Star                               |04 19 14.435021 +61 35 05.09402        |145.170098784 +08.049165890        |     -6.3 -16.4   |9.82     |~                 |    ~     ~    |    0|                |                       |        |                   
3839|* 56 Per A                                                                                                                                                                     |Double or Multiple Star            |04 24 37.4582741880 +33 57 35.290536300|165.5306246928583 -10.7470784277493| 46.034 -90.467   |5.795    |F4IV-V+DA         |    ~     ~    |    1|   42.030   pc  |  -0.2016     +0.2016  |paral   |2020yCat.1350....0G
3840|* 56 Per B                                                                                                                                                                     |Double or Multiple Star            |04 24 37.589063 +33 57 38.87539        |165.530204808 -10.746065644        |     54.7 -83.1   |9.16     |F2                |    ~     ~    |    0|                |                       |        |                   
3841|UCAC3 182-13339                                                                                                                                                                |Star                               |04 16 33.0019083912 +00 40 24.630767724|192.1747697193446 -33.4580567240629| -15.671 -0.520   |10.084   |~                 |    ~     ~    |    1|  202.936   pc  |  -2.9340     +2.9340  |ST-L    |2020AJ....160...83S
3842|HD 27395A                                                                                                                                                                      |Spectroscopic Binary               |04 21 45.4735352664 +50 02 06.632924028|153.6044854259044 +00.1212375904794|   2.872 -4.806   |7.284    |G9II+B            |    ~     ~    |    1|  718.442   pc  | -29.9373    +29.9373  |paral   |2020yCat.1350....0G
3843|HD 284410A                                                                                                                                                                     |Star                               |04 21 50.2008630408 +19 48 51.546486960|175.9784024116854 -20.7316482848553|  3.424 -40.174   |10.69    |~                 |    ~     ~    |    1|  175.787   pc  |  -0.5840     +0.5840  |paral   |2020yCat.1350....0G
3844|HD 284410B                                                                                                                                                                     |Star                               |04 21 50.103 +19 48 48.58              |175.978800 -20.732478              |      5.2 -42.1   |10.65    |~                 |    ~     ~    |    0|                |                       |        |                   
3845|HD 27659                                                                                                                                                                       |Young Stellar Object               |04 22 54.6264110616 +28 23 54.097674792|169.4365854672203 -14.8166421696976| -15.399 -5.334   |8.935    |A4IV              |    ~     ~    |    1|  183.621   pc  |  -0.7249     +0.7249  |paral   |2020yCat.1350....0G
3846|* del03 Tau B                                                                                                                                                                  |High Proper Motion Star            |04 25 29.337927 +17 55 42.09926        |178.117241265 -21.294594105        |    108.3 -32.5   |7.79     |~                 |    ~     ~    |    0|                |                       |        |                   
3847|BD+08 690                                                                                                                                                                      |Double or Multiple Star            |04 26 51.1935391488 +08 42 17.705475036|186.2835562789095 -26.7371933159588| 116.492 21.339   |10.89    |~                 |    ~     ~    |    1|  137.052   pc  |  -0.3606     +0.3606  |paral   |2020yCat.1350....0G
3848|TYC 3329-1371-1                                                                                                                                                                |Star                               |04 25 48.3878992704 +46 32 16.940957964|156.5668535373243 -01.8561663001104|  -0.482 -3.121   |10.57    |~                 |    ~     ~    |    1| 1149.293   pc  | -26.4175    +26.4175  |paral   |2020yCat.1350....0G
3849|BD+44 946A                                                                                                                                                                     |Star                               |04 26 02.1791957712 +45 13 59.977657236|157.5311518236271 -02.7367987120251|   0.621 -4.030   |9.98     |~                 |    ~     ~    |    1|  922.679   pc  | -68.6178    +68.6178  |paral   |2020yCat.1350....0G
3850|HD 276352A                                                                                                                                                                     |Star                               |04 26 34.0167752112 +40 55 56.989740180|160.7013934211531 -05.6543460064745|  -1.804 -3.305   |10.49    |~                 |    ~     ~    |    1|  848.969   pc  | -27.8209    +27.8209  |paral   |2020yCat.1350....0G
3851|HD 27762B                                                                                                                                                                      |Star                               |04 23 16.767530 +11 22 40.86329        |183.314793792 -25.823888509        |     24.7 -38.1   |8.24     |~                 |    ~     ~    |    0|                |                       |        |                   
3852|HD 26873B                                                                                                                                                                      |High Proper Motion Star            |04 16 01.9685914241 +30 02 07.952687901|167.1399188361135 -14.7785387201947|  0.583 -51.152   |10.42    |~                 |    ~     ~    |    1|  123.484   pc  |  -1.3189     +1.3189  |paral   |2020yCat.1350....0G
3853|HD 276126B                                                                                                                                                                     |Star                               |04 15 02.459078 +41 41 30.91709        |158.624284884 -06.652247466        |       8.6 -8.7   |10.57    |~                 |    ~     ~    |    0|                |                       |        |                   
3854|HD 283522B                                                                                                                                                                     |Star                               |04 16 00.424906 +27 25 53.22162        |169.083199001 -16.589989726        |       -6.9 3.2   |10.86    |~                 |    ~     ~    |    0|                |                       |        |                   
3855|HD 27028B                                                                                                                                                                      |High Proper Motion Star            |04 17 01.230 +19 40 33.04              |175.289176 -21.675340              |     1.4 -100.8   |8.99     |F6V               |    ~     ~    |    0|                |                       |        |                   
3856|TYC 4072-832-2                                                                                                                                                                 |Star                               |04 17 03.6880766468 +64 08 15.418361966|143.1662233272652 +09.6797758112032|   -5.003 3.072   |10.49    |~                 |    ~     ~    |    1|  432.096   pc  |  -2.2965     +2.2965  |paral   |2020yCat.1350....0G
3857|HD 26839B                                                                                                                                                                      |Star                               |04 17 55.765225 +58 47 26.62225        |147.037092005 +05.951651019        |     -16.9 -4.9   |8.67     |~                 |    ~     ~    |    0|                |                       |        |                   
3858|HD 237239B                                                                                                                                                                     |Star                               |04 18 07.434136 +59 05 52.93769        |146.838151393 +06.188153963        |      -7.3 -0.5   |10.53    |~                 |    ~     ~    |    0|                |                       |        |                   
3859|HD 27160B                                                                                                                                                                      |Star                               |04 18 14.569326 +22 48 24.81800        |173.003660067 -19.372297547        |     -4.8 -26.7   |8.38     |~                 |    ~     ~    |    0|                |                       |        |                   
3860|TYC 4065-1647-2                                                                                                                                                                |Star                               |04 18 35.830 +60 29 37.38              |145.892022 +07.221849              |     19.7 -12.1   |8.49     |~                 |    ~     ~    |    0|                |                       |        |                   
3861|TYC 77-436-2                                                                                                                                                                   |Star                               |04 18 41.809 +04 45 02.57              |188.574076 -30.699888              |     13.2 -17.2   |9.54     |~                 |    ~     ~    |    0|                |                       |        |                   
3862|TYC 4065-1109-2                                                                                                                                                                |Star                               |04 18 37.6354882152 +60 49 59.260940076|145.6533495473465 +07.4651188765195| 16.684 -30.684   |10.09    |~                 |    ~     ~    |    1|  165.989   pc  |  -0.3885     +0.3885  |paral   |2020yCat.1350....0G
3863|HD 284347B                                                                                                                                                                     |Star                               |04 20 18.150697 +19 37 14.50926        |175.881453560 -21.131210303        |      4.4 -11.6   |10.85    |~                 |    ~     ~    |    0|                |                       |        |                   
3864|HD 276227B                                                                                                                                                                     |Star                               |04 20 20.434065 +43 25 38.21196        |158.102272652 -04.730332906        |       -2.9 3.4   |10.88    |~                 |    ~     ~    |    0|                |                       |        |                   
3865|TYC 1820-595-2                                                                                                                                                                 |Star                               |04 20 37.301 +24 29 49.19              |172.070642 -17.832394              |       -7.9 0.6   |10.78    |~                 |    ~     ~    |    0|                |                       |        |                   
3866|TYC 3341-89-2                                                                                                                                                                  |Star                               |04 22 29.767 +51 36 22.75              |152.574744 +01.313680              |      -3.6 -1.2   |9.43     |~                 |    ~     ~    |    0|                |                       |        |                   
3867|TYC 1820-353-2                                                                                                                                                                 |High Proper Motion Star            |04 23 32.2454463456 +25 20 05.142163956|171.8851587376004 -16.7800067517163| 47.024 -30.440   |10.87    |~                 |    ~     ~    |    1|  249.215   pc  |  -1.1179     +1.1179  |paral   |2020yCat.1350....0G
3868|HD 27650B                                                                                                                                                                      |Star                               |04 23 35.837336 +42 25 40.04874        |159.235760882 -05.011074587        |     20.8 -34.6   |8.37     |~                 |    ~     ~    |    0|                |                       |        |                   
3869|TYC 2372-172-2                                                                                                                                                                 |Star                               |04 24 27.167 +30 07 28.72              |168.366734 -13.396547              |     -2.7 -10.6   |9.95     |~                 |    ~     ~    |    0|                |                       |        |                   
3870|TYC 4073-1232-2                                                                                                                                                                |Star                               |04 24 30.915 +64 09 50.98              |143.723366 +10.279507              |      -3.5 -2.8   |10.57    |~                 |    ~     ~    |    0|                |                       |        |                   
3871|TYC 680-719-2                                                                                                                                                                  |Star                               |04 24 39.721 +13 45 24.40              |181.484320 -24.086509              |     -17.8 20.7   |10.05    |~                 |    ~     ~    |    0|                |                       |        |                   
3872|TYC 680-212-2                                                                                                                                                                  |Star                               |04 25 17.381 +14 36 10.66              |180.866573 -23.438801              |     -10.5 -5.2   |10.51    |~                 |    ~     ~    |    0|                |                       |        |                   
3873|HD 27696B                                                                                                                                                                      |Star                               |04 25 22.203050 +56 22 42.92222        |149.462355693 +04.960271375        |     -11.5 -2.6   |9.02     |~                 |    ~     ~    |    0|                |                       |        |                   
3874|HD 284468B                                                                                                                                                                     |Star                               |04 25 30.101150 +19 41 34.04995        |176.675923000 -20.156133764        |      11.2 -7.1   |9.78     |~                 |    ~     ~    |    0|                |                       |        |                   
3875|HD 27922B                                                                                                                                                                      |Star                               |04 25 36.421654 +32 09 31.55462        |167.012899544 -11.830247270        |       5.6 46.4   |9.73     |~                 |    ~     ~    |    0|                |                       |        |                   
3876|HD 279822B                                                                                                                                                                     |Star                               |04 26 12.405069 +35 44 22.10600        |164.444268977 -09.288235372        |      9.7 -33.7   |9.91     |~                 |    ~     ~    |    0|                |                       |        |                   
3877|HD 27856B                                                                                                                                                                      |Star                               |04 26 46.1664190004 +55 38 38.205721442|150.1290041398117 +04.5906658951502|  -10.544 4.071   |8.69     |~                 |    ~     ~    |    1|  162.23    pc  |  -1.6580     +1.6580  |paral   |2020yCat.1350....0G
3878|TYC 4329-2591-2                                                                                                                                                                |Star                               |04 27 27.670 +68 20 21.20              |140.805611 +13.339574              |     -0.5 -46.2   |10.60    |~                 |    ~     ~    |    0|                |                       |        |                   
3879|TYC 2887-2284-2                                                                                                                                                                |Star                               |04 27 48.152 +42 22 14.16              |159.818836 -04.493048              |        0.4 0.0   |10.53    |~                 |    ~     ~    |    0|                |                       |        |                   
3880|HD 28098B                                                                                                                                                                      |Star                               |04 28 22.948762 +49 13 53.84917        |154.929018855 +00.325591196        |     28.0 -25.2   |9.22     |~                 |    ~     ~    |    0|                |                       |        |                   
3881|TYC 3732-43-2                                                                                                                                                                  |Star                               |04 28 40.160 +53 54 38.03              |151.574460 +03.590186              |     19.3 -41.2   |9.09     |~                 |    ~     ~    |    0|                |                       |        |                   
3882|TYC 2883-2206-2                                                                                                                                                                |Star                               |04 28 56.094 +41 03 26.00              |160.920294 -05.244818              |       2.7 -8.4   |10.16    |~                 |    ~     ~    |    0|                |                       |        |                   
3883|TYC 4514-2203-2                                                                                                                                                                |Star                               |04 29 10.172395 +77 29 49.13553        |133.696116411 +19.457026471        |       1.3 -2.6   |10.62    |~                 |    ~     ~    |    0|                |                       |        |                   
3884|TYC 2891-2574-2                                                                                                                                                                |Star                               |04 29 22.562 +44 07 15.41              |158.746397 -03.078570              |       -5.8 3.3   |10.07    |~                 |    ~     ~    |    0|                |                       |        |                   
3885|TYC 4332-1046-1                                                                                                                                                                |Star                               |04 16 35.1158242103 +70 30 45.625397604|138.5026357862422 +14.1331468909647| 19.482 -43.007   |10.819   |~                 |    ~     ~    |    1|  227.407   pc  |  -1.5617     +1.5617  |paral   |2018yCat.1345....0G
3886|TYC 4072-832-1                                                                                                                                                                 |Spectroscopic Binary               |04 17 04.1920257663 +64 08 18.484209684|143.1662720532053 +09.6810255700674|   -4.530 2.763   |10.43    |~                 |    ~     ~    |    1|  420.645   pc  |  -2.5125     +2.5125  |paral   |2020yCat.1350....0G
3887|TYC 4065-1109-1                                                                                                                                                                |Star                               |04 18 37.5875809416 +60 49 55.751921760|145.6539734025760 +07.4643593167162| 16.761 -30.534   |10.11    |~                 |    ~     ~    |    1|  165.898   pc  |  -0.4266     +0.4266  |paral   |2020yCat.1350....0G
3888|TYC 3341-89-1                                                                                                                                                                  |Star                               |04 22 29.682 +51 36 21.44              |152.574847 +01.313267              |      -3.6 -1.2   |9.44     |~                 |    ~     ~    |    0|                |                       |        |                   
3889|TYC 3337-1356-1                                                                                                                                                                |Star                               |04 23 04.8332 +49 34 13.444            |154.0843608 -00.0556278            |   0.801 -6.865   |8.86     |~                 |    ~     ~    |    0|                |                       |        |                   
3890|HD 285768                                                                                                                                                                      |Star                               |04 25 38.8059391632 +18 37 23.374443612|177.5719967754651 -20.8200007562872| 14.311 -18.291   |10.008   |K0                |    ~     ~    |    1|  345.280   pc  |  -2.3128     +2.3128  |paral   |2020yCat.1350....0G
3891|HD 27705B                                                                                                                                                                      |Star                               |04 25 53.0308185768 +60 15 24.446455488|146.6984462521039 +07.6989103339416|    4.547 0.874   |9.31     |~                 |    ~     ~    |    1|  272.294   pc  |  -1.1047     +1.1047  |paral   |2020yCat.1350....0G
3892|TYC 3740-1843-1                                                                                                                                                                |Star                               |04 29 03.6753069216 +56 58 46.231977216|149.3781143340088 +05.7419461630513| -4.287 -10.351   |10.28    |~                 |    ~     ~    |    1|  374.981   pc  |  -2.6575     +2.6575  |paral   |2020yCat.1350....0G
3893|IRAS 04143+3828                                                                                                                                                                |Star                               |04 17 41.2836124848 +38 35 23.151019884|161.1796888958449 -08.5132539784559| -0.272 -11.394   |10.80    |~                 |    ~     ~    |    1|  744.657   pc  | -16.1364    +16.1364  |paral   |2020yCat.1350....0G
3894|IRAS 04199+3958                                                                                                                                                                |Star                               |04 23 20.4553435512 +40 05 14.205124248|160.8832021113968 -06.6827859811093|   3.430 -4.227   |10.48    |~                 |    ~     ~    |    1|  950.661   pc  | -20.0634    +20.0634  |paral   |2020yCat.1350....0G
3895|IRAS 04219+4019                                                                                                                                                                |Star                               |04 25 22.9797829224 +40 26 43.537228800|160.8977225572656 -06.1538162542028|    0.221 1.342   |10.41    |~                 |    ~     ~    |    1| 1203.369   pc  | -54.8829    +54.8829  |paral   |2020yCat.1350....0G
3896|HD 276173                                                                                                                                                                      |Star                               |04 17 47.1038366616 +42 01 08.668288056|158.7624210554147 -06.0612598945735|   2.010 -1.136   |9.80     |K7                |    ~     ~    |    1| 1221.001   pc  | -43.9799    +43.9799  |paral   |2020yCat.1350....0G
3897|IRAS 04138+4631                                                                                                                                                                |Star                               |04 17 25.0339188864 +46 39 10.849735080|155.4655584714759 -02.7938170483437|  -3.959 -1.725   |10.57    |~                 |    ~     ~    |    1| 1380.643   pc  | -45.1764    +45.1764  |paral   |2020yCat.1350....0G
3898|IRAS 04131+4501                                                                                                                                                                |Long-Period Variable               |04 16 42.3254857704 +45 09 14.647976244|156.4229142830069 -03.9552142499470|   0.648 -2.935   |10.75    |~                 |    ~     ~    |    1| 1153.137   pc  | -53.0560    +53.0560  |paral   |2020yCat.1350....0G
3899|IRAS 04143+4604                                                                                                                                                                |Star                               |04 17 53.0470975080 +46 11 46.743690984|155.8424168223611 -03.0647293763580|   1.656 -1.956   |10.88    |~                 |    ~     ~    |    1| 2485.707   pc  |-177.3298   +177.3298  |paral   |2020yCat.1350....0G
3900|IRAS 04245+4630                                                                                                                                                                |Long-Period Variable Candidate     |04 28 14.5814282832 +46 36 54.796365900|156.8022765739828 -01.5013421105528|   1.360 -6.177   |10.31    |~                 |    ~     ~    |    1|  929.541   pc  | -30.76      +30.76    |paral   |2020yCat.1350....0G
3901|IRAS 04189+5023                                                                                                                                                                |Star                               |04 22 43.1475789264 +50 30 05.325272424|153.3828290033045 +00.5593045025257|  -0.674 -3.787   |10.54    |~                 |    ~     ~    |    1| 1462.416   pc  | -71.0035    +71.0035  |paral   |2020yCat.1350....0G
3902|V* AO Cam                                                                                                                                                                      |Eclipsing Binary                   |04 28 13.6471014456 +53 02 44.463885216|152.1557600892454 +02.9455694630291| 13.766 -23.676   |10.51    |G0V               |    ~     ~    |    1|  148.703   pc  |  -0.3450     +0.3450  |paral   |2020yCat.1350....0G
3903|IRAS 04229+5447                                                                                                                                                                |Star                               |04 27 00.6200494896 +54 54 27.222573384|150.6851975262891 +04.1050043223150|   0.469 -0.649   |10.73    |~                 |    ~     ~    |    1|  946.790   pc  | -18.0179    +18.0179  |paral   |2020yCat.1350....0G
3904|IRAS 04233+6639                                                                                                                                                                |Long-Period Variable Candidate     |04 28 18.2509487400 +66 46 12.741820464|142.0512839706598 +12.3429444601905|  -2.107 -0.839   |10.53    |~                 |    ~     ~    |    1| 1281.56    pc  | -36.4611    +36.4611  |paral   |2020yCat.1350....0G
3905|HD 281939                                                                                                                                                                      |Star                               |04 24 58.4259772824 +33 48 20.980474632|165.6952484480996 -10.8001326182835|  0.942 -17.826   |10.81    |G5                |    ~     ~    |    1|  775.675   pc  | -11.4318    +11.4318  |paral   |2020yCat.1350....0G
3906|TYC 3336-261-1                                                                                                                                                                 |Star                               |04 18 34.7770833048 +50 13 14.281231692|153.1118666671621 -00.1050029359995|  -1.824 -4.301   |10.09    |~                 |    ~     ~    |    1| 1162.385   pc  | -20.6724    +20.6724  |paral   |2020yCat.1350....0G
3907|V* W Tau                                                                                                                                                                       |Long-Period Variable               |04 27 57.1933099464 +16 02 36.161255400|180.0873113410743 -22.0349788671461|  -2.331 -1.568   |10.26    |M6                |    ~     ~    |    1|  477.099   pc  | -13.4753    +13.4753  |paral   |2020yCat.1350....0G
3908|HD 284315                                                                                                                                                                      |Star                               |04 20 42.7220802336 +22 22 11.640992916|173.7518412232693 -19.2410784162248|  -12.326 2.070   |10.61    |G0                |    ~     ~    |    1|  303.324   pc  |  -1.6377     +1.6377  |paral   |2020yCat.1350....0G
3909|TYC 4522-449-1                                                                                                                                                                 |Star                               |04 25 37.6796901024 +80 58 31.694164896|130.7284323283108 +21.5550181781968|   4.038 -3.219   |10.29    |~                 |    ~     ~    |    1|  910.498   pc  | -11.4403    +11.4403  |paral   |2020yCat.1350....0G
3910|HD 285694                                                                                                                                                                      |Star                               |04 18 24.0806349168 +15 43 23.162993256|178.7682865545482 -24.0109154035706|   0.220 -3.540   |10.54    |A2                |    ~     ~    |    1|  699.056   pc  |  -9.5781     +9.5781  |paral   |2020yCat.1350....0G
3911|IRAS 04238+0829                                                                                                                                                                |Star                               |04 26 36.3506316960 +08 35 49.027097256|186.3402440001429 -26.8504828831734|  -0.567 -6.497   |9.63     |~                 |    ~     ~    |    1|  711.744   pc  |  -9.2704     +9.2704  |paral   |2020yCat.1350....0G
3912|HD 28179A                                                                                                                                                                      |High Proper Motion Star            |04 28 23.2099577712 +38 26 16.483599276|162.7631622653231 -07.1197620905486| 37.627 -36.199   |9.31     |~                 |    ~     ~    |    1|  155.902   pc  |  -0.5226     +0.5226  |paral   |2020yCat.1350....0G
3913|HD 284468A                                                                                                                                                                     |Star                               |04 25 30.132358 +19 41 33.66179        |176.676094965 -20.156110234        |      11.2 -7.1   |10.22    |~                 |    ~     ~    |    0|                |                       |        |                   
3914|HD 27160A                                                                                                                                                                      |Star                               |04 18 14.545058 +22 48 24.62082        |173.003636636 -19.372403375        |     -4.8 -26.7   |8.20     |~                 |    ~     ~    |    0|                |                       |        |                   
3915|TYC 3723-54-1                                                                                                                                                                  |High Proper Motion Star            |04 18 59.528560 +55 56 11.04708        |149.150036851 +04.018445612        |     99.3 -77.5   |10.97    |~                 |    ~     ~    |    0|                |                       |        |                   
3916|HD 283522A                                                                                                                                                                     |Star                               |04 16 00.477514 +27 25 53.75334        |169.083227768 -16.589747019        |       -6.9 3.2   |10.94    |~                 |    ~     ~    |    0|                |                       |        |                   
3917|HD 27696A                                                                                                                                                                      |Star                               |04 25 22.250200 +56 22 43.33012        |149.462350043 +04.960428344        |     -11.5 -2.6   |8.62     |~                 |    ~     ~    |    0|                |                       |        |                   
3918|HD 282034A                                                                                                                                                                     |High Proper Motion Star            |04 24 45.2688006192 +30 14 30.105073320|168.3240880203066 -13.2691502890263| 91.138 -63.099   |10.26    |~                 |    ~     ~    |    1|  110.368   pc  |  -0.2875     +0.2875  |paral   |2020yCat.1350....0G
3919|TYC 3336-546-1                                                                                                                                                                 |Star                               |04 15 02.939979 +49 11 35.10754        |153.415706238 -01.240489337        |       2.8 -1.5   |10.78    |~                 |    ~     ~    |    0|                |                       |        |                   
3920|HD 276126A                                                                                                                                                                     |Star                               |04 15 02.492006 +41 41 30.73493        |158.624394435 -06.652212589        |       8.6 -8.7   |10.39    |~                 |    ~     ~    |    0|                |                       |        |                   
3921|HD 237239A                                                                                                                                                                     |Star                               |04 18 07.465408 +59 05 52.53701        |146.838277933 +06.188121720        |      -7.3 -0.5   |10.56    |~                 |    ~     ~    |    0|                |                       |        |                   
3922|HD 27108A                                                                                                                                                                      |Star                               |04 18 06.072498 +26 21 12.42306        |170.236418147 -16.991434341        |      -8.2 -3.6   |10.80    |~                 |    ~     ~    |    0|                |                       |        |                   
3923|TYC 4336-1626-1                                                                                                                                                                |Star                               |04 19 00.867107 +72 41 18.28320        |137.014162349 +15.777114962        |      9.8 -20.7   |10.97    |~                 |    ~     ~    |    0|                |                       |        |                   
3924|TYC 4073-582-1                                                                                                                                                                 |Star                               |04 19 32.664744 +64 00 45.69805        |143.450289371 +09.784007996        |     19.2 -24.7   |10.50    |~                 |    ~     ~    |    0|                |                       |        |                   
3925|HD 276227A                                                                                                                                                                     |Star                               |04 20 20.441790 +43 25 38.70700        |158.102191869 -04.730219002        |       -2.9 3.4   |10.76    |~                 |    ~     ~    |    0|                |                       |        |                   
3926|HD 284347A                                                                                                                                                                     |Star                               |04 20 18.194113 +19 37 14.53914        |175.881566829 -21.131076358        |      4.4 -11.6   |10.52    |~                 |    ~     ~    |    0|                |                       |        |                   
3927|TYC 4522-629-1                                                                                                                                                                 |Star                               |04 21 45.656676 +81 25 13.02116        |130.259767136 +21.728100580        |       5.9 -5.2   |10.98    |~                 |    ~     ~    |    0|                |                       |        |                   
3928|TYC 3723-652-1                                                                                                                                                                 |Star                               |04 25 22.698874 +54 38 23.23314        |150.714157480 +03.749683551        |    100.8 -63.8   |10.95    |~                 |    ~     ~    |    0|                |                       |        |                   
3929|TYC 2891-1938-1                                                                                                                                                                |Star                               |04 25 37.636963 +44 11 32.53271        |158.228355737 -03.514121605        |       9.6 -1.6   |10.80    |~                 |    ~     ~    |    0|                |                       |        |                   
3930|TYC 3337-82-1                                                                                                                                                                  |Star                               |04 27 10.370672 +48 58 01.05183        |154.982543391 -00.000580015        |     17.2 -21.0   |10.64    |~                 |    ~     ~    |    0|                |                       |        |                   
3931|HD 276321A                                                                                                                                                                     |Star                               |04 27 20.218715 +43 24 53.06695        |159.003597934 -03.832444059        |      -0.3 -5.4   |10.91    |~                 |    ~     ~    |    0|                |                       |        |                   
