C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:30:39

dec< 0&rah >=8.25&rah< 8.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 9790

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
73  |BD-00 1980                                                            |Star                                  |08 23 10.6701655104 -01 18 02.673016956|225.0595667791819 +19.6562224904518| -5.270 -14.385   |9.51     |~              |    ~     ~    |    1|  706.964   pc  |  -9.8960     +9.8960    |paral   |2020yCat.1350....0G
74  |TYC 4849-783-1                                                        |Star                                  |08 23 35.5755479664 -00 46 35.338679184|224.6283629594641 +20.0041804588682|  1.011 -10.541   |10.3     |~              |    ~     ~    |    1|  763.942   pc  | -12.3725    +12.3725    |paral   |2020yCat.1350....0G
75  |TYC 4849-363-1                                                        |Star                                  |08 25 43.9757612952 -00 26 26.795342400|224.5959861694416 +20.6350289673433|  -11.599 1.788   |10.4     |~              |    ~     ~    |    1|  838.434   pc  | -14.6218    +14.6218    |paral   |2020yCat.1350....0G
76  |HD 69096                                                              |Star                                  |08 15 25.4421355680 -00 05 14.901809964|222.9392877803722 +18.5538844187268|    0.735 5.157   |8.35     |K4III          |    ~     ~    |    1|  783.024   pc  | -17.3515    +17.3515    |paral   |2020yCat.1350....0G
77  |BD+00 2281                                                            |Star                                  |08 23 05.4475139976 -00 00 34.275123180|223.8501563109403 +20.2690549336627| -16.434 -1.643   |10.8     |A2             |    ~     ~    |    1| 1081.081   pc  | -44.0614    +44.0614    |paral   |2020yCat.1350....0G
78  |HD 70957                                                              |High Proper Motion Star               |08 24 48.5105972088 -00 08 24.454424220|224.1950665504030 +20.5804908597068|-49.798 -112.675  |8.13     |G0V            |    ~     ~    |    1|   94.767   pc  |  -0.2919     +0.2919    |paral   |2020yCat.1350....0G
79  |HD 70435                                                              |Star                                  |08 22 03.6805682568 -00 09 36.278964216|223.8570226931091 +19.9709595040493| -12.989 -1.340   |7.76     |K0III          |    ~     ~    |    1|  216.422   pc  |  -0.8618     +0.8618    |paral   |2020yCat.1350....0G
80  |BD+00 2274                                                            |Star                                  |08 21 47.7691388064 -00 03 43.943856660|223.7317388565304 +19.9605630108468|-11.329 -14.080   |10.15    |~              |    ~     ~    |    1|  623.441   pc  |  -5.7913     +5.7913    |paral   |2020yCat.1350....0G
81  |BD+00 2284                                                            |Star                                  |08 23 12.9268462272 -00 01 18.231892068|223.8776849506819 +20.2903502740991|  -4.992 -3.577   |10.7     |~              |    ~     ~    |    1|  308.299   pc  |  -1.5018     +1.5018    |paral   |2020yCat.1350....0G
82  |IRAS 08196-0023                                                       |Long-Period Variable                  |08 22 12.2585903184 -00 33 29.292114960|224.2452157342583 +19.8082434390029|  -0.186 -1.227   |9.6      |~              |    ~     ~    |    1| 1784.440   pc  |-120.3637   +120.3637    |paral   |2020yCat.1350....0G
83  |TYC 4848-17-1                                                         |Spectroscopic Binary                  |08 20 08.7289423992 -01 40 05.395468872|225.0033036558146 +18.8156940111508|  -14.977 4.326   |10.86    |~              |    ~     ~    |    1|  208.325   pc  |  -0.8376     +0.8376    |paral   |2020yCat.1350....0G
84  |TYC 4848-22-1                                                         |Star                                  |08 16 54.3064447896 -01 52 18.597354960|224.7711800764207 +18.0103363978632|  -2.815 -7.055   |10.90    |~              |    ~     ~    |    1|  765.873   pc  |  -7.2734     +7.2734    |paral   |2020yCat.1350....0G
85  |TYC 4848-117-1                                                        |Star                                  |08 21 15.7396475040 -01 39 37.841131728|225.1415086128666 +19.0623987930371| -18.262 -2.578   |10.09    |~              |    ~     ~    |    1|  237.400   pc  |  -5.6190     +5.6190    |paral   |2020yCat.1350....0G
86  |TYC 4848-221-1                                                        |High Proper Motion Star               |08 15 06.2175123768 -01 48 26.507582460|224.4806356642960 +17.6493939322950| 33.541 -61.899   |10.76    |~              |    ~     ~    |    1|  161.394   pc  |  -0.4923     +0.4923    |paral   |2020yCat.1350....0G
87  |TYC 4848-232-1                                                        |Star                                  |08 16 13.9299213000 -01 48 52.561361880|224.6321288519168 +17.8918000977768|  -3.954 -0.610   |10.90    |~              |    ~     ~    |    1|  568.796   pc  |  -6.9235     +6.9235    |paral   |2020yCat.1350....0G
88  |TYC 4848-337-1                                                        |Star                                  |08 21 07.6380712344 -01 43 57.856783260|225.1904022487968 +18.9974468453208| -12.960 -6.153   |10.36    |~              |    ~     ~    |    1|  358.976   pc  |  -2.5515     +2.5515    |paral   |2020yCat.1350....0G
89  |TYC 4848-390-1                                                        |Star                                  |08 21 40.4474653272 -01 44 41.325988956|225.2728029510984 +19.1103664067296|  -12.032 7.588   |10.97    |~              |    ~     ~    |    1| 1058.649   pc  | -14.2334    +14.2334    |paral   |2020yCat.1350....0G
90  |TYC 4848-395-1                                                        |Star                                  |08 19 23.3550041856 -01 44 35.959305732|224.9742849037113 +18.6141886616497|   6.143 -8.486   |10.93    |~              |    ~     ~    |    1|  366.059   pc  |  -2.5594     +2.5594    |paral   |2020yCat.1350....0G
91  |TYC 4848-422-1                                                        |Star                                  |08 15 38.0281488696 -01 37 55.789166820|224.3880998682192 +17.8505904399307| 16.342 -11.796   |10.32    |~              |    ~     ~    |    1|  254.201   pc  |  -1.2213     +1.2213    |paral   |2020yCat.1350....0G
92  |TYC 4848-462-1                                                        |Star                                  |08 15 44.2974857184 -01 37 22.546489548|224.3930339174081 +17.8778857703983|  3.353 -13.583   |10.57    |~              |    ~     ~    |    1|  425.152   pc  |  -3.2897     +3.2897    |paral   |2020yCat.1350....0G
93  |TYC 4848-510-1                                                        |Spectroscopic Binary                  |08 17 04.6643898360 -01 15 20.957016060|224.2278491490486 +18.3492471456469|   -7.699 0.057   |10.61    |~              |    ~     ~    |    1|  848.320   pc  | -14.9687    +14.9687    |paral   |2020yCat.1350....0G
94  |TYC 4848-604-1                                                        |Star                                  |08 15 40.5365387400 -01 16 53.187232872|224.0716169650494 +18.0307514820795|  -5.407 -3.043   |9.88     |~              |    ~     ~    |    0|                |                         |        |                   
95  |TYC 4848-828-1                                                        |Star                                  |08 15 44.7373874304 -01 09 00.824350068|223.9600038198717 +18.1098962695003|-20.529 -11.014   |10.49    |~              |    ~     ~    |    1|  297.203   pc  |  -1.4928     +1.4928    |paral   |2020yCat.1350....0G
96  |TYC 4848-839-1                                                        |Star                                  |08 17 02.8448381496 -01 20 21.702569460|224.3007677604110 +18.3018660710065|  -1.929 -2.417   |10.69    |~              |    ~     ~    |    1|  690.131   pc  | -25.6239    +25.6239    |paral   |2020yCat.1350....0G
97  |TYC 4848-869-1                                                        |Star                                  |08 18 16.0864999536 -01 23 30.962307696|224.5062587866414 +18.5423496306749|  1.227 -13.820   |9.87     |~              |    ~     ~    |    1|  664.673   pc  |  -6.7594     +6.7594    |paral   |2020yCat.1350....0G
98  |TYC 4848-907-1                                                        |High Proper Motion Star               |08 16 26.9766070344 -01 09 31.212676620|224.0579028282992 +18.2595050208601| -42.235 41.572   |10.88    |~              |    ~     ~    |    1|  249.869   pc  |  -0.9927     +0.9927    |paral   |2020yCat.1350....0G
