C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:21:03

dec >=0&rah >=1.0&rah< 1.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4690

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
75  |TYC 2811-1011-1                                                                                          |Star                                |01 04 03.3879264960 +44 12 50.028459804|125.3170680685860 -18.5994048361821|    1.999 7.054    |9.65     |~                   |    ~     ~    |    1| 1921.968   pc  | -70.1853    +70.1853  |paral   |2020yCat.1350....0G
76  |TYC 2811-1044-1                                                                                          |High Proper Motion Star             |01 07 42.5572197048 +44 54 45.069026184|125.9574969577015 -17.8636189425716|  43.402 -8.321    |10.47    |~                   |    ~     ~    |    1|  164.946   pc  |  -3.3193     +3.3193  |paral   |2020yCat.1350....0G
77  |TYC 2811-1079-1                                                                                          |High Proper Motion Star             |01 07 08.0786720352 +44 10 58.938983256|125.9000845180546 -18.5982276077586|   86.214 4.899    |10.15    |~                   |    ~     ~    |    1|  187.878   pc  |  -0.5859     +0.5859  |paral   |2020yCat.1350....0G
78  |TYC 2811-1198-1                                                                                          |Star                                |01 00 38.4965516088 +44 26 57.103192320|124.6627026702866 -18.3916203643023|  -2.840 -0.202    |10.03    |~                   |    ~     ~    |    1| 1020.512   pc  | -20.8289    +20.8289  |paral   |2020yCat.1350....0G
79  |TYC 2811-1220-1                                                                                          |Star                                |01 05 29.0227869480 +44 23 59.993558772|125.5752102281748 -18.3996494179558|   8.076 -6.044    |10.60    |~                   |    ~     ~    |    1|  741.950   pc  | -24.4968    +24.4968  |paral   |2020yCat.1350....0G
80  |TYC 2811-1250-1                                                                                          |Spectroscopic Binary                |01 03 26.5411404048 +44 23 19.322579184|125.1920510243761 -18.4303603637858|   -8.667 1.650    |10.67    |~                   |    ~     ~    |    1|  189.433   pc  |  -0.7141     +0.7141  |paral   |2020yCat.1350....0G
81  |TYC 2811-1428-1                                                                                          |Star                                |01 01 58.0723586544 +44 56 29.017340628|124.8896502562562 -17.8903233870487|  -5.013 -1.151    |10.82    |~                   |    ~     ~    |    1|  419.445   pc  |  -3.0437     +3.0437  |paral   |2020yCat.1350....0G
82  |TYC 2811-1464-1                                                                                          |Star                                |01 00 30.8382235488 +44 50 54.151979244|124.6231290519736 -17.9935666167973| -10.568 -6.598    |10.57    |~                   |    ~     ~    |    1|  850.412   pc  |  -9.2570     +9.2570  |paral   |2020yCat.1350....0G
83  |TYC 2811-1519-1                                                                                          |Star                                |01 01 52.2227180496 +44 08 29.488900992|124.9074712901658 -18.6902020652662|   9.779 -9.199    |10.39    |~                   |    ~     ~    |    0|                |                       |        |                   
84  |TYC 2811-1540-1                                                                                          |Star                                |01 07 53.9992768752 +44 21 24.338499876|126.0321983572609 -18.4158680350952| -22.886 -2.618    |10.54    |~                   |    ~     ~    |    1|  397.852   pc  |  -2.4059     +2.4059  |paral   |2020yCat.1350....0G
85  |TYC 2811-1600-1                                                                                          |Star                                |01 07 07.6220494440 +44 34 06.137021820|125.8725917585854 -18.2137764209687|   5.836 -9.635    |10.43    |~                   |    ~     ~    |    1|  416.701   pc  |  -2.8824     +2.8824  |paral   |2020yCat.1350....0G
86  |TYC 2811-1672-1                                                                                          |Star                                |01 08 15.1786246704 +44 06 25.929710820|126.1166573871160 -18.6605414629202|  3.701 -19.862    |10.71    |~                   |    ~     ~    |    1|  673.174   pc  |  -6.7068     +6.7068  |paral   |2020yCat.1350....0G
87  |TYC 2811-2179-1                                                                                          |Star                                |01 04 20.1749119392 +43 52 25.585626756|125.3888840923683 -18.9364327614508|   5.478 -8.269    |9.32     |~                   |    ~     ~    |    1|  982.029   pc  | -22.8558    +22.8558  |paral   |2020yCat.1350....0G
88  |TYC 2811-2226-1                                                                                          |Star                                |01 02 41.7628974792 +44 03 39.613339008|125.0676129398743 -18.7640539988077|-13.768 -12.469    |10.17    |~                   |    ~     ~    |    1|  309.521   pc  |  -1.6766     +1.6766  |paral   |2020yCat.1350....0G
89  |TYC 2811-2263-1                                                                                          |Star                                |01 01 38.9927242704 +43 57 24.923002356|124.8739120682384 -18.8763152046053|  -7.164 -4.949    |9.79     |~                   |    ~     ~    |    1|  426.130   pc  |  -3.6681     +3.6681  |paral   |2020yCat.1350....0G
90  |TYC 2811-2306-1                                                                                          |Star                                |01 06 42.4056233400 +43 57 22.528037340|125.8342877609659 -18.8294269220263|   1.727 -3.200    |10.26    |~                   |    ~     ~    |    1| 1486.105   pc  | -41.0782    +41.0782  |paral   |2020yCat.1350....0G
91  |TYC 2812-265-1                                                                                           |High Proper Motion Star             |01 10 35.7610751448 +44 59 25.672542972|126.4866233491092 -17.7490127640695| 38.356 -31.515    |10.87    |~                   |    ~     ~    |    1|  121.111   pc  |  -0.2259     +0.2259  |paral   |2020yCat.1350....0G
