C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:58

dec< 0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2350

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
63  |TYC 7544-334-1                                                                                           |Star                                |01 20 16.4949360336 -41 43 52.295873232|282.7514984477765 -74.2479556340759|   5.287 -1.784   |10.980   |~                 |    ~     ~    |    1|  160.718   pc  |  -1.6390     +1.6390  |ST-L    |2020AJ....160...83S
64  |TYC 7544-527-1                                                                                           |Star                                |01 27 31.6742896992 -41 54 18.527766660|278.6948931020289 -73.4820381089023|  43.778 -8.697   |10.81    |~                 |    ~     ~    |    1|  241.639   pc  |  -0.8175     +0.8175  |paral   |2020yCat.1350....0G
65  |TYC 7544-596-1                                                                                           |Star                                |01 25 53.9856956880 -42 15 28.579334868|280.2137535023850 -73.3164030649465|   0.329 -2.513   |10.72    |~                 |    ~     ~    |    1|  305.452   pc  |  -5.1710     +5.1710  |ST-L    |2020AJ....160...83S
66  |TYC 7544-783-1                                                                                           |Star                                |01 21 00.1710410856 -41 07 33.128715324|281.3308165908845 -74.7386831793154|   16.403 2.474   |10.84    |~                 |    ~     ~    |    1|  345.913   pc  |  -2.3333     +2.3333  |paral   |2020yCat.1350....0G
67  |TYC 7544-978-1                                                                                           |Star                                |01 23 10.6152702912 -41 29 38.498811360|280.5733401114089 -74.2276403806039|   39.830 6.394   |10.971   |~                 |    ~     ~    |    1|  380.285   pc  | -12.5000    +12.5000  |ST-L    |2020AJ....160...83S
68  |TYC 7544-1139-1                                                                                          |High Proper Motion Star             |01 28 07.5350329704 -41 32 02.537458296|277.6958769823991 -73.7480244332340|  56.880 55.250   |10.788   |~                 |    ~     ~    |    1|   98.520   pc  |  -1.6690     +1.6690  |ST-L    |2020AJ....160...83S
69  |TYC 7547-219-1                                                                                           |Star                                |01 23 49.9365467016 -42 54 54.964793520|282.3940148066878 -72.8973514629598|  24.990 -3.628   |10.95    |~                 |    ~     ~    |    1|  632.683   pc  | -24.3800    +24.3800  |ST-L    |2020AJ....160...83S
70  |HD 7619                                                                                                  |Star                                |01 15 33.9400261896 -38 13 08.629031712|279.9162889474510 -77.8098679389092|  34.065 18.805   |9.77     |F8V               |    ~     ~    |    1|  199.156   pc  |  -1.9830     +1.9830  |ST-L    |2020AJ....160...83S
71  |HD 7753                                                                                                  |Star                                |01 16 40.0391092416 -38 07 11.093567664|278.7894509141989 -77.8003677587912|    8.680 2.529   |7.87     |K4III             |    ~     ~    |    1|  429.830   pc  |  -3.6581     +3.6581  |paral   |2020yCat.1350....0G
72  |CD-38 455                                                                                                |Star                                |01 17 53.3202371712 -37 47 17.941791660|277.0269695902753 -77.9766666939222|   15.564 8.529   |10.693   |G0                |    ~     ~    |    1|  196.270   pc  |  -2.6700     +2.6700  |ST-L    |2020AJ....160...83S
73  |HD 7690                                                                                                  |Star                                |01 16 09.4677543624 -38 42 24.106804956|280.4285935010185 -77.3209336614928|-17.358 -28.600   |9.51     |G3V               |    ~     ~    |    1|   90.059   pc  |  -0.1371     +0.1371  |paral   |2020yCat.1350....0G
74  |CD-39 356                                                                                                |Star                                |01 17 51.9695297112 -38 36 44.479076076|278.8823112753862 -77.2549509288903|   8.667 -4.215   |10.96    |B8                |    ~     ~    |    1| 1668.540   pc  |-195.4000   +195.4000  |ST-L    |2020AJ....160...83S
75  |HD 7933                                                                                                  |Star                                |01 18 19.7306869800 -39 00 45.630003240|279.3495526236985 -76.8581777692082|  3.375 -16.374   |10.07    |F5V               |    ~     ~    |    1|  302.691   pc  |  -1.9974     +1.9974  |paral   |2020yCat.1350....0G
76  |HD 7777                                                                                                  |Star                                |01 16 50.6097074184 -39 32 05.024027724|281.4687947359970 -76.5159820049732|  -2.446 27.265   |7.97     |G8III             |    ~     ~    |    1|  333.045   pc  |  -7.6534     +7.6534  |paral   |2020yCat.1350....0G
77  |V* AD Phe                                                                                                |Eclipsing Binary                    |01 16 38.0703906768 -39 42 31.330964628|281.9353242890157 -76.3748032356205|  -3.105 22.894   |10.47    |F9/G0V            |    ~     ~    |    1|  199.915   pc  |  -2.2470     +2.2470  |ST-L    |2020AJ....160...83S
78  |CD-38 438                                                                                                |Star                                |01 15 19.5016074168 -38 07 33.572440884|279.9220932455712 -77.9142594740376|-21.488 -13.210   |10.370   |F0                |    ~     ~    |    1|  549.721   pc  | -19.4700    +19.4700  |ST-L    |2020AJ....160...83S
79  |HD 7643                                                                                                  |Star                                |01 15 45.4804677120 -39 57 10.267524936|283.0023687836423 -76.2197612665473|  41.893 11.278   |8.27     |F3V               |    ~     ~    |    1|  196.835   pc  |  -0.7671     +0.7671  |paral   |2020yCat.1350....0G
80  |HD 7841                                                                                                  |Star                                |01 17 29.8858949616 -39 54 00.720600552|281.6380031403403 -76.1315150223225| 27.693 -27.035   |8.18     |K2IIICNII         |    ~     ~    |    1|  272.198   pc  |  -1.4077     +1.4077  |paral   |2020yCat.1350....0G
81  |HD 7955                                                                                                  |High Proper Motion Star             |01 18 23.6926774200 -40 06 17.093710476|281.3542536806276 -75.8734001626966|-46.022 -33.368   |8.23     |G8III             |    ~     ~    |    1|  302.838   pc  |  -1.7425     +1.7425  |paral   |2020yCat.1350....0G
82  |CD-38 435                                                                                                |Spectroscopic Binary                |01 15 12.6569745168 -38 13 48.046622160|280.2356422350737 -77.8306909080117|  35.395 -3.080   |10.192   |~                 |    ~     ~    |    1|  190.396   pc  |  -1.9250     +1.9250  |ST-L    |2020AJ....160...83S
83  |CD-40 301                                                                                                |Star                                |01 18 15.1730725896 -39 25 03.922790448|280.2007989941382 -76.5034146016531|  32.369 17.743   |10.52    |~                 |    ~     ~    |    0|                |                       |        |                   
84  |CD-39 337                                                                                                |High Proper Motion Star             |01 15 11.3627 -38 31 18.969            |280.8461255 -77.5692995            |      32.5 54.7   |10.68    |~                 |    ~     ~    |    0|                |                       |        |                   
85  |CD-38 454                                                                                                |High Proper Motion Star             |01 17 51.5831071080 -38 09 52.822766808|277.9159298776922 -77.6503708124347|-78.476 -91.899   |10.42    |~                 |    ~     ~    |    1|  113.091   pc  |  -0.2584     +0.2584  |paral   |2020yCat.1350....0G
86  |GSPC S296-A                                                                                              |Star                                |01 17 29.6 -39 54 00                   |281.6411 -76.1321                  |            ~ ~   |8.18     |~                 |    ~     ~    |    0|                |                       |        |                   
87  |GSPC S296-B                                                                                              |Star                                |01 18 15.3 -40 01 24                   |281.3104 -75.9584                  |            ~ ~   |10.13    |~                 |    ~     ~    |    0|                |                       |        |                   
