C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:35:42

dec >=0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3354

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
79  |TYC 4575-802-1                                                                                                                              |Star                                |16 27 36.8192253576 +80 19 55.917205932|113.6567408181274 +32.4977078224105| -11.066 -2.501   |10.78    |~              |    ~     ~    |    1|  224.497   pc  |  -5.5590     +5.5590  |paral   |2020yCat.1350....0G
80  |TYC 4575-888-1                                                                                                                              |Star                                |16 26 39.5816094840 +80 17 36.949906032|113.6425120242586 +32.5520824834793|  -18.815 1.846   |10.53    |~              |    ~     ~    |    1|  210.309   pc  |  -0.5927     +0.5927  |paral   |2020yCat.1350....0G
81  |TYC 4571-954-1                                                                                                                              |Star                                |16 26 52.9485071016 +78 07 05.187936612|111.4081187900415 +33.6612101321481| -19.918 39.854   |10.65    |~              |    ~     ~    |    1|  216.633   pc  |  -0.4646     +0.4646  |paral   |2020yCat.1350....0G
82  |BD+83 479                                                                                                                                   |Star                                |16 20 05.9623774896 +83 16 51.188158272|116.7357939193131 +31.1127574973824| -21.936 34.034   |10.47    |G0             |    ~     ~    |    1|  292.406   pc  |  -1.1457     +1.1457  |paral   |2020yCat.1350....0G
83  |BD+82 486                                                                                                                                   |Star                                |16 15 29.3624106840 +82 26 55.931217036|116.0359564559968 +31.7093659686006|  -0.016 -5.598   |10.37    |K5             |    ~     ~    |    1| 1252.976   pc  | -18.2114    +18.2114  |paral   |2020yCat.1350....0G
84  |BD+82 487                                                                                                                                   |Star                                |16 17 14.5987657080 +81 54 20.570890644|115.4731553159163 +31.9739274006788|    0.080 0.206   |10.50    |K0             |    ~     ~    |    1|  934.929   pc  |  -9.7024     +9.7024  |paral   |2020yCat.1350....0G
85  |BD+82 488                                                                                                                                   |Star                                |16 17 52.4291812152 +82 01 48.378713160|115.5786743040140 +31.8848303766722|  -2.315 -4.600   |10.37    |K0             |    ~     ~    |    1|  579.173   pc  |  -3.7569     +3.7569  |paral   |2020yCat.1350....0G
86  |BD+82 489                                                                                                                                   |Star                                |16 20 59.2437437280 +82 04 55.859412540|115.5577852657099 +31.7666380248945| -5.680 -46.522   |10.48    |G0             |    ~     ~    |    1|  166.920   pc  |  -0.3371     +0.3371  |paral   |2020yCat.1350....0G
87  |BD+82 491                                                                                                                                   |Star                                |16 22 03.5919039840 +82 36 22.142005200|116.0445338548245 +31.4442043632795| -17.667 22.369   |10.10    |K0             |    ~     ~    |    1|  657.333   pc  |  -5.6171     +5.6171  |paral   |2020yCat.1350....0G
88  |BD+82 490                                                                                                                                   |Star                                |16 22 34.5472446768 +81 49 02.955295884|115.2623322200044 +31.8672642702104|  -20.483 5.127   |10.74    |G5             |    ~     ~    |    1|  247.488   pc  |  -1.3720     +1.3720  |paral   |2020yCat.1350....0G
89  |BD+81 547                                                                                                                                   |Star                                |16 15 25.1492951880 +81 13 31.102290300|114.8591735325667 +32.4183073381372|    2.700 9.666   |10.14    |G5             |    ~     ~    |    1|  738.771   pc  |  -6.0582     +6.0582  |paral   |2020yCat.1350....0G
90  |HD 148781                                                                                                                                   |Star                                |16 17 39.5742057216 +80 56 57.744693708|114.5316269356573 +32.5036708746354|   29.806 0.324   |8.08     |G5             |    ~     ~    |    1|  218.212   pc  |  -2.4856     +2.4856  |paral   |2020yCat.1350....0G
91  |BD+81 551                                                                                                                                   |Star                                |16 18 00.7507552344 +81 28 04.823559768|115.0294995575152 +32.1999185657734|  -9.199 -3.053   |8.98     |K2             |    ~     ~    |    1|  753.864   pc  |  -9.3203     +9.3203  |paral   |2020yCat.1350....0G
92  |BD+81 553                                                                                                                                   |Star                                |16 23 36.2857007976 +81 26 14.190140868|114.8631823596219 +32.0441044093853|  10.539 -9.765   |10.05    |K0             |    ~     ~    |    1|  755.173   pc  |  -6.7294     +6.7294  |paral   |2020yCat.1350....0G
93  |BD+81 554                                                                                                                                   |Star                                |16 23 52.5490320312 +81 25 17.826531420|114.8412026520297 +32.0441382334959|  -2.498 -9.780   |10.01    |G5             |    ~     ~    |    1|  683.293   pc  |  -5.0424     +5.0424  |paral   |2020yCat.1350....0G
94  |HD 150482                                                                                                                                   |Star                                |16 26 41.2434342912 +81 53 13.751560428|115.2379986150992 +31.7071174875843| -22.164 39.423   |9.14     |F5             |    ~     ~    |    1|  237.863   pc  |  -2.4329     +2.4329  |paral   |2020yCat.1350....0G
95  |TYC 4579-510-1                                                                                                                              |Star                                |16 27 09.9382024560 +80 51 33.900852780|114.2001035497384 +32.2375773522127| -17.924 26.730   |10.81    |~              |    ~     ~    |    1|  625.586   pc  |  -3.7962     +3.7962  |paral   |2020yCat.1350....0G
96  |TYC 4579-694-1                                                                                                                              |Spectroscopic Binary                |16 16 26.9872134624 +81 03 19.576569996|114.6670486698389 +32.4826899749163|  -3.339 -1.471   |10.73    |~              |    ~     ~    |    1|  286.779   pc  |  -2.3028     +2.3028  |paral   |2020yCat.1350....0G
