C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:53:05

Vmag< 11&dec >=0&rah >=2.25&rah< 2.5
------------------------------------

Number of objects : 4895

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
4293|TYC 637-1196-1                                                                                           |High Proper Motion Star       |02 15 52.7286658008 +13 51 20.779924392|152.1142562249544 -44.1790333038479| 55.214 -10.802   |10.99    |~                 |    ~     ~    
4294|TYC 638-63-1                                                                                             |Star                          |02 29 23.6467522824 +14 15 45.389940120|155.8135391582649 -42.2697149956462|  5.090 -11.809   |10.71    |~                 |    ~     ~    
4295|TYC 638-221-1                                                                                            |Star                          |02 23 34.1523427488 +14 09 21.618992952|154.2081968176447 -43.0511380919629| -0.567 -34.363   |10.97    |~                 |    ~     ~    
4296|TYC 638-243-1                                                                                            |Star                          |02 25 56.2189640928 +14 50 06.029366388|154.4499731648281 -42.1806039917684|   0.744 -9.559   |10.94    |~                 |    ~     ~    
4297|TYC 638-263-1                                                                                            |Star                          |02 29 47.0472411816 +14 36 15.859834056|155.6944264322619 -41.9263054930961|   0.027 -6.271   |10.70    |~                 |    ~     ~    
4298|TYC 638-423-1                                                                                            |Star                          |02 27 33.7299060552 +14 26 58.865710092|155.1670760822377 -42.3264557339884|   4.235 15.311   |10.99    |~                 |    ~     ~    
4299|TYC 638-487-1                                                                                            |Star                          |02 24 47.8444140384 +13 53 34.097835696|154.7390778840360 -43.1391014050482|  -5.311 -0.593   |10.85    |~                 |    ~     ~    
4300|TYC 638-505-1                                                                                            |Star                          |02 27 38.5973056896 +14 54 05.557452120|154.8923245611036 -41.9226790066754|  -3.079 -7.487   |10.80    |~                 |    ~     ~    
4301|TYC 638-518-1                                                                                            |Star                          |02 29 10.7611248744 +12 45 11.936694456|156.7898306515243 -43.6000836308718|   5.352 -2.117   |10.95    |~                 |    ~     ~    
4302|TYC 638-564-1                                                                                            |Star                          |02 27 08.8286410440 +12 39 00.428128380|156.2695219837935 -43.9393737883441| 18.987 -28.364   |10.95    |~                 |    ~     ~    
4303|TYC 638-625-1                                                                                            |Star                          |02 24 40.1562888384 +14 28 57.794831652|154.3146856737568 -42.6368264801682|  -7.247 -9.608   |10.65    |~                 |    ~     ~    
4304|TYC 1214-579-1                                                                                           |Star                          |02 16 12.2789243640 +17 12 43.851025116|150.2159107035094 -41.1255111121606|   11.634 1.342   |10.85    |~                 |    ~     ~    
4305|TYC 1215-65-1                                                                                            |Star                          |02 19 40.3564343376 +17 25 05.278743804|151.0839090269243 -40.5810240912056| 10.645 -26.005   |10.68    |~                 |    ~     ~    
4306|TYC 1215-91-1                                                                                            |Star                          |02 20 48.7179193416 +17 28 13.626041880|151.3739885764828 -40.4139274598429|  -0.832 -7.314   |10.86    |~                 |    ~     ~    
4307|TYC 1215-227-1                                                                                           |Star                          |02 25 31.8036680736 +16 56 58.095313404|153.0024966776872 -40.3647379915121|   9.651 -4.851   |10.62    |~                 |    ~     ~    
4308|TYC 1215-242-1                                                                                           |Star                          |02 20 23.4752355888 +17 15 14.434601688|151.3821419911775 -40.6524353883659| -1.845 -12.008   |10.55    |~                 |    ~     ~    
4309|TYC 1215-426-1                                                                                           |Star                          |02 22 49.4490331176 +16 16 53.669017668|152.6518342254018 -41.2568405118008|   1.846 -6.677   |10.69    |~                 |    ~     ~    
4310|TYC 1215-961-1                                                                                           |Star                          |02 20 49.6636627176 +16 08 00.858987096|152.1729950212208 -41.6071554231280|-12.922 -33.667   |10.68    |~                 |    ~     ~    
4311|TYC 1215-1070-1                                                                                          |Star                          |02 20 31.0954376640 +15 30 26.484651396|152.4658009398544 -42.1989280302800|    5.331 1.857   |10.77    |~                 |    ~     ~    
4312|TYC 1215-1268-1                                                                                          |Star                          |02 27 25.2213704016 +15 14 30.869909412|154.6074227122864 -41.6513530302458| 24.017 -21.761   |10.97    |~                 |    ~     ~    
4313|TYC 1215-1298-1                                                                                          |Star                          |02 23 46.6519485168 +15 26 46.280961960|153.4416537270023 -41.8903403201670| -11.081 -6.427   |10.84    |~                 |    ~     ~    
4314|TYC 1215-1373-1                                                                                          |Star                          |02 19 30.4483953072 +16 55 04.002250368|151.3288537411301 -41.0474408725819|  -6.394 -3.408   |10.83    |~                 |    ~     ~    
4315|TYC 1215-1409-1                                                                                          |Star                          |02 18 43.5300415944 +16 19 17.605961076|151.4566493520595 -41.6649917247566|  9.350 -34.583   |10.69    |~                 |    ~     ~    
4316|TYC 1215-1505-1                                                                                          |Star                          |02 24 07.1363078952 +16 45 16.492266792|152.7279867951804 -40.6940452021559|  12.467 -5.223   |10.99    |~                 |    ~     ~    
4317|TYC 1216-39-1                                                                                            |High Proper Motion Star       |02 29 20.3158444512 +16 27 43.179735060|154.3595978714482 -40.3604434509005|  0.594 -60.263   |10.73    |~                 |    ~     ~    
4318|TYC 1216-1128-1                                                                                          |Star                          |02 29 58.9203678384 +16 47 50.620547760|154.3236149744582 -39.9923514769754|  -7.863 -5.657   |10.90    |~                 |    ~     ~    
4319|TYC 1217-1132-1                                                                                          |Star                          |02 15 40.9315945464 +17 42 26.249773932|149.7883709200810 -40.7301410724236|   4.466 -7.030   |10.92    |~                 |    ~     ~    
4320|TYC 1218-74-1                                                                                            |High Proper Motion Star       |02 24 39.5796823752 +19 22 09.006779640|151.3336179588185 -38.3075174954758|  3.394 -67.629   |10.95    |~                 |    ~     ~    
4321|TYC 1218-87-1                                                                                            |Star                          |02 23 50.6418452880 +18 58 35.073428844|151.3385718817966 -38.7449399168393|  0.156 -10.161   |10.75    |~                 |    ~     ~    
4322|TYC 1218-255-1                                                                                           |Star                          |02 20 36.2386322256 +17 34 20.090586288|151.2563684575309 -40.3446967632582|   4.549 -7.163   |10.48    |~                 |    ~     ~    
4323|TYC 1218-368-1                                                                                           |Star                          |02 22 30.6865907928 +17 54 43.608868092|151.5897885406264 -39.8380095165172|  9.263 -25.806   |10.86    |~                 |    ~     ~    
4324|TYC 1218-420-1                                                                                           |Star                          |02 28 06.7532869992 +19 35 18.583286136|152.1270890687861 -37.7420794951435|  6.824 -10.324   |10.51    |~                 |    ~     ~    
4325|TYC 1218-735-1                                                                                           |Star                          |02 28 57.9248119056 +19 30 49.569621912|152.3960150173282 -37.7153783458506|  -6.477 -9.745   |10.32    |~                 |    ~     ~    
4326|TYC 1218-749-1                                                                                           |Star                          |02 22 15.1846823016 +18 35 20.853356496|151.1269121230174 -39.2594571168123|  -9.248 -6.130   |10.79    |~                 |    ~     ~    
4327|TYC 1218-751-1                                                                                           |Star                          |02 25 43.5937484856 +19 32 36.791004660|151.5193665633179 -38.0385645191485|   11.725 1.592   |10.75    |~                 |    ~     ~    
4328|TYC 1218-763-1                                                                                           |High Proper Motion Star       |02 20 11.5105448904 +18 21 57.484549188|150.6856823176888 -39.6749642076033| 87.762 -72.550   |10.86    |~                 |    ~     ~    
4329|TYC 1218-1136-1                                                                                          |Star                          |02 19 33.5045120160 +19 12 40.170440232|150.0378236052471 -38.9780550402163|   7.298 -1.369   |10.72    |~                 |    ~     ~    
4330|TYC 1218-1442-1                                                                                          |Star                          |02 22 01.5160638360 +18 11 37.184372376|151.2917616540281 -39.6377534098497|   5.481 -7.295   |10.94    |~                 |    ~     ~    
4331|TYC 1219-233-1                                                                                           |Star                          |02 29 51.2969253288 +18 10 51.455157384|153.4301869313229 -38.7929768297269|   2.269 -6.101   |10.61    |~                 |    ~     ~    
4332|TYC 1220-20-1                                                                                            |High Proper Motion Star       |02 17 23.2319959080 +21 52 06.859324992|148.0448379583776 -36.7766015887202| 38.616 -42.864   |10.97    |~                 |    ~     ~    
4333|TYC 1220-1207-1                                                                                          |Star                          |02 17 59.3877662280 +21 14 51.048345480|148.5237022752173 -37.2857267479163|   3.429 -3.440   |10.78    |~                 |    ~     ~    
4334|TYC 1220-1454-1                                                                                          |Star                          |02 16 28.8643246896 +20 22 15.276882540|148.5737058716602 -38.2297486450617| -43.773 -1.861   |10.91    |~                 |    ~     ~    
4335|TYC 1220-1581-1                                                                                          |Star                          |02 17 52.7555835624 +21 02 25.115272800|148.6017977810127 -37.4850936246734| 19.952 -12.798   |10.71    |~                 |    ~     ~    
4336|TYC 1221-15-1                                                                                            |Star                          |02 28 37.4891811120 +20 57 28.039248108|151.4745016033826 -36.4698547377087|  0.643 -21.642   |10.84    |~                 |    ~     ~    
4337|TYC 1221-134-1                                                                                           |Star                          |02 25 20.6977237056 +20 08 37.677644952|151.0764915934925 -37.5427204033537|  -2.205 -3.617   |10.61    |~                 |    ~     ~    
4338|TYC 1221-143-1                                                                                           |Star                          |02 25 18.5958203832 +20 11 35.403422028|151.0393978435539 -37.5022321634989|  10.622 -5.475   |10.66    |~                 |    ~     ~    
4339|TYC 1221-430-1                                                                                           |Star                          |02 25 00.1032374928 +20 22 27.802525008|150.8561956099544 -37.3722145947504|  12.116 -5.603   |10.76    |~                 |    ~     ~    
4340|TYC 1221-475-1                                                                                           |Star                          |02 23 04.4094995712 +20 09 48.994045272|150.4616603985313 -37.7609586064855|   0.444 -8.670   |10.61    |~                 |    ~     ~    
4341|TYC 1221-684-1                                                                                           |Spectroscopic Binary          |02 25 57.4310827704 +20 05 51.823226472|151.2645231651738 -37.5194478346418| -2.400 -10.527   |10.61    |~                 |    ~     ~    
4342|TYC 1221-788-1                                                                                           |Star                          |02 25 14.9331744384 +21 37 57.197611992|150.2266508464465 -36.2180110233679|   2.943 -4.075   |10.83    |~                 |    ~     ~    
4343|TYC 1221-791-1                                                                                           |Star                          |02 26 34.0314323256 +21 37 56.339556060|150.5671993361876 -36.0829439189926|  20.559 -9.587   |10.53    |~                 |    ~     ~    
4344|TYC 1221-818-1                                                                                           |Star                          |02 29 04.7759487648 +21 33 03.091235724|151.2573282994151 -35.8934578751211|  -0.515 -3.509   |10.95    |~                 |    ~     ~    
4345|TYC 1221-865-1                                                                                           |Star                          |02 20 58.3301829960 +21 25 27.718325364|149.2216980321442 -36.8347832169572|  5.493 -34.268   |10.55    |~                 |    ~     ~    
4346|TYC 1221-1061-1                                                                                          |Star                          |02 25 53.9596327080 +21 57 36.005114700|150.2164129722812 -35.8575264344451|   8.001 -8.885   |10.68    |~                 |    ~     ~    
4347|TYC 1221-1221-1                                                                                          |Star                          |02 21 46.0432062192 +22 18 36.444181284|148.9641448394066 -35.9540865254575|   5.355 -5.703   |10.80    |~                 |    ~     ~    
4348|TYC 1221-1248-1                                                                                          |Star                          |02 27 40.7419720296 +22 06 36.348555276|150.5898786996889 -35.5402880361409|  -8.020 13.892   |10.89    |~                 |    ~     ~    
4349|TYC 1221-1315-1                                                                                          |Star                          |02 25 38.1370210368 +22 09 04.599012852|150.0452418643611 -35.7124785175244|  35.030 15.860   |10.81    |~                 |    ~     ~    
4350|TYC 1221-1428-1                                                                                          |Star                          |02 21 32.2292458176 +22 11 46.126923396|148.9639055256967 -36.0798980692460|  13.605 11.513   |10.91    |~                 |    ~     ~    
4351|TYC 1221-1754-1                                                                                          |Star                          |02 19 00.2421071112 +21 52 28.643296440|148.4684026119314 -36.6172040260951|  8.930 -10.217   |10.88    |~                 |    ~     ~    
4352|TYC 1221-2004-1                                                                                          |Star                          |02 26 23.2416860544 +20 04 01.975388880|151.3955269170082 -37.5011660324388|   12.827 8.872   |10.83    |~                 |    ~     ~    
4353|TYC 1222-1218-1                                                                                          |Star                          |02 29 33.4671988560 +21 10 22.737368568|151.5929041880301 -36.1790252487903|  6.253 -13.159   |10.80    |~                 |    ~     ~    
4354|TYC 1222-1419-1                                                                                          |Star                          |02 29 46.4939808480 +21 41 04.606587168|151.3597182076937 -35.7008250237471|  40.975 -7.404   |10.91    |~                 |    ~     ~    
4355|TYC 1222-2023-1                                                                                          |Star                          |02 29 45.1578890616 +20 45 54.074897604|151.8756672331129 -36.5205455476654|-13.433 -11.976   |10.33    |~                 |    ~     ~    
4356|TYC 1765-44-1                                                                                            |Star                          |02 18 59.5718453736 +23 23 45.600693828|147.6955960593226 -35.2304815182968|-10.271 -15.463   |10.70    |~                 |    ~     ~    
4357|TYC 1765-262-1                                                                                           |Star                          |02 21 13.7579396712 +24 15 14.978214072|147.8369255174871 -34.2382431735400|  -0.052 -5.163   |10.76    |~                 |    ~     ~    
4358|TYC 1765-432-1                                                                                           |Star                          |02 17 16.0098154704 +23 52 27.727976208|147.0183178667452 -34.9512020244955|  15.112 -7.441   |8.55     |~                 |    ~     ~    
4359|TYC 1765-490-1                                                                                           |Star                          |02 17 42.5286858072 +22 52 16.558377960|147.6249599652584 -35.8298010679589|   5.335 -1.225   |10.24    |~                 |    ~     ~    
4360|TYC 1765-781-1                                                                                           |Star                          |02 19 44.9133104736 +22 41 34.585469556|148.2440177267735 -35.8007923149505|   29.582 6.168   |10.91    |~                 |    ~     ~    
4361|TYC 1765-863-1                                                                                           |Star                          |02 15 36.3827941824 +23 25 20.963851212|146.8090867731837 -35.5165153971053| 22.640 -10.340   |10.41    |~                 |    ~     ~    
4362|TYC 1765-1086-1                                                                                          |Star                          |02 17 21.4351486848 +22 36 05.375815488|147.6677985944076 -36.1093473308055|  10.360 18.947   |10.84    |~                 |    ~     ~    
4363|TYC 1765-1365-1                                                                                          |Star                          |02 15 28.5648829608 +23 20 12.079936320|146.8166825662314 -35.6071667217084|  -4.703 -5.132   |10.98    |~                 |    ~     ~    
4364|TYC 1766-157-1                                                                                           |Star                          |02 22 31.0470584664 +23 35 16.733790528|148.4972708447463 -34.7221365120140|   7.994 -2.799   |10.84    |~                 |    ~     ~    
4365|BD+22 350                                                                                                |High Proper Motion Star       |02 28 12.3561060144 +23 18 35.815476456|150.0726147325027 -34.4112261302086| 59.924 -31.549   |9.59     |~                 |    ~     ~    
4366|TYC 1766-515-1                                                                                           |Star                          |02 26 48.7133864064 +23 44 18.751455960|149.4975660026861 -34.1661284497706|    7.406 1.810   |10.68    |~                 |    ~     ~    
4367|TYC 1766-1426-1                                                                                          |Star                          |02 23 57.0368790912 +24 16 15.660052500|148.5094997934933 -33.9647163660479|    1.509 7.304   |10.12    |~                 |    ~     ~    
4368|TYC 1766-1454-1                                                                                          |High Proper Motion Star       |02 24 59.1973083720 +23 10 59.939441688|149.3310987803287 -34.8478004524514| 17.363 -47.774   |10.84    |~                 |    ~     ~    
4369|TYC 1769-908-1                                                                                           |Star                          |02 17 01.2340562184 +24 45 45.203141304|146.5299889516056 -34.1573000642392|  8.027 -17.758   |10.96    |~                 |    ~     ~    
4370|TYC 1769-994-1                                                                                           |Star                          |02 20 06.7017440640 +24 50 56.082980508|147.2644631368880 -33.7987229891483|   5.189 -4.650   |10.87    |~                 |    ~     ~    
4371|TYC 1769-1010-1                                                                                          |Star                          |02 15 20.6655627072 +25 05 36.820833180|145.9520191080319 -33.9998386223493|   2.518 -5.812   |10.82    |~                 |    ~     ~    
4372|TYC 1770-145-1                                                                                           |Star                          |02 25 57.9974114544 +24 38 00.277961820|148.8239035222960 -33.4418300511101|  24.557 -0.511   |10.77    |~                 |    ~     ~    
4373|TYC 1770-150-1                                                                                           |Star                          |02 28 11.2473698472 +25 59 37.912940520|148.6695442676229 -31.9975817163122|  1.447 -25.061   |10.86    |~                 |    ~     ~    
4374|TYC 1770-1273-1                                                                                          |Double or Multiple Star       |02 28 56.286432 +25 47 23.62416        |148.953123555 -32.108655884        |     25.0 -17.1   |10.649   |~                 |    ~     ~    
4375|TYC 1773-275-1                                                                                           |Star                          |02 15 09.4991128392 +27 56 49.240611456|144.6235924875827 -31.3741230414208|    1.083 3.323   |10.84    |~                 |    ~     ~    
4376|TYC 1773-638-1                                                                                           |Star                          |02 16 35.3750461800 +27 25 08.951478168|145.2011622164719 -31.7440208466648| -5.229 -32.306   |10.90    |~                 |    ~     ~    
4377|TYC 1773-813-1                                                                                           |Star                          |02 20 17.0644782648 +26 41 49.465039056|146.4246699929041 -32.0897408374053|  -7.646 -5.654   |10.82    |~                 |    ~     ~    
4378|TYC 1773-924-1                                                                                           |Star                          |02 21 07.2608849328 +27 24 47.877283980|146.2910783354583 -31.3584674205126|  -4.060 -4.468   |10.91    |~                 |    ~     ~    
4379|TYC 1773-974-1                                                                                           |Star                          |02 16 54.2985702168 +27 14 34.207462644|145.3564093593019 -31.8803658697219|   2.661 -1.193   |10.87    |~                 |    ~     ~    
4380|TYC 1773-1264-1                                                                                          |Star                          |02 19 08.6350449384 +27 03 08.734700520|145.9839860495393 -31.8634227956731|   9.059 -5.600   |10.86    |~                 |    ~     ~    
4381|TYC 1774-308-1                                                                                           |Star                          |02 29 36.0804354240 +27 49 36.656922864|148.0840810150877 -30.2065192282348|  -0.743 -1.934   |10.82    |~                 |    ~     ~    
4382|TYC 1774-321-1                                                                                           |Star                          |02 24 20.3463571080 +27 29 33.691830936|147.0171483571850 -30.9977635176487|   6.294 -8.601   |10.91    |~                 |    ~     ~    
4383|TYC 1774-568-1                                                                                           |Star                          |02 29 31.8476232336 +26 47 30.953500872|148.5846591344672 -31.1477721282159|  -6.314 -7.796   |10.89    |~                 |    ~     ~    
4384|BD+26 414                                                                                                |Star                          |02 28 35.0025199824 +26 49 43.666566636|148.3430476237487 -31.2053428895112|  -3.415 -3.507   |10.97    |~                 |    ~     ~    
4385|TYC 1774-961-1                                                                                           |Star                          |02 24 50.7894614664 +27 23 01.897902024|147.1890795201534 -31.0507724539747|  -4.339 -6.753   |10.88    |~                 |    ~     ~    
4386|TYC 1777-466-1                                                                                           |Star                          |02 16 07.2032616408 +28 14 03.122538324|144.7281227385093 -31.0284716811079|  12.625 -3.795   |10.95    |~                 |    ~     ~    
4387|TYC 1777-530-1                                                                                           |Star                          |02 20 45.7010032944 +29 02 18.072337920|145.4628756455261 -29.8958577450961|  45.470 -8.846   |10.98    |~                 |    ~     ~    
4388|TYC 1777-803-1                                                                                           |High Proper Motion Star       |02 17 37.128720 +28 32 54.90600        |144.945393272 -30.612932013        |      80.1 -7.9   |10.97    |~                 |    ~     ~    
4389|TYC 1777-817-1                                                                                           |Star                          |02 20 01.2680958120 +29 04 36.143398128|145.2736538968322 -29.9234041521857|  -2.430 -4.794   |10.58    |~                 |    ~     ~    
4390|TYC 1777-1146-1                                                                                          |High Proper Motion Star       |02 20 46.3910584608 +29 23 59.247151404|145.3034464055772 -29.5619770573092| 55.771 -34.269   |10.92    |~                 |    ~     ~    
4391|TYC 1777-1148-1                                                                                          |Star                          |02 19 41.6724897048 +29 28 15.941903628|145.0227160883626 -29.5870186105015|   2.552 -6.482   |10.82    |~                 |    ~     ~    
4392|TYC 1777-1233-1                                                                                          |Star                          |02 18 16.5592479936 +29 33 56.530358892|144.6531189119187 -29.6173232028020|   1.213 -6.518   |10.28    |~                 |    ~     ~    
4393|TYC 1777-1424-1                                                                                          |Star                          |02 15 57.5782466904 +29 38 51.561848112|144.0804348000129 -29.7296631486175|   2.130 -5.765   |10.85    |~                 |    ~     ~    
4394|TYC 1778-49-1                                                                                            |Star                          |02 25 14.3502102936 +28 40 03.156792708|146.6701902995258 -29.8444301456167| 45.848 -19.399   |10.95    |~                 |    ~     ~    
4395|TYC 1778-414-1                                                                                           |Star                          |02 24 31.9602720552 +28 45 15.186281796|146.4664060171203 -29.8282766186768|   7.306 -9.445   |10.34    |~                 |    ~     ~    
4396|TYC 1778-428-1                                                                                           |High Proper Motion Star       |02 27 53.3859213048 +28 13 14.999115576|147.4955828362118 -30.0097505706451| -3.076 -75.404   |9.64     |~                 |    ~     ~    
4397|TYC 1778-666-1                                                                                           |Star                          |02 27 59.5167822528 +29 06 08.625214080|147.0947641757686 -29.1996815700931| -4.516 -10.710   |10.95    |~                 |    ~     ~    
4398|TYC 1778-848-1                                                                                           |Star                          |02 27 59.8008696360 +29 31 59.517322752|146.8908474301052 -28.8075253687163| -4.294 -10.063   |10.79    |~                 |    ~     ~    
4399|TYC 1778-925-1                                                                                           |Star                          |02 29 34.1317694952 +29 17 28.260349512|147.3615075061594 -28.8839441578494|   3.475 -2.295   |10.85    |~                 |    ~     ~    
4400|TYC 1778-1005-1                                                                                          |Star                          |02 24 33.3879789912 +29 34 09.839399484|146.0937241462334 -29.0804512353394|   3.285 -5.916   |10.83    |~                 |    ~     ~    
4401|TYC 1778-1099-1                                                                                          |Star                          |02 26 07.0839191064 +29 16 21.832254516|146.5874426531861 -29.2135418250696|   5.834 -2.386   |10.99    |~                 |    ~     ~    
4402|TYC 1778-1143-1                                                                                          |Star                          |02 27 35.0749860528 +29 47 41.491326012|146.6743928442107 -28.6064356258256|  -7.970 -8.283   |10.89    |~                 |    ~     ~    
4403|TYC 1778-1240-1                                                                                          |Star                          |02 22 45.0297284448 +28 49 28.016359212|146.0215092843536 -29.9208888313630|    4.712 1.854   |10.62    |~                 |    ~     ~    
4404|TYC 1778-1250-1                                                                                          |Star                          |02 23 45.0641282328 +29 45 49.354694568|145.8213669390963 -28.9725083195295| 12.079 -10.622   |10.89    |~                 |    ~     ~    
4405|TYC 2310-96-1                                                                                            |Star                          |02 17 43.3554504864 +30 56 51.970632072|143.9334411325847 -28.3811142644753|  -6.962 -4.710   |10.99    |~                 |    ~     ~    
4406|TYC 2310-157-1                                                                                           |Star                          |02 22 45.0127623240 +30 16 00.727994100|145.3670232308301 -28.5962846257881|  -8.689 -3.963   |10.84    |~                 |    ~     ~    
4407|TYC 2310-159-1                                                                                           |Star                          |02 21 24.4803955440 +30 23 36.840350328|145.0070070862356 -28.5927497941324|  -1.942 -8.180   |10.78    |~                 |    ~     ~    
4408|TYC 2310-333-1                                                                                           |Star                          |02 16 26.3135845584 +30 31 09.293092572|143.8221206769943 -28.8813310306662| -8.154 -15.224   |10.63    |~                 |    ~     ~    
4409|GSC 02310-00514                                                                                          |Double or Multiple Star       |02 20 06.126216 +30 42 55.37628        |144.570835886 -28.403879745        |       2.3 -2.2   |10.538   |~                 |    ~     ~    
4410|TYC 2310-605-1                                                                                           |Star                          |02 22 45.9654844128 +30 25 40.779197652|145.2985375803492 -28.4467781260092|   4.944 -4.314   |10.83    |~                 |    ~     ~    
4411|TYC 2310-1129-1                                                                                          |Star                          |02 20 39.6457307976 +30 21 54.356042376|144.8501790244829 -28.6812796397964| -4.644 -12.377   |10.60    |~                 |    ~     ~    
4412|TYC 2310-1209-1                                                                                          |Star                          |02 19 31.7101417488 +30 26 45.870764352|144.5577377790428 -28.6999119567783|  14.514 -2.481   |10.41    |~                 |    ~     ~    
4413|TYC 2310-1261-1                                                                                          |Star                          |02 17 21.2710269432 +31 27 15.880751568|143.6376627495235 -27.9396599374254|   4.632 -6.953   |10.17    |~                 |    ~     ~    
4414|TYC 2310-1391-1                                                                                          |Star                          |02 21 20.0058452088 +31 22 16.386012696|144.5622902624890 -27.6970395879276|  -3.069 -3.366   |10.85    |~                 |    ~     ~    
4415|TYC 2310-1670-1                                                                                          |Star                          |02 23 59.7460588296 +31 37 42.679775640|145.0388245535778 -27.2393327301973|  -2.067 -2.741   |10.69    |~                 |    ~     ~    
4416|TYC 2314-18-1                                                                                            |Star                          |02 15 17.0518065264 +33 01 45.744514464|142.5361516567834 -26.6305173947736|  33.490 -2.698   |10.72    |~                 |    ~     ~    
4417|TYC 2314-42-1                                                                                            |Star                          |02 16 39.6326228880 +32 57 10.229302548|142.8681759291808 -26.5983671848157| 19.820 -11.965   |10.83    |~                 |    ~     ~    
4418|TYC 2314-287-1                                                                                           |Star                          |02 23 50.4689306352 +31 55 42.106456128|144.8726318104985 -26.9764656155916|   1.144 -5.322   |10.57    |~                 |    ~     ~    
4419|TYC 2314-463-1                                                                                           |Star                          |02 22 01.2337614720 +31 55 15.917476404|144.4760971424039 -27.1332236950797|-18.672 -14.853   |10.72    |~                 |    ~     ~    
4420|TYC 2314-467-1                                                                                           |Star                          |02 23 59.1727783488 +32 05 24.881972136|144.8332327970903 -26.8154783899566|  10.336 -9.397   |10.59    |~                 |    ~     ~    
4421|TYC 2314-491-1                                                                                           |Star                          |02 15 06.0303064080 +32 04 39.220545900|142.8774347166514 -27.5333546597534|-13.333 -23.275   |10.98    |~                 |    ~     ~    
4422|TYC 2314-1045-1                                                                                          |Star                          |02 19 19.1037706464 +32 10 22.936555308|143.7734342452100 -27.1174754806002|    3.708 4.768   |10.74    |~                 |    ~     ~    
4423|TYC 2314-1767-1                                                                                          |Star                          |02 15 06.8890108296 +33 27 07.171320276|142.3315116909275 -26.2480444694959|    5.472 6.498   |10.31    |~                 |    ~     ~    
4424|TYC 2318-102-1                                                                                           |Star                          |02 17 44.1456219504 +33 47 23.515689444|142.7632457990487 -25.7368965629392|   4.420 -3.543   |10.33    |~                 |    ~     ~    
4425|TYC 2318-480-1                                                                                           |High Proper Motion Star       |02 20 06.6798061200 +33 52 40.277744832|143.2361063016954 -25.4737027598723| 76.460 -41.071   |10.96    |~                 |    ~     ~    
4426|TYC 2318-756-1                                                                                           |Star                          |02 22 38.9833855824 +34 03 20.179141740|143.7013843272106 -25.1108938090892| 21.025 -19.598   |10.98    |~                 |    ~     ~    
4427|TYC 2318-770-1                                                                                           |Star                          |02 16 24.1833271272 +33 55 58.391688036|142.4195723452729 -25.7032551476574|  -1.633 -1.984   |10.43    |~                 |    ~     ~    
4428|TYC 2318-821-1                                                                                           |Star                          |02 20 58.8379283496 +34 37 40.302581160|143.1116543290246 -24.7107645740626|   0.723 -8.085   |10.83    |~                 |    ~     ~    
4429|TYC 2318-1052-1                                                                                          |Star                          |02 22 11.4188265984 +34 29 44.977152408|143.4203580175663 -24.7396073512047|  -2.695 -8.479   |10.79    |~                 |    ~     ~    
4430|TYC 2318-1146-1                                                                                          |Star                          |02 19 28.3992018264 +34 32 32.130507300|142.8291224661633 -24.9051949592365|   0.315 -3.176   |10.86    |~                 |    ~     ~    
4431|TYC 2318-1208-1                                                                                          |Star                          |02 23 49.2552491544 +35 27 25.734359268|143.3590024430091 -23.7234505930010| 26.681 -11.880   |10.59    |~                 |    ~     ~    
4432|TYC 2318-1356-1                                                                                          |Star                          |02 16 20.6354781576 +35 07 45.973111296|141.9362990375959 -24.5894731604401|  -1.587 -4.159   |10.98    |~                 |    ~     ~    
4433|TYC 2318-1371-1                                                                                          |Star                          |02 23 34.1611874184 +35 03 14.146869852|143.4753157755235 -24.1157746417083|    1.032 0.266   |10.55    |~                 |    ~     ~    
4434|TYC 2318-1455-1                                                                                          |Star                          |02 18 38.3775162288 +34 42 10.226500164|142.5884355729546 -24.8185140467920|   -0.315 2.710   |10.52    |~                 |    ~     ~    
4435|TYC 2318-1716-1                                                                                          |Star                          |02 22 55.1488509192 +35 26 13.595466840|143.1816681892055 -23.8117244756364|  -0.290 -1.338   |10.68    |~                 |    ~     ~    
4436|TYC 2318-1759-1                                                                                          |Star                          |02 23 53.1981140520 +34 37 44.607719064|143.7197068582873 -24.4833908740275|    9.595 0.798   |10.93    |~                 |    ~     ~    
4437|HD 14202B                                                                                                |High Proper Motion Star       |02 18 40.4224986120 +34 29 10.319395308|142.6827117742813 -25.0176928722900|126.871 -67.029   |9.19     |G0V               |    ~     ~    
4438|TYC 2322-388-2                                                                                           |Star                          |02 21 15.1201269504 +37 25 20.771345820|142.0406675396167 -22.0941139775455| 12.986 -11.442   |9.66     |~                 |    ~     ~    
4439|TYC 2322-515-1                                                                                           |Star                          |02 19 10.5598771728 +35 58 40.000348524|142.1921157207064 -23.5910083124732|  -5.244 -4.506   |10.71    |~                 |    ~     ~    
4440|TYC 2322-775-1                                                                                           |Star                          |02 18 49.1651491248 +36 41 18.768303348|141.8397457693628 -22.9541647269262|  -1.554 -4.398   |10.80    |~                 |    ~     ~    
