C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:37:09

dec< 0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6662

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
53  |HD 148137                                                                                                |Star                                  |16 27 44.7605461272 -40 04 16.275890964|341.4831689323992 +06.0871413579441|  20.612 -6.711   |9.80     |F6V            |    ~     ~    |    1|  116.528   pc  |  -0.2159     +0.2159    |paral   |2020yCat.1350....0G
54  |HD 148188                                                                                                |Star                                  |16 28 01.6317909264 -39 57 04.269192516|341.6079722758505 +06.1307291352674|   0.060 -1.734   |9.47     |B9III          |    ~     ~    |    1|  623.752   pc  |  -8.8707     +8.8707    |paral   |2020yCat.1350....0G
55  |HD 147270                                                                                                |Star                                  |16 22 34.8836362392 -40 12 37.357513092|340.6924041889212 +06.7003728481088|  -0.445 -1.827   |8.09     |K2III          |    ~     ~    |    1|  620.925   pc  | -13.3400    +13.3400    |paral   |2020yCat.1350....0G
56  |NGC 6124 1                         HD 147328                                                             |Star                                  |16 23 00.9753453504 -40 36 49.348308960|340.4609225513222 +06.3588514693604|   0.025 -2.249   |9.05     |G6/K0(III)     |    ~     ~    |    1|  628.299   pc  |  -8.4084     +8.4084    |paral   |2020yCat.1350....0G
57  |NGC 6124 3                         HD 147372                                                             |Star                                  |16 23 21.7838636040 -40 25 34.282192008|340.6421647656292 +06.4429150521981|  28.759 10.793   |9.88     |G2/3V          |    ~     ~    |    1|  157.126   pc  |  -0.4716     +0.4716    |paral   |2020yCat.1350....0G
58  |HD 147417                                                                                                |Star                                  |16 23 39.9260840040 -41 04 26.598651060|340.2163936818081 +05.9491123406347| -3.746 -11.613   |7.42     |G3IIICNIb/II   |    ~     ~    |    1|  417.833   pc  |  -5.2899     +5.2899    |paral   |2020yCat.1350....0G
59  |NGC 6124 5                         HD 147434                                                             |Star                                  |16 23 46.1018115840 -40 46 30.430902468|340.4451117361351 +06.1440712777046|   0.023 -2.190   |9.49     |B6II/III       |    ~     ~    |    1|  619.080   pc  |  -6.3238     +6.3238    |paral   |2020yCat.1350....0G
60  |NGC 6124 6                         HD 147456                                                             |High Proper Motion Star               |16 23 48.1800643896 -40 38 07.753795260|340.5502527138563 +06.2368843052885|-133.534 -88.608  |10.27    |F8/G1          |    ~     ~    |    1|  136.049   pc  |  -0.3498     +0.3498    |paral   |2020yCat.1350....0G
61  |NGC 6124 8                         HD 325560                                                             |Star                                  |16 24 23.8707477288 -40 43 49.309783104|340.5610118884379 +06.0898990839705|  -2.283 -1.748   |10.08    |A0             |    ~     ~    |    1|  224.401   pc  | -21.6380    +21.6380    |paral   |2020yCat.1350....0G
62  |HD 325561                                                                                                |Star                                  |16 24 26.3922744744 -40 45 38.432134152|340.5447319328315 +06.0630645133577|   0.011 -1.647   |8.876    |K0             |    ~     ~    |    1|  638.162   pc  |  -9.4075     +9.4075    |paral   |2020yCat.1350....0G
63  |NGC 6124 14                        HD 147654                                                             |Star                                  |16 24 49.9335259488 -40 45 31.438972404|340.5981712848610 +06.0111055798021|  -0.195 -1.884   |9.20     |K0             |    ~     ~    |    1|  621.118   pc  |  -7.4071     +7.4071    |paral   |2020yCat.1350....0G
64  |NGC 6124 15                        HD 147653                                                             |Star                                  |16 24 50.4187615512 -40 35 22.951400784|340.7212976259691 +06.1276429722267|  -0.137 -2.292   |9.24     |B7/A0II/III    |    ~     ~    |    1|  583.908   pc  | -12.2059    +12.2059    |paral   |2020yCat.1350....0G
65  |HD 147686                                                                                                |Star                                  |16 25 04.1522603232 -40 38 35.756857680|340.7129949434777 +06.0591814916413|  -0.182 -2.419   |8.70     |B8III          |    ~     ~    |    1|  623.480   pc  |  -8.0467     +8.0467    |paral   |2020yCat.1350....0G
66  |NGC 6124 19                        HD 325562                                                             |Star                                  |16 25 12.2628354888 -40 46 53.221405224|340.6310490979644 +05.9446850129755|   0.094 -2.414   |9.95     |B9             |    ~     ~    |    1|  608.791   pc  |  -6.5972     +6.5972    |paral   |2020yCat.1350....0G
67  |HD 325550                                                                                                |Star                                  |16 25 14.0248666392 -40 40 05.690150796|340.7167577970730 +06.0193824772546|  -0.532 -2.428   |10.56    |A0             |    ~     ~    |    1|  579.912   pc  |  -6.7932     +6.7932    |paral   |2020yCat.1350....0G
68  |HD 325549                                                                                                |Star                                  |16 25 15.1252116240 -40 39 28.017242748|340.7267537612319 +06.0241558748424|  -0.220 -0.861   |10.36    |A0             |    ~     ~    |    1|  633.593   pc  | -15.4153    +15.4153    |paral   |2020yCat.1350....0G
69  |HD 325546                                                                                                |Star                                  |16 25 18.2522029512 -40 37 36.457921524|340.7560687518768 +06.0385835971613|  -1.420 -1.516   |9.39     |A0             |    ~     ~    |    1|  999.700   pc  | -54.3674    +54.3674    |paral   |2020yCat.1350....0G
70  |CPD-40 7296                                                                                              |Star                                  |16 25 19.5849496968 -40 39 30.481229952|340.7361099044549 +06.0135440839493|  -0.316 -1.965   |10.30    |~              |    ~     ~    |    1|  621.659   pc  |  -6.2993     +6.2993    |paral   |2020yCat.1350....0G
71  |NGC 6124 25                        HD 325552                                                             |Star                                  |16 25 20.2559919624 -40 41 08.572926912|340.7178891578425 +05.9930851065665|  -0.250 -2.396   |10.00    |A              |    ~     ~    |    1|  628.536   pc  |  -6.3209     +6.3209    |paral   |2020yCat.1350....0G
72  |NGC 6124 27                        HD 325534                                                             |Star                                  |16 25 25.0428051552 -40 27 24.508417104|340.8940561949204 +06.1412058143438|   0.282 -1.843   |10.27    |A0             |    ~     ~    |    1|  547.375   pc  | -12.4342    +12.4342    |paral   |2020yCat.1350....0G
73  |NGC 6124 30                        HD 147780                                                             |Star                                  |16 25 29.2988593536 -40 43 52.935699396|340.7048224630625 +05.9408224791461|   0.452 -1.523   |9.67     |B8II           |    ~     ~    |    1|  628.891   pc  |  -6.1303     +6.1303    |paral   |2020yCat.1350....0G
74  |NGC 6124 31                        HD 147793                                                             |Star                                  |16 25 37.2875363832 -40 46 59.211593292|340.6849966087017 +05.8867465414038|-27.273 -29.466   |8.96     |F8V            |    ~     ~    |    1|   96.236   pc  |  -0.1593     +0.1593    |paral   |2020yCat.1350....0G
75  |NGC 6124 32                        HD 147792                                                             |Star                                  |16 25 39.7786892520 -40 39 18.822368484|340.7830275957765 +05.9698677528184|  -0.780 -0.634   |9.93     |A0             |    ~     ~    |    0|                |                         |        |                   
76  |NGC 6124 33                        HD 325543                                                             |Long-Period Variable                  |16 25 45.2394282768 -40 40 46.559988264|340.7774295346663 +05.9405279872922|   0.156 -2.486   |8.71     |M0             |    ~     ~    |    1|  646.747   pc  | -15.9365    +15.9365    |paral   |2020yCat.1350....0G
