C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:13:43

dec >=0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3219

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2824|NGC 5272 1278                      NGC 5272 1278                                                         |Star                                |13 42 22.589 +28 22 52.32              |042.224932 +78.666478              |            ~ ~   |15.49    |~               |    ~     ~    |    0|                |                       |        |                   
2825|NGC 5272 1279                      NGC 5272 1279                                                         |Star                                |13 42 22.605 +28 22 36.18              |042.202139 +78.666680              |            ~ ~   |15.15    |~               |    ~     ~    |    0|                |                       |        |                   
2826|NGC 5272 1281                      NGC 5272 1281                                                         |Star                                |13 42 22.99128 +28 02 14.9064          |040.47609807 +78.67990852          |            ~ ~   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2827|NGC 5272 1286                      NGC 5272 1286                                                         |Star                                |13 42 23.050 +28 22 53.37              |042.225912 +78.664773              |            ~ ~   |15.66    |~               |    ~     ~    |    0|                |                       |        |                   
2828|NGC 5272 1339                      NGC 5272 1339                                                         |Star                                |13 42 27.910 +28 17 54.99              |041.800142 +78.651502              |            ~ ~   |15.27    |~               |    ~     ~    |    0|                |                       |        |                   
2829|NGC 5272 1359                      NGC 5272 1359                                                         |Star                                |13 42 32.1418266480 +27 47 34.004266620|039.2282497812045 +78.6505208957946|   3.708 -3.355   |     ~   |~               |    ~     ~    |    1| 1016.777   pc  | -33.3929    +33.3929  |paral   |2020yCat.1350....0G
2830|NGC 5272 1361                      NGC 5272 1361                                                         |Star                                |13 42 32.2881910752 +28 13 48.680522868|041.4491300021373 +78.6387231978536|  -0.150 -2.796   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2831|NGC 5272 1367                      NGC 5272 1367                                                         |Star                                |13 42 33.0654969096 +28 22 31.371956544|042.1841457586860 +78.6284716173307|  -0.033 -2.704   |15.90    |~               |    ~     ~    |    0|                |                       |        |                   
2832|NGC 5272 1379                      NGC 5272 1379                                                         |Star                                |13 42 36.855 +28 21 48.92              |042.120479 +78.615269              |            ~ ~   |16.19    |~               |    ~     ~    |    0|                |                       |        |                   
2833|NGC 5272 1445                      NGC 5272 1445                                                         |Star                                |13 43 01.476 +28 11 34.80              |041.238406 +78.533228              |            ~ ~   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2834|NGC 5272 1466                      2MASS J13431597+2809063                                               |Asymptotic Giant Branch Star        |13 43 15.9847837368 +28 09 06.501476196|041.0216322355693 +78.4815413465669|  -0.149 -2.696   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2835|NGC 5272 1510                      NGC 5272 1510                                                         |Red Giant Branch star               |13 43 50.4477027000 +28 00 38.523757608|040.3005648651170 +78.3590166430249|  -2.568 -2.689   |     ~   |~               |    ~     ~    |    1|12560.8105  pc  |                       |ST-L    |2016AJ....151...85T
2836|NGC 5272 1514                      NGC 5272 1514                                                         |Star                                |13 43 52.1443688448 +28 12 32.130892368|041.2810335981846 +78.3466859160053| 18.763 -12.496   |     ~   |~               |    ~     ~    |    1|  259.801   pc  |  -1.2757     +1.2757  |paral   |2020yCat.1350....0G
2837|NGC 5272 729                       NGC 5272 729                                                          |Star                                |13 42 10.856 +28 22 55.10              |042.241725 +78.709369              |            ~ ~   |12.96    |~               |    ~     ~    |    0|                |                       |        |                   
2838|NGC 5272 195                       NGC 5272 195                                                          |Star                                |13 41 44.736 +28 16 05.72              |041.686066 +78.811251              |            ~ ~   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2839|NGC 5272 276                       NGC 5272 276                                                          |Star                                |13 41 56.165 +28 22 53.51              |042.255840 +78.763155              |            ~ ~   |16.67    |~               |    ~     ~    |    0|                |                       |        |                   
2840|NGC 5272 320                       2MASS J13415993+2816504                                               |Red Giant Branch star               |13 41 59.9428686672 +28 16 50.626230024|041.7356026903264 +78.7548895427237|  -0.071 -2.720   |16.00    |~               |    ~     ~    |    0|                |                       |        |                   
2841|NGC 5272 1397                      Cl* NGC 5272 SAW V236                                                 |delta Sct Variable                  |13 42 41.4990637608 +28 19 08.050336392|041.8899197974950 +78.6006751351960|  -0.165 -2.586   |12.65    |~               |    ~     ~    |    0|                |                       |        |                   
2842|NGC 5272 1235                      NGC 5272 1235                                                         |Star                                |13 42 20.570 +28 21 32.18              |042.113962 +78.675145              |            ~ ~   |15.41    |~               |    ~     ~    |    0|                |                       |        |                   
2843|NGC 5272 1238                      SV* SVS 2129                                                          |RR Lyrae Variable                   |13 42 20.5076932632 +28 23 24.052381908|042.2720030322163 +78.6735759225724|  -0.559 -2.472   |15.79    |~               |    ~     ~    |    0|                |                       |        |                   
2844|M 3                                NGC 5272                           M 3                                |Globular Cluster                    |13 42 11.62 +28 22 38.2                |042.21695 +78.70685                |    -0.14 -2.64   |6.39     |~               |16.2  16.2     |    1|    0.010   Mpc |                       |        |2008MNRAS.389.1924F
2845|NGC 5272 746                       NGC 5272 746                                                          |Star                                |13 42 11.050 +28 22 57.85              |042.245405 +78.708614              |            ~ ~   |12.9     |~               |    ~     ~    |    0|                |                       |        |                   
2846|NGC 5272 150                       LP 323-309                                                            |High Proper Motion Star             |13 41 22.8044397192 +27 43 05.953821420|038.8517992645818 +78.9065337568091|-142.519 -140.336 |     ~   |K3V             |    ~     ~    |    1|   70.040   pc  |  -0.0863     +0.0863  |paral   |2020yCat.1350....0G
2847|NGC 5272 742                       NGC 5272 742                                                          |RR Lyrae Variable                   |13 42 10.7987944501 +28 21 59.034636126|042.1623740640549 +78.7104872392074|  -0.110 -2.582   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2848|NGC 5272 717                       SV* SVS 1368                                                          |RR Lyrae Variable                   |13 42 10.4269693128 +28 22 41.310795576|042.2226659536366 +78.7111649359937|  -1.048 -2.422   |15.78    |~               |    ~     ~    |    0|                |                       |        |                   
2849|BD+26 2486                                                                                               |Star                                |13 42 02.7033867168 +25 37 03.636459912|028.1912589666820 +78.5698692795225| 17.360 -43.530   |9.80     |F8              |    ~     ~    |    1|  199.259   pc  |  -0.6472     +0.6472  |paral   |2020yCat.1350....0G
2850|BD+26 2485                                                                                               |Star                                |13 41 37.1778473712 +25 18 28.634627520|026.5616845879190 +78.6041614357330|   0.049 -8.552   |10.62    |K0              |    ~     ~    |    1|  712.860   pc  |  -8.8930     +8.8930  |paral   |2020yCat.1350....0G
2851|BD+25 2662                                                                                               |High Proper Motion Star             |13 42 11.4836299032 +24 55 10.978435164|024.8071976596357 +78.3917818948099|-45.780 -24.828   |10.65    |G0              |    ~     ~    |    1|  284.949   pc  |  -3.3534     +3.3534  |paral   |2020yCat.1350....0G
2852|BD+25 2665                                                                                               |Star                                |13 43 10.4253531144 +24 53 30.860026260|024.9339174427385 +78.1687821009962|   -0.269 3.934   |10.18    |K0              |    ~     ~    |    1|  334.225   pc  |  -1.6644     +1.6644  |paral   |2020yCat.1350....0G
2853|BD+25 2666                                                                                               |Star                                |13 43 16.5860318016 +24 21 34.188142968|022.4699562237462 +78.0092837099761|-19.365 -19.500   |9.20     |F3              |    ~     ~    |    1|  210.172   pc  |  -0.7686     +0.7686  |paral   |2020yCat.1350....0G
2854|BD+25 2669                                                                                               |Star                                |13 43 24.6088769256 +24 55 09.677424108|025.1251908186102 +78.1231438435386|  -6.685 -2.376   |9.76     |G5              |    ~     ~    |    1|  613.610   pc  |  -6.7773     +6.7773  |paral   |2020yCat.1350....0G
2855|HD 119334                                                                                                |Spectroscopic Binary                |13 42 16.7679878712 +24 12 32.388144912|021.4566597463611 +78.1841720072279|  -23.463 9.265   |8.93     |G9III           |    ~     ~    |    1|  390.411   pc  |  -8.7490     +8.7490  |paral   |2020yCat.1350....0G
2856|V* DI Boo                                                                                                |Long-Period Variable                |13 42 34.1530769400 +23 19 07.302067572|017.5067156494717 +77.8321763778497| 24.534 -53.942   |7.30     |M0              |    ~     ~    |    1|  360.646   pc  |  -3.0565     +3.0565  |paral   |2020yCat.1350....0G
2857|BD+26 2490                                                                                               |Spectroscopic Binary                |13 44 49.9862060448 +25 32 17.351827152|028.3669317649136 +77.9371659976806|  -17.935 7.945   |9.96     |~               |    ~     ~    |    1|  266.539   pc  |  -1.9750     +1.9750  |paral   |2020yCat.1350....0G
2858|HD 119665                                                                                                |High Proper Motion Star             |13 44 09.5806986360 +25 17 02.511673260|027.0278679667910 +78.0373393271763|-96.847 -18.204   |8.81     |F6V             |    ~     ~    |    1|  112.056   pc  |  -0.1934     +0.1934  |paral   |2020yCat.1350....0G
2859|BD+25 2672                                                                                               |Star                                |13 44 03.6744716640 +24 47 05.041729104|024.6643249156706 +77.9476146582740|    7.575 8.649   |10.25    |A7              |    ~     ~    |    1|  264.866   pc  |  -1.5714     +1.5714  |paral   |2020yCat.1350....0G
2860|BD+25 2674                                                                                               |Star                                |13 44 52.0014984912 +24 38 22.326989964|024.2110220278374 +77.7344764838502| 10.441 -46.290   |9.92     |F2              |    ~     ~    |    1|  213.716   pc  |  -0.9181     +0.9181  |paral   |2020yCat.1350....0G
2861|BD+24 2626                                                                                               |Spectroscopic Binary                |13 43 39.4125048936 +23 28 19.222175748|018.5935094432061 +77.6517698418134|   2.477 16.148   |9.46     |F8              |    ~     ~    |    1|  158.624   pc  |  -1.7563     +1.7563  |paral   |2020yCat.1350....0G
2862|HD 119649                                                                                                |High Proper Motion Star             |13 44 07.1368946544 +23 21 32.129784972|018.2693142115508 +77.5133330550789| 40.517 -49.476   |9.14     |G2V             |    ~     ~    |    1|   91.426   pc  |  -1.8038     +1.8038  |paral   |2020yCat.1350....0G
2863|HD 119731                                                                                                |Double or Multiple Star             |13 44 33.9780721776 +23 40 05.997928296|019.7770112919057 +77.5204522615620|   2.778 13.621   |9.225    |A5              |    ~     ~    |    1|  297.115   pc  |  -1.6243     +1.6243  |paral   |2020yCat.1350....0G
2864|BD+23 2608                                                                                               |High Proper Motion Star             |13 44 53.5828227096 +23 11 56.624316252|017.8688642522266 +77.2907789552787| -34.359 73.409   |9.83     |G5              |    ~     ~    |    1|  146.600   pc  |  -0.3267     +0.3267  |paral   |2020yCat.1350....0G
2865|TYC 1998-617-1                                                                                           |High Proper Motion Star             |13 41 24.2495987832 +24 18 42.623457948|021.6566134278737 +78.4049252833140|  5.105 -62.713   |10.28    |~               |    ~     ~    |    1|  139.078   pc  |  -0.3250     +0.3250  |paral   |2020yCat.1350....0G
2866|TYC 1998-682-1                                                                                           |Spectroscopic Binary                |13 43 08.5722682008 +24 41 59.843373288|024.0192344612205 +78.1286976359041|   2.652 -5.973   |10.84    |~               |    ~     ~    |    1|  404.678   pc  |  -2.9969     +2.9969  |paral   |2020yCat.1350....0G
2867|TYC 1998-720-1                                                                                           |Star                                |13 43 01.1882900112 +23 07 52.658778396|016.8601282707664 +77.6678150740281|  15.793 -5.820   |10.22    |~               |    ~     ~    |    1|  327.729   pc  |  -2.1804     +2.1804  |paral   |2020yCat.1350....0G
2868|TYC 1998-733-1                                                                                           |Star                                |13 41 58.0003923048 +23 32 27.808029240|018.2718259135582 +78.0394894368153|   4.887 -7.831   |10.95    |~               |    ~     ~    |    1|  799.297   pc  |  -9.3276     +9.3276  |paral   |2020yCat.1350....0G
2869|TYC 1998-945-1                                                                                           |Star                                |13 44 18.8016675672 +24 35 28.726696392|023.8393619653966 +77.8438474305292| -25.009 -5.898   |10.14    |~               |    ~     ~    |    1|  334.213   pc  |  -2.1670     +2.1670  |paral   |2020yCat.1350....0G
2870|TYC 1998-967-1                                                                                           |Star                                |13 41 42.8957368008 +24 06 21.907841364|020.7872211965936 +78.2765191549305| 10.746 -11.080   |10.76    |~               |    ~     ~    |    1|  315.756   pc  |  -3.9083     +3.9083  |paral   |2020yCat.1350....0G
2871|TYC 2001-881-1                                                                                           |Star                                |13 42 18.5913689832 +25 14 49.035637068|026.4253798249995 +78.4388377703973|  -1.558 19.038   |10.96    |~               |    ~     ~    |    1|  313.136   pc  |  -2.6475     +2.6475  |paral   |2020yCat.1350....0G
2872|TYC 2001-885-1                                                                                           |Star                                |13 43 42.9388582488 +25 08 32.971737264|026.2564310903694 +78.1058727784614| -28.577 21.798   |10.59    |~               |    ~     ~    |    1|  310.405   pc  |  -1.6861     +1.6861  |paral   |2020yCat.1350....0G
2873|TYC 2001-1277-1                                                                                          |Star                                |13 43 30.6899224872 +25 07 56.728181316|026.1600864026976 +78.1488056165546| -35.640 -1.639   |10.19    |~               |    ~     ~    |    1|  144.672   pc  |  -0.3621     +0.3621  |paral   |2020yCat.1350....0G
2874|BD+23 2605                                                                                               |Star                                |13 43 35.0017543248 +22 54 49.849655328|016.1484078997297 +77.4662738955467| -28.893 12.254   |9.45     |F8              |    ~     ~    |    1|  139.206   pc  |  -0.2752     +0.2752  |paral   |2020yCat.1350....0G
2875|HD 119287                                                                                                |Star                                |13 42 05.3170341000 +22 37 12.940717656|014.2650293695131 +77.6675799958330| -34.683 12.485   |8.27     |K2III           |    ~     ~    |    1|  218.996   pc  |  -1.0311     +1.0311  |paral   |2020yCat.1350....0G
2876|HD 119535                                                                                                |Star                                |13 43 29.2944103128 +22 01 06.390653232|012.3924410016280 +77.1198365711183|   9.358 24.624   |8.46     |F5              |    ~     ~    |    1|  179.308   pc  |  -0.6945     +0.6945  |paral   |2020yCat.1350....0G
2877|BD+22 2622                                                                                               |Spectroscopic Binary                |13 43 29.3183562144 +21 42 41.839066728|011.1679975917792 +76.9824975522239|-30.400 -28.540   |9.96     |F8              |    ~     ~    |    1|  115.044   pc  |  -1.5115     +1.5115  |paral   |2020yCat.1350....0G
2878|BD+22 2619                                                                                               |Spectroscopic Binary                |13 42 19.0449369144 +21 23 44.453669460|009.3555855293307 +77.0746512333512|  -7.065 -3.877   |10.6     |~               |    ~     ~    |    1|  960.246   pc  | -20.3778    +20.3778  |paral   |2020yCat.1350....0G
2879|HD 119584                                                                                                |High Proper Motion Star             |13 43 45.1634846496 +22 42 01.529402832|015.3147540806619 +77.3477900522654| 47.859 -36.493   |6.09     |K4III           |    ~     ~    |    1|  214.929   pc  |  -1.5059     +1.5059  |paral   |2020yCat.1350....0G
2880|V* DK Boo                                                                                                |Long-Period Variable                |13 43 59.0950660392 +21 49 05.026257552|011.8194079699927 +76.9278315837078|-35.633 -15.122   |8.06     |K4Ib-II         |    ~     ~    |    1|  858.148   pc  | -15.6121    +15.6121  |paral   |2020yCat.1350....0G
2881|HD 119666                                                                                                |Star                                |13 44 17.3976859896 +21 52 10.827161472|012.1625188431794 +76.8874134320976|  -12.201 0.094   |8.94     |G9II-III        |    ~     ~    |    1|  439.329   pc  |  -3.7058     +3.7058  |paral   |2020yCat.1350....0G
2882|HD 119563                                                                                                |Pulsating Variable                  |13 43 38.9309642664 +21 05 44.387217996|008.8667349893709 +76.6576124746245|   -2.066 9.794   |8.83     |A5              |    ~     ~    |    1|  361.716   pc  |  -3.2186     +3.2186  |paral   |2020yCat.1350....0G
2883|BD+21 2566                                                                                               |Star                                |13 43 46.7469547440 +20 43 53.317751340|007.5767270126388 +76.4488606536121| 22.199 -18.697   |9.77     |A2              |    ~     ~    |    1|  349.052   pc  | -10.7826    +10.7826  |paral   |2020yCat.1350....0G
2884|BD+21 2568                                                                                               |Star                                |13 44 19.5496388123 +20 53 56.308940028|008.4681476754174 +76.4229945177361|  -35.636 3.829   |9.96     |G5              |    ~     ~    |    0|                |                       |        |                   
2885|BD+21 2569                                                                                               |Spectroscopic Binary                |13 44 22.2293889576 +21 12 48.041672256|009.6640595503575 +76.5677287125602|  2.774 -16.596   |10.90    |G0              |    ~     ~    |    1|  373.176   pc  |  -2.7713     +2.7713  |paral   |2020yCat.1350....0G
2886|HD 119768                                                                                                |Star                                |13 44 51.4594923456 +20 28 20.239776624|007.1863917636858 +76.0991417741590|-22.337 -20.333   |8.20     |K5III-IV        |    ~     ~    |    1|  517.384   pc  |  -6.3174     +6.3174  |paral   |2020yCat.1350....0G
2887|StKM 1-1088                                                                                              |High Proper Motion Star             |13 43 45.2259379992 +20 27 53.446783464|006.5946545220886 +76.3159430353891|-108.152 -12.571  |10.53    |K4              |    ~     ~    |    1|   81.713   pc  |  -0.0955     +0.0955  |paral   |2020yCat.1350....0G
2888|TYC 1466-632-1                                                                                           |Star                                |13 44 16.8193258728 +20 28 43.932644652|006.9165234702941 +76.2181305120806|  -23.422 1.825   |10.82    |~               |    ~     ~    |    1|  690.703   pc  | -18.9397    +18.9397  |paral   |2020yCat.1350....0G
2889|TYC 1466-767-1                                                                                           |High Proper Motion Star             |13 44 51.3111360432 +21 42 52.241460660|011.8105540108735 +76.7007960394283|-97.982 -63.061   |10.40    |~               |    ~     ~    |    1|   78.050   pc  |  -0.1139     +0.1139  |paral   |2020yCat.1350....0G
2890|TYC 1466-906-1                                                                                           |Star                                |13 43 44.2470732840 +21 19 43.993034004|009.7974756034553 +76.7525318796121|    7.252 0.924   |10.40    |~               |    ~     ~    |    1|  249.470   pc  |  -1.1949     +1.1949  |paral   |2020yCat.1350....0G
2891|TYC 1466-1035-1                                                                                          |Star                                |13 42 37.7799413544 +20 57 19.016578296|007.8205142165620 +76.7938676582129|-26.698 -10.241   |10.95    |~               |    ~     ~    |    1|  225.459   pc  |  -0.8336     +0.8336  |paral   |2020yCat.1350....0G
2892|TYC 1998-523-1                                                                                           |Star                                |13 43 06.1940792208 +22 53 07.284652440|015.8313505873916 +77.5575841521974|    3.016 4.192   |10.40    |~               |    ~     ~    |    1|  704.523   pc  |  -7.7431     +7.7431  |paral   |2020yCat.1350....0G
2893|TYC 1466-985-1                                                                                           |Star                                |13 43 59.7426851064 +20 35 26.427929748|007.1737982288885 +76.3330838975198| -3.654 -14.796   |10.08    |~               |    ~     ~    |    1|  814.200   pc  | -10.0764    +10.0764  |paral   |2020yCat.1350....0G
2894|HD 119411                                                                                                |High Proper Motion Star             |13 42 48.9724043088 +20 27 53.659276632|006.1018488286366 +76.5025260576556| -66.767 35.170   |8.17     |G7V             |    ~     ~    |    1|   58.321   pc  |  -1.2483     +1.2483  |paral   |2020yCat.1350....0G
2895|BD+20 2864                                                                                               |Star                                |13 43 14.0052074664 +19 57 48.525363324|004.5436013911400 +76.1484978434868|  -2.003 11.364   |9.54     |K0              |    ~     ~    |    1|  954.198   pc  | -15.9337    +15.9337  |paral   |2020yCat.1350....0G
2896|HD 119497                                                                                                |High Proper Motion Star             |13 43 23.2518511560 +20 13 23.213171892|005.5384702607097 +76.2600341401389|-107.557 -28.906  |8.65     |F7V             |    ~     ~    |    1|  118.999   pc  |  -0.5806     +0.5806  |paral   |2020yCat.1350....0G
2897|HD 119199                                                                                                |High Proper Motion Star             |13 41 24.4519833480 +19 43 25.652504388|002.6896351765408 +76.3672896443845|-130.377 79.109   |9.52     |K1IV            |    ~     ~    |    1|  174.228   pc  |  -0.5434     +0.5434  |paral   |2020yCat.1350....0G
2898|BD+19 2704                                                                                               |Star                                |13 41 39.1529605584 +19 15 14.804297100|001.2371424908457 +76.0447704899415|  -7.758 -4.716   |9.07     |K5              |    ~     ~    |    1|  688.753   pc  | -10.7684    +10.7684  |paral   |2020yCat.1350....0G
2899|HD 119300                                                                                                |Star                                |13 42 06.8677795152 +18 29 31.600881240|359.0580470201535 +75.4918407189563| -16.095 21.505   |9.45     |F8V             |    ~     ~    |    1|  117.225   pc  |  -0.2776     +0.2776  |paral   |2020yCat.1350....0G
2900|BD+19 2707                                                                                               |Red Giant Branch star               |13 42 59.6395765080 +18 55 32.813070816|000.9409977881674 +75.5942420326994|  -32.111 2.177   |10.73    |K0              |    ~     ~    |    1|  704.722   pc  |  -8.0951     +8.0951  |paral   |2020yCat.1350....0G
2901|BD+19 2708                                                                                               |High Proper Motion Star             |13 43 16.8032226432 +19 13 54.939418536|002.0966793066681 +75.7220987038881| -63.888 -1.996   |9.48     |K0              |    ~     ~    |    1|  231.048   pc  |  -0.8808     +0.8808  |paral   |2020yCat.1350....0G
2902|BD+18 2768B                                                                                              |Star                                |13 42 09.4143141072 +18 08 03.575033952|357.9873759654356 +75.2572507505059|  -1.541 -0.575   |10.58    |K2              |    ~     ~    |    1|  303.370   pc  |  -1.3805     +1.3805  |paral   |2020yCat.1350....0G
2903|BD+18 2768                                                                                               |High Proper Motion Star             |13 42 12.3151521480 +18 07 15.449172924|357.9759923065674 +75.2398651667683|  7.492 -59.480   |10.18    |K0              |    ~     ~    |    1|   98.471   pc  |  -0.1852     +0.1852  |paral   |2020yCat.1350....0G
2904|BD+18 2767                                                                                               |Red Giant Branch star               |13 41 22.8340319304 +17 59 53.453950476|357.1090165575173 +75.3101124772371| 11.106 -11.888   |9.99     |~               |    ~     ~    |    1|  546.866   pc  |  -4.8149     +4.8149  |paral   |2020yCat.1350....0G
2905|BD+19 2706                                                                                               |Red Giant Branch star               |13 42 26.8628608440 +19 02 30.786297792|001.0015185320071 +75.7672552898082|  4.860 -18.876   |10.13    |~               |    ~     ~    |    1|  648.719   pc  |  -6.8175     +6.8175  |paral   |2020yCat.1350....0G
2906|BD+20 2863                                                                                               |Star                                |13 41 42.9675405264 +19 42 57.843799416|002.8400070181617 +76.3034778051538|   -5.351 2.651   |10.52    |~               |    ~     ~    |    1|  333.356   pc  |  -2.3559     +2.3559  |paral   |2020yCat.1350....0G
2907|TYC 1463-70-1                                                                                            |Horizontal Branch Star              |13 43 53.5430121936 +19 02 19.796580996|001.8123183522077 +75.4914348482992| -1.876 -20.567   |10.09    |~               |    ~     ~    |    1|  675.539   pc  |  -6.7084     +6.7084  |paral   |2020yCat.1350....0G
2908|TYC 1463-73-1                                                                                            |Spectroscopic Binary                |13 43 54.1369231008 +18 22 20.739379224|359.7303792252365 +75.0856685097859| 27.227 -28.805   |10.86    |~               |    ~     ~    |    1|  203.178   pc  |  -2.9599     +2.9599  |paral   |2020yCat.1350....0G
2909|TYC 1463-203-1                                                                                           |Star                                |13 43 26.0328047304 +19 10 14.204402364|001.9824898750508 +75.6566628791532| 37.614 -22.960   |10.57    |~               |    ~     ~    |    1|  261.629   pc  |  -1.2321     +1.2321  |paral   |2020yCat.1350....0G
2910|TYC 1463-262-1                                                                                           |High Proper Motion Star             |13 43 17.2797680760 +18 40 53.529001680|000.3346967629838 +75.3906986362193|-121.439 14.554   |10.09    |~               |    ~     ~    |    1|  127.719   pc  |  -0.2577     +0.2577  |paral   |2020yCat.1350....0G
2911|TYC 1463-351-1                                                                                           |Red Giant Branch star               |13 43 44.3320228584 +19 44 33.418143528|004.0577227908674 +75.9267703306625| -9.925 -13.356   |10.78    |~               |    ~     ~    |    1| 1071.467   pc  | -23.0756    +23.0756  |paral   |2020yCat.1350....0G
2912|TYC 1463-436-1                                                                                           |Horizontal Branch Star              |13 41 22.2556207368 +18 29 55.987695096|358.6342816072598 +75.6331165549354|  -19.676 1.862   |10.95    |~               |    ~     ~    |    1| 1134.687   pc  | -24.2053    +24.2053  |paral   |2020yCat.1350....0G
2913|TYC 1463-523-1                                                                                           |Horizontal Branch Star              |13 43 26.6876285568 +17 52 15.570611040|357.9660845835130 +74.8534206962151|   -5.702 1.460   |10.90    |~               |    ~     ~    |    1| 1005.429   pc  | -12.3328    +12.3328  |paral   |2020yCat.1350....0G
2914|TYC 1463-652-1                                                                                           |Star                                |13 42 54.7978741152 +18 02 04.811459064|358.1378290950108 +75.0553638042354|    5.942 3.630   |10.68    |~               |    ~     ~    |    1|  486.997   pc  |  -4.1741     +4.1741  |paral   |2020yCat.1350....0G
2915|TYC 1463-901-1                                                                                           |Red Giant Branch star               |13 43 26.3402177184 +18 47 59.352618588|000.7938304240407 +75.4342590447976|  -6.984 -9.273   |10.56    |~               |    ~     ~    |    1| 2355.713   pc  |-158.1574   +158.1574  |paral   |2020yCat.1350....0G
2916|TYC 1466-719-1                                                                                           |Star                                |13 42 31.5491577792 +20 20 55.340528676|005.5253584113009 +76.4979293056499|   3.980 -2.429   |10.73    |~               |    ~     ~    |    1|  259.875   pc  |  -1.1481     +1.1481  |paral   |2020yCat.1350....0G
2917|BD+18 2769                                                                                               |High Proper Motion Star             |13 42 28.7665767552 +17 36 40.939914600|356.6389057476524 +74.8591169204993|-31.393 -79.805   |10.42    |G5              |    ~     ~    |    1|  147.634   pc  |  -0.3422     +0.3422  |paral   |2020yCat.1350....0G
2918|BD+17 2660                                                                                               |Star                                |13 42 23.9708193000 +17 08 33.458167680|355.2664138181175 +74.5606105768640|  -17.456 6.741   |10.15    |F8              |    ~     ~    |    1|  296.648   pc  |  -2.9128     +2.9128  |paral   |2020yCat.1350....0G
2919|BD+16 2542                                                                                               |Spectroscopic Binary                |13 42 55.9776373992 +15 56 43.688724396|352.4399538149978 +73.6383834685088| -20.179 -2.083   |10.21    |F5              |    ~     ~    |    1|  192.883   pc  |  -2.5336     +2.5336  |paral   |2020yCat.1350....0G
2920|BD+16 2541                                                                                               |High Proper Motion Star             |13 42 55.7822853768 +15 29 47.201906652|351.3369341816302 +73.3170790896043|-64.260 -10.580   |9.81     |K2              |    ~     ~    |    1|  239.023   pc  |  -1.0912     +1.0912  |paral   |2020yCat.1350....0G
2921|HD 119516                                                                                                |Horizontal Branch Star              |13 43 26.7251638944 +15 34 31.069770096|351.8387366541265 +73.2877428400130|-49.997 -14.872   |9.12     |G5              |    ~     ~    |    1|  536.107   pc  |  -4.6848     +4.6848  |paral   |2020yCat.1350....0G
2922|HD 119585                                                                                                |High Proper Motion Star             |13 43 48.7164689856 +17 24 27.018957384|356.8485886720567 +74.4857313169679|-71.416 -22.737   |7.870    |K0              |    ~     ~    |    1|  159.780   pc  |  -1.6084     +1.6084  |paral   |2020yCat.1350....0G
2923|StKM 1-1090                                                                                              |Star                                |13 44 20.1393603312 +15 16 56.680415364|351.6692199601818 +72.9280445528039|  5.844 -21.928   |10.78    |K4              |    ~     ~    |    1|   53.513   pc  |  -0.0464     +0.0464  |paral   |2020yCat.1350....0G
2924|TYC 1460-349-1                                                                                           |Spectroscopic Binary                |13 44 19.2525806520 +17 24 36.231688260|357.1524593288094 +74.3957185456883|-52.507 -23.509   |10.13    |~               |    ~     ~    |    1|  187.161   pc  |  -1.4782     +1.4782  |paral   |2020yCat.1350....0G
2925|TYC 1460-765-1                                                                                           |High Proper Motion Star             |13 44 55.2669028008 +15 39 28.641517524|352.9144175904829 +73.0971318576277|  -53.784 4.199   |10.70    |~               |    ~     ~    |    1|  121.178   pc  |  -0.6138     +0.6138  |paral   |2020yCat.1350....0G
2926|TYC 1460-1155-1                                                                                          |Chemically Peculiar Star            |13 41 30.3834093432 +15 29 09.321794412|350.4365329183057 +73.5446006016585|-19.967 -12.809   |10.46    |~               |    ~     ~    |    1| 2475.248   pc  | -97.4169    +97.4169  |paral   |2020yCat.1350....0G
2927|TYC 1463-392-1                                                                                           |Spectroscopic Binary                |13 43 34.3063649280 +17 37 56.793902988|357.3479117325488 +74.6761286731324| 83.629 -48.114   |10.79    |~               |    ~     ~    |    1|  154.352   pc  |  -4.2169     +4.2169  |paral   |2020yCat.1350....0G
2928|TYC 1463-752-1                                                                                           |High Proper Motion Star             |13 44 09.6901241784 +17 49 15.750684804|358.2364181282972 +74.6905019582574| -36.203 39.860   |10.93    |~               |    ~     ~    |    1|  356.417   pc  |  -3.8110     +3.8110  |paral   |2020yCat.1350....0G
