C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:53:16

dec >=0&rah >=5.5&rah< 5.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6861

 #  |                                                                                  identifier                                                                                   |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
62  |BD+45 1127                                                                                                                                                                     |High Proper Motion Star         |05 30 28.5210626496 +45 55 18.933429144|163.9971116928005 +06.5105363189976| 45.090 -67.825   |9.35     |G0                |    ~     ~          |    1|   87.351   pc  |  -0.3571     +0.3571  |paral   |2020yCat.1350....0G
63  |BD+45 1128                                                                                                                                                                     |Star                            |05 30 38.7207591888 +45 24 46.548097884|164.4437184862570 +06.2596012762229|  2.663 -11.716   |10.12    |A0                |    ~     ~          |    1|  545.464   pc  |  -6.3672     +6.3672  |paral   |2020yCat.1350....0G
64  |HD 36098                                                                                                                                                                       |Star                            |05 31 32.7777964008 +45 29 38.060640888|164.4612042321225 +06.4362918567005|  -4.646 -0.675   |9.45     |A0                |    ~     ~          |    1|  418.708   pc  |  -6.1711     +6.1711  |paral   |2020yCat.1350....0G
65  |HD 36243                                                                                                                                                                       |Star                            |05 32 38.7828570744 +45 32 12.983185500|164.5291498212539 +06.6218528925438| -9.069 -24.754   |7.95     |F8                |    ~     ~          |    1|  156.551   pc  |  -0.5931     +0.5931  |paral   |2020yCat.1350....0G
66  |HD 36244                                                                                                                                                                       |Star                            |05 32 44.1988979256 +45 29 28.563201132|164.5764851818340 +06.6106670849662|  3.584 -14.731   |8.000    |G5                |    ~     ~          |    1|  255.337   pc  |  -1.5582     +1.5582  |paral   |2020yCat.1350....0G
67  |HD 36318                                                                                                                                                                       |Star                            |05 33 14.4798833352 +45 44 11.646736584|164.4156273061475 +06.8166765885348|  -2.235 -4.664   |8.73     |A0                |    ~     ~          |    1|  487.068   pc  |  -6.6900     +6.6900  |paral   |2020yCat.1350....0G
68  |HD 36333                                                                                                                                                                       |Star                            |05 33 16.9677195576 +45 14 20.957870328|164.8424675063244 +06.5563864591941|  4.512 -15.221   |8.46     |K0                |    ~     ~          |    1|  410.357   pc  |  -4.5803     +4.5803  |paral   |2020yCat.1350....0G
69  |BD+45 1135                                                                                                                                                                     |High Proper Motion Star         |05 33 36.5108721168 +45 25 51.080710332|164.7103195012660 +06.7073687534374|  6.579 -54.609   |9.33     |F8                |    ~     ~          |    1|  119.433   pc  |  -0.2140     +0.2140  |paral   |2020yCat.1350....0G
70  |BD+45 1136                                                                                                                                                                     |Star                            |05 34 00.0292297368 +45 24 00.484633296|164.7734806580102 +06.7490929737083|   1.702 -3.310   |8.98     |M2e               |    ~     ~          |    1| 1069.404   pc  | -29.6199    +29.6199  |paral   |2020yCat.1350....0G
71  |HD 36467                                                                                                                                                                       |Be Star                         |05 34 12.4041188232 +45 16 40.842929100|164.8969480831451 +06.7145559410443|  -1.020 -1.959   |8.54     |B9                |    ~     ~          |    1|  719.735   pc  | -14.2455    +14.2455  |paral   |2020yCat.1350....0G
