C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:26:25

dec >=0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9715

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
9434|HD 194360A                                                                                               |Star                              |20 24 25.790 +24 16 39.43              |065.257052 -07.627978              |       15.2 5.2  |7.27     |G8III                 |    ~     ~    |    0|                |                       |        |                   
9435|HD 194360B                                                                                               |Star                              |20 24 25.810 +24 16 39.30              |065.257066 -07.628061              |       15.2 5.2  |8.92     |A1                    |    ~     ~    |    0|                |                       |        |                   
9436|TYC 3159-988-1                                                                                           |Star                              |20 16 46.9510892400 +41 57 48.875585112|078.9815309237754 +03.6763304815719|  2.518 -14.958  |10.82    |~                     |    ~     ~    |    1|  345.137   pc  |  -1.5247     +1.5247  |paral   |2020yCat.1350....0G
9437|HD 332066A                                                                                               |Star                              |20 16 57.6540511416 +31 52 10.786974348|070.6263010976944 -01.9938185938299|-18.249 -25.862  |10.92    |~                     |    ~     ~    |    1|  305.176   pc  |  -3.5204     +3.5204  |paral   |2020yCat.1350....0G
9438|NAME HD 192911 AB                  NAME HD 192911 AB                                                     |Double or Multiple Star           |20 15 40.2489454574 +43 38 59.182193078|080.2749764907399 +04.7813059938165|            ~ ~  |8.57     |F0V                   |    ~     ~    |    0|                |                       |        |                   
9439|HD 193636A                                                                                               |Star                              |20 19 57.835 +36 16 07.96              |074.613962 -00.033084              |       5.4 -8.6  |8.93     |~                     |    ~     ~    |    0|                |                       |        |                   
9440|HD 193636B                                                                                               |Star                              |20 19 57.856 +36 16 08.40              |074.614103 -00.033073              |       5.4 -8.6  |8.58     |~                     |    ~     ~    |    0|                |                       |        |                   
9441|HD 193651A                                                                                               |High Proper Motion Star           |20 21 17.4295821144 +02 50 21.800669856|046.2268417512308 -18.4845813676958| 63.640 -24.850  |9.61     |~                     |    ~     ~    |    1|   51.092   pc  |  -0.0825     +0.0825  |paral   |2020yCat.1350....0G
9442|HD 193651B                                                                                               |High Proper Motion Star           |20 21 17.4813826032 +02 50 22.496224920|046.2271316019068 -18.4846720995739| 65.045 -12.952  |9.67     |~                     |    ~     ~    |    1|   51.066   pc  |  -0.1317     +0.1317  |paral   |2020yCat.1350....0G
9443|NGC 6910 67                        GSC 03156-01884                                                       |Star                              |20 22 17.0418605328 +40 43 07.533425424|078.5344676262679 +02.1218627156932|   0.127 -2.398  |12.51    |~                     |    ~     ~    |    1|  551.663   pc  |  -3.0433     +3.0433  |paral   |2020yCat.1350....0G
9444|NGC 6910 77                        NGC 6910 77                                                           |Star                              |20 22 30.4923140784 +40 33 28.637112924|078.4265821378681 +01.9952039042206| -5.916 -10.926  |12.79    |~                     |    ~     ~    |    1|  833.681   pc  |  -8.4098     +8.4098  |paral   |2020yCat.1350....0G
9445|NGC 6910 78                        GSC 03156-01250                                                       |Star                              |20 22 28.1195863680 +40 36 09.722997792|078.4590616532443 +02.0269051897709|-11.347 -16.031  |12.23    |~                     |    ~     ~    |    1|  526.316   pc  |  -2.2715     +2.2715  |paral   |2020yCat.1350....0G
9446|NGC 6910 85                        NGC 6910 85                                                           |Star                              |20 23 00.6060950784 +40 38 06.824027724|078.5445036188067 +01.9611529866266|   11.086 1.043  |13.21    |~                     |    ~     ~    |    1| 1196.029   pc  | -15.5923    +15.5923  |paral   |2020yCat.1350....0G
9447|NGC 6910 88                        NGC 6910 88                                                           |Star                              |20 23 19.5221665464 +40 40 54.942631644|078.6170567117212 +01.9388379961565|-26.370 -11.273  |12.88    |~                     |    ~     ~    |    1|  681.570   pc  |  -9.5230     +9.5230  |paral   |2020yCat.1350....0G
9448|NGC 6910 89                        NGC 6910 89                                                           |Star                              |20 23 20.1845415048 +40 41 24.992557296|078.6251031863598 +01.9419013430336|   4.592 -5.655  |     ~   |~                     |    ~     ~    |    1|  691.994   pc  |  -6.3688     +6.3688  |paral   |2020yCat.1350....0G
9449|NGC 6910 90                        NGC 6910 90                                                           |Star                              |20 23 20.6026431720 +40 41 28.551315444|078.6266708682560 +01.9413843833636|-11.752 -16.940  |12.08    |~                     |    ~     ~    |    1|  852.806   pc  | -55.1276    +55.1276  |paral   |2020yCat.1350....0G
9450|NGC 6910 91                        NGC 6910 91                                                           |Spectroscopic Binary              |20 23 20.1474660384 +40 39 15.013744164|078.5954180525354 +01.9213247768986| -3.335 -10.447  |12.62    |~                     |    ~     ~    |    1| 1278.609   pc  | -35.9665    +35.9665  |paral   |2020yCat.1350....0G
9451|NGC 6910 92                        NGC 6910 92                                                           |Star                              |20 23 19.7799567384 +40 38 04.439581944|078.5786710153685 +01.9110527496871|    3.832 7.005  |     ~   |~                     |    ~     ~    |    1|  706.165   pc  |  -5.3856     +5.3856  |paral   |2020yCat.1350....0G
9452|NGC 6910 93                        NGC 6910 93                                                           |Star                              |20 23 24.1003988664 +40 37 32.852378352|078.5793018608592 +01.8948279937854| -3.051 -12.272  |     ~   |~                     |    ~     ~    |    1|  474.293   pc  |  -2.3395     +2.3395  |paral   |2020yCat.1350....0G
9453|NGC 6910 95                        NGC 6910 95                                                           |Star                              |20 23 30.4747034280 +40 37 18.036112908|078.5874809538582 +01.8759470574876|  -2.046 -3.270  |     ~   |~                     |    ~     ~    |    1| 1251.564   pc  | -21.7731    +21.7731  |paral   |2020yCat.1350....0G
9454|NGC 6910 96                        NGC 6910 96                                                           |Star                              |20 23 35.7994209216 +40 37 45.033806892|078.6032851756214 +01.8664451532757|  11.431 -1.069  |13.57    |~                     |    ~     ~    |    1|  815.262   pc  |  -7.5770     +7.5770  |paral   |2020yCat.1350....0G
9455|NGC 6910 97                        NGC 6910 97                                                           |Star                              |20 23 34.4892849840 +40 39 28.308051900|078.6244303865304 +01.8862814058794|  -2.102 -3.182  |     ~   |~                     |    ~     ~    |    1| 1216.545   pc  | -25.7517    +25.7517  |paral   |2020yCat.1350....0G
9456|NGC 6910 98                        NGC 6910 98                                                           |Star                              |20 23 46.8443547072 +40 36 56.106084852|078.6121835803051 +01.8300343183543|-10.533 -13.923  |     ~   |~                     |    ~     ~    |    1|  658.501   pc  |  -5.6805     +5.6805  |paral   |2020yCat.1350....0G
9457|NGC 6910 99                        NGC 6910 99                                                           |Star                              |20 23 46.6582193640 +40 35 41.451282060|078.5948502853607 +01.8186216184215| -2.879 -12.330  |     ~   |~                     |    ~     ~    |    1|  972.195   pc  | -18.8088    +18.8088  |paral   |2020yCat.1350....0G
9458|NGC 6910 105                       NGC 6910 105                                                          |Star                              |20 24 11.8570226808 +40 30 17.997057684|078.5670713549532 +01.7017176422028|  10.895 -6.584  |     ~   |~                     |    ~     ~    |    1|  369.372   pc  |  -1.2688     +1.2688  |paral   |2020yCat.1350....0G
9459|NGC 6910 106                       NGC 6910 106                                                          |Star                              |20 24 14.4210881664 +40 31 25.864444128|078.5871762116261 +01.7059034434932|  -1.575 -4.032  |     ~   |~                     |    ~     ~    |    1| 1011.327   pc  |  -9.8187     +9.8187  |paral   |2020yCat.1350....0G
9460|NGC 6910 108                       NGC 6910 108                                                          |Star                              |20 24 11.5012571016 +40 35 32.427393216|078.6379419051248 +01.7528232236123|-24.224 -25.850  |     ~   |~                     |    ~     ~    |    1|  108.305   pc  |  -0.0974     +0.0974  |paral   |2020yCat.1350....0G
9461|NGC 6910 109                       NGC 6910 109                                                          |Star                              |20 24 29.0104152446 +40 37 02.820045991|078.6903526116551 +01.7219365240220|  -3.491 -5.216  |     ~   |~                     |    ~     ~    |    1| 2315.35    pc  |-204.248    +204.248   |paral   |2020yCat.1350....0G
9462|NGC 6910 110                       NGC 6910 110                                                          |Star                              |20 24 36.6591887184 +40 39 28.666487628|078.7374241605694 +01.7254644771834|  -0.046 -4.677  |     ~   |~                     |    ~     ~    |    1|  660.328   pc  |  -4.7964     +4.7964  |paral   |2020yCat.1350....0G
9463|NGC 6910 111                       NGC 6910 111                                                          |Star                              |20 24 20.6455478016 +40 36 17.193481704|078.6647569804732 +01.7362950608731|-13.740 -23.794  |     ~   |~                     |    ~     ~    |    1|  919.709   pc  |  -7.7820     +7.7820  |paral   |2020yCat.1350....0G
9464|NGC 6910 112                       NGC 6910 112                                                          |Star                              |20 24 14.6245992936 +40 37 24.023623656|078.6690041618040 +01.7625490798802|  -3.427 -5.460  |12.62    |~                     |    ~     ~    |    1| 1737.921   pc  | -26.2772    +26.2772  |paral   |2020yCat.1350....0G
9465|NGC 6910 116                       NGC 6910 116                                                          |Star                              |20 24 01.5695927832 +40 38 40.300680588|078.6626336853129 +01.8085104676236|   0.899 -9.006  |     ~   |~                     |    ~     ~    |    1|  820.345   pc  |  -7.0661     +7.0661  |paral   |2020yCat.1350....0G
9466|NGC 6910 117                       NGC 6910 117                                                          |Star                              |20 23 59.6198986368 +40 39 46.689270660|078.6742005139213 +01.8241440187821|   13.313 0.417  |13.59    |~                     |    ~     ~    |    1|  549.753   pc  | -20.0982    +20.0982  |paral   |2020yCat.1350....0G
9467|NGC 6910 127                       NGC 6910 127                                                          |Star                              |20 23 39.0012790416 +40 52 28.079641452|078.8101925025958 +01.9987615913538|    3.077 0.122  |     ~   |~                     |    ~     ~    |    1|  500.250   pc  |  -2.7528     +2.7528  |paral   |2020yCat.1350....0G
9468|NGC 6910 128                       NGC 6910 128                                                          |Star                              |20 23 47.3017077744 +40 52 49.888910208|078.8301614116024 +01.9808101017050|   -0.002 1.970  |     ~   |~                     |    ~     ~    |    1|  796.369   pc  |  -8.2446     +8.2446  |paral   |2020yCat.1350....0G
9469|NGC 6910 129                       NGC 6910 129                                                          |Star                              |20 23 50.7439739832 +40 51 58.272007104|078.8246339236426 +01.9637020659095|   1.610 -2.530  |     ~   |~                     |    ~     ~    |    1| 1198.610   pc  | -15.8033    +15.8033  |paral   |2020yCat.1350....0G
9470|NGC 6910 130                       NGC 6910 130                                                          |Star                              |20 23 51.5961361776 +40 50 55.414481964|078.8118654968336 +01.9514858508785|  0.795 -14.132  |     ~   |~                     |    ~     ~    |    1|  463.886   pc  |  -2.1949     +2.1949  |paral   |2020yCat.1350....0G
9471|NGC 6910 131                       NGC 6910 131                                                          |Star                              |20 23 52.6920619488 +40 49 15.085086024|078.7910092336850 +01.9326670104325|-33.245 -29.125  |     ~   |~                     |    ~     ~    |    1|  287.233   pc  |  -1.0725     +1.0725  |paral   |2020yCat.1350....0G
9472|NGC 6910 132                       NGC 6910 132                                                          |Star                              |20 24 06.5371407144 +40 51 08.219591172|078.8418238767564 +01.9149665524359|  -2.021 -4.280  |13.64    |~                     |    ~     ~    |    1| 2055.921   pc  | -44.8042    +44.8042  |paral   |2020yCat.1350....0G
9473|NGC 6910 135                       NGC 6910 135                                                          |Star                              |20 24 29.5324834992 +40 54 23.966163540|078.9280020220638 +01.8869284782901|   2.504 -1.650  |     ~   |~                     |    ~     ~    |    1|  576.967   pc  |  -4.8269     +4.8269  |paral   |2020yCat.1350....0G
9474|NGC 6910 136                       NGC 6910 136                                                          |Star                              |20 24 30.6813911856 +40 54 08.362502640|078.9265363892428 +01.8814758119705|    4.233 1.303  |     ~   |~                     |    ~     ~    |    1|  426.403   pc  |  -1.9091     +1.9091  |paral   |2020yCat.1350....0G
9475|NGC 6910 137                       NGC 6910 137                                                          |Star                              |20 24 16.6804286064 +40 54 04.523314536|078.9003004811597 +01.9169411286395|  -2.994 -5.185  |     ~   |~                     |    ~     ~    |    1| 1746.115   pc  | -30.7941    +30.7941  |paral   |2020yCat.1350....0G
9476|NGC 6910 139                       NGC 6910 139                                                          |Star                              |20 24 19.7145085512 +41 01 03.350426376|079.0010572510179 +01.9759845555347|  -1.200 -1.402  |     ~   |~                     |    ~     ~    |    1| 1023.541   pc  | -12.1526    +12.1526  |paral   |2020yCat.1350....0G
9477|NGC 6910 142                       NGC 6910 142                                                          |Star                              |20 23 44.2219630032 +40 57 24.533864280|078.8871365218387 +02.0325019311843|  -3.658 -5.368  |     ~   |~                     |    ~     ~    |    1| 1671.682   pc  | -38.0055    +38.0055  |paral   |2020yCat.1350....0G
9478|NGC 6910 144                       NGC 6910 144                                                          |Spectroscopic Binary              |20 23 40.3004079696 +40 57 53.967898188|078.8867615175765 +02.0472993129255| -3.175 -19.940  |     ~   |~                     |    ~     ~    |    1|  505.842   pc  |  -3.6846     +3.6846  |paral   |2020yCat.1350....0G
9479|NGC 6910 145                       NGC 6910 145                                                          |Star                              |20 23 25.8230672544 +40 55 49.707407784|078.8323322897592 +02.0648653464031|  -6.940 -6.072  |13.65    |~                     |    ~     ~    |    1| 1152.339   pc  | -13.1461    +13.1461  |paral   |2020yCat.1350....0G
9480|NGC 6910 146                       NGC 6910 146                                                          |Star                              |20 23 40.6052787168 +41 07 28.792822296|079.0182390383523 +02.1380367808114|   -0.974 6.737  |     ~   |~                     |    ~     ~    |    1|  731.048   pc  |  -5.7184     +5.7184  |paral   |2020yCat.1350....0G
9481|NGC 6910 147                       NGC 6910 147                                                          |Star                              |20 23 39.8613498024 +41 10 25.249323612|079.0570953080633 +02.1680419060579| -9.201 -12.606  |     ~   |~                     |    ~     ~    |    1| 1131.094   pc  | -13.1775    +13.1775  |paral   |2020yCat.1350....0G
9482|NGC 6910 156                       NGC 6910 156                                                          |Star                              |20 22 44.6119629432 +40 58 06.426111216|078.7892879297875 +02.1929755212203| -5.976 -12.166  |14.30    |~                     |    ~     ~    |    1| 1679.543   pc  | -51.0577    +51.0577  |paral   |2020yCat.1350....0G
9483|NGC 6910 157                       NGC 6910 157                                                          |Star                              |20 22 33.3411312312 +40 58 18.649132608|078.7718203338925 +02.2240266733829|    5.405 9.078  |     ~   |~                     |    ~     ~    |    1|  970.214   pc  | -10.6369    +10.6369  |paral   |2020yCat.1350....0G
9484|NGC 6910 161                       NGC 6910 161                                                          |Star                              |20 22 13.0642283088 +41 05 22.854646860|078.8323236376102 +02.3435765272448|  -4.496 -1.308  |     ~   |~                     |    ~     ~    |    1|  485.838   pc  |  -2.8561     +2.8561  |paral   |2020yCat.1350....0G
9485|NGC 6910 162                       NGC 6910 162                                                          |Star                              |20 22 21.4762981824 +41 07 49.854095616|078.8809676369479 +02.3451516213950| 10.685 -22.884  |     ~   |~                     |    ~     ~    |    1|  347.355   pc  |  -8.9406     +8.9406  |paral   |2020yCat.1350....0G
9486|NGC 6910 163                       NGC 6910 163                                                          |Star                              |20 22 29.7430563240 +41 06 16.905691080|078.8745522731567 +02.3091113224986|    7.880 1.572  |     ~   |~                     |    ~     ~    |    1|  691.611   pc  |  -6.6966     +6.6966  |paral   |2020yCat.1350....0G
9487|HD 193161B                                                                                               |Star                              |20 18 14.3808942930 +18 19 39.835566908|059.4402315332880 -09.7296033304605|   14.466 8.129  |10.90    |~                     |    ~     ~    |    1|  258.284   pc  |  -4.5363     +4.5363  |paral   |2020yCat.1350....0G
9488|NGC 6921                           NGC 6921                                                              |Seyfert 2 Galaxy                  |20 28 28.8658027224 +25 43 24.094324884|066.9832843689999 -07.5585428241651|            ~ ~  |12.897   |~                     |1.090 0.436    |    0|                |                       |        |                   
9489|HD 228592                                                                                                |Star                              |20 15 20.1334777248 +39 37 48.463520664|076.8864232809541 +02.6068562580272| -4.528 -10.374  |9.203    |A0II                  |    ~     ~    |    1|  712.606   pc  |  -7.1601     +7.1601  |paral   |2020yCat.1350....0G
9490|HD 346483A                                                                                               |Star                              |20 25 50.8244225064 +24 02 35.906573976|065.2468244873311 -08.0271082465119|-15.138 -17.670  |10.94    |~                     |    ~     ~    |    1|  546.269   pc  |  -5.2520     +5.2520  |paral   |2020yCat.1350....0G
9491|HD 346483B                                                                                               |Star                              |20 25 50.7793235808 +24 02 37.442609808|065.2470810860242 -08.0267249146820|-14.952 -16.473  |10.94    |~                     |    ~     ~    |    1|  553.618   pc  |  -5.4862     +5.4862  |paral   |2020yCat.1350....0G
9492|TYC 3937-1031-1                                                                                          |Star                              |20 15 10.0362484656 +54 08 43.384030368|089.1173600291956 +10.5642272012661|   -4.805 2.376  |10.97    |~                     |    ~     ~    |    1|  659.283   pc  |  -4.9551     +4.9551  |paral   |2020yCat.1350....0G
9493|TYC 3155-2326-1                                                                                          |Star                              |20 16 48.247 +39 41 54.63              |077.100742 +02.410116              |       2.8 -3.3  |8.67     |~                     |    ~     ~    |    0|                |                       |        |                   
9494|TYC 3937-2458-1                                                                                          |Star                              |20 22 50.0302309992 +53 25 08.289275880|089.1259973343722 +09.2189085630576|  12.269 17.254  |10.57    |~                     |    ~     ~    |    1|  332.403   pc  |  -1.4585     +1.4585  |paral   |2020yCat.1350....0G
9495|HD 228897B                                                                                               |High Proper Motion Star           |20 19 17.6338161672 +38 58 41.505551868|076.7744881086158 +01.6074418297627| 68.758 150.753  |10.42    |~                     |    ~     ~    |    1|   68.381   pc  |  -0.0641     +0.0641  |paral   |2020yCat.1350....0G
9496|HD 194525B                                                                                               |Star                              |20 25 02.540563 +30 34 06.16024        |070.532533052 -04.154722413        |       3.5 -6.4  |10.99    |~                     |    ~     ~    |    0|                |                       |        |                   
9497|TYC 1081-1423-2                                                                                          |Star                              |20 15 05.402 +11 42 41.19              |053.324344 -12.621613              |        6.6 5.6  |10.33    |~                     |    ~     ~    |    0|                |                       |        |                   
9498|TYC 3159-954-2                                                                                           |Star                              |20 15 07.706 +42 49 00.91              |079.523724 +04.403624              |        4.4 6.1  |10.57    |~                     |    ~     ~    |    0|                |                       |        |                   
9499|TYC 2163-357-2                                                                                           |Star                              |20 16 00.758 +27 03 09.84              |066.502530 -04.503250              |       -0.9 8.0  |10.06    |~                     |    ~     ~    |    0|                |                       |        |                   
9500|TYC 3941-816-2                                                                                           |Star                              |20 16 24.143 +55 41 48.37              |090.549880 +11.242172              |      -1.1 -5.8  |10.28    |~                     |    ~     ~    |    0|                |                       |        |                   
9501|TYC 4597-762-2                                                                                           |Star                              |20 16 32.393 +81 08 45.57              |113.924928 +23.631013              |      -23.5 1.4  |9.76     |~                     |    ~     ~    |    0|                |                       |        |                   
9502|TYC 2684-852-2                                                                                           |Star                              |20 16 38.781 +36 28 50.84              |074.413576 +00.638251              |        3.7 3.4  |10.77    |~                     |    ~     ~    |    0|                |                       |        |                   
9503|TYC 2676-172-2                                                                                           |Star                              |20 16 56.142 +32 34 34.94              |071.209586 -01.594345              |      -2.0 -1.8  |10.09    |~                     |    ~     ~    |    0|                |                       |        |                   
9504|HD 193095B                                                                                               |High Proper Motion Star           |20 17 34.619432 +26 22 12.84743        |066.127237245 -05.172583163        |     -8.1 -77.6  |9.32     |~                     |    ~     ~    |    0|                |                       |        |                   
9505|HD 351876B                                                                                               |Star                              |20 17 45.305859 +19 17 00.02268        |060.189214094 -09.112838470        |      5.9 -19.2  |10.91    |~                     |    ~     ~    |    0|                |                       |        |                   
9506|HD 193511B                                                                                               |High Proper Motion Star           |20 17 46.3043832144 +57 17 15.338081328|092.0263088665123 +11.9310454985000|  82.749 53.380  |9.92     |~                     |    ~     ~    |    1|  111.592   pc  |  -0.4471     +0.4471  |paral   |2020yCat.1350....0G
9507|TYC 1086-316-2                                                                                           |Star                              |20 18 36.515 +13 17 51.94              |055.169136 -12.513325              |       -5.3 3.9  |10.25    |~                     |    ~     ~    |    0|                |                       |        |                   
9508|TYC 3949-314-2                                                                                           |Star                              |20 18 41.854671 +58 23 13.54708        |093.045031963 +12.413156986        |      12.8 23.7  |10.77    |~                     |    ~     ~    |    0|                |                       |        |                   
9509|TYC 2676-720-2                                                                                           |Star                              |20 18 43.433 +33 15 00.23              |071.978100 -01.527064              |      -0.4 -7.9  |9.27     |~                     |    ~     ~    |    0|                |                       |        |                   
9510|TYC 3155-11-2                                                                                            |Star                              |20 18 42.273 +41 13 31.03              |078.569735 +02.965558              |        5.3 1.7  |10.64    |~                     |    ~     ~    |    0|                |                       |        |                   
9511|TYC 4233-1625-2                                                                                          |Star                              |20 18 41.565 +60 13 26.05              |094.642047 +13.388147              |     -2.2 -10.1  |10.48    |~                     |    ~     ~    |    0|                |                       |        |                   
9512|TYC 3159-89-2                                                                                            |Star                              |20 18 50.630 +42 43 50.01              |079.832216 +03.789097              |       4.1 -5.7  |9.92     |~                     |    ~     ~    |    0|                |                       |        |                   
9513|TYC 3155-48-2                                                                                            |Star                              |20 18 53.219 +39 45 09.77              |077.370334 +02.108846              |      -1.8 -4.3  |10.26    |~                     |    ~     ~    |    0|                |                       |        |                   
9514|TYC 2167-655-2                                                                                           |Star                              |20 19 06.884 +29 14 55.87              |068.712649 -03.846200              |       1.3 -4.2  |10.78    |~                     |    ~     ~    |    0|                |                       |        |                   
9515|TYC 4245-828-2                                                                                           |High Proper Motion Star           |20 19 22.394 +65 59 53.55              |099.788793 +16.322119              |    -57.6 -31.4  |10.53    |~                     |    ~     ~    |    0|                |                       |        |                   
9516|TYC 2167-1317-2                                                                                          |Star                              |20 19 33.154 +29 56 04.68              |069.334621 -03.539426              |     -1.9 -12.5  |10.44    |~                     |    ~     ~    |    0|                |                       |        |                   
9517|BD+51 2838B                                                                                              |Star                              |20 19 36.751980 +51 32 15.39591        |087.265543866 +08.585186047        |       10.1 7.7  |10.49    |~                     |    ~     ~    |    0|                |                       |        |                   
9518|TYC 1631-982-2                                                                                           |Star                              |20 19 40.183 +15 21 31.51              |057.089428 -11.625887              |       5.4 12.5  |10.77    |~                     |    ~     ~    |    0|                |                       |        |                   
9519|TYC 496-2223-2                                                                                           |Star                              |20 19 47.765594 +01 31 39.98883        |044.828805202 -18.808639402        |      25.9 -8.8  |10.80    |~                     |    ~     ~    |    0|                |                       |        |                   
9520|HD 193701B                                                                                               |Star                              |20 19 49.740268 +45 21 49.48014        |082.118343694 +05.119650590        |     18.4 -29.2  |8.68     |F8V                   |    ~     ~    |    0|                |                       |        |                   
9521|TYC 4585-258-2                                                                                           |Star                              |20 20 04.258 +76 05 29.82              |109.115757 +21.218717              |     -7.2 -10.3  |10.21    |~                     |    ~     ~    |    0|                |                       |        |                   
9522|BD+62 1803B                                                                                              |Star                              |20 20 09.870897 +62 35 59.65894        |096.819036463 +14.489165772        |        8.2 4.5  |10.65    |~                     |    ~     ~    |    0|                |                       |        |                   
9523|HD 357295B                                                                                               |Star                              |20 20 39.892701 +12 49 04.83965        |055.026581465 -13.192753889        |       6.4 -1.7  |10.11    |~                     |    ~     ~    |    0|                |                       |        |                   
9524|TYC 1086-1108-2                                                                                          |Star                              |20 20 49.766 +13 27 13.76              |055.600088 -12.886656              |        5.3 2.5  |10.42    |~                     |    ~     ~    |    0|                |                       |        |                   
9525|HD 229029B                                                                                               |Star                              |20 20 48.682767 +39 18 34.64274        |077.214397610 +01.552318723        |        5.9 6.7  |10.82    |~                     |    ~     ~    |    0|                |                       |        |                   
9526|TYC 2155-709-2                                                                                           |Star                              |20 21 36.168 +23 45 51.18              |064.462718 -07.382802              |       10.8 6.4  |9.55     |~                     |    ~     ~    |    0|                |                       |        |                   
9527|BD+73 906B                                                                                               |Star                              |20 21 53.197492 +73 47 06.93725        |107.008946964 +20.016596969        |        6.3 3.7  |10.52    |~                     |    ~     ~    |    0|                |                       |        |                   
9528|HD 229109B                                                                                               |Star                              |20 21 56.669858 +38 35 29.11608        |076.748829669 +00.962659184        |      -0.2 -6.0  |10.93    |~                     |    ~     ~    |    0|                |                       |        |                   
9529|TYC 3572-1232-2                                                                                          |High Proper Motion Star           |20 22 28.254 +46 13 04.59              |083.087439 +05.220692              |   -37.2 -100.6  |9.71     |~                     |    ~     ~    |    0|                |                       |        |                   
9530|HD 334274B                                                                                               |Star                              |20 22 44.086723 +29 30 07.25162        |069.368777358 -04.353893000        |       14.9 5.5  |10.89    |~                     |    ~     ~    |    0|                |                       |        |                   
9531|BD+83 586B                                                                                               |Star                              |20 22 46.346570 +83 33 59.27209        |116.416411295 +24.482407601        |       8.9 11.9  |10.21    |~                     |    ~     ~    |    0|                |                       |        |                   
9532|HD 229177B                                                                                               |Star                              |20 23 04.945840 +40 36 35.89026        |078.531625272 +01.935448051        |       3.0 -3.0  |10.34    |~                     |    ~     ~    |    0|                |                       |        |                   
9533|TYC 3164-847-2                                                                                           |Star                              |20 23 06.294774 +44 05 06.42049        |081.390519145 +03.916738893        |     -9.9 -12.1  |10.93    |~                     |    ~     ~    |    0|                |                       |        |                   
9534|TYC 3576-581-2                                                                                           |Star                              |20 23 18.378 +48 06 44.43              |084.737300 +06.176603              |     -9.3 -24.2  |10.54    |~                     |    ~     ~    |    0|                |                       |        |                   
9535|HD 229230A                                                                                               |High Proper Motion Star           |20 23 50.1048406200 +41 46 29.731599840|079.5685319756948 +02.4864485425898| 12.293 -54.269  |9.99     |~                     |    ~     ~    |    1|  121.370   pc  |  -0.3241     +0.3241  |paral   |2020yCat.1350....0G
9536|NGC 6913 90B                       NGC 6913 90B                                                          |Star                              |20 23 59.444755 +38 19 30.35622        |076.759713118 +00.481747758        |       2.2 -3.7  |12.80    |~                     |    ~     ~    |    0|                |                       |        |                   
9537|TYC 3164-855-2                                                                                           |Star                              |20 23 57.057 +44 56 33.66              |082.182848 +04.282241              |        8.1 3.7  |10.77    |~                     |    ~     ~    |    0|                |                       |        |                   
9538|TYC 3576-1237-2                                                                                          |Star                              |20 24 17.363445 +47 59 41.48551        |084.733798122 +05.974664251        |    -17.0 -26.4  |10.69    |~                     |    ~     ~    |    0|                |                       |        |                   
9539|HD 194283B                                                                                               |Star                              |20 24 26.5617551856 +12 12 46.243822428|055.0082368766378 -14.2954795489305| 12.478 -20.266  |10.57    |~                     |    ~     ~    |    1|  182.922   pc  |  -0.8031     +0.8031  |paral   |2020yCat.1350....0G
9540|TYC 1082-175-2                                                                                           |Star                              |20 24 23.125 +13 00 35.92              |055.693325 -13.854990              |      3.4 -11.4  |10.05    |~                     |    ~     ~    |    0|                |                       |        |                   
9541|HD 332261B                                                                                               |Star                              |20 24 28.347763 +31 20 09.94926        |071.092577982 -03.614248414        |       19.5 3.7  |10.66    |~                     |    ~     ~    |    0|                |                       |        |                   
9542|BD+76 800B                                                                                               |Star                              |20 24 46.632317 +76 40 59.23598        |109.815329007 +21.255221088        |      -7.3 -3.9  |10.48    |~                     |    ~     ~    |    0|                |                       |        |                   
9543|TYC 2693-1271-2                                                                                          |Star                              |20 24 55.183 +34 03 39.52              |073.379534 -02.125268              |      10.8 -0.3  |8.69     |~                     |    ~     ~    |    0|                |                       |        |                   
9544|HD 332227B                                                                                               |Star                              |20 25 02.935284 +33 56 45.00324        |073.300776544 -02.213478977        |       15.2 9.1  |10.87    |~                     |    ~     ~    |    0|                |                       |        |                   
9545|TYC 4233-2287-2                                                                                          |Star                              |20 25 16.669 +60 00 42.72              |094.911407 +12.582696              |     -3.5 -15.8  |9.66     |~                     |    ~     ~    |    0|                |                       |        |                   
9546|TYC 3164-785-2                                                                                           |Star                              |20 25 16.089 +43 55 16.73              |081.479171 +03.504030              |        4.8 7.5  |10.36    |~                     |    ~     ~    |    0|                |                       |        |                   
9547|TYC 3160-551-2                                                                                           |Star                              |20 25 22.139 +41 29 28.55              |079.501231 +02.088844              |     -0.4 -16.4  |10.44    |~                     |    ~     ~    |    0|                |                       |        |                   
9548|TYC 3941-1889-2                                                                                          |Star                              |20 25 40.697 +55 08 19.64              |090.807558 +09.835278              |        4.4 2.6  |9.33     |~                     |    ~     ~    |    0|                |                       |        |                   
9549|TYC 3576-1182-2                                                                                          |Star                              |20 26 03.538853 +47 24 54.88844        |084.426777340 +05.399129397        |       0.8 -3.7  |10.91    |~                     |    ~     ~    |    0|                |                       |        |                   
