C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:26:25

dec >=0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9715

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
66  |HD 195213                                                                                                |Star                              |20 28 32.0275383864 +40 49 02.898008652|079.2984845408059 +01.2126022105440|  -2.090 -3.103  |8.82     |O7Ib(f)               |    ~     ~    |    1| 1322.751   pc  | -26.9449    +26.9449  |paral   |2020yCat.1350....0G
67  |HD 195230                                                                                                |Star                              |20 28 33.4828907808 +40 54 06.745370328|079.3696712860850 +01.2582042079914|    4.949 4.060  |7.94     |A0                    |    ~     ~    |    1|  262.288   pc  |  -1.5341     +1.5341  |paral   |2020yCat.1350....0G
68  |BD+40 4190                                                                                               |Star                              |20 28 49.5462873912 +40 38 56.383711260|079.1941329266069 +01.0692190613294|    6.099 2.164  |9.41     |Am                    |    ~     ~    |    1|  352.125   pc  |  -1.8227     +1.8227  |paral   |2020yCat.1350....0G
69  |HD 195339                                                                                                |Star                              |20 29 14.7816744120 +40 47 45.374274816|079.3599409092468 +01.0906597433415|    5.895 2.419  |8.82     |A0                    |    ~     ~    |    1|  356.252   pc  |  -2.3606     +2.3606  |paral   |2020yCat.1350....0G
70  |TYC 3156-2071-1                                                                                          |Star                              |20 29 26.4251731608 +40 18 58.544577900|078.9929091974182 +00.7795800326935|   4.407 -6.276  |10.86    |G0                    |    ~     ~    |    1|  285.404   pc  |  -1.8328     +1.8328  |paral   |2020yCat.1350....0G
71  |BD+40 4197                                                                                               |Star                              |20 29 28.3889705160 +41 00 13.782971448|079.5535228054819 +01.1778151101997|  12.407 18.340  |9.17     |~                     |    ~     ~    |    1|  213.744   pc  |  -0.5528     +0.5528  |paral   |2020yCat.1350....0G
72  |AG+40 2053                                                                                               |Star                              |20 29 28.0570855440 +41 00 25.431464232|079.5555320409770 +01.1805579955384|  -5.159 -9.597  |9.795    |~                     |    ~     ~    |    1|  735.078   pc  |  -6.4841     +6.4841  |paral   |2020yCat.1350....0G
73  |BD+40 4199                                                                                               |Star                              |20 29 47.4039028032 +41 02 31.216201980|079.6195250490222 +01.1518183007092|    4.581 7.369  |9.37     |A0                    |    ~     ~    |    1|  381.432   pc  |  -2.4297     +2.4297  |paral   |2020yCat.1350....0G
74  |HD 193426                                                                                                |Star                              |20 18 39.7492512408 +40 13 36.889011696|077.7384958699226 +02.4111412702993|  -2.662 -5.336  |7.81     |A0Ia                  |    ~     ~    |    1| 2017.349   pc  | -63.8943    +63.8943  |paral   |2020yCat.1350....0G
75  |HD 229040                                                                                                |Star                              |20 20 54.4565571792 +40 12 37.247906808|077.9670157531077 +02.0480742759494|   -1.306 8.012  |9.752    |~                     |    ~     ~    |    1|  454.566   pc  |  -6.6122     +6.6122  |paral   |2020yCat.1350....0G
76  |HD 229097                                                                                                |Variable Star                     |20 21 41.0319606672 +40 23 17.225514852|078.1975431981296 +02.0272560214667|   -1.703 8.527  |9.362    |M6                    |    ~     ~    |    1|  523.999   pc  |  -3.2674     +3.2674  |paral   |2020yCat.1350....0G
77  |HD 229104                                                                                                |Star                              |20 21 43.8741887400 +40 11 04.819399296|078.0352893396072 +01.9040626299252|   4.046 -7.006  |9.210    |A2                    |    ~     ~    |    1|  407.150   pc  |  -2.7684     +2.7684  |paral   |2020yCat.1350....0G
78  |NGC 6910 75                        HD 229119                                                             |High Proper Motion Star           |20 22 07.7140965264 +40 27 15.209913636|078.3001435131882 +01.9953216282602|  88.863 51.931  |8.58     |G0                    |    ~     ~    |    1|   79.027   pc  |  -0.0893     +0.0893  |paral   |2020yCat.1350....0G
79  |NGC 6910 81                        HD 229167                                                             |High Proper Motion Star           |20 22 54.3029622336 +40 27 41.167716804|078.3904225136478 +01.8781586579554|  31.440 83.822  |10.40    |K                     |    ~     ~    |    1|  157.376   pc  |  -0.2923     +0.2923  |paral   |2020yCat.1350....0G
80  |HD 229244                                                                                                |Star                              |20 24 03.8009261520 +40 20 23.139038904|078.4170756941679 +01.6277108044970|    7.414 4.258  |8.69     |G0                    |    ~     ~    |    1|  258.031   pc  |  -0.9454     +0.9454  |paral   |2020yCat.1350....0G
81  |HD 194649                                                                                                |Spectroscopic Binary              |20 25 22.1272777920 +40 13 01.206964704|078.4601018704080 +01.3534616527475|  -2.141 -4.653  |9.07     |O5.5V((f))+O7Vz       |    ~     ~    |    0|                |                       |        |                   
82  |BD+39 4179                                                                                               |Emission-line Star                |20 25 27.2826202416 +40 24 00.125588088|078.6190459933557 +01.4457721326525|  -3.149 -5.298  |10.10    |B1Ib                  |    ~     ~    |    1| 1733.703   pc  | -34.2653    +34.2653  |paral   |2020yCat.1350....0G
83  |HD 194789                                                                                                |Star                              |20 26 03.8581365936 +40 24 06.132817332|078.6875275664528 +01.3520453572295|    5.916 3.559  |6.636    |B8                    |    ~     ~    |    1|  343.018   pc  |  -4.2476     +4.2476  |paral   |2020yCat.1350....0G
84  |HD 194908                                                                                                |Star                              |20 26 43.7665181808 +40 20 50.010073548|078.7165678671079 +01.2172384535879|    5.438 2.188  |7.71     |B9                    |    ~     ~    |    1|  324.496   pc  |  -3.0642     +3.0642  |paral   |2020yCat.1350....0G
85  |BD+39 4207                                                                                               |Star                              |20 28 47.4348030144 +40 21 13.021112088|078.9506350248251 +00.9018286025697| -1.667 -14.357  |10.28    |F8                    |    ~     ~    |    1|  280.505   pc  |  -1.0780     +1.0780  |paral   |2020yCat.1350....0G
86  |HD 195448                                                                                                |Star                              |20 29 54.1328451912 +40 22 01.222053168|079.0856543552182 +00.7381331665710|    6.016 2.185  |9.11     |A2                    |    ~     ~    |    1|  348.056   pc  |  -1.8535     +1.8535  |paral   |2020yCat.1350....0G
87  |BD+39 4213B                                                                                              |Star                              |20 29 53.4872641704 +40 21 55.909766016|079.0832558948593 +00.7389245636112|    1.127 1.814  |9.53     |A2                    |    ~     ~    |    1|  425.134   pc  |  -2.3858     +2.3858  |paral   |2020yCat.1350....0G
88  |V* V440 Cyg                                                                                              |Long-Period Variable              |20 25 23.2523356008 +40 52 17.753875644|078.9968716305664 +01.7284239143293|  -3.235 -4.239  |10.20    |M3                    |    ~     ~    |    1| 2172.97    pc  |-127.016    +127.016   |paral   |2020yCat.1350....0G
89  |V* V405 Cyg                                                                                              |Long-Period Variable              |20 21 36.2229921696 +40 26 49.749871920|078.2374449387106 +02.0733828936762|   -0.066 1.949  |8.50     |M5III                 |    ~     ~    |    1|  461.915   pc  |  -9.2814     +9.2814  |paral   |2020yCat.1350....0G
90  |NGC 6910 107                       V* KX Cyg                                                             |Classical Cepheid Variable        |20 24 19.3460912592 +40 33 39.915429300|078.6266280451675 +01.7145445890845|  -3.987 -5.380  |11.72    |~                     |    ~     ~    |    1| 3023.889   pc  |-161.8471   +161.8471  |paral   |2020yCat.1350....0G
91  |HD 228765                                                                                                |Star                              |20 17 25.0124967720 +39 54 42.720580512|077.3436580857530 +02.4317606109043|   -0.125 1.070  |9.72     |~                     |    ~     ~    |    1|  502.765   pc  |  -3.7663     +3.7663  |paral   |2020yCat.1350....0G
92  |BD+39 4118B                                                                                              |Star                              |20 17 50.4005803152 +39 55 27.799404276|077.3995128081037 +02.3715531347980|  -9.139 -9.048  |9.53     |A0                    |    ~     ~    |    1|  534.874   pc  | -10.9000    +10.9000  |paral   |2020yCat.1350....0G
93  |HD 193247                                                                                                |Star                              |20 17 49.6333875384 +39 55 34.005610524|077.3995667912896 +02.3745495760690|  -8.752 -9.110  |8.78     |A2V                   |    ~     ~    |    1|  715.103   pc  | -19.3299    +19.3299  |paral   |2020yCat.1350....0G
94  |HD 228812                                                                                                |Star                              |20 17 59.1667376016 +39 54 29.352408948|077.4017757275999 +02.3392531762003|  -0.008 -2.088  |10.56    |~                     |    ~     ~    |    1|  698.324   pc  | -20.2377    +20.2377  |paral   |2020yCat.1350....0G
95  |HD 228822                                                                                                |Star                              |20 18 04.6458058104 +39 56 32.284095684|077.4398980015331 +02.3439110592016|   0.384 -1.544  |9.144    |B9V                   |    ~     ~    |    1|  647.585   pc  | -12.3713    +12.3713  |paral   |2020yCat.1350....0G
