C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:20:07

dec< 0&rah >=0.75&rah< 1.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2467

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
2318|TYC 8034-906-1                                                                                                                                                                 |High Proper Motion Star             |00 53 58.3200168624 -48 24 44.198739036|301.7737073898173 -68.7102757874520| 44.093 -32.276   |10.95    |~                   |    ~     ~    |    1|  271.444   pc  |  -1.1273     +1.1273    |paral   |2020yCat.1350....0G
2319|TYC 5270-479-1                                                                                                                                                                 |High Proper Motion Star             |00 57 33.4312221000 -09 41 32.234394264|127.9537721480385 -72.5043419690712|116.245 -18.582   |10.89    |~                   |    ~     ~    |    1|   58.588   pc  |  -0.1951     +0.1951    |ST-L    |2020AJ....160...83S
2320|TYC 5270-2576-1                                                                                                                                                                |Star                                |00 47 22.4487 -09 37 38.656            |119.6042788 -72.4728905            |  -0.260 -5.109   |10.965   |~                   |    ~     ~    |    1|  456.799   pc  | -14.3900    +14.3900    |ST-L    |2020AJ....160...83S
2321|NGC 297                            NGC 297                                                                                                                                     |Galaxy                              |00 54 58.9439148840 -07 20 58.594959528|125.5276071516348 -70.2034914052439|            ~ ~   |     ~   |~                   |0.243 0.229    |    1|  230.14    Mpc |                         |        |2016AJ....152...50T
2322|NGC 275                            NGC 275                                                                                                                                     |Galaxy in Pair of Galaxies          |00 51 04.8 -07 03 59                   |122.6731 -69.9380                  |            ~ ~   |     ~   |~                   | 1.74  1.38    |    0|                |                         |        |                   
2323|HD 4857A                                                                                                                                                                       |Double or Multiple Star             |00 50 19.1780806056 -34 29 23.556491376|304.7296405627124 -82.6344718268971| 21.803 -12.529   |9.953    |~                   |    ~     ~    |    1|   95.705   pc  |  -0.5031     +0.5031    |ST-L    |2020AJ....160...83S
2324|NGC 288 28                         NGC 288 28                                                                                                                                  |Red Giant Branch star               |00 52 41.8982837664 -26 29 38.578611876|146.9170902946037 -89.3062428338651|   4.251 -5.635   |15.787   |~                   |    ~     ~    |    0|                |                         |        |                   
2325|HD 5421A                                                                                                                                                                       |Star                                |00 55 52.5140029926 -17 31 32.928008005|129.2504294601237 -80.3430786813193| 19.905 -32.824   |10.38    |G0/2V               |    ~     ~    |    1|  260.736   pc  |  -1.2644     +1.2644    |paral   |2020yCat.1350....0G
2326|HD 5156A                                                                                                                                                                       |High Proper Motion Star             |00 53 12.4611412968 -24 46 36.755130684|132.6323229689484 -87.6152156368084| 104.694 39.858   |6.55     |F4IV                |    ~     ~    |    1|   73.509   pc  |  -0.1654     +0.1654    |paral   |2020yCat.1350....0G
2327|HD 5058                                                                                                                                                                        |High Proper Motion Star             |00 52 12.8096024424 -22 37 02.106880644|125.2064807544980 -85.4855738182771|-111.049 -203.079 |7.63     |F8/G1V              |    ~     ~    |    1|   51.455   pc  |  -0.0757     +0.0757    |paral   |2020yCat.1350....0G
2328|HD 5220A                                                                                                                                                                       |Double or Multiple Star             |00 53 00.711 -61 04 37.16              |302.591167 -56.050222              |       57.2 6.6   |8.339    |~                   |    ~     ~    |    0|                |                         |        |                   
2329|TYC 4676-602-1                                                                                                                                                                 |Star                                |00 46 59.5170805224 -03 35 53.650703184|120.1550796588626 -66.4460098664210|   5.262 -2.520   |10.981   |~                   |    ~     ~    |    1| 1651.250   pc  |-162.6000   +162.6000    |ST-L    |2020AJ....160...83S
2330|TYC 4680-87-1                                                                                                                                                                  |Star                                |00 57 44.3037694272 -06 43 15.230159580|127.4105990132346 -69.5378377235128|  -9.573 -0.396   |10.97    |~                   |    ~     ~    |    1|  195.994   pc  |  -2.1880     +2.1880    |ST-L    |2020AJ....160...83S
2331|TYC 7533-1129-1                                                                                                                                                                |Star                                |00 55 15.3904817184 -37 44 04.854329340|298.8383918125350 -79.3632018685948| 17.016 -36.633   |10.56    |~                   |    ~     ~    |    1|  164.682   pc  |  -1.4740     +1.4740    |ST-L    |2020AJ....160...83S
2332|ASAS J004746-0326.8                                                                                                                                                            |Long-Period Variable Candidate      |00 47 45.8700898584 -03 26 46.010939712|120.6506516340577 -66.3015892664614| -6.379 -17.259   |10.77    |~                   |    ~     ~    |    1| 2984.18    pc  |-184.341    +184.341     |paral   |2020yCat.1350....0G
2333|HD 4491B                                                                                                                                                                       |High Proper Motion Star             |00 47 01.1282543568 -01 15 07.954120008|120.4024191226942 -64.1022508675891| 53.610 -41.739   |8.95     |~                   |    ~     ~    |    1|   88.984   pc  |  -0.2336     +0.2336    |paral   |2020yCat.1350....0G
2334|TYC 4674-5-1                                                                                                                                                                   |High Proper Motion Star             |00 54 17.8939906248 -00 31 29.896940892|124.5283679383061 -63.3878523743598|  74.740 15.888   |10.97    |~                   |    ~     ~    |    1|  115.876   pc  |  -0.2242     +0.2242    |paral   |2020yCat.1350....0G
2335|TYC 4674-49-1                                                                                                                                                                  |High Proper Motion Star             |00 50 18.9717686496 -02 27 12.998358576|122.2608234026780 -65.3238965821970|-64.464 -67.367   |10.93    |G6V                 |    ~     ~    |    1|  135.349   pc  |  -0.3352     +0.3352    |paral   |2020yCat.1350....0G
2336|TYC 4674-266-1                                                                                                                                                                 |Star                                |00 52 08.6269064304 -01 05 07.713202704|123.3337855673097 -63.9566727015031|  16.018 -2.862   |10.87    |~                   |    ~     ~    |    1|  532.822   pc  |  -7.0407     +7.0407    |paral   |2020yCat.1350....0G
2337|TYC 4674-316-1                                                                                                                                                                 |Star                                |00 52 17.213 -00 21 52.22              |123.403231 -63.235476              |     27.9 -20.9   |9.55     |~                   |    ~     ~    |    0|                |                         |        |                   
2338|TYC 4674-355-1                                                                                                                                                                 |Star                                |00 52 42.4266377976 -00 08 29.060532312|123.6311234538093 -63.0114302109178|   14.409 7.048   |10.88    |~                   |    ~     ~    |    1|  436.319   pc  |  -9.8995     +9.8995    |paral   |2020yCat.1350....0G
2339|TYC 4674-364-1                                                                                                                                                                 |Spectroscopic Binary                |00 55 13.7305868712 -00 07 54.079436784|125.0189946839228 -62.9880730885778| 41.349 -15.787   |10.96    |~                   |    ~     ~    |    1|  312.324   pc  |  -2.1070     +2.1070    |paral   |2020yCat.1350....0G
2340|TYC 4674-865-1                                                                                                                                                                 |Spectroscopic Binary                |00 58 46.0429090416 -01 20 54.087544824|127.1378888141818 -64.1602330044340|  -1.409 -3.772   |10.85    |~                   |    ~     ~    |    1|  442.948   pc  |  -4.3557     +4.3557    |paral   |2020yCat.1350....0G
2341|TYC 4674-1152-1                                                                                                                                                                |High Proper Motion Star             |00 56 37.2603090720 -00 37 16.893997572|125.8331165593214 -63.4639064413963| 68.583 -93.013   |10.90    |~                   |    ~     ~    |    1|  116.913   pc  |  -0.5795     +0.5795    |paral   |2020yCat.1350....0G
2342|TYC 4676-44-1                                                                                                                                                                  |Star                                |00 48 55.5163153560 -02 43 57.349916112|121.4131021265810 -65.5969346785657|  27.078 -8.499   |10.723   |~                   |    ~     ~    |    1|  168.549   pc  |  -1.8030     +1.8030    |ST-L    |2020AJ....160...83S
2343|TYC 4676-796-1                                                                                                                                                                 |Star                                |00 45 39.2661476808 -03 59 41.544092580|119.2646732856765 -66.8254308692855|   2.721 -9.374   |10.966   |~                   |    ~     ~    |    1|  489.203   pc  | -17.1200    +17.1200    |ST-L    |2020AJ....160...83S
2344|TYC 4677-605-1                                                                                                                                                                 |Star                                |00 54 27.8125306488 -04 03 38.124854532|124.8570014229903 -66.9210278746587|    5.733 4.346   |10.93    |~                   |    ~     ~    |    1| 3198.190   pc  |-479.9000   +479.9000    |ST-L    |2020AJ....160...83S
2345|TYC 4680-105-1                                                                                                                                                                 |Star                                |00 55 23.1927723936 -07 00 36.463107096|125.7785499502819 -69.8600486035498| 27.480 -10.862   |10.79    |~                   |    ~     ~    |    1|  414.714   pc  | -14.7737    +14.7737    |paral   |2020yCat.1350....0G
2346|TYC 4680-370-1                                                                                                                                                                 |Star                                |00 50 39.9543059952 -05 28 10.144529256|122.4113887214852 -68.3404519049868|  38.967 -3.798   |10.57    |~                   |    ~     ~    |    1|  132.217   pc  |  -1.4060     +1.4060    |ST-L    |2020AJ....160...83S
2347|TYC 5270-772-1                                                                                                                                                                 |Star                                |00 56 30.6023690256 -08 01 56.764500816|126.7651614222315 -70.8664220145332|  -0.613 -1.164   |10.81    |~                   |    ~     ~    |    1|  787.216   pc  |  -9.1717     +9.1717    |paral   |2020yCat.1350....0G
2348|TYC 5270-1193-1                                                                                                                                                                |Star                                |00 52 50.4652095288 -09 28 29.927196120|124.0727760187751 -72.3436190682246|   5.352 -2.299   |10.98    |~                   |    ~     ~    |    1| 1829.826   pc  | -76.3404    +76.3404    |paral   |2020yCat.1350....0G
2349|TYC 5270-1233-1                                                                                                                                                                |Star                                |00 53 04.3304759160 -09 30 44.807844312|124.2631990465897 -72.3799697202460| -9.606 -11.742   |10.91    |~                   |    ~     ~    |    1| 1197.748   pc  | -32.5654    +32.5654    |paral   |2020yCat.1350....0G
2350|ASAS J004942-1141.0                                                                                                                                                            |Long-Period Variable                |00 49 41.6710659216 -11 40 55.822960488|121.3296899938323 -74.5484967101087|  13.843 -6.927   |10.69    |~                   |    ~     ~    |    1| 2351.834   pc  |-160.9557   +160.9557    |paral   |2020yCat.1350....0G
2351|TYC 5272-271-1                                                                                                                                                                 |Star                                |00 57 39.7484700336 -12 53 39.611005584|129.0808059564499 -75.6917177383279|  34.423 -4.784   |10.91    |~                   |    ~     ~    |    1|  469.376   pc  | -12.6200    +12.6200    |ST-L    |2020AJ....160...83S
2352|TYC 5272-1138-1                                                                                                                                                                |High Proper Motion Star             |00 47 39.8535579072 -13 15 21.482764596|119.1067909187018 -76.0996800114023|31.340 -123.136   |10.84    |~                   |    ~     ~    |    1|  235.960   pc  |  -1.1804     +1.1804    |paral   |2020yCat.1350....0G
2353|TYC 5847-318-1                                                                                                                                                                 |High Proper Motion Star             |00 46 43.4233278792 -16 34 10.210539360|116.7883893624177 -79.3849750122819|-52.172 -40.346   |10.821   |~                   |    ~     ~    |    1|  274.103   pc  |  -4.0710     +4.0710    |ST-L    |2020AJ....160...83S
2354|TYC 5847-603-1                                                                                                                                                                 |Star                                |00 45 20.6524939704 -16 42 06.347442924|114.9158950215485 -79.4785460033557|  0.551 -36.488   |10.46    |~                   |    ~     ~    |    1|  229.474   pc  |  -0.8636     +0.8636    |paral   |2020yCat.1350....0G
2355|TYC 5848-525-2                                                                                                                                                                 |Star                                |00 55 05.950 -17 26 34.44              |128.109705 -80.277820              |     18.7 -12.9   |9.67     |~                   |    ~     ~    |    0|                |                         |        |                   
2356|TYC 5848-2034-1                                                                                                                                                                |Star                                |00 55 57.0617522688 -16 08 30.851329164|128.6024925063597 -78.9639289286473| 33.322 -25.141   |10.87    |~                   |    ~     ~    |    1|  832.362   pc  | -13.8565    +13.8565    |paral   |2020yCat.1350....0G
2357|TYC 6422-319-1                                                                                                                                                                 |Star                                |00 54 33.0142089048 -23 55 57.271470492|135.4927125609249 -86.7281367934886|   6.131 -6.929   |10.518   |~                   |    ~     ~    |    1|  178.624   pc  |  -1.9300     +1.9300    |ST-L    |2020AJ....160...83S
2358|TYC 6422-1056-1                                                                                                                                                                |Star                                |00 55 32.2120244208 -23 28 33.459848544|137.3870247393707 -86.2321067714231| -0.509 -10.711   |10.70    |~                   |    ~     ~    |    1| 1005.530   pc  | -18.0985    +18.0985    |paral   |2020yCat.1350....0G
2359|CD-30 260                                                                                                                                                                      |Star                                |00 51 50.4280511664 -29 37 05.472141924|300.9189365573651 -87.5084921358067|   5.880 -9.638   |10.933   |~                   |    ~     ~    |    1|  551.207   pc  |  -4.2840     +4.2840    |paral   |2020yCat.1350....0G
2360|TYC 6424-1883-1                                                                                                                                                                |Star                                |00 55 57.4660132680 -29 19 08.368004064|278.7568742317195 -87.5936823839947|  38.508 14.385   |10.822   |~                   |    ~     ~    |    1|  628.782   pc  | -22.4400    +22.4400    |ST-L    |2020AJ....160...83S
2361|TYC 6999-1477-1                                                                                                                                                                |Star                                |00 57 01.5496143384 -31 58 40.148203368|289.2042452421770 -85.0006668425140|   2.634 -2.193   |10.53    |~                   |    ~     ~    |    1| 1144.689   pc  | -26.4683    +26.4683    |paral   |2020yCat.1350....0G
2362|TYC 6999-1532-1                                                                                                                                                                |Star                                |00 54 57.3689380128 -31 29 31.674718212|293.1767794405390 -85.5692985320090|  3.856 -10.617   |10.65    |~                   |    ~     ~    |    1|  927.128   pc  | -18.1368    +18.1368    |paral   |2020yCat.1350....0G
2363|TYC 7000-946-1                                                                                                                                                                 |Star                                |00 49 32.4460476672 -34 34 23.846579616|305.9427270651207 -82.5438679574953|   5.549 -9.519   |10.96    |~                   |    ~     ~    |    1| 2031.350   pc  |-224.6000   +224.6000    |ST-L    |2020AJ....160...83S
2364|TYC 7000-1408-1                                                                                                                                                                |Star                                |00 48 17.5238721192 -34 43 18.363872748|307.8103787719824 -82.3766639246363|  -0.912 -8.890   |10.90    |~                   |    ~     ~    |    1| 1034.447   pc  | -14.0181    +14.0181    |paral   |2020yCat.1350....0G
2365|HD 4857B                                                                                                                                                                       |Star                                |00 50 19.6845813864 -34 29 24.813200148|304.7159882271715 -82.6341816386323| 21.602 -10.865   |10.81    |~                   |    ~     ~    |    1|   95.238   pc  |  -0.4869     +0.4869    |ST-L    |2020AJ....160...83S
2366|TYC 7001-1958-1                                                                                                                                                                |Star                                |00 56 02.2329201336 -36 34 10.496320140|297.3232273169944 -80.5085300725266| -0.673 -12.100   |10.955   |~                   |    ~     ~    |    1|  415.877   pc  |  -9.7730     +9.7730    |ST-L    |2020AJ....160...83S
2367|TYC 7001-2103-1                                                                                                                                                                |Star                                |00 56 14.7809830968 -34 19 04.190583324|295.0546647415299 -82.7367340697429| -10.532 -4.788   |10.848   |~                   |    ~     ~    |    1|  711.753   pc  | -28.5500    +28.5500    |ST-L    |2020AJ....160...83S
2368|GSC 07532-00105                                                                                                                                                                |Double or Multiple Star             |00 52 08.1927099768 -39 31 34.301264736|302.3044770539736 -77.6012064711614|  48.680 -9.170   |10.941   |~                   |    ~     ~    |    1|  305.820   pc  |  -2.7777     +2.7777    |paral   |2020yCat.1350....0G
2369|TYC 7532-124-1                                                                                                                                                                 |Star                                |00 47 45.8605054728 -39 14 11.928488820|306.3182387461689 -77.8674415653261|   14.162 8.384   |10.783   |~                   |    ~     ~    |    1|  275.351   pc  |  -4.7330     +4.7330    |ST-L    |2020AJ....160...83S
2370|TYC 7539-581-1                                                                                                                                                                 |Star                                |00 54 58.7941894032 -43 02 35.418110748|300.5736134312766 -74.0688580685286|   26.274 2.439   |10.892   |~                   |    ~     ~    |    1|  310.251   pc  |  -4.8210     +4.8210    |ST-L    |2020AJ....160...83S
2371|TYC 8037-111-1                                                                                                                                                                 |Star                                |00 49 26.1319614216 -50 15 45.052059240|303.7463603501568 -66.8625713738651|  25.816 28.499   |10.708   |~                   |    ~     ~    |    1|  382.729   pc  |  -6.1980     +6.1980    |ST-L    |2020AJ....160...83S
2372|TYC 8037-254-1                                                                                                                                                                 |Star                                |00 54 34.5094960704 -51 58 31.743712128|301.7824145117135 -65.1457653072933|  43.538 13.915   |10.92    |~                   |    ~     ~    |    1|  305.278   pc  |  -1.1370     +1.1370    |paral   |2020yCat.1350....0G
2373|GSC 08037-00347                                                                                                                                                                |Double or Multiple Star             |00 47 07.691592 -52 14 26.75004        |304.485849372 -64.874483378        |    -13.8 -43.1   |10.978   |~                   |    ~     ~    |    1|  157.362   pc  | +29.246      +9         |ST-L    |2017AJ....153...75K
2374|TYC 8466-32-1                                                                                                                                                                  |High Proper Motion Star             |00 47 22.3779601992 -52 33 08.077767264|304.3706997475146 -64.5646512859727|  55.686 14.357   |10.96    |~                   |    ~     ~    |    1|  458.504   pc  | -11.4300    +11.4300    |ST-L    |2020AJ....160...83S
2375|TYC 8466-302-1                                                                                                                                                                 |Star                                |00 51 13.9075460952 -54 02 18.404014416|302.9987853696491 -63.0897800974408|   10.359 7.056   |10.92    |~                   |    ~     ~    |    1| 1526.485   pc  | -25.1657    +25.1657    |paral   |2020yCat.1350....0G
2376|TYC 8469-485-1                                                                                                                                                                 |Star                                |00 53 16.9946913384 -57 00 08.572962852|302.4275432508029 -60.1240638016757|   12.148 1.077   |10.34    |~                   |    ~     ~    |    1| 1061.008   pc  | -15.3100    +15.3100    |paral   |2020yCat.1350....0G
2377|TYC 8476-229-1                                                                                                                                                                 |Star                                |00 53 30.4578857880 -57 03 15.266025864|302.3678968459632 -60.0717451476493|   8.126 -7.978   |10.60    |~                   |    ~     ~    |    1| 2524.615   pc  | -86.0447    +86.0447    |paral   |2020yCat.1350....0G
2378|TYC 9135-965-1                                                                                                                                                                 |Star                                |00 57 24.1862869992 -67 56 47.514357636|302.0755413330576 -49.1718005400704|  37.958 20.976   |10.727   |~                   |    ~     ~    |    1|  225.522   pc  |  -2.4580     +2.4580    |ST-L    |2020AJ....160...83S
2379|TYC 9135-1284-1                                                                                                                                                                |Star                                |00 57 35.7911048256 -69 36 51.581898072|302.1380763887651 -47.5044302378127|  12.696 -5.938   |10.878   |~                   |    ~     ~    |    1|  983.798   pc  | -44.0600    +44.0600    |ST-L    |2020AJ....160...83S
2380|TYC 9135-1716-1                                                                                                                                                                |Star                                |00 46 20.6366311752 -68 59 23.238148740|303.6159973053963 -48.1316975142168|   15.193 9.995   |10.915   |~                   |    ~     ~    |    1|  561.744   pc  | -15.8200    +15.8200    |ST-L    |2020AJ....160...83S
2381|TYC 9138-1320-1                                                                                                                                                                |Star                                |00 50 51.9508556712 -70 24 39.856141008|303.0018622350946 -46.7171035823856| 34.283 -12.943   |10.556   |~                   |    ~     ~    |    1|  231.034   pc  |  -4.7610     +4.7610    |ST-L    |2020AJ....160...83S
2382|TYC 9138-1367-1                                                                                                                                                                |Star                                |00 58 49.0446800664 -70 47 11.732218656|302.0528076502294 -46.3290617155006| -44.112 -9.587   |10.96    |~                   |    ~     ~    |    1|  422.120   pc  |  -8.1940     +8.1940    |ST-L    |2020AJ....160...83S
2383|TYC 9138-1465-1                                                                                                                                                                |Star                                |00 53 38.1016366080 -70 54 00.031580820|302.6721227852976 -46.2271353002574|  1.318 -19.905   |10.98    |~                   |    ~     ~    |    1|  224.631   pc  |  -2.5320     +2.5320    |ST-L    |2020AJ....160...83S
2384|Flo 302                                                                                                                                                                        |Star                                |00 55 01.8288423288 -72 06 49.785253380|302.5417566534564 -45.0117014492210|   -0.071 1.325   |10.56    |G7.5III             |    ~     ~    |    1|  910.573   pc  | -43.7200    +43.7200    |ST-L    |2020AJ....160...83S
2385|TYC 9347-249-1                                                                                                                                                                 |High Proper Motion Star             |00 53 52.2982619712 -76 17 48.386307876|302.7414390934978 -40.8305782948627|-17.020 -48.161   |10.76    |~                   |    ~     ~    |    1|  980.852   pc  | -40.6800    +40.6800    |ST-L    |2020AJ....160...83S
2386|TYC 9347-668-1                                                                                                                                                                 |Star                                |00 57 02.3978579256 -76 16 03.954393372|302.4924112322448 -40.8557062422434|  -6.817 -3.661   |10.58    |~                   |    ~     ~    |    1|  279.996   pc  |  -4.0080     +4.0080    |ST-L    |2020AJ....160...83S
2387|TYC 9347-1145-1                                                                                                                                                                |Spectroscopic Binary                |00 57 23.3759121840 -75 43 57.816079248|302.4432006623526 -41.3898774773626|    7.160 3.034   |10.857   |~                   |    ~     ~    |    1| 2159.110   pc  |-223.3000   +223.3000    |ST-L    |2020AJ....160...83S
2388|TYC 9359-233-1                                                                                                                                                                 |Star                                |00 56 05.6280990408 -82 00 18.655926156|302.7340141962150 -35.1212809957948|  13.788 19.373   |10.931   |~                   |    ~     ~    |    1|  301.917   pc  |  -5.4980     +5.4980    |ST-L    |2020AJ....160...83S
2389|TYC 9359-519-1                                                                                                                                                                 |Star                                |00 46 06.3924061248 -81 58 05.646030456|303.1596869589769 -35.1576595579833|   13.533 4.763   |10.90    |~                   |    ~     ~    |    1|  784.129   pc  |  -7.1324     +7.1324    |paral   |2020yCat.1350....0G
2390|TYC 8842-1390-1                                                                                                                                                                |Star                                |00 55 27.0737866536 -61 50 10.197151476|302.1003713729926 -55.2856062137334|   -4.869 6.590   |10.845   |~                   |    ~     ~    |    1| 1684.430   pc  |-147.1000   +147.1000    |ST-L    |2020AJ....160...83S
2391|TYC 8842-1677-1                                                                                                                                                                |Star                                |00 48 07.7123080608 -60 43 25.487812812|303.6630226004666 -56.3998077783233|  36.957 -5.685   |10.87    |~                   |    ~     ~    |    1|  380.416   pc  |  -1.5340     +1.5340    |paral   |2020yCat.1350....0G
2392|TYC 8845-511-2                                                                                                                                                                 |Star                                |00 56 46.747 -64 04 31.13              |301.960971 -53.042868              |       16.9 9.3   |10.18    |~                   |    ~     ~    |    0|                |                         |        |                   
2393|TYC 8848-38-1                                                                                                                                                                  |Star                                |00 47 23.2074876888 -65 33 22.256942652|303.6061136129613 -51.5667665291152|   2.299 -3.722   |10.89    |~                   |    ~     ~    |    1| 1599.940   pc  |-124.2000   +124.2000    |ST-L    |2020AJ....160...83S
2394|HD 4740B                                                                                                                                                                       |Star                                |00 48 31.4085857448 -65 05 51.696166164|303.4305480648661 -52.0277373270402|  6.033 -13.027   |10.72    |~                   |    ~     ~    |    1|  377.307   pc  |  -8.1730     +8.1730    |ST-L    |2020AJ....160...83S
2395|TYC 8848-998-1                                                                                                                                                                 |Star                                |00 51 33.9228903600 -67 24 32.287314420|302.9129905436535 -49.7192790303803|   26.649 9.851   |10.93    |~                   |    ~     ~    |    1|  461.318   pc  |  -3.9796     +3.9796    |paral   |2020yCat.1350....0G
2396|TYC 9490-1015-1                                                                                                                                                                |Star                                |00 55 55.8639613320 -83 51 44.926029684|302.7883033437797 -33.2645199362276|   12.109 1.048   |10.805   |~                   |    ~     ~    |    1| 1532.030   pc  |-113.3000   +113.3000    |ST-L    |2020AJ....160...83S
2397|TYC 9490-1335-1                                                                                                                                                                |Star                                |00 51 25.5544945800 -83 01 16.177186056|302.9323656101391 -34.1070920754929| -0.772 -12.645   |10.083   |~                   |    ~     ~    |    1|  461.689   pc  | -11.1400    +11.1400    |ST-L    |2020AJ....160...83S
2398|TYC 9490-1789-1                                                                                                                                                                |Star                                |00 45 21.3534285768 -83 07 18.235205868|303.1515577996561 -34.0039265493732|    2.236 4.851   |10.739   |~                   |    ~     ~    |    1| 1143.740   pc  | -61.0200    +61.0200    |ST-L    |2020AJ....160...83S
2399|TYC 9494-1471-1                                                                                                                                                                |Star                                |00 54 41.9766220800 -85 09 11.474063352|302.8507088236708 -31.9745508147605|   7.550 -1.822   |10.979   |~                   |    ~     ~    |    1| 1902.910   pc  |-164.3000   +164.3000    |ST-L    |2020AJ....160...83S
2400|HD 5425                                                                                                                                                                        |High Proper Motion Star             |00 55 49.2561800114 -29 40 33.446572209|282.4675593089394 -87.2761176131703|395.071 173.695   |9.59     |K4.5Vk:             |    ~     ~    |    1|   31.1322  pc  |  -0.0176     +0.0176    |paral   |2020yCat.1350....0G
2401|UCAC2 16737299                                                                                                                                                                 |Star                                |00 56 31.2479796432 -35 17 17.684743848|295.6687207337207 -81.7682024828402|   6.992 -1.078   |10.782   |~                   |    ~     ~    |    1| 1424.360   pc  |-116.9000   +116.9000    |ST-L    |2020AJ....160...83S
2402|UCAC2 30624923                                                                                                                                                                 |Star                                |00 59 54.9355397856 -03 17 34.898573256|128.1562725054876 -66.0787421656987|    2.672 5.144   |10.96    |~                   |    ~     ~    |    1| 2350.770   pc  |-310.9000   +310.9000    |ST-L    |2020AJ....160...83S
2403|UCAC4 274-000823                                                                                                                                                               |Double or Multiple Star             |00 46 03.349704 -35 20 18.03300        |310.566364897 -81.709978513        |     57.1 -31.9   |10.925   |~                   |    ~     ~    |    1| 8888       pc  |  +5.951      +5         |ST-L    |2017AJ....153...75K
2404|UCAC2 26805189                                                                                                                                                                 |Star                                |00 46 11.7788026032 -13 35 30.674042448|117.5042967109066 -76.4083324461234|  30.229 -5.774   |10.958   |~                   |    ~     ~    |    1|  461.019   pc  | -15.9200    +15.9200    |ST-L    |2020AJ....160...83S
2405|UCAC2 30460479                                                                                                                                                                 |Star                                |00 48 02.8601278632 -03 53 52.418970852|120.7888732153811 -66.7555337177205| -14.485 -0.181   |10.84    |~                   |    ~     ~    |    1|  567.594   pc  | -18.5300    +18.5300    |ST-L    |2020AJ....160...83S
2406|HD 4338A                                                                                                                                                                       |Star                                |00 45 41.7065251054 -16 25 27.191605943|115.5538860765248 -79.2136106051321|  10.401 -6.065   |6.498    |~                   |    ~     ~    |    1|   98.7645  pc  |  -0.4409     +0.4409    |paral   |2018yCat.1345....0G
2407|CD-50 222                                                                                                                                                                      |High Proper Motion Star             |00 51 58.6217533728 -49 47 03.900418764|302.7060123262316 -67.3435991505914|108.772 -51.151   |10.99    |F5                  |    ~     ~    |    1|  216.422   pc  |  -0.6464     +0.6464    |paral   |2020yCat.1350....0G
2408|BD-21 137                                                                                                                                                                      |High Proper Motion Star             |00 56 05.1364694808 -20 21 54.349848576|132.1086377733660 -83.1538826340425|  35.717 90.451   |10.573   |~                   |    ~     ~    |    1|   98.715   pc  |  -0.5519     +0.5519    |ST-L    |2020AJ....160...83S
2409|CPD-20 116                                                                                                                                                                     |Star                                |00 53 57.4018 -19 25 15.862            |127.3520987 -82.2711942            | -7.172 -14.493   |10.892   |~                   |    ~     ~    |    1| 1752.460   pc  |-203.2000   +203.2000    |ST-L    |2020AJ....160...83S
2410|BD-20 145                                                                                                                                                                      |Star                                |00 49 54.1735 -19 35 50.445            |120.1754215 -82.4608764            |  17.453 -8.223   |10.360   |~                   |    ~     ~    |    1|  687.365   pc  | -31.9100    +31.9100    |ST-L    |2020AJ....160...83S
2411|BD-07 125                                                                                                                                                                      |High Proper Motion Star             |00 48 09.0964345800 -07 10 55.500272904|120.5436162423669 -70.0385900945328| 96.176 -59.789   |10.82    |~                   |    ~     ~    |    1|  109.084   pc  |  -0.7327     +0.7327    |ST-L    |2020AJ....160...83S
2412|TYC 5270-2606-1                                                                                                                                                                |High Proper Motion Star             |00 51 50.0502331536 -08 09 53.207704728|123.2336800713449 -71.0362953330613|  49.938 35.194   |9.84     |~                   |    ~     ~    |    1|  168.936   pc  |  -0.6136     +0.6136    |paral   |2020yCat.1350....0G
2413|HD 5283B                                                                                                                                                                       |Star                                |00 53 55.7684845008 -54 35 21.649090092|302.1493501601244 -62.5351193824575|  25.017 31.588   |10.41    |~                   |    ~     ~    |    1|  299.383   pc  |  -2.5096     +2.5096    |paral   |2020yCat.1350....0G
2414|TYC 5850-2579-2                                                                                                                                                                |Star                                |00 57 37.5647255760 -18 59 56.818044960|133.1761291602938 -81.7475084821662|   15.628 3.741   |7.17     |~                   |    ~     ~    |    1|  151.879   pc  |  -0.6367     +0.6367    |paral   |2020yCat.1350....0G
2415|TYC 9141-1364-2                                                                                                                                                                |Star                                |00 45 31.327 -74 43 12.43              |303.459688 -42.402070              |      -13.8 6.7   |10.77    |~                   |    ~     ~    |    0|                |                         |        |                   
2416|HD 4839A                                                                                                                                                                       |Star                                |00 49 27.893 -65 00 15.99              |303.271391 -52.122510              |     31.3 -14.1   |9.29     |~                   |    ~     ~    |    0|                |                         |        |                   
2417|TYC 8031-261-2                                                                                                                                                                 |Star                                |00 49 48.314 -46 51 49.25              |303.758312 -70.261952              |      17.4 -1.1   |10.47    |~                   |    ~     ~    |    0|                |                         |        |                   
