C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:20:07

dec< 0&rah >=0.75&rah< 1.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2467

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
60  |TYC 7535-890-1                                                                                                                                                                 |Star                                |00 51 47.4967840680 -42 13 24.107512440|302.6804829096427 -74.9047165349501|    7.332 5.617   |10.45    |~                   |    ~     ~    |    1|  278.403   pc  |  -4.9230     +4.9230    |ST-L    |2020AJ....160...83S
61  |TYC 7535-972-1                                                                                                                                                                 |Star                                |00 51 58.3870510104 -42 14 25.207478628|302.5519770977090 -74.8875221660835|-16.023 -30.960   |10.89    |~                   |    ~     ~    |    1|  349.652   pc  |  -6.4650     +6.4650    |ST-L    |2020AJ....160...83S
62  |TYC 7538-183-1                                                                                                                                                                 |Star                                |00 46 18.0927432456 -42 50 50.096043924|306.4013511468255 -74.2463854131635|    7.486 0.551   |10.70    |~                   |    ~     ~    |    1|  695.169   pc  |  -6.9589     +6.9589    |paral   |2020yCat.1350....0G
63  |TYC 7539-404-1                                                                                                                                                                 |Star                                |00 53 41.2748050248 -43 40 33.097982844|301.5038967766250 -73.4461526574698|   19.404 2.715   |10.66    |~                   |    ~     ~    |    1| 1110.494   pc  | -20.5944    +20.5944    |paral   |2020yCat.1350....0G
64  |HD 5577                                                                                                                                                                        |Star                                |00 56 58.6748596272 -41 31 55.959290796|298.7734402142245 -75.5512788882227|   21.968 7.553   |10.252   |F5/6V               |    ~     ~    |    1|  206.536   pc  |  -2.1630     +2.1630    |ST-L    |2020AJ....160...83S
65  |HD 5510                                                                                                                                                                        |Star                                |00 56 16.2238823472 -42 40 42.676822164|299.6237281154625 -74.4186761390831|  38.573 -8.234   |8.51     |F8V                 |    ~     ~    |    1|   74.821   pc  |  -0.3299     +0.3299    |ST-L    |2020AJ....160...83S
66  |CD-44 254                                                                                                                                                                      |High Proper Motion Star             |00 57 31.1347426320 -43 33 17.076187908|299.0438925641681 -73.5275725322015|72.587 -193.768   |10.93    |~                   |    ~     ~    |    1|  197.375   pc  |  -1.9868     +1.9868    |paral   |2020yCat.1350....0G
67  |HD 5685                                                                                                                                                                        |High Proper Motion Star             |00 57 58.8613811040 -43 27 32.095886580|298.7193653216760 -73.6157780554016| 75.335 -17.842   |8.62     |F0V                 |    ~     ~    |    1|  159.297   pc  |  -0.4999     +0.4999    |paral   |2020yCat.1350....0G
68  |HD 5726                                                                                                                                                                        |Star                                |00 58 14.0166267624 -43 20 39.688454868|298.5193470590768 -73.7256228020496| -10.301 -4.345   |8.71     |G8III               |    ~     ~    |    1|  400.786   pc  |  -2.8271     +2.8271    |paral   |2020yCat.1350....0G
69  |NGC 319                            NGC 319                                                                                                                                     |Galaxy                              |00 56 57.5853428808 -43 50 19.558302000|299.4746912266973 -73.2524002806733|  -0.138 -0.343   |     ~   |~                   |0.493 0.375    |    0|                |                         |        |                   
70  |CD-43 275                                                                                                                                                                      |Star                                |00 57 59.1543611016 -42 53 28.677967584|298.5285635886918 -74.1809235309695|  11.313 -9.739   |10.93    |~                   |    ~     ~    |    1|  278.187   pc  |  -1.1608     +1.1608    |paral   |2020yCat.1350....0G
71  |CD-42 332                                                                                                                                                                      |Double or Multiple Star             |00 58 16.447008 -41 36 50.76216        |297.841110473 -75.446508750        |      63.4 -4.0   |10.56    |~                   |    ~     ~    |    0|                |                         |        |                   
72  |CD-42 334                                                                                                                                                                      |Star                                |00 58 19.6820090952 -41 55 25.057226820|297.9296974088471 -75.1376368480814| 18.762 -25.427   |10.633   |~                   |    ~     ~    |    1|  191.110   pc  |  -2.2560     +2.2560    |ST-L    |2020AJ....160...83S
73  |NGC 322                            NGC 322                                                                                                                                     |Galaxy                              |00 57 10.0247043192 -43 43 37.416726408|299.3152242087788 -73.3609371381911|            ~ ~   |     ~   |~                   |0.693 0.291    |    1|   63.39    Mpc |                         |        |2016AJ....152...50T
74  |CD-42 327                                                                                                                                                                      |Star                                |00 57 57.8532974664 -41 42 53.551053648|298.1106328551305 -75.3522256189692|  27.838 -1.904   |10.73    |~                   |    ~     ~    |    1| 1068.833   pc  | -20.5633    +20.5633    |paral   |2020yCat.1350....0G
75  |HD 5809                                                                                                                                                                        |Star                                |00 59 05.1941935704 -41 44 30.684896376|297.3003679431299 -75.3026545318393| -3.311 -23.181   |9.10     |F7V                 |    ~     ~    |    1|  171.057   pc  |  -0.4652     +0.4652    |paral   |2020yCat.1350....0G
76  |CD-42 342                                                                                                                                                                      |Star                                |00 59 50.7089164224 -41 59 05.473783860|296.8681699976998 -75.0442667408132| 14.704 -18.664   |10.466   |~                   |    ~     ~    |    1|  272.347   pc  |  -5.3150     +5.3150    |ST-L    |2020AJ....160...83S
77  |HD 5810                                                                                                                                                                        |High Proper Motion Star             |00 59 02.9156218704 -43 14 48.867358704|297.9566608235335 -73.8077466368108| 97.050 -47.290   |9.15     |F8/G0V              |    ~     ~    |    1|  117.396   pc  |  -0.1819     +0.1819    |paral   |2020yCat.1350....0G
78  |CD-42 337                                                                                                                                                                      |Star                                |00 58 41.9767343784 -42 10 56.233122636|297.7707482372504 -74.8731153318897| -2.299 -15.812   |10.441   |~                   |    ~     ~    |    1|  353.114   pc  |  -6.4420     +6.4420    |ST-L    |2020AJ....160...83S
79  |CD-44 265                                                                                                                                                                      |Star                                |00 58 57.6876257928 -43 48 20.968876008|298.2164554658032 -73.2534772421847|   24.821 2.522   |10.224   |~                   |    ~     ~    |    1|  731.187   pc  | -24.0700    +24.0700    |ST-L    |2020AJ....160...83S
80  |CD-43 288                                                                                                                                                                      |Star                                |00 59 27.1975751088 -43 03 44.078856084|297.6193630946365 -73.9832300875974|  22.013 -4.817   |10.24    |~                   |    ~     ~    |    1|  942.774   pc  | -10.3103    +10.3103    |paral   |2020yCat.1350....0G
81  |HD 5763                                                                                                                                                                        |Star                                |00 58 39.5348164416 -43 56 17.547757476|298.4493865102570 -73.1271415116630|   19.550 0.642   |10.23    |F2V                 |    ~     ~    |    1|  273.568   pc  |  -2.2377     +2.2377    |paral   |2020yCat.1350....0G
82  |HD 5903                                                                                                                                                                        |Star                                |00 59 54.0566465112 -43 50 45.867849612|297.6477664665666 -73.1952420505995|  21.946 -0.966   |10.170   |F2V                 |    ~     ~    |    1|  328.610   pc  |  -7.6210     +7.6210    |ST-L    |2020AJ....160...83S
83  |TYC 7539-297-1                                                                                                                                                                 |Star                                |00 56 36.0035439384 -43 35 37.840830720|299.6392220049403 -73.5013892982440|   19.689 8.791   |10.836   |~                   |    ~     ~    |    1|  943.058   pc  | -41.5000    +41.5000    |ST-L    |2020AJ....160...83S
84  |HD 5272                                                                                                                                                                        |High Proper Motion Star             |00 53 57.7833219552 -41 20 41.917705332|301.0030769052994 -75.7738168342971|  66.074 -7.066   |9.56     |K1/2(III)           |    ~     ~    |    1|  347.814   pc  |  -2.1050     +2.1050    |paral   |2020yCat.1350....0G
