C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:50

dec >=0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2206

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
64  |TYC 4554-1608-1                                                                                                                                                                |Star                                |12 47 06.8578619256 +79 48 20.091179556|123.1724733840167 +37.3206520597564|   -8.283 4.549   |10.40    |~                |    ~     ~    |    1|  605.767   pc  | -53.6119    +53.6119  |paral   |2020yCat.1350....0G
65  |BD+78 437                                                                                                                                                                      |Star                                |12 52 23.9030513664 +77 21 20.068036776|122.8635380984937 +39.7725504247786| -33.511 12.700   |9.82     |F5               |    ~     ~    |    1|  289.302   pc  |  -1.5233     +1.5233  |paral   |2020yCat.1350....0G
66  |BD+78 444                                                                                                                                                                      |Double or Multiple Star             |12 58 50.1771768240 +77 53 49.546867416|122.4314110177455 +39.2239652374094| -17.482 14.913   |10.479   |G5               |    ~     ~    |    1|  207.624   pc  |  -0.5130     +0.5130  |paral   |2020yCat.1350....0G
67  |HD 111994                                                                                                                                                                      |Star                                |12 51 09.7567854504 +76 35 48.183226944|122.9529157493073 +40.5315236320398| -11.176 -9.848   |8.90     |K0               |    ~     ~    |    1|  433.107   pc  |  -2.2322     +2.2322  |paral   |2020yCat.1350....0G
68  |HD 112336                                                                                                                                                                      |Star                                |12 53 46.8501492264 +76 56 08.307467592|122.7586018317756 +40.1918229683058| -22.821 -9.167   |7.63     |K0               |    ~     ~    |    1|  228.660   pc  |  -0.7581     +0.7581  |paral   |2020yCat.1350....0G
69  |BD+77 492                                                                                                                                                                      |Star                                |12 53 54.1128162168 +77 12 13.278675168|122.7540257510714 +39.9237127804563|   0.802 -5.351   |10.00    |F8               |    ~     ~    |    1|  214.303   pc  |  -0.4960     +0.4960  |paral   |2020yCat.1350....0G
70  |BD+77 493                                                                                                                                                                      |Star                                |12 54 48.1088883336 +76 54 04.083265224|122.6823069085232 +40.2254877409223|  16.511 11.838   |9.70     |F5               |    ~     ~    |    1|  200.312   pc  |  -0.4534     +0.4534  |paral   |2020yCat.1350....0G
71  |BD+77 494                                                                                                                                                                      |Star                                |12 56 54.5396012712 +76 19 15.831634584|122.5046611231512 +40.8026489418806|  -5.191 -3.738   |9.74     |G5               |    ~     ~    |    1|  686.153   pc  |  -6.8738     +6.8738  |paral   |2020yCat.1350....0G
72  |HD 112796                                                                                                                                                                      |Star                                |12 56 47.7898622280 +77 12 22.871803500|122.5451709140486 +39.9178748746658| -48.430 11.063   |8.67     |F2               |    ~     ~    |    1|  166.767   pc  |  -0.4199     +0.4199  |paral   |2020yCat.1350....0G
73  |HD 112558                                                                                                                                                                      |Star                                |12 55 38.7980430216 +75 34 08.032989540|122.5815229669414 +41.5564907918888|  -15.188 2.278   |8.79     |K2               |    ~     ~    |    1|  585.857   pc  |  -6.5557     +6.5557  |paral   |2020yCat.1350....0G
74  |TYC 4551-5-1                                                                                                                                                                   |Star                                |12 48 39.6242778744 +76 29 32.847345960|123.1456412696103 +40.6346422370917|  -3.168 -9.571   |10.15    |~                |    ~     ~    |    1| 1003.512   pc  | -10.5739    +10.5739  |paral   |2020yCat.1350....0G
75  |TYC 4551-729-1                                                                                                                                                                 |Star                                |12 48 06.4501552344 +76 43 26.691555072|123.1829966431093 +40.4025478321607| 14.942 -12.191   |10.07    |~                |    ~     ~    |    1|  758.438   pc  |  -8.9160     +8.9160  |paral   |2020yCat.1350....0G
76  |TYC 4551-843-1                                                                                                                                                                 |Star                                |12 54 03.7636818120 +75 35 38.453229492|122.7138374327648 +41.5331261295438| -3.646 -28.981   |10.08    |~                |    ~     ~    |    1|  685.871   pc  |  -5.2217     +5.2217  |paral   |2020yCat.1350....0G
77  |TYC 4551-899-1                                                                                                                                                                 |Star                                |12 55 00.7687545792 +76 08 01.826880540|122.6481696706270 +40.9924419448405| -24.355 10.329   |10.59    |~                |    ~     ~    |    1|  340.750   pc  |  -1.8926     +1.8926  |paral   |2020yCat.1350....0G
78  |TYC 4551-956-1                                                                                                                                                                 |High Proper Motion Star             |12 55 32.5655607960 +77 04 13.106880804|122.6319477012038 +40.0555539755832| 63.991 -52.609   |10.49    |~                |    ~     ~    |    1|  206.697   pc  |  -0.4742     +0.4742  |paral   |2020yCat.1350....0G
