C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:54:59

dec >=0&rah >=18.0&rah< 18.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5965

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
53  |TYC 3533-2227-1                                                                                          |Spectroscopic Binary              |18 14 58.7497174848 +48 57 41.649134472|076.8326744933771 +25.8807690697947|  -2.280 -2.756   |10.76    |~              |    ~     ~    |    1|  562.114   pc  |  -5.0871     +5.0871  |paral   |2020yCat.1350....0G
54  |TYC 3533-2572-1                                                                                          |Star                              |18 14 10.1423450592 +49 02 18.682498680|076.8848085769132 +26.0269861668063|  -1.481 19.297   |10.00    |~              |    ~     ~    |    1|  225.322   pc  |  -0.5128     +0.5128  |paral   |2020yCat.1350....0G
55  |HD 234595                                                                                                |Star                              |18 14 12.2600518632 +51 29 42.556439652|079.5695566753265 +26.5165140637420|   4.697 -7.143   |9.86     |K7             |    ~     ~    |    1|  668.941   pc  |  -3.9826     +3.9826  |paral   |2020yCat.1350....0G
56  |IRAS 18135+5114                                                                                          |Long-Period Variable Candidate    |18 14 44.7973241112 +51 15 31.977307584|079.3288878064744 +26.3878394838796|  -4.003 -1.639   |9.83     |~              |    ~     ~    |    1| 1606.43    pc  | -37.9349    +37.9349  |paral   |2020yCat.1350....0G
57  |TYC 3537-536-1                                                                                           |Star                              |18 14 23.5309610016 +51 07 34.987540872|079.1717103968229 +26.4164655165454|  -3.034 14.145   |10.42    |~              |    ~     ~    |    1|  412.592   pc  |  -2.2300     +2.2300  |paral   |2020yCat.1350....0G
58  |TYC 3537-1436-1                                                                                          |Star                              |18 14 13.7756096064 +51 16 08.659804368|079.3225120623802 +26.4691591088201|-14.099 -39.835   |10.46    |~              |    ~     ~    |    1|  156.040   pc  |  -0.2873     +0.2873  |paral   |2020yCat.1350....0G
59  |BD+47 2575                                                                                               |Star                              |18 01 52.9930206984 +47 32 34.253518632|074.7840251049112 +27.7302041537460|    7.624 5.277   |9.18     |K0             |    ~     ~    |    1|  551.724   pc  |  -3.3484     +3.3484  |paral   |2020yCat.1350....0G
60  |BD+47 2577                                                                                               |Star                              |18 04 01.2058961184 +47 42 42.667979472|075.0487149132590 +27.4090566786998|  -13.412 4.466   |9.68     |F5             |    ~     ~    |    1|  178.718   pc  |  -0.3673     +0.3673  |paral   |2020yCat.1350....0G
61  |BD+47 2578                                                                                               |Star                              |18 04 06.1099358616 +47 24 14.376292380|074.7117004397454 +27.3355867146324| -5.648 -31.834   |9.16     |K0             |    ~     ~    |    1|  599.700   pc  |  -4.0999     +4.0999  |paral   |2020yCat.1350....0G
62  |BD+47 2580                                                                                               |Star                              |18 05 12.7711384464 +47 16 08.676602760|074.6049688651449 +27.1243355368036|   2.832 -6.573   |9.93     |K0             |    ~     ~    |    1|  674.263   pc  | -13.1843    +13.1843  |paral   |2020yCat.1350....0G
63  |BD+47 2581                                                                                               |Star                              |18 05 33.1413776880 +47 26 13.962021468|074.8029716607516 +27.1016694135627| -18.120 -8.391   |10.27    |F8             |    ~     ~    |    1|  251.889   pc  |  -0.7550     +0.7550  |paral   |2020yCat.1350....0G
64  |BD+47 2582                                                                                               |Star                              |18 06 50.0572201704 +47 25 59.596151196|074.8476973724725 +26.8885449031188|  -25.620 1.576   |10.23    |K4             |    ~     ~    |    1|  317.028   pc  |  -0.9749     +0.9749  |paral   |2020yCat.1350....0G
