C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:26:23

dec< 0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6182

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
4438|HD 134578                                                                                                |High Proper Motion Star               |15 12 08.3315757504 -43 57 38.508236388|328.0105792765855 +11.9534766608348|-24.515 -47.272     |10.11    |F6/7V           |    ~     ~    |    1|  122.936   pc  |  -1.6413     +1.6413    |paral   |2020yCat.1350....0G
4439|HD 134930                                                                                                |Double or Multiple Star               |15 13 59.3632 -43 47 38.577            |328.3900148 +11.9193482            |  -34.30 -21.40     |7.47     |A4/5IV/V        |    ~     ~    |    0|                |                         |        |                   
4440|HD 133830                                                                                                |Star                                  |15 08 01.5496410408 -44 18 32.822869572|327.1806742672270 +12.0372052299177|-25.339 -25.743     |10.395   |K2/3(III)       |    ~     ~    |    1|  286.378   pc  |  -4.6280     +4.6280    |ST-L    |2020AJ....160...83S
4441|HD 133867                                                                                                |Star                                  |15 08 15.4202138064 -44 14 46.157197056|327.2499517921551 +12.0701658726365|    9.805 5.125     |9.93     |K2(III)         |    ~     ~    |    1|  606.943   pc  |  -6.5572     +6.5572    |paral   |2020yCat.1350....0G
4442|HD 134427                                                                                                |Star                                  |15 11 23.8936914864 -44 15 17.077360176|327.7377134829966 +11.7722867939822|  -3.885 -9.345     |9.54     |G8III           |    ~     ~    |    1|  555.309   pc  |  -3.9471     +3.9471    |paral   |2020yCat.1350....0G
4443|HD 134816                                                                                                |Star                                  |15 13 26.3194307616 -44 20 33.803121048|328.0080058266998 +11.5059321237713| -30.537 -0.382     |8.94     |K1(III)         |    ~     ~    |    1|  392.495   pc  |  -2.8962     +2.8962    |paral   |2020yCat.1350....0G
4444|HD 134815                                                                                                |Star                                  |15 13 27.6748168920 -44 11 50.307777564|328.0898195250276 +11.6273306608271| -10.579 -9.813     |7.94     |A0IV            |    ~     ~    |    1|  356.201   pc  |  -5.4431     +5.4431    |paral   |2020yCat.1350....0G
4445|HD 134994                                                                                                |Star                                  |15 14 20.7164225880 -44 15 32.543299800|328.1936594891582 +11.4911656125151|  -0.559 -4.265     |9.26     |K1III           |    ~     ~    |    1|  354.824   pc  |  -1.9514     +1.9514    |paral   |2020yCat.1350....0G
4446|HD 135089                                                                                                |Star                                  |15 14 52.8190359528 -44 18 42.087420360|328.2479113521921 +11.3956990960393|-15.678 -16.832     |9.48     |F0IV            |    ~     ~    |    1|  494.854   pc  |  -4.7752     +4.7752    |paral   |2020yCat.1350....0G
4447|CD-43 9729                                                                                               |Star                                  |15 14 57.9137109504 -44 13 48.659714940|328.3052845213890 +11.4566257021843|   -5.464 2.803     |9.91     |G0              |    ~     ~    |    0|                |                         |        |                   
4448|HD 134119                                                                                                |Star                                  |15 09 41.8185457032 -44 33 41.077274400|327.3099965486388 +11.6675762048634|  -3.938 -5.769     |8.63     |B6V(n)          |    ~     ~    |    1|  845.594   pc  | -25.5266    +25.5266    |paral   |2020yCat.1350....0G
4449|HD 134861                                                                                                |High Proper Motion Star               |15 13 43.9437956280 -44 34 27.289347492|327.9287962750409 +11.2816079357919|-28.629 -47.749     |8.93     |K0III           |    ~     ~    |    1|  200.658   pc  |  -0.7328     +0.7328    |paral   |2020yCat.1350....0G
4450|IRAS 15109-4317                                                                                          |Star                                  |15 14 17.9356957200 -43 29 06.963542448|328.6061055079110 +12.1513342108828|   0.591 -3.333     |10.46    |~               |    ~     ~    |    1| 1920.123   pc  |-114.2930   +114.2930    |paral   |2020yCat.1350....0G
4451|* e Lup                                                                                                  |Spectroscopic Binary                  |15 12 49.5868237 -44 30 01.485338      |327.8284770237 +11.4293921806      |  -22.01 -21.75     |4.806    |B3IV/V          |    ~     ~    |    0|                |                         |        |                   
4452|V* LQ Lup                                                                                                |T Tauri Star                          |15 08 37.7353724976 -44 23 17.049423444|327.2340747556042 +11.9142037782164|-20.787 -21.712     |10.645   |G8IVe           |    ~     ~    |    1|  146.833   pc  |  -1.8710     +1.8710    |ST-L    |2020AJ....160...83S
4453|CD-42 10008                                                                                              |Star                                  |15 06 46.6039464480 -43 26 11.200326576|327.4377479951560 +12.9027833531451|  -0.196 -5.261     |10.19    |~               |    ~     ~    |    1| 1728.011   pc  | -67.4841    +67.4841    |paral   |2020yCat.1350....0G
4454|CD-42 10034                                                                                              |Star                                  |15 07 41.4771259344 -43 24 18.324497988|327.6006913312087 +12.8450906592136|  -5.295 -0.411     |10.38    |~               |    ~     ~    |    1| 1232.590   pc  | -27.0431    +27.0431    |paral   |2020yCat.1350....0G
4455|CD-43 9640                                                                                               |Rotating Variable                     |15 08 00.5447500584 -43 36 24.844083408|327.5455987483185 +12.6422096392843|-21.919 -17.648     |9.84     |G7III           |    ~     ~    |    1|  308.833   pc  |  -6.8672     +6.8672    |paral   |2020yCat.1350....0G
4456|CD-43 9658                                                                                               |Star                                  |15 09 17.7087861648 -44 20 09.816127188|327.3657912282066 +11.8976684281578|  -1.520 -4.791     |10.11    |K4              |    ~     ~    |    1|  748.626   pc  | -37.3900    +37.3900    |ST-L    |2020AJ....160...83S
4457|CD-44 9907                                                                                               |Star                                  |15 10 06.2775897456 -44 30 29.773199880|327.4015395117193 +11.6755839734621| -7.410 -10.145     |9.88     |~               |    ~     ~    |    1|  641.478   pc  |  -5.9255     +5.9255    |paral   |2020yCat.1350....0G
4458|CD-43 9676                                                                                               |Star                                  |15 10 38.7508134288 -43 39 48.912173172|327.9342356179992 +12.3474944139665|   4.035 -0.840     |10.28    |~               |    ~     ~    |    1| 1253.761   pc  | -25.6223    +25.6223    |paral   |2020yCat.1350....0G
4459|CD-42 10094                                                                                              |Star                                  |15 11 36.5101373112 -43 07 13.908631692|328.3774064627577 +12.7194395763691| -13.362 -6.648     |9.84     |~               |    ~     ~    |    1| 1102.050   pc  | -24.7761    +24.7761    |paral   |2020yCat.1350....0G
4460|CD-44 9935                                                                                               |Star                                  |15 12 59.3123128008 -44 32 15.893097432|327.8335385374844 +11.3824437440664|-32.098 -17.170     |9.8      |~               |    ~     ~    |    1|  565.739   pc  |  -4.2888     +4.2888    |paral   |2020yCat.1350....0G
4461|CD-43 9704                                                                                               |Star                                  |15 13 00.5933360256 -44 18 13.259930256|327.9624682697208 +11.5795136690767| -10.187 -0.613     |10.317   |~               |    ~     ~    |    1|  615.701   pc  | -17.9700    +17.9700    |ST-L    |2020AJ....160...83S
4462|CD-43 9712                                                                                               |Star                                  |15 13 29.8841696472 -44 03 16.435472724|328.1724981922587 +11.7450749715687|-10.230 -13.987     |10.19    |~               |    ~     ~    |    1|  693.049   pc  | -10.4229    +10.4229    |paral   |2020yCat.1350....0G
4463|CD-42 10136                                                                                              |Star                                  |15 13 39.4192551960 -42 58 10.617050568|328.7849500160211 +12.6503937523748| -13.497 -2.565     |10.250   |~               |    ~     ~    |    1|  705.811   pc  | -25.9500    +25.9500    |ST-L    |2020AJ....160...83S
4464|CD-41 9648                                                                                               |Star                                  |15 14 04.7217112296 -42 27 14.918630508|329.1332550322335 +13.0458615314840|-14.889 -10.544     |10.325   |~               |    ~     ~    |    1| 1393.840   pc  |-110.0000   +110.0000    |ST-L    |2020AJ....160...83S
4465|HD 133954                                                                                                |Variable Star                         |15 08 42.5074509312 -44 29 04.367201172|327.1959979544401 +11.8240877302434|-20.336 -22.279     |8.14     |A2/3III         |    ~     ~    |    1|  147.536   pc  |  -0.8685     +0.8685    |paral   |2020yCat.1350....0G
4466|HD 134158                                                                                                |Star                                  |15 09 52.1082540264 -44 39 10.633522212|327.2884907699421 +11.5734053862965| -19.307 -4.741     |8.39     |K0III           |    ~     ~    |    1|  325.383   pc  |  -3.1762     +3.1762    |paral   |2020yCat.1350....0G
4467|HD 134201                                                                                                |Star                                  |15 10 06.6633326592 -44 43 15.763448244|327.2902987867752 +11.4928299349625| -16.941 -7.128     |9.88     |F5V             |    ~     ~    |    0|                |                         |        |                   
4468|HD 134557                                                                                                |Star                                  |15 12 04.3231025472 -45 00 45.282215124|327.4386587326865 +11.0632346197838|  -1.341 -6.042     |7.91     |A0IV            |    ~     ~    |    1|  312.647   pc  |  -6.6762     +6.6762    |paral   |2020yCat.1350....0G
4469|CD-43 9635                                                                                               |Star                                  |15 07 29.2986909552 -44 20 28.811795208|327.0793174589800 +12.0585112308815|  -6.420 -2.843     |10.49    |~               |    ~     ~    |    1| 1558.361   pc  | -53.1839    +53.1839    |paral   |2020yCat.1350....0G
4470|CD-44 9895                                                                                               |Star                                  |15 09 05.6794040160 -44 38 47.512539528|327.1714100791784 +11.6497571929526|  -9.649 -2.630     |10.231   |~               |    ~     ~    |    1|  705.460   pc  | -23.0000    +23.0000    |ST-L    |2020AJ....160...83S
4471|CD-43 9649                                                                                               |Star                                  |15 08 33.8301464208 -43 33 01.152664236|327.6637314077768 +12.6392590335087|    1.609 1.283     |9.70     |~               |    ~     ~    |    1| 1398.406   pc  | -39.5019    +39.5019    |paral   |2020yCat.1350....0G
4472|CD-44 9916                                                                                               |Star                                  |15 10 56.7281091000 -44 41 31.539240564|327.4350061407192 +11.4408103418343|   0.145 -0.006     |9.69     |~               |    ~     ~    |    1| 1203.514   pc  | -56.1997    +56.1997    |paral   |2020yCat.1350....0G
4473|CD-42 10090                                                                                              |Star                                  |15 11 13.5376619592 -43 07 52.850776584|328.3105698715177 +12.7467780448452| -6.445 -11.874     |10.43    |~               |    ~     ~    |    1|  609.125   pc  |  -6.4931     +6.4931    |paral   |2020yCat.1350....0G
4474|CD-42 10123                                                                                              |Star                                  |15 12 59.5368547512 -43 27 02.780606988|328.4190082101640 +12.3061269512027|   -2.179 3.647     |10.36    |~               |    ~     ~    |    1| 1420.051   pc  | -32.6680    +32.6680    |paral   |2020yCat.1350....0G
4475|CD-44 9888                                                                                               |Star                                  |15 08 46.4131375944 -44 36 05.845220064|327.1448624986552 +11.7176190102660|  -6.466 -3.320     |10.91    |~               |    ~     ~    |    1|  344.566   pc  |  -1.9708     +1.9708    |paral   |2020yCat.1350....0G
4476|TYC 7829-1652-1                                                                                          |Star                                  |15 06 58.2947283480 -43 02 58.406884584|327.6712675769344 +13.2177343318500|  -6.871 -7.192     |10.90    |~               |    ~     ~    |    1|  532.538   pc  | -35.2227    +35.2227    |paral   |2020yCat.1350....0G
4477|TYC 7829-2307-1                                                                                          |Star                                  |15 05 56.6872106256 -43 02 38.564759652|327.5081369362270 +13.3177938847797|  19.785 -2.291     |10.60    |~               |    ~     ~    |    1|  127.890   pc  |  -0.3533     +0.3533    |paral   |2020yCat.1350....0G
4478|TYC 7829-2327-1                                                                                          |Star                                  |15 05 53.0352866664 -42 54 16.153099200|327.5709299346734 +13.4437653696887| -17.613 13.820     |10.53    |~               |    ~     ~    |    1|  346.332   pc  |  -2.6628     +2.6628    |paral   |2020yCat.1350....0G
4479|TYC 7830-202-1                                                                                           |Star                                  |15 12 19.3755223992 -42 22 18.598496520|328.8958260245618 +13.2874193135496|-11.460 -13.885     |10.74    |~               |    ~     ~    |    1|  756.659   pc  |  -8.8170     +8.8170    |paral   |2020yCat.1350....0G
4480|TYC 7830-244-1                                                                                           |Star                                  |15 12 14.0499192360 -42 22 10.281178704|328.8827643715893 +13.2980265371691|-17.107 -10.407     |10.42    |~               |    ~     ~    |    1|  263.137   pc  |  -5.3731     +5.3731    |paral   |2020yCat.1350....0G
4481|TYC 7830-331-1                                                                                           |Star                                  |15 11 22.4696912640 -42 46 38.870095620|328.5243305077324 +13.0341037686896|  6.191 -20.599     |10.25    |~               |    ~     ~    |    1|  327.289   pc  |  -3.5456     +3.5456    |paral   |2020yCat.1350....0G
4482|TYC 7830-577-1                                                                                           |Star                                  |15 13 08.9065430592 -42 56 01.045770180|328.7235831094911 +12.7302089194940|  -9.376 -4.276     |10.39    |~               |    ~     ~    |    1| 1871.257   pc  |-123.6066   +123.6066    |paral   |2020yCat.1350....0G
4483|TYC 7830-620-1                                                                                           |Star                                  |15 13 03.6299747136 -42 25 38.953387812|328.9843617169567 +13.1682105723016|   -1.028 3.274     |10.946   |~               |    ~     ~    |    1| 1094.800   pc  | -66.4400    +66.4400    |ST-L    |2020AJ....160...83S
4484|TYC 7830-882-1                                                                                           |Star                                  |15 13 48.7160924568 -42 51 52.387260048|328.8667499820130 +12.7243850962436|   6.568 -5.966     |10.892   |~               |    ~     ~    |    1| 1742.650   pc  |-160.0000   +160.0000    |ST-L    |2020AJ....160...83S
4485|TYC 7830-977-1                                                                                           |Star                                  |15 12 47.9547153817 -42 45 20.790310062|328.7642590106199 +12.9150172669012|-13.421 -11.922     |10.84    |~               |    ~     ~    |    0|                |                         |        |                   
4486|TYC 7830-978-1                                                                                           |Star                                  |15 12 19.8379612824 -42 58 53.271130584|328.5673822734199 +12.7685168566126|   11.334 2.547     |10.51    |~               |    ~     ~    |    1|  374.574   pc  |  -2.5115     +2.5115    |paral   |2020yCat.1350....0G
4487|TYC 7830-1054-1                                                                                          |Star                                  |15 10 22.5283044648 -43 01 29.481564468|328.2316669376099 +12.9185987816116|   -4.455 1.594     |10.732   |~               |    ~     ~    |    1|  432.751   pc  |  -2.7904     +2.7904    |paral   |2020yCat.1350....0G
4488|TYC 7830-1055-1                                                                                          |Star                                  |15 14 09.1160747904 -42 34 39.961824060|329.0774084550509 +12.9340422196120| -11.392 -5.224     |10.226   |~               |    ~     ~    |    1|  792.992   pc  |-174.8000   +174.8000    |ST-L    |2020AJ....160...83S
4489|TYC 7830-1100-1                                                                                          |Star                                  |15 13 59.7516463248 -42 32 10.291080408|329.0751557543464 +12.9845371132117|   -5.785 3.166     |10.70    |~               |    ~     ~    |    1|  364.365   pc  |  -2.4030     +2.4030    |paral   |2020yCat.1350....0G
4490|TYC 7830-1105-1                                                                                          |Star                                  |15 12 51.3637917552 -42 42 53.397050868|328.7955397973946 +12.9442686960953|    3.218 0.493     |10.13    |~               |    ~     ~    |    1|  901.713   pc  | -14.3103    +14.3103    |paral   |2020yCat.1350....0G
4491|TYC 7830-1140-1                                                                                          |Star                                  |15 10 04.2605585544 -42 30 52.446420216|328.4552914184528 +13.3834605130605|  23.591 -9.483     |10.72    |~               |    ~     ~    |    1|  382.263   pc  |  -2.6010     +2.6010    |paral   |2020yCat.1350....0G
4492|TYC 7830-1186-1                                                                                          |Star                                  |15 13 21.3101812968 -42 39 06.195022416|328.9096681777116 +12.9492751894001|   8.119 -0.987     |10.600   |~               |    ~     ~    |    1|  788.569   pc  | -29.8200    +29.8200    |ST-L    |2020AJ....160...83S
4493|TYC 7830-1360-1                                                                                          |Star                                  |15 10 07.6999264488 -42 27 52.991151552|328.4912344726026 +13.4205288821777|   -2.591 9.081     |10.66    |~               |    ~     ~    |    1|  307.239   pc  |  -1.5575     +1.5575    |paral   |2020yCat.1350....0G
4494|TYC 7830-1380-1                                                                                          |Star                                  |15 13 20.2833545616 -42 20 40.970389524|329.0740617540562 +13.2112335005565|   0.942 11.738     |10.98    |~               |    ~     ~    |    1|  335.976   pc  |  -3.2622     +3.2622    |paral   |2020yCat.1350....0G
4495|TYC 7833-23-1                                                                                            |Star                                  |15 02 59.2100056920 -43 16 17.637987720|326.9112101881922 +13.3915685776713|  11.741 -0.850     |9.99     |~               |    ~     ~    |    1|  681.849   pc  |  -6.2764     +6.2764    |paral   |2020yCat.1350....0G
4496|TYC 7833-48-1                                                                                            |Star                                  |15 04 10.0174152720 -43 07 47.256541464|327.1755215006377 +13.4071846439346| -12.338 -0.923     |10.50    |~               |    ~     ~    |    1|  706.714   pc  |  -9.5893     +9.5893    |paral   |2020yCat.1350....0G
4497|TYC 7833-165-1                                                                                           |Star                                  |15 02 19.1268372840 -43 20 58.196511672|326.7630069511769 +13.3841136692405|  -7.415 -0.351     |10.10    |~               |    ~     ~    |    1| 1370.426   pc  | -68.9251    +68.9251    |paral   |2020yCat.1350....0G
4498|TYC 7833-277-1                                                                                           |Star                                  |15 02 48.5010618216 -43 50 35.591826156|326.5912139929125 +12.9112169623719|  -6.260 -5.241     |10.649   |~               |    ~     ~    |    1|  810.071   pc  | -45.5700    +45.5700    |ST-L    |2020AJ....160...83S
4499|TYC 7833-520-1                                                                                           |Star                                  |15 04 48.3144331104 -43 22 02.006182920|327.1564884337972 +13.1434815416887|   -3.231 0.708     |10.68    |~               |    ~     ~    |    1|  712.403   pc  |  -6.9530     +6.9530    |paral   |2020yCat.1350....0G
4500|TYC 7833-560-1                                                                                           |Star                                  |15 06 37.3396151256 -43 12 17.060227452|327.5338157615993 +13.1165936741711|  -9.059 -4.303     |10.34    |~               |    ~     ~    |    1|  723.223   pc  |  -9.5718     +9.5718    |paral   |2020yCat.1350....0G
4501|TYC 7833-573-1                                                                                           |Star                                  |15 01 14.6119163568 -43 35 33.504828972|326.4654545300433 +13.2686094005171|  -2.752 -3.909     |10.41    |~               |    ~     ~    |    1| 1244.865   pc  | -40.6018    +40.6018    |paral   |2020yCat.1350....0G
4502|TYC 7833-585-1                                                                                           |Star                                  |15 01 14.6864070312 -43 46 42.308235264|326.3720644834288 +13.1066031127148| -41.720 10.338     |10.65    |~               |    ~     ~    |    1|  212.278   pc  |  -1.0499     +1.0499    |paral   |2020yCat.1350....0G
4503|TYC 7833-814-1                                                                                           |Star                                  |15 04 27.0199161720 -43 33 53.541218304|326.9975186788764 +13.0047959502530|  -4.787 -4.037     |10.79    |~               |    ~     ~    |    1|  794.534   pc  | -10.4162    +10.4162    |paral   |2020yCat.1350....0G
4504|TYC 7833-821-1                                                                                           |Star                                  |15 04 08.8724481528 -43 30 09.899585748|326.9807136551984 +13.0860130998366| -0.794 -11.350     |10.95    |~               |    ~     ~    |    1|  435.939   pc  |  -2.7556     +2.7556    |paral   |2020yCat.1350....0G
4505|TYC 7833-906-1                                                                                           |Star                                  |15 03 46.8494798952 -43 44 49.872577596|326.7964086619139 +12.9073757556623|   -2.880 1.212     |10.60    |~               |    ~     ~    |    1| 1399.776   pc  | -33.1134    +33.1134    |paral   |2020yCat.1350....0G
4506|TYC 7833-1210-1                                                                                          |Star                                  |15 05 22.7280790272 -43 20 11.355714924|327.2648913734313 +13.1175693827633|  -1.730 -5.268     |10.93    |~               |    ~     ~    |    1|  970.214   pc  | -14.5904    +14.5904    |paral   |2020yCat.1350....0G
4507|TYC 7833-1211-1                                                                                          |Star                                  |15 08 30.2128980792 -44 19 51.143734380|327.2443601379407 +11.9748034589912|  -1.987 -3.727     |10.50    |~               |    ~     ~    |    1| 1044.714   pc  | -18.6634    +18.6634    |paral   |2020yCat.1350....0G
4508|TYC 7833-1242-1                                                                                          |Star                                  |15 03 55.2992759976 -43 29 35.469998268|326.9491340922595 +13.1147962264242|  -6.838 -5.267     |10.75    |~               |    ~     ~    |    1| 1000.200   pc  | -19.8079    +19.8079    |paral   |2020yCat.1350....0G
4509|TYC 7833-1311-1                                                                                          |Star                                  |15 08 22.3812190536 -43 23 47.353373916|327.7142723718203 +12.7890335558164| -3.113 -11.717     |10.93    |~               |    ~     ~    |    1|  232.137   pc  |  -0.8945     +0.8945    |paral   |2020yCat.1350....0G
4510|TYC 7833-1365-1                                                                                          |Star                                  |15 03 47.0010062016 -44 00 42.545761380|326.6616154459921 +12.6776985633973|   0.253 -5.436     |10.95    |~               |    ~     ~    |    1|  992.654   pc  | -18.7219    +18.7219    |paral   |2020yCat.1350....0G
4511|TYC 7833-1499-1                                                                                          |Star                                  |15 08 57.0263706288 -44 29 39.856472592|327.2286770655568 +11.7934863699840|  -0.135 -4.808     |10.98    |~               |    ~     ~    |    1|  821.625   pc  | -15.1215    +15.1215    |paral   |2020yCat.1350....0G
4512|TYC 7833-1505-1                                                                                          |Star                                  |15 07 01.5017143176 -44 24 55.213379712|326.9679609936126 +12.0368596508581| -14.455 -3.129     |10.47    |~               |    ~     ~    |    1|  785.731   pc  | -10.6806    +10.6806    |paral   |2020yCat.1350....0G
4513|TYC 7833-1563-1                                                                                          |Star                                  |15 09 10.7839595808 -43 44 58.524839160|327.6565632668825 +12.4110661617358|  -4.694 -2.201     |10.745   |~               |    ~     ~    |    1|  895.888   pc  | -32.8100    +32.8100    |ST-L    |2020AJ....160...83S
4514|TYC 7833-1914-1                                                                                          |Star                                  |15 08 21.9986819952 -43 30 04.583507832|327.6581070692290 +12.6997001843443|    6.361 2.668     |10.907   |~               |    ~     ~    |    1|  942.376   pc  | -36.1200    +36.1200    |ST-L    |2020AJ....160...83S
4515|TYC 7833-1931-1                                                                                          |Star                                  |15 03 47.7318335208 -43 28 39.926819784|326.9366860550441 +13.1395843867824|  -4.649 -5.741     |10.83    |~               |    ~     ~    |    1|  731.957   pc  |  -7.3935     +7.3935    |paral   |2020yCat.1350....0G
4516|TYC 7833-2038-1                                                                                          |Star                                  |15 06 50.9908215912 -43 56 36.660489540|327.1853534278781 +12.4593149864086|  -9.721 -1.606     |10.64    |~               |    ~     ~    |    1|  965.158   pc  | -16.0223    +16.0223    |paral   |2020yCat.1350....0G
4517|TYC 7833-2140-1                                                                                          |Star                                  |15 04 51.8868391728 -43 16 20.467249968|327.2150682307056 +13.2200636423863|  -2.439 -3.590     |10.92    |~               |    ~     ~    |    1|  467.290   pc  |  -4.3235     +4.3235    |paral   |2020yCat.1350....0G
4518|TYC 7833-2296-1                                                                                          |Star                                  |15 04 54.8831025168 -43 41 43.370978244|327.0049620241823 +12.8497440037052|   9.752 -0.608     |10.82    |~               |    ~     ~    |    1|  788.644   pc  |  -9.4538     +9.4538    |paral   |2020yCat.1350....0G
4519|TYC 7833-2462-1                                                                                          |Star                                  |15 08 19.7254177704 -44 27 21.598401420|327.1514817810511 +11.8832953841301|    0.964 9.128     |10.24    |~               |    ~     ~    |    1| 1265.823   pc  | -26.2778    +26.2778    |paral   |2020yCat.1350....0G
4520|TYC 7834-19-1                                                                                            |Star                                  |15 14 29.5473361632 -43 11 23.031209076|328.7974943851897 +12.3828599867656|  -8.600 -4.694     |10.97    |~               |    ~     ~    |    1|  550.964   pc  |  -5.8587     +5.8587    |paral   |2020yCat.1350....0G
4521|TYC 7834-275-1                                                                                           |Star                                  |15 14 34.4440950312 -44 10 29.170379712|328.2747613326243 +11.5408312619586| -12.019 -1.623     |10.65    |~               |    ~     ~    |    1|  483.910   pc  |  -4.8239     +4.8239    |paral   |2020yCat.1350....0G
4522|TYC 7834-398-1                                                                                           |Star                                  |15 13 21.5980135920 -44 16 47.893850040|328.0295737951416 +11.5666731278604|-35.409 -17.143     |10.59    |~               |    ~     ~    |    1|  464.296   pc  |  -5.1090     +5.1090    |paral   |2020yCat.1350....0G
4523|TYC 7834-556-1                                                                                           |Star                                  |15 13 50.9702849712 -43 14 40.812541980|328.6660075807620 +12.3985851489790|   1.489 -4.407     |10.58    |~               |    ~     ~    |    1|  973.331   pc  | -16.4843    +16.4843    |paral   |2020yCat.1350....0G
4524|TYC 7834-623-1                                                                                           |Star                                  |15 11 50.6199323016 -43 59 59.660121804|327.9433499579499 +11.9478759689727|  -4.997 -2.934     |10.57    |~               |    ~     ~    |    1|  803.600   pc  | -10.1386    +10.1386    |paral   |2020yCat.1350....0G
4525|TYC 7834-650-1                                                                                           |Star                                  |15 14 28.4925637848 -44 15 24.819243516|328.2148937329446 +11.4806735970327| -46.557 -8.405     |10.75    |~               |    ~     ~    |    1|   98.279   pc  |  -0.7669     +0.7669    |paral   |2020yCat.1350....0G
4526|TYC 7834-705-1                                                                                           |Star                                  |15 11 52.5335313696 -44 39 38.352285288|327.5957164871259 +11.3815612260601|    2.091 1.736     |10.55    |~               |    ~     ~    |    0|                |                         |        |                   
4527|TYC 7834-1017-1                                                                                          |Star                                  |15 10 04.3086324120 -44 34 10.376279004|327.3640916975851 +11.6261459538261|-35.111 -16.484     |10.65    |~               |    ~     ~    |    1|  186.912   pc  |  -0.5625     +0.5625    |paral   |2020yCat.1350....0G
4528|TYC 7834-1084-1                                                                                          |Star                                  |15 14 16.7181372624 -44 24 01.172593620|328.1069377315893 +11.3776815191988| -7.246 -14.980     |10.87    |~               |    ~     ~    |    1|  312.881   pc  |  -1.5761     +1.5761    |paral   |2020yCat.1350....0G
4529|TYC 7834-1122-1                                                                                          |Star                                  |15 12 54.3849490872 -43 39 58.991508792|328.2891733758988 +12.1311142490493| -13.344 -1.707     |10.644   |~               |    ~     ~    |    1|  901.971   pc  | -54.8600    +54.8600    |ST-L    |2020AJ....160...83S
4530|TYC 7834-1359-1                                                                                          |Star                                  |15 13 20.7993549720 -44 28 37.605530964|327.9214743925034 +11.4003951550919|-11.333 -10.240     |10.97    |~               |    ~     ~    |    1|  433.445   pc  |  -2.5363     +2.5363    |paral   |2020yCat.1350....0G
4531|TYC 7834-1437-1                                                                                          |Star                                  |15 13 35.3796493104 -44 28 28.871320260|327.9603519273127 +11.3795988667774|  -5.314 -0.764     |10.34    |~               |    ~     ~    |    1|  787.154   pc  | -22.2440    +22.2440    |paral   |2020yCat.1350....0G
4532|TYC 7834-1622-1                                                                                          |Star                                  |15 10 56.0281967424 -43 57 35.560605492|327.8219402856062 +12.0674216574475| -18.872 -7.468     |10.54    |~               |    ~     ~    |    1|  548.757   pc  |  -4.8483     +4.8483    |paral   |2020yCat.1350....0G
4533|TYC 7834-1763-1                                                                                          |Star                                  |15 13 06.2277831888 -44 08 03.969163428|328.0680480408301 +11.7145507694158| -6.508 -15.942     |10.70    |~               |    ~     ~    |    1|  331.686   pc  |  -1.5182     +1.5182    |paral   |2020yCat.1350....0G
4534|TYC 7834-1850-1                                                                                          |Star                                  |15 14 16.4956446528 -44 12 33.716970900|328.2096371273391 +11.5399628521153|-23.793 -20.475     |10.98    |~               |    ~     ~    |    1|  417.973   pc  | -10.9014    +10.9014    |paral   |2020yCat.1350....0G
4535|TYC 7834-1866-1                                                                                          |Star                                  |15 12 38.4449722776 -44 02 07.143990648|328.0490806673973 +11.8425898538056| 25.216 -35.948     |10.73    |~               |    ~     ~    |    1|  251.686   pc  |  -3.0089     +3.0089    |paral   |2020yCat.1350....0G
4536|TYC 7834-1918-1                                                                                          |Star                                  |15 13 36.6347040144 -43 25 30.555711660|328.5303826936981 +12.2685572409801|-30.964 -35.306     |10.9     |~               |    ~     ~    |    1|  131.263   pc  |  -0.2860     +0.2860    |paral   |2020yCat.1350....0G
4537|TYC 7834-1928-1                                                                                          |Star                                  |15 13 43.5556630728 -43 35 23.743283784|328.4592746834342 +12.1177022252167|  -1.930 -1.693     |10.277   |~               |    ~     ~    |    1|  957.352   pc  | -75.0900    +75.0900    |ST-L    |2020AJ....160...83S
4538|TYC 7834-2003-1                                                                                          |Star                                  |15 10 41.9425107432 -43 33 03.275953344|328.0026641564966 +12.4387193271778| -12.667 -6.090     |10.47    |~               |    ~     ~    |    1|  817.060   pc  | -10.0138    +10.0138    |paral   |2020yCat.1350....0G
4539|GEN# -0.04309632                                                                                         |Star                                  |15 07 16.0 -44 06 06                   |327.1691 +12.2850                  |            ~ ~     |10.179   |~               |    ~     ~    |    0|                |                         |        |                   
4540|GEN# -0.04309707                                                                                         |Star                                  |15 13 11.0 -43 45 00                   |328.2876 +12.0337                  |            ~ ~     |10.479   |~               |    ~     ~    |    0|                |                         |        |                   
4541|GEN# -0.04309623                                                                                         |Star                                  |15 06 48.0 -44 23 06                   |326.9483 +12.0834                  |            ~ ~     |9.968    |~               |    ~     ~    |    0|                |                         |        |                   
