C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:26:23

dec< 0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6182

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
58  |CD-33 10310                                                                                              |Star                                  |15 07 12.7175169504 -34 14 27.304238040|332.5037720845672 +20.7190960347949| -26.266 -9.968     |9.99     |~               |    ~     ~    |    1|  929.800   pc  | -19.5383    +19.5383    |paral   |2020yCat.1350....0G
59  |CD-34 10180                                                                                              |T Tauri Star                          |15 07 14.8172880480 -35 04 59.527866036|332.0340013997483 +20.0010937513166|-29.497 -30.348     |10.662   |K0IVe           |    ~     ~    |    1|  107.506   pc  |  -0.2600     +0.2600    |paral   |2020yCat.1350....0G
60  |CD-32 10564                                                                                              |Star                                  |15 03 30.7738825800 -33 16 16.849370496|332.3509558575263 +21.9482884431026|   2.793 -2.874     |10.59    |~               |    ~     ~    |    1| 1312.336   pc  | -23.5945    +23.5945    |paral   |2020yCat.1350....0G
61  |CD-33 10264                                                                                              |Star                                  |15 03 35.2443482064 -34 16 28.805311056|331.8027984131423 +21.0840878095570|   1.897 -5.636     |10.81    |~               |    ~     ~    |    1| 1052.521   pc  | -29.1351    +29.1351    |paral   |2020yCat.1350....0G
62  |CD-33 10269                                                                                              |Star                                  |15 03 56.0514488880 -34 00 15.811220592|332.0194917537464 +21.2774064192634|  -10.022 4.230     |10.99    |~               |    ~     ~    |    1| 1490.091   pc  | -36.8582    +36.8582    |paral   |2020yCat.1350....0G
63  |CD-34 10152                                                                                              |Star                                  |15 04 18.6648878736 -34 42 13.944867552|331.6999770556968 +20.6399907528535|-38.313 -10.295     |10.44    |~               |    ~     ~    |    1|  474.001   pc  |  -3.8420     +3.8420    |paral   |2020yCat.1350....0G
64  |CD-35 10008                                                                                              |Star                                  |15 04 30.3001143048 -35 31 19.609255272|331.2823690283655 +19.9205131561790| -16.820 -2.952     |10.85    |~               |    ~     ~    |    1|  824.198   pc  | -10.5971    +10.5971    |paral   |2020yCat.1350....0G
65  |CD-35 10013                                                                                              |Spectroscopic Binary                  |15 04 37.5409793256 -35 30 58.739847192|331.3078899676704 +19.9127108209091| -8.807 -14.851     |9.93     |~               |    ~     ~    |    1| 1645.007   pc  | -53.8504    +53.8504    |paral   |2020yCat.1350....0G
66  |CD-33 10278                                                                                              |Star                                  |15 05 09.7492916544 -34 10 14.784805524|332.1583991999481 +21.0025020687116|  -9.796 -0.990     |10.90    |~               |    ~     ~    |    1|  991.375   pc  | -16.5115    +16.5115    |paral   |2020yCat.1350....0G
67  |CD-34 10158                                                                                              |Star                                  |15 05 14.6874469608 -34 43 13.818546624|331.8654675765475 +20.5255646626964|  -1.029 -9.389     |10.89    |~               |    ~     ~    |    1|  257.539   pc  |  -1.4327     +1.4327    |paral   |2020yCat.1350....0G
68  |CD-34 10163                                                                                              |Star                                  |15 05 39.4295379840 -35 07 50.798626824|331.7130317216384 +20.1318191360034| 23.304 -18.933     |10.96    |~               |    ~     ~    |    0|                |                         |        |                   
69  |CD-34 10170                                                                                              |Star                                  |15 05 55.1230071720 -35 22 40.184282388|331.6236620113110 +19.8934199053557| -8.310 -11.344     |10.63    |~               |    ~     ~    |    1| 2044.990   pc  |-120.8593   +120.8593    |paral   |2020yCat.1350....0G
70  |CD-33 10293                                                                                              |Star                                  |15 06 00.5493495408 -33 57 18.833170104|332.4397700187917 +21.0933215109368|  -7.973 -8.127     |10.85    |~               |    ~     ~    |    1|  800.769   pc  | -13.4017    +13.4017    |paral   |2020yCat.1350....0G
71  |CD-33 10296                                                                                              |Star                                  |15 06 09.2547459648 -33 41 18.309834204|332.6186137781013 +21.3037826865848|   4.723 -4.722     |10.52    |~               |    ~     ~    |    1|  850.196   pc  | -17.0588    +17.0588    |paral   |2020yCat.1350....0G
72  |CD-33 10297                                                                                              |Star                                  |15 06 15.7888968048 -34 16 15.857600052|332.3088663259650 +20.7973944176193|   5.977 -1.927     |10.31    |~               |    ~     ~    |    1|  746.380   pc  | -10.0832    +10.0832    |paral   |2020yCat.1350....0G
73  |CD-33 10299                                                                                              |Star                                  |15 06 17.5237343712 -34 07 45.468237864|332.3944889574655 +20.9145859230910|-11.669 -11.338     |10.47    |~               |    ~     ~    |    1|  707.965   pc  |  -8.7211     +8.7211    |paral   |2020yCat.1350....0G
74  |CD-35 10041                                                                                              |Star                                  |15 06 38.2269623784 -35 29 45.467439180|331.6901168518792 +19.7160536307720|  -5.225 -0.771     |10.57    |~               |    ~     ~    |    1|  255.441   pc  |  -1.4225     +1.4225    |paral   |2020yCat.1350....0G
75  |TYC 7319-552-1                                                                                           |Star                                  |15 06 49.7740164312 -34 41 28.446545256|332.1774817344791 +20.3790224384683|  -3.754 -6.913     |10.33    |~               |    ~     ~    |    1|  540.044   pc  |  -5.3955     +5.3955    |paral   |2020yCat.1350....0G
76  |CD-33 10313                                                                                              |Star                                  |15 07 17.1168325680 -33 33 38.018095488|332.9056015516202 +21.2868941897362| -15.570 -9.426     |10.49    |~               |    ~     ~    |    1|  440.606   pc  |  -3.3973     +3.3973    |paral   |2020yCat.1350....0G
77  |CD-34 10184                                                                                              |Star                                  |15 07 46.6339605312 -35 27 44.519803560|331.9183167809406 +19.6221029487827| -13.768 -6.813     |10.69    |~               |    ~     ~    |    1|  568.731   pc  | -10.0271    +10.0271    |paral   |2020yCat.1350....0G
78  |CD-34 10195                                                                                              |High Proper Motion Star               |15 08 25.3878171024 -35 22 21.783213768|332.0872391643716 +19.6282623565865|  -89.897 5.715     |10.69    |~               |    ~     ~    |    1|  181.255   pc  |  -0.6078     +0.6078    |paral   |2020yCat.1350....0G
79  |CD-33 10331                                                                                              |Star                                  |15 08 39.6713906016 -34 27 08.695781136|332.6535978996609 +20.3806714485808|  -0.156 -5.872     |10.19    |~               |    ~     ~    |    1| 1149.822   pc  | -22.7400    +22.7400    |paral   |2020yCat.1350....0G
80  |CD-34 10206                                                                                              |Star                                  |15 09 23.2528689768 -35 08 33.228772728|332.3944826304464 +19.7178813043272|  -3.215 -1.282     |10.66    |~               |    ~     ~    |    1| 1015.641   pc  | -19.2895    +19.2895    |paral   |2020yCat.1350....0G
81  |CD-35 10075                                                                                              |Star                                  |15 09 41.0477015832 -35 30 34.255479744|332.2402801727639 +19.3755415342655|-16.459 -10.022     |10.26    |~               |    ~     ~    |    1|  318.066   pc  |  -7.7594     +7.7594    |paral   |2020yCat.1350....0G
82  |CD-34 10213                                                                                              |Star                                  |15 10 06.7613655984 -34 34 27.297624396|332.8526740839026 +20.1173001526899|-27.213 -18.857     |10.68    |~               |    ~     ~    |    1|  330.535   pc  |  -2.4473     +2.4473    |paral   |2020yCat.1350....0G
83  |CD-34 10224                                                                                              |Star                                  |15 10 53.4403658448 -35 12 31.180112676|332.6317281153802 +19.4970444119071| 17.444 -14.216     |10.34    |~               |    ~     ~    |    1|  256.384   pc  |  -1.4593     +1.4593    |paral   |2020yCat.1350....0G
84  |CD-35 10090                                                                                              |Star                                  |15 10 53.9724379896 -36 00 25.533508392|332.1780883431679 +18.8233396733488|-14.239 -12.344     |9.96     |~               |    ~     ~    |    1|  491.521   pc  |  -5.1218     +5.1218    |paral   |2020yCat.1350....0G
85  |CD-34 10227                                                                                              |Star                                  |15 11 04.1298921048 -35 21 28.632251340|332.5787405754363 +19.3517415267790|  -1.818 -9.618     |10.37    |~               |    ~     ~    |    1|  565.099   pc  | -16.7013    +16.7013    |paral   |2020yCat.1350....0G
86  |CD-34 10228                                                                                              |High Proper Motion Star               |15 11 11.2466116824 -34 51 15.051118824|332.8894565561164 +19.7624112397457|-155.288 -59.999    |10.48    |~               |    ~     ~    |    1|   74.695   pc  |  -0.1071     +0.1071    |paral   |2020yCat.1350....0G
87  |CD-34 10229                                                                                              |High Proper Motion Star               |15 11 13.4357984112 -35 14 08.850589404|332.6769366026549 +19.4374491336323| -53.382 13.718     |10.35    |~               |    ~     ~    |    1|  167.372   pc  |  -0.7564     +0.7564    |paral   |2020yCat.1350....0G
88  |HD 133606                                                                                                |Star                                  |15 06 29.9443241544 -35 52 08.774119668|331.4568207479669 +19.4132397680578|  -4.786 -9.448     |10.65    |F0/2(V)         |    ~     ~    |    1|  380.040   pc  |  -2.4986     +2.4986    |paral   |2020yCat.1350....0G
89  |HD 133714                                                                                                |Star                                  |15 07 05.1165291792 -36 02 14.324228160|331.4701990055154 +19.2077932415489|  -5.587 -6.163     |9.93     |B9V             |    ~     ~    |    1|  646.454   pc  | -13.4983    +13.4983    |paral   |2020yCat.1350....0G
90  |HD 133970                                                                                                |Star                                  |15 08 24.9513978792 -36 08 50.723425068|331.6503264462564 +18.9724158399454|-19.889 -31.528     |10.20    |G3(V)           |    ~     ~    |    1|  170.051   pc  |  -0.5321     +0.5321    |paral   |2020yCat.1350....0G
91  |CD-35 9984                                                                                               |Star                                  |15 02 36.0598297008 -35 32 55.311973656|330.9147141740634 +20.0977179192227| -12.317 -8.841     |10.50    |~               |    ~     ~    |    1|  301.005   pc  |  -2.3285     +2.3285    |paral   |2020yCat.1350....0G
92  |CD-35 9999                                                                                               |Star                                  |15 03 49.7739188088 -35 35 55.310118108|331.1151924205360 +19.9261805250520| -11.094 -7.868     |10.29    |~               |    ~     ~    |    1| 1229.407   pc  | -28.7174    +28.7174    |paral   |2020yCat.1350....0G
93  |CD-35 10021                                                                                              |Star                                  |15 05 19.3859727144 -35 49 46.282256724|331.2632634433605 +19.5715435601091|  0.689 -10.262     |9.91     |~               |    ~     ~    |    1| 1040.042   pc  | -42.5103    +42.5103    |paral   |2020yCat.1350....0G
94  |CD-35 10055                                                                                              |Star                                  |15 07 45.4247776056 -36 00 26.312368752|331.6091784797505 +19.1617242122609| -14.835 -2.960     |10.49    |~               |    ~     ~    |    1| 1110.371   pc  | -24.1653    +24.1653    |paral   |2020yCat.1350....0G
95  |CD-35 10059                                                                                              |Star                                  |15 08 15.1215443592 -36 02 50.174228580|331.6767211839716 +19.0749005805460| -21.263 -3.283     |10.43    |~               |    ~     ~    |    1| 1077.238   pc  | -23.9051    +23.9051    |paral   |2020yCat.1350....0G
96  |CD-35 10097                                                                                              |Star                                  |15 11 11.7853122984 -36 28 03.030717972|331.9703065570582 +18.4028736811108|  -7.972 -3.202     |10.58    |~               |    ~     ~    |    1| 1326.260   pc  | -36.7624    +36.7624    |paral   |2020yCat.1350....0G
97  |CD-32 10537                                                                                              |Star                                  |15 01 16.2128944992 -33 11 30.989135616|331.9629563217501 +22.2597680090431|  -6.940 -2.608     |10.84    |~               |    ~     ~    |    1| 2196.354   pc  | -89.2435    +89.2435    |paral   |2020yCat.1350....0G
