C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:00

dec< 0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6873

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
5815|NGC 3330 37                        HD 299254                                                             |Star                                |10 38 51.7729148424 -54 04 54.978042216|284.1797792487755 +03.8914546735114|   -8.723 3.858   |10.90    |A                    |    ~     ~    |    1| 1104.972   pc  | -30.0357    +30.0357  |paral   |2020yCat.1350....0G
5816|HD 307933A                                                                                               |Star                                |10 43 16.2512696760 -64 11 07.218061656|289.5283551595085 -04.7014690618942|  -16.625 4.830   |9.68     |~                    |    ~     ~    |    1|  552.334   pc  |  -4.1795     +4.1795  |paral   |2020yCat.1350....0G
5817|HD 307933B                                                                                               |Star                                |10 43 15.7247843544 -64 11 04.681567248|289.5271761155869 -04.7013011693528|  -17.044 4.911   |9.66     |~                    |    ~     ~    |    1|  566.829   pc  | -13.3980    +13.3980  |paral   |2020yCat.1350....0G
5818|HD 305362                                                                                                |Star                                |10 35 07.7972629272 -59 55 06.765036672|286.6161408335470 -01.4371152053573|  -17.688 8.393   |10.02    |A3                   |    ~     ~    |    1| 1428.163   pc  | -28.9630    +28.9630  |paral   |2020yCat.1350....0G
5819|NGC 3292                           NGC 3292                                                              |Galaxy                              |10 35 34.4398022400 -06 10 46.529466636|253.2754091752897 +43.2163776159357|            ~ ~   |     ~   |~                    |0.620 0.273    |    0|                |                       |        |                   
5820|TYC 8613-2545-1                                                                                          |Star                                |10 36 59.1604686432 -59 45 49.059787032|286.7418136898277 -01.1869976244053|  -2.463 -0.347   |10.638   |~                    |    ~     ~    |    1| 1849.400   pc  |-190.2000   +190.2000  |ST-L    |2020AJ....160...83S
5821|TYC 8626-905-1                                                                                           |Star                                |10 41 09.6278487480 -59 23 46.514003748|287.0251424900239 -00.6091391555127|  -13.226 9.968   |10.325   |~                    |    ~     ~    |    1|  244.474   pc  |  -3.0610     +3.0610  |ST-L    |2020AJ....160...83S
5822|TYC 8957-3987-1                                                                                          |Star                                |10 39 07.9927883760 -60 48 37.411638696|287.4863993276380 -01.9696272729831|  -18.452 4.001   |10.74    |~                    |    ~     ~    |    1|  820.368   pc  | -28.8300    +28.8300  |ST-L    |2020AJ....160...83S
5823|TYC 4915-25-1                                                                                            |Star                                |10 32 40.1487824976 -02 38 09.390888420|249.0876995223935 +45.2367565208366|  -10.480 7.641   |10.837   |~                    |    ~     ~    |    1|  851.891   pc  | -56.5500    +56.5500  |ST-L    |2020AJ....160...83S
5824|TYC 4915-770-1                                                                                           |High Proper Motion Star             |10 36 12.6441824016 -04 58 24.060854280|252.2891542796299 +44.2022360035487| -45.369 32.247   |10.918   |~                    |    ~     ~    |    1|  413.897   pc  | -11.8800    +11.8800  |ST-L    |2020AJ....160...83S
5825|TYC 4915-1093-1                                                                                          |Star                                |10 39 45.5728989336 -03 44 45.285183816|251.9924298699933 +45.7005904879424| -11.080 -5.918   |10.983   |~                    |    ~     ~    |    1| 1215.670   pc  |-102.3000   +102.3000  |ST-L    |2020AJ....160...83S
5826|TYC 4916-402-1                                                                                           |Star                                |10 41 36.7498937688 -02 45 58.234171500|251.4896959652388 +46.7266363872411|  -13.569 7.696   |10.820   |~                    |    ~     ~    |    1|  937.608   pc  | -37.9600    +37.9600  |ST-L    |2020AJ....160...83S
5827|TYC 4918-902-1                                                                                           |Star                                |10 31 23.8242671640 -06 24 48.034723572|252.4658752187341 +42.3338393911318|  -17.086 8.042   |10.306   |~                    |    ~     ~    |    1|  264.047   pc  |  -4.8230     +4.8230  |ST-L    |2020AJ....160...83S
5828|TYC 4919-676-1                                                                                           |Star                                |10 43 12.4878408384 -06 08 44.965332024|255.1919293026295 +44.5174965710667| -5.566 -10.072   |10.823   |~                    |    ~     ~    |    1| 1091.990   pc  | -94.1500    +94.1500  |ST-L    |2020AJ....160...83S
5829|TYC 5495-205-1                                                                                           |Star                                |10 34 12.7782184416 -10 32 07.108373580|256.8211893299866 +39.7468884404593|   -1.455 1.864   |10.784   |~                    |    ~     ~    |    1| 2096.220   pc  |-240.3000   +240.3000  |ST-L    |2020AJ....160...83S
5830|TYC 5495-445-1                                                                                           |Horizontal Branch Star              |10 40 36.5858237736 -11 20 52.075976856|259.0723908373497 +40.1292728433785|   -8.335 0.475   |10.968   |~                    |    ~     ~    |    1| 1016.250   pc  | -44.0900    +44.0900  |ST-L    |2020AJ....160...83S
5831|TYC 5498-170-1                                                                                           |Star                                |10 38 01.4269484688 -13 08 28.027594320|259.8867424138377 +38.3355824969009|  -45.977 5.790   |10.748   |~                    |    ~     ~    |    1|  266.678   pc  |  -4.6010     +4.6010  |ST-L    |2020AJ....160...83S
5832|TYC 5498-603-1                                                                                           |Star                                |10 34 08.6190302976 -12 54 46.512798264|258.7709905766268 +37.9173990411700|  1.818 -17.212   |10.244   |~                    |    ~     ~    |    1|  380.864   pc  |  -8.6690     +8.6690  |ST-L    |2020AJ....160...83S
5833|TYC 6070-538-1                                                                                           |Star                                |10 38 25.5744641304 -19 51 39.514845996|264.9702364537710 +33.0298281566451|   -1.548 2.820   |10.765   |~                    |    ~     ~    |    1|  904.031   pc  | -47.9700    +47.9700  |ST-L    |2020AJ....160...83S
5834|TYC 6081-757-1                                                                                           |Star                                |10 44 40.5853285992 -20 40 12.325615248|266.9587033356898 +33.2015745858259|  -11.271 7.920   |10.736   |~                    |    ~     ~    |    1| 1319.087   pc  | -49.2417    +49.2417  |paral   |2020yCat.1350....0G
5835|TYC 6620-526-1                                                                                           |Star                                |10 32 39.5212910544 -23 50 20.704777872|266.3937279163802 +29.0138000222598|    1.845 2.086   |10.860   |~                    |    ~     ~    |    1| 1094.310   pc  | -71.4200    +71.4200  |ST-L    |2020AJ....160...83S
5836|TYC 6624-453-1                                                                                           |Star                                |10 33 30.9295722312 -25 25 16.527295020|267.6085114344965 +27.8306363577729|  -16.757 9.234   |10.732   |~                    |    ~     ~    |    1|  538.474   pc  | -16.6200    +16.6200  |ST-L    |2020AJ....160...83S
5837|TYC 6633-109-1                                                                                           |Star                                |10 40 16.6209695376 -24 15 52.756369668|268.3137790865486 +29.6494976370746|  -0.437 -5.013   |10.980   |~                    |    ~     ~    |    1| 1081.940   pc  | -52.2300    +52.2300  |ST-L    |2020AJ....160...83S
5838|TYC 6633-441-1                                                                                           |Star                                |10 44 32.9507308224 -22 32 03.538749984|268.1533710003540 +31.6333592536732| -30.757 -7.023   |10.870   |~                    |    ~     ~    |    1| 1021.590   pc  | -45.0500    +45.0500  |ST-L    |2020AJ....160...83S
5839|TYC 6633-624-1                                                                                           |Spectroscopic Binary                |10 40 59.5552537104 -23 01 40.694171196|267.6751141021180 +30.7682607603824| -13.445 18.956   |10.59    |~                    |    ~     ~    |    1|  331.731   pc  |  -6.5960     +6.5960  |ST-L    |2020AJ....160...83S
5840|TYC 6633-719-1                                                                                           |Star                                |10 37 40.5229992024 -23 00 07.821960804|266.9258155028460 +30.3595951677492|   -6.047 0.786   |10.781   |~                    |    ~     ~    |    1| 1013.740   pc  | -54.6200    +54.6200  |ST-L    |2020AJ....160...83S
5841|TYC 6637-288-1                                                                                           |Star                                |10 37 01.2536532648 -24 49 35.682513276|267.9693486652720 +28.7699152918948|  9.981 -21.144   |10.931   |~                    |    ~     ~    |    1| 1119.500   pc  | -74.6600    +74.6600  |ST-L    |2020AJ....160...83S
5842|TYC 6637-1102-1                                                                                          |Star                                |10 44 03.1193662680 -25 52 19.839678096|270.1388829829282 +28.7679161609572|   2.005 -4.186   |10.991   |~                    |    ~     ~    |    1| 1556.360   pc  |-138.9000   +138.9000  |ST-L    |2020AJ....160...83S
5843|TYC 6641-442-1                                                                                           |Star                                |10 42 29.7485247288 -27 31 24.174592716|270.8060032120546 +27.1867138270605|   -8.848 8.313   |10.813   |~                    |    ~     ~    |    1| 1024.750   pc  | -54.8000    +54.8000  |ST-L    |2020AJ....160...83S
5844|GSC 06641-00641                                                                                          |Double or Multiple Star             |10 43 18.8951572800 -27 19 31.737515052|270.8604524360644 +27.4510282410732| -35.500 13.005   |10.137   |F0/2V                |    ~     ~    |    1|  289.819   pc  |  -4.9030     +4.9030  |ST-L    |2020AJ....160...83S
5845|ASAS J104300-6131.2                                                                                      |Classical Cepheid Variable          |10 43 00.0567461304 -61 31 12.286202376|288.2365604277489 -02.3685752242761|   -6.163 2.428   |10.83    |~                    |    ~     ~    |    1| 4450.378   pc  |-223.8063   +223.8063  |paral   |2020yCat.1350....0G
5846|HD 92727A                                                                                                |T Tauri Star                        |10 39 31.7269349640 -75 37 56.278132680|294.8991329975082 -14.8600066261090|   2.495 15.979   |9.68     |G1V                  |    ~     ~    |    1|  147.501   pc  |  -0.2676     +0.2676  |paral   |2020yCat.1350....0G
5847|CD-69 783                                                                                                |Rotating Variable                   |10 41 23.0084090112 -69 40 43.055431068|292.0186142959638 -09.6115322380538| -29.707 20.130   |10.200   |G8V(e)               |    ~     ~    |    1|   94.146   pc  |  -0.1010     +0.1010  |paral   |2020yCat.1350....0G
5848|HD 92206A                                                                                                |Star                                |10 37 22.2806454192 -58 37 22.852573968|286.2234267813572 -00.1697703224386|   -7.290 2.814   |8.219    |O6V((f))z            |    ~     ~    |    1| 2576.656   pc  |-144.0696   +144.0696  |paral   |2020yCat.1350....0G
5849|HD 92504                                                                                                 |Star                                |10 39 36.8683124520 -57 27 40.634282304|285.9158118194893 +00.9891370420453|   -7.239 4.244   |8.46     |O8.5V(n)             |    ~     ~    |    1| 2357.934   pc  |-140.1083   +140.1083  |paral   |2020yCat.1350....0G
5850|HD 92070A                                                                                                |Star                                |10 37 33.7210304397 -19 21 22.417749545|264.4203589793025 +33.3202878008840|  -20.629 6.022   |9.07     |F3IV/V               |    ~     ~    |    1|  239.558   pc  |  -4.7580     +4.7580  |ST-L    |2020AJ....160...83S
5851|HD 92016                                                                                                 |Star                                |10 37 25.1712758070 -11 02 38.618192860|258.0314412244186 +39.8675677358071|  16.290 -7.525   |8.21     |K0III                |    ~     ~    |    1|  309.645   pc  |  -3.8352     +3.8352  |paral   |2020yCat.1350....0G
5852|HD 92614                                                                                                 |Star                                |10 41 35.4221609855 -00 16 20.923855769|248.8623416469837 +48.4821521883288|-16.029 -10.559   |8.21     |F5V                  |    ~     ~    |    1|  183.682   pc  |  -2.4865     +2.4865  |paral   |2018yCat.1345....0G
5853|HD 92738                                                                                                 |Star                                |10 41 26.0457559622 -54 06 24.303558132|284.5225678104278 +04.0520273461868|  -17.275 6.559   |8.45     |B9V                  |    ~     ~    |    1|  411.896   pc  |  -3.8682     +3.8682  |paral   |2020yCat.1350....0G
5854|CD-35 6662                                                                                               |High Proper Motion Star             |10 41 51.8348878272 -36 38 00.132383904|275.8293835384649 +19.3277164985324| -93.496 70.123   |10.175   |M0Vk:                |    ~     ~    |    1|   17.759   pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
5855|HD 91099A                                                                                                |Star                                |10 30 05.7922988376 -47 21 11.853617760|279.5591182618971 +09.0023362384337|  -21.324 8.648   |9.07     |~                    |    ~     ~    |    1|  307.891   pc  | -11.4325    +11.4325  |paral   |2020yCat.1350....0G
5856|HD 92571A                                                                                                |Star                                |10 39 23.976 -67 09 55.65              |290.619626 -07.505449              |    -40.1 -18.6   |7.56     |~                    |    ~     ~    |    0|                |                       |        |                   
5857|HD 91464A                                                                                                |Star                                |10 32 13.425 -59 50 55.49              |286.265908 -01.560362              |       -8.0 8.9   |8.899    |~                    |    ~     ~    |    0|                |                       |        |                   
5858|TYC 7185-972-1                                                                                           |Star                                |10 34 04.1942826264 -31 07 14.572645968|271.2433171395238 +23.1673712233938|  -22.342 9.053   |10.568   |~                    |    ~     ~    |    1|  496.460   pc  | -19.9800    +19.9800  |ST-L    |2020AJ....160...83S
5859|TYC 6620-622-1                                                                                           |Star                                |10 32 48.0715803024 -23 54 41.255521236|266.4719998438289 +28.9736455425618|   -3.759 6.138   |10.983   |~                    |    ~     ~    |    1| 1437.820   pc  |-121.6000   +121.6000  |ST-L    |2020AJ....160...83S
5860|TYC 6062-204-1                                                                                           |Star                                |10 34 11.9687593056 -15 20 25.433229120|260.6932202478627 +36.0371447923486|  -11.671 3.925   |10.663   |~                    |    ~     ~    |    1| 1134.500   pc  |-109.2000   +109.2000  |ST-L    |2020AJ....160...83S
5861|TYC 6620-1027-1                                                                                          |Star                                |10 34 20.4301965360 -22 44 35.794837140|266.0256515630678 +30.1306954791463|      -29.2 0.7   |10.986   |~                    |    ~     ~    |    1|  342.286   pc  | +48.552     +75       |ST-L    |2017AJ....153...75K
5862|TYC 5495-159-1                                                                                           |Chemically Peculiar Star            |10 34 53.4875673744 -11 17 22.037367516|257.6197206811787 +39.2810790996733| -16.136 -8.852   |10.858   |~                    |    ~     ~    |    1| 3229.88    pc  |+394.708      +5       |ST-L    |2017AJ....153...75K
5863|TYC 5498-1131-1                                                                                          |Star                                |10 35 57.0445326528 -13 52 56.955410220|259.9743671339121 +37.4418418108547|  -13.645 9.124   |10.890   |~                    |    ~     ~    |    1| 1138.840   pc  | -78.9900    +78.9900  |ST-L    |2020AJ....160...83S
5864|TYC 6075-400-1                                                                                           |Star                                |10 40 03.6977270880 -16 01 08.450202900|262.5917506072952 +36.3600559231658| -7.321 -11.194   |10.988   |~                    |    ~     ~    |    1|  265.118   pc  |  -1.1668     +1.1668  |paral   |2020yCat.1350....0G
5865|TYC 6075-626-1                                                                                           |Star                                |10 40 26.4866776632 -16 34 33.444798960|263.0942339818586 +35.9677236849387|  -6.378 -6.571   |10.996   |~                    |    ~     ~    |    1|  872.448   pc  | -27.9348    +27.9348  |paral   |2020yCat.1350....0G
5866|TYC 5495-1123-1                                                                                          |Red Giant Branch star               |10 41 29.6754306168 -11 35 47.761701252|259.4970974139667 +40.0712959851405| -30.895 -0.943   |10.987   |~                    |    ~     ~    |    1|  584.976   pc  | -20.0300    +20.0300  |ST-L    |2020AJ....160...83S
5867|TYC 6078-991-1                                                                                           |Star                                |10 42 34.5507779184 -18 29 52.025308188|264.9802827241319 +34.7085789620447| -17.848 -1.206   |10.886   |~                    |    ~     ~    |    1| 1230.040   pc  |-128.5000   +128.5000  |ST-L    |2020AJ....160...83S
5868|TYC 5498-1440-1                                                                                          |Star                                |10 42 41.8773341424 -14 28 41.105497620|262.0689813140335 +37.9741388499557|   1.286 -4.924   |10.947   |~                    |    ~     ~    |    1| 1512.430   pc  |-141.4000   +141.4000  |ST-L    |2020AJ....160...83S
5869|TYC 6633-942-1                                                                                           |Star                                |10 43 10.2376094904 -23 59 51.830530908|268.7800369685575 +30.2358924878553| -32.737 14.357   |10.975   |~                    |    ~     ~    |    1|  441.598   pc  | -12.9300    +12.9300  |ST-L    |2020AJ....160...83S
5870|TYC 6081-441-1                                                                                           |Spectroscopic Binary                |10 43 14.2056433416 -20 57 48.213197136|266.8223647899623 +32.7701510686978|  2.286 -24.448   |10.49    |~                    |    ~     ~    |    1|  160.818   pc  |  -1.8420     +1.8420  |ST-L    |2020AJ....160...83S
5871|TYC 6081-542-1                                                                                           |Star                                |10 43 59.8329256872 -20 41 42.986780232|266.8183142522349 +33.0917860834974| -12.724 11.560   |10.869   |~                    |    ~     ~    |    1| 1098.600   pc  | -77.8400    +77.8400  |ST-L    |2020AJ....160...83S
5872|TYC 6081-632-1                                                                                           |Star                                |10 44 19.4211703008 -20 13 55.749780120|266.5829049825743 +33.5179551868295|-17.820 -15.232   |10.81    |~                    |    ~     ~    |    1|  319.980   pc  |  -3.3583     +3.3583  |paral   |2020yCat.1350....0G
5873|TYC 7194-1732-1                                                                                          |Star                                |10 44 48.4548958224 -34 15 53.838688896|275.1080182966083 +21.6755267247311|  -19.198 3.272   |10.830   |~                    |    ~     ~    |    1|  978.533   pc  | -36.7700    +36.7700  |ST-L    |2020AJ....160...83S
5874|TYC 8957-2426-1                                                                                          |Star                                |10 37 34.8318773928 -61 00 26.595285192|287.4179279642162 -02.2337165133977|   -6.965 5.189   |10.765   |~                    |    ~     ~    |    1| 1583.960   pc  |-119.0000   +119.0000  |ST-L    |2020AJ....160...83S
5875|HD 91333B                                                                                                |Star                                |10 32 43.8591414871 -00 52 02.513759201|247.2563427414208 +46.4619961065564| 42.024 -33.208   |10.69    |~                    |    ~     ~    |    1|  189.631   pc  |  -2.7868     +2.7868  |paral   |2020yCat.1350....0G
5876|TYC 4912-133-1                                                                                           |Chemically Peculiar Star            |10 38 47.4537367344 -00 15 13.662719712|248.1172761181431 +47.9883090031011| -50.125 -6.010   |10.91    |~                    |    ~     ~    |    1| 1536.807   pc  | -49.8334    +49.8334  |paral   |2020yCat.1350....0G
5877|TYC 4912-391-1                                                                                           |Star                                |10 32 29.2316543544 -01 05 55.432032216|247.4425796537067 +46.2601905673234| -6.241 -38.733   |10.99    |~                    |    ~     ~    |    1|  253.653   pc  |  -0.9072     +0.9072  |paral   |2020yCat.1350....0G
5878|TYC 4912-602-1                                                                                           |High Proper Motion Star             |10 36 25.7386296816 -01 21 13.882531968|248.6944075774740 +46.8025116217519| -70.262 -8.164   |10.87    |~                    |    ~     ~    |    1|  276.955   pc  |  -2.9147     +2.9147  |paral   |2020yCat.1350....0G
5879|BD+00 2661                                                                                               |Star                                |10 30 11.5970117368 -00 17 36.256943356|246.0213180228201 +46.3780826611341| -11.972 -5.549   |10.910   |M0                   |    ~     ~    |    1| 1594.39    pc  | -66.6023    +66.6023  |paral   |2020yCat.1350....0G
5880|TYC 4912-857-1                                                                                           |Star                                |10 31 18.5856467832 -02 13 26.733507924|248.3314910852991 +45.2760345427012|  -3.656 -5.763   |10.86    |~                    |    ~     ~    |    1| 1253.133   pc  | -24.1833    +24.1833  |paral   |2020yCat.1350....0G
5881|BD+00 2676                                                                                               |High Proper Motion Star             |10 36 57.9943242672 -00 11 13.937908884|247.5802678734494 +47.7009976356714|-11.458 -55.351   |10.98    |G0                   |    ~     ~    |    1|  193.252   pc  |  -0.6461     +0.6461  |paral   |2020yCat.1350....0G
5882|HD 91151B                                                                                                |High Proper Motion Star             |10 31 21.8784445488 -02 26 21.306619248|248.5662972822837 +45.1377825823958|-82.985 -17.511   |10.43    |~                    |    ~     ~    |    1|   90.743   pc  |  -0.2800     +0.2800  |paral   |2020yCat.1350....0G
5883|TYC 4913-275-1                                                                                           |Star                                |10 44 09.7527770088 -00 21 50.649166872|249.6406200974446 +48.8794381454651|   1.437 -3.614   |10.86    |~                    |    ~     ~    |    1| 1145.082   pc  | -21.7661    +21.7661  |paral   |2020yCat.1350....0G
5884|TYC 4913-768-1                                                                                           |Star                                |10 41 13.6573132776 -01 09 41.087991276|249.7224087062157 +47.7972831272584| -32.271 13.127   |10.97    |~                    |    ~     ~    |    1|  436.987   pc  |  -2.8835     +2.8835  |paral   |2020yCat.1350....0G
5885|TYC 4913-846-1                                                                                           |Star                                |10 44 04.5641390232 -01 17 40.917644376|250.6142654639143 +48.2078300629268|    3.264 7.911   |10.97    |~                    |    ~     ~    |    1| 1157.809   pc  | -25.6040    +25.6040  |paral   |2020yCat.1350....0G
5886|TYC 4913-952-1                                                                                           |Star                                |10 44 05.8515250704 -00 51 24.653065680|250.1542720533764 +48.5214285247823| -26.900 -9.197   |10.59    |~                    |    ~     ~    |    1|  347.874   pc  |  -2.3719     +2.3719  |paral   |2020yCat.1350....0G
5887|TYC 4913-1162-1                                                                                          |High Proper Motion Star             |10 43 20.0476177608 -01 36 54.082577160|250.7544849859221 +47.8497845164201|-76.692 -20.964   |10.95    |~                    |    ~     ~    |    1|  162.904   pc  |  -0.4087     +0.4087  |paral   |2020yCat.1350....0G
5888|TYC 4915-53-1                                                                                            |Star                                |10 38 47.2042561752 -03 02 23.590075560|251.0357105920849 +46.0377112994746|  -41.458 0.045   |10.96    |~                    |    ~     ~    |    1|  408.113   pc  |  -3.1313     +3.1313  |paral   |2020yCat.1350....0G
5889|TYC 4915-193-1                                                                                           |Star                                |10 32 20.3373255456 -02 45 57.682906092|249.1391155475078 +45.0870709807499|-12.755 -28.942   |10.866   |~                    |    ~     ~    |    1| 1070.600   pc  | -57.0900    +57.0900  |ST-L    |2020AJ....160...83S
5890|TYC 4915-721-1                                                                                           |High Proper Motion Star             |10 32 28.3757004936 -04 51 06.256484172|251.2433177949392 +43.6417455296390|-74.918 -15.950   |10.84    |~                    |    ~     ~    |    1|  122.230   pc  |  -0.9339     +0.9339  |ST-L    |2020AJ....160...83S
5891|TYC 4915-736-1                                                                                           |Star                                |10 37 17.7792197136 -04 52 36.526603044|252.4697348821524 +44.4586472232648|  -3.372 14.920   |10.914   |~                    |    ~     ~    |    1|  689.783   pc  | -30.3700    +30.3700  |ST-L    |2020AJ....160...83S
5892|TYC 4916-707-1                                                                                           |High Proper Motion Star             |10 43 19.2187508952 -03 52 50.629396080|253.0537216861511 +46.2132026149588| -5.006 -76.704   |10.13    |~                    |    ~     ~    |    1|  180.522   pc  |  -0.6681     +0.6681  |paral   |2020yCat.1350....0G
5893|TYC 4916-891-1                                                                                           |Star                                |10 43 23.6061355800 -03 53 54.168834948|253.0903933352387 +46.2127310476229|-13.530 -45.579   |10.952   |~                    |    ~     ~    |    1|  584.857   pc  | -30.5700    +30.5700  |ST-L    |2020AJ....160...83S
5894|TYC 4918-86-1                                                                                            |Star                                |10 36 51.8969759184 -05 03 08.917609716|252.5299712736099 +44.2572869134016|  -7.912 -8.160   |10.967   |~                    |    ~     ~    |    1|  839.898   pc  | -55.4900    +55.4900  |ST-L    |2020AJ....160...83S
5895|TYC 4918-184-1                                                                                           |Star                                |10 35 18.9543035064 -05 10 40.504707984|252.2617139017210 +43.9003876290526|  -0.042 -1.860   |10.81    |~                    |    ~     ~    |    1|  931.012   pc  | -10.7481    +10.7481  |paral   |2020yCat.1350....0G
5896|TYC 4918-522-1                                                                                           |Star                                |10 37 34.3899723888 -05 41 48.955476768|253.3231934832421 +43.9083881232368|  -2.872 -5.002   |10.72    |~                    |    ~     ~    |    1|  980.706   pc  | -51.2500    +51.2500  |ST-L    |2020AJ....160...83S
5897|TYC 4918-600-1                                                                                           |Star                                |10 34 35.7368595432 -06 40 57.765237996|253.5008237215616 +42.6825379983497| -12.555 -9.993   |10.838   |~                    |    ~     ~    |    1|  406.031   pc  | -28.3300    +28.3300  |ST-L    |2020AJ....160...83S
5898|TYC 4918-813-1                                                                                           |Star                                |10 34 46.5317716368 -06 31 08.159726100|253.3934484884941 +42.8328861471905| 22.891 -25.375   |10.572   |~                    |    ~     ~    |    1|  496.651   pc  | -22.2200    +22.2200  |ST-L    |2020AJ....160...83S
5899|TYC 4918-893-1                                                                                           |Star                                |10 34 00.5756796000 -06 35 50.296005996|253.2768609672517 +42.6458093710095|  -4.920 -2.725   |10.563   |~                    |    ~     ~    |    1|  921.536   pc  | -53.3000    +53.3000  |ST-L    |2020AJ....160...83S
5900|TYC 5491-845-1                                                                                           |High Proper Motion Star             |10 30 09.6093880104 -08 18 52.025559264|253.9068501580233 +40.7385003132136| 30.971 -66.550   |10.949   |~                    |    ~     ~    |    1|  150.185   pc  |  -2.3840     +2.3840  |ST-L    |2020AJ....160...83S
5901|TYC 5491-1327-1                                                                                          |Star                                |10 30 00.5223057264 -09 23 07.034057772|254.8192801066535 +39.9234470114701|-27.309 -19.951   |10.925   |~                    |    ~     ~    |    1|  382.260   pc  | -18.4100    +18.4100  |ST-L    |2020AJ....160...83S
5902|HD 91106B                                                                                                |Star                                |10 30 58.806284 -07 38 17.88577        |253.493790117 +41.372040513        |     -36.9 -0.7   |8.75     |~                    |    ~     ~    |    0|                |                       |        |                   
5903|TYC 5492-683-1                                                                                           |Star                                |10 38 51.1383482376 -07 31 23.303852868|255.3342267124446 +42.7695339940704|  -5.502 11.207   |10.96    |~                    |    ~     ~    |    1|  288.517   pc  |  -9.6561     +9.6561  |paral   |2020yCat.1350....0G
5904|TYC 5492-949-1                                                                                           |Star                                |10 39 47.7479663328 -08 45 40.528084608|256.6733804514105 +41.9891815293308|   8.437 -4.184   |10.75    |~                    |    ~     ~    |    1| 2243.158   pc  | -84.0304    +84.0304  |paral   |2020yCat.1350....0G
5905|TYC 5494-1549-1                                                                                          |Star                                |10 30 58.0842349128 -10 01 36.311643984|255.6056044390939 +39.6040315285748| -22.041 18.310   |10.93    |~                    |    ~     ~    |    1|  139.816   pc  |  -2.1610     +2.1610  |ST-L    |2020AJ....160...83S
5906|TYC 5495-71-1                                                                                            |Star                                |10 35 18.9189602784 -10 56 42.033784812|257.4344289474171 +39.6112003400871|   0.054 -9.392   |10.73    |~                    |    ~     ~    |    1|  873.439   pc  | -14.8002    +14.8002  |paral   |2020yCat.1350....0G
5907|TYC 5495-142-1                                                                                           |Star                                |10 33 19.5423434640 -11 44 19.249654668|257.6161483109546 +38.6903895488960|  3.902 -14.673   |10.88    |~                    |    ~     ~    |    1|  747.049   pc  |  -9.2084     +9.2084  |paral   |2020yCat.1350....0G
5908|TYC 5495-251-1                                                                                           |Star                                |10 35 20.1991946112 -10 43 34.310978112|257.2555497981751 +39.7813832314174|   -6.385 5.327   |10.79    |~                    |    ~     ~    |    1|  962.649   pc  | -17.4218    +17.4218  |paral   |2020yCat.1350....0G
5909|TYC 5497-517-1                                                                                           |Star                                |10 32 43.1453920920 -12 56 28.734560484|258.4556425990943 +37.6740886920788|   6.615 -2.158   |10.90    |~                    |    ~     ~    |    1| 1719.099   pc  | -71.5183    +71.5183  |paral   |2020yCat.1350....0G
5910|TYC 5497-773-1                                                                                           |Star                                |10 30 08.4739534320 -14 44 52.570391424|259.2914897534391 +35.8831960722796|  -4.776 -9.045   |10.63    |~                    |    ~     ~    |    1| 1181.614   pc  | -21.2224    +21.2224  |paral   |2020yCat.1350....0G
5911|TYC 5497-795-1                                                                                           |Star                                |10 32 07.4678725176 -14 07 41.673409104|259.2642268682543 +36.6668270959019|  -15.914 7.155   |10.96    |~                    |    ~     ~    |    1| 1114.082   pc  | -22.7136    +22.7136  |paral   |2020yCat.1350....0G
5912|TYC 5497-912-1                                                                                           |Star                                |10 32 24.7274745576 -13 57 19.774026000|259.1949114488612 +36.8446631658379|  -10.860 6.390   |10.57    |~                    |    ~     ~    |    1| 1439.885   pc  | -64.2713    +64.2713  |paral   |2020yCat.1350....0G
5913|TYC 5498-199-1                                                                                           |Star                                |10 43 10.0877261976 -12 44 58.386665112|260.8421211012659 +39.4178016822512| -28.956 13.459   |10.752   |~                    |    ~     ~    |    1|  407.777   pc  |  -9.5900     +9.5900  |ST-L    |2020AJ....160...83S
5914|TYC 5498-487-1                                                                                           |Star                                |10 35 32.9858588016 -13 16 26.610888828|259.3964851683770 +37.8545513500596|  -5.464 -7.221   |10.87    |~                    |    ~     ~    |    1| 2618.487   pc  |-162.4984   +162.4984  |paral   |2020yCat.1350....0G
5915|TYC 5498-699-1                                                                                           |Star                                |10 36 39.0700024752 -13 55 20.732098692|260.1731904897142 +37.5166231358906|  -5.073 -5.087   |10.88    |~                    |    ~     ~    |    1|  960.430   pc  | -24.2598    +24.2598  |paral   |2020yCat.1350....0G
5916|TYC 5498-1311-1                                                                                          |Star                                |10 33 30.8738362608 -13 50 51.821610936|259.3688263121379 +37.0974140027332|  -13.267 3.640   |10.89    |~                    |    ~     ~    |    1| 1072.501   pc  | -23.5803    +23.5803  |paral   |2020yCat.1350....0G
