C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:00

dec< 0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6873

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
46  |BD-01 2421                                                                                               |Star                                |10 40 19.9806025800 -01 55 52.505707548|250.2982904834707 +47.0965906348529|-17.537 -30.233   |9.87     |G0                   |    ~     ~    |    1|  169.765   pc  |  -0.5937     +0.5937  |paral   |2020yCat.1350....0G
47  |HD 92484                                                                                                 |Double or Multiple Star             |10 40 39.5166 -02 11 13.557            |250.6478801 +46.9728749            |      -78.8 6.9   |9.50     |G5                   |    ~     ~    |    0|                |                       |        |                   
48  |V* S Sex                                                                                                 |Mira Variable                       |10 34 56.0418882216 -00 20 33.473845032|247.2382287987529 +47.2225838855477|  -3.665 -4.039   |8.20     |M4-5e                |    ~     ~    |    1| 1419.849   pc  | -96.3635    +96.3635  |paral   |2020yCat.1350....0G
49  |HD 91430                                                                                                 |Star                                |10 33 19.9397091576 -02 30 25.371808020|249.1195509224228 +45.4454316528426|  7.743 -26.982   |9.62     |F5/6V                |    ~     ~    |    1|  274.446   pc  |  -1.2428     +1.2428  |paral   |2020yCat.1350....0G
50  |HD 91483                                                                                                 |Star                                |10 33 43.0590554952 -02 27 33.610306572|249.1660856920553 +45.5477770647590| -9.083 -19.670   |9.08     |K2III                |    ~     ~    |    1|  372.648   pc  |  -2.1108     +2.1108  |paral   |2020yCat.1350....0G
51  |BD-01 2413                                                                                               |Star                                |10 37 26.1399039792 -02 22 28.017303420|250.0125785378396 +46.2708007833644|   2.278 10.020   |9.44     |K0                   |    ~     ~    |    1|  392.065   pc  |  -3.1050     +3.1050  |paral   |2020yCat.1350....0G
52  |HD 92199                                                                                                 |Star                                |10 38 38.5809098496 -02 30 02.171656836|250.4502244236385 +46.3954773853003|  -3.541 -9.084   |8.84     |K2/3III              |    ~     ~    |    1|  672.179   pc  | -10.7986    +10.7986  |paral   |2020yCat.1350....0G
53  |HD 92324                                                                                                 |Star                                |10 39 34.6226258400 -02 20 48.943957848|250.5326070960907 +46.6690314718419|  -34.507 6.011   |8.94     |K0                   |    ~     ~    |    1|  708.717   pc  | -12.3059    +12.3059  |paral   |2020yCat.1350....0G
54  |TYC 4912-269-1                                                                                           |Star                                |10 33 19.4718589056 -01 01 28.559951796|247.5701741812889 +46.4640236428432| 16.477 -32.345   |10.66    |~                    |    ~     ~    |    1|  263.623   pc  |  -1.2370     +1.2370  |paral   |2020yCat.1350....0G
55  |TYC 4912-1097-1                                                                                          |High Proper Motion Star             |10 33 50.9590155624 -01 21 08.243871372|248.0471253899799 +46.3359561813761| 13.666 -53.574   |10.84    |~                    |    ~     ~    |    1|  204.553   pc  |  -0.6025     +0.6025  |paral   |2020yCat.1350....0G
56  |TYC 4912-1053-1                                                                                          |Star                                |10 34 08.9809900440 -02 17 05.174864268|249.0939068039606 +45.7467061729220|   4.811 -1.572   |10.718   |~                    |    ~     ~    |    1|  941.284   pc  | -38.9000    +38.9000  |ST-L    |2020AJ....160...83S
57  |TYC 4912-720-1                                                                                           |Star                                |10 35 36.0893866032 -00 50 59.665527096|247.9508971207129 +46.9991589735210|    0.020 0.095   |10.5     |~                    |    ~     ~    |    1| 2071.680   pc  | -72.1032    +72.1032  |paral   |2020yCat.1350....0G
58  |BD-01 2412                                                                                               |High Proper Motion Star             |10 36 41.5628003856 -02 22 41.484311868|249.8280063223774 +46.1361337893758|  -51.067 2.770   |10.16    |~                    |    ~     ~    |    1|  262.729   pc  |  -2.6644     +2.6644  |paral   |2020yCat.1350....0G
59  |TYC 4912-479-1                                                                                           |Star                                |10 37 22.6348212624 -01 19 35.276541672|248.9056822456995 +46.9924570466814|  -10.685 1.535   |10.59    |~                    |    ~     ~    |    1|  873.286   pc  | -14.7950    +14.7950  |paral   |2020yCat.1350....0G
60  |BD-01 2420                                                                                               |Star                                |10 40 03.0804384312 -02 22 00.002776440|250.6754162699451 +46.7385625288411| -21.515 -1.168   |9.90     |~                    |    ~     ~    |    1|  362.976   pc  |  -1.9895     +1.9895  |paral   |2020yCat.1350....0G
61  |BD-01 2423                                                                                               |High Proper Motion Star             |10 40 57.3283932360 -01 55 58.178225064|250.4616711874555 +47.2054290901364| 39.767 -40.712   |10.66    |~                    |    ~     ~    |    1|  250.213   pc  |  -1.2208     +1.2208  |paral   |2020yCat.1350....0G
62  |BD-01 2424                                                                                               |Star                                |10 41 00.7526066472 -02 17 53.964270780|250.8546123709003 +46.9560452718428|  -16.826 4.672   |9.82     |~                    |    ~     ~    |    1|  815.395   pc  | -16.4887    +16.4887  |paral   |2020yCat.1350....0G
63  |2MASS J10363393-0114302                                                                                  |Star                                |10 36 33.93 -01 14 30.3                |248.61041 +46.90465                |   10.00 -43.00   |10.2     |~                    |    ~     ~    |    0|                |                       |        |                   
64  |TYC 4912-29-1                                                                                            |Star                                |10 37 25.1026364712 -00 43 53.028225984|248.2827122548180 +47.4108704210257|  -16.062 4.079   |10.5     |~                    |    ~     ~    |    1| 1234.416   pc  | -25.9043    +25.9043  |paral   |2020yCat.1350....0G
65  |TYC 4912-362-1                                                                                           |Star                                |10 37 13.5628012896 -00 21 08.451691272|247.8252728239966 +47.6357455441140| -11.821 -3.882   |10.40    |~                    |    ~     ~    |    1|  358.950   pc  |  -3.1052     +3.1052  |paral   |2020yCat.1350....0G
66  |LP 610-60                                                                                                |High Proper Motion Star             |10 38 22.3921760904 -01 01 59.574643176|248.8486611744202 +47.3751620155375|-155.710 25.895   |10.89    |~                    |    ~     ~    |    1|  103.170   pc  |  -0.1714     +0.1714  |paral   |2020yCat.1350....0G
67  |TYC 4912-759-1                                                                                           |Star                                |10 34 10.3729885512 -01 36 38.623020912|248.3992103396977 +46.2171752414340|-10.197 -27.746   |10.78    |~                    |    ~     ~    |    1|  216.929   pc  |  -0.6918     +0.6918  |paral   |2020yCat.1350....0G
68  |TYC 4912-919-1                                                                                           |Star                                |10 37 35.9601285160 -01 51 20.559426038|249.5173604609763 +46.6637649950575|  -22.737 5.624   |10.886   |~                    |    ~     ~    |    1|  436.929   pc  |  -4.3717     +4.3717  |paral   |2020yCat.1350....0G
