C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:41:54

dec< 0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 7615

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
80  |HD 326182                                                                                                |Star                                  |16 48 46.9994891040 -41 55 29.754058872|342.7489866515143 +01.8931814465438|-12.354 -13.325    |10.26    |K0             |    ~     ~    |    1|  485.460   pc  |  -3.1580     +3.1580    |paral   |2020yCat.1350....0G
81  |HD 326188                                                                                                |Star                                  |16 49 56.0072945064 -42 02 48.135973668|342.7927257591375 +01.6511153513293|-11.845 -32.534    |9.81     |F0             |    ~     ~    |    1|  192.998   pc  |  -0.5289     +0.5289    |paral   |2020yCat.1350....0G
82  |HD 150821                                                                                                |Star                                  |16 45 24.5990043984 -42 09 59.105203452|342.1593742502546 +02.2146307163966|-10.386 -16.167    |9.26     |A3III(m)       |    ~     ~    |    1|  221.311   pc  |  -3.5980     +3.5980    |ST-L    |2020AJ....160...83S
83  |HD 326053                                                                                                |Star                                  |16 45 42.0307091880 -42 13 23.289042072|342.1512805450587 +02.1368677951087|   0.863 -2.488    |9.82     |G5             |    ~     ~    |    1|  777.182   pc  | -11.1138    +11.1138    |paral   |2020yCat.1350....0G
84  |HD 326058                                                                                                |Star                                  |16 47 34.4877865104 -42 09 06.224073768|342.4307864149950 +01.9186638548438|   0.728 -2.178    |10.70    |A3             |    ~     ~    |    1|  958.405   pc  | -17.4523    +17.4523    |paral   |2020yCat.1350....0G
85  |HD 326059                                                                                                |Star                                  |16 47 49.9104506760 -42 07 42.851391276|342.4792572676611 +01.8972152111060|-15.189 -11.056    |10.38    |A7             |    ~     ~    |    1|  401.768   pc  |  -2.7118     +2.7118    |paral   |2020yCat.1350....0G
86  |HD 326184                                                                                                |Spectroscopic Binary                  |16 48 36.4907864208 -42 07 50.881044540|342.5703294933127 +01.7856905683524|-13.694 -13.618    |9.70     |G0             |    ~     ~    |    1|  168.979   pc  |  -4.7000     +4.7000    |paral   |2020yCat.1350....0G
87  |HD 151741                                                                                                |Star                                  |16 51 13.1262475152 -42 06 50.568393528|342.8933073402787 +01.4246114202785|  -15.663 0.481    |8.88     |G5IV           |    ~     ~    |    1|   91.207   pc  |  -0.5032     +0.5032    |ST-L    |2020AJ....160...83S
88  |HD 150955                                                                                                |Star                                  |16 46 15.9983137032 -43 07 05.284936920|341.5380736817359 +01.4764084747936| -3.205 -12.082    |9.70     |A0III          |    ~     ~    |    1|  715.857   pc  | -32.7300    +32.7300    |ST-L    |2020AJ....160...83S
89  |HD 150976                                                                                                |Star                                  |16 46 20.4850761816 -43 12 48.358304532|341.4743964809417 +01.4041904401697|  -2.391 -5.136    |9.16     |A9V            |    ~     ~    |    1|  352.698   pc  |  -8.2110     +8.2110    |ST-L    |2020AJ....160...83S
