C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:41:54

dec< 0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 7615

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
7366|CD-48 11346A                                                                                             |Star                                  |16 59 41.7489704208 -49 11 03.978496608|338.3114181170820 -04.1618406085354|   0.291 -6.057    |9.61     |~              |    ~     ~    |    1|  453.412   pc  |  -3.0221     +3.0221    |paral   |2020yCat.1350....0G
7367|IRAS 16420-6013                                                                                          |Star                                  |16 46 29.0926650012 -60 19 07.547933576|328.3651136349225 -09.6488984479332|  -1.191 -3.274    |10.02    |~              |    ~     ~    |    1| 1427.35    pc  | -84.7526    +84.7526    |paral   |2018yCat.1345....0G
7368|CD-60 6496                                                                                               |Star                                  |16 57 40.4360 -61 06 29.053            |328.5971167 -11.2118327            | -3.144 -12.940    |9.6      |~              |    ~     ~    |    0|                |                         |        |                   
7369|HD 150993                                                                                                |Star                                  |16 47 18.0035025360 -52 58 14.236441788|334.1312192401416 -05.0313918678767|   0.899 -4.260    |10.26    |B8/9V          |    ~     ~    |    1|  878.580   pc  | -15.0521    +15.0521    |paral   |2020yCat.1350....0G
7370|CD-36 11086                                                                                              |Star                                  |16 57 01.7435839584 -36 35 29.057552088|347.8966068575996 +04.0296515872747|   3.378 -4.909    |10.38    |~              |    ~     ~    |    1|  333.456   pc  |  -1.7902     +1.7902    |paral   |2020yCat.1350....0G
7371|TYC 7371-369-1                                                                                           |Star                                  |16 56 13.8912983400 -36 11 34.368534744|348.1092462889610 +04.4032969544070|  -8.413 -9.333    |9.98     |~              |    ~     ~    |    1|  518.618   pc  |  -4.6531     +4.6531    |paral   |2020yCat.1350....0G
7372|IRAS 16550-3555                                                                                          |Star                                  |16 58 24.9707876184 -35 59 38.415298236|348.5402905560932 +04.1806616419517|   6.384 -1.146    |9.91     |~              |    ~     ~    |    1| 1103.753   pc  | -22.7817    +22.7817    |paral   |2020yCat.1350....0G
7373|HD 152937                                                                                                |Star                                  |16 57 55.9768476096 -35 44 20.258465604|348.6805133317013 +04.4153525477316|-35.571 -23.699    |8.43     |A1mA7-A9       |    ~     ~    |    1|  155.569   pc  |  -0.5687     +0.5687    |paral   |2020yCat.1350....0G
7374|TYC 7368-40-1                                                                                            |Star                                  |16 59 14.0548701456 -35 34 36.866561592|348.9720554425328 +04.3075264453231|   1.728 -5.485    |10.73    |~              |    ~     ~    |    1|  830.772   pc  | -35.1993    +35.1993    |paral   |2020yCat.1350....0G
7375|HD 152216                                                                                                |Star                                  |16 53 26.7301706544 -35 27 33.001057944|348.3290392923350 +05.3028936774750| 16.647 -37.470    |9.37     |F3V            |    ~     ~    |    1|  133.939   pc  |  -0.2763     +0.2763    |paral   |2020yCat.1350....0G
7376|CD-34 11381                                                                                              |Star                                  |16 59 23.1211305936 -34 45 53.591951124|349.6330666466053 +04.7830702783197|  0.777 -13.009    |10.36    |~              |    ~     ~    |    1|  309.885   pc  |  -2.8040     +2.8040    |paral   |2020yCat.1350....0G
7377|CD-34 11388                                                                                              |Star                                  |16 59 59.9803435560 -34 36 03.975132528|349.8406061135115 +04.7840452893378| -7.306 -21.244    |10.21    |~              |    ~     ~    |    1|  419.094   pc  |  -2.7400     +2.7400    |paral   |2020yCat.1350....0G
7378|TYC 7371-666-1                                                                                           |Star                                  |16 51 45.6801982896 -35 50 33.261289332|347.8135207571106 +05.3268399423524| 23.512 -31.572    |10.44    |~              |    ~     ~    |    1|   86.333   pc  |  -0.1230     +0.1230    |paral   |2020yCat.1350....0G
7379|HD 151156                                                                                                |Star                                  |16 47 08.7641600808 -34 33 26.099328600|348.2069057948069 +06.8721222673090| -2.840 -17.967    |10.05    |A2IV           |    ~     ~    |    1|  286.895   pc  |  -1.8766     +1.8766    |paral   |2020yCat.1350....0G
7380|CD-34 11306                                                                                              |Star                                  |16 52 54.4750076688 -34 30 19.111936788|349.0051163001811 +05.9879619614799| -0.932 -14.900    |9.74     |~              |    ~     ~    |    1|  678.196   pc  | -14.3964    +14.3964    |paral   |2020yCat.1350....0G
7381|CD-34 11334                                                                                              |Star                                  |16 55 28.6773571176 -34 34 50.060842788|349.2789927297529 +05.5280688322294|   8.951 19.885    |10.47    |~              |    ~     ~    |    1|  212.229   pc  |  -0.7026     +0.7026    |paral   |2020yCat.1350....0G
7382|TYC 7367-345-1                                                                                           |Star                                  |16 53 59.3635725528 -34 13 22.052181864|349.3671117081121 +05.9913183998528|-10.597 -14.784    |10.42    |~              |    ~     ~    |    1|  219.414   pc  |  -0.8906     +0.8906    |paral   |2020yCat.1350....0G
7383|HD 152244                                                                                                |Star                                  |16 53 46.6068992736 -34 09 01.319344308|349.3962212778039 +06.0709470621258|   0.920 -0.703    |10.36    |A0III/IV       |    ~     ~    |    1|  658.762   pc  |  -8.5057     +8.5057    |paral   |2020yCat.1350....0G
7384|CD-33 11526                                                                                              |Star                                  |16 53 12.0770539560 -33 55 24.440011464|349.4989182101660 +06.3060622085169| 25.251 -11.029    |10.18    |~              |    ~     ~    |    1|  260.478   pc  |  -1.1331     +1.1331    |paral   |2020yCat.1350....0G
7385|TYC 7363-492-1                                                                                           |Star                                  |16 50 59.9590819080 -33 14 51.914524380|349.7373061929089 +07.0876109903842|   1.731 -2.581    |10.82    |~              |    ~     ~    |    1| 1108.033   pc  | -22.3448    +22.3448    |paral   |2020yCat.1350....0G
7386|HD 152766                                                                                                |Variable Star                         |16 56 45.0482187552 -33 09 10.949510592|350.5687203050748 +06.2075232193968|  7.814 -10.034    |8.68     |A2IV           |    ~     ~    |    1|  366.233   pc  |  -7.1490     +7.1490    |paral   |2020yCat.1350....0G
7387|HD 152738                                                                                                |Star                                  |16 56 33.6582397536 -32 45 47.186503740|350.8521027979294 +06.4801205546410|  -0.791 -2.831    |9.65     |K1/2(III)      |    ~     ~    |    1|  864.080   pc  | -11.7968    +11.7968    |paral   |2020yCat.1350....0G
7388|HD 152701                                                                                                |Star                                  |16 56 22.4309700192 -32 23 50.085238416|351.1168733941602 +06.7374795765540| -1.862 -41.380    |9.94     |G2/3V          |    ~     ~    |    1|  188.865   pc  |  -0.5386     +0.5386    |paral   |2020yCat.1350....0G
7389|TYC 7364-912-1                                                                                           |Star                                  |16 57 10.2722683776 -32 21 13.443879960|351.2560579900131 +06.6319992029539|   0.571 -0.517    |10.36    |~              |    ~     ~    |    1|  677.690   pc  |  -9.1394     +9.1394    |paral   |2020yCat.1350....0G
7390|CD-31 13424                                                                                              |Spectroscopic Binary                  |16 58 38.9242678416 -31 54 43.011469404|351.8004374213134 +06.6572424269490|    5.571 4.896    |10.97    |~              |    ~     ~    |    1|  355.733   pc  |  -2.2272     +2.2272    |paral   |2020yCat.1350....0G
7391|HD 151172                                                                                                |Star                                  |16 47 07.1223806664 -33 17 16.331316792|349.1866485356953 +07.6887583788511|   -9.897 3.450    |10.12    |F3/5V          |    ~     ~    |    1|  291.852   pc  |  -1.2010     +1.2010    |paral   |2020yCat.1350....0G
7392|HD 151846                                                                                                |Star                                  |16 51 16.8557294520 -32 57 10.524579336|350.0054327312447 +07.2277098805363|   6.593 -9.584    |9.63     |A1III/IV       |    ~     ~    |    1|  382.673   pc  |  -3.2363     +3.2363    |paral   |2020yCat.1350....0G
7393|TYC 7363-221-1                                                                                           |Star                                  |16 48 25.0706804112 -32 17 33.929304972|350.1366726707823 +08.1121975393359|  -5.952 -7.047    |10.61    |~              |    ~     ~    |    1|  271.813   pc  |  -1.3373     +1.3373    |paral   |2020yCat.1350....0G
7394|HD 151469                                                                                                |Star                                  |16 48 50.0268240744 -31 54 25.231951512|350.4944370496551 +08.2887496700921| -9.006 -15.116    |9.25     |F6/7V          |    ~     ~    |    1|  162.880   pc  |  -0.4616     +0.4616    |paral   |2020yCat.1350....0G
7395|HD 151906A                                                                                               |Star                                  |16 51 40.3844569719 -32 32 23.131425811|350.3814910998538 +07.4236270789898|  -6.563 -7.374    |10.02    |~              |    ~     ~    |    1|  355.29    pc  |  -2.5246     +2.5246    |paral   |2020yCat.1350....0G
7396|HD 152242                                                                                                |Star                                  |16 53 33.9863883576 -32 20 40.289459640|350.7872475979098 +07.2345979509999|  -19.855 4.037    |9.09     |G0V            |    ~     ~    |    1|  199.076   pc  | -10.6054    +10.6054    |paral   |2020yCat.1350....0G
7397|CD-31 13337                                                                                              |Star                                  |16 54 31.9852245240 -32 10 59.448675540|351.0428082071084 +07.1753810248209|   3.400 -0.258    |9.97     |~              |    ~     ~    |    1|  534.245   pc  |  -4.9377     +4.9377    |paral   |2020yCat.1350....0G
7398|HD 152039                                                                                                |Star                                  |16 52 20.2402681776 -31 49 14.121172920|351.0354193510664 +07.7653991201065|-11.398 -17.958    |8.68     |A9V            |    ~     ~    |    1|  203.248   pc  |  -2.3381     +2.3381    |paral   |2020yCat.1350....0G
7399|HD 152180                                                                                                |Star                                  |16 53 06.5071977168 -31 52 48.795825324|351.0918223634865 +07.6003348925791| -4.260 -14.357    |7.58     |B3/5III        |    ~     ~    |    1|  336.587   pc  |  -2.9229     +2.9229    |paral   |2020yCat.1350....0G
7400|TYC 7359-1911-1                                                                                          |Star                                  |16 52 09.1976139072 -31 46 42.077499240|351.0439258090108 +07.8223366987300|   0.414 -0.212    |10.45    |~              |    ~     ~    |    1|  920.048   pc  | -18.0302    +18.0302    |paral   |2020yCat.1350....0G
7401|HD 152538                                                                                                |Star                                  |16 55 14.9159035176 -31 25 37.185611952|351.7356118255503 +07.5258162728694|  -3.904 -6.013    |8.63     |G5/8III+A/F    |    ~     ~    |    1|  471.609   pc  | -10.2089    +10.2089    |paral   |2020yCat.1350....0G
7402|CD-31 13375                                                                                              |Star                                  |16 56 28.8286042872 -31 16 56.762818536|352.0142153331823 +07.4085339990618|  -2.482 -0.169    |10.85    |~              |    ~     ~    |    1|  615.612   pc  |  -8.1480     +8.1480    |paral   |2020yCat.1350....0G
7403|HD 151759                                                                                                |Star                                  |16 50 39.8029391352 -31 38 11.121567612|350.9545283978494 +08.1580775743036|  7.926 -12.323    |7.89     |G8III          |    ~     ~    |    1|  267.852   pc  |  -1.6501     +1.6501    |paral   |2020yCat.1350....0G
7404|HD 151395                                                                                                |Star                                  |16 48 24.6565103664 -31 12 13.200052572|350.9871155300310 +08.8039530957542| -3.208 -17.395    |6.81     |B4V            |    ~     ~    |    1|  236.989   pc  |  -2.1511     +2.1511    |paral   |2020yCat.1350....0G
7405|HD 151843                                                                                                |Star                                  |16 51 11.4929589648 -30 40 20.773263864|351.7845629862583 +08.6756151243262| -1.839 -12.430    |7.76     |K0III          |    ~     ~    |    1|  240.859   pc  |  -1.2531     +1.2531    |paral   |2020yCat.1350....0G
7406|CD-30 13568                                                                                              |Star                                  |16 53 25.6732374024 -30 14 17.637368964|352.4319360250136 +08.5701143088085|   -1.812 0.320    |9.93     |G0             |    ~     ~    |    1|  605.144   pc  |  -6.3719     +6.3719    |paral   |2020yCat.1350....0G
7407|HD 151962                                                                                                |Double or Multiple Star               |16 51 48.1226693089 -30 22 24.054252018|352.1037975074558 +08.7602908150782| -3.378 -10.012    |9.12     |K0/1(III)+F/G  |    ~     ~    |    1|  725.2683  pc  | -43.4488    +43.4488    |paral   |2018yCat.1345....0G
7408|TYC 7359-559-1                                                                                           |Star                                  |16 52 09.0733934832 -30 09 50.933999772|352.3167713175162 +08.8320663239289|    1.728 0.247    |10.20    |~              |    ~     ~    |    1|  667.824   pc  |  -7.6264     +7.6264    |paral   |2020yCat.1350....0G
7409|TYC 6822-2100-1                                                                                          |Star                                  |16 58 41.9151842232 -29 18 17.492919408|353.8872130930707 +08.2434026713264|  -1.179 -0.154    |10.58    |~              |    ~     ~    |    1| 1198.466   pc  | -27.8646    +27.8646    |paral   |2020yCat.1350....0G
7410|TYC 6822-1416-1                                                                                          |Star                                  |16 58 47.5582453104 -28 28 32.502834984|354.5648970917751 +08.7319605435403|  -7.489 -1.866    |10.73    |~              |    ~     ~    |    1|  753.807   pc  | -10.3417    +10.3417    |paral   |2020yCat.1350....0G
7411|HD 151014                                                                                                |Star                                  |16 46 01.9608867696 -31 30 11.339078112|350.4263405251703 +09.0053431100935|   7.106 -8.677    |8.84     |K0III          |    ~     ~    |    1|  578.670   pc  |  -7.9027     +7.9027    |paral   |2020yCat.1350....0G
7412|HD 151171                                                                                                |Star                                  |16 46 58.3860710592 -30 59 50.828663580|350.9507298299669 +09.1726920329627| -5.812 -29.478    |8.63     |K1III          |    ~     ~    |    1|  324.633   pc  |  -2.5187     +2.5187    |paral   |2020yCat.1350....0G
7413|TYC 7359-2050-1                                                                                          |Star                                  |16 48 19.4365220400 -30 48 22.291983252|351.2866438382866 +09.0700012031492|  -3.106 -3.010    |10.36    |~              |    ~     ~    |    0|                |                         |        |                   
7414|HD 151419                                                                                                |Star                                  |16 48 27.8419733856 -30 26 52.480578768|351.5870951304973 +09.2732153958206| -12.925 -4.025    |9.20     |A0/2(III)      |    ~     ~    |    1|  262.206   pc  |  -2.5988     +2.5988    |paral   |2020yCat.1350....0G
7415|HD 150924                                                                                                |Star                                  |16 45 19.0065252840 -30 48 24.246789156|350.8701513242476 +09.5680282154401| -14.776 11.425    |7.00     |K2III/IV       |    ~     ~    |    1|  149.705   pc  |  -0.4325     +0.4325    |paral   |2020yCat.1350....0G
7416|HD 151757                                                                                                |Star                                  |16 50 30.6380555976 -30 15 17.086083552|352.0207103463970 +09.0518510740561|  -0.181 -1.800    |9.08     |A0IV           |    ~     ~    |    1|  569.768   pc  | -11.9141    +11.9141    |paral   |2020yCat.1350....0G
7417|TYC 6821-273-1                                                                                           |Star                                  |16 47 21.3805719912 -29 46 38.337514500|351.9602507208915 +09.8828808951989|  -7.603 -8.671    |10.84    |~              |    ~     ~    |    1|  492.829   pc  | -12.2655    +12.2655    |paral   |2020yCat.1350....0G
7418|TYC 6821-2358-1                                                                                          |Star                                  |16 47 52.7640305760 -29 12 34.756181856|352.4800635574620 +10.1533734797022|   8.243 -1.564    |10.84    |~              |    ~     ~    |    1|  630.438   pc  | -11.9633    +11.9633    |paral   |2020yCat.1350....0G
7419|CD-29 12806                                                                                              |Star                                  |16 45 20.0550718080 -29 36 29.825036964|351.8097428053237 +10.3294947616855| -13.953 -9.424    |10.02    |~              |    ~     ~    |    1|  525.984   pc  |  -4.7585     +4.7585    |paral   |2020yCat.1350....0G
7420|TYC 6822-3142-1                                                                                          |Star                                  |16 54 07.3685383200 -29 21 53.701273008|353.2197416975838 +08.9934793080209|   0.290 -4.241    |10.77    |~              |    ~     ~    |    1| 2449.180   pc  |-105.5733   +105.5733    |paral   |2020yCat.1350....0G
7421|TYC 6821-1013-1                                                                                          |High Proper Motion Star               |16 52 46.3610504256 -29 07 22.317206196|353.2272041951082 +09.3746244357369|-27.194 -49.702    |10.40    |~              |    ~     ~    |    1|   79.932   pc  |  -0.4664     +0.4664    |paral   |2020yCat.1350....0G
7422|TYC 6822-1132-1                                                                                          |Star                                  |16 53 18.5074964472 -29 04 09.540163164|353.3433586297634 +09.3160589164857| -6.415 -10.078    |10.92    |~              |    ~     ~    |    1| 1215.953   pc  | -31.6408    +31.6408    |paral   |2020yCat.1350....0G
7423|TYC 6821-244-1                                                                                           |Star                                  |16 52 21.8646133416 -28 41 53.008304964|353.5085656254572 +09.7084748828178| -11.956 -9.081    |10.91    |~              |    ~     ~    |    1|  808.996   pc  | -11.7151    +11.7151    |paral   |2020yCat.1350....0G
7424|TYC 6822-1420-1                                                                                          |Star                                  |16 56 24.4840986912 -29 01 57.555754860|353.7956816676270 +08.8054644115340|  -3.034 -2.038    |10.64    |~              |    ~     ~    |    1|  149.656   pc  |  -0.3673     +0.3673    |paral   |2020yCat.1350....0G
7425|TYC 6822-2535-1                                                                                          |Star                                  |16 55 06.2608345896 -28 42 19.711809648|353.8793238961220 +09.2317144713860|-25.770 -19.990    |10.34    |~              |    ~     ~    |    1|  248.979   pc  |  -2.4424     +2.4424    |paral   |2020yCat.1350....0G
7426|HD 151679                                                                                                |Star                                  |16 49 55.4882501784 -29 01 27.622246332|352.9116248615997 +09.9224570137755|   1.946 -5.040    |10.28    |A5/7II         |    ~     ~    |    1|  883.626   pc  | -44.0369    +44.0369    |paral   |2020yCat.1350....0G
7427|HD 151417                                                                                                |Star                                  |16 48 17.1319465296 -28 44 55.494934908|352.9006850602449 +10.3747743926883| -7.823 -13.114    |10.17    |F0V            |    ~     ~    |    1|  449.964   pc  | -17.4932    +17.4932    |paral   |2020yCat.1350....0G
7428|HD 151347                                                                                                |Star                                  |16 47 57.6439073544 -28 22 50.146237272|353.1461058340859 +10.6618251481075| 12.430 -24.169    |8.15     |F2V            |    ~     ~    |    1|  130.371   pc  |  -0.5184     +0.5184    |paral   |2020yCat.1350....0G
7429|HD 152191                                                                                                |Star                                  |16 53 00.7758428232 -28 14 44.710851480|353.9583614573880 +09.8770818534020|   2.714 -5.283    |8.64     |G8III          |    ~     ~    |    1|  418.078   pc  | -13.7209    +13.7209    |paral   |2020yCat.1350....0G
7430|HD 152073                                                                                                |Spectroscopic Binary                  |16 52 18.9330886536 -28 04 54.517959012|353.9923608237169 +10.0992989731637| 10.898 -13.720    |10.01    |G8V            |    ~     ~    |    1|  266.724   pc  | -15.0037    +15.0037    |paral   |2020yCat.1350....0G
7431|TYC 6817-1263-1                                                                                          |Star                                  |16 53 00.9937408104 -27 56 48.840224460|354.1972606824032 +10.0613409807843| -3.359 -18.718    |10.28    |~              |    ~     ~    |    1|  311.876   pc  |  -1.7119     +1.7119    |paral   |2020yCat.1350....0G
7432|TYC 6822-88-1                                                                                            |Star                                  |16 59 12.3070537104 -28 13 53.582663712|354.8168995401923 +08.8082034976403| -8.506 -20.464    |10.10    |~              |    ~     ~    |    1|  364.418   pc  |  -3.0013     +3.0013    |paral   |2020yCat.1350....0G
7433|HD 152367                                                                                                |Star                                  |16 53 57.1396669632 -27 36 23.678170488|354.5989898077171 +10.1085019621015|   -2.039 0.530    |9.27     |F3V            |    ~     ~    |    1|  176.292   pc  |  -1.1095     +1.1095    |paral   |2020yCat.1350....0G
7434|CD-27 11278                                                                                              |Star                                  |16 55 47.5678793928 -27 14 38.679867240|355.1442271085737 +10.0085778972053|    2.351 1.612    |9.95     |~              |    ~     ~    |    1|  576.369   pc  |  -5.1491     +5.1491    |paral   |2020yCat.1350....0G
7435|HD 153120                                                                                                |Star                                  |16 58 30.5502873720 -27 06 44.558193456|355.6235829722674 +09.6095958726255|-24.664 -38.619    |8.63     |F0V            |    ~     ~    |    1|  173.028   pc  |  -0.6467     +0.6467    |paral   |2020yCat.1350....0G
7436|HD 153191                                                                                                |Star                                  |16 59 00.6079847808 -26 15 16.612995204|356.3854499694856 +10.0394093542974|-12.663 -10.324    |9.24     |G6/8(III)      |    ~     ~    |    1|  437.158   pc  |  -3.2106     +3.2106    |paral   |2020yCat.1350....0G
7437|TYC 6817-1219-1                                                                                          |Star                                  |16 48 40.9911754224 -28 03 05.071583268|353.5085305546569 +10.7447256900460|  -3.134 -1.335    |10.60    |~              |    ~     ~    |    1|  990.884   pc  | -17.1824    +17.1824    |paral   |2020yCat.1350....0G
7438|HD 151034                                                                                                |High Proper Motion Star               |16 45 51.8579937912 -27 52 18.639823188|353.2513832260285 +11.3413765942774|-25.777 -54.658    |9.60     |F8V            |    ~     ~    |    1|  137.817   pc  |  -0.3400     +0.3400    |paral   |2020yCat.1350....0G
7439|TYC 6817-2132-1                                                                                          |Star                                  |16 51 01.4861619864 -27 09 15.729181128|354.5517915175573 +10.8988817665469|  -0.139 -0.777    |10.53    |~              |    ~     ~    |    1| 1742.160   pc  | -49.7760    +49.7760    |paral   |2020yCat.1350....0G
7440|TYC 6817-2239-1                                                                                          |Star                                  |16 49 14.8223409600 -27 03 37.466600544|354.3758906405635 +11.2670406495252|   0.040 -0.385    |10.39    |~              |    ~     ~    |    1|  857.780   pc  | -13.9799    +13.9799    |paral   |2020yCat.1350....0G
7441|TYC 6817-430-1                                                                                           |Spectroscopic Binary                  |16 45 06.6952629456 -27 03 19.834225056|353.7895875369262 +11.9867139465333| -6.897 -17.530    |10.74    |~              |    ~     ~    |    1|  453.104   pc  | -21.1462    +21.1462    |paral   |2020yCat.1350....0G
7442|HD 151982                                                                                                |Star                                  |16 51 51.7616064576 -26 52 25.889772036|354.8937885101596 +10.9261790044513| 38.497 -24.214    |7.53     |F0V            |    ~     ~    |    1|  110.339   pc  |  -0.3604     +0.3604    |paral   |2020yCat.1350....0G
7443|TYC 6814-892-1                                                                                           |Star                                  |16 55 34.3707558384 -25 59 08.740299012|356.1268714771637 +10.8158845842818|  -0.081 -3.108    |10.19    |~              |    ~     ~    |    1|  917.600   pc  | -15.9978    +15.9978    |paral   |2020yCat.1350....0G
7444|TYC 6814-594-1                                                                                           |Star                                  |16 57 07.3335129504 -25 47 23.469339156|356.5008115203172 +10.6582868274600|    1.412 1.129    |10.73    |~              |    ~     ~    |    1| 1016.157   pc  | -18.9994    +18.9994    |paral   |2020yCat.1350....0G
7445|HD 152429                                                                                                |High Proper Motion Star               |16 54 20.6572898064 -25 49 45.770641968|356.0812080048721 +11.1301636348642|-70.977 -38.594    |7.19     |G0IV           |    ~     ~    |    1|   67.706   pc  |  -0.0958     +0.0958    |paral   |2020yCat.1350....0G
7446|TYC 6813-469-1                                                                                           |Star                                  |16 48 59.0402164872 -26 13 48.440282952|355.0012395807307 +11.8304623587879|   -1.296 0.157    |10.77    |~              |    ~     ~    |    1|  859.033   pc  | -10.9953    +10.9953    |paral   |2020yCat.1350....0G
7447|HD 152228                                                                                                |Star                                  |16 53 08.5248195624 -25 16 06.957277968|356.3643134182849 +11.6878305866557|  -4.850 -6.665    |8.45     |F2V            |    ~     ~    |    1|  104.612   pc  |  -0.4202     +0.4202    |paral   |2020yCat.1350....0G
7448|CD-25 11728                                                                                              |Star                                  |16 51 13.8175436664 -25 16 30.385840332|356.0877536069968 +12.0248556615754|   9.750 -6.233    |9.75     |~              |    ~     ~    |    1|  392.927   pc  |  -2.5629     +2.5629    |paral   |2020yCat.1350....0G
7449|CD-24 12897                                                                                              |Star                                  |16 52 25.2455344680 -24 42 08.559709920|356.7193975214244 +12.1638809320634|  -4.324 -4.366    |10.39    |~              |    ~     ~    |    1|  561.356   pc  |  -6.3970     +6.3970    |paral   |2020yCat.1350....0G
7450|CD-24 12813                                                                                              |Star                                  |16 45 38.3542758768 -25 03 43.309672524|355.4536848670882 +13.1486109601544| -8.134 -20.502    |9.83     |~              |    ~     ~    |    1|  530.645   pc  |  -5.0122     +5.0122    |paral   |2020yCat.1350....0G
7451|CD-24 12815                                                                                              |Star                                  |16 46 10.7456539464 -25 01 37.957720656|355.5601206027492 +13.0750044633786|-10.344 -10.435    |10.34    |~              |    ~     ~    |    1|  671.998   pc  |  -7.6317     +7.6317    |paral   |2020yCat.1350....0G
7452|CD-24 12819                                                                                              |Star                                  |16 46 34.7076348048 -24 50 09.041578764|355.7716296780431 +13.1237862922369|  -8.154 -5.362    |10.14    |~              |    ~     ~    |    1|  686.059   pc  |  -7.0602     +7.0602    |paral   |2020yCat.1350....0G
7453|TYC 7871-1396-1                                                                                          |Star                                  |16 46 47.8712458344 -39 33 31.279062024|344.3175377002072 +03.7059689384459| -6.307 -10.944    |10.10    |~              |    ~     ~    |    1|  678.794   pc  |  -8.5241     +8.5241    |paral   |2020yCat.1350....0G
7454|TYC 7371-920-1                                                                                           |Star                                  |16 56 08.3604726216 -37 11 04.413182100|347.3203952469096 +03.7994162448362|-20.112 -43.508    |10.00    |~              |    ~     ~    |    1|  194.239   pc  |  -0.6640     +0.6640    |paral   |2020yCat.1350....0G
7455|CPD-59 6877                                                                                              |Star                                  |16 59 55.2427329600 -59 19 14.755635084|330.2212959868310 -10.3593493721994| -3.303 -15.004    |10.43    |~              |    ~     ~    |    1|  801.089   pc  | -15.5944    +15.5944    |paral   |2020yCat.1350....0G
7456|HD 150596B                                                                                               |High Proper Motion Star               |16 45 57.0826244167 -61 39 49.434158053|327.2684967435251 -10.4533887825294|-34.801 -34.180    |10.69    |~              |    ~     ~    |    1|  107.459   pc  |  -2.2586     +2.2586    |paral   |2020yCat.1350....0G
7457|HD 151307B                                                                                               |Star                                  |16 46 38.3887600225 -03 11 42.676678721|014.4506342097180 +25.7788914042788|  15.690 -6.892    |10.96    |~              |    ~     ~    |    1|  153.008   pc  |  -6.0542     +6.0542    |paral   |2020yCat.1350....0G
7458|HD 152520B                                                                                               |Star                                  |16 55 08.329674 -31 13 20.91305        |351.882891707 +07.670957409        |       0.8 -2.9    |10.85    |~              |    ~     ~    |    0|                |                         |        |                   
7459|TYC 8334-116-2                                                                                           |Star                                  |16 46 22.337 -49 06 29.05              |336.991799 -02.424930              |      -0.7 -7.0    |10.17    |~              |    ~     ~    |    0|                |                         |        |                   
7460|CD-49 10968B                                                                                             |Star                                  |16 47 28.769852 -49 39 10.42297        |336.692504985 -02.914753390        |       -8.2 0.7    |10.98    |~              |    ~     ~    |    0|                |                         |        |                   
7461|HD 151113B                                                                                               |Star                                  |16 47 30.336382 -45 27 37.37961        |339.897121974 -00.209729900        |      -0.7 -4.9    |8.82     |~              |    ~     ~    |    0|                |                         |        |                   
7462|TYC 8717-1473-2                                                                                          |Star                                  |16 49 10.364 -54 40 28.12              |332.993506 -06.334396              |     -17.5 -5.5    |10.36    |~              |    ~     ~    |    0|                |                         |        |                   
7463|TYC 8725-354-2                                                                                           |Star                                  |16 49 20.785 -58 21 23.27              |330.137118 -08.687962              |     13.1 -13.8    |10.51    |~              |    ~     ~    |    0|                |                         |        |                   
7464|TYC 7879-2396-2                                                                                          |Star                                  |16 49 30.972 -43 56 40.79              |341.286752 +00.493107              |      0.6 -22.4    |8.65     |~              |    ~     ~    |    0|                |                         |        |                   
7465|TYC 7871-3585-2                                                                                          |Star                                  |16 49 40.289 -40 27 06.42              |343.987178 +02.710166              |    -15.3 -40.1    |10.32    |~              |    ~     ~    |    0|                |                         |        |                   
7466|HD 151142B                                                                                               |Star                                  |16 49 51.5095265424 -63 49 31.994881992|325.8371840838474 -12.1573606865783|-12.426 -17.797    |10.39    |~              |    ~     ~    |    1|  292.903   pc  |  -3.4917     +3.4917    |paral   |2020yCat.1350....0G
7467|TYC 8330-4599-2                                                                                          |Star                                  |16 50 32.370 -47 56 38.79              |338.327823 -02.204199              |     -4.4 -11.6    |10.52    |~              |    ~     ~    |    0|                |                         |        |                   
7468|HD 326202B                                                                                               |High Proper Motion Star               |16 50 35.5114656360 -42 19 30.720866412|342.6565951528865 +01.3792394784803| 60.661 -50.037    |10.46    |~              |    ~     ~    |    1|  125.447   pc  |  -1.0780     +1.0780    |paral   |2020yCat.1350....0G
7469|HD 151566B                                                                                               |Star                                  |16 50 36.2814712504 -50 02 39.292522682|336.7153500210383 -03.5522740409385|   7.327 -4.418    |7.29     |~              |    ~     ~    |    1|  127.758   pc  |  -8.1985     +8.1985    |paral   |2018yCat.1345....0G
7470|TYC 8326-3531-2                                                                                          |Star                                  |16 51 07.6967 -46 48 21.658            |339.2682586 -01.5547904            |   0.230 -8.362    |10.08    |~              |    ~     ~    |    0|                |                         |        |                   
7471|HD 151740B                                                                                               |Star                                  |16 51 08.821769 -41 34 04.80797        |343.305713180 +01.782938643        |        1.5 2.8    |9.25     |~              |    ~     ~    |    0|                |                         |        |                   
