C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
4379|HD 270302                                                             |Spectroscopic Binary                  |05 53 50.0532688536 -68 33 51.467857668|278.7143276544734 -30.3535694612527| -6.381 101.670  |10.26    |K0               |    ~     ~    |    1|  251.996   pc  |  -2.9630     +2.9630  |ST-L    |2020AJ....160...83S
4380|HD 270332                                                             |Star                                  |05 54 52.0397225592 -68 28 11.582873616|278.6003528875769 -30.2631347474100|   0.674 15.927  |10.78    |F8               |    ~     ~    |    1|  754.526   pc  | -40.2400    +40.2400  |ST-L    |2020AJ....160...83S
4381|HD 270283                                                             |Star                                  |05 54 59.0214225912 -70 11 23.115709644|280.5876910815875 -30.1687004865474|   0.635 17.841  |10.92    |K5               |    ~     ~    |    1| 1420.760   pc  | -88.5500    +88.5500  |ST-L    |2020AJ....160...83S
4382|HD 270337                                                             |Star                                  |05 55 58.5724518168 -69 04 13.231098264|279.2897304925413 -30.1380793696288| 12.908 -13.088  |10.761   |G0               |    ~     ~    |    1|  262.003   pc  |  -4.5970     +4.5970  |ST-L    |2020AJ....160...83S
4383|HD 270381                                                             |Star                                  |05 56 19.6790559552 -67 36 04.345641072|277.5904897507795 -30.1553501036811|   8.270 32.198  |10.78    |F2               |    ~     ~    |    1|  418.953   pc  | -12.6400    +12.6400  |ST-L    |2020AJ....160...83S
4384|HD 270405                                                             |Star                                  |05 57 21.0893889336 -67 38 42.743259024|277.6386523486896 -30.0569182079514|  -1.024 -2.647  |10.948   |F8               |    ~     ~    |    1|  200.355   pc  |  -2.0250     +2.0250  |ST-L    |2020AJ....160...83S
4385|HD 270382                                                             |High Proper Motion Star               |05 57 24.0019943112 -68 28 39.413431272|278.5997986375940 -30.0306779704540|  33.550 49.245  |10.757   |F5               |    ~     ~    |    1|  261.694   pc  |  -3.1950     +3.1950  |ST-L    |2020AJ....160...83S
4386|HD 270371                                                             |Star                                  |05 58 12.5907541152 -69 34 21.367062408|279.8602993837307 -29.9209912458219|  -1.500 11.655  |10.218   |M0               |    ~     ~    |    1| 1336.300   pc  | -83.0400    +83.0400  |ST-L    |2020AJ....160...83S
4387|HD 270349                                                             |Star                                  |05 55 13.8399023952 -68 02 12.891563916|278.0980033562042 -30.2457458281428|  15.441 -1.625  |10.51    |K0               |    ~     ~    |    1|  244.515   pc  |  -3.5040     +3.5040  |ST-L    |2020AJ....160...83S
4388|HD 270140                                                             |Star                                  |05 48 43.0348346448 -70 12 52.738729020|280.6599185083986 -30.6962200388723|   6.321 21.121  |10.45    |K2               |    ~     ~    |    1|  490.436   pc  |  -3.1990     +3.1990  |paral   |2020yCat.1350....0G
4389|HD 270245                                                             |Star                                  |05 52 51.0249857664 -69 28 11.145063540|279.7677497271823 -30.3941739673095|  13.952 17.814  |10.73    |F5               |    ~     ~    |    1|  444.535   pc  | -10.4200    +10.4200  |ST-L    |2020AJ....160...83S
4390|HD 270108                                                             |High Proper Motion Star               |05 45 04.7470365600 -67 28 26.617273680|277.5027610735942 -31.2346001237704|  15.179 89.377  |10.373   |G0               |    ~     ~    |    1|  216.370   pc  |  -2.4970     +2.4970  |ST-L    |2020AJ....160...83S
4391|HD 270168                                                             |Star                                  |05 49 55.9347525864 -70 11 05.439209820|280.6156970713132 -30.5960809736424|  6.754 -21.010  |10.92    |G5               |    ~     ~    |    1|  266.926   pc  |  -3.7280     +3.7280  |ST-L    |2020AJ....160...83S
4392|HD 270259                                                             |Star                                  |05 52 56.0242537152 -69 14 08.380641264|279.4962997977954 -30.4003181389633|   0.908 11.938  |10.61    |M0               |    ~     ~    |    1| 1237.470   pc  | -60.7300    +60.7300  |ST-L    |2020AJ....160...83S
4393|HD 270297                                                             |Star                                  |05 54 13.6380234912 -69 05 55.994383248|279.3309903813050 -30.2926951802375|  -3.282 26.908  |10.56    |F0               |    ~     ~    |    1|  413.462   pc  |  -9.2270     +9.2270  |ST-L    |2020AJ....160...83S
4394|HD 270323                                                             |Star                                  |05 56 06.5965107240 -69 44 04.518682332|280.0562529770651 -30.0963864049088|   5.496 11.221  |10.43    |K0               |    ~     ~    |    1| 1492.315   pc  | -24.0516    +24.0516  |paral   |2020yCat.1350....0G
4395|HD 270327                                                             |High Proper Motion Star               |05 56 50.8965283176 -70 17 09.912584436|280.6890177529108 -30.0061144810603|  -5.435 49.947  |10.962   |G0               |    ~     ~    |    1|  178.197   pc  |  -1.9440     +1.9440  |ST-L    |2020AJ....160...83S
4396|HD 270363                                                             |Star                                  |05 57 19.5046952328 -69 18 30.536160732|279.5590923770604 -30.0087437344557| -25.374 25.591  |10.795   |F5               |    ~     ~    |    1|  242.412   pc  |  -2.9160     +2.9160  |ST-L    |2020AJ....160...83S
4397|CPD-67 518                                                            |Star                                  |05 51 14.7453115896 -67 38 57.008519484|277.6663903411708 -30.6369394821608| 10.531 -30.001  |10.87    |~                |    ~     ~    |    1|  273.338   pc  |  -3.5800     +3.5800  |ST-L    |2020AJ....160...83S
4398|HD 270167                                                             |Star                                  |05 49 46.0259395104 -70 01 22.664615412|280.4294486370487 -30.6226937149040|   2.967 14.140  |10.68    |K0               |    ~     ~    |    1|  726.586   pc  |  -7.8133     +7.8133  |paral   |2020yCat.1350....0G
4399|HD 41556                                                              |Star                                  |05 59 17.9327494632 -71 11 31.160188032|281.7208281338406 -29.7588816786566|   2.193 12.900  |8.50     |K0III            |    ~     ~    |    1|  318.086   pc  |  -1.3457     +1.3457  |paral   |2020yCat.1350....0G
4400|HD 271782                                                             |Star                                  |05 59 55.8487870392 -72 55 26.630211396|283.7081861577616 -29.6118865723644|  -8.304 -9.242  |10.807   |~                |    ~     ~    |    1|  306.932   pc  |  -4.6440     +4.6440  |ST-L    |2020AJ....160...83S
4401|HD 39756                                                              |Star                                  |05 48 19.3169924136 -70 20 45.266140464|280.8153308697041 -30.7182589468602| 21.848 -34.349  |8.31     |F3/5IV/V         |    ~     ~    |    1|  104.184   pc  |  -0.1824     +0.1824  |paral   |2020yCat.1350....0G
4402|HD 39767                                                              |Star                                  |05 48 07.5243642864 -70 57 45.349789968|281.5313051591820 -30.6787859082827| -15.900 13.743  |9.49     |F2/3(IV)         |    ~     ~    |    1|  419.569   pc  |  -2.8694     +2.8694  |paral   |2020yCat.1350....0G
4403|HD 40180                                                              |Star                                  |05 50 49.5400315104 -70 47 22.577734284|281.3087085326552 -30.4735823000001|   5.509 19.502  |10.21    |A8/F0(IV)        |    ~     ~    |    1|  375.964   pc  |  -7.2510     +7.2510  |ST-L    |2020AJ....160...83S
4404|HD 40277                                                              |Star                                  |05 51 26.3291677848 -70 28 45.809430600|280.9453224493902 -30.4470899976162|   2.734 14.620  |8.33     |ApSrCr(Eu)pec    |    ~     ~    |    1|  206.758   pc  |  -2.2690     +2.2690  |ST-L    |2020AJ....160...83S
4405|HD 40543                                                              |Star                                  |05 53 02.9878897440 -70 49 51.848099148|281.3404486758969 -30.2881837954421|  48.565 -7.960  |9.05     |G3V              |    ~     ~    |    1|  161.190   pc  |  -1.3230     +1.3230  |ST-L    |2020AJ....160...83S
4406|HD 40811                                                              |High Proper Motion Star               |05 54 51.4758912888 -70 30 32.375862504|280.9570056742721 -30.1603263459184| -9.495 178.778  |8.27     |F3V              |    ~     ~    |    1|   96.007   pc  |  -0.4934     +0.4934  |ST-L    |2020AJ....160...83S
4407|HD 40871                                                              |Star                                  |05 55 07.4105131920 -70 56 52.528499592|281.4619404789198 -30.1108788706148|   3.806 18.627  |9.47     |K1/2(III)        |    ~     ~    |    1|  762.569   pc  | -28.4500    +28.4500  |ST-L    |2020AJ....160...83S
4408|HD 39581                                                              |Star                                  |05 46 47.5414199472 -71 36 12.657270744|282.2853844971071 -30.7211281392976|  -9.395 -2.190  |9.28     |F6V              |    ~     ~    |    1|  175.837   pc  |  -1.5274     +1.5274  |paral   |2020yCat.1350....0G
4409|HD 39626                                                              |Star                                  |05 47 02.9642921616 -71 31 26.295291048|282.1908879467942 -30.7092774054308|-34.116 -10.456  |9.97     |G1/3(IV)         |    ~     ~    |    1|  112.124   pc  |  -0.6114     +0.6114  |ST-L    |2020AJ....160...83S
4410|HD 39675                                                              |Star                                  |05 47 34.2337390848 -70 59 20.282164728|281.5668386204903 -30.7212863356039|  10.915 23.570  |8.91     |F5V              |    ~     ~    |    1|  120.391   pc  |  -0.6145     +0.6145  |paral   |2020yCat.1350....0G
4411|HD 40130                                                              |Star                                  |05 50 20.2450718664 -71 21 20.381313096|281.9669935018507 -30.4650758655478| 19.165 -18.391  |9.29     |K0III/IV         |    ~     ~    |    1|  125.616   pc  |  -0.2020     +0.2020  |paral   |2020yCat.1350....0G
4412|HD 40223                                                              |Star                                  |05 50 38.0305620192 -71 52 17.018622696|282.5602013327795 -30.3950565246329|  20.597 23.016  |9.26     |F8V              |    ~     ~    |    1|  169.653   pc  |  -1.5680     +1.5680  |ST-L    |2020AJ....160...83S
4413|HD 40295                                                              |Star                                  |05 50 53.8014728712 -71 58 00.512891040|282.6681406929433 -30.3659181220874|   1.121 13.339  |9.98     |A3V              |    ~     ~    |    1|  361.415   pc  |  -2.0377     +2.0377  |paral   |2020yCat.1350....0G
4414|HD 40527                                                              |Star                                  |05 52 37.4819057568 -71 30 56.429824068|282.1339232442623 -30.2701349978024| -17.744 34.635  |10.13    |F5IV             |    ~     ~    |    1|  240.408   pc  |  -0.7976     +0.7976  |paral   |2020yCat.1350....0G
4415|HD 270325                                                             |Star                                  |05 57 53.9814228528 -71 06 16.706069244|281.6270643269435 -29.8762982500305|   8.097 32.663  |10.726   |F2               |    ~     ~    |    1|  345.633   pc  |  -6.3960     +6.3960  |ST-L    |2020AJ....160...83S
4416|HD 41412                                                              |Star                                  |05 58 18.9921526848 -71 19 31.691378820|281.8791817915287 -29.8307052673452| -31.774 33.059  |8.26     |K2III            |    ~     ~    |    1|  266.973   pc  |  -1.1618     +1.1618  |paral   |2020yCat.1350....0G
4417|HD 41426                                                              |Star                                  |05 58 27.4651475928 -71 22 15.289351320|281.9307697346919 -29.8169368983092|  -4.662 13.347  |9.68     |F5V              |    ~     ~    |    1|  160.400   pc  |  -0.3139     +0.3139  |paral   |2020yCat.1350....0G
4418|* lam Men                                                             |Star                                  |05 47 48.1332956280 -72 42 08.102062116|283.5446531128751 -30.5238748909249|  -7.013 24.452  |6.528    |K0III            |    ~     ~    |    1|  142.437   pc  |  -0.9382     +0.9382  |ST-L    |2020AJ....160...83S
4419|HD 39859                                                              |Star                                  |05 48 18.7141018296 -71 58 33.214935504|282.7013614956218 -30.5640582408582|  16.086 10.877  |9.81     |G8/K0            |    ~     ~    |    1|  509.677   pc  | -12.3900    +12.3900  |ST-L    |2020AJ....160...83S
4420|HD 40107                                                              |High Proper Motion Star               |05 49 50.2633382068 -72 24 45.019880570|283.1914676915052 -30.4032892136482|100.315 293.916  |9.88     |K2(V)            |    ~     ~    |    1|   47.446   pc  |  -0.2102     +0.2102  |paral   |2020yCat.1350....0G
4421|HD 40436                                                              |Star                                  |05 51 35.6919705768 -72 41 10.331056716|283.4918515904271 -30.2450674016802|   8.356 15.664  |9.93     |F5V              |    ~     ~    |    1|  248.623   pc  |  -2.7230     +2.7230  |ST-L    |2020AJ....160...83S
4422|HD 40528                                                              |Star                                  |05 52 20.9288420784 -72 20 33.339258636|283.0897630548109 -30.2208097471185| -16.341 24.739  |9.01     |A8IV/V           |    ~     ~    |    1|  199.271   pc  |  -4.0702     +4.0702  |paral   |2020yCat.1350....0G
4423|HD 40736                                                              |Star                                  |05 53 46.3636031544 -72 15 01.733004180|282.9727596094182 -30.1209562614984|    0.734 1.193  |9.35     |K0/1(III)        |    ~     ~    |    1|  797.194   pc  |  -9.0879     +9.0879  |paral   |2020yCat.1350....0G
4424|HD 40925                                                              |Star                                  |05 54 56.8849884624 -72 21 44.543646108|283.0932307189582 -30.0228442307785|    7.971 5.922  |9.86     |A0V              |    ~     ~    |    1|  546.203   pc  | -16.0100    +16.0100  |ST-L    |2020AJ....160...83S
4425|HD 40992                                                              |Spectroscopic Binary                  |05 55 04.6072844232 -72 48 53.065645848|283.6129375280389 -29.9764087007652|-37.159 -59.494  |7.68     |G8/K0III         |    ~     ~    |    1|  144.308   pc  |  -4.0546     +4.0546  |paral   |2020yCat.1350....0G
4426|HD 41051                                                              |Star                                  |05 55 42.8113107720 -72 24 23.718954708|283.1389073284227 -29.9616589093742|   0.355 18.565  |9.22     |K1/2(III)        |    ~     ~    |    1|  753.298   pc  | -28.4400    +28.4400  |ST-L    |2020AJ....160...83S
4427|NGC 2121                           NGC 2121                           |Cluster of Stars                      |05 48 13.190 -71 28 52.00              |282.130367 -30.621272              |            ~ ~  |12.37    |~                | 2.70  2.20    |    0|                |                       |        |                   
4428|NGC 2133                           NGC 2133                           |Cluster of Stars                      |05 51 29.430 -71 10 25.89              |281.747763 -30.388328              |            ~ ~  |     ~   |~                | 1.60  1.60    |    0|                |                       |        |                   
4429|NGC 2173                           NGC 2173                           |Globular Cluster                      |05 57 58.0 -72 58 42                   |283.7819 -29.7518                  |            ~ ~  |11.88    |~                | 2.6   2.6     |    0|                |                       |        |                   
4430|HD 271642                                                             |Star                                  |05 50 06.5298558240 -73 03 34.082312724|283.9347403272848 -30.3158907605930|   -5.798 2.886  |10.289   |~                |    ~     ~    |    1| 1137.860   pc  | -64.1400    +64.1400  |ST-L    |2020AJ....160...83S
4431|HD 271697                                                             |High Proper Motion Star               |05 54 53.1663096288 -71 39 08.019621468|282.2755851848117 -30.0815948203389| -13.706 49.940  |10.18    |~                |    ~     ~    |    1|  139.675   pc  |  -0.9039     +0.9039  |ST-L    |2020AJ....160...83S
4432|V* AU Men                                                             |Eclipsing Binary                      |05 55 00.7088712792 -72 41 36.031332336|283.4737258704903 -29.9912789243415|  -4.971 51.689  |10.49    |G0               |    ~     ~    |    1|  166.037   pc  |  -1.2270     +1.2270  |ST-L    |2020AJ....160...83S
4433|HD 270301                                                             |Star                                  |05 57 13.0895953104 -71 26 19.029240312|282.0152930927862 -29.9116822972249|  -0.959 29.644  |10.13    |K2               |    ~     ~    |    1|  358.673   pc  |  -6.2990     +6.2990  |ST-L    |2020AJ....160...83S
4434|NGC 2134                           NGC 2134                           |Cluster of Stars                      |05 51 55.950 -71 05 53.57              |281.657031 -30.358817              |            ~ ~  |     ~   |~                | 2.80  2.80    |    0|                |                       |        |                   
4435|NGC 2145                           NGC 2145                           |Cluster of Stars                      |05 54 23.280 -70 54 08.38              |281.413900 -30.173840              |            ~ ~  |12.07    |~                | 1.50  1.50    |    0|                |                       |        |                   
4436|NGC 2171                           NGC 2171                           |Cluster of Stars                      |05 58 25.812 -70 39 16.04              |281.106052 -29.855935              |            ~ ~  |     ~   |~                |0.233 0.117    |    0|                |                       |        |                   
4437|HD 271579                                                             |Star                                  |05 46 44.6010560664 -72 00 25.293769344|282.7523949349504 -30.6812672398068|  2.741 -20.670  |10.66    |F8               |    ~     ~    |    1|  268.186   pc  |  -3.5540     +3.5540  |ST-L    |2020AJ....160...83S
4438|HD 271582                                                             |Spectroscopic Binary                  |05 46 59.7761213544 -71 46 02.444371932|282.4728597969291 -30.6877603573982|   1.157 24.353  |10.62    |G0               |    ~     ~    |    1|  391.129   pc  |  -3.9469     +3.9469  |paral   |2020yCat.1350....0G
4439|HD 270095                                                             |High Proper Motion Star               |05 47 02.8598887704 -71 00 32.835895632|281.5950116735817 -30.7616762915729|  58.950 -9.515  |10.05    |G0               |    ~     ~    |    1|  108.652   pc  |  -0.1783     +0.1783  |paral   |2020yCat.1350....0G
4440|HD 270117                                                             |Star                                  |05 47 36.3978475128 -70 31 01.343460216|281.0198563732517 -30.7626713554601|    1.512 3.135  |10.40    |K0               |    ~     ~    |    1|  581.632   pc  |  -8.0514     +8.0514  |paral   |2020yCat.1350....0G
4441|HD 270113                                                             |Star                                  |05 48 05.1871700568 -71 19 21.176709384|281.9481920519736 -30.6474354974265|   -0.433 5.353  |10.56    |M0               |    ~     ~    |    1| 1370.426   pc  | -28.1710    +28.1710  |paral   |2020yCat.1350....0G
4442|HD 270172                                                             |Star                                  |05 50 29.8564918272 -70 35 49.389895860|281.0885051352643 -30.5161139475961|   9.765 29.154  |10.15    |F8               |    ~     ~    |    1|  347.802   pc  |  -1.3064     +1.3064  |paral   |2020yCat.1350....0G
4443|HD 271647                                                             |High Proper Motion Star               |05 50 43.6446758976 -72 46 45.885825516|283.6066348919721 -30.2998822910596|  22.583 80.599  |10.678   |~                |    ~     ~    |    1|  213.969   pc  |  -2.2450     +2.2450  |ST-L    |2020AJ....160...83S
4444|HD 270189                                                             |Variable Star                         |05 51 21.1923213312 -70 40 06.930125472|281.1647700116635 -30.4397639376602|   -5.534 3.918  |10.56    |G5               |    ~     ~    |    1|  677.779   pc  | -22.5200    +22.5200  |ST-L    |2020AJ....160...83S
4445|HD 270187                                                             |Star                                  |05 51 25.1927611392 -70 53 01.969824156|281.4131835586302 -30.4174274331689| 43.326 -22.571  |10.43    |~                |    ~     ~    |    1|  128.543   pc  |  -0.2181     +0.2181  |paral   |2020yCat.1350....0G
4446|HD 271656                                                             |Star                                  |05 51 43.7265936408 -71 56 24.943801956|282.6307438389050 -30.3041460437067|   -2.082 0.585  |10.16    |K7               |    ~     ~    |    1|  943.972   pc  | -43.1200    +43.1200  |ST-L    |2020AJ....160...83S
4447|HD 271657                                                             |Star                                  |05 51 49.9517966112 -72 13 05.054199348|282.9503320900908 -30.2712188779578|  -2.639 24.865  |10.825   |K0               |    ~     ~    |    1|  917.675   pc  | -28.2400    +28.2400  |ST-L    |2020AJ....160...83S
4448|HD 271663                                                             |Star                                  |05 52 11.4954199800 -72 25 35.063104008|283.1876096001169 -30.2250340777894|   2.930 10.403  |10.64    |~                |    ~     ~    |    1|  837.311   pc  |  -9.6750     +9.6750  |paral   |2020yCat.1350....0G
4449|HD 271675                                                             |Star                                  |05 52 53.3079312024 -72 20 47.960741436|283.0902270198969 -30.1796927733936|   -5.375 7.953  |9.99     |~                |    ~     ~    |    1|  778.554   pc  | -34.7100    +34.7100  |ST-L    |2020AJ....160...83S
4450|HD 271678                                                             |Star                                  |05 53 08.9455737624 -72 30 23.605079220|283.2724413737683 -30.1459924846043|   -3.334 6.088  |10.69    |~                |    ~     ~    |    1|  994.728   pc  | -11.8738    +11.8738  |paral   |2020yCat.1350....0G
4451|HD 271685                                                             |Star                                  |05 53 50.7397165080 -71 57 36.709660908|282.6377192274489 -30.1390737237957|   -2.476 0.442  |9.67     |~                |    ~     ~    |    1|  844.452   pc  |  -7.9154     +7.9154  |paral   |2020yCat.1350....0G
4452|HD 270242                                                             |Spectroscopic Binary                  |05 53 58.8804945504 -70 38 49.679451240|281.1218711699715 -30.2242519750585|   -5.735 9.850  |10.18    |F5               |    ~     ~    |    1|  469.647   pc  | -11.3700    +11.3700  |ST-L    |2020AJ....160...83S
4453|HD 271690                                                             |Star                                  |05 54 01.3155372168 -72 16 43.417264440|283.0034806281524 -30.0997027097143| -37.770 -1.913  |10.69    |~                |    ~     ~    |    1|  122.117   pc  |  -0.2297     +0.2297  |paral   |2020yCat.1350....0G
4454|HD 271703                                                             |Star                                  |05 55 05.6502679080 -72 16 26.282365392|282.9904354178240 -30.0187426665300|    2.119 2.102  |10.157   |~                |    ~     ~    |    1|  655.371   pc  | -16.4000    +16.4000  |ST-L    |2020AJ....160...83S
4455|HD 271714                                                             |High Proper Motion Star               |05 55 52.0528981656 -71 54 22.534721100|282.5618973977829 -29.9868359333087|  -5.067 78.609  |9.98     |~                |    ~     ~    |    1|  223.820   pc  |  -2.4000     +2.4000  |ST-L    |2020AJ....160...83S
4456|HD 270270                                                             |Star                                  |05 56 13.0052645256 -71 29 15.341766108|282.0774926389151 -29.9880284292423|    3.110 6.924  |9.98     |~                |    ~     ~    |    1|  654.922   pc  |  -4.5466     +4.5466  |paral   |2020yCat.1350....0G
4457|HD 271753                                                             |High Proper Motion Star               |05 58 19.1617803168 -72 30 58.802756292|283.2488852252636 -29.7579770964841| 100.795 25.909  |10.98    |~                |    ~     ~    |    1|  309.219   pc  |  -4.7020     +4.7020  |ST-L    |2020AJ....160...83S
4458|HD 270341                                                             |High Proper Motion Star               |05 58 36.4527875712 -70 59 50.087272416|281.4999359892229 -29.8245487770238| -26.984 48.667  |10.24    |~                |    ~     ~    |    1|  132.387   pc  |  -3.2126     +3.2126  |paral   |2020yCat.1350....0G
4459|HD 271562                                                             |Star                                  |05 45 48.5478702048 -72 01 45.335689788|282.7875246979282 -30.7504114576955|-20.428 -30.746  |10.44    |K5               |    ~     ~    |    1|  106.311   pc  |  -0.1401     +0.1401  |paral   |2020yCat.1350....0G
4460|HD 271584                                                             |Star                                  |05 46 50.5572722472 -72 21 01.882798560|283.1482090052618 -30.6352736755562|   3.558 -1.433  |10.106   |K5               |    ~     ~    |    1|  595.770   pc  |  -4.7207     +4.7207  |paral   |2020yCat.1350....0G
4461|HD 270142                                                             |Star                                  |05 50 01.5487360392 -71 30 47.235793716|282.1515337198622 -30.4755936594285| -17.055 34.586  |10.59    |G0               |    ~     ~    |    1|  216.230   pc  |  -0.9258     +0.9258  |paral   |2020yCat.1350....0G
4462|HD 270152                                                             |Star                                  |05 49 50.4271949904 -70 42 03.390340968|281.2139091633398 -30.5618365473706|   2.114 -5.350  |10.879   |K5               |    ~     ~    |    1|  967.620   pc  | -35.3000    +35.3000  |ST-L    |2020AJ....160...83S
4463|HD 270240                                                             |Star                                  |05 53 55.6488967536 -70 38 15.103402368|281.1111221781961 -30.2293418462962|  16.875 42.599  |10.728   |G0               |    ~     ~    |    1|  301.161   pc  |  -4.6620     +4.6620  |ST-L    |2020AJ....160...83S
4464|HD 271693                                                             |Star                                  |05 53 55.1159604264 -72 47 59.168777352|283.6041910958363 -30.0629639261248|  0.940 -12.001  |10.676   |~                |    ~     ~    |    1|  906.009   pc  | -42.2400    +42.2400  |ST-L    |2020AJ....160...83S
4465|HD 271605                                                             |Star                                  |05 47 59.4593999136 -72 56 49.133203872|283.8250068127699 -30.4821690616670|  -1.063 17.603  |10.896   |K2               |    ~     ~    |    1| 1842.640   pc  |-159.7000   +159.7000  |ST-L    |2020AJ....160...83S
4466|HD 271683                                                             |Star                                  |05 53 41.9676551208 -72 02 09.703081140|282.7261755696924 -30.1442112507354|  3.962 -10.286  |10.666   |F5               |    ~     ~    |    1|  246.908   pc  |  -2.9290     +2.9290  |ST-L    |2020AJ....160...83S
4467|HD 271704                                                             |Star                                  |05 55 02.1379559280 -72 19 07.061143332|283.0422592983413 -30.0196828561814|   -0.776 0.027  |10.158   |F8               |    ~     ~    |    1|  335.639   pc  |  -6.1030     +6.1030  |ST-L    |2020AJ....160...83S
4468|TYC 9171-1261-1                                                       |Star                                  |05 58 22.0315243824 -71 26 52.298605500|282.0197833242729 -29.8198808715443|  -4.310 17.650  |10.783   |~                |    ~     ~    |    1| 1001.460   pc  | -47.5200    +47.5200  |ST-L    |2020AJ....160...83S
4469|HD 271641                                                             |Star                                  |05 50 23.7432817032 -71 57 33.077985120|282.6635485504652 -30.4052397658447|  17.896 35.568  |10.92    |K0               |    ~     ~    |    1|  579.173   pc  |  -3.3209     +3.3209  |paral   |2020yCat.1350....0G
4470|SOI 873                                                               |Red Supergiant                        |05 59 17.93 -71 11 31.2                |281.72084 -29.75888                |            ~ ~  |8.5      |K7Ia             |    ~     ~    |    0|                |                       |        |                   
4471|HD 271717                                                             |Star                                  |05 55 50.6150802936 -72 00 24.202144008|282.6777397060436 -29.9814972109981|  -1.792 -5.610  |10.955   |K5               |    ~     ~    |    1| 2401.690   pc  |-272.9000   +272.9000  |ST-L    |2020AJ....160...83S
4472|HD 271773                                                             |Star                                  |05 59 44.4547750248 -72 12 11.235834180|282.8812327155108 -29.6699928536201|    1.680 7.838  |10.94    |K7               |    ~     ~    |    1| 2520.161   pc  | -73.0389    +73.0389  |paral   |2020yCat.1350....0G
4473|HD 41803                                                              |Star                                  |05 58 43.8587011488 -75 23 44.593283652|286.5482092690501 -29.4987809022017|   7.795 19.915  |10.26    |F2/3(V)          |    ~     ~    |    1|  246.809   pc  |  -3.0010     +3.0010  |ST-L    |2020AJ....160...83S
4474|HD 41825                                                              |High Proper Motion Star               |05 58 54.0194792976 -75 09 33.796071756|286.2766757532278 -29.5097977428795|  0.213 145.234  |8.41     |G8/K0III/IV      |    ~     ~    |    1|  134.084   pc  |  -0.6544     +0.6544  |paral   |2020yCat.1350....0G
4475|TYC 9175-1124-1                                                       |Star                                  |05 59 56.1405966072 -74 54 27.436955328|285.9818596502557 -29.4651077015313|  12.496 13.843  |10.833   |~                |    ~     ~    |    1|  592.384   pc  | -16.4700    +16.4700  |ST-L    |2020AJ....160...83S
4476|HD 39506                                                              |Star                                  |05 45 25.5393079368 -73 35 47.850755820|284.5999135446211 -30.5851796838875|   5.195 16.184  |9.782    |K2(III)          |    ~     ~    |    1|  769.570   pc  | -25.2400    +25.2400  |ST-L    |2020AJ....160...83S
4477|HD 39627                                                              |Star                                  |05 46 19.1768609712 -73 24 03.418111224|284.3650362988644 -30.5475248109598|  -11.983 4.115  |10.018   |F0V              |    ~     ~    |    1|  292.165   pc  |  -5.2050     +5.2050  |ST-L    |2020AJ....160...83S
4478|HD 39812                                                              |Star                                  |05 47 26.4710433240 -73 28 40.895547600|284.4422623577584 -30.4586391577036|   -8.199 8.804  |10.53    |F5               |    ~     ~    |    1|  328.608   pc  |  -4.9110     +4.9110  |ST-L    |2020AJ....160...83S
4479|HD 39811                                                              |Star                                  |05 47 29.1343535832 -73 28 31.490948352|284.4388068015959 -30.4558262151022|   -8.221 7.910  |10.04    |F0/3             |    ~     ~    |    1|  347.242   pc  |  -8.6790     +8.6790  |ST-L    |2020AJ....160...83S
4480|HD 40092                                                              |Star                                  |05 49 10.2387901080 -73 36 57.785170932|284.5841723646661 -30.3205748062010|   -3.337 6.367  |9.662    |A5IV             |    ~     ~    |    1|  260.282   pc  |  -3.3190     +3.3190  |ST-L    |2020AJ....160...83S
4481|HD 41005                                                              |Double or Multiple Star               |05 54 46.093704 -73 44 55.18104        |284.688774835 -29.915633323        |      11.5 -5.3  |9.600    |F5V              |    ~     ~    |    1|  163.126   pc  |  -1.4880     +1.4880  |ST-L    |2020AJ....160...83S
4482|HD 41024                                                              |Star                                  |05 55 13.6421142000 -73 09 02.709464292|283.9982871426784 -29.9369407923594|   9.145 -0.169  |8.806    |K0III            |    ~     ~    |    1|  209.760   pc  |  -2.2480     +2.2480  |ST-L    |2020AJ....160...83S
4483|HD 41136                                                              |Star                                  |05 55 28.7021455224 -73 37 56.795506644|284.5499969665323 -29.8766766519421|  -0.578 21.335  |8.13     |K2/3III          |    ~     ~    |    1|  443.184   pc  |  -3.2604     +3.2604  |paral   |2020yCat.1350....0G
4484|HD 41372                                                              |Spectroscopic Binary                  |05 57 09.5322767928 -73 35 38.081276916|284.4939824153775 -29.7619103956468| -31.585 21.172  |9.06     |F3V              |    ~     ~    |    1|  174.174   pc  |  -0.6735     +0.6735  |paral   |2020yCat.1350....0G
4485|HD 41452                                                              |Star                                  |05 57 30.3699299952 -73 45 52.581744360|284.6875871426692 -29.7235119071554| -1.195 -12.617  |9.64     |F5V              |    ~     ~    |    1|  261.097   pc  |  -3.8244     +3.8244  |paral   |2020yCat.1350....0G
