C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
47  |HD 38663                                                              |Star                                  |05 47 18.3659346720 -04 27 53.770031172|209.5709778431541 -16.2935020032180|  32.709 33.892  |9.42     |G5V              |    ~     ~    |    1|   73.912   pc  |  -0.0819     +0.0819  |paral   |2020yCat.1350....0G
48  |HD 38811                                                              |Star                                  |05 48 10.5003598848 -04 48 39.050244432|209.9944069819586 -16.2571272783670|-10.516 -21.748  |9.56     |G8IV             |    ~     ~    |    1|  451.875   pc  |  -3.1445     +3.1445  |paral   |2020yCat.1350....0G
49  |HD 38858                                                              |High Proper Motion Star               |05 48 34.9402551240 -04 05 40.721787744|209.3781090576254 -15.8418398568372|61.427 -229.291  |5.97     |G2V              |    ~     ~    |    1|   15.210   pc  |  -0.0071     +0.0071  |paral   |2020yCat.1350....0G
50  |HD 38389                                                              |Star                                  |05 45 15.0514262448 -05 06 41.285041020|209.9309196480194 -17.0426783516938|  -4.006 -0.186  |10.26    |A1IV             |    ~     ~    |    1|  427.460   pc  |  -7.0165     +7.0165  |paral   |2020yCat.1350....0G
51  |HD 38496                                                              |Star                                  |05 46 00.2676093840 -05 15 19.661444280|210.1537912690509 -16.9401633386947| -14.959 23.852  |8.83     |G8IV             |    ~     ~    |    1|  343.584   pc  |  -2.3020     +2.3020  |paral   |2020yCat.1350....0G
52  |HD 38548                                                              |Star                                  |05 46 27.4780422960 -05 19 09.350617620|210.2664795751125 -16.8681154343675|   -0.309 2.128  |9.08     |A7VpkA6EuSr      |    ~     ~    |    1|  416.806   pc  |  -6.4800     +6.4800  |paral   |2020yCat.1350....0G
53  |HD 38636                                                              |Star                                  |05 46 59.4681982872 -05 08 06.043310016|210.1571697450292 -16.6665863672329|  5.783 -13.310  |8.21     |K0III            |    ~     ~    |    1|  302.948   pc  |  -1.9181     +1.9181  |paral   |2020yCat.1350....0G
54  |HD 38676                                                              |Spectroscopic Binary                  |05 47 20.9896330392 -05 35 41.593786728|210.6279546473840 -16.7938032504271|  -2.889 -8.884  |7.90     |G8III            |    ~     ~    |    1|  345.292   pc  | -16.2863    +16.2863  |paral   |2020yCat.1350....0G
55  |HD 38697                                                              |Star                                  |05 47 22.7930730840 -05 29 19.529177136|210.5324366396519 -16.7394444833062|  7.577 -11.081  |9.07     |A9V              |    ~     ~    |    1|  191.509   pc  |  -0.9022     +0.9022  |paral   |2020yCat.1350....0G
56  |HD 38839                                                              |Star                                  |05 48 24.5214101616 -05 20 27.300475680|210.5147950165635 -16.4442587096246| 11.512 -28.052  |9.94     |F3/7(V)          |    ~     ~    |    1|  203.231   pc  |  -6.4763     +6.4763  |paral   |2020yCat.1350....0G
57  |HD 38859                                                              |Star                                  |05 48 30.6386650152 -05 20 44.099872115|210.5310437103772 -16.4236936687591| 28.876 -35.073  |8.91     |G1V              |    ~     ~    |    1|  139.9756  pc  |  -0.9268     +0.9268  |paral   |2018yCat.1345....0G
58  |HD 294370                                                             |High Proper Motion Star               |05 46 40.3168728096 -03 29 12.330965004|208.5895158183843 -15.9884988226781|  73.302 -8.878  |9.58     |G0               |    ~     ~    |    1|   77.374   pc  |  -0.0742     +0.0742  |paral   |2020yCat.1350....0G
59  |HD 294407                                                             |Star                                  |05 47 59.9395554552 -04 56 20.956101036|210.0930226787465 -16.3542179008560|    0.709 5.893  |10.19    |F2               |    ~     ~    |    1|  391.190   pc  |  -4.0400     +4.0400  |paral   |2020yCat.1350....0G
60  |BD-03 1190                                                            |Star                                  |05 46 15.5870562672 -03 28 56.971637472|208.5365766589753 -16.0779842501969| -0.232 -21.124  |10.25    |~                |    ~     ~    |    1|  717.927   pc  |  -9.0198     +9.0198  |paral   |2020yCat.1350....0G
61  |HD 294374                                                             |Star                                  |05 46 44.8066106064 -03 48 31.914010368|208.8965072308208 -16.1191305475395|  -6.987 -1.964  |10.05    |F0               |    ~     ~    |    1|  300.734   pc  |  -1.8540     +1.8540  |paral   |2020yCat.1350....0G
