C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
5817|TYC 3126-82-1                                                                                            |Star                           |18 49 32.0870771256 +41 17 50.389586988|070.8162886916000 +17.8476140553182|    4.119 4.086    |10.73    |~              |    ~     ~    
5818|TYC 3126-265-1                                                                                           |Star                           |18 49 39.3052238712 +41 21 18.203423256|070.8814062688239 +17.8469772360878|   -2.251 0.622    |10.76    |~              |    ~     ~    
5819|TYC 3126-360-1                                                                                           |Star                           |18 47 24.4648667832 +41 16 02.300495088|070.6386660085872 +18.2110058658734|  22.201 -7.474    |10.66    |~              |    ~     ~    
5820|TYC 3126-833-1                                                                                           |Star                           |18 48 07.5632902848 +41 16 58.846681128|070.7039611166865 +18.0901280172499|-14.941 -23.672    |10.85    |~              |    ~     ~    
5821|TYC 3127-726-1                                                                                           |Star                           |18 52 00.8109877128 +41 15 47.401359912|070.9576235045917 +17.4005280463995|  2.335 -12.731    |10.66    |~              |    ~     ~    
5822|TYC 3127-1062-1                                                                                          |Star                           |18 54 44.1849651888 +41 17 39.049329012|071.1826736206631 +16.9353062534158|  3.978 -12.088    |10.54    |F3/F5V         |    ~     ~    
5823|TYC 3127-1122-1                                                                                          |High Proper Motion Star        |18 52 11.5731009264 +41 18 14.244707340|071.0102296918803 +17.3838207922579|  35.834 34.030    |10.9     |~              |    ~     ~    
5824|BD+40 3530                                                                                               |Horizontal Branch Star         |18 56 52.7885295624 +41 01 15.359376684|071.0735313951447 +16.4593871820159| -4.036 -10.744    |10.81    |K              |    ~     ~    
5825|BD+40 3533                                                                                               |Spectroscopic Binary           |18 57 01.2015941664 +40 48 58.127310828|070.8858473104972 +16.3582688692499|   7.990 -9.100    |9.69     |A5V            |    ~     ~    
5826|BD+40 3535                                                                                               |Star                           |18 57 06.3232227408 +40 51 34.322751648|070.9340764473734 +16.3595433532689| -6.080 -12.275    |9.31     |K5             |    ~     ~    
5827|BD+39 3587                                                                                               |Star                           |18 56 22.1567897328 +39 29 22.902359676|069.5576924291908 +15.9739581307194|   -0.862 5.641    |9.18     |K3III:         |    ~     ~    
5828|HD 176132                                                                                                |Star                           |18 57 06.3701141040 +38 47 54.445338276|068.9501305675762 +15.5785100512233|   1.069 -8.790    |7.33     |K5             |    ~     ~    
5829|BD+38 3364                                                                                               |Star                           |18 57 15.0609546144 +38 44 16.291870008|068.9032790378783 +15.5291942006117|  17.127 33.284    |9.37     |F8             |    ~     ~    
5830|BD+38 3367                                                                                               |Star                           |18 57 31.1868862392 +38 56 21.470941752|069.1172049811622 +15.5581531486539|  4.098 -10.427    |9.410    |A2             |    ~     ~    
5831|BD+40 3541                                                                                               |Horizontal Branch Star         |18 58 14.0395739784 +40 46 39.856517292|070.9387313416514 +16.1309290943964|-29.360 -26.776    |9.22     |K0II           |    ~     ~    
5832|BD+40 3543                                                                                               |Star                           |18 58 45.3836008512 +40 45 04.034431656|070.9520036203061 +16.0292908637794|   -3.040 1.704    |8.67     |~              |    ~     ~    
5833|HD 176502                                                                                                |Pulsating Variable             |18 58 46.5878648352 +40 40 45.088297752|070.8842485629477 +15.9985183982400|   1.235 -1.712    |6.192    |B3V            |    ~     ~    
5834|TYC 3123-2328-1                                                                                          |gamma Dor Variable             |18 58 45.2081740752 +40 40 34.410117288|070.8796740091377 +16.0014285411163|   0.842 -1.435    |9.59     |A5V2A4V        |    ~     ~    
5835|BD+40 3547                                                                                               |delta Sct Variable             |18 59 19.1003984640 +40 12 54.702368316|070.4789969899013 +15.7265602312710|    1.447 3.557    |9.56     |K0III-IV       |    ~     ~    
5836|BD+40 3549                                                                                               |Horizontal Branch Star         |18 59 23.4237815424 +40 15 59.744234592|070.5338029163547 +15.7335009019159|  -3.563 -2.690    |9.38     |K2III          |    ~     ~    
5837|HD 176392                                                                                                |Star                           |18 58 20.0394504792 +39 38 30.405881976|069.8536553488979 +15.6816837464028|  9.538 -21.664    |7.46     |A0             |    ~     ~    
5838|BD+39 3594                                                                                               |Eruptive Variable              |18 58 20.9945894880 +39 17 44.350297944|069.5229203251603 +15.5462149686062|  6.668 -15.854    |8.41     |K5II           |    ~     ~    
5839|HD 176410                                                                                                |Star                           |18 58 27.1651930032 +39 46 40.849038768|069.9934881637599 +15.7126597604010| -1.835 -10.927    |7.52     |K0             |    ~     ~    
5840|HD 176582                                                                                                |Eruptive Variable              |18 59 12.2918170752 +39 13 02.360908524|069.5140312347790 +15.3633128454206|  -0.592 -0.646    |6.403    |B5V            |    ~     ~    
5841|BD+39 3604                                                                                               |Star                           |18 59 54.6492101904 +39 44 51.323635248|070.0759794557199 +15.4422425122582|   -8.074 2.499    |8.83     |F2             |    ~     ~    
5842|BD+38 3382                                                                                               |Star                           |18 58 49.4430056856 +38 35 43.084311180|068.8897433878635 +15.1909126899191|  4.642 -13.079    |9.26     |K0             |    ~     ~    
5843|IRAS 18572+4033                                                                                          |Long-Period Variable           |18 58 51.6858571800 +40 37 15.004415568|070.8344400775919 +15.9614729017182|  -2.772 -6.393    |10.59    |M5III          |    ~     ~    
5844|BD+40 3552                                                                                               |gamma Dor Variable             |18 59 59.595888 +41 00 54.13032        |071.298270660 +15.913176587        |       0.1 -6.6    |10.64    |F1V            |    ~     ~    
5845|TYC 3119-122-1                                                                                           |Star                           |18 57 41.2178 +38 52 26.602            |069.0676380 +15.5030760            |   0.463 -7.387    |10.31    |~              |    ~     ~    
5846|TYC 3119-125-1                                                                                           |Pulsating Variable             |18 56 58.2798905232 +39 08 35.672106660|069.2705831648951 +15.7345638872064|    0.362 1.764    |10.77    |~              |    ~     ~    
5847|TYC 3119-144-1                                                                                           |Star                           |18 58 42.7905712416 +39 06 34.828872228|069.3728881510408 +15.4097085961165|  -2.474 -2.169    |10.49    |K5III          |    ~     ~    
5848|TYC 3119-158-1                                                                                           |High Proper Motion Star        |18 57 08.4157756848 +39 08 45.015549036|069.2860628187243 +15.7052803341411|-32.596 -48.542    |10.11    |~              |    ~     ~    
5849|TYC 3119-216-1                                                                                           |Horizontal Branch Star         |18 58 34.7652484872 +39 00 11.714157936|069.2606537846059 +15.3926351041647|    5.915 1.603    |10.90    |~              |    ~     ~    
5850|TYC 3119-220-1                                                                                           |Pulsating Variable             |18 58 35.7840513672 +38 53 36.842754300|069.1570302345633 +15.3472639647107|   7.207 -6.953    |10.93    |A5IV           |    ~     ~    
5851|TYC 3119-312-1                                                                                           |Star                           |18 57 04.0508542896 +38 54 38.193236172|069.0547044255746 +15.6284123962625|  2.523 -10.084    |10.04    |~              |    ~     ~    
5852|TYC 3119-320-1                                                                                           |Star                           |18 57 57.0472450296 +38 57 55.678020228|069.1756768493139 +15.4908303694435| -4.256 -12.483    |10.22    |~              |    ~     ~    
5853|KOI-2684                                                                                                 |delta Sct Variable             |18 58 29.5606430808 +39 10 56.676709416|069.4254480996740 +15.4771732147627|  -4.173 -1.899    |10.05    |A3IVn          |    ~     ~    
5854|TYC 3119-376-1                                                                                           |High Proper Motion Star        |18 56 29.2729485504 +38 54 43.082127324|069.0112641214686 +15.7331333368267|-53.535 -49.901    |10.07    |~              |    ~     ~    
5855|TYC 3119-516-1                                                                                           |High Proper Motion Star        |18 59 11.9237820936 +38 59 31.179521724|069.2980882824571 +15.2773002641195|-23.648 -56.117    |10.76    |F7V            |    ~     ~    
5856|TYC 3119-527-1                                                                                           |Horizontal Branch Star         |18 58 29.9313555168 +38 56 54.158449416|069.2018762440747 +15.3859182968429|  -9.553 -3.825    |10.34    |~              |    ~     ~    
5857|TYC 3119-568-1                                                                                           |Star                           |18 57 26.8230979368 +39 04 33.810272076|069.2427306543898 +15.6236105809788|  22.425 29.132    |10.61    |~              |    ~     ~    
5858|TYC 3119-656-1                                                                                           |Star                           |18 57 51.5930288808 +39 03 36.137269080|069.2592577923862 +15.5434600032885|   3.161 13.932    |9.66     |K2III          |    ~     ~    
5859|TYC 3119-785-1                                                                                           |Red Giant Branch star          |18 59 59.4725187384 +38 35 21.949930752|068.9760507286868 +14.9785378076082|    5.751 4.119    |10.50    |~              |    ~     ~    
5860|TYC 3119-923-1                                                                                           |Star                           |18 57 36.8608168344 +38 35 27.261518892|068.7908213983745 +15.4072179705000|  3.928 -15.239    |10.43    |~              |    ~     ~    
5861|TYC 3119-1077-1                                                                                          |High Proper Motion Star        |18 59 58.0842709320 +38 33 21.459525912|068.9423267530813 +14.9696336410020|  33.520 46.699    |9.96     |~              |    ~     ~    
5862|TYC 3119-1083-1                                                                                          |Star                           |18 58 08.1322263648 +38 36 32.087729016|068.8487864762652 +15.3202146322093|   0.953 -8.445    |10.87    |~              |    ~     ~    
5863|TYC 3119-1095-1                                                                                          |Star                           |18 58 02.8917043128 +38 35 58.971245856|068.8331552692072 +15.3324020445395|   0.060 -2.246    |10.11    |~              |    ~     ~    
5864|TYC 3119-1163-1                                                                                          |Star                           |18 58 27.5040131064 +38 47 44.355861960|069.0526156089242 +15.3342392537542|-15.912 -42.589    |10.63    |~              |    ~     ~    
5865|TYC 3119-1304-1                                                                                          |Rotating Variable              |18 59 38.2262986704 +38 43 20.598033144|069.0749375146140 +15.0940211402288|   7.759 16.096    |10.82    |~              |    ~     ~    
5866|TYC 3123-523-1                                                                                           |Star                           |18 58 05.5300921464 +39 24 21.911320800|069.6089768872013 +15.6345747478829|  0.689 -12.498    |10.53    |~              |    ~     ~    
5867|TYC 3123-541-1                                                                                           |Rotating Variable              |18 58 37.9837835280 +40 12 13.690526760|070.4161829743771 +15.8431528550855|  6.925 -14.010    |10.44    |~              |    ~     ~    
5868|TYC 3123-738-1                                                                                           |Eclipsing Binary               |18 59 02.3639090760 +41 02 36.348366768|071.2546244819075 +16.0903982573142|   2.067 -5.740    |10.49    |F0V            |    ~     ~    
5869|TYC 3123-833-1                                                                                           |Star                           |18 58 56.3827107912 +39 58 17.666201064|070.2163856306658 +15.7003227595142|-14.384 -20.794    |9.68     |G9IIIb         |    ~     ~    
5870|TYC 3123-836-1                                                                                           |Star                           |18 57 13.4129045904 +41 14 46.233204864|071.3166351631328 +16.4833714051475|  -6.161 -4.990    |10.57    |~              |    ~     ~    
5871|TYC 3123-943-1                                                                                           |Star                           |18 58 54.8353483512 +39 53 55.321158624|070.1444853932319 +15.6770123961223|  1.462 -10.899    |9.85     |K3V            |    ~     ~    
5872|TYC 3123-1074-1                                                                                          |Star                           |18 57 23.5888341264 +41 06 36.882017280|071.1975909781340 +16.4029996755360|   2.811 -3.638    |9.59     |~              |    ~     ~    
5873|TYC 3123-1166-1                                                                                          |Red Giant Branch star          |18 58 31.5600097248 +41 01 11.333989308|071.1938078891275 +16.1711364620268|-20.020 -24.722    |10.90    |~              |    ~     ~    
5874|TYC 3123-1264-1                                                                                          |Star                           |18 59 16.2020479272 +40 56 43.308915396|071.1773186822321 +16.0129921657694| -3.807 -35.149    |10.54    |G0             |    ~     ~    
5875|TYC 3123-1501-1                                                                                          |Star                           |18 59 04.6006370760 +39 56 26.723995656|070.1972446495098 +15.6642809268854|    3.676 2.040    |10.99    |K2III          |    ~     ~    
5876|TYC 3123-1531-1                                                                                          |Star                           |18 59 00.6145220520 +40 03 23.164275528|070.3032055017369 +15.7202890091059|   -0.769 7.268    |10.38    |~              |    ~     ~    
5877|TYC 3123-1555-1                                                                                          |Rotating Variable              |18 57 51.9759805080 +40 05 54.444685092|070.2569641052452 +15.9386364044114| -6.755 -14.778    |10.60    |G2V            |    ~     ~    
5878|TYC 3123-1587-1                                                                                          |Star                           |18 56 32.0530424856 +40 19 20.154780372|070.3727599088875 +16.2586178312220| 15.961 -16.884    |10.83    |~              |    ~     ~    
5879|TYC 3123-1598-1                                                                                          |Rotating Variable              |18 56 53.5907912640 +41 06 57.189564648|071.1663845592484 +16.4924655391542|  14.865 20.422    |10.75    |F6IV           |    ~     ~    
5880|TYC 3123-1599-1                                                                                          |Star                           |18 58 58.0900732056 +39 53 01.952689632|070.1343976328803 +15.6617253144866| -0.603 -14.109    |10.43    |~              |    ~     ~    
5881|TYC 3123-1607-1                                                                                          |Star                           |18 57 33.9356669352 +39 43 46.937998740|069.8795247051892 +15.8518754766130|  -2.004 -3.701    |10.79    |~              |    ~     ~    
5882|TYC 3123-1703-1                                                                                          |Horizontal Branch Star         |18 57 07.1183862288 +40 20 04.349910264|070.4282324294019 +16.1600301925490|   1.646 -6.064    |9.950    |G8III          |    ~     ~    
5883|TYC 3123-1722-1                                                                                          |delta Sct Variable             |18 56 52.8088756272 +40 37 47.429849928|070.6954990700241 +16.3130387966781|   -2.713 1.067    |10.46    |~              |    ~     ~    
5884|TYC 3123-1848-1                                                                                          |Spectroscopic Binary           |18 58 10.7891641656 +41 10 54.682858524|071.3246179394713 +16.2925295718031|   7.981 -2.917    |10.48    |~              |    ~     ~    
5885|TYC 3123-1889-1                                                                                          |Star                           |18 59 19.4506253808 +39 59 29.707883376|070.2648692493712 +15.6399447981261|    4.807 2.389    |10.13    |K3III          |    ~     ~    
5886|TYC 3123-2137-1                                                                                          |Star                           |18 58 12.5523502128 +39 38 55.661551080|069.8508501347915 +15.7065624709643| -6.592 -13.408    |10.79    |~              |    ~     ~    
5887|TYC 3123-2174-1                                                                                          |Star                           |18 58 49.5757563144 +40 02 35.839272372|070.2766089251907 +15.7478041053513|  2.088 -10.142    |10.02    |K2III          |    ~     ~    
5888|TYC 3123-2253-1                                                                                          |Star                           |18 58 41.0915856480 +39 24 54.994324896|069.6633703455380 +15.5323732957811|   -0.416 4.658    |10.69    |K3III          |    ~     ~    
5889|TYC 3123-2260-1                                                                                          |Star                           |18 56 44.6098633128 +40 09 42.018949188|070.2334347516868 +16.1612196977539|   -0.097 1.314    |10.03    |F2II           |    ~     ~    
5890|TYC 3127-1020-1                                                                                          |Star                           |18 56 59.2804719480 +41 16 19.574107860|071.3245249307697 +16.5341111214747|  -1.327 -0.172    |9.73     |~              |    ~     ~    
5891|HD 173978                                                                                                |Rotating Variable              |18 46 12.2167946088 +44 08 08.364523128|073.4074557895411 +19.3972297806805|   2.293 12.515    |8.08     |A6V            |0.0117  0.0    
5892|HD 173999                                                                                                |Horizontal Branch Star         |18 46 17.4115323768 +44 08 59.802371988|073.4272113365479 +19.3873223937825|    4.163 7.015    |8.79     |G9III          |    ~     ~    
5893|BD+43 3062                                                                                               |Horizontal Branch Star         |18 45 09.7012700184 +43 26 49.623071964|072.6528537412152 +19.3456088981746|   2.017 -7.276    |8.77     |K0             |    ~     ~    
5894|BD+43 3064                                                                                               |Star                           |18 45 27.7838847168 +43 59 43.215379872|073.2203151512260 +19.4762405568940|-10.648 -23.455    |8.68     |K5             |    ~     ~    
5895|HD 173979                                                                                                |Long-Period Variable           |18 46 08.1978167568 +44 00 38.615866200|073.2783043557910 +19.3670754949597|   2.984 -4.333    |8.43     |M6             |    ~     ~    
5896|BD+43 3068                                                                                               |Star                           |18 46 17.7485843472 +43 48 56.393804808|073.0935339295212 +19.2750532268503| 37.314 -22.993    |8.42     |G4V            |    ~     ~    
5897|BD+43 3070                                                                                               |gamma Dor Variable             |18 46 23.9036728152 +43 13 46.210574208|072.5155711049958 +19.0608033890069|  -1.742 18.545    |8.80     |F5             |    ~     ~    
5898|BD+43 3071                                                                                               |Horizontal Branch Star         |18 46 23.2266640968 +43 37 04.106047008|072.9019009732729 +19.1933096764175|    3.979 9.893    |9.53     |G6V            |    ~     ~    
5899|HD 174020                                                                                                |Star                           |18 46 28.1022949152 +43 33 38.981398176|072.8502964538542 +19.1603332687855|  -2.311 -0.052    |7.17     |K5             |    ~     ~    
5900|BD+42 3151                                                                                               |Star                           |18 45 06.9600392376 +42 30 37.040014044|071.7154408948252 +19.0391037598415|-26.121 -21.997    |9.30     |F7IV           |    ~     ~    
5901|BD+42 3153                                                                                               |Rotating Variable              |18 45 18.5246737104 +42 10 35.200588872|071.3961280539675 +18.8923740009539|   3.761 -5.170    |8.76     |M0             |    ~     ~    
5902|BD+42 3154                                                                                               |Star                           |18 45 22.8964723392 +43 09 06.190033284|072.3720652020223 +19.2091822289464|   1.954 11.534    |9.27     |A5             |    ~     ~    
5903|BD+42 3155                                                                                               |Star                           |18 45 30.8663672496 +42 29 42.698991660|071.7267145767433 +18.9648933474469|  11.996 -8.622    |10.10    |K0             |    ~     ~    
5904|BD+41 3139                                                                                               |delta Sct Variable             |18 46 18.8175859272 +42 01 05.657654316|071.3064115138707 +18.6631103247978|  0.924 -19.545    |9.15     |F0             |    ~     ~    
5905|IRAS 18445+4324                                                                                          |Long-Period Variable           |18 46 03.3589767288 +43 27 31.731785064|072.7219888063420 +19.1965472485748|  -9.157 -1.288    |10.64    |~              |    ~     ~    
5906|BD+41 3134                                                                                               |Star                           |18 45 28.4720011176 +42 02 07.424319480|071.2670821544820 +18.8153897277882|   2.586 23.973    |9.53     |~              |    ~     ~    
5907|TYC 3126-1040-2                                                                                          |Star                           |18 45 28.2363243984 +42 02 00.951545436|071.2650337198991 +18.8154614063518|   2.227 29.351    |9.88     |~              |    ~     ~    
5908|HD 173980                                                                                                |Star                           |18 46 22.8908427192 +41 41 19.646366352|070.9846723051851 +18.5377661296111|   -5.063 3.853    |8.24     |A2             |    ~     ~    
5909|BD+44 2995                                                                                               |Star                           |18 49 51.8782691064 +44 18 54.023372172|073.8195244479133 +18.8397820774966| -7.582 -13.299    |9.85     |A2             |    ~     ~    
5910|BD+44 3000                                                                                               |Star                           |18 50 49.6779872784 +44 15 49.109815512|073.8307278201587 +18.6602126539024|   -5.378 2.392    |9.73     |K2             |    ~     ~    
5911|HD 175131                                                                                                |Horizontal Branch Star         |18 51 51.2166465576 +44 14 22.283271816|073.8735432091561 +18.4794740060948|-10.387 -21.573    |8.38     |G5             |    ~     ~    
5912|HD 175490                                                                                                |High Proper Motion Star        |18 53 29.0527180704 +44 07 44.873235156|073.8716730159844 +18.1670036764731|  34.298 57.342    |7.80     |F2             |    ~     ~    
5913|BD+43 3078                                                                                               |delta Sct Variable             |18 47 32.0713172208 +43 17 04.629113376|072.6444728834879 +18.8848259523500|    0.220 7.942    |9.64     |A2IV/V         |    ~     ~    
5914|HD 174505                                                                                                |Star                           |18 48 47.5247127168 +43 11 43.000165896|072.6384266282955 +18.6390544815376|   13.949 9.216    |7.86     |F5             |    ~     ~    
5915|HD 174621                                                                                                |Eruptive Variable              |18 49 20.6786976960 +43 44 03.816275208|073.2093464491655 +18.7296079964791|  -4.493 38.387    |6.546    |G5             |    ~     ~    
5916|BD+43 3088                                                                                               |Horizontal Branch Star         |18 50 03.8412252960 +43 16 05.012606028|072.7947385161250 +18.4466726087239|   3.088 -1.994    |9.64     |K0             |    ~     ~    
5917|BD+43 3089                                                                                               |Horizontal Branch Star         |18 50 11.3575937760 +43 18 56.253123360|072.8500993701652 +18.4417536627553|  -0.624 -7.152    |10.26    |K0             |    ~     ~    
5918|BD+43 3091                                                                                               |Double or Multiple Star        |18 50 31.041744 +43 35 10.34016        |073.139460809 +18.479490557        |      25.2 26.3    |9.498    |G2V            |    ~     ~    
5919|HD 174880                                                                                                |Eruptive Variable              |18 50 43.1938661088 +43 57 26.748852084|073.5202466325518 +18.5732224320200| -15.808 21.681    |7.06     |K0             |    ~     ~    
5920|BD+43 3096                                                                                               |Horizontal Branch Star         |18 50 52.9309264680 +43 38 15.842015052|073.2145136109865 +18.4353604342769|   8.157 12.439    |8.83     |K0             |    ~     ~    
5921|BD+43 3097                                                                                               |Star                           |18 50 56.9259019968 +43 18 13.524493356|072.8889145009453 +18.3080682365532|    6.760 9.928    |9.94     |F0             |    ~     ~    
5922|BD+43 3099                                                                                               |Star                           |18 51 11.9751631032 +43 24 42.448251924|073.0123073595485 +18.3029455593544|   0.257 17.320    |9.20     |F2             |    ~     ~    
5923|BD+43 3100                                                                                               |Horizontal Branch Star         |18 51 12.9827030208 +43 35 24.217499112|073.1894997596472 +18.3620908790667|   2.440 36.374    |8.72     |K0             |    ~     ~    
5924|BD+43 3101                                                                                               |Horizontal Branch Star         |18 51 16.3740531792 +43 14 37.471998264|072.8513464434597 +18.2318444272020| -6.744 -15.447    |9.86     |K0             |    ~     ~    
5925|BD+43 3102                                                                                               |Rotating Variable              |18 51 39.5934542496 +43 38 09.727323360|073.2643217425089 +18.3028146961961|-28.580 -20.414    |9.44     |G5V            |    ~     ~    
5926|BD+43 3103                                                                                               |gamma Dor Variable             |18 51 41.5321003032 +43 23 00.724956864|073.0172989241183 +18.2092261138118|    4.763 8.769    |9.57     |F2             |    ~     ~    
5927|BD+43 3104                                                                                               |Double or Multiple Star        |18 51 44.353488 +43 23 30.02100        |073.028469250 +18.204067178        |      10.8 48.2    |9.19     |F8V            |    ~     ~    
5928|HD 175226                                                                                                |Star                           |18 52 16.4984285976 +43 42 35.801031636|073.3781157921747 +18.2243581328174|-28.199 -10.497    |7.42     |F6IV           |    ~     ~    
5929|HD 175370                                                                                                |Eruptive Variable              |18 52 59.7196847256 +43 42 48.491482284|073.4295768080080 +18.1036664927247|-27.132 -34.044    |7.19     |K2III          |    ~     ~    
5930|HD 175699                                                                                                |Red Giant Branch star          |18 54 34.4645754216 +43 15 53.717181624|073.0954009359891 +17.6769477013547|  -6.314 26.286    |8.88     |G5             |    ~     ~    
5931|BD+43 3120                                                                                               |Star                           |18 56 12.0233162928 +43 53 51.470268720|073.8259783823080 +17.6283124590801|   3.421 -9.762    |9.82     |F5             |    ~     ~    
5932|BD+42 3160                                                                                               |High Proper Motion Star        |18 47 13.7935452768 +42 24 41.420159136|071.7577288181682 +18.6389063098697|-12.787 -49.932    |9.25     |F8             |    ~     ~    
5933|BD+42 3162                                                                                               |Eruptive Variable              |18 47 54.8242329912 +42 44 38.958437076|072.1330622329969 +18.6349919715045|  -2.136 -6.032    |9.25     |K0             |    ~     ~    
5934|BD+42 3164                                                                                               |Horizontal Branch Star         |18 48 20.3461851264 +42 26 01.805318880|071.8543148250151 +18.4544712350895|-10.971 -12.801    |9.63     |K0             |    ~     ~    
5935|HD 174676                                                                                                |Long-Period Variable           |18 49 39.6355615488 +43 04 24.484930680|072.5754471130014 +18.4483223536081| -5.094 -17.703    |8.48     |~              |    ~     ~    
5936|BD+42 3173                                                                                               |Star                           |18 50 04.9146097008 +43 08 33.786326616|072.6720016044467 +18.4001842034141| -13.863 -1.974    |9.24     |G5             |    ~     ~    
5937|HD 174829                                                                                                |Star                           |18 50 31.0411654008 +42 54 43.724279304|072.4734624479667 +18.2453468732485|   5.843 22.168    |7.30     |K0             |    ~     ~    
5938|BD+42 3178                                                                                               |Star                           |18 51 28.2055962576 +42 41 10.161075156|072.3152961967130 +18.0024094505786|   10.310 6.786    |9.75     |F6IV           |    ~     ~    
5939|BD+42 3182                                                                                               |Long-Period Variable           |18 52 48.4989958224 +42 39 48.062982780|072.3844339149894 +17.7643088052619| -5.203 -17.160    |9.42     |M0             |    ~     ~    
5940|BD+42 3183                                                                                               |Red Giant Branch star          |18 53 23.2615245720 +42 55 49.999589868|072.6863613066083 +17.7600943934696|-30.917 -84.561    |8.68     |K0             |    ~     ~    
5941|HD 175466                                                                                                |Star                           |18 53 28.5268923288 +42 54 09.409993992|072.6649556951494 +17.7351293683498|  26.804 -3.142    |6.61     |K2             |    ~     ~    
5942|AG+42 1637                                                                                               |Long-Period Variable Candidate |18 54 29.1708130704 +42 31 43.366408032|072.3686104334753 +17.4277837435294| -5.741 -14.622    |7.97     |~              |    ~     ~    
5943|HD 175766                                                                                                |Star                           |18 54 58.1919802128 +42 34 11.160784812|072.4424357787732 +17.3595344007270| -2.539 -10.261    |8.40     |K              |    ~     ~    
5944|BD+42 3195                                                                                               |Star                           |18 55 50.9292055464 +42 59 34.443313080|072.9168682498263 +17.3621848080179|    0.745 0.384    |9.78     |K2             |    ~     ~    
5945|HD 175939                                                                                                |delta Sct Variable             |18 55 54.2502939744 +42 12 38.004783732|072.1577630708619 +17.0682422027346|    2.613 9.253    |8.62     |A3IVn          |    ~     ~    
5946|BD+42 3197                                                                                               |delta Sct Variable             |18 56 01.8837828048 +42 13 34.705863336|072.1821060490022 +17.0520759777011|    2.783 8.893    |9.28     |F0             |    ~     ~    
5947|HD 175202                                                                                                |Star                           |18 52 21.9141930240 +42 08 50.213779872|071.8476873784895 +17.6566902614272| -4.192 -12.315    |8.18     |K2             |    ~     ~    
5948|HD 175536                                                                                                |delta Sct Variable             |18 53 50.6263825776 +42 10 15.816324792|071.9741318448141 +17.4094938430987| -10.611 -4.789    |8.57     |A2             |    ~     ~    
5949|HD 174178                                                                                                |Star                           |18 47 22.4644355664 +42 02 52.754724348|071.4075013978282 +18.4884610999223| 36.918 -19.061    |7.44     |K5             |    ~     ~    
5950|BD+41 3144                                                                                               |Red Giant Branch star          |18 47 44.9372888160 +41 59 26.437613568|071.3762380131402 +18.4033484705629|  43.804 64.488    |9.88     |G9V            |    ~     ~    
5951|BD+41 3145                                                                                               |Long-Period Variable           |18 47 52.9180325280 +41 46 18.663146868|071.1691491249607 +18.3040295824372|  -0.450 -9.097    |9.12     |M2             |    ~     ~    
5952|BD+41 3162                                                                                               |Star                           |18 51 18.4957584864 +41 46 43.957328484|071.4128729494238 +17.7087247407934| 15.725 -11.360    |9.26     |F5             |    ~     ~    
5953|HD 175079                                                                                                |Star                           |18 51 50.9919484296 +41 44 21.524873928|071.4119699250577 +17.6002530603076|   -4.216 6.160    |7.93     |K2             |    ~     ~    
5954|HD 175740                                                                                                |Star                           |18 54 52.1770054656 +41 36 09.800403372|071.4924062477049 +17.0251336509209|  -1.635 -2.689    |5.440    |G8III          |    ~     ~    
5955|BD+41 3181                                                                                               |Star                           |18 55 22.9034519424 +42 03 30.703270716|071.9726948484321 +17.1028861481916| -1.861 -12.698    |9.82     |K5             |    ~     ~    
5956|HD 175884                                                                                                |Star                           |18 55 35.7284589936 +42 03 36.996736644|071.9895554647098 +17.0665901949251|  15.540 43.457    |6.552    |K0             |    ~     ~    
5957|BD+41 3184                                                                                               |Star                           |18 55 40.3563640224 +42 03 30.388836492|071.9932425750234 +17.0525933887836| -1.548 -17.152    |10.04    |G              |    ~     ~    
5958|BD+41 3186                                                                                               |High Proper Motion Star        |18 55 54.8163965592 +41 31 18.501167784|071.4887067498052 +16.8137759008225|  -3.153 92.365    |9.13     |G5             |    ~     ~    
5959|IRAS 18521+4325                                                                                          |Long-Period Variable Candidate |18 53 40.6184181000 +43 29 20.450737428|073.2544630265363 +17.9090529366763|   2.782 -8.597    |10.65    |~              |    ~     ~    
5960|IRAS 18526+4344                                                                                          |Long-Period Variable           |18 54 12.3490003416 +43 48 09.139709340|073.5982335389413 +17.9305075701916|   0.130 -1.218    |10.65    |~              |    ~     ~    
5961|BD+42 3158                                                                                               |Rotating Variable              |18 46 42.2837448336 +43 02 43.994807232|072.3524721309126 +18.9460013639305|   0.547 11.431    |9.84     |~              |    ~     ~    
5962|BD+43 3081                                                                                               |Star                           |18 48 03.4397795136 +43 51 39.377794248|073.2516371963112 +18.9910875720115| 20.968 -10.076    |10.71    |G1V            |    ~     ~    
5963|BD+42 3161                                                                                               |Double or Multiple Star        |18 47 46.614648 +42 47 37.57128        |072.173147040 +18.675609608        |      -10.3 2.1    |10.56    |~              |    ~     ~    
5964|BD+41 3160                                                                                               |Horizontal Branch Star         |18 50 35.5509456264 +41 30 29.188672164|071.0972472247850 +17.7371562635726|  15.899 22.231    |8.49     |K0             |    ~     ~    
