C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
102 |TYC 3131-1753-1                                                                                          |Star                           |18 56 23.1786880848 +44 28 46.956674280|074.4092565532290 +17.8050038801234|    1.523 3.896    |10.57    |~              |    ~     ~    
103 |TYC 3131-1755-1                                                                                          |Star                           |18 55 36.4620832944 +44 57 02.595719160|074.8209406282050 +18.1009823675525|  -3.951 -2.168    |10.22    |~              |    ~     ~    
104 |TYC 3131-1777-1                                                                                          |Star                           |18 53 19.6089591696 +44 19 20.368422696|074.0518448003217 +18.2609625243011|    0.390 1.241    |10.57    |M0III          |    ~     ~    
105 |TYC 3131-1871-1                                                                                          |Spectroscopic Binary           |18 56 15.2607986232 +44 27 18.328299840|074.3762922867876 +17.8182497648320| -32.945 23.094    |10.81    |~              |    ~     ~    
106 |TYC 3131-1879-1                                                                                          |Star                           |18 54 10.3559574936 +44 26 26.701722708|074.2242749907720 +18.1607949476994| -34.372 -8.381    |10.57    |G3Va           |    ~     ~    
107 |TYC 3540-70-1                                                                                            |Star                           |18 49 46.5910539000 +45 13 32.238999228|074.7204568764092 +19.1620110029246|  -4.199 -6.469    |10.871   |~              |    ~     ~    
108 |TYC 3540-110-1                                                                                           |Star                           |18 50 45.7645505952 +45 04 13.621518840|074.6278511669993 +18.9460151751591| -8.400 -13.601    |10.72    |~              |    ~     ~    
109 |TYC 3540-209-1                                                                                           |Star                           |18 49 40.7852138232 +45 09 07.009812072|074.6409251587581 +19.1533764709204|   4.741 10.166    |10.927   |A7III          |    ~     ~    
110 |TYC 3540-212-1                                                                                           |Star                           |18 47 34.5800807837 +45 10 53.611768247|074.5398788714701 +19.5128787823819|  -6.429 -9.051    |10.850   |~              |    ~     ~    
111 |TYC 3540-308-1                                                                                           |Star                           |18 49 49.0155232704 +46 47 16.519828920|076.2861056038135 +19.6724239494687|  -4.814 -0.592    |10.69    |~              |    ~     ~    
