C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:21:12

dec >=0&rah >=14.5&rah< 14.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2365

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
49  |HD 129245                                                                                                |High Proper Motion Star           |14 33 38.2936659120 +79 39 37.534581396|117.4166538902762 +36.3484860403532|-100.058 83.515   |6.270    |K3III             |    ~     ~    |    1|  151.750   pc  |  -0.5389     +0.5389  |paral   |2020yCat.1350....0G
50  |HD 130983                                                                                                |Star                              |14 42 49.1748978720 +79 47 20.255739540|117.0548849023971 +36.0340198032471| -12.169 -2.049   |8.71     |K0                |    ~     ~    |    1|  362.766   pc  |  -1.8687     +1.8687  |paral   |2020yCat.1350....0G
51  |BD+79 453                                                                                                |Star                              |14 40 08.2157065872 +79 05 10.950395424|116.7407359375879 +36.7009035857305|   -4.081 3.577   |9.18     |K2                |    ~     ~    |    1|  749.008   pc  |  -6.9005     +6.9005  |paral   |2020yCat.1350....0G
52  |BD+80 446                                                                                                |Spectroscopic Binary              |14 33 15.1938206640 +79 46 26.411995596|117.5024171909161 +36.2567374253738|  12.547 -3.622   |10.36    |~                 |    ~     ~    |    1|  285.567   pc  |  -1.0438     +1.0438  |paral   |2020yCat.1350....0G
53  |TYC 4562-716-1                                                                                           |Star                              |14 42 14.9516840496 +79 15 54.929500488|116.7483621658292 +36.4964644015589|  -21.539 5.628   |10.83    |~                 |    ~     ~    |    1|  197.613   pc  |  -0.4296     +0.4296  |paral   |2020yCat.1350....0G
54  |TYC 4565-31-1                                                                                            |Star                              |14 40 22.7859215688 +80 16 26.186636784|117.4709050508817 +35.6698124437911|  1.084 -10.563   |10.81    |~                 |    ~     ~    |    1|  620.347   pc  |  -3.4635     +3.4635  |paral   |2020yCat.1350....0G
55  |TYC 4565-166-1                                                                                           |Star                              |14 44 31.6539159240 +80 08 06.080967348|117.1968443992942 +35.6992625562533|  -17.838 9.261   |10.50    |~                 |    ~     ~    |    1|  558.971   pc  |  -3.1245     +3.1245  |paral   |2020yCat.1350....0G
56  |TYC 4565-172-1                                                                                           |High Proper Motion Star           |14 43 53.2462963824 +80 07 21.697854240|117.2178869073902 +35.7240160210578|-29.601 -103.724  |9.97     |~                 |    ~     ~    |    1|  135.567   pc  |  -0.1801     +0.1801  |paral   |2020yCat.1350....0G
57  |TYC 4565-210-1                                                                                           |Star                              |14 44 09.7484275752 +80 04 03.913911516|117.1704009026232 +35.7649167631100| -15.385 -0.840   |9.80     |~                 |    ~     ~    |    1|  560.601   pc  |  -5.1541     +5.1541  |paral   |2020yCat.1350....0G
58  |TYC 4565-595-1                                                                                           |High Proper Motion Star           |14 39 03.0317348904 +81 09 45.585740736|118.0683015596652 +34.9248468205638|  -9.814 58.578   |10.79    |~                 |    ~     ~    |    1|  262.902   pc  |  -1.0091     +1.0091  |paral   |2020yCat.1350....0G
59  |HD 130395                                                                                                |Star                              |14 36 56.6246078544 +82 27 55.934911800|118.9111237382786 +33.8206815831141|  17.360 -8.605   |8.31     |G5                |    ~     ~    |    1|  343.053   pc  |  -1.9771     +1.9771  |paral   |2020yCat.1350....0G
60  |BD+83 424                                                                                                |Star                              |14 38 08.2469961048 +82 35 56.631024240|118.9469224653527 +33.6848594367775|   -7.326 2.302   |10.58    |F5                |    ~     ~    |    1|  621.620   pc  | -24.1507    +24.1507  |paral   |2020yCat.1350....0G
61  |BD+83 426                                                                                                |Star                              |14 39 38.9095755456 +82 27 48.198973896|118.8163497646401 +33.7798706376566|  -10.276 0.042   |9.21     |K5                |    ~     ~    |    1|  485.602   pc  |  -3.7965     +3.7965  |paral   |2020yCat.1350....0G
62  |BD+82 428                                                                                                |Star                              |14 30 02.427 +82 17 02.33              |119.054809 +34.087496              |      -44.5 5.0   |10.3     |G5                |    ~     ~    |    0|                |                       |        |                   
63  |BD+82 432                                                                                                |Spectroscopic Binary              |14 36 12.3039887664 +82 22 49.004781060|118.8882034435843 +33.9072823587504| -12.535 -0.688   |10.58    |K0                |    ~     ~    |    1|  584.283   pc  | -13.8944    +13.8944  |paral   |2020yCat.1350....0G
64  |TYC 4565-919-1                                                                                           |Star                              |14 39 45.4542474576 +81 51 52.090713072|118.4592070021342 +34.3005779463242|  -18.646 3.907   |10.89    |F8                |    ~     ~    |    1|  228.436   pc  |  -0.6158     +0.6158  |paral   |2020yCat.1350....0G
65  |BD+82 435                                                                                                |Star                              |14 39 19.8549420624 +81 52 34.420236996|118.4820960708840 +34.2977091464666| -22.819 12.774   |10.57    |G5                |    ~     ~    |    1|  907.029   pc  |  -9.3788     +9.3788  |paral   |2020yCat.1350....0G
66  |BD+82 436                                                                                                |Star                              |14 42 23.3580966840 +81 52 32.532267576|118.3681653187288 +34.2446934655283| -5.580 -10.789   |10.73    |K2                |    ~     ~    |    1|  883.002   pc  |  -8.2647     +8.2647  |paral   |2020yCat.1350....0G
67  |BD+82 437                                                                                                |High Proper Motion Star           |14 42 22.8993577008 +82 08 08.132027100|118.5255585757199 +34.0198177701208| -43.267 37.760   |9.66     |K0                |    ~     ~    |    1|  479.088   pc  |  -2.5248     +2.5248  |paral   |2020yCat.1350....0G
68  |BD+82 427                                                                                                |Star                              |14 30 51.1879846008 +81 27 07.333926948|118.5677722818841 +34.8166518239365|  -12.103 0.937   |8.60     |K5                |    ~     ~    |    1|  411.963   pc  |  -2.9530     +2.9530  |paral   |2020yCat.1350....0G
69  |BD+81 488                                                                                                |Star                              |14 36 05.6084473368 +81 16 02.722215144|118.2506426175150 +34.8879591691090|   -6.139 3.066   |9.71     |K0                |    ~     ~    |    1|  617.742   pc  |  -4.5029     +4.5029  |paral   |2020yCat.1350....0G
70  |TYC 4565-1080-1                                                                                          |Star                              |14 36 19.2169468080 +82 16 32.793984552|118.8244298580220 +33.9974889051980|   7.722 18.331   |10.69    |~                 |    ~     ~    |    1|  356.100   pc  |  -1.6485     +1.6485  |paral   |2020yCat.1350....0G
71  |BD+77 551                                                                                                |Star                              |14 40 59.9871407976 +76 37 02.959152744|115.0800102844079 +38.7922143192545| -4.756 -17.035   |10.02    |K0                |    ~     ~    |    1|  280.363   pc  |  -0.9118     +0.9118  |paral   |2020yCat.1350....0G
72  |BD+77 553                                                                                                |Star                              |14 42 33.4284523464 +76 55 19.244990244|115.1888046579696 +38.4865146169523|   -3.011 6.649   |9.47     |A5                |    ~     ~    |    1|  365.470   pc  |  -1.4693     +1.4693  |paral   |2020yCat.1350....0G
73  |BD+76 531                                                                                                |Spectroscopic Binary              |14 35 36.6115575168 +75 52 28.645733352|114.9392400628754 +39.5937694801338|    8.912 7.360   |10.13    |F0                |    ~     ~    |    1|  259.518   pc  |  -0.8553     +0.8553  |paral   |2020yCat.1350....0G
74  |BD+76 534                                                                                                |Star                              |14 43 13.5177563040 +75 49 22.350553860|114.3902670992577 +39.3942076997296|   2.222 39.374   |9.07     |F0                |    ~     ~    |    1|  123.451   pc  |  -0.2195     +0.2195  |paral   |2020yCat.1350....0G
75  |TYC 4559-499-1                                                                                           |Spectroscopic Binary              |14 38 34.8314140152 +75 49 19.701652692|114.7021882647048 +39.5455532509891|    4.838 9.992   |10.75    |~                 |    ~     ~    |    1|  279.963   pc  |  -1.0111     +1.0111  |paral   |2020yCat.1350....0G
76  |TYC 4559-621-1                                                                                           |Star                              |14 42 29.6582062464 +76 24 33.021234036|114.8435136551370 +38.9228762431340|    6.871 1.370   |10.42    |~                 |    ~     ~    |    1|  379.233   pc  |  -2.1429     +2.1429  |paral   |2020yCat.1350....0G
77  |TYC 4559-808-1                                                                                           |Star                              |14 37 07.0028917488 +76 03 52.789299696|114.9629627978371 +39.3837293299594|    8.473 4.862   |10.26    |~                 |    ~     ~    |    1|  397.425   pc  |  -2.3692     +2.3692  |paral   |2020yCat.1350....0G
78  |TYC 4559-812-1                                                                                           |Star                              |14 35 05.5606961832 +76 02 46.841257644|115.0868763349524 +39.4614601361685|  -0.372 -1.028   |10.72    |~                 |    ~     ~    |    1|  369.549   pc  |  -1.4066     +1.4066  |paral   |2020yCat.1350....0G
79  |TYC 4559-845-1                                                                                           |Star                              |14 34 49.3344554784 +75 55 17.190098760|115.0236773488567 +39.5776157848233|  29.613 -5.808   |10.86    |~                 |    ~     ~    |    1|  293.988   pc  |  -5.0820     +5.0820  |paral   |2020yCat.1350....0G
80  |TYC 4559-925-1                                                                                           |Star                              |14 42 48.7954900728 +76 50 13.421091480|115.1154356518483 +38.5508005851179| -11.875 10.522   |10.69    |~                 |    ~     ~    |    1|  539.957   pc  |  -4.0817     +4.0817  |paral   |2020yCat.1350....0G
81  |TYC 4559-1015-1                                                                                          |Star                              |14 43 17.9996566344 +76 55 29.815515552|115.1453346758490 +38.4616963527909| -10.458 19.991   |10.34    |~                 |    ~     ~    |    1|  417.240   pc  |  -2.5417     +2.5417  |paral   |2020yCat.1350....0G
82  |BD+79 449                                                                                                |Star                              |14 34 08.6860832424 +79 04 50.227301640|117.0450201134109 +36.8461830753198|  10.430 -9.682   |10.02    |K0                |    ~     ~    |    1|  545.108   pc  |  -2.8229     +2.8229  |paral   |2020yCat.1350....0G
83  |V* SY UMi                                                                                                |Long-Period Variable              |14 35 47.4676126200 +79 08 28.025378340|116.9967708864818 +36.7555571891303|  -2.014 -6.846   |8.53     |K0                |    ~     ~    |    1| 1282.874   pc  | -27.8134    +27.8134  |paral   |2020yCat.1350....0G
84  |BD+79 451                                                                                                |Star                              |14 37 33.1481490072 +79 02 03.106858056|116.8404440017823 +36.8075591240034| -19.170 -1.126   |9.80     |F5                |    ~     ~    |    1|  234.247   pc  |  -0.5926     +0.5926  |paral   |2020yCat.1350....0G
