C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:50:27

dec >=0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2377

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
43  |HD 91328                                                                                                 |High Proper Motion Star            |10 38 29.2007114640 +81 34 56.777607660|128.4897085539165 +34.0585621359126|-32.569 -41.402   |7.52     |K0               |    ~     ~    |    1|  129.279   pc  |  -0.2992     +0.2992  |paral   |2020yCat.1350....0G
44  |BD+82 309                                                                                                |Star                               |10 39 22.0741308144 +81 27 09.450436968|128.5500703984367 +34.1827003839490|    1.260 0.956   |10.66    |F2               |    ~     ~    |    1|  578.302   pc  |  -6.2539     +6.2539  |paral   |2020yCat.1350....0G
45  |BD+82 311                                                                                                |Star                               |10 41 53.7594336504 +81 23 12.430357188|128.5036050654674 +34.2910997450210|-12.397 -22.141   |10.43    |K0               |    ~     ~    |    1|  776.036   pc  |  -7.7086     +7.7086  |paral   |2020yCat.1350....0G
46  |BD+81 344                                                                                                |Star                               |10 38 17.9202748704 +81 02 46.259750580|128.8799593641834 +34.4870727131773|  -8.373 -6.602   |9.40     |G5               |    ~     ~    |    1|  350.336   pc  |  -1.3746     +1.3746  |paral   |2020yCat.1350....0G
47  |BD+81 345                                                                                                |High Proper Motion Star            |10 41 03.3273413472 +81 08 14.899375572|128.7101350077950 +34.4758297758501|-46.197 -47.526   |9.59     |F8               |    ~     ~    |    1|  191.564   pc  |  -0.7743     +0.7743  |paral   |2020yCat.1350....0G
48  |HD 91998                                                                                                 |High Proper Motion Star            |10 42 39.3679456104 +81 14 10.785428700|128.5801490044003 +34.4306301377238|  -50.215 2.539   |8.70     |F5               |    ~     ~    |    1|  140.913   pc  |  -0.3177     +0.3177  |paral   |2020yCat.1350....0G
49  |HD 90089                                                                                                 |High Proper Motion Star            |10 31 04.7079248136 +82 33 31.146280416|128.0321383518485 +33.1243527987678| -86.133 19.832   |5.252    |F4VkF2mF2        |    ~     ~    |    1|   23.022   pc  |  -0.3171     +0.3171  |paral   |2020yCat.1350....0G
50  |TYC 4548-1198-1                                                                                          |Star                               |10 33 19.8848412384 +81 30 01.772970444|128.7321356682927 +34.0106914103818| 20.487 -26.958   |10.66    |~                |    ~     ~    |    1|  134.311   pc  |  -0.1804     +0.1804  |paral   |2020yCat.1350....0G
51  |TYC 4548-1272-1                                                                                          |Star                               |10 32 20.3167834632 +81 15 38.328441948|128.9446714870989 +34.1778197564992|   0.369 -1.209   |10.89    |~                |    ~     ~    |    1|  450.653   pc  |  -2.5183     +2.5183  |paral   |2020yCat.1350....0G
52  |TYC 4555-1212-1                                                                                          |Star                               |10 42 29.2734402000 +81 14 17.978781768|128.5851099221176 +34.4253098459628|-13.423 -20.823   |10.53    |~                |    ~     ~    |    1|  318.918   pc  |  -1.2510     +1.2510  |paral   |2020yCat.1350....0G
53  |BD+81 341                                                                                                |Double or Multiple Star            |10 32 35.659 +80 54 48.62              |129.193319 +34.457875              |      44.8 14.0   |9.4      |G5               |    ~     ~    |    0|                |                       |        |                   
54  |BD+81 346                                                                                                |Star                               |10 41 29.3417578152 +81 00 51.470643348|128.7804100646048 +34.5858433695085|  -2.304 -0.630   |9.93     |K2               |    ~     ~    |    1|  784.437   pc  |  -7.3841     +7.3841  |paral   |2020yCat.1350....0G
55  |BD+81 348                                                                                                |Star                               |10 43 44.5032222528 +80 50 09.372395508|128.8172854117658 +34.7827758208083|   2.699 -9.142   |9.91     |M2               |    ~     ~    |    1| 1455.392   pc  | -31.9843    +31.9843  |paral   |2020yCat.1350....0G
56  |HD 91075                                                                                                 |Star                               |10 36 01.9565752632 +80 29 40.666274124|129.3698645360609 +34.8745792238965| -18.017 -3.440   |6.460    |G4III:           |    ~     ~    |    1|  154.669   pc  |  -0.4258     +0.4258  |paral   |2020yCat.1350....0G
57  |HD 92192                                                                                                 |Spectroscopic Binary               |10 43 29.6005918200 +80 25 37.588316844|129.1139968511799 +35.1115511398073|   19.079 5.500   |6.69     |A0               |    ~     ~    |    1|  176.775   pc  |  -0.8062     +0.8062  |paral   |2020yCat.1350....0G
58  |BD+80 327                                                                                                |Star                               |10 38 43.1368002192 +79 52 13.556504856|129.7168224613463 +35.4422591654808|  32.175 12.769   |9.09     |K0               |    ~     ~    |    1|  306.673   pc  |  -1.3167     +1.3167  |paral   |2020yCat.1350....0G
59  |BD+79 335                                                                                                |Star                               |10 33 34.2292357200 +78 30 17.337346020|130.9840707359754 +36.3747429634945|-37.366 -20.296   |9.35     |K0               |    ~     ~    |    1|  479.065   pc  |  -2.8917     +2.8917  |paral   |2020yCat.1350....0G
60  |BD+80 332                                                                                                |Star                               |10 44 00.1284337344 +79 15 03.551875884|129.9286640956324 +36.0836537616968|  -6.847 -0.334   |8.87     |G5               |    ~     ~    |    1|  473.350   pc  |  -5.0638     +5.0638  |paral   |2020yCat.1350....0G
61  |BD+79 336                                                                                                |Star                               |10 36 13.4913045888 +79 07 26.442051852|130.3842391357702 +35.9679279342905|-10.517 -19.575   |9.76     |F0               |    ~     ~    |    1|  302.975   pc  |  -1.1750     +1.1750  |paral   |2020yCat.1350....0G
62  |BD+79 337                                                                                                |Spectroscopic Binary               |10 36 54.8441065680 +79 00 26.021714004|130.4404458146058 +36.0803560737291|   23.531 0.302   |9.59     |K0               |    ~     ~    |    1|  499.650   pc  |  -7.4146     +7.4146  |paral   |2020yCat.1350....0G
63  |BD+79 338                                                                                                |Star                               |10 38 23.9657306832 +78 18 39.545696772|130.8953772659024 +36.6769550346054|   -2.861 4.368   |10.39    |F5               |    ~     ~    |    1|  293.307   pc  |  -1.2044     +1.2044  |paral   |2020yCat.1350....0G
64  |BD+79 340                                                                                                |High Proper Motion Star            |10 43 33.9349960200 +79 11 25.677472956|129.9928198949341 +36.1209693390442|-50.841 -29.117   |9.16     |F8               |    ~     ~    |    1|  110.923   pc  |  -0.1882     +0.1882  |paral   |2020yCat.1350....0G
