C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:58:52

dec >=0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8428

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
43  |TYC 4618-570-1                                                                                           |Star                           |06 07 30.6482154840 +83 29 30.497953380|130.0258609639342 +25.7107885670992|  0.645 -11.844   |10.76    |~                 |    ~     ~    |    1|  944.644   pc  | -14.7238    +14.7238  |paral   |2020yCat.1350....0G
44  |TYC 4618-727-1                                                                                           |Star                           |06 01 59.1903611616 +82 40 59.198940192|130.8437330193582 +25.3408959061661| -17.169 -6.718   |10.93    |~                 |    ~     ~    |    1|  229.069   pc  |  -0.9025     +0.9025  |paral   |2020yCat.1350....0G
45  |TYC 4618-1094-1                                                                                          |Star                           |06 08 32.6863886904 +83 19 41.242771164|130.2100778707970 +25.6998208032693|    1.946 1.693   |10.72    |~                 |    ~     ~    |    1|  879.430   pc  | -22.1192    +22.1192  |paral   |2020yCat.1350....0G
46  |BD+81 195                                                                                                |Star                           |06 00 05.3838380208 +81 21 02.845169136|132.2348657319581 +24.9016323487977|  -5.445 -0.239   |9.98     |A5                |    ~     ~    |    1|  337.861   pc  |  -1.4269     +1.4269  |paral   |2020yCat.1350....0G
47  |BD+81 197                                                                                                |Star                           |06 03 00.8172879216 +81 03 25.399504980|132.5804600496469 +24.9246348745049|   -5.654 9.070   |9.34     |K0                |    ~     ~    |    1|  564.079   pc  |  -3.7864     +3.7864  |paral   |2020yCat.1350....0G
48  |AG+81 170                                                                                                |Long-Period Variable Candidate |06 05 11.4388338192 +81 28 33.398235336|132.1612012102534 +25.1194736612857|   2.228 -5.694   |10.01    |M5                |    ~     ~    |    1| 1056.3     pc  | -25.6627    +25.6627  |paral   |2020yCat.1350....0G
49  |BD+81 199                                                                                                |Star                           |06 06 00.6823544376 +81 33 24.831208296|132.0839767734741 +25.1702950473909|   0.826 -7.814   |9.48     |K0                |    ~     ~    |    1|  515.916   pc  |  -3.2206     +3.2206  |paral   |2020yCat.1350....0G
50  |BD+81 200                                                                                                |Star                           |06 05 47.8007840928 +81 28 06.864878244|132.1757010225811 +25.1391397016162|  0.137 -11.018   |9.77     |G5                |    ~     ~    |    1|  685.401   pc  |  -6.1071     +6.1071  |paral   |2020yCat.1350....0G
51  |BD+80 188                                                                                                |Star                           |06 09 13.3948333392 +80 56 51.899385588|132.7687760524968 +25.1290135203931| -4.067 -10.808   |9.95     |K2                |    ~     ~    |    1| 1815.211   pc  | -42.8349    +42.8349  |paral   |2020yCat.1350....0G
52  |HD 38684                                                                                                 |Star                           |06 00 20.5267586856 +80 01 32.394553392|133.6317561477952 +24.5198191752463| -22.114 -6.421   |9.19     |F8                |    ~     ~    |    1|  244.870   pc  |  -0.9354     +0.9354  |paral   |2020yCat.1350....0G
