C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:56:21

Vmag< 11&dec >=0&rah >=7.5&rah< 7.75
------------------------------------

Number of objects : 5656

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
4942|TYC 782-4-1                                                                                              |Star                           |07 40 25.4925566688 +10 05 22.869722976|209.3226653043601 +15.4115271866358| -8.147 -14.132   |10.65    |~                 |    ~     ~    
4943|TYC 782-11-1                                                                                             |Star                           |07 42 53.3938107000 +11 12 40.776586380|208.5389943881955 +16.4396229948877|    1.089 5.485   |10.71    |~                 |    ~     ~    
4944|TYC 782-90-1                                                                                             |Star                           |07 40 20.5147291464 +10 41 26.368123920|208.7504749876025 +15.6516461648454|   3.774 -7.761   |10.98    |~                 |    ~     ~    
4945|TYC 782-139-1                                                                                            |Star                           |07 39 55.6518480312 +11 14 55.253300568|208.1813066860944 +15.7985365865540|   7.104 -4.238   |10.93    |~                 |    ~     ~    
4946|TYC 782-225-1                                                                                            |Star                           |07 41 55.7577214248 +10 33 51.074857116|209.0431215733499 +15.9496945684245| -12.647 -1.249   |10.66    |~                 |    ~     ~    
4947|TYC 782-238-1                                                                                            |Star                           |07 42 09.8961642312 +09 55 02.839404864|209.6758551942666 +15.7236697194249|  -2.915 -4.181   |10.72    |~                 |    ~     ~    
4948|TYC 782-284-1                                                                                            |Spectroscopic Binary           |07 42 05.6392310760 +10 29 27.610595268|209.1299400470095 +15.9548413608985|  2.320 -70.276   |10.96    |~                 |    ~     ~    
4949|TYC 782-375-1                                                                                            |Star                           |07 41 36.0818654976 +10 49 31.705535208|208.7616628860618 +15.9889055512577|  -2.012 -0.525   |10.95    |~                 |    ~     ~    
4950|TYC 782-391-1                                                                                            |Star                           |07 41 24.2636979168 +09 43 50.339809920|209.7667089336353 +15.4739945723826|   0.392 -3.122   |10.32    |~                 |    ~     ~    
4951|TYC 782-527-1                                                                                            |Star                           |07 41 06.2724794592 +09 50 21.519440484|209.6319088487504 +15.4543675655125|   -2.667 6.774   |10.80    |~                 |    ~     ~    
4952|TYC 782-576-1                                                                                            |Star                           |07 39 46.3436696616 +10 17 21.885753408|209.0639751620806 +15.3527543749599|  -3.390 -4.693   |10.70    |~                 |    ~     ~    
4953|TYC 782-584-1                                                                                            |Star                           |07 41 21.9547288512 +09 42 06.780853080|209.7893614391101 +15.4530000929414|  -0.356 15.600   |10.64    |~                 |    ~     ~    
4954|TYC 782-653-1                                                                                            |Star                           |07 40 15.5638232472 +09 25 52.074629112|209.9197762562490 +15.0898359028147|  -1.993 -1.383   |10.79    |~                 |    ~     ~    
4955|TYC 782-757-1                                                                                            |Star                           |07 43 18.6225376920 +10 38 58.678156608|209.1142383683168 +16.2929227341981|  -1.889 -9.110   |10.59    |~                 |    ~     ~    
4956|TYC 782-768-1                                                                                            |Star                           |07 44 36.3634537248 +09 32 01.090720140|210.3061005064121 +16.1002034804769|  -0.765 -4.164   |10.71    |~                 |    ~     ~    
4957|TYC 782-804-1                                                                                            |Star                           |07 44 33.0146556408 +10 06 09.142383384|209.7654681502892 +16.3333413166701|   -0.070 0.389   |10.98    |~                 |    ~     ~    
4958|TYC 782-848-1                                                                                            |Star                           |07 39 49.4137833528 +10 19 11.417834748|209.0411194124706 +15.3772167643885|  -2.708 -2.623   |10.51    |~                 |    ~     ~    
4959|TYC 782-849-1                                                                                            |Star                           |07 40 54.5086144584 +09 44 50.517710556|209.6962415984445 +15.3710575112604|  -3.331 -4.868   |10.73    |~                 |    ~     ~    
4960|TYC 782-967-1                                                                                            |Star                           |07 42 56.8665079392 +09 29 45.789378144|210.1572435605027 +15.7153771256898|  -2.303 -0.889   |10.75    |~                 |    ~     ~    
4961|TYC 786-54-1                                                                                             |Star                           |07 42 59.1026937144 +11 43 43.496455872|208.0607150634393 +16.6806658884062| -12.813 -0.186   |10.95    |~                 |    ~     ~    
4962|TYC 786-74-1                                                                                             |Star                           |07 44 13.0210818168 +12 36 41.172484608|207.3566220718946 +17.3259817165666|   -1.621 1.248   |10.90    |~                 |    ~     ~    
4963|TYC 786-83-1                                                                                             |Star                           |07 44 31.9182332976 +12 43 29.948767032|207.2823633141244 +17.4433393240075|   2.930 -6.806   |10.98    |~                 |    ~     ~    
4964|TYC 786-100-1                                                                                            |High Proper Motion Star        |07 43 50.2936250016 +12 24 42.503560380|207.5056252757213 +17.1582088845290|  -53.690 3.039   |10.97    |~                 |    ~     ~    
4965|TYC 786-267-1                                                                                            |Star                           |07 40 01.6364840592 +11 23 06.423024768|208.0638811730617 +15.8788549334530| 25.725 -31.008   |10.99    |~                 |    ~     ~    
4966|TYC 786-278-1                                                                                            |Star                           |07 44 21.5511685248 +12 26 29.595778908|207.5333670547205 +17.2861139849828|   9.433 -6.627   |10.93    |~                 |    ~     ~    
4967|TYC 786-339-1                                                                                            |Star                           |07 41 42.3100796208 +11 47 46.965963444|207.8582520250103 +16.4256451384525|   -8.206 2.349   |10.96    |~                 |    ~     ~    
4968|TYC 786-382-1                                                                                            |Star                           |07 39 51.4647345000 +11 25 58.979599104|208.0003930729365 +15.8617036584678|  -10.132 3.661   |10.55    |~                 |    ~     ~    
4969|TYC 786-435-1                                                                                            |Star                           |07 44 38.5930332816 +12 01 00.088428216|207.9673975969928 +17.1700658178115|  -5.484 -6.238   |10.97    |~                 |    ~     ~    
4970|TYC 786-642-1                                                                                            |Star                           |07 42 05.4719013768 +12 47 39.443142120|206.9552789505578 +16.9321302475048|  -5.064 -5.162   |10.27    |~                 |    ~     ~    
4971|TYC 786-777-1                                                                                            |Star                           |07 43 59.4032277816 +12 00 22.316230980|207.9067814758521 +17.0208598508471|   5.952 -7.686   |10.62    |~                 |    ~     ~    
4972|TYC 786-885-1                                                                                            |Star                           |07 39 44.5231143984 +11 38 24.511806204|207.7930161756829 +15.9242341378054|  -0.146 -1.690   |10.74    |~                 |    ~     ~    
4973|TYC 790-427-1                                                                                            |Star                           |07 43 49.0975026144 +14 41 43.305882180|205.3240086822158 +18.1026558816661| -2.605 -12.264   |10.89    |~                 |    ~     ~    
4974|TYC 790-564-1                                                                                            |Star                           |07 40 17.0396326320 +14 33 13.366879416|205.0903192746189 +17.2651427286966|  5.102 -32.375   |10.53    |~                 |    ~     ~    
4975|TYC 790-601-1                                                                                            |Star                           |07 43 51.4650450936 +14 13 57.267622272|205.7717091801821 +17.9210156984891|  0.718 -10.865   |10.92    |~                 |    ~     ~    
4976|TYC 790-672-1                                                                                            |Star                           |07 40 06.9472230144 +14 21 36.461981808|205.2572621336785 +17.1480867045556|   -4.426 7.583   |10.81    |~                 |    ~     ~    
4977|TYC 790-757-1                                                                                            |Star                           |07 42 36.2549505840 +13 48 29.599108776|206.0452284884400 +17.4686731537988|  -6.130 -3.475   |10.97    |~                 |    ~     ~    
4978|TYC 790-792-1                                                                                            |Star                           |07 43 17.1980847672 +14 19 20.754587964|205.6257475178192 +17.8320042236394|  -4.676 -0.804   |10.88    |~                 |    ~     ~    
4979|TYC 790-795-1                                                                                            |Star                           |07 41 07.8503848704 +13 13 20.263308852|206.4466369040012 +16.8990081221849|  -3.098 -2.087   |10.37    |~                 |    ~     ~    
4980|TYC 790-837-1                                                                                            |Star                           |07 44 15.5292485448 +14 03 43.382382048|205.9771357463951 +17.9392028267732|   -6.779 5.047   |10.89    |~                 |    ~     ~    
4981|TYC 790-876-1                                                                                            |Star                           |07 43 44.2940857152 +13 42 49.199761260|206.2553079489356 +17.6799871945023|  -0.476 -0.442   |10.86    |~                 |    ~     ~    
4982|TYC 790-945-1                                                                                            |Star                           |07 43 42.7075678152 +14 25 56.061490548|205.5651599411031 +17.9710530004941|  -5.824 -5.489   |10.97    |~                 |    ~     ~    
4983|TYC 790-1078-1                                                                                           |Star                           |07 40 06.4330594272 +13 21 19.404164232|206.2115576920678 +16.7284108858908|  -2.918 -1.062   |10.80    |~                 |    ~     ~    
4984|TYC 790-1085-1                                                                                           |Star                           |07 41 26.3251421808 +13 32 02.403760308|206.1831319407284 +17.0971699950290|    0.983 2.305   |10.99    |~                 |    ~     ~    
4985|TYC 790-1098-1                                                                                           |Star                           |07 40 41.1315022560 +13 58 40.210612500|205.6812280719618 +17.1153917514568|   -0.480 1.297   |10.66    |~                 |    ~     ~    
4986|TYC 790-1099-1                                                                                           |Star                           |07 43 46.6278699816 +13 12 25.885176984|206.7425682703078 +17.4778928379667|    4.803 5.123   |10.99    |~                 |    ~     ~    
4987|TYC 790-1115-1                                                                                           |Star                           |07 43 23.7929173512 +14 13 25.412807208|205.7317379798987 +17.8155541915124| -23.703 -8.168   |10.78    |~                 |    ~     ~    
4988|TYC 790-1141-1                                                                                           |Star                           |07 42 46.2095443704 +13 33 58.349791188|206.2935218077440 +17.4047924583999|  -0.542 -5.079   |10.87    |~                 |    ~     ~    
4989|TYC 790-1215-1                                                                                           |Star                           |07 41 05.8768121256 +13 43 54.590119392|205.9588753173147 +17.1042393603451|   0.419 -5.113   |10.49    |~                 |    ~     ~    
4990|TYC 790-1228-1                                                                                           |Star                           |07 42 18.8192567160 +13 14 56.324939136|206.5470804562253 +17.1716726303183|   0.147 -1.397   |10.87    |~                 |    ~     ~    
4991|TYC 1360-89-1                                                                                            |Star                           |07 32 47.0045554536 +15 06 15.401151432|203.7854734444657 +15.8422503509368|  -10.200 2.096   |10.86    |~                 |    ~     ~    
4992|TYC 1360-260-1                                                                                           |Star                           |07 35 49.1046675240 +15 27 29.230032348|203.7644210987878 +16.6549651840480|  -7.747 -3.894   |10.64    |~                 |    ~     ~    
4993|TYC 1360-272-1                                                                                           |Star                           |07 34 35.3945398920 +15 29 56.863325508|203.5984258010968 +16.4020516061636|  -3.404 -3.192   |10.94    |~                 |    ~     ~    
4994|TYC 1360-395-1                                                                                           |Star                           |07 31 37.2980441136 +15 34 32.455069788|203.2189869481036 +15.7822909269144|  -0.999 -2.013   |10.97    |~                 |    ~     ~    
4995|TYC 1360-550-1                                                                                           |Star                           |07 31 38.5231414728 +16 51 15.895993248|202.0077521792960 +16.3116409843703|  -5.668 -0.117   |10.98    |~                 |    ~     ~    
4996|TYC 1360-653-1                                                                                           |Star                           |07 32 15.9481356192 +16 30 12.833243496|202.4049991570302 +16.3047440993305|   -8.787 2.134   |10.85    |~                 |    ~     ~    
4997|TYC 1360-967-1                                                                                           |Star                           |07 35 12.0265293024 +15 48 59.199347916|203.3596129717758 +16.6663934365362|  -1.893 -5.076   |10.80    |~                 |    ~     ~    
4998|TYC 1360-1234-1                                                                                          |Star                           |07 32 48.8976786024 +15 49 09.312788064|203.1113254190084 +16.1443675673608|   -0.692 1.295   |10.20    |~                 |    ~     ~    
4999|TYC 1360-1624-1                                                                                          |Star                           |07 30 18.3494726352 +16 44 02.951980980|201.9860252643605 +15.9706056966306|  -2.153 11.763   |10.72    |~                 |    ~     ~    
5000|TYC 1360-1720-1                                                                                          |Star                           |07 33 24.5260997640 +15 12 37.021759272|203.7500838600884 +16.0234967726776|   7.001 -4.318   |10.95    |~                 |    ~     ~    
5001|TYC 1360-1824-1                                                                                          |Star                           |07 31 00.9687803928 +15 14 10.012434936|203.4772393460781 +15.5088701913250|  -9.243 -3.871   |10.78    |~                 |    ~     ~    
5002|TYC 1360-1959-1                                                                                          |Star                           |07 35 36.1428787176 +16 14 01.440499848|203.0030747020890 +16.9251461689429|  -0.166 -6.120   |10.81    |~                 |    ~     ~    
5003|TYC 1360-2091-1                                                                                          |Star                           |07 35 11.4123337944 +16 17 30.583083444|202.9054772579428 +16.8585178628996| -5.064 -10.011   |10.97    |~                 |    ~     ~    
5004|TYC 1360-2184-1                                                                                          |Star                           |07 33 46.1244929520 +15 04 16.117450032|203.9192799060278 +16.0450145582747|  -3.783 -2.700   |10.59    |~                 |    ~     ~    
5005|TYC 1361-326-1                                                                                           |Star                           |07 40 11.4063416976 +15 28 16.117183884|204.2037024893446 +17.6211517763892|  -2.084 -2.991   |10.91    |~                 |    ~     ~    
5006|TYC 1361-354-1                                                                                           |Star                           |07 38 00.0061563528 +15 22 47.359739028|204.0646483640940 +17.1022344812485|  6.465 -33.574   |10.86    |~                 |    ~     ~    
5007|TYC 1361-397-1                                                                                           |Star                           |07 42 07.0862740152 +16 37 01.066844244|203.2993054431631 +18.5089639029248|  3.147 -18.961   |10.75    |~                 |    ~     ~    
5008|TYC 1361-469-1                                                                                           |Star                           |07 36 28.9431099576 +16 22 03.655721208|202.9650572069774 +17.1725497757178|  -3.117 -2.805   |10.97    |~                 |    ~     ~    
5009|TYC 1361-1203-1                                                                                          |Star                           |07 36 54.9803552424 +15 56 39.823031724|203.4139950033853 +17.0952337989175|  -8.010 -6.995   |10.97    |~                 |    ~     ~    
5010|TYC 1361-1235-1                                                                                          |Star                           |07 36 08.5830482760 +16 44 31.480964160|202.5722976579184 +17.2502095758115|   0.627 -2.260   |10.84    |~                 |    ~     ~    
5011|TYC 1361-1278-1                                                                                          |Star                           |07 37 37.1720777832 +15 28 37.320988548|203.9325516524295 +17.0584487054782|   -3.122 0.914   |10.82    |~                 |    ~     ~    
5012|2MASS J07423421+1622086                                                                                  |Red Giant Branch star          |07 42 34.2123588816 +16 22 08.471715240|203.5846581703756 +18.5084127517147|  5.000 -14.249   |10.71    |~                 |    ~     ~    
5013|TYC 1361-1374-1                                                                                          |Star                           |07 36 18.0200478768 +15 05 42.893127888|204.1594915037865 +16.6114741659530|  -4.126 -4.869   |10.73    |~                 |    ~     ~    
5014|TYC 1361-1856-1                                                                                          |Star                           |07 36 00.8712380376 +15 45 20.589917976|203.5012641997584 +16.8201544294533|  -0.387 -4.270   |10.86    |~                 |    ~     ~    
5015|TYC 1361-1896-1                                                                                          |Star                           |07 36 03.8035631424 +15 49 45.834035700|203.4360641424681 +16.8610513496833|  -3.717 -4.349   |10.54    |~                 |    ~     ~    
5016|2MASS J07430016+1645096                                                                                  |Red Giant Branch star          |07 43 00.1657640856 +16 45 09.823109688|203.2577902289653 +18.7574925319477|  -2.131 -8.703   |10.77    |~                 |    ~     ~    
5017|TYC 1361-1958-1                                                                                          |Star                           |07 43 27.8108377872 +15 55 47.026339464|204.0998329009744 +18.5273553494653|   2.550 -7.573   |10.77    |~                 |    ~     ~    
5018|TYC 1361-1966-1                                                                                          |Star                           |07 37 31.4385941160 +15 52 26.859731988|203.5435409005272 +17.1999081632455| -8.165 -11.226   |10.57    |~                 |    ~     ~    
5019|TYC 1361-2459-1                                                                                          |High Proper Motion Star        |07 42 27.9161436912 +16 28 26.644889424|203.4725651706113 +18.5276723759319|-104.754 -48.437  |10.75    |~                 |    ~     ~    
5020|TYC 1361-2633-1                                                                                          |Star                           |07 39 56.8978137264 +15 57 34.663190328|203.7105639584204 +17.7670394638162|   -3.842 0.973   |10.89    |~                 |    ~     ~    
5021|TYC 1361-2758-1                                                                                          |Star                           |07 41 37.3663822128 +15 34 19.044413832|204.2548622123500 +17.9773645744790|    1.800 5.054   |10.85    |~                 |    ~     ~    
5022|TYC 1362-1006-1                                                                                          |Star                           |07 44 11.5963183680 +15 31 41.783603628|204.5619601004881 +18.5252128110077|  -4.669 -2.569   |10.85    |~                 |    ~     ~    
5023|TYC 1364-60-1                                                                                            |Star                           |07 31 08.8885288536 +16 57 43.537610412|201.8551436052633 +16.2476692699124|   -1.884 5.116   |10.71    |~                 |    ~     ~    
5024|TYC 1364-379-1                                                                                           |Star                           |07 33 41.5827118176 +17 31 19.915362840|201.5779783730972 +17.0302368772535|  -2.059 -3.318   |10.76    |~                 |    ~     ~    
5025|2MASS J07343670+1653130                                                                                  |Red Giant Branch star          |07 34 36.7042327056 +16 53 13.064933220|202.2782801283658 +16.9739428038801|   2.501 -5.342   |10.98    |~                 |    ~     ~    
5026|TYC 1364-498-1                                                                                           |Star                           |07 31 21.1653810120 +17 18 43.366530132|201.5427303001478 +16.4347002693997|   3.808 -7.037   |10.93    |~                 |    ~     ~    
5027|TYC 1364-521-1                                                                                           |Star                           |07 32 06.4946195808 +17 34 09.931952964|201.3734051328719 +16.7037221165455| -3.992 -16.612   |10.53    |~                 |    ~     ~    
5028|TYC 1364-979-1                                                                                           |Star                           |07 35 54.9782759520 +18 23 34.969012440|200.9635757798408 +17.8635344345320|  -15.137 0.758   |10.86    |~                 |    ~     ~    
5029|TYC 1364-1116-1                                                                                          |Star                           |07 31 05.3685318960 +18 08 22.913936664|200.7264877088737 +16.7120041218952|   8.225 -2.852   |10.60    |~                 |    ~     ~    
5030|TYC 1364-1297-1                                                                                          |Star                           |07 31 45.1776735360 +17 48 37.203208524|201.1076154258946 +16.7236292563623|  -3.059 -0.955   |10.99    |~                 |    ~     ~    
5031|TYC 1364-1320-1                                                                                          |Star                           |07 32 43.5284021760 +17 48 24.846830280|201.2084047654843 +16.9340737974410|  -5.342 -0.963   |10.56    |~                 |    ~     ~    
5032|TYC 1364-1342-1                                                                                          |Star                           |07 32 51.2237987040 +18 05 45.125934360|200.9445637932147 +17.0782081942241|   -0.587 4.152   |10.95    |~                 |    ~     ~    
5033|TYC 1364-1403-1                                                                                          |Star                           |07 34 34.8236708376 +17 16 01.336397808|201.9115830847507 +17.1209241747775|   5.642 -3.369   |10.96    |~                 |    ~     ~    
5034|TYC 1364-1415-1                                                                                          |Star                           |07 33 13.6012826352 +17 46 11.310405888|201.2941466986668 +17.0283443751383|-35.774 -10.042   |10.80    |~                 |    ~     ~    
5035|TYC 1364-1499-1                                                                                          |Star                           |07 30 01.8382737048 +18 24 30.260326572|200.3641473147349 +16.5900437225501|  1.352 -32.613   |10.98    |~                 |    ~     ~    
5036|TYC 1364-1534-1                                                                                          |Star                           |07 31 01.1165068272 +16 53 40.205235156|201.9062575827251 +16.1918149966904|-20.417 -10.492   |10.67    |~                 |    ~     ~    
5037|TYC 1364-1654-1                                                                                          |Star                           |07 30 37.6126264152 +18 32 46.052254752|200.2917825676945 +16.7748375366843|   1.110 -1.603   |10.60    |~                 |    ~     ~    
5038|TYC 1364-1657-2                                                                                          |Star                           |07 30 35.3394144936 +18 02 01.593254616|200.7776270879633 +16.5604616954992|   0.718 -6.821   |10.85    |~                 |    ~     ~    
5039|TYC 1364-1678-1                                                                                          |Star                           |07 30 59.1837208152 +18 04 36.097191048|200.7763905517283 +16.6642067637244|    0.127 0.249   |10.84    |~                 |    ~     ~    
5040|TYC 1364-1756-1                                                                                          |Star                           |07 30 29.0811873648 +18 37 29.034712776|200.2024608415323 +16.7755010457625|  5.188 -20.107   |10.54    |~                 |    ~     ~    
5041|TYC 1364-1849-1                                                                                          |Star                           |07 34 29.1784029504 +18 07 09.739695720|201.0848158964279 +17.4430421092961|  -4.845 -0.997   |10.79    |~                 |    ~     ~    
5042|TYC 1364-1972-1                                                                                          |Star                           |07 33 58.4327055792 +17 17 00.377365740|201.8346931671834 +16.9951089733505|   -1.728 3.598   |10.82    |~                 |    ~     ~    
5043|TYC 1364-2106-1                                                                                          |Star                           |07 35 09.8238400392 +17 14 45.078732132|201.9907221077632 +17.2397861662924|-14.014 -26.811   |10.97    |~                 |    ~     ~    
5044|TYC 1364-2241-1                                                                                          |Star                           |07 34 55.4035918968 +17 06 58.914634752|202.0904415779651 +17.1349667329117|  -9.709 -6.528   |10.98    |~                 |    ~     ~    
5045|TYC 1365-93-1                                                                                            |Star                           |07 43 10.1878989840 +18 38 51.968275296|201.4322123724012 +19.5441227923202|    1.294 0.402   |10.67    |~                 |    ~     ~    
5046|TYC 1365-109-1                                                                                           |Star                           |07 43 28.1457012912 +18 42 41.868442728|201.3991998068773 +19.6343186046430| -0.935 -15.622   |10.56    |~                 |    ~     ~    
5047|TYC 1365-239-1                                                                                           |Star                           |07 37 31.2553255704 +18 42 56.693280456|200.8104336465092 +18.3405855415476|  15.679 -4.085   |10.54    |~                 |    ~     ~    
5048|TYC 1365-240-1                                                                                           |Star                           |07 37 05.4311714016 +17 42 21.735038484|201.7424054288275 +17.8454382403858|  -1.678 -2.484   |10.36    |~                 |    ~     ~    
5049|TYC 1365-385-1                                                                                           |Star                           |07 37 07.5886029840 +18 28 44.984787960|201.0002916116290 +18.1611493469453|   0.497 -9.569   |10.80    |~                 |    ~     ~    
5050|TYC 1365-388-1                                                                                           |Star                           |07 36 02.0536753320 +17 17 55.711356828|202.0277242501726 +17.4513086546865|  -1.838 -1.280   |10.84    |~                 |    ~     ~    
5051|TYC 1365-397-1                                                                                           |Star                           |07 43 45.5270808000 +18 31 20.358911496|201.6126821261232 +19.6235329741691|  -0.586 -5.680   |10.99    |~                 |    ~     ~    
5052|TYC 1365-473-1                                                                                           |Star                           |07 36 56.2710580392 +18 32 32.970933132|200.9204528712930 +18.1451893133693|  8.216 -10.147   |10.59    |~                 |    ~     ~    
5053|2MASS J07393931+1759195                                                                                  |Red Giant Branch star          |07 39 39.3188927112 +17 59 19.536908172|201.7254462607014 +18.5178878064730|  -0.176 -0.917   |10.96    |~                 |    ~     ~    
5054|TYC 1365-598-2                                                                                           |Star                           |07 41 42.618 +18 03 10.58              |201.867485 +18.991918              |       -1.1 2.4   |10.11    |~                 |    ~     ~    
5055|TYC 1365-765-1                                                                                           |Star                           |07 41 32.3808840648 +18 34 49.802072448|201.3374870660834 +19.1624204964017| -0.428 -14.808   |10.82    |~                 |    ~     ~    
5056|TYC 1365-913-1                                                                                           |Star                           |07 38 27.9774291432 +18 24 17.168735628|201.2047708750855 +18.4234616698376|  4.756 -10.203   |10.89    |~                 |    ~     ~    
5057|TYC 1365-974-1                                                                                           |Star                           |07 43 34.3100472144 +18 04 02.355821328|202.0382309520057 +19.4041940085272| -3.521 -11.108   |10.98    |~                 |    ~     ~    
5058|TYC 1365-1137-1                                                                                          |Star                           |07 38 45.4465576632 +18 37 15.990032244|201.0239519845415 +18.5723317509226|   -2.813 0.371   |10.74    |~                 |    ~     ~    
5059|2MASS J07412550+1740218                                                                                  |Red Giant Branch star          |07 41 25.5090900216 +17 40 21.876447216|202.2080439968536 +18.7790268543908|  0.689 -11.481   |10.75    |~                 |    ~     ~    
5060|TYC 1365-1172-1                                                                                          |Horizontal Branch Star         |07 39 48.0852744912 +17 43 55.362933696|201.9883977453277 +18.4477674128549|   1.807 -8.078   |10.94    |~                 |    ~     ~    
5061|TYC 1365-1247-1                                                                                          |Star                           |07 36 32.3186806224 +18 19 27.316805700|201.0916223131099 +17.9716715616657| 15.593 -31.904   |10.79    |~                 |    ~     ~    
5062|TYC 1365-1336-1                                                                                          |Star                           |07 38 46.5729409656 +18 09 03.264834492|201.4811478293022 +18.3904360093289| -4.090 -10.054   |10.99    |~                 |    ~     ~    
5063|TYC 1365-1567-1                                                                                          |Star                           |07 39 34.4682285984 +17 02 02.269980816|202.6394943614041 +18.1190627845215|  -6.141 -8.047   |10.78    |~                 |    ~     ~    
5064|TYC 1365-1613-1                                                                                          |Star                           |07 42 44.3260469664 +17 35 56.953078368|202.4107354896618 +19.0370880493749|  -5.660 -8.482   |10.99    |~                 |    ~     ~    
5065|TYC 1365-1947-1                                                                                          |Star                           |07 41 17.1507926064 +17 17 44.849162832|202.5591199972411 +18.5984805573123| -2.505 -30.030   |10.64    |~                 |    ~     ~    
5066|TYC 1365-2207-1                                                                                          |Star                           |07 42 30.8145482568 +16 54 32.721492132|203.0569991272813 +18.7128439759756| -7.224 -20.437   |10.82    |~                 |    ~     ~    
5067|TYC 1365-2303-1                                                                                          |Star                           |07 41 48.0005668224 +17 39 44.046241632|202.2556884343527 +18.8568092175725|  -1.896 -1.470   |10.99    |~                 |    ~     ~    
5068|TYC 1365-2354-1                                                                                          |Star                           |07 37 49.8914481072 +17 20 24.143970192|202.1690661645167 +17.8606493287281|  -2.593 -8.511   |10.80    |~                 |    ~     ~    
5069|2MASS J07444342+1750571                                                                                  |Long-Period Variable Candidate |07 44 43.4266521720 +17 50 56.917890672|202.3653986006702 +19.5701041861975|  -4.603 -7.858   |10.79    |~                 |    ~     ~    
5070|TYC 1368-353-1                                                                                           |Star                           |07 34 28.1340645768 +19 28 51.088494396|199.7712652063727 +17.9796565736523|  -0.442 -6.183   |10.96    |~                 |    ~     ~    
5071|TYC 1368-590-1                                                                                           |Star                           |07 35 51.4078386816 +20 30 57.265695324|198.9016394844461 +18.6840763569948|  -2.565 -1.869   |10.41    |~                 |    ~     ~    
5072|TYC 1368-655-1                                                                                           |Star                           |07 35 29.6931782976 +20 34 09.489224712|198.8150390854483 +18.6266565875723|  -0.209 -6.955   |10.96    |~                 |    ~     ~    
5073|TYC 1368-668-1                                                                                           |Star                           |07 33 40.3381446288 +20 27 34.276113288|198.7468778809649 +18.1907834733842|  -0.634 -1.415   |10.54    |~                 |    ~     ~    
5074|TYC 1368-959-1                                                                                           |Star                           |07 33 40.8340157712 +19 39 44.289230148|199.5191295715818 +17.8803685239742|-28.393 -19.681   |10.78    |~                 |    ~     ~    
5075|TYC 1368-1157-1                                                                                          |Star                           |07 35 28.7010521832 +20 13 11.451365832|199.1531405068505 +18.4873759146186|  -2.187 -8.777   |10.54    |~                 |    ~     ~    
5076|TYC 1368-1162-1                                                                                          |Star                           |07 31 48.8375682696 +19 44 27.421665504|199.2614965596415 +17.5075990847625|   -1.870 7.742   |10.99    |~                 |    ~     ~    
5077|TYC 1368-1489-1                                                                                          |Star                           |07 32 53.6628022224 +20 20 27.140335656|198.7869418809115 +17.9766477144036|   6.135 -7.289   |10.52    |~                 |    ~     ~    
5078|TYC 1368-1904-1                                                                                          |Star                           |07 34 35.2419569136 +19 13 43.055675472|200.0264955267207 +17.9058914282346|   7.641 -1.194   |10.66    |~                 |    ~     ~    
5079|TYC 1368-1956-1                                                                                          |Star                           |07 35 39.4922100696 +18 59 10.088389248|200.3657347043361 +18.0425171080329|  -2.631 -3.890   |10.77    |~                 |    ~     ~    
5080|TYC 1369-99-1                                                                                            |Star                           |07 41 18.9257492232 +19 15 47.496768012|200.6498227298068 +19.3803920811254|   1.018 12.139   |10.98    |~                 |    ~     ~    
5081|TYC 1369-117-1                                                                                           |Star                           |07 43 42.7744365960 +19 22 21.259785036|200.7757263070052 +19.9441619637162|  -1.513 -5.164   |10.73    |~                 |    ~     ~    
5082|TYC 1369-150-1                                                                                           |Horizontal Branch Star         |07 38 07.1428056312 +20 14 03.930673488|199.3928138391386 +19.0639621331954| -8.623 -11.363   |10.50    |~                 |    ~     ~    
5083|TYC 1369-188-1                                                                                           |Star                           |07 36 27.8149668336 +20 00 27.859618260|199.4542030186136 +18.6178387679707| -2.293 -12.073   |10.99    |~                 |    ~     ~    
5084|TYC 1369-444-1                                                                                           |Star                           |07 38 43.3229850696 +20 04 33.515018148|199.6053793818424 +19.1331489079163|  -2.158 -9.661   |10.92    |~                 |    ~     ~    
5085|TYC 1369-475-1                                                                                           |Star                           |07 36 45.2084012352 +18 50 28.880238984|200.6133546570767 +18.2233013034246|  -19.025 4.695   |10.94    |~                 |    ~     ~    
5086|TYC 1369-522-1                                                                                           |Star                           |07 43 21.4156965552 +20 22 08.907317076|199.7616918023524 +20.2496093268369|   -7.230 3.707   |10.77    |~                 |    ~     ~    
5087|TYC 1369-641-1                                                                                           |Star                           |07 38 41.3030711136 +20 27 24.558324732|199.2301397809135 +19.2729130775795|   0.012 -1.581   |10.90    |~                 |    ~     ~    
5088|TYC 1369-727-1                                                                                           |Spectroscopic Binary           |07 36 20.0354769912 +20 29 45.044048760|198.9668535595917 +18.7793148344560|  -9.417 -0.161   |10.96    |~                 |    ~     ~    
5089|TYC 1369-835-1                                                                                           |Star                           |07 41 51.7672614384 +20 09 09.559275840|199.8318353703231 +19.8430138047674|  13.625 -6.157   |10.63    |~                 |    ~     ~    
