C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:51:48

dec< 0&rah >=5.25&rah< 5.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4690

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
4214|HD 271196                                                                                                                                   |Star                                  |05 19 30.1334273616 -72 56 51.317589660|284.2551627242357 -32.5370724406355|    1.819 7.821   |10.902   |~                |    ~     ~          |    1| 1060.000   pc  | -60.1600    +60.1600    |ST-L    |2020AJ....160...83S
4215|HD 271201                                                                                                                                   |Star                                  |05 19 59.8057312128 -72 56 11.826042540|284.2324344727528 -32.5043869999895|   1.900 15.914   |10.889   |~                |    ~     ~          |    1|  826.998   pc  | -29.3800    +29.3800    |ST-L    |2020AJ....160...83S
4216|HD 271219                                                                                                                                   |Star                                  |05 21 06.4850798712 -73 05 54.177967392|284.3966161778371 -32.3879569109967|   2.475 19.623   |10.878   |~                |    ~     ~          |    1|  984.665   pc  | -35.8600    +35.8600    |ST-L    |2020AJ....160...83S
4217|HD 271168                                                                                                                                   |Star                                  |05 17 02.4412201800 -73 05 58.231358088|284.4816768851193 -32.6747432132978|   8.130 -7.490   |10.651   |G0               |    ~     ~          |    1|  303.842   pc  |  -4.6640     +4.6640    |ST-L    |2020AJ....160...83S
4218|TYC 9174-832-1                                                                                                                              |Star                                  |05 17 01.2637354368 -74 15 18.001738908|285.8077966198521 -32.3830488160216|  -6.493 -8.695   |10.361   |~                |    ~     ~          |    1|  677.718   pc  | -17.5000    +17.5000    |ST-L    |2020AJ....160...83S
4219|TYC 9365-1131-1                                                                                                                             |Star                                  |05 15 03.6937427136 -75 00 13.384911816|286.7028218186346 -32.3077690598963|   3.684 19.041   |10.464   |~                |    ~     ~          |    1|  731.167   pc  | -19.3500    +19.3500    |ST-L    |2020AJ....160...83S
4220|CD-75 216                                                                                                                                   |Star                                  |05 27 25.3296773112 -75 53 39.553597068|287.4842285862902 -31.3308332624629|    2.778 9.942   |10.62    |F0               |    ~     ~          |    0|                |                         |        |                   
4221|HD 36192                                                                                                                                    |Spectroscopic Binary                  |05 21 13.1384680320 -75 55 02.535359628|287.6191551348267 -31.6912581563607| -9.530 -13.560   |7.88     |A8III            |    ~     ~          |    1|  348.784   pc  |  -5.0242     +5.0242    |paral   |2020yCat.1350....0G
4222|CD-76 210                                                                                                                                   |Star                                  |05 16 10.1847353952 -76 51 13.273518708|288.7732461947216 -31.7203179468763|  -0.094 -9.971   |9.869    |G5               |    ~     ~          |    1|  385.565   pc  |  -6.9180     +6.9180    |ST-L    |2020AJ....160...83S
4223|CD-76 211                                                                                                                                   |Star                                  |05 16 58.1271226248 -76 20 48.210991800|288.1861849372740 -31.8205874711225|  -1.117 13.093   |10.089   |~                |    ~     ~          |    1|  648.469   pc  | -14.3000    +14.3000    |ST-L    |2020AJ....160...83S
4224|CD-76 212                                                                                                                                   |Star                                  |05 17 09.7750619136 -76 20 03.227136612|288.1682857264218 -31.8130932544459|  -0.138 -3.123   |9.98     |~                |    ~     ~          |    1|  631.194   pc  |  -5.0996     +5.0996    |paral   |2020yCat.1350....0G
4225|HD 36480                                                                                                                                    |Star                                  |05 22 43.4713191072 -76 36 52.427354148|288.3822566622808 -31.4243546689964| -15.248 14.057   |8.35     |K1III            |    ~     ~          |    1|  343.950   pc  |  -1.9283     +1.9283    |paral   |2020yCat.1350....0G
4226|HD 36753                                                                                                                                    |Star                                  |05 24 25.4393620920 -76 53 44.268718812|288.6709777370563 -31.2580250190774|   6.422 11.135   |9.606    |G8III            |    ~     ~          |    1|  486.232   pc  |  -9.1890     +9.1890    |ST-L    |2020AJ....160...83S
4227|CD-76 216                                                                                                                                   |Star                                  |05 26 20.7424375152 -76 05 23.575938612|287.7247146680246 -31.3481133495490|  -6.983 19.749   |10.498   |F5               |    ~     ~          |    1|  288.068   pc  |  -4.1690     +4.1690    |ST-L    |2020AJ....160...83S
4228|CD-76 217                                                                                                                                   |Double or Multiple Star               |05 25 52.160064 -76 42 20.66328        |288.431774946 -31.225789261        |       -7.3 6.5   |10.265   |F5               |    ~     ~          |    0|                |                         |        |                   
4229|HD 37069                                                                                                                                    |Star                                  |05 26 42.3302652432 -76 11 45.597302952|287.8393449444934 -31.3018918716188|  21.227 38.357   |9.658    |G0V              |    ~     ~          |    1|  182.950   pc  |  -1.6170     +1.6170    |ST-L    |2020AJ....160...83S
4230|HD 35435                                                                                                                                    |Star                                  |05 15 05.9350514424 -76 58 50.259887652|288.9368050295755 -31.7411492871284|  -1.160 11.269   |8.80     |K3/4(III)        |    ~     ~          |    1|  806.127   pc  | -11.1772    +11.1772    |paral   |2020yCat.1350....0G
4231|HD 35828                                                                                                                                    |High Proper Motion Star               |05 18 08.6947189272 -76 54 14.469991776|288.7923068163232 -31.5985167914706|242.964 137.877   |9.04     |G5V              |    ~     ~          |    1|   68.735   pc  |  -0.0576     +0.0576    |paral   |2020yCat.1350....0G
4232|CD-77 191                                                                                                                                   |Star                                  |05 18 16.3146168624 -77 11 13.259308380|289.1084946978468 -31.5116688716594|  1.443 -10.193   |9.883    |K5               |    ~     ~          |    1|  741.137   pc  | -24.5600    +24.5600    |ST-L    |2020AJ....160...83S
4233|CD-77 192                                                                                                                                   |Star                                  |05 19 58.3401775056 -77 04 46.641321588|288.9565411684188 -31.4508281982887|   10.173 8.948   |9.85     |M0               |    ~     ~          |    1|  828.569   pc  |  -8.5129     +8.5129    |paral   |2020yCat.1350....0G
4234|CD-77 193                                                                                                                                   |Star                                  |05 21 46.6032262176 -77 18 47.748987000|289.1878376463424 -31.2908889372682| -19.952 28.048   |10.919   |F8               |    ~     ~          |    1|  250.469   pc  |  -3.0490     +3.0490    |ST-L    |2020AJ....160...83S
4235|CD-77 194                                                                                                                                   |Star                                  |05 21 25.1193483072 -77 41 43.826123040|289.6241563165305 -31.2052134679465|  4.878 -33.652   |9.42     |~                |    ~     ~          |    1|  360.317   pc  |  -5.9780     +5.9780    |ST-L    |2020AJ....160...83S
4236|HD 37182                                                                                                                                    |Star                                  |05 26 27.2731003560 -77 43 25.456724364|289.5730354758673 -30.9393239438399|   5.662 15.372   |9.537    |F2V              |    ~     ~          |    1|  162.370   pc  |  -1.2550     +1.2550    |ST-L    |2020AJ....160...83S
4237|HD 37288                                                                                                                                    |Double or Multiple Star               |05 27 30.2930830008 -77 22 55.114400136|289.1706872025574 -30.9701278473214| -5.159 -15.181   |9.36     |F5V              |0.0000  0.0          |    1|  176.782   pc  |  -1.6310     +1.6310    |ST-L    |2020AJ....160...83S
4238|CD-78 205                                                                                                                                   |High Proper Motion Star               |05 20 50.6151386088 -77 55 13.140622200|289.8864621703390 -31.1719204789289|-102.377 278.438  |9.16     |K0               |    ~     ~          |    1|   47.217   pc  |  -0.0214     +0.0214    |paral   |2020yCat.1350....0G
4239|HD 35937                                                                                                                                    |Star                                  |05 17 18.4661908824 -78 26 46.645630008|290.5361869734715 -31.1925133321333|  -0.016 14.549   |8.74     |M0/1III          |    ~     ~          |    1|  888.968   pc  | -13.2764    +13.2764    |paral   |2020yCat.1350....0G
4240|CD-78 202                                                                                                                                   |Star                                  |05 18 32.2347751752 -78 13 11.549363916|290.2618547683687 -31.2002908009044|    5.242 8.895   |9.77     |F0               |    ~     ~          |    1|  243.055   pc  |  -4.0290     +4.0290    |paral   |2020yCat.1350....0G
4241|CD-78 203                                                                                                                                   |Star                                  |05 19 57.0124405200 -78 08 30.224231484|290.1499492196970 -31.1536565479000|   2.687 20.905   |10.113   |G5               |    ~     ~          |    1|  457.154   pc  | -10.3300    +10.3300    |ST-L    |2020AJ....160...83S
4242|CD-78 207                                                                                                                                   |Star                                  |05 21 53.6903835360 -78 09 25.196999292|290.1341730094160 -31.0535652745095|  -17.549 5.897   |10.030   |~                |    ~     ~          |    1|  127.619   pc  |  -0.8023     +0.8023    |ST-L    |2020AJ....160...83S
4243|HD 36988                                                                                                                                    |Star                                  |05 24 35.4553353408 -78 20 39.435185292|290.3005495416894 -30.8703741990690|  -8.368 -7.822   |9.283    |A5III            |    ~     ~          |    1|  240.970   pc  |  -3.3970     +3.3970    |ST-L    |2020AJ....160...83S
4244|CD-78 210                                                                                                                                   |Star                                  |05 29 42.6506663496 -78 25 34.158137340|290.3152636298691 -30.6002857669971|   -8.773 6.692   |10.094   |F8               |    ~     ~          |    1|  314.545   pc  | -19.6689    +19.6689    |paral   |2020yCat.1350....0G
4245|NGC 1956                           NGC 1956                                                                                                 |Galaxy towards a Group of Galaxies    |05 19 35.4050281776 -77 43 43.057028712|289.6931646468395 -31.2893663710987|            ~ ~   |     ~   |~                |1.693 0.745          |    1|   67.89    Mpc |                         |redshift|2007ApJ...655..790C
4246|IRAS 05231-7647                                                                                                                             |Long-Period Variable Candidate        |05 21 00.7746732408 -76 44 53.201941728|288.5637326554582 -31.4842374337671|   9.875 12.768   |10.972   |~                |    ~     ~          |    1| 1599.74    pc  | -51.6955    +51.6955    |paral   |2020yCat.1350....0G
4247|CD-76 215                                                                                                                                   |Star                                  |05 23 47.2599110184 -76 11 07.149066288|287.8770505169533 -31.4733387073209|   9.395 18.159   |10.62    |~                |    ~     ~          |    1|  400.224   pc  |  -1.9862     +1.9862    |paral   |2020yCat.1350....0G
4248|CPD-76 321                                                                                                                                  |Star                                  |05 24 32.6865892944 -76 18 31.194580140|288.0038844536062 -31.3989880559467|   5.770 21.789   |10.64    |~                |    ~     ~          |    1|  959.049   pc  | -14.9003    +14.9003    |paral   |2020yCat.1350....0G
4249|TYC 9365-1362-1                                                                                                                             |Spectroscopic Binary                  |05 15 37.3952560752 -75 52 57.373796064|287.6882715300031 -32.0287521258622|   8.491 35.306   |10.634   |~                |    ~     ~          |    1|  845.495   pc  | -27.5100    +27.5100    |ST-L    |2020AJ....160...83S
4250|CD-76 209                                                                                                                                   |Star                                  |05 15 47.0159314296 -76 34 00.904576224|288.4578547598335 -31.8244134588833| -12.634 -6.703   |10.081   |~                |    ~     ~          |    1|  641.732   pc  | -15.6600    +15.6600    |ST-L    |2020AJ....160...83S
4251|CD-78 206                                                                                                                                   |Star                                  |05 20 56.5638396096 -78 12 45.862762644|290.2125882355584 -31.0847261772804|  -1.069 30.846   |10.228   |~                |    ~     ~          |    1|  618.031   pc  | -14.9400    +14.9400    |ST-L    |2020AJ....160...83S
4252|CD-77 196                                                                                                                                   |Star                                  |05 26 03.1837382640 -77 04 42.186005508|288.8506540257055 -31.1231773890248|   3.648 11.997   |10.95    |~                |    ~     ~          |    1|  932.923   pc  | -11.2275    +11.2275    |paral   |2020yCat.1350....0G
4253|CPD-76 327                                                                                                                                  |Star                                  |05 26 30.3314302872 -76 29 17.638815948|288.1745729497350 -31.2431963885235|   1.153 12.121   |10.52    |~                |    ~     ~          |    1|  899.685   pc  |  -8.8228     +8.8228    |paral   |2020yCat.1350....0G
4254|CD-78 204                                                                                                                                   |Double or Multiple Star               |05 20 33.2952792480 -77 56 06.723824064|289.9081130927755 -31.1822262152725| 11.025 -13.694   |10.105   |~                |    ~     ~          |    1|  727.879   pc  | -26.0800    +26.0800    |ST-L    |2020AJ....160...83S
4255|IRAS 05233-7620                                                                                                                             |Star                                  |05 21 22.4659993080 -76 17 54.156303744|288.0483851770708 -31.5830650840262|   -0.241 8.533   |10.428   |~                |    ~     ~          |    1| 1591.610   pc  |-130.3000   +130.3000    |ST-L    |2020AJ....160...83S
4256|TYC 9378-694-1                                                                                                                              |Star                                  |05 24 52.3513350480 -76 17 05.532982152|287.9712455544149 -31.3860765935581|   3.966 -2.467   |10.744   |~                |    ~     ~          |    1| 1658.750   pc  |-124.4000   +124.4000    |ST-L    |2020AJ....160...83S
4257|IRAS 05280-7810                                                                                                                             |Star                                  |05 25 21.6978528192 -78 08 18.982571964|290.0573577128027 -30.8871715370131|   5.519 11.035   |10.38    |~                |    ~     ~          |    1| 1341.562   pc  | -27.8967    +27.8967    |paral   |2020yCat.1350....0G
4258|TYC 9365-1471-1                                                                                                                             |Star                                  |05 17 41.5730887056 -75 53 33.473498568|287.6583135821691 -31.9047761344255|   2.333 -1.693   |10.68    |~                |    ~     ~          |    1| 1169.317   pc  | -20.7830    +20.7830    |paral   |2020yCat.1350....0G
4259|TYC 9369-370-1                                                                                                                              |Star                                  |05 17 21.3329817360 -77 09 16.657910172|289.0891253638911 -31.5696700396923|  -4.835 29.411   |10.86    |~                |    ~     ~          |    1|  356.011   pc  |  -1.2928     +1.2928    |paral   |2020yCat.1350....0G
4260|TYC 9382-500-1                                                                                                                              |Star                                  |05 27 45.3687131160 -78 05 38.825100024|289.9702934971468 -30.7795321074580|  14.736 18.778   |10.275   |~                |    ~     ~          |    1| 1270.450   pc  | -75.4400    +75.4400    |ST-L    |2020AJ....160...83S
4261|TYC 9382-966-1                                                                                                                              |High Proper Motion Star               |05 22 08.5647821640 -78 22 01.539542676|290.3655295249764 -30.9829489367069|  47.548 65.650   |10.505   |~                |    ~     ~          |    1|  183.339   pc  |  -1.6820     +1.6820    |ST-L    |2020AJ....160...83S
4262|TYC 9382-1007-1                                                                                                                             |Star                                  |05 21 46.1651902728 -78 19 11.556945696|290.3187902639081 -31.0142530920039|    1.905 5.027   |10.22    |~                |    ~     ~          |    1|  598.767   pc  |  -3.9079     +3.9079    |paral   |2020yCat.1350....0G
4263|CD-78 199                                                                                                                                   |Star                                  |05 15 15.6185867136 -78 47 23.329367664|290.9546116618346 -31.1834930419791|   2.857 15.441   |10.35    |F0               |    ~     ~          |    1|  417.293   pc  |  -2.2811     +2.2811    |paral   |2020yCat.1350....0G
4264|HD 35950                                                                                                                                    |Star                                  |05 17 04.3852665672 -78 48 13.772824704|290.9384583806261 -31.0954132193508| -39.002 -0.925   |8.96     |K0IIIp           |    ~     ~          |    1|  297.168   pc  |  -1.0597     +1.0597    |paral   |2020yCat.1350....0G
4265|CD-78 209                                                                                                                                   |High Proper Motion Star               |05 24 41.9868239136 -78 40 36.958760616|290.6718489687680 -30.7754331126127|  -2.650 59.164   |9.61     |~                |    ~     ~          |    1|  216.822   pc  |  -2.2210     +2.2210    |ST-L    |2020AJ....160...83S
4266|HD 36568                                                                                                                                    |Star                                  |05 20 33.3100903752 -79 40 51.132647316|291.8557869905467 -30.6761038773916|  15.784 -7.339   |9.317    |K3/5             |    ~     ~          |    1|  493.947   pc  | -11.8200    +11.8200    |ST-L    |2020AJ....160...83S
4267|CD-79 214                                                                                                                                   |Star                                  |05 23 41.7237562152 -79 41 30.198499836|291.8202185865769 -30.5384960427344|    0.034 8.431   |9.27     |M                |    ~     ~          |    1| 1215.805   pc  | -22.9118    +22.9118    |paral   |2020yCat.1350....0G
4268|CD-79 215                                                                                                                                   |Star                                  |05 23 54.8521328376 -79 35 15.133305084|291.7009814185229 -30.5586615593916|  -2.273 11.203   |10.415   |G0               |    ~     ~          |    1|  614.056   pc  | -18.1200    +18.1200    |ST-L    |2020AJ....160...83S
4269|HD 37380                                                                                                                                    |Star                                  |05 25 49.0987426248 -79 45 45.461647728|291.8683362486156 -30.4277428020019|  12.287 32.163   |9.367    |F8IV/V           |    ~     ~          |    1|  181.969   pc  |  -1.8160     +1.8160    |ST-L    |2020AJ....160...83S
4270|CD-80 182                                                                                                                                   |Star                                  |05 15 06.9859 -79 56 22.477            |292.2289048 -30.8242759            |  -0.475 -2.076   |10.92    |F0               |    ~     ~          |    1|  389.318   pc  |  -7.0060     +7.0060    |ST-L    |2020AJ....160...83S
4271|CD-80 185                                                                                                                                   |Star                                  |05 19 35.1204774864 -80 53 05.361579348|293.2007890487236 -30.3467470583373|  -4.227 12.345   |10.022   |K0               |    ~     ~          |    1|  671.274   pc  | -18.3700    +18.3700    |ST-L    |2020AJ....160...83S
4272|CD-80 186                                                                                                                                   |Star                                  |05 23 38.0683870344 -80 25 39.870383664|292.6384047016393 -30.3285678201825|   2.687 13.019   |10.57    |A0               |    ~     ~          |    1|  506.422   pc  | -12.5600    +12.5600    |ST-L    |2020AJ....160...83S
4273|CD-80 187                                                                                                                                   |Star                                  |05 24 58.5858848376 -80 21 54.152145324|292.5501360133891 -30.2931132207928| 18.571 -37.878   |10.47    |K5               |    ~     ~          |    1|  122.242   pc  |  -0.1808     +0.1808    |paral   |2020yCat.1350....0G
4274|HD 37598                                                                                                                                    |Star                                  |05 25 55.0505043360 -80 50 30.116012532|293.0658943894060 -30.1198974360269|    2.530 7.015   |9.441    |G8/K0III         |    ~     ~          |    1|  591.030   pc  | -15.7200    +15.7200    |ST-L    |2020AJ....160...83S
4275|CD-80 189                                                                                                                                   |Star                                  |05 27 17.6893780680 -80 11 05.045722224|292.3179635256605 -30.2496482928561|   -6.147 9.261   |10.78    |F5               |    ~     ~          |    1|  487.190   pc  | -12.0200    +12.0200    |ST-L    |2020AJ....160...83S
4276|HD 36179                                                                                                                                    |High Proper Motion Star               |05 15 55.6696837176 -81 04 19.464088692|293.4598153531255 -30.4221690665169|  62.977 75.955   |9.54     |G8/K0(V)         |    ~     ~          |    1|   60.915   pc  |  -0.1808     +0.1808    |ST-L    |2020AJ....160...83S
4277|CPD-81 139                                                                                                                                  |Star                                  |05 16 24.5236017864 -81 11 03.808501980|293.5756317886794 -30.3675854252707|-23.833 -17.866   |10.59    |G0               |    ~     ~          |    1|  242.601   pc  |  -0.7710     +0.7710    |paral   |2020yCat.1350....0G
4278|HD 36481                                                                                                                                    |High Proper Motion Star               |05 18 05.3474478480 -80 57 52.485721164|293.3101344559882 -30.3774141225913| -48.973 45.385   |8.48     |G2V              |    ~     ~          |    1|   68.228   pc  |  -0.0745     +0.0745    |paral   |2020yCat.1350....0G
4279|HD 37134                                                                                                                                    |Double or Multiple Star               |05 22 09.35133 -81 02 20.1818          |293.33441343 -30.20313248          |   -17.59 13.93   |7.25     |A4mA5-F0         |    ~     ~          |    0|                |                         |        |                   
4280|CPD-81 143                                                                                                                                  |Star                                  |05 22 34.2205318464 -81 07 50.105500284|293.4297821803365 -30.1600004313263| -17.028 10.007   |10.641   |~                |    ~     ~          |    1|  190.474   pc  |  -1.6880     +1.6880    |ST-L    |2020AJ....160...83S
4281|NGC 2012                           NGC 2012                                                                                                 |Galaxy                                |05 22 35.4022303416 -79 51 06.643323648|292.0146618421944 -30.5393456311264|            ~ ~   |     ~   |~                |0.750 0.510          |    0|                |                         |        |                   
4282|CD-79 212                                                                                                                                   |Star                                  |05 15 49.4671322064 -79 07 34.822038108|291.3181433992116 -31.0526469013071|  24.767 23.889   |10.04    |~                |    ~     ~          |    1|  424.917   pc  |  -1.7875     +1.7875    |paral   |2020yCat.1350....0G
4283|CPD-79 177                                                                                                                                  |Star                                  |05 20 31.8809218848 -79 21 30.665894472|291.4980669225412 -30.7728023281203|   -2.680 9.261   |10.855   |~                |    ~     ~          |    1|  322.178   pc  |  -7.2540     +7.2540    |ST-L    |2020AJ....160...83S
4284|CD-79 219                                                                                                                                   |Star                                  |05 27 21.4733899560 -79 50 21.608777724|291.9322274491341 -30.3411924260321|  26.860 29.239   |10.32    |~                |    ~     ~          |    1|   87.686   pc  |  -1.0541     +1.0541    |paral   |2020yCat.1350....0G
4285|PM J05160-7935                                                                                                                              |High Proper Motion Star               |05 16 00.9638498424 -79 35 24.261163548|291.8282713994650 -30.8982834075254|  18.742 59.050   |10.446   |K5               |    ~     ~          |    1|  542.623   pc  | -15.7500    +15.7500    |ST-L    |2020AJ....160...83S
4286|CD-79 216                                                                                                                                   |Star                                  |05 23 55.0530824952 -79 47 25.597523364|291.9267907300235 -30.5008752934837|  -1.551 -2.466   |10.00    |~                |    ~     ~          |    1|  863.707   pc  |  -8.9519     +8.9519    |paral   |2020yCat.1350....0G
4287|CD-79 217                                                                                                                                   |Star                                  |05 23 58.1918526312 -79 44 54.312866268|291.8792669280032 -30.5106138481913|    0.760 4.100   |9.49     |~                |    ~     ~          |    1|  959.601   pc  | -19.3375    +19.3375    |paral   |2020yCat.1350....0G
4288|TYC 9369-1551-1                                                                                                                             |Star                                  |05 19 26.4190227480 -78 35 57.860412324|290.6702652640179 -31.0458101438023| -22.680 23.719   |10.87    |~                |    ~     ~          |    1|  152.805   pc  |  -0.2475     +0.2475    |paral   |2020yCat.1350....0G
4289|TYC 9386-444-1                                                                                                                              |Star                                  |05 23 19.6932885744 -78 55 13.812272148|290.9657238777622 -30.7724447290818|  17.339 23.337   |10.944   |~                |    ~     ~          |    1|  279.285   pc  |  -3.9510     +3.9510    |ST-L    |2020AJ....160...83S
4290|TYC 9386-554-1                                                                                                                              |Star                                  |05 29 00.2648800080 -79 36 05.301543708|291.6439137333567 -30.3337212509988|   7.433 20.697   |10.510   |~                |    ~     ~          |    1|  724.670   pc  | -22.3700    +22.3700    |ST-L    |2020AJ....160...83S
4291|TYC 9390-829-1                                                                                                                              |Star                                  |05 25 22.8830950104 -81 06 17.615732904|293.3641469233007 -30.0640291025377|   -4.022 4.797   |10.410   |~                |    ~     ~          |    1|  657.358   pc  | -16.1800    +16.1800    |ST-L    |2020AJ....160...83S
4292|CD-81 170                                                                                                                                   |High Proper Motion Star               |05 24 46.8244793976 -81 29 53.790139104|293.8060765328505 -29.9700109463847|  38.519 78.724   |10.133   |~                |    ~     ~          |    1|   49.398   pc  |  -0.1132     +0.1132    |ST-L    |2020AJ....160...83S
4293|CD-81 171                                                                                                                                   |High Proper Motion Star               |05 25 50.7943128744 -81 46 06.058401672|294.0904089026233 -29.8529538330164|  45.521 49.007   |10.455   |K0               |    ~     ~          |    1|  168.331   pc  |  -1.3420     +1.3420    |ST-L    |2020AJ....160...83S
4294|CD-81 173                                                                                                                                   |High Proper Motion Star               |05 28 18.3170159390 -81 46 31.366560296|294.0687523899937 -29.7667279690448|-29.644 -441.140  |10.13    |M                |    ~     ~          |    1|   30.373   pc  |  -0.0429     +0.0429    |ST-L    |2020AJ....160...83S
4295|CD-81 174                                                                                                                                   |Star                                  |05 29 34.6837794096 -81 34 48.650415636|293.8380270666809 -29.7774450002383|   -0.098 8.168   |9.827    |K5               |    ~     ~          |    1|  501.611   pc  | -10.0900    +10.0900    |ST-L    |2020AJ....160...83S
4296|V* TY Men                                                                                                                                   |RR Lyrae Variable                     |05 26 49.7258473752 -81 35 07.209792348|293.8766119097395 -29.8724635483625| -15.089 88.436   |8.26     |A3/4V            |    ~     ~          |    1|  144.716   pc  |  -1.0030     +1.0030    |ST-L    |2020AJ....160...83S
4297|CD-82 111                                                                                                                                   |Star                                  |05 21 55.5561308664 -82 13 55.249101804|294.6474487040257 -29.8411254506307|  -3.562 -4.950   |10.386   |F5               |    ~     ~          |    1|  299.123   pc  |  -4.4490     +4.4490    |ST-L    |2020AJ....160...83S
4298|CD-82 112                                                                                                                                   |Star                                  |05 23 53.3017001232 -82 37 14.041799544|295.0490475543530 -29.6578706241764|  16.224 28.789   |10.45    |~                |    ~     ~          |    1|  109.958   pc  |  -0.5784     +0.5784    |ST-L    |2020AJ....160...83S
4299|CPD-82 126                                                                                                                                  |High Proper Motion Star               |05 29 31.3998521424 -82 27 37.922839704|294.8106051518344 -29.5311209210055|  -4.437 51.965   |9.56     |K5               |    ~     ~          |    1|  796.440   pc  | -31.4700    +31.4700    |ST-L    |2020AJ....160...83S
4300|CD-83 97                                                                                                                                    |Star                                  |05 20 27.3886576872 -82 55 07.119372288|295.4137900735351 -29.6648691025232|  -0.390 24.897   |10.561   |F8               |    ~     ~          |    1|  166.888   pc  | -20.8000    +20.8000    |ST-L    |2020AJ....160...83S
4301|CD-84 61                                                                                                                                    |High Proper Motion Star               |05 25 11.0746150031 -84 11 43.959356559|296.7509131120007 -29.1256446391362|-112.231 -20.253  |9.90     |K0               |    ~     ~          |    1|   55.9588  pc  |  -2.6585     +2.6585    |paral   |2018yCat.1345....0G
4302|CPD-82 125                                                                                                                                  |Spectroscopic Binary                  |05 29 17.2272432600 -82 06 20.395116576|294.4220397697117 -29.6398204289666|  0.272 -11.594   |10.487   |~                |    ~     ~          |    1|  197.801   pc  |  -3.8640     +3.8640    |ST-L    |2020AJ....160...83S
4303|CPD-83 107                                                                                                                                  |High Proper Motion Star               |05 18 12.8983768896 -83 13 39.652269384|295.7749019796230 -29.6252390357726| -19.023 75.412   |10.265   |~                |    ~     ~          |    1|  280.843   pc  |  -3.6450     +3.6450    |ST-L    |2020AJ....160...83S
4304|TYC 9377-703-1                                                                                                                              |High Proper Motion Star               |05 15 55.2003239112 -81 35 14.400308544|294.0228615219986 -30.2508621663960|  14.524 55.654   |10.73    |~                |    ~     ~          |    1|  331.037   pc  |  -5.3200     +5.3200    |ST-L    |2020AJ....160...83S
4305|TYC 9377-1165-1                                                                                                                             |Star                                  |05 15 53.2397061888 -81 29 01.778589708|293.9104065911623 -30.2866654347113|   -1.325 0.492   |10.759   |~                |    ~     ~          |    1| 1085.050   pc  | -55.6600    +55.6600    |ST-L    |2020AJ....160...83S
4306|TYC 9390-240-1                                                                                                                              |Star                                  |05 25 03.3952881168 -81 54 43.234207488|294.2581485264309 -29.8369656623168|  -3.343 10.554   |10.693   |~                |    ~     ~          |    1|  162.882   pc  |  -1.2670     +1.2670    |ST-L    |2020AJ....160...83S
4307|TYC 9390-377-1                                                                                                                              |Star                                  |05 21 07.0752332784 -82 01 30.915241464|294.4313613745599 -29.9328570764135|   5.079 -4.079   |10.931   |~                |    ~     ~          |    1|  470.841   pc  | -11.0000    +11.0000    |ST-L    |2020AJ....160...83S
4308|TYC 9492-497-1                                                                                                                              |Spectroscopic Binary                  |05 20 39.8364577800 -83 16 36.539541156|295.8003755835653 -29.5409869403989| 31.808 -10.489   |10.63    |~                |    ~     ~          |    1|  127.516   pc  |  -1.0970     +1.0970    |ST-L    |2020AJ....160...83S
4309|TYC 9492-2072-1                                                                                                                             |Star                                  |05 15 29.0599588800 -83 02 20.380191324|295.6034845538507 -29.7669796538664|  -3.156 20.685   |10.38    |~                |    ~     ~          |    1|  725.364   pc  | -25.0400    +25.0400    |ST-L    |2020AJ....160...83S
4310|TYC 9492-2525-1                                                                                                                             |Star                                  |05 22 36.1881898536 -83 00 14.501371824|295.4821805648795 -29.5749791469269|   4.880 21.849   |10.458   |~                |    ~     ~          |    1|  691.868   pc  | -23.3100    +23.3100    |ST-L    |2020AJ....160...83S
4311|CD-84 58                                                                                                                                    |Star                                  |05 16 52.8222617568 -84 40 38.834300820|297.3480113035789 -29.1515622944483|   -8.752 4.747   |9.94     |K5               |    ~     ~          |    1|  316.106   pc  |  -1.2290     +1.2290    |paral   |2020yCat.1350....0G
4312|CD-84 59                                                                                                                                    |Spectroscopic Binary                  |05 21 54.0423140160 -84 24 03.816764244|297.0037868823525 -29.1354049287259| -23.367 23.066   |9.60     |~                |    ~     ~          |    1|  205.821   pc  |  -0.5211     +0.5211    |paral   |2020yCat.1350....0G
4313|CD-84 60                                                                                                                                    |Star                                  |05 21 28.0897723656 -84 46 10.590239244|297.4046531883884 -29.0205427733860|  -0.001 -2.253   |9.64     |K0               |    ~     ~          |    1|  509.217   pc  |  -2.3856     +2.3856    |paral   |2020yCat.1350....0G
4314|CD-85 60                                                                                                                                    |Star                                  |05 29 55.8572396784 -85 34 35.770708200|298.2088882708811 -28.5891727925137|   0.279 18.987   |9.97     |~                |    ~     ~          |    1|  650.026   pc  |  -5.0704     +5.0704    |paral   |2020yCat.1350....0G
