C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:39:28

dec< 0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6274

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
63  |HD 150166                                                                                                |Star                                  |16 41 04.5359386728 -40 54 10.222075152|342.5828325784621 +03.6553353158426|   1.072 -3.179   |9.82     |B8                |    ~     ~    |    1|  977.899   pc  | -24.6722    +24.6722  |paral   |2020yCat.1350....0G
64  |HD 149016                                                                                                |Star                                  |16 33 53.9533913832 -41 44 37.117065552|341.0535176793335 +04.0958410350453|   0.229 -0.021   |10.51    |A0III/IV          |    ~     ~    |    1|  476.735   pc  | -15.6139    +15.6139  |paral   |2020yCat.1350....0G
65  |HD 149074                                                                                                |Star                                  |16 34 16.2967500384 -41 54 34.117486992|340.9780766151005 +03.9325931190773| -20.562 -8.558   |9.88     |G5                |    ~     ~    |    1|  474.068   pc  |  -3.2363     +3.2363  |paral   |2020yCat.1350....0G
66  |HD 149125                                                                                                |Star                                  |16 34 31.6672483512 -41 30 01.445351436|341.3128684727356 +04.1736398209838|   0.489 -3.084   |9.76     |B7Ib              |    ~     ~    |    1| 1524.158   pc  | -34.8459    +34.8459  |paral   |2020yCat.1350....0G
67  |HD 149184                                                                                                |Star                                  |16 34 56.3686526472 -41 33 56.933318772|341.3165613741052 +04.0726385180086|  -2.578 -6.974   |10.55    |A0                |    ~     ~    |    1|  458.274   pc  |  -3.0662     +3.0662  |paral   |2020yCat.1350....0G
68  |HD 149185                                                                                                |Star                                  |16 34 57.3704176008 -41 41 43.119912084|341.2227880873697 +03.9830339614032|  -6.299 -6.362   |10.44    |B9IV/V            |    ~     ~    |    1|  982.318   pc  | -23.4483    +23.4483  |paral   |2020yCat.1350....0G
69  |HD 149247                                                                                                |Star                                  |16 35 22.1959662912 -41 46 25.290109596|341.2168591811202 +03.8731844058905|  -3.226 -1.431   |8.96     |G8II              |    ~     ~    |    1|  786.535   pc  | -11.1355    +11.1355  |paral   |2020yCat.1350....0G
70  |HD 149449                                                                                                |Star                                  |16 36 50.7584327448 -41 55 34.443475140|341.2886255631395 +03.5670866755356|  -1.838 -7.995   |9.86     |A3+F              |    ~     ~    |    1|  520.779   pc  |  -3.7970     +3.7970  |paral   |2020yCat.1350....0G
71  |HD 149493                                                                                                |Star                                  |16 37 05.4486556488 -41 53 12.350380596|341.3485615482675 +03.5596949619781|    6.135 1.222   |10.34    |A8/F0             |    ~     ~    |    1|  495.786   pc  |  -4.9898     +4.9898  |paral   |2020yCat.1350....0G
72  |HD 149566                                                                                                |Star                                  |16 37 26.7619165680 -41 20 42.772078212|341.7964737962131 +03.8725872429374|  -2.259 -3.329   |9.65     |B9Ib/II           |    ~     ~    |    1|  706.414   pc  |  -8.1839     +8.1839  |paral   |2020yCat.1350....0G
73  |HD 149726                                                                                                |Star                                  |16 38 31.2273612720 -41 38 07.008818100|341.7144874567136 +03.5291818508308|-12.916 -23.775   |9.45     |F0V               |    ~     ~    |    1|  173.452   pc  |  -0.5506     +0.5506  |paral   |2020yCat.1350....0G
74  |HD 149740                                                                                                |Star                                  |16 38 32.8744171296 -41 23 30.887909556|341.8998213557016 +03.6874262245654|   7.862 -2.448   |10.56    |F3/5V             |    ~     ~    |    1|  369.645   pc  |  -2.1862     +2.1862  |paral   |2020yCat.1350....0G
75  |HD 149811                                                                                                |Star                                  |16 38 54.9417843144 -41 19 15.267601308|341.9989552361625 +03.6831581029609|  -1.571 -6.506   |10.87    |F8                |    ~     ~    |    1|  700.820   pc  |  -8.5951     +8.5951  |paral   |2020yCat.1350....0G
76  |HD 325792                                                                                                |Star                                  |16 39 36.5682069432 -41 30 26.396413812|341.9459063724648 +03.4620925394399|  -4.237 -6.626   |10.80    |A0                |    ~     ~    |    1|  840.619   pc  | -12.2955    +12.2955  |paral   |2020yCat.1350....0G
77  |HD 149939                                                                                                |Star                                  |16 39 39.6031283856 -41 41 14.582028264|341.8172513621959 +03.3355458480353|  -4.603 -8.038   |9.39     |G3/5(III)         |    ~     ~    |    1|  443.653   pc  | -18.5600    +18.5600  |ST-L    |2020AJ....160...83S
