C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:39:28

dec< 0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6274

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
4732|HD 330989                                                                                                |Star                                  |16 34 27.1727451984 -47 56 27.065503392|336.5571033136076 -00.1738550079615| -9.038 -15.399   |9.62     |K5                |    ~     ~    |    1|  709.220   pc  |  -7.4946     +7.4946  |paral   |2020yCat.1350....0G
4733|HD 330990                                                                                                |Star                                  |16 34 36.8593796232 -47 57 58.442265828|336.5567285956040 -00.2109333917938|-20.194 -18.996   |10.64    |G0                |    ~     ~    |    1|  228.232   pc  |  -2.8858     +2.8858  |paral   |2020yCat.1350....0G
4734|HD 330994                                                                                                |Star                                  |16 36 31.0530789288 -48 10 02.237845224|336.6228443108100 -00.5812746100633|   5.010 -0.410   |10.44    |K0                |    ~     ~    |    1|  722.909   pc  |  -8.1525     +8.1525  |paral   |2020yCat.1350....0G
4735|HD 331016                                                                                                |Star                                  |16 38 03.0069176304 -48 43 21.549056376|336.3811998602770 -01.1422041280568|   1.163 -4.330   |9.63     |A                 |    ~     ~    |    1| 1169.317   pc  | -31.0378    +31.0378  |paral   |2020yCat.1350....0G
4736|V* V871 Ara                                                                                              |Eclipsing Binary                      |16 37 23.3269179336 -48 42 10.476447948|336.3228271588678 -01.0479448188790|   1.193 -4.302   |10.90    |A                 |    ~     ~    |    1| 1107.420   pc  | -23.9144    +23.9144  |paral   |2020yCat.1350....0G
4737|HD 328861                                                                                                |Star                                  |16 43 55.5111681432 -47 11 26.016640836|338.1809767947507 -00.8659303875318|  -2.603 -2.350   |10.30    |A0                |    ~     ~    |    0|                |                       |        |                   
4738|HD 328860                                                                                                |Star                                  |16 44 14.7166556184 -47 13 44.609370420|338.1874384328248 -00.9322285501015| -8.427 -10.576   |10.75    |A2                |    ~     ~    |    1|  707.364   pc  |  -8.4061     +8.4061  |paral   |2020yCat.1350....0G
4739|HD 150592                                                                                                |Star                                  |16 44 18.0720794208 -47 03 49.309930764|338.3187769648744 -00.8312882581872|   0.775 -4.657   |8.72     |A0/1V             |    ~     ~    |    1|  633.633   pc  | -22.3631    +22.3631  |paral   |2020yCat.1350....0G
4740|HD 328840                                                                                                |Star                                  |16 44 30.7065680184 -46 52 54.934612896|338.4798375319496 -00.7396620129748|  0.498 -10.942   |9.72     |K0                |    ~     ~    |    1|  541.947   pc  |  -5.1986     +5.1986  |paral   |2020yCat.1350....0G
4741|HD 150658                                                                                                |Star                                  |16 44 40.4833951392 -47 02 17.305587780|338.3797039217064 -00.8627518319728|  -0.828 -4.812   |8.89     |B7Ib/II           |    ~     ~    |    1| 1118.318   pc  | -29.3899    +29.3899  |paral   |2020yCat.1350....0G
4742|HD 150134                                                                                                |Star                                  |16 41 24.8124939504 -47 58 09.249368556|337.3157252223580 -01.0590131295240|  -0.382 -3.895   |9.84     |B3II/III          |    ~     ~    |    1| 1229.330   pc  | -86.0500    +86.0500  |ST-L    |2020AJ....160...83S
4743|HD 150198                                                                                                |Star                                  |16 41 43.8524285784 -48 03 49.165767864|337.2798440160945 -01.1612115638739|  -2.115 -6.213   |8.92     |B9Ib/II           |    ~     ~    |    1|  648.508   pc  | -10.6823    +10.6823  |paral   |2020yCat.1350....0G
4744|HD 150289                                                                                                |Star                                  |16 42 17.2740453912 -48 00 13.476155580|337.3863049013806 -01.1917379225663|  -4.117 -6.140   |9.24     |K1/2(III)         |    ~     ~    |    1|  588.023   pc  | -24.0300    +24.0300  |ST-L    |2020AJ....160...83S
4745|HD 150373                                                                                                |Star                                  |16 42 55.4238217296 -47 32 04.592968728|337.8099981782627 -00.9635959027995|  -1.070 -2.123   |10.2     |B3V               |    ~     ~    |    1| 2657.454   pc  |-129.2357   +129.2357  |paral   |2020yCat.1350....0G
4746|HD 150374                                                                                                |Star                                  |16 42 55.6661404632 -47 34 38.476045164|337.7782195973027 -00.9921973160770|  14.983 -5.708   |9.92     |F2V               |    ~     ~    |    1|  210.323   pc  |  -1.1413     +1.1413  |paral   |2020yCat.1350....0G
4747|CD-47 10974                                                                                              |Star                                  |16 43 08.5629076968 -48 00 27.889622568|337.4773213452583 -01.3020970668116|-31.191 -22.296   |10.65    |F5                |    ~     ~    |    1|  296.709   pc  |  -1.3646     +1.3646  |paral   |2020yCat.1350....0G
4748|CD-47 10978                                                                                              |Star                                  |16 43 14.1615134472 -47 54 39.198412476|337.5606685697868 -01.2503059642687|  -0.167 -4.745   |10.26    |A2                |    ~     ~    |    1| 1127.777   pc  | -16.7888    +16.7888  |paral   |2020yCat.1350....0G
4749|HD 150444                                                                                                |Star                                  |16 43 16.8794653272 -48 05 13.861399056|337.4325785754064 -01.3717102320105|-24.522 -36.626   |8.99     |G6/8(III)         |    ~     ~    |    1|  318.959   pc  |  -1.7498     +1.7498  |paral   |2020yCat.1350....0G
4750|HD 150478                                                                                                |Star                                  |16 43 35.9527385544 -47 35 59.261885916|337.8355970641371 -01.0923463182108|   5.996 -5.492   |9.33     |G8/K0             |    ~     ~    |    1|  455.415   pc  |  -4.1895     +4.1895  |paral   |2020yCat.1350....0G
4751|CD-47 10986                                                                                              |Star                                  |16 43 37.6435932528 -47 44 46.008180816|337.7281760560620 -01.1918294737207|  17.257 -5.781   |10.48    |F2                |    ~     ~    |    1|  303.463   pc  |  -1.3813     +1.3813  |paral   |2020yCat.1350....0G
4752|HD 328866                                                                                                |Star                                  |16 43 35.9802713448 -47 27 12.822080544|337.9461031163331 -00.9965514817509|  -0.108 -2.039   |10.65    |B5                |    ~     ~    |    1| 1954.652   pc  | -76.4133    +76.4133  |paral   |2020yCat.1350....0G
4753|HD 150489                                                                                                |Star                                  |16 43 40.7103951696 -47 20 09.490001964|338.0436754962786 -00.9295570066575|   2.578 -8.153   |9.25     |A1V               |    ~     ~    |    1|  412.958   pc  | -10.7900    +10.7900  |ST-L    |2020AJ....160...83S
4754|CD-47 10989                                                                                              |Star                                  |16 43 54.4187556096 -47 51 44.642120112|337.6710463013318 -01.3034739007539|  -2.804 -4.286   |10.53    |~                 |    ~     ~    |    1| 4428.698   pc  |-307.9298   +307.9298  |paral   |2020yCat.1350....0G
4755|HD 150501                                                                                                |Star                                  |16 43 45.1155346968 -47 43 36.778061100|337.7564289074030 -01.1950466159031| -8.447 -15.900   |10.43    |A0                |    ~     ~    |    1|  555.432   pc  | -10.3349    +10.3349  |paral   |2020yCat.1350....0G
4756|NGC 6200 11                        HD 328867A                                                            |Star                                  |16 43 52.6561116936 -47 30 39.488608656|337.9334947514583 -01.0696384716914|  -1.069 -2.259   |9.86     |OB+               |    ~     ~    |    1| 2929.115   pc  |-162.1567   +162.1567  |paral   |2020yCat.1350....0G
4757|HD 328863                                                                                                |Star                                  |16 43 55.6825255224 -47 21 27.267334308|338.0550393702548 -00.9756473139561|   0.505 -3.678   |9.63     |K2                |    ~     ~    |    1|  710.328   pc  | -12.9673    +12.9673  |paral   |2020yCat.1350....0G
4758|HD 150547                                                                                                |Star                                  |16 44 00.1610855040 -47 32 05.664886980|337.9292233955064 -01.1012724578257|-10.183 -18.327   |9.56     |A1V               |    ~     ~    |    1|  560.036   pc  | -44.5996    +44.5996  |paral   |2020yCat.1350....0G
4759|CD-47 10999                                                                                              |Star                                  |16 44 06.6322960152 -47 27 29.322026712|337.9992013045105 -01.0648155589245|  -1.030 -2.249   |10.40    |~                 |    ~     ~    |    1| 2543.235   pc  |-117.0716   +117.0716  |paral   |2020yCat.1350....0G
4760|HD 328868                                                                                                |Star                                  |16 44 22.1884236696 -47 35 03.485693400|337.9323699001284 -01.1804302590915|   0.304 -0.663   |9.79     |F5                |    ~     ~    |    1|  690.942   pc  |  -8.4500     +8.4500  |paral   |2020yCat.1350....0G
4761|CD-47 11006                                                                                              |Star                                  |16 44 22.5637790592 -47 32 47.171733000|337.9617230393429 -01.1564798404747|  -1.687 -2.196   |10.87    |~                 |    ~     ~    |    1| 1150.483   pc  | -38.2524    +38.2524  |paral   |2020yCat.1350....0G
4762|CD-47 11009                                                                                              |Star                                  |16 44 30.0001302528 -47 40 47.290211796|337.8743982520756 -01.2594392031541|  -0.666 -1.677   |10.94    |~                 |    ~     ~    |    0|                |                       |        |                   
4763|HD 150627                                                                                                |Pulsating Variable                    |16 44 34.6154046264 -47 28 26.721854652|338.0386690039335 -01.1348871340411|   1.799 -2.317   |10.3     |B3II              |    ~     ~    |    1| 1272.588   pc  | -30.7701    +30.7701  |paral   |2020yCat.1350....0G
4764|CD-47 11012                                                                                              |Star                                  |16 44 38.3700115104 -47 49 52.888237752|337.7749159098316 -01.3761745129894| -5.367 -11.859   |10.09    |~                 |    ~     ~    |    1|  571.919   pc  |  -5.5933     +5.5933  |paral   |2020yCat.1350....0G
4765|HD 150648                                                                                                |Star                                  |16 44 39.6636773496 -47 46 31.576637460|337.8196488389242 -01.3424071722150|   1.439 -2.515   |9.75     |B8                |    ~     ~    |    1| 1966.182   pc  | -93.9407    +93.9407  |paral   |2020yCat.1350....0G
4766|HD 150659                                                                                                |Star                                  |16 44 41.9471504784 -48 00 49.751173548|337.6431771124921 -01.5028550839636|   1.113 -4.708   |9.75     |B2/3III           |    ~     ~    |    1| 1139.500   pc  |-105.4000   +105.4000  |ST-L    |2020AJ....160...83S
4767|NGC 6200 3                         CD-47 11015                                                           |Pulsating Variable                    |16 44 46.3507078992 -47 23 19.660703676|338.1248871886841 -01.1042508741101|  -2.233 -3.195   |11.03    |OB                |    ~     ~    |    1| 3475.843   pc  |-202.9689   +202.9689  |paral   |2020yCat.1350....0G
4768|HD 150675                                                                                                |Star                                  |16 44 52.9412292984 -47 38 41.673586740|337.9428750930131 -01.2854268075072| -4.412 -10.502   |7.10     |K1II              |    ~     ~    |    1|  369.563   pc  |  -2.8408     +2.8408  |paral   |2020yCat.1350....0G
4769|NGC 6200 1                         HD 328870                                                             |Star                                  |16 44 58.3933560144 -47 32 00.411078768|338.0373778257134 -01.2243367261595|  -0.950 -1.984   |10.64    |B8                |    ~     ~    |    1| 2510.040   pc  |-124.7460   +124.7460  |paral   |2020yCat.1350....0G
4770|CD-47 10946                                                                                              |Star                                  |16 41 29.2328445864 -48 13 46.149082932|337.1284204656946 -01.2401550572892|  -0.580 -1.555   |10.06    |F0                |    ~     ~    |    1| 2602.134   pc  |-111.7232   +111.7232  |paral   |2020yCat.1350....0G
4771|HD 150401                                                                                                |Star                                  |16 43 05.7619434864 -48 11 39.928801092|337.3313507372463 -01.4187754777156|  -1.563 -2.742   |9.25     |B3II/III          |    ~     ~    |    0|                |                       |        |                   
4772|CD-48 11043                                                                                              |Star                                  |16 40 12.5410444392 -48 47 09.473524008|336.5710100794581 -01.4498031943097| -16.726 -7.086   |10.18    |F2                |    ~     ~    |    1|  467.355   pc  |  -5.5479     +5.5479  |paral   |2020yCat.1350....0G
4773|CD-48 11045                                                                                              |Star                                  |16 40 15.3822133320 -48 23 29.815590912|336.8713698281674 -01.1940592372604|  -4.245 -6.362   |10.90    |A3                |    ~     ~    |    1|  908.265   pc  | -17.2414    +17.2414  |paral   |2020yCat.1350....0G
4774|HD 150007                                                                                                |Double or Multiple Star               |16 40 30.7158003312 -48 29 19.137815340|336.8268249808305 -01.2901255718810|-25.307 -16.157   |9.16     |F0V               |    ~     ~    |    1|  239.441   pc  | -13.5934    +13.5934  |paral   |2020yCat.1350....0G
4775|CD-48 11055                                                                                              |Star                                  |16 40 43.6046996544 -48 48 51.871502340|336.6062260793004 -01.5324963555654| -9.259 -17.430   |9.84     |A7                |    ~     ~    |    1|  266.411   pc  |  -2.2854     +2.2854  |paral   |2020yCat.1350....0G
4776|NGC 6193 19                        HD 150041                                                             |Star                                  |16 40 44.5831489080 -48 45 22.209141924|336.6516652106054 -01.4959479317034|   1.348 -3.945   |7.07     |B1/2Ib            |    ~     ~    |    1| 1146.921   pc  | -38.5420    +38.5420  |paral   |2020yCat.1350....0G
4777|NGC 6193 18                        CD-48 11060                                                           |Spectroscopic Binary                  |16 40 52.8849751560 -48 48 50.070687948|336.6234622442705 -01.5512510555338|   1.172 -3.994   |10.69    |B3:V:             |    ~     ~    |    1| 1178.550   pc  | -25.5573    +25.5573  |paral   |2020yCat.1350....0G
4778|CD-48 11066                                                                                              |Star                                  |16 41 10.9426791264 -48 17 54.094847316|337.0431822713358 -01.2475880652679|  -6.756 -4.421   |10.56    |A5                |    ~     ~    |    1|  378.888   pc  |  -2.4692     +2.4692  |paral   |2020yCat.1350....0G
4779|NGC 6193 11                        NGC 6193 11                                                           |Variable Star                         |16 41 18.8635022496 -48 44 31.047282600|336.7246417592380 -01.5571844329950|   1.412 -3.757   |12.57    |A0                |    ~     ~    |    1| 1243.008   pc  | -30.1288    +30.1288  |paral   |2020yCat.1350....0G
4780|NGC 6193 14                        NGC 6193 14                                                           |Star                                  |16 41 17.8196667192 -48 47 05.558541360|336.6905184349338 -01.5833913252587|   1.045 -4.404   |13.97    |~                 |    ~     ~    |    1| 1156.069   pc  | -26.8636    +26.8636  |paral   |2020yCat.1350....0G
4781|NGC 6193 2                         HD 150135                                                             |Star                                  |16 41 19.4443334664 -48 45 47.568769200|336.7097348523386 -01.5724262188877|   0.891 -3.834   |6.88     |O6.5V((f))z       |    ~     ~    |    1| 1288.494   pc  | -40.6753    +40.6753  |paral   |2020yCat.1350....0G
4782|NGC 6193 1                         HD 150136                                                             |Spectroscopic Binary                  |16 41 20.4155898816 -48 45 46.730465028|336.7116728148690 -01.5742748702679|   2.514 -4.309   |5.65     |O3.5-4III(f*)+O6IV|    ~     ~    |    1| 1442.169   pc  |-100.6648   +100.6648  |paral   |2020yCat.1350....0G
4783|2MASS J16412088-4845589                                                                                  |Pulsating Variable                    |16 41 20.8856898216 -48 45 59.122929060|336.7099409702182 -01.5775182856033|   0.937 -4.182   |10.1     |~                 |    ~     ~    |    1| 1200.048   pc  | -30.5304    +30.5304  |paral   |2020yCat.1350....0G
4784|NGC 6193 10                        NGC 6193 10                                                           |Star                                  |16 41 24.0384769992 -48 46 17.472214308|336.7118344776828 -01.5873855636333|   1.219 -3.904   |12.29    |~                 |    ~     ~    |    1| 1243.626   pc  | -32.9427    +32.9427  |paral   |2020yCat.1350....0G
4785|NGC 6193 9                         NGC 6193 9                                                            |Star                                  |16 41 24.4004959152 -48 45 52.541771328|336.7176929473285 -01.5835579813746|   1.677 -3.904   |12.27    |~                 |    ~     ~    |    1|  873.134   pc  | -38.9567    +38.9567  |paral   |2020yCat.1350....0G
4786|NGC 6193 7                         CD-48 11071                                                           |Spectroscopic Binary                  |16 41 25.8575675328 -48 45 14.265224424|336.7283237105704 -01.5795407393810|   1.465 -3.849   |8.44     |B0V               |    ~     ~    |    1| 1194.030   pc  | -36.9258    +36.9258  |paral   |2020yCat.1350....0G
4787|CD-48 11072                                                                                              |Star                                  |16 41 26.8470301248 -48 50 47.219309196|336.6606409534702 -01.6426591290231|  -1.215 -1.713   |10.76    |B8                |    ~     ~    |    1| 1015.847   pc  | -25.0763    +25.0763  |paral   |2020yCat.1350....0G
4788|NGC 6193 13                        NGC 6193 13                                                           |Star                                  |16 41 28.5218163144 -48 46 22.261337580|336.7189690506318 -01.5975088297921|   1.290 -3.886   |14.75    |~                 |    ~     ~    |    1| 1217.878   pc  | -39.0089    +39.0089  |paral   |2020yCat.1350....0G
4789|NGC 6193 3                         CD-48 11074                                                           |Star                                  |16 41 28.8572157360 -48 47 47.702194800|336.7017466981815 -01.6138720125190|   -0.765 2.385   |9.03     |~                 |    ~     ~    |    1|  240.367   pc  |  -2.9813     +2.9813  |paral   |2020yCat.1350....0G
4790|NGC 6193 12                        NGC 6193 12                                                           |Star                                  |16 41 31.6711849440 -48 46 43.518955656|336.7202445419531 -01.6079023610787|   0.580 -3.395   |12.62    |~                 |    ~     ~    |    1| 1163.738   pc  | -26.9503    +26.9503  |paral   |2020yCat.1350....0G
4791|NGC 6193 6                         CD-48 11075                                                           |Star                                  |16 41 33.2046689064 -48 45 06.634861308|336.7432481149362 -01.5932990967348|   1.726 -3.700   |10.07    |B2V               |    ~     ~    |    1| 1165.230   pc  | -34.2155    +34.2155  |paral   |2020yCat.1350....0G
4792|NGC 6193 23                        CD-48 11076                                                           |Star                                  |16 41 33.0722266848 -48 33 59.632324560|336.8822227274125 -01.4707098697283|   1.021 -4.044   |10.29    |B1IV              |    ~     ~    |    1| 1082.830   pc  | -82.5700    +82.5700  |ST-L    |2020AJ....160...83S
4793|NGC 6193 5                         CD-48 11077                                                           |Spectroscopic Binary                  |16 41 34.9085304048 -48 46 24.152761236|336.7301573517880 -01.6110283305891|   1.431 -4.153   |10.28    |B3V               |    ~     ~    |    1| 1115.698   pc  | -64.6042    +64.6042  |paral   |2020yCat.1350....0G
4794|NGC 6193 4                         CD-48 11080                                                           |Star                                  |16 41 36.3113761920 -48 47 14.938330452|336.7220986834989 -01.6232330538858|   1.180 -3.801   |10.1     |B1.5IV            |    ~     ~    |    1| 1257.387   pc  | -34.4663    +34.4663  |paral   |2020yCat.1350....0G
4795|NGC 6193 24                        CD-48 11082                                                           |Star                                  |16 41 46.3057846464 -48 47 41.481171600|336.7346651179376 -01.6487133830978|   1.373 -3.994   |10.4     |B2IV              |    ~     ~    |    1| 1123.596   pc  | -26.0068    +26.0068  |paral   |2020yCat.1350....0G
4796|CD-48 11085                                                                                              |Star                                  |16 41 49.3790361024 -48 42 06.953361192|336.8101115392288 -01.5937713531396|  -0.028 32.724   |9.98     |G8                |    ~     ~    |    1|  227.941   pc  |  -0.9612     +0.9612  |paral   |2020yCat.1350....0G
4797|NGC 6193 25                        CD-48 11086                                                           |Star                                  |16 41 54.8205257928 -48 45 22.766172912|336.7790681091333 -01.6408805627864|   1.666 -6.912   |10.36    |B7                |    ~     ~    |    0|                |                       |        |                   
4798|NGC 6193 26                        CD-48 11088                                                           |Spectroscopic Binary                  |16 42 00.4657872192 -48 42 32.493492324|336.8248813385491 -01.6213704712204|   1.481 -3.979   |9.99     |B7                |    ~     ~    |    1| 1051.746   pc  | -26.8799    +26.8799  |paral   |2020yCat.1350....0G
4799|NGC 6193 27                        CD-48 11090                                                           |Star                                  |16 42 05.6899749096 -48 42 56.763214236|336.8292766259621 -01.6366165282112|   1.727 -3.917   |10.55    |B8                |    ~     ~    |    1| 1160.631   pc  | -31.3866    +31.3866  |paral   |2020yCat.1350....0G
4800|HD 150262                                                                                                |Star                                  |16 42 09.4333386240 -48 32 34.071523260|336.9662503540530 -01.5304214658249|  -1.910 -3.637   |9.328    |G5/6III           |    ~     ~    |    1|  833.349   pc  | -44.0700    +44.0700  |ST-L    |2020AJ....160...83S
4801|HD 150271                                                                                                |Star                                  |16 42 17.0157110832 -48 33 55.234789416|336.9630557844678 -01.5610058590123| -9.922 -18.361   |9.72     |A3/5IV            |    ~     ~    |    1|  479.226   pc  |  -6.9127     +6.9127  |paral   |2020yCat.1350....0G
4802|CD-48 11106                                                                                              |Pulsating Variable                    |16 42 47.5632639600 -48 42 43.209613872|336.9078937465701 -01.7208272892816|   0.508 -0.654   |10.45    |B9                |    ~     ~    |    1|  906.536   pc  | -59.2523    +59.2523  |paral   |2020yCat.1350....0G
4803|HD 150423                                                                                                |Star                                  |16 43 12.9445153176 -48 16 32.327745492|337.2831448451286 -01.4871278670629|   1.408 -3.843   |9.28     |B2III             |    ~     ~    |    1| 1004.319   pc  | -47.4068    +47.4068  |paral   |2020yCat.1350....0G
4804|TYC 8330-260-1                                                                                           |High Proper Motion Star               |16 43 39.3597194016 -48 11 25.483021620|337.3956083156473 -01.4865895331992|-115.206 -83.135  |10.91    |K5                |    ~     ~    |    1|   86.170   pc  |  -0.1247     +0.1247  |paral   |2020yCat.1350....0G
4805|HD 150502                                                                                                |Star                                  |16 43 47.0601263832 -48 30 05.701368600|337.1743602924723 -01.7065212831763|  -0.243 -3.540   |9.82     |B8/9IV/V          |    ~     ~    |    1|  950.390   pc  | -26.9166    +26.9166  |paral   |2020yCat.1350....0G
4806|CD-48 11126                                                                                              |Star                                  |16 44 04.8261103656 -48 16 31.874657448|337.3775397434949 -01.5957360204055|  -1.179 -5.922   |10.24    |F8                |    ~     ~    |    1| 1173.158   pc  | -21.8832    +21.8832  |paral   |2020yCat.1350....0G
4807|NGC 6200                           NGC 6200                                                              |Open Cluster                          |16 44 06.0 -47 28 00                   |337.9916 -01.0690                  |    -0.33 -5.81   |7.4      |~                 |14.00 14.00    |    1| 1967       pc  |                       |        |2017AstBu..72..257L
4808|CD-48 11059                                                                                              |Star                                  |16 40 51.4963854480 -48 49 24.313128240|336.6138066070633 -01.5546897306098|   1.642 -4.521   |10.71    |B7                |    ~     ~    |    1| 1217.137   pc  | -37.4800    +37.4800  |paral   |2020yCat.1350....0G
4809|[SC96] Mis 110                                                                                           |Star                                  |16 41 42.0 -48 03 00                   |337.2867 -01.1483                  |            ~ ~   |8.53     |~                 |    ~     ~    |    0|                |                       |        |                   
4810|[SC96] Mis 117                                                                                           |Star                                  |16 43 12.0 -48 17 00                   |337.2756 -01.4902                  |            ~ ~   |8.50     |~                 |    ~     ~    |    0|                |                       |        |                   
4811|[SC96] Mis 123                                                                                           |Star                                  |16 43 54.0 -47 07 00                   |338.2340 -00.8143                  |            ~ ~   |6.75     |~                 |    ~     ~    |    0|                |                       |        |                   
4812|[SC96] Mis 127                                                                                           |UV-emission Source                    |16 44 12.0 -47 28 00                   |338.0026 -01.0818                  |            ~ ~   |6.80     |~                 |    ~     ~    |    0|                |                       |        |                   
4813|CD-48 11099                                                                                              |Star                                  |16 42 25.9810516584 -48 24 54.748599732|337.0924180375843 -01.4808144891278|-12.142 -14.047   |9.70     |~                 |    ~     ~    |    1|  900.739   pc  | -18.3361    +18.3361  |paral   |2020yCat.1350....0G
4814|CPD-46 8182                                                                                              |Star                                  |16 44 55.8647653128 -46 48 24.103544688|338.5836417165086 -00.7448520874819|  -0.922 -1.713   |9.65     |~                 |    ~     ~    |    0|                |                       |        |                   
4815|CD-48 11050                                                                                              |Star                                  |16 40 30.2575531848 -48 52 21.405608256|336.5383541968340 -01.5436310112915|   0.952 -6.967   |10.37    |A3                |    ~     ~    |    1|  722.857   pc  | -10.3982    +10.3982  |paral   |2020yCat.1350....0G
4816|NGC 6193 17                        CD-48 11051                                                           |Star                                  |16 40 33.8980280640 -48 53 16.138367700|336.5335746072017 -01.5611760795514|   1.017 -4.076   |10.35    |OB:               |    ~     ~    |    1| 1184.133   pc  | -23.2760    +23.2760  |paral   |2020yCat.1350....0G
4817|NGC 6193 22                        CD-48 11065                                                           |Star                                  |16 41 08.4761998680 -48 52 21.637675668|336.6076582060932 -01.6221880586300|   1.139 -4.017   |11.03    |B7                |    ~     ~    |    1| 1207.438   pc  | -33.6776    +33.6776  |paral   |2020yCat.1350....0G
4818|CD-48 11091                                                                                              |Star                                  |16 42 10.8995556768 -48 55 55.197266952|336.6759283355690 -01.7898017382055|   -5.476 0.599   |9.94     |F8                |    ~     ~    |    1|  179.908   pc  |  -0.5794     +0.5794  |paral   |2020yCat.1350....0G
4819|HD 150403                                                                                                |Star                                  |16 43 10.0996084056 -48 52 37.242592752|336.8240260132243 -01.8758357982678|  -0.291 -4.805   |7.42     |K5III             |    ~     ~    |    1|  589.484   pc  |  -7.9923     +7.9923  |paral   |2020yCat.1350....0G
4820|HD 150402                                                                                                |Star                                  |16 43 09.3513910272 -48 46 15.783207708|336.9026750319084 -01.8047538343293| -5.876 -21.159   |9.465    |K3/4(III)         |    ~     ~    |    1|  327.598   pc  |  -6.2620     +6.2620  |ST-L    |2020AJ....160...83S
4821|HD 150404                                                                                                |Star                                  |16 43 12.3168733872 -48 56 01.326715620|336.7852080613844 -01.9176144238589|  -1.169 -8.927   |10.27    |A2/3V             |    ~     ~    |    1|  877.655   pc  | -16.2529    +16.2529  |paral   |2020yCat.1350....0G
4822|CD-48 11119                                                                                              |Star                                  |16 43 37.7966796000 -48 51 49.230415908|336.8838970663377 -01.9244099402760| -7.154 -10.401   |10.86    |A3                |    ~     ~    |    1|  831.324   pc  | -14.9278    +14.9278  |paral   |2020yCat.1350....0G
4823|CD-48 11123                                                                                              |Star                                  |16 43 55.3512127944 -48 28 49.552180104|337.2053521561705 -01.7099813661163|   0.090 -0.945   |10.65    |~                 |    ~     ~    |    0|                |                       |        |                   
4824|HD 150535                                                                                                |Star                                  |16 43 55.2028181304 -48 30 41.758314624|337.1815072699380 -01.7300703899002|  -1.472 -1.846   |8.12     |B9.5IV/V          |    ~     ~    |    1|  405.449   pc  |  -4.8495     +4.8495  |paral   |2020yCat.1350....0G
4825|V* V835 Ara                                                                                              |alpha2 CVn Variable                   |16 44 11.4498857664 -48 39 18.114773796|337.1022708315955 -01.8577657132825| -0.362 -17.096   |9.91     |A/F(pEu)          |    ~     ~    |    1|  274.010   pc  |  -1.4190     +1.4190  |paral   |2020yCat.1350....0G
4826|[SC96] Mis 122                                                                                           |Star                                  |16 43 48.0 -48 30 00                   |337.1773 -01.7074                  |            ~ ~   |7.91     |~                 |    ~     ~    |    0|                |                       |        |                   
4827|HD 150333                                                                                                |Star                                  |16 42 49.5865109808 -48 55 30.713637900|336.7507516853345 -01.8650968924890|  -1.945 -4.602   |9.62     |B8V               |    ~     ~    |    1|  755.287   pc  | -12.6642    +12.6642  |paral   |2020yCat.1350....0G
4828|CD-48 11131                                                                                              |Star                                  |16 44 45.6617279856 -49 00 20.727159444|336.8978020594157 -02.1578623912234|    2.112 0.343   |9.78     |K0                |    ~     ~    |    1|  795.229   pc  | -10.6241    +10.6241  |paral   |2020yCat.1350....0G
4829|CPD-48 8774                                                                                              |Star                                  |16 44 46.0404510216 -49 00 40.591564200|336.8942920952121 -02.1622460177816|  1.041 -10.090   |9.81     |~                 |    ~     ~    |    1|  536.970   pc  |  -5.1901     +5.1901  |paral   |2020yCat.1350....0G
4830|EM* VRMF 113                                                                                             |Emission-line Star                    |16 43 13.6297003032 -47 31 29.410536108|337.8510122126558 -00.9958033008284|    0.712 0.983   |10.95    |~                 |    ~     ~    |    1|  846.955   pc  | -13.7011    +13.7011  |paral   |2020yCat.1350....0G
4831|NGC 6193 20                        CD-48 11061                                                           |Star                                  |16 40 53.2588334064 -48 45 35.222884848|336.6647343588161 -01.5162034331865|   1.070 -3.979   |11.21    |B7                |    ~     ~    |    1| 1242.390   pc  | -37.1992    +37.1992  |paral   |2020yCat.1350....0G
4832|NGC 6193 21                        CD-48 11062                                                           |Star                                  |16 41 02.4937571472 -48 53 49.643503656|336.5784690581215 -01.6260559788990|   1.119 -4.275   |11.37    |B7                |    ~     ~    |    1| 1306.677   pc  | -53.4418    +53.4418  |paral   |2020yCat.1350....0G
4833|NGC 6200 4                         HD 328862                                                             |Pulsating Variable                    |16 44 08.8986364200 -47 19 04.486886580|338.1094579079746 -00.9779062441037|  -0.780 -2.280   |10.18    |B3                |    ~     ~    |    0|                |                       |        |                   
4834|NGC 6200 8                         NGC 6200 8                                                            |Star                                  |16 44 07.51 -47 28 10.6                |337.99215 -01.07419                |            ~ ~   |10.19    |~                 |    ~     ~    |    0|                |                       |        |                   
4835|NGC 6200 9                         HD 328693                                                             |Star                                  |16 43 52.6702944936 -47 38 02.218698744|337.8405549081627 -01.1501968529612|  -1.093 -2.351   |10.34    |B8                |    ~     ~    |    1| 1971.998   pc  | -82.4420    +82.4420  |paral   |2020yCat.1350....0G
