C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:06:43

dec< 0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7316

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
68  |HD 45974                                                              |Variable Star                         |06 30 26.8166149824 -03 01 19.551786420|213.2357827437409 -06.0460174299405|  -1.692 -1.798   |6.97     |G8III             |    ~     ~    |    1|  571.200   pc  |  -6.5254     +6.5254    |paral   |2020yCat.1350....0G
69  |HD 295156                                                             |Star                                  |06 32 09.3992872152 -02 52 33.592446408|213.2995829886836 -05.5993324714719|  2.364 -12.269   |9.09     |G0                |    ~     ~    |    1|  492.781   pc  |  -7.2364     +7.2364    |paral   |2020yCat.1350....0G
70  |HD 45902                                                              |Star                                  |06 30 04.9572297384 -03 13 36.956221752|213.3779272958787 -06.2199536689632| -5.118 -17.382   |8.70     |F3V               |    ~     ~    |    1|  191.490   pc  |  -0.7810     +0.7810    |paral   |2020yCat.1350....0G
71  |HD 45914                                                              |Star                                  |06 30 11.0841009624 -03 46 20.648774496|213.8788560722216 -06.4442526230811|   -0.875 0.176   |8.86     |F2III(m)          |    ~     ~    |    1|  425.423   pc  |  -4.0179     +4.0179    |paral   |2020yCat.1350....0G
72  |HD 45933                                                              |Star                                  |06 30 19.2628948224 -03 13 40.443388464|213.4059293809687 -06.1673449793208|   0.354 -0.277   |8.86     |F3/5V             |    ~     ~    |    1|  145.618   pc  |  -0.3902     +0.3902    |paral   |2020yCat.1350....0G
73  |HD 45934                                                              |Star                                  |06 30 19.4432725296 -03 58 03.437057064|214.0699017962778 -06.5015538022471|    3.618 1.231   |9.23     |A0III/IV          |    ~     ~    |    1|  905.797   pc  | -16.3273    +16.3273    |paral   |2020yCat.1350....0G
74  |HD 46021                                                              |Star                                  |06 30 47.3370088920 -03 42 47.187507348|213.8942794070167 -06.2830045741052| -5.383 -11.798   |7.53     |A8/9V             |    ~     ~    |    1|  203.351   pc  |  -1.1372     +1.1372    |paral   |2020yCat.1350....0G
75  |HD 295126                                                             |Star                                  |06 31 11.9196383832 -03 43 22.993340736|213.9497346147897 -06.1963600533916|   5.491 -5.257   |9.09     |K5                |    ~     ~    |    1|  462.022   pc  |  -3.7143     +3.7143    |paral   |2020yCat.1350....0G
76  |HD 46227                                                              |Star                                  |06 31 57.6727497024 -03 10 57.711898308|213.5520257156933 -05.7819380028224| -7.478 -15.028   |9.35     |F2/3V             |    ~     ~    |    1|  161.332   pc  |  -1.5799     +1.5799    |paral   |2020yCat.1350....0G
77  |HD 46303                                                              |Star                                  |06 32 29.7055191432 -03 32 41.401447872|213.9371986656845 -05.8272655670516|  -0.227 -1.514   |9.55     |B9III             |    ~     ~    |    1|  532.056   pc  | -15.4847    +15.4847    |paral   |2020yCat.1350....0G
78  |HD 46326                                                              |Double or Multiple Star               |06 32 34.87310 -03 47 06.8452          |214.16246074 -05.91694564          |      0.69 2.39   |9.21     |B9III             |    ~     ~    |    0|                |                         |        |                   
79  |HD 46389                                                              |Star                                  |06 32 58.4089484424 -03 49 12.281123316|214.2382135953263 -05.8454581879138|  -2.215 -3.289   |7.72     |K0III             |    ~     ~    |    1|  432.302   pc  | -12.3344    +12.3344    |paral   |2020yCat.1350....0G
80  |HD 295165                                                             |Star                                  |06 33 21.2791983096 -03 51 11.046180132|214.3110340744766 -05.7756016663777|  -0.978 -2.197   |10.76    |F2                |    ~     ~    |    1|  479.846   pc  |  -3.6840     +3.6840    |paral   |2020yCat.1350....0G
81  |HD 295121                                                             |Star                                  |06 31 46.0418656248 -03 22 42.857290056|213.7054935351730 -05.9138452700019|   -5.698 0.479   |10.86    |G0                |    ~     ~    |    1|  366.797   pc  |  -2.2334     +2.2334    |paral   |2020yCat.1350....0G
82  |HD 295131                                                             |Star                                  |06 30 43.7687418768 -04 00 44.199209268|214.1559944067077 -06.4315568489274|  -3.393 -2.932   |10.57    |A0                |    ~     ~    |    1|  535.246   pc  |  -8.6806     +8.6806    |paral   |2020yCat.1350....0G
83  |HD 295132                                                             |High Proper Motion Star               |06 30 05.7092412696 -03 59 18.796442748|214.0627170978094 -06.5619375751705| 54.628 -56.739   |10.74    |G5                |    ~     ~    |    1|  147.971   pc  |  -0.5430     +0.5430    |paral   |2020yCat.1350....0G
84  |NGC 2232 6                         HD 45975                           |Chemically Peculiar Star              |06 30 27.4667814912 -04 41 48.589487376|214.7400988257537 -06.8010868062983|  -7.353 -1.031   |7.458    |B8V               |    ~     ~    |    1|  197.816   pc  |  -6.7932     +6.7932    |paral   |2020yCat.1350....0G
85  |NGC 2232 23                        HD 45998                           |Star                                  |06 30 35.7445686216 -04 45 27.523507536|214.8103740863712 -06.7978290897498|  -7.393 -3.744   |9.36     |A3/5II            |    ~     ~    |    1|  199.720   pc  |  -1.4081     +1.4081    |paral   |2020yCat.1350....0G
86  |HD 46058                                                              |High Proper Motion Star               |06 30 58.9898950992 -04 17 34.600660512|214.4367413082620 -06.5019569637047| 119.648 72.865   |9.31     |F6/7V             |    ~     ~    |    1|  100.069   pc  |  -0.2303     +0.2303    |paral   |2020yCat.1350....0G
87  |HD 46124                                                              |Star                                  |06 31 20.9589139872 -04 16 13.277313372|214.4579546502091 -06.4103141436195| -11.558 -3.440   |9.26     |F2/3V             |    ~     ~    |    1|  174.265   pc  |  -0.9232     +0.9232    |paral   |2020yCat.1350....0G
88  |HD 46125                                                              |Star                                  |06 31 18.5443391688 -05 02 29.403156876|215.1461952749966 -06.7671468030598|   4.673 -5.220   |9.32     |F2IV              |    ~     ~    |    1|  301.987   pc  |  -4.0947     +4.0947    |paral   |2020yCat.1350....0G
89  |HD 46181                                                              |High Proper Motion Star               |06 31 48.1984922592 -04 13 41.929681548|214.4716700288050 -06.2903443104690| 33.597 -57.611   |9.30     |G3V               |    ~     ~    |    1|  161.980   pc  |  -2.6736     +2.6736    |paral   |2020yCat.1350....0G
90  |HD 46339                                                              |Star                                  |06 32 41.6876284176 -04 26 58.893368424|214.7713387573622 -06.1920800092101|  -2.732 -2.610   |9.00     |B2II/III          |    ~     ~    |    1| 1184.133   pc  | -38.4195    +38.4195    |paral   |2020yCat.1350....0G
91  |HD 45935                                                              |Star                                  |06 30 16.4603904552 -05 15 37.307410236|215.2262034962369 -07.0957348899215|  -4.694 -1.710   |9.87     |A0V               |    ~     ~    |    1|  327.033   pc  |  -2.4705     +2.4705    |paral   |2020yCat.1350....0G
92  |BD-05 1661                                                            |Star                                  |06 30 35.9586228912 -05 14 03.263504280|215.2393832755669 -07.0117319107488|  -0.873 -0.715   |9.15     |M1                |    ~     ~    |    1| 1040.908   pc  | -22.3199    +22.3199    |paral   |2020yCat.1350....0G
93  |HD 46165                                                              |Star                                  |06 31 36.0922992840 -05 22 07.448881296|215.4734772214835 -06.8494668169487|  -5.225 -1.548   |7.438    |B8/9III           |    ~     ~    |    1|  333.712   pc  |  -4.3320     +4.3320    |paral   |2020yCat.1350....0G
94  |HD 46205                                                              |Star                                  |06 31 48.9835247016 -05 20 48.972589692|215.4781103886591 -06.7918993815208| -6.008 -26.989   |8.21     |K5/M0III          |    ~     ~    |    1|  626.881   pc  |  -8.3312     +8.3312    |paral   |2020yCat.1350....0G
95  |HD 46488                                                              |Star                                  |06 33 33.3881679912 -05 16 17.992837380|215.6067819757121 -06.3712468301229|   1.213 -0.977   |9.83     |B9IV/V            |    ~     ~    |    1|  599.233   pc  |  -9.1206     +9.1206    |paral   |2020yCat.1350....0G
96  |HD 295171                                                             |High Proper Motion Star               |06 32 57.9669335520 -04 06 31.566513348|214.4962211495467 -05.9776844210580| 18.570 -77.630   |10.20    |K2                |    ~     ~    |    1|  122.021   pc  |  -0.2189     +0.2189    |paral   |2020yCat.1350....0G
97  |HD 295176                                                             |Star                                  |06 33 14.7741477672 -04 40 15.132006984|215.0322517186313 -06.1693132179661|  -5.141 -1.801   |10.85    |F5                |    ~     ~    |    1|  316.606   pc  |  -1.9847     +1.9847    |paral   |2020yCat.1350....0G
98  |HD 295177                                                             |Star                                  |06 33 02.7247796040 -04 46 02.782973928|215.0962275219714 -06.2575419141029|-18.776 -32.499   |10.35    |K7                |    ~     ~    |    1|  314.465   pc  |  -1.5427     +1.5427    |paral   |2020yCat.1350....0G
99  |NGC 2250                           NGC 2250                           |Open Cluster                          |06 33 41.3 -05 04 48                   |215.4495 -06.2556                  |  -0.057 -0.856   |8.9      |~                 |    ~     ~    |    1| 2969       pc  |                         |        |2017AstBu..72..257L
100 |HD 295129                                                             |Star                                  |06 30 21.9303328824 -03 49 59.902212504|213.9540450755851 -06.4315898883917|  -1.969 -5.982   |8.80     |K0                |    ~     ~    |    1|  822.774   pc  | -20.9857    +20.9857    |paral   |2020yCat.1350....0G
