C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:06:43

dec< 0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7316

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
5242|CD-55 1540                                                            |High Proper Motion Star               |06 43 36.6094944120 -55 45 36.515241324|265.2095054111364 -23.2071803611439|   3.282 57.156   |10.07    |~                 |    ~     ~    |    1|  182.535   pc  |  -0.7563     +0.7563    |paral   |2020yCat.1350....0G
5243|CD-55 1539                                                            |Star                                  |06 43 39.2860160544 -55 26 21.714872604|264.8736865178306 -23.1199253213626|  -9.346 11.328   |10.50    |~                 |    ~     ~    |    1|  404.024   pc  |  -2.4812     +2.4812    |paral   |2020yCat.1350....0G
5244|CD-55 1544                                                            |Star                                  |06 44 18.7079728752 -55 27 12.998085804|264.9145020061349 -23.0334825618940|   3.138 26.868   |10.32    |~                 |    ~     ~    |    1|  403.682   pc  |  -2.0207     +2.0207    |paral   |2020yCat.1350....0G
5245|CD-55 1514                                                            |High Proper Motion Star               |06 39 37.6431373546 -55 36 34.835227009|264.9000546414799 -23.7142579603726|-392.031 11.318   |9.880    |M0Vk:             |    ~     ~    |    1|   13.172   pc  |  -0.0081     +0.0081    |ST-L    |2020AJ....160...83S
5246|CD-53 1515                                                            |Star                                  |06 33 24.8794366224 -53 27 02.782538424|262.3721720695501 -24.0760875928329| -14.565 15.966   |10.37    |~                 |    ~     ~    |    0|                |                         |        |                   
5247|CD-53 1517                                                            |Star                                  |06 33 38.1544244472 -53 14 42.415256184|262.1619734216696 -23.9952682421356|   7.260 21.675   |10.054   |~                 |    ~     ~    |    1|  754.076   pc  | -23.0600    +23.0600    |ST-L    |2020AJ....160...83S
5248|CD-53 1522                                                            |Star                                  |06 34 44.9809767768 -53 36 10.945922328|262.5856446051777 -23.9195152684819|   -0.796 9.049   |10.470   |~                 |    ~     ~    |    1|  882.629   pc  | -35.2200    +35.2200    |ST-L    |2020AJ....160...83S
5249|CD-54 1478                                                            |Star                                  |06 34 48.9971998416 -54 41 28.622477148|263.7464015299431 -24.1658243416565|  -6.768 -4.129   |10.61    |~                 |    ~     ~    |    1|  555.999   pc  | -18.3400    +18.3400    |ST-L    |2020AJ....160...83S
5250|CD-53 1532                                                            |Star                                  |06 35 47.6400390144 -53 54 00.434637216|262.9415185558943 -23.8407987248967|   -4.935 4.296   |10.26    |~                 |    ~     ~    |    1|  898.796   pc  |  -9.3709     +9.3709    |paral   |2020yCat.1350....0G
5251|CD-54 1485                                                            |Star                                  |06 36 08.8469630376 -55 02 15.610301016|264.1642205383928 -24.0599495334035| 18.816 -23.134   |10.31    |~                 |    ~     ~    |    1|  139.968   pc  |  -0.5995     +0.5995    |paral   |2020yCat.1350....0G
5252|CD-54 1490                                                            |High Proper Motion Star               |06 36 35.5773366000 -54 26 34.891785924|263.5484499136966 -23.8572484116128|  26.619 46.732   |10.78    |~                 |    ~     ~    |    1|  173.409   pc  |  -0.2977     +0.2977    |paral   |2020yCat.1350....0G
5253|CD-54 1492                                                            |Star                                  |06 37 21.2296237272 -54 49 48.667402416|263.9882492116396 -23.8426706913582|   7.864 43.368   |10.83    |~                 |    ~     ~    |    1| 1079.914   pc  | -12.1286    +12.1286    |paral   |2020yCat.1350....0G
5254|TYC 8535-611-1                                                        |Star                                  |06 38 00.6702077712 -53 09 26.153273268|262.2444230105368 -23.3385356461010|    0.044 8.451   |10.20    |~                 |    ~     ~    |    1| 1929.757   pc  | -42.0808    +42.0808    |paral   |2020yCat.1350....0G
5255|CD-55 1505                                                            |Star                                  |06 38 14.2378887288 -55 47 11.234402628|265.0370375731116 -23.9464323980827|  7.800 -14.996   |10.28    |~                 |    ~     ~    |    1|  297.633   pc  |  -4.4650     +4.4650    |ST-L    |2020AJ....160...83S
5256|CD-53 1570                                                            |Star                                  |06 41 51.7199761488 -53 41 51.450478980|262.9723247918748 -22.9226832609922|  -7.446 -1.420   |10.42    |~                 |    ~     ~    |    1|  136.696   pc  |  -0.2485     +0.2485    |paral   |2020yCat.1350....0G
5257|CD-54 1520                                                            |Star                                  |06 42 21.4845259320 -55 06 32.838715152|264.4753162156263 -23.2149277972932|   -5.990 7.539   |10.9     |~                 |    ~     ~    |    1|  761.759   pc  | -23.9400    +23.9400    |ST-L    |2020AJ....160...83S
5258|CD-54 1532                                                            |Star                                  |06 44 09.4700862144 -54 22 39.420921684|263.7802401384063 -22.7754362875758|   -8.130 6.919   |10.044   |~                 |    ~     ~    |    1|  946.712   pc  | -44.9300    +44.9300    |ST-L    |2020AJ....160...83S
5259|CD-53 1583                                                            |Long-Period Variable Candidate        |06 44 09.6861101472 -53 43 58.595953908|263.1066822987915 -22.6038827752383|   1.295 10.691   |10.396   |~                 |    ~     ~    |    1| 2630.19    pc  | -99.6181    +99.6181    |paral   |2020yCat.1350....0G
5260|CD-52 1666                                                            |Star                                  |06 44 27.7516593024 -53 03 26.673885072|262.4158682707083 -22.3781110365367|  11.588 24.525   |10.32    |~                 |    ~     ~    |    1|  302.471   pc  |  -1.5828     +1.5828    |paral   |2020yCat.1350....0G
5261|CD-52 1667                                                            |Star                                  |06 44 38.1277176648 -53 07 17.230145268|262.4901603829149 -22.3706176333044|  -3.582 10.177   |9.82     |~                 |    ~     ~    |    1|  603.136   pc  |  -5.6021     +5.6021    |paral   |2020yCat.1350....0G
5262|CD-54 1537                                                            |Star                                  |06 44 40.0200362064 -54 47 31.063205544|264.2349279063911 -22.8130292019324|  -6.169 11.753   |10.7     |~                 |    ~     ~    |    1|  966.370   pc  |  -8.8718     +8.8718    |paral   |2020yCat.1350....0G
5263|CD-52 1625                                                            |Star                                  |06 38 51.4992088440 -53 06 27.087186420|262.2271634272951 -23.2030055414772|  5.461 -17.208   |9.53     |~                 |    ~     ~    |    1|  197.765   pc  |  -0.4498     +0.4498    |paral   |2020yCat.1350....0G
5264|HD 46918                                                              |High Proper Motion Star               |06 32 48.1160750232 -55 04 46.340933592|264.0894682027194 -24.5359479731405| 9.399 -112.054   |8.09     |F6V               |    ~     ~    |    1|   59.612   pc  |  -0.0554     +0.0554    |paral   |2020yCat.1350....0G
5265|CD-54 1466                                                            |Star                                  |06 32 55.1628909432 -54 57 54.710878464|263.9710591843809 -24.4941083134102|    3.658 8.885   |9.605    |~                 |    ~     ~    |    1|  785.347   pc  | -33.1800    +33.1800    |ST-L    |2020AJ....160...83S
5266|CPD-55 1014                                                           |Double or Multiple Star               |06 33 15.1009 -55 25 18.142            |264.4718854 -24.5491387            | -10.539 34.286   |10.45    |~                 |    ~     ~    |    0|                |                         |        |                   
5267|HD 47027                                                              |Star                                  |06 33 19.0060192800 -55 25 08.881222548|264.4713683881171 -24.5395638285244|   5.877 41.283   |9.584    |G8/K1III          |    ~     ~    |    1|  210.707   pc  |  -2.2020     +2.2020    |ST-L    |2020AJ....160...83S
5268|CD-53 1509                                                            |Star                                  |06 30 44.9171769216 -53 34 37.434104976|262.4064278777614 -24.4908724896950|    0.651 7.164   |10.39    |~                 |    ~     ~    |    1| 1188.919   pc  | -14.2766    +14.2766    |paral   |2020yCat.1350....0G
5269|CD-55 1476                                                            |Star                                  |06 33 08.5615281552 -55 30 59.647320576|264.5698942515821 -24.5850849360784|   3.833 18.079   |10.429   |~                 |    ~     ~    |    1|  736.378   pc  | -20.1100    +20.1100    |ST-L    |2020AJ....160...83S
5270|CD-55 1483                                                            |Star                                  |06 33 31.1456845008 -55 51 30.850198344|264.9496735247689 -24.6081847266384|   -1.357 5.345   |10.542   |~                 |    ~     ~    |    1|  988.085   pc  | -57.8600    +57.8600    |ST-L    |2020AJ....160...83S
5271|IRAS 06380-5325                                                       |Star                                  |06 39 07.9608276312 -53 28 32.998420236|262.6261248558748 -23.2570812828028|    1.659 1.929   |10.091   |~                 |    ~     ~    |    1| 1553.890   pc  |-128.9000   +128.9000    |ST-L    |2020AJ....160...83S
5272|CD-55 1538                                                            |Star                                  |06 43 24.2095055904 -55 08 15.453919932|264.5465689669571 -23.0776185556954| -15.105 -0.546   |10.43    |~                 |    ~     ~    |    1|  295.884   pc  |  -1.1206     +1.1206    |paral   |2020yCat.1350....0G
5273|CD-53 1548                                                            |Star                                  |06 38 42.1871462352 -53 53 53.426677812|263.0539140243714 -23.4248319795717| -11.688 14.046   |10.513   |~                 |    ~     ~    |    1| 1039.540   pc  | -53.2600    +53.2600    |ST-L    |2020AJ....160...83S
5274|TYC 8535-880-1                                                        |Star                                  |06 32 17.0980656192 -54 16 46.127966520|263.2143076285639 -24.4295851463585|   2.286 11.852   |10.94    |~                 |    ~     ~    |    1|  980.104   pc  | -10.8548    +10.8548    |paral   |2020yCat.1350....0G
5275|IRAS 06376-5320                                                       |Long-Period Variable Candidate        |06 38 40.9202841480 -53 23 10.144071456|262.5131733094685 -23.2993110959631|   -1.838 1.800   |10.95    |~                 |    ~     ~    |    1| 1348.8     pc  | -56.9428    +56.9428    |paral   |2020yCat.1350....0G
5276|TYC 8535-1288-1                                                       |Spectroscopic Binary                  |06 37 20.2695847104 -53 18 33.212149452|262.3771843916165 -23.4741832985356|   -5.582 9.281   |10.80    |~                 |    ~     ~    |    1|  320.205   pc  |  -1.1791     +1.1791    |paral   |2020yCat.1350....0G
5277|TYC 8535-1349-1                                                       |High Proper Motion Star               |06 31 39.5657213448 -53 12 42.509931804|262.0502866170425 -24.2749358054166|  39.920 54.932   |10.41    |~                 |    ~     ~    |    1|  119.058   pc  |  -0.1899     +0.1899    |paral   |2020yCat.1350....0G
5278|TYC 8535-1601-1                                                       |Star                                  |06 34 16.6220154480 -54 01 35.166223992|263.0178774385842 -24.0875051145859|   7.932 -2.976   |10.66    |~                 |    ~     ~    |    1|  859.771   pc  | -10.0532    +10.0532    |paral   |2020yCat.1350....0G
5279|TYC 8535-1786-1                                                       |Star                                  |06 33 07.6573859208 -54 07 24.301988508|263.0783693237795 -24.2740132239926|   -1.254 5.986   |10.54    |~                 |    ~     ~    |    0|                |                         |        |                   
5280|TYC 8535-1960-1                                                       |Star                                  |06 39 25.6743857208 -53 39 57.530277720|262.8384280128599 -23.2628675891864|   0.912 15.090   |10.132   |~                 |    ~     ~    |    1| 1700.660   pc  |-142.3000   +142.3000    |ST-L    |2020AJ....160...83S
5281|TYC 8535-1986-1                                                       |Star                                  |06 32 15.0447204552 -54 13 13.845799308|263.1499819876336 -24.4211087070395|  -5.864 -3.795   |10.135   |~                 |    ~     ~    |    1|  768.520   pc  | -29.9900    +29.9900    |ST-L    |2020AJ....160...83S
5282|TYC 8536-246-1                                                        |Spectroscopic Binary                  |06 41 35.0713444944 -53 07 27.774632136|262.3601742964310 -22.8123292032308|   -1.194 5.581   |10.800   |~                 |    ~     ~    |    1|  964.165   pc  | -42.9200    +42.9200    |ST-L    |2020AJ....160...83S
5283|TYC 8536-805-1                                                        |Star                                  |06 40 22.5941685360 -53 22 15.069461880|262.5673272178449 -23.0510787905280|   0.741 -0.486   |10.580   |~                 |    ~     ~    |    1| 1204.260   pc  | -64.5200    +64.5200    |ST-L    |2020AJ....160...83S
5284|TYC 8536-841-1                                                        |High Proper Motion Star               |06 44 11.4908040744 -53 55 57.652437468|263.3165128620883 -22.6529120764948| -56.383 67.533   |10.77    |~                 |    ~     ~    |    1|  156.624   pc  |  -0.2674     +0.2674    |paral   |2020yCat.1350....0G
5285|TYC 8536-875-1                                                        |Star                                  |06 41 57.7969401144 -53 25 31.610603604|262.6914690280129 -22.8369460342000| -26.374 19.164   |10.76    |~                 |    ~     ~    |    1|  174.155   pc  |  -0.3367     +0.3367    |paral   |2020yCat.1350....0G
5286|TYC 8536-913-1                                                        |Star                                  |06 43 23.8633548456 -53 24 07.350691140|262.7284277329695 -22.6246446879653|   -1.056 5.148   |10.60    |~                 |    ~     ~    |    1|  550.691   pc  | -34.7537    +34.7537    |paral   |2020yCat.1350....0G
5287|TYC 8536-968-1                                                        |Star                                  |06 41 41.4575822088 -54 20 24.533767032|263.6397324811673 -23.1127860147929|  3.043 -14.818   |10.97    |~                 |    ~     ~    |    1|  179.762   pc  |  -0.3296     +0.3296    |paral   |2020yCat.1350....0G
5288|TYC 8536-1117-1                                                       |Star                                  |06 40 25.1662527072 -54 22 00.258770244|263.6166232893916 -23.2987308241160|   0.452 26.533   |10.77    |~                 |    ~     ~    |    1|  320.072   pc  |  -7.6117     +7.6117    |paral   |2020yCat.1350....0G
5289|TYC 8536-1315-1                                                       |High Proper Motion Star               |06 42 13.3480235064 -53 36 24.828285024|262.8924279645818 -22.8474088659914| -32.389 45.133   |10.73    |~                 |    ~     ~    |    1|  155.099   pc  |  -0.2382     +0.2382    |paral   |2020yCat.1350....0G
5290|TYC 8536-1817-1                                                       |Star                                  |06 40 36.9238473648 -53 46 43.228397856|263.0056534736144 -23.1216983802724|  10.873 -1.485   |10.64    |~                 |    ~     ~    |    1|  781.326   pc  | -29.5300    +29.5300    |ST-L    |2020AJ....160...83S
5291|TYC 8536-2024-1                                                       |Star                                  |06 43 04.2087784224 -54 07 03.827213076|263.4629482062233 -22.8605845717598|  -3.416 14.262   |10.56    |~                 |    ~     ~    |    0|                |                         |        |                   
5292|TYC 8536-2058-1                                                       |Star                                  |06 43 00.1057376256 -54 21 10.837060632|263.7067028126821 -22.9315367181070|  -10.717 6.492   |10.74    |~                 |    ~     ~    |    1|  655.308   pc  | -15.6741    +15.6741    |paral   |2020yCat.1350....0G
5293|TYC 8539-186-1                                                        |Star                                  |06 39 52.0197569064 -54 48 55.704252564|264.0684537318488 -23.4879359859975| -2.704 -12.947   |10.765   |~                 |    ~     ~    |    1|  884.328   pc  | -32.8000    +32.8000    |ST-L    |2020AJ....160...83S
5294|TYC 8539-342-1                                                        |Star                                  |06 39 44.9423396880 -54 30 01.288534752|263.7310272942855 -23.4265082533531|   20.120 7.274   |10.88    |~                 |    ~     ~    |    1|  274.243   pc  |  -6.2800     +6.2800    |paral   |2020yCat.1350....0G
5295|TYC 8539-621-1                                                        |Star                                  |06 35 14.2294742928 -54 59 16.543583304|264.0780900494144 -24.1753687670658|   3.265 -8.839   |10.417   |~                 |    ~     ~    |    1| 1094.820   pc  | -57.0800    +57.0800    |ST-L    |2020AJ....160...83S
5296|TYC 8539-653-1                                                        |Star                                  |06 33 16.2748857000 -54 59 45.889292184|264.0165269244942 -24.4518065091609| 24.865 -41.619   |10.705   |~                 |    ~     ~    |    1|  280.886   pc  |  -4.2210     +4.2210    |ST-L    |2020AJ....160...83S
5297|TYC 8539-853-1                                                        |Star                                  |06 36 57.3515573136 -55 02 33.244460304|264.1991215528508 -23.9485119076783|   -1.254 0.789   |10.81    |~                 |    ~     ~    |    1|  950.661   pc  |  -9.3087     +9.3087    |paral   |2020yCat.1350....0G
5298|TYC 8539-1005-1                                                       |Star                                  |06 37 33.7782483456 -55 14 55.950748512|264.4408395701854 -23.9128424390094|  17.288 11.538   |10.76    |~                 |    ~     ~    |    1|  277.070   pc  |  -0.8137     +0.8137    |paral   |2020yCat.1350....0G
5299|TYC 8539-1071-1                                                       |Star                                  |06 34 54.0582271128 -55 38 25.346192316|264.7631332618813 -24.3702865752761|    2.527 4.163   |10.92    |~                 |    ~     ~    |    1| 1083.658   pc  | -16.4404    +16.4404    |paral   |2020yCat.1350....0G
5300|TYC 8539-1269-1                                                       |Star                                  |06 39 28.3907699928 -55 29 04.301293308|264.7616491468245 -23.7053701346020|-14.641 -21.933   |10.78    |~                 |    ~     ~    |    1|  230.394   pc  |  -0.4990     +0.4990    |paral   |2020yCat.1350....0G
5301|TYC 8540-69-1                                                         |Star                                  |06 42 25.7200030800 -54 56 49.250980716|264.3074834460606 -23.1641238821432|  -2.257 12.219   |10.58    |~                 |    ~     ~    |    1|  297.699   pc  |  -4.7060     +4.7060    |paral   |2020yCat.1350....0G
5302|TYC 8540-319-1                                                        |Star                                  |06 41 58.5296377512 -54 28 24.576833136|263.7914013017860 -23.1068403364779|   0.852 27.268   |10.53    |~                 |    ~     ~    |    1|  151.939   pc  |  -9.2203     +9.2203    |paral   |2020yCat.1350....0G
5303|TYC 8540-334-1                                                        |Star                                  |06 44 23.0891015688 -55 01 23.858264820|264.4658314900682 -22.9124829843004|  -4.620 39.503   |10.34    |~                 |    ~     ~    |    1|   86.999   pc  |  -0.3491     +0.3491    |ST-L    |2020AJ....160...83S
5304|TYC 8540-398-1                                                        |Star                                  |06 40 43.9952169096 -55 35 40.152640488|264.9251960118704 -23.5590342006463|   -2.479 5.246   |10.910   |~                 |    ~     ~    |    1|  947.276   pc  | -42.1600    +42.1600    |ST-L    |2020AJ....160...83S
5305|TYC 8540-796-1                                                        |Star                                  |06 43 52.8882793416 -55 38 20.597550216|265.0925699389012 -23.1396011876990|   0.767 12.751   |10.62    |~                 |    ~     ~    |    1|  214.740   pc  |  -0.5949     +0.5949    |paral   |2020yCat.1350....0G
5306|TYC 8540-1203-1                                                       |Star                                  |06 43 13.8944555472 -55 14 40.393035636|264.6521836531166 -23.1285930312727| -10.898 41.164   |10.74    |~                 |    ~     ~    |    1|  180.489   pc  |  -0.3225     +0.3225    |paral   |2020yCat.1350....0G
5307|TYC 8540-1559-1                                                       |Star                                  |06 40 37.8070094856 -55 04 50.813025060|264.3782149329503 -23.4472148309120|  -2.990 28.176   |10.89    |~                 |    ~     ~    |    1|  768.876   pc  |  -5.1432     +5.1432    |paral   |2020yCat.1350....0G
5308|TYC 8540-1769-1                                                       |High Proper Motion Star               |06 44 51.5617786944 -54 59 17.310129612|264.4482153303036 -22.8376411256092|-55.296 -30.849   |10.37    |~                 |    ~     ~    |    1|  120.250   pc  |  -0.1460     +0.1460    |paral   |2020yCat.1350....0G
5309|CD-53 1508                                                            |Star                                  |06 30 26.0855245320 -53 37 24.772686672|262.4446369712057 -24.5467313555656|  8.342 -10.453   |9.916    |~                 |    ~     ~    |    1|  676.185   pc  | -16.5100    +16.5100    |ST-L    |2020AJ....160...83S
5310|HD 46894                                                              |Eruptive Variable                     |06 32 34.3111504032 -55 38 54.944485944|264.6922906557851 -24.6926039675799|114.626 -86.648   |7.91     |G6IV              |    ~     ~    |    1|   76.363   pc  |  -0.0816     +0.0816    |paral   |2020yCat.1350....0G
5311|CD-54 1456                                                            |Star                                  |06 30 48.0619159344 -54 46 22.051220880|263.6907532806048 -24.7489771448831| -14.032 -4.134   |10.95    |~                 |    ~     ~    |    1|  231.171   pc  |  -0.4542     +0.4542    |paral   |2020yCat.1350....0G
5312|TYC 8539-527-1                                                        |Star                                  |06 32 02.5543992960 -55 23 45.694917528|264.4030196724182 -24.7109713344660|  12.355 12.331   |10.192   |~                 |    ~     ~    |    1|  920.212   pc  | -41.7400    +41.7400    |ST-L    |2020AJ....160...83S
5313|TYC 8539-1119-1                                                       |High Proper Motion Star               |06 31 58.2625553112 -55 03 23.243643180|264.0358629993685 -24.6468728933280| -12.547 50.681   |10.292   |~                 |    ~     ~    |    1|  346.992   pc  |  -5.9720     +5.9720    |ST-L    |2020AJ....160...83S
5314|HD 47502                                                              |Star                                  |06 35 40.0708798800 -56 00 27.936787032|265.1826600746676 -24.3477212108296|   -7.993 6.026   |9.34     |K2                |    ~     ~    |    1|  613.121   pc  |  -4.0599     +4.0599    |paral   |2020yCat.1350....0G
5315|CD-55 1510                                                            |Star                                  |06 39 08.8598089080 -55 57 21.410895600|265.2500685663260 -23.8621569388304|  -11.124 6.435   |10.27    |~                 |    ~     ~    |    1|  474.744   pc  |  -5.0260     +5.0260    |paral   |2020yCat.1350....0G
5316|HD 48764                                                              |Double or Multiple Star               |06 41 37.8119376504 -55 59 56.427299556|265.3866642250697 -23.5353601683267|   9.791 31.820   |8.72     |K0III             |0.0100  0.0    |    1|  243.623   pc  |  -2.4097     +2.4097    |paral   |2020yCat.1350....0G
5317|HD 48971                                                              |Star                                  |06 42 50.7326813880 -56 00 57.863177568|265.4501773481717 -23.3748853006977|  -5.004 10.145   |8.28     |B9V               |    ~     ~    |    1|  377.131   pc  |  -3.2712     +3.2712    |paral   |2020yCat.1350....0G
5318|HD 47566                                                              |Star                                  |06 35 51.7895176224 -56 13 40.588922568|265.4249186456813 -24.3704280599121| -23.949 20.177   |7.62     |K0III             |    ~     ~    |    1|  241.762   pc  |  -0.8358     +0.8358    |paral   |2020yCat.1350....0G
5319|HD 47792                                                              |Star                                  |06 36 59.2177367448 -56 15 29.049560136|265.4956441925396 -24.2250841866848| -14.587 10.098   |9.52     |F3V               |    ~     ~    |    1|  271.953   pc  |  -0.8505     +0.8505    |paral   |2020yCat.1350....0G
5320|CD-56 1584                                                            |Star                                  |06 37 38.7261501096 -56 50 31.151517576|266.1420008637290 -24.2683613484472|  17.833 39.922   |10.17    |~                 |    ~     ~    |    1|  253.062   pc  |  -6.5641     +6.5641    |paral   |2020yCat.1350....0G
5321|CD-56 1587                                                            |Star                                  |06 38 22.6297734144 -56 19 04.529842248|265.6078317798962 -24.0509851010418|  7.179 -15.349   |9.89     |~                 |    ~     ~    |    1|  345.805   pc  |  -4.2451     +4.2451    |paral   |2020yCat.1350....0G
5322|HD 48155                                                              |Star                                  |06 38 33.8297098920 -56 50 30.796957212|266.1730052753978 -24.1460077998746|  -1.194 11.146   |9.62     |A0V               |    ~     ~    |    1|  454.731   pc  |  -3.8875     +3.8875    |paral   |2020yCat.1350....0G
5323|CD-56 1589                                                            |Star                                  |06 38 53.1009091608 -56 07 03.198457596|265.4124615793461 -23.9357737254977|    7.837 0.627   |10.224   |~                 |    ~     ~    |    1|  724.445   pc  | -19.4100    +19.4100    |ST-L    |2020AJ....160...83S
5324|CD-56 1596                                                            |Star                                  |06 40 08.9711797512 -56 30 31.385222136|265.8733422033837 -23.8570572710417|   11.620 0.894   |9.78     |~                 |    ~     ~    |    1|  629.029   pc  | -16.8600    +16.8600    |ST-L    |2020AJ....160...83S
5325|CD-56 1599                                                            |Star                                  |06 40 14.8744900056 -56 13 40.026065160|265.5784770730141 -23.7774213505292|   4.622 11.006   |9.59     |~                 |    ~     ~    |    1|  670.248   pc  | -22.4800    +22.4800    |ST-L    |2020AJ....160...83S
5326|CPD-56 1136                                                           |Star                                  |06 40 18.4298340216 -56 13 23.968597224|265.5758813200272 -23.7683618471231|   4.019 -3.522   |9.93     |~                 |    ~     ~    |    1|  351.506   pc  |  -1.7916     +1.7916    |paral   |2020yCat.1350....0G
5327|CD-56 1603                                                            |Star                                  |06 40 40.5704381880 -56 59 06.580678488|266.3983760887646 -23.8985002413202|  11.724 21.781   |10.15    |~                 |    ~     ~    |    1|  188.292   pc  |  -0.3581     +0.3581    |paral   |2020yCat.1350....0G
5328|HD 48839                                                              |Star                                  |06 41 55.6846290552 -57 03 55.044771624|266.5273112189651 -23.7517836623921|  -12.136 6.179   |9.86     |A4IV/V            |    ~     ~    |    1|  461.808   pc  |  -2.8578     +2.8578    |paral   |2020yCat.1350....0G
5329|CD-56 1617                                                            |High Proper Motion Star               |06 42 34.9141233024 -56 26 42.367942716|265.8936875874102 -23.5157597111001| 266.676 80.405   |9.47     |~                 |    ~     ~    |    1|   54.704   pc  |  -0.0281     +0.0281    |paral   |2020yCat.1350....0G
5330|HD 49033                                                              |Star                                  |06 43 05.8456259352 -56 42 18.901843920|266.1877050567219 -23.5102593261395|   -9.874 5.091   |9.12     |G8III             |    ~     ~    |    1|  574.416   pc  | -15.9700    +15.9700    |ST-L    |2020AJ....160...83S
5331|HD 49075                                                              |Star                                  |06 43 16.3543355568 -56 35 42.583610796|266.0777130899732 -23.4600398630166|   -9.000 6.617   |9.04     |G8/K0III          |    ~     ~    |    1|  523.478   pc  |  -2.9047     +2.9047    |paral   |2020yCat.1350....0G
5332|HD 49220                                                              |Star                                  |06 43 56.9001350496 -56 24 52.442828676|265.9120667240590 -23.3251575368116|   -3.713 9.743   |9.58     |A0V               |    ~     ~    |    1|  534.445   pc  |  -5.2556     +5.2556    |paral   |2020yCat.1350....0G
5333|CD-57 1489                                                            |Star                                  |06 36 13.1956494624 -57 09 57.501859896|266.4419155920786 -24.5291905852143|   -5.477 1.221   |9.66     |~                 |    ~     ~    |    1|  380.185   pc  |  -1.6044     +1.6044    |paral   |2020yCat.1350....0G
5334|HD 47699                                                              |High Proper Motion Star               |06 36 27.2221477272 -57 32 21.245532396|266.8500768567047 -24.5791063556864|  45.991 61.079   |7.15     |F2V               |    ~     ~    |    1|   86.180   pc  |  -0.0995     +0.0995    |paral   |2020yCat.1350....0G
5335|HD 47745                                                              |Star                                  |06 36 45.0141136152 -57 07 31.413758700|266.4156493753799 -24.4501438868238|   -3.626 9.936   |9.59     |A2V               |    ~     ~    |    1|  783.638   pc  |  -9.6412     +9.6412    |paral   |2020yCat.1350....0G
5336|HD 47830                                                              |Eclipsing Binary                      |06 36 59.9747883624 -57 56 36.169409328|267.3013554733799 -24.5946744932674|   -3.630 5.789   |10.10    |B8/A0III          |    ~     ~    |    1|  903.587   pc  | -13.7983    +13.7983    |paral   |2020yCat.1350....0G
5337|V* V446 Car                                                           |Long-Period Variable Candidate        |06 37 37.6752144744 -57 26 15.125472744|266.7787133658330 -24.4029848022917|   -8.309 1.839   |8.70     |M2III             |    ~     ~    |    1|  704.225   pc  |  -7.5382     +7.5382    |paral   |2020yCat.1350....0G
5338|CD-57 1511                                                            |High Proper Motion Star               |06 39 48.4827012840 -57 41 50.122969656|267.1278883067727 -24.1758230381157|  8.367 -56.638   |10.10    |~                 |    ~     ~    |    1|  212.879   pc  |  -0.5257     +0.5257    |paral   |2020yCat.1350....0G
5339|HD 49264                                                              |High Proper Motion Star               |06 44 06.5914714392 -57 24 00.183269844|266.9592870699260 -23.5453048113854| -53.852 55.721   |9.41     |G3IV/V            |    ~     ~    |    1|  113.942   pc  |  -0.3077     +0.3077    |paral   |2020yCat.1350....0G
5340|HD 49377                                                              |Eruptive Variable                     |06 44 42.8223270672 -57 26 24.992199312|267.0233563093496 -23.4762084026676| -51.051 51.253   |8.55     |F5/6V             |    ~     ~    |    1|  101.995   pc  |  -4.5180     +4.5180    |paral   |2020yCat.1350....0G
5341|HD 47952                                                              |High Proper Motion Star               |06 37 27.0266992056 -58 10 54.027029244|267.5713779753528 -24.5873731040924| -21.680 46.037   |8.21     |F0III             |    ~     ~    |    1|  180.642   pc  |  -1.0703     +1.0703    |paral   |2020yCat.1350....0G
5342|HD 48170                                                              |High Proper Motion Star               |06 38 26.5578132240 -58 20 17.117188080|267.7701170404888 -24.4935178524072|   3.314 52.173   |8.22     |F6V               |    ~     ~    |    1|   85.889   pc  |  -0.3342     +0.3342    |paral   |2020yCat.1350....0G
5343|HD 48732                                                              |Star                                  |06 41 14.5635310368 -58 14 08.427827472|267.7497495377478 -24.1120063436995|  26.642 -6.193   |9.18     |G8/K0III          |    ~     ~    |    1|  229.198   pc  |  -2.5650     +2.5650    |ST-L    |2020AJ....160...83S
5344|HD 48927A                                                             |Spectroscopic Binary                  |06 42 21.0369217272 -58 10 59.121011064|267.7301483646414 -23.9579430461286| 19.215 -30.255   |9.78     |F5(IV)            |    ~     ~    |    1|  283.994   pc  |  -5.7021     +5.7021    |paral   |2020yCat.1350....0G
5345|HD 49034                                                              |Star                                  |06 42 52.6248506736 -58 29 01.804248384|268.0678172537144 -23.9598855727409|   -2.537 2.077   |7.92     |K4III/IV          |    ~     ~    |    1|  512.683   pc  | -12.4700    +12.4700    |ST-L    |2020AJ....160...83S
