C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:44:25

dec >=0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7006

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
71  |BD+41 4384                                                                                               |Star                               |22 07 05.6821327008 +42 29 11.044703688|093.3735905677338 -10.7602755438278|   5.860 -0.589   |9.71     |F0                  |    ~     ~    |    1|  422.494   pc  |  -4.8017     +4.8017  |paral   |2020yCat.1350....0G
72  |BD+41 4390                                                                                               |Star                               |22 07 42.2225597784 +42 29 48.898843512|093.4718514571578 -10.8185639778832|   -9.660 0.572   |9.62     |F0                  |    ~     ~    |    1|  206.190   pc  |  -0.4634     +0.4634  |paral   |2020yCat.1350....0G
73  |BD+41 4400                                                                                               |Star                               |22 09 30.4079788248 +42 27 59.110870212|093.7265704484465 -11.0396927171092|-32.972 -22.102   |8.78     |K0                  |    ~     ~    |    1|  325.627   pc  |  -1.7071     +1.7071  |paral   |2020yCat.1350....0G
74  |BD+41 4401                                                                                               |Star                               |22 09 29.4412371648 +42 37 20.810061732|093.8176737017138 -10.9118081170713|-15.772 -15.494   |8.90     |K2                  |    ~     ~    |    1|  417.693   pc  |  -2.5298     +2.5298  |paral   |2020yCat.1350....0G
75  |V* EL Lac                                                                                                |Eclipsing Binary                   |22 08 53.7309941856 +42 16 20.970297984|093.5171178927536 -11.1297320240451|  -6.263 -5.759   |10       |~                   |    ~     ~    |    0|                |                       |        |                   
76  |BD+43 4143                                                                                               |Star                               |22 10 04.0150756344 +44 10 52.574076588|094.8330838571356 -09.7106004198616| -14.109 -9.014   |9.53     |A5                  |    ~     ~    |    1|  206.663   pc  |  -0.6449     +0.6449  |paral   |2020yCat.1350....0G
77  |HD 210565                                                                                                |Star                               |22 10 11.6827277232 +44 04 33.778959204|094.7895701719557 -09.8093844152945|-18.790 -17.553   |8.08     |K2                  |    ~     ~    |    1|  261.090   pc  |  -5.9306     +5.9306  |paral   |2020yCat.1350....0G
78  |HD 210482                                                                                                |Star                               |22 09 42.3547559856 +43 38 43.489302252|094.4611278587437 -10.1069786652090|    6.620 0.782   |7.70     |K2                  |    ~     ~    |    1|  869.565   pc  | -10.8129    +10.8129  |paral   |2020yCat.1350....0G
79  |HD 210496                                                                                                |Star                               |22 09 45.6779790840 +43 11 11.533430508|094.1958368555688 -10.4845208349987|   1.189 -4.348   |7.10     |K5                  |    ~     ~    |    1|  582.276   pc  |  -5.5264     +5.5264  |paral   |2020yCat.1350....0G
80  |BD+42 4310                                                                                               |Double or Multiple Star            |22 09 56.3153 +42 53 49.202            |094.0496608 -10.7379727            |   -2.20 -16.00   |10.41    |F8                  |    ~     ~    |    0|                |                       |        |                   
