C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:18:19

dec< 0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2507

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
437 |HD 4189                                                                                                  |High Proper Motion Star             |00 44 07.9602318696 -30 25 02.799886044|328.4490175165362 -86.3421273189167|-99.308 -112.031  |9.07     |F8V               |    ~     ~    |    1|   96.732   pc  |  -0.1460     +0.1460  |paral   |2020yCat.1350....0G
438 |HD 3155                                                                                                  |Star                                |00 34 41.7604271712 -28 02 43.355003388|018.0818461838108 -86.1789236832613|  -4.261 -9.499   |9.56     |G8III/IV          |    ~     ~    |    1|  566.990   pc  |  -5.0793     +5.0793  |paral   |2020yCat.1350....0G
439 |HD 3314                                                                                                  |Spectroscopic Binary                |00 36 00.5343442200 -28 16 04.637829828|013.5875617325030 -86.3998379306543|  -3.330 16.290   |9.79     |F6V               |    ~     ~    |    1|  238.686   pc  |  -2.0054     +2.0054  |paral   |2020yCat.1350....0G
440 |HD 3134                                                                                                  |High Proper Motion Star             |00 34 30.8308249704 -28 51 35.140833936|007.0829759953123 -85.8826879710666|108.908 -16.349   |8.30     |K0III             |    ~     ~    |    1|  167.980   pc  |  -0.8183     +0.8183  |paral   |2020yCat.1350....0G
441 |HD 3171                                                                                                  |High Proper Motion Star             |00 34 46.5325384920 -28 46 46.014358872|007.7973309919421 -85.9672997897449|  100.484 9.069   |10.21    |G8V               |    ~     ~    |    1|   80.993   pc  |  -0.1371     +0.1371  |paral   |2020yCat.1350....0G
442 |HD 3218                                                                                                  |High Proper Motion Star             |00 35 15.9701029632 -29 12 35.552898576|001.7015992652707 -85.8730061635461| 13.680 -78.039   |8.62     |G0V               |    ~     ~    |    1|   89.994   pc  |  -0.1409     +0.1409  |paral   |2020yCat.1350....0G
443 |HD 3276                                                                                                  |Spectroscopic Binary                |00 35 40.4513485320 -28 29 25.098965052|010.6775316206533 -86.2578456437515|-10.808 -11.650   |10.03    |G8/K0(III)        |    ~     ~    |    1|  935.716   pc  | -15.3224    +15.3224  |paral   |2020yCat.1350....0G
444 |HD 3091                                                                                                  |High Proper Motion Star             |00 34 00.1822519968 -30 19 21.930275316|352.0136023352797 -85.0194348902902|-33.643 -51.023   |8.32     |K1IV              |    ~     ~    |    1|  210.097   pc  |  -1.0638     +1.0638  |paral   |2020yCat.1350....0G
445 |CD-30 157                                                                                                |Spectroscopic Binary                |00 34 07.5086322624 -29 43 46.218395676|357.5666791964289 -85.3904649174209|   19.307 1.592   |10.934   |~                 |    ~     ~    |    1|  532.657   pc  | -19.4000    +19.4000  |ST-L    |2020AJ....160...83S
446 |CD-29 158                                                                                                |Double or Multiple Star             |00 34 09.432216 -28 56 51.98532        |006.418424308 -85.775436620        |     -9.5 -12.2   |10.358   |~                 |    ~     ~    |    1|  239.157   pc  | +31.866      +4       |ST-L    |2017AJ....153...75K
447 |CD-30 158                                                                                                |High Proper Motion Star             |00 34 10.1776008744 -29 51 09.465773616|356.2376838518609 -85.3296707231932|  49.489 17.064   |10.729   |~                 |    ~     ~    |    1|  269.779   pc  |  -4.2020     +4.2020  |ST-L    |2020AJ....160...83S
448 |CD-29 166                                                                                                |Star                                |00 36 03.6871346160 -28 24 30.785847408|011.4171894754988 -86.3658572576700|  -4.878 -0.755   |10.37    |~                 |    ~     ~    |    1|  176.404   pc  |  -0.8060     +0.8060  |paral   |2020yCat.1350....0G
449 |HD 4064                                                                                                  |Star                                |00 42 52.1921525064 -27 43 00.799426776|015.2384067521641 -88.0096810959637| 33.444 -14.265   |9.682    |G3III             |    ~     ~    |    1|  170.458   pc  |  -1.7030     +1.7030  |ST-L    |2020AJ....160...83S
450 |HD 3655                                                                                                  |Star                                |00 39 10.2411392328 -28 07 01.520798340|012.2284553674240 -87.1085391005667|  -17.208 0.356   |9.21     |G8III             |    ~     ~    |    1|  262.605   pc  |  -1.3585     +1.3585  |paral   |2020yCat.1350....0G
451 |HD 3665                                                                                                  |Star                                |00 39 17.0702225232 -28 08 56.574610764|011.4627166173399 -87.1214100757307|  30.980 28.667   |8.65     |K1III             |    ~     ~    |    1|  339.893   pc  |  -3.1886     +3.1886  |paral   |2020yCat.1350....0G
452 |HD 4024                                                                                                  |Star                                |00 42 32.9685048864 -27 54 08.513313336|010.9763241928694 -87.8827053965589|  6.728 -29.696   |9.67     |K0/1III           |    ~     ~    |    1|  636.699   pc  |  -5.6349     +5.6349  |paral   |2020yCat.1350....0G
453 |CD-29 169                                                                                                |High Proper Motion Star             |00 36 27.5720701200 -29 16 59.471864544|358.9121149677486 -86.0591707596288|123.715 -15.547   |10.479   |~                 |    ~     ~    |    1|  120.895   pc  |  -0.8684     +0.8684  |ST-L    |2020AJ....160...83S
454 |HD 3381                                                                                                  |Star                                |00 36 32.6904381528 -28 51 12.226826304|004.3800736936315 -86.2874612104775|-28.710 -20.737   |8.39     |K2III             |    ~     ~    |    1|  324.834   pc  |  -2.8806     +2.8806  |paral   |2020yCat.1350....0G
455 |HD 3523                                                                                                  |Star                                |00 38 03.8447039592 -28 45 43.973179344|003.2041166212336 -86.6248056769349| 33.356 -10.451   |9.74     |K1/2(III)         |    ~     ~    |    1|  205.927   pc  |  -0.5682     +0.5682  |paral   |2020yCat.1350....0G
456 |HD 3694                                                                                                  |Star                                |00 39 30.6831614976 -29 05 07.306896372|355.5822612120064 -86.7219455155902|  4.314 -13.291   |9.20     |K2(III)           |    ~     ~    |    1|  423.621   pc  |  -3.1943     +3.1943  |paral   |2020yCat.1350....0G
457 |HD 3761                                                                                                  |High Proper Motion Star             |00 40 08.3499801264 -28 34 13.664518464|002.2731762944836 -87.1161250750799| 65.922 -80.141   |9.954    |G3V               |    ~     ~    |    1|  135.604   pc  |  -0.2905     +0.2905  |paral   |2020yCat.1350....0G
458 |HD 3771                                                                                                  |Star                                |00 40 16.3502768520 -28 30 52.391103552|002.9693017053040 -87.1688425809816|  -2.927 -6.287   |9.82     |K2(III)           |    ~     ~    |    1|  980.104   pc  | -19.5003    +19.5003  |paral   |2020yCat.1350....0G
459 |CD-30 173                                                                                                |Star                                |00 36 46.6604802336 -29 30 23.621196348|355.6787405721125 -85.9921464961662| 14.647 -15.512   |10.18    |~                 |    ~     ~    |    1|  743.218   pc  |  -9.8322     +9.8322  |paral   |2020yCat.1350....0G
460 |HD 3424                                                                                                  |Star                                |00 37 00.3782441544 -29 42 41.715938808|352.9342026087660 -85.9087707932874|  32.375 25.275   |8.81     |K0III             |    ~     ~    |    1|  244.163   pc  |  -3.6010     +3.6010  |ST-L    |2020AJ....160...83S
461 |HD 3524                                                                                                  |Star                                |00 38 01.9377424032 -29 30 44.398700604|353.2053608336772 -86.2072387108348| 14.167 -16.752   |8.93     |K4III             |    ~     ~    |    1|  649.098   pc  | -10.2383    +10.2383  |paral   |2020yCat.1350....0G
462 |CD-30 187                                                                                                |Star                                |00 39 38.5285732656 -29 35 29.535890964|348.7315406602807 -86.4223482457069|  7.619 -25.180   |9.83     |F8                |    ~     ~    |    1|  192.452   pc  |  -0.6148     +0.6148  |paral   |2020yCat.1350....0G
463 |HD 3809                                                                                                  |Star                                |00 40 33.3399109416 -29 25 15.091833792|348.5575023498555 -86.6841258187621|   17.734 8.397   |6.74     |K0III             |    ~     ~    |    1|  187.329   pc  |  -0.6878     +0.6878  |paral   |2020yCat.1350....0G
464 |HD 3878                                                                                                  |Spectroscopic Binary                |00 41 04.6725197544 -29 31 14.770243380|345.9437584304948 -86.6953737175837|-25.477 -13.170   |9.29     |K0III             |    ~     ~    |    1|  277.408   pc  |  -2.7704     +2.7704  |paral   |2020yCat.1350....0G
465 |HD 3390                                                                                                  |Star                                |00 36 42.9010907664 -30 04 15.914875188|349.7412385080111 -85.6298174668646|  21.020 -0.844   |10.01    |K0/1(III)         |    ~     ~    |    1|  373.836   pc  |  -7.9730     +7.9730  |ST-L    |2020AJ....160...83S
466 |HD 3695                                                                                                  |Star                                |00 39 33.0287972016 -29 49 12.778368204|346.3723994703055 -86.2492178460921| 27.881 -18.601   |7.82     |K2III             |    ~     ~    |    1|  361.572   pc  |  -3.0069     +3.0069  |paral   |2020yCat.1350....0G
467 |HD 3810                                                                                                  |High Proper Motion Star             |00 40 32.2399719192 -29 52 05.820306528|343.4448834549861 -86.3611518300400|136.767 107.529   |8.70     |G3/5V             |    ~     ~    |    1|   65.377   pc  |  -0.2717     +0.2717  |ST-L    |2020AJ....160...83S
468 |CD-30 202                                                                                                |Star                                |00 42 08.5295150592 -30 10 13.117381896|336.2195385453533 -86.3378462907548|   0.455 -6.749   |10.38    |G5                |    ~     ~    |    1|  844.452   pc  | -12.6219    +12.6219  |paral   |2020yCat.1350....0G
469 |HD 4209                                                                                                  |High Proper Motion Star             |00 44 21.1774630752 -30 06 40.649415696|330.0415723162000 -86.6362337548649|  92.366 44.356   |9.32     |G3V               |    ~     ~    |    1|  100.363   pc  |  -0.1471     +0.1471  |paral   |2020yCat.1350....0G
470 |HD 4220                                                                                                  |Star                                |00 44 26.6610170808 -29 44 35.575400400|332.9727561650829 -86.9666897117250| 45.474 -10.144   |9.82     |G3IV/V            |    ~     ~    |    1|  101.575   pc  |  -0.6023     +0.6023  |ST-L    |2020AJ....160...83S
471 |V* AA Scl                                                                                                |Long-Period Variable                |00 36 28.9444055616 -30 20 01.104553104|347.6932521774960 -85.4155346707268|    6.770 1.040   |10.50    |M3II              |    ~     ~    |    1|  800.320   pc  | -16.7174    +16.7174  |paral   |2020yCat.1350....0G
472 |CPD-29 63                                                                                                |Star                                |00 36 32.7014906664 -28 59 19.085986356|002.5462908022459 -86.2245852095623|   2.671 -3.167   |10.39    |~                 |    ~     ~    |    1|  282.294   pc  |  -2.7334     +2.7334  |paral   |2020yCat.1350....0G
473 |CD-30 184                                                                                                |Star                                |00 39 10.5849044616 -29 53 42.440431056|346.4408706766747 -86.1389090829615|-10.907 -13.784   |10.64    |~                 |    ~     ~    |    1|  329.587   pc  |  -2.3464     +2.3464  |paral   |2020yCat.1350....0G
474 |CD-30 190                                                                                                |Star                                |00 40 05.5108470288 -29 50 29.948122824|344.8412319017704 -86.3154674773550| 16.594 -13.732   |10.78    |~                 |    ~     ~    |    1|  264.971   pc  |  -1.1234     +1.1234  |paral   |2020yCat.1350....0G
475 |CD-28 203                                                                                                |Star                                |00 41 56.6036782896 -28 16 27.513269256|003.7788739242018 -87.6063326104144|   42.495 6.280   |10.671   |~                 |    ~     ~    |    1|  247.404   pc  |  -3.4760     +3.4760  |ST-L    |2020AJ....160...83S
476 |CPD-29 71                                                                                                |High Proper Motion Star             |00 43 16.6899943512 -28 27 16.903717956|356.1430820051173 -87.7604017241001|-48.978 -147.464  |10.62    |~                 |    ~     ~    |    1|   98.391   pc  |  -0.5412     +0.5412  |ST-L    |2020AJ....160...83S
477 |CD-28 218                                                                                                |Star                                |00 43 38.1777007560 -28 15 58.438057284|359.0980587453768 -87.9319073164032|   41.131 6.893   |10.657   |~                 |    ~     ~    |    1|  113.929   pc  |  -7.3600     +7.3600  |ST-L    |2020AJ....160...83S
478 |CD-30 218                                                                                                |Star                                |00 44 53.224608 -29 53 55.81716        |329.992457446 -86.878101473        |       -2.4 6.1   |10.978   |~                 |    ~     ~    |    1|  178.694   pc  | +54.803      +5       |ST-L    |2017AJ....153...75K
479 |NGC 174                            NGC 174                                                               |Galaxy                              |00 36 58.925 -29 28 40.34              |355.642524 -86.045017              |            ~ ~   |     ~   |~                 |1.033 0.496    |    0|                |                       |        |                   
480 |CD-28 199                                                                                                |Star                                |00 41 17.4681936576 -28 16 07.344379272|005.4263151232077 -87.4811338373898| -1.847 -12.301   |10.972   |~                 |    ~     ~    |    1|  592.409   pc  |-320.0000   +320.0000  |ST-L    |2020AJ....160...83S
481 |CD-28 207                                                                                                |Star                                |00 42 37.4530133208 -28 09 26.306550576|004.6256677672620 -87.7934971440334|  -9.805 -5.231   |10.808   |~                 |    ~     ~    |    1| 1036.790   pc  | -50.4600    +50.4600  |ST-L    |2020AJ....160...83S
482 |CD-28 212                                                                                                |Star                                |00 43 00.1183282536 -28 13 42.975120972|001.9402098173227 -87.8323716738375|   0.085 -9.690   |10.556   |~                 |    ~     ~    |    1| 2547.480   pc  |-365.9000   +365.9000  |ST-L    |2020AJ....160...83S
483 |TYC 6423-620-1                                                                                           |High Proper Motion Star             |00 38 04.1789188896 -28 54 42.524549208|001.0005934377206 -86.5527358566955| 89.952 -31.247   |10.96    |~                 |    ~     ~    |    1|  227.842   pc  |  -1.0123     +1.0123  |paral   |2020yCat.1350....0G
484 |TYC 6423-652-1                                                                                           |Star                                |00 38 52.1262286512 -28 16 10.954837596|009.8997639656952 -86.9929095676342| 12.762 -13.323   |10.89    |~                 |    ~     ~    |    1| 1336.005   pc  | -46.5862    +46.5862  |paral   |2020yCat.1350....0G
485 |HD 2861                                                                                                  |High Proper Motion Star             |00 31 51.1650340992 -27 49 42.177508356|022.6513936485467 -85.6003486105358| 175.892 13.062   |9.65     |G6/8V             |    ~     ~    |    1|   66.427   pc  |  -0.6018     +0.6018  |ST-L    |2020AJ....160...83S
486 |CD-28 152                                                                                                |Star                                |00 33 26.5362149928 -27 48 40.593511836|022.1888568595241 -85.9505643326450| 42.601 -17.091   |10.75    |~                 |    ~     ~    |    1|  279.303   pc  |  -4.6860     +4.6860  |ST-L    |2020AJ....160...83S
487 |CD-25 179                                                                                                |Spectroscopic Binary                |00 31 42.4836981840 -25 11 48.652587312|055.3999094174342 -85.1704946438710|-30.361 -63.835   |10.459   |~                 |    ~     ~    |    1|  101.162   pc  |  -0.7900     +0.7900  |ST-L    |2020AJ....160...83S
488 |HD 2870                                                                                                  |Star                                |00 31 52.7205864648 -25 42 40.286360664|049.7642145027662 -85.3977541854831|-11.401 -17.636   |9.54     |G3V               |    ~     ~    |    1|  197.832   pc  |  -1.1937     +1.1937  |paral   |2020yCat.1350....0G
489 |HD 2947                                                                                                  |High Proper Motion Star             |00 32 39.3869562360 -25 21 34.969005000|054.6606419062376 -85.4328417426843| -5.161 -54.062   |6.71     |K0/1III           |    ~     ~    |    1|  144.800   pc  |  -0.7045     +0.7045  |paral   |2020yCat.1350....0G
490 |CD-26 150                                                                                                |Star                                |00 30 21.0207221952 -26 04 31.752740136|044.3317282588378 -85.1705018905392|    5.773 4.154   |10.35    |~                 |    ~     ~    |    1|  251.294   pc  |  -3.7820     +3.7820  |ST-L    |2020AJ....160...83S
491 |CD-26 154                                                                                                |Star                                |00 31 00.8773733184 -26 10 36.283544076|043.5565507910216 -85.3389465267236| -6.485 -39.324   |10.35    |~                 |    ~     ~    |    1|  170.579   pc  |  -0.6547     +0.6547  |paral   |2020yCat.1350....0G
492 |CD-26 156                                                                                                |Double or Multiple Star             |00 31 29.7396080856 -26 14 23.954196516|043.0819909148813 -85.4580761653026|  36.176 14.531   |9.966    |~                 |    ~     ~    |    1|  583.363   pc  |  -7.1806     +7.1806  |paral   |2020yCat.1350....0G
493 |HD 2831                                                                                                  |High Proper Motion Star             |00 31 34.9003458792 -26 01 35.053737168|045.7509225787056 -85.4261805483454|60.214 -131.050   |9.880    |G2V               |    ~     ~    |    1|  142.756   pc  |  -1.3960     +1.3960  |ST-L    |2020AJ....160...83S
494 |HD 2999                                                                                                  |High Proper Motion Star             |00 33 05.5845720384 -25 46 39.891657216|050.1068666013716 -85.6779375824074| 62.678 -10.329   |10.058   |F8V               |    ~     ~    |    1|  242.574   pc  |  -3.8570     +3.8570  |ST-L    |2020AJ....160...83S
495 |SAO 166365                                                                                               |Long-Period Variable Candidate      |00 33 37.7003075808 -26 05 20.220903888|046.5591428925650 -85.8860274326868|  11.118 -2.276   |9.660    |M5III             |    ~     ~    |    1| 1087.67    pc  | -31.35      +31.35    |paral   |2020yCat.1350....0G
496 |HD 3045                                                                                                  |Star                                |00 33 36.3370781040 -26 05 30.553173024|046.5015222538255 -85.8818854712484| -10.362 -2.709   |7.30     |K3/4III           |    ~     ~    |    1|  473.082   pc  |  -6.1323     +6.1323  |paral   |2020yCat.1350....0G
497 |HD 2903                                                                                                  |Star                                |00 32 14.0303652288 -26 47 46.135313124|036.2782132875357 -85.7082241062746| 15.323 -30.687   |9.73     |F6V               |    ~     ~    |    1|  182.335   pc  |  -0.7381     +0.7381  |paral   |2020yCat.1350....0G
498 |CD-27 145                                                                                                |Star                                |00 31 05.9757476904 -26 48 34.879568364|035.7968766587574 -85.4574898041138|  24.453 -9.771   |10.485   |~                 |    ~     ~    |    1|  920.203   pc  | -47.0000    +47.0000  |ST-L    |2020AJ....160...83S
499 |CD-25 189                                                                                                |High Proper Motion Star             |00 32 46.5823155768 -25 16 39.865809324|055.7378220958173 -85.4237531049071| 127.489 39.661   |10.55    |~                 |    ~     ~    |    1|  129.282   pc  |  -0.3142     +0.3142  |paral   |2020yCat.1350....0G
500 |CD-27 149                                                                                                |Star                                |00 32 26.6286632496 -26 31 28.929463284|039.9615219484314 -85.7200361792512|  2.684 -34.260   |10.970   |~                 |    ~     ~    |    1|  728.975   pc  | -79.3800    +79.3800  |ST-L    |2020AJ....160...83S
501 |CD-27 154                                                                                                |Star                                |00 33 17.2216081752 -26 55 24.893995512|034.7976318361963 -85.9528365762039| 19.603 -23.138   |10.758   |~                 |    ~     ~    |    1|  345.986   pc  |  -7.2600     +7.2600  |ST-L    |2020AJ....160...83S
502 |TYC 6421-1722-1                                                                                          |Star                                |00 33 42.1546222488 -26 08 52.050701904|045.8261332560055 -85.9175853313447| 17.625 -17.755   |10.99    |~                 |    ~     ~    |    1|  509.424   pc  |  -7.0588     +7.0588  |paral   |2020yCat.1350....0G
503 |NGC 150                            NGC 150                                                               |Emission-line galaxy                |00 34 15.4727570592 -27 48 12.824363736|021.8969581767337 -86.1299565928866|    0.183 3.690   |11.13    |~                 |1.990 1.114    |    1|   23.23    Mpc |  -2.30       +2.30    |T-F     |2020ApJ...902..145K
504 |CD-28 174A                                                                                               |Star                                |00 37 51.1903477752 -27 40 11.223431508|021.9714864919546 -86.9366565115432| 18.011 -26.223   |10.23    |~                 |    ~     ~    |    1|  248.030   pc  |  -3.6970     +3.6970  |ST-L    |2020AJ....160...83S
505 |HD 3522                                                                                                  |Star                                |00 38 06.7550941344 -27 37 16.104391140|022.7091945800055 -87.0010392800765|  -10.164 0.155   |7.73     |K1IIICNII         |    ~     ~    |    1|  202.704   pc  |  -0.8629     +0.8629  |paral   |2020yCat.1350....0G
506 |HD 3679                                                                                                  |Star                                |00 39 20.7776998008 -27 32 36.407103432|023.4505482405846 -87.2828305896816|    2.614 1.939   |9.73     |K0/1(III)         |    ~     ~    |    1|  756.544   pc  |  -9.6156     +9.6156  |paral   |2020yCat.1350....0G
507 |HD 3844                                                                                                  |High Proper Motion Star             |00 40 52.0160021280 -27 40 56.327282904|019.0386114906573 -87.5893668303657|121.130 -68.464   |9.777    |G3/5V             |    ~     ~    |    1|  141.837   pc  |  -1.2740     +1.2740  |ST-L    |2020AJ....160...83S
508 |CD-28 183                                                                                                |High Proper Motion Star             |00 38 48.3215806200 -27 36 29.506333140|022.4976585926818 -87.1546707474415| 46.756 -55.427   |10.882   |~                 |    ~     ~    |    1|  165.545   pc  |  -1.7150     +1.7150  |ST-L    |2020AJ....160...83S
509 |CD-25 211                                                                                                |Rotating Variable                   |00 35 43.6716616476 -25 14 03.711858028|060.3055898987452 -85.9991963652090|   24.264 6.046   |9.686    |G4V+K2V           |    ~     ~    |    1|   90.456   pc  |  -1.8778     +1.8778  |paral   |2020yCat.1350....0G
510 |HD 3244                                                                                                  |Star                                |00 35 32.9595599760 -25 23 59.766927828|057.9254432779007 -86.0411092258901|  3.536 -40.628   |8.23     |A7V               |    ~     ~    |    1|  143.345   pc  |  -0.4767     +0.4767  |paral   |2020yCat.1350....0G
511 |CD-26 169                                                                                                |Spectroscopic Binary                |00 34 55.4835781056 -25 59 52.524073752|049.0213344167191 -86.1385985161665|   0.012 -5.285   |9.73     |~                 |    ~     ~    |    1| 1164.144   pc  | -37.8110    +37.8110  |paral   |2020yCat.1350....0G
512 |HD 3187                                                                                                  |Star                                |00 35 01.9473037632 -26 07 32.579518656|047.2991977890964 -86.1992480482521|-15.161 -10.155   |7.63     |G8III             |    ~     ~    |    1|  259.410   pc  |  -1.3661     +1.3661  |paral   |2020yCat.1350....0G
513 |HD 3133                                                                                                  |High Proper Motion Star             |00 34 31.3281326856 -26 45 17.308409688|037.6281120136529 -86.2117615898818|   61.133 1.294   |9.84     |G1/2V             |    ~     ~    |    1|  119.645   pc  |  -1.2600     +1.2600  |ST-L    |2020AJ....160...83S
514 |HD 3188                                                                                                  |High Proper Motion Star             |00 35 01.5417429576 -26 44 44.910043800|037.9684624723658 -86.3223402091011|-22.456 -56.380   |9.963    |G3V               |    ~     ~    |    1|  126.075   pc  |  -1.1790     +1.1790  |ST-L    |2020AJ....160...83S
515 |HD 3257                                                                                                  |Star                                |00 35 38.2296026520 -26 51 22.444801452|036.4525076100959 -86.4697680162555|  20.420 10.380   |8.62     |F0V               |    ~     ~    |    1|  198.732   pc  |  -5.5490     +5.5490  |paral   |2020yCat.1350....0G
516 |HD 3338                                                                                                  |Star                                |00 36 12.0711002904 -26 45 37.498740660|038.2488158347396 -86.5845890231541| -21.092 -6.570   |8.48     |F0V               |    ~     ~    |    1|  161.082   pc  |  -0.7213     +0.7213  |paral   |2020yCat.1350....0G
517 |CD-28 154                                                                                                |High Proper Motion Star             |00 33 53.7467577456 -27 36 50.758273224|024.8159285621595 -86.0754740596974| 182.032 20.290   |10.09    |~                 |    ~     ~    |    1|  100.046   pc  |  -0.6274     +0.6274  |ST-L    |2020AJ....160...83S
518 |CD-28 163                                                                                                |Star                                |00 35 14.0412245832 -27 32 41.147174256|025.4020063656491 -86.3775676981546|  13.609 -2.005   |10.85    |~                 |    ~     ~    |    1|  436.719   pc  |  -3.9098     +3.9098  |paral   |2020yCat.1350....0G
519 |CD-27 171                                                                                                |Star                                |00 35 50.4112087248 -26 29 45.467888496|042.3455180955081 -86.4629885118779|   -3.479 7.536   |10.91    |F0                |    ~     ~    |    1|  403.145   pc  |  -4.9895     +4.9895  |paral   |2020yCat.1350....0G
520 |CD-25 214                                                                                                |Star                                |00 36 09.1425330456 -25 05 57.617575332|062.6755560743856 -86.0141033596607| 17.983 -26.469   |10.583   |~                 |    ~     ~    |    1|  345.982   pc  |  -7.7460     +7.7460  |ST-L    |2020AJ....160...83S
521 |CD-25 217                                                                                                |Star                                |00 36 35.5516023120 -25 12 05.988171708|062.1474676723019 -86.1522731351189|   8.514 -3.661   |9.50     |~                 |    ~     ~    |    1|  532.056   pc  |  -7.3036     +7.3036  |paral   |2020yCat.1350....0G
522 |HD 3605                                                                                                  |High Proper Motion Star             |00 38 48.7830987696 -25 06 28.140485904|067.7154690027866 -86.5198422256112| 56.599 -20.985   |6.41     |K4III             |    ~     ~    |    1|  355.834   pc  |  -4.1784     +4.1784  |paral   |2020yCat.1350....0G
523 |CD-25 235                                                                                                |High Proper Motion Star             |00 38 52.2410109672 -25 06 32.313765888|067.8272581815505 -86.5310518046754| 58.781 -24.842   |9.61     |~                 |    ~     ~    |    1|  222.960   pc  |  -1.0986     +1.0986  |paral   |2020yCat.1350....0G
524 |HD 3645                                                                                                  |Star                                |00 39 04.0787627928 -25 02 33.296354520|069.1472518031310 -86.5268753244889| 36.159 -16.038   |9.56     |F3V               |    ~     ~    |    1|  211.748   pc  |  -1.5424     +1.5424  |paral   |2020yCat.1350....0G
525 |HD 3722                                                                                                  |High Proper Motion Star             |00 39 51.1559374704 -25 02 02.189551704|071.1240080709877 -86.6605598160952| 9.812 -128.477   |8.75     |G6V               |    ~     ~    |    1|   48.197   pc  |  -0.0451     +0.0451  |paral   |2020yCat.1350....0G
526 |CD-25 259                                                                                                |Spectroscopic Binary                |00 41 16.3739269536 -24 59 37.161097332|075.4446827899056 -86.8748074211588| 98.483 -22.893   |10.24    |~                 |    ~     ~    |    1|  213.397   pc  |  -0.8698     +0.8698  |paral   |2020yCat.1350....0G
527 |HD 3917                                                                                                  |Star                                |00 41 34.4668979856 -25 11 47.616850104|073.4966358049765 -87.0625034069083| -5.015 -42.197   |6.54     |K1/2III           |    ~     ~    |    1|  213.516   pc  |  -9.7423     +9.7423  |paral   |2020yCat.1350....0G
528 |HD 3954                                                                                                  |Star                                |00 42 02.2052838384 -24 57 02.261660940|078.2904683840577 -86.9667920184186| 13.158 -10.177   |9.90     |G0V               |    ~     ~    |    1|  194.871   pc  |  -0.6873     +0.6873  |paral   |2020yCat.1350....0G
529 |HD 3479                                                                                                  |Spectroscopic Binary                |00 37 39.1653681144 -25 33 38.161125468|059.0716119233902 -86.5367731558146| -0.393 -37.639   |8.55     |F0V               |    ~     ~    |    1|  187.147   pc  |  -0.7460     +0.7460  |paral   |2020yCat.1350....0G
530 |CD-26 193                                                                                                |Star                                |00 38 05.3985556416 -25 19 22.626948252|063.2793867475044 -86.5045393598612|  16.913 37.524   |10.301   |~                 |    ~     ~    |    1|  180.608   pc  |  -2.9570     +2.9570  |ST-L    |2020AJ....160...83S
531 |CD-26 195                                                                                                |Star                                |00 38 49.9118105640 -25 36 02.012990724|060.6395774868276 -86.7897034993839|-29.184 -31.856   |8.80     |~                 |    ~     ~    |    1|  107.778   pc  |  -1.0187     +1.0187  |paral   |2020yCat.1350....0G
532 |HD 3622                                                                                                  |Star                                |00 38 53.0550806040 -25 35 44.854742328|060.8169717819745 -86.7976899104669|-31.697 -27.201   |7.76     |A5V               |    ~     ~    |    1|  109.815   pc  |  -0.3099     +0.3099  |paral   |2020yCat.1350....0G
533 |CD-26 220                                                                                                |Star                                |00 41 51.7181385816 -25 39 26.703073224|066.8404920655127 -87.3997177598644| 28.924 -17.231   |9.69     |~                 |    ~     ~    |    1|  541.301   pc  |  -4.9811     +4.9811  |paral   |2020yCat.1350....0G
534 |CD-26 222                                                                                                |Star                                |00 42 13.6573816968 -25 25 04.871778924|072.0529593042984 -87.3190985979370|-12.221 -10.119   |10.74    |F4V               |    ~     ~    |    1|  288.678   pc  |  -5.9360     +5.9360  |ST-L    |2020AJ....160...83S
535 |CD-26 233                                                                                                |Star                                |00 44 28.4093098944 -25 31 26.984930052|078.3313557880698 -87.7621374009053|  16.207 15.566   |9.79     |F9V               |    ~     ~    |    1|  119.769   pc  |  -0.8340     +0.8340  |ST-L    |2020AJ....160...83S
536 |V* RT Scl                                                                                                |Spectroscopic Binary                |00 36 28.0901607240 -25 40 22.933477128|055.5580866445207 -86.3458856572105|  29.248 34.121   |10.31    |A5N+F3            |    ~     ~    |    1|  288.984   pc  |  -1.6535     +1.6535  |paral   |2020yCat.1350....0G
537 |CD-26 181                                                                                                |Star                                |00 37 05.7807179736 -26 08 41.868851496|049.1791233185180 -86.6478497802288| -5.282 -28.834   |10.188   |~                 |    ~     ~    |    1|  273.703   pc  |  -4.8300     +4.8300  |ST-L    |2020AJ....160...83S
538 |HD 3471                                                                                                  |High Proper Motion Star             |00 37 29.9331210888 -25 45 06.776914284|055.9515122824250 -86.5898734627060|-12.189 -65.515   |8.34     |G1V               |    ~     ~    |    1|   93.605   pc  |  -1.2442     +1.2442  |paral   |2020yCat.1350....0G
