C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:48:12

Vmag< 11&dec< 0&rah >=6.75&rah< 7.0
-----------------------------------

Number of objects : 8779

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
72  |HD 292333                                                                                                                                   |Star                                  |06 45 33.1474372632 -00 50 13.261718904|213.0060937035262 -01.6911106072078|   1.897 -1.167   |10.53    |K5                   |    ~     ~    
73  |HD 292321                                                                                                                                   |Star                                  |06 45 34.8919862496 -00 25 35.797395684|212.6439880518496 -01.4975449604204|  -2.708 -0.690   |10.08    |F0                   |    ~     ~    
74  |HD 295402                                                                                                                                   |Star                                  |06 45 22.7828769288 -02 29 52.439943408|214.4660757959848 -02.4859142066360|  -0.380 -1.455   |10.72    |A0                   |    ~     ~    
75  |HD 292417                                                                                                                                   |Star                                  |06 48 47.5313438592 -00 05 38.204789136|212.7139275133131 -00.6315020206750|    0.866 3.713   |9.98     |F5                   |    ~     ~    
76  |HD 49502                                                                                                                                    |Star                                  |06 48 47.0912408472 -00 08 20.761985580|212.7532808671267 -00.6537241921621|   3.082 -5.597   |8.48     |G8II                 |    ~     ~    
77  |V* V517 Mon                                                                                                                                 |Long-Period Variable                  |06 50 52.5046467456 -00 04 23.498189940|212.9329062793761 -00.1586041339903|   -0.185 0.620   |8.872    |M2                   |    ~     ~    
78  |HD 292556                                                                                                                                   |Star                                  |06 53 05.0888106816 -00 09 28.260498996|213.2601537749704 +00.2944505019157|  -0.427 -1.366   |9.80     |B8                   |    ~     ~    
79  |HD 50530                                                                                                                                    |Star                                  |06 53 46.2300396408 -00 06 55.498052196|213.3005595011625 +00.4663613993629|  -2.742 -2.253   |9.64     |B9III                |    ~     ~    
80  |HD 292328                                                                                                                                   |Star                                  |06 47 47.1066956688 -00 40 34.345088364|213.1174054562791 -01.1210498934057|  -10.752 8.499   |9.03     |G5                   |    ~     ~    
81  |HD 49311                                                                                                                                    |Star                                  |06 47 47.9105992176 -00 50 54.871651824|213.2723818138874 -01.1966426837280|   -1.554 0.971   |8.84     |B3/5II               |    ~     ~    
