C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:48:12

Vmag< 11&dec< 0&rah >=6.75&rah< 7.0
-----------------------------------

Number of objects : 8779

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
5909|HD 52174                                                                                                                                    |Star                                  |06 57 52.6211223840 -46 51 10.297016640|256.8427212479126 -18.3962957989074|   0.332 13.326   |9.45     |F5/7V                |    ~     ~    
5910|HD 52416                                                                                                                                    |Star                                  |06 58 51.6929946048 -46 18 59.186244816|256.3762306579798 -18.0498431330561|   9.925 38.716   |9.42     |K1/2(III)            |    ~     ~    
5911|HD 52469                                                                                                                                    |Star                                  |06 59 02.2413528048 -46 32 54.362963472|256.6158183218591 -18.1033498197939|   -3.172 4.886   |10.15    |A0V                  |    ~     ~    
5912|HD 52468                                                                                                                                    |Star                                  |06 59 05.4869780832 -46 11 36.551816160|256.2700862543925 -17.9691748419969|   4.419 -4.533   |8.66     |G8III                |    ~     ~    
5913|CD-46 2819                                                                                                                                  |Star                                  |06 59 33.0350622192 -46 16 15.331831428|256.3758006948522 -17.9224139198646|    2.399 8.787   |9.95     |K2                   |    ~     ~    
5914|CD-44 2960                                                                                                                                  |Star                                  |06 50 58.9639901520 -44 30 33.652212444|254.0844223344803 -18.7183825313023|  -9.913 14.473   |10.83    |~                    |    ~     ~    
5915|CD-44 2915                                                                                                                                  |Star                                  |06 47 36.8634107808 -44 41 19.307473080|254.0491020386644 -19.3433332490289|   -4.836 5.256   |10.590   |~                    |    ~     ~    
5916|CD-44 2917                                                                                                                                  |Star                                  |06 47 47.1887600736 -44 59 52.413139500|254.3690248817082 -19.4171740435760|   -2.051 2.890   |10.860   |~                    |    ~     ~    
5917|CD-45 2766                                                                                                                                  |Star                                  |06 49 16.6948860744 -45 36 09.041246172|255.0659608030759 -19.3701345465202|  -5.986 -3.068   |10.909   |~                    |    ~     ~    
5918|CD-45 2771                                                                                                                                  |Star                                  |06 49 53.0370438552 -45 55 54.699818160|255.4324573233776 -19.3797301547131|    1.735 3.395   |10.611   |~                    |    ~     ~    
5919|CD-46 2709                                                                                                                                  |Star                                  |06 50 11.3495461776 -46 31 28.736422356|256.0443273009989 -19.5257502093601|    0.385 5.747   |10.14    |~                    |    ~     ~    
5920|CD-45 2774                                                                                                                                  |Star                                  |06 50 11.6570085192 -45 56 46.478249304|255.4658209761527 -19.3336111544986|   9.333 -8.398   |10.58    |~                    |    ~     ~    
5921|CD-45 2786                                                                                                                                  |Star                                  |06 51 43.6185130752 -45 12 41.735390688|254.8291655944205 -18.8339744537542| -4.887 -27.285   |10.53    |~                    |    ~     ~    
5922|CD-45 2788                                                                                                                                  |Spectroscopic Binary                  |06 51 49.0406609304 -45 58 03.159931368|255.5869673578193 -19.0748862369262|  -0.223 12.112   |10.578   |~                    |    ~     ~    
5923|CD-44 2978                                                                                                                                  |Star                                  |06 52 09.1862590536 -44 33 59.741270208|254.2167327097997 -18.5421630505083|  -0.285 18.873   |10.313   |~                    |    ~     ~    
5924|CD-44 2983                                                                                                                                  |Star                                  |06 52 32.3840145648 -44 59 45.828745764|254.6670654771922 -18.6255182099707|  -4.208 -3.115   |9.60     |~                    |    ~     ~    
5925|CD-45 2803                                                                                                                                  |Star                                  |06 53 38.1606307032 -45 45 38.967673860|255.4950240092999 -18.7069074123894|   -0.632 3.689   |10.588   |~                    |    ~     ~    
5926|CD-45 2809                                                                                                                                  |Star                                  |06 54 15.6022607928 -45 27 48.422958984|255.2399907854720 -18.5021679042801| -24.008 12.612   |10.217   |~                    |    ~     ~    
5927|CD-45 2812                                                                                                                                  |Star                                  |06 54 25.5092395176 -45 09 39.304930788|254.9514448199365 -18.3701187460757|   -4.259 0.156   |10.173   |~                    |    ~     ~    
5928|CD-46 2758                                                                                                                                  |Star                                  |06 54 58.4241902952 -46 51 08.628594336|256.6620752663079 -18.8622153359167|   -2.666 3.226   |10.23    |~                    |    ~     ~    
5929|CD-44 3010                                                                                                                                  |Long-Period Variable                  |06 55 16.9713672648 -44 19 20.264503260|254.1811438039916 -17.9334137796219|    0.837 4.724   |10.48    |~                    |    ~     ~    
5930|HD 49421                                                                                                                                    |Star                                  |06 46 13.5947642472 -44 36 30.362147316|253.8821481538930 -19.5496929474736| -12.329 -1.162   |9.04     |F2IV/V               |    ~     ~    
5931|HD 49559                                                                                                                                    |Star                                  |06 46 46.5410284320 -44 58 26.674943880|254.2826027933591 -19.5780293219277|   -8.138 4.140   |8.00     |K3III                |    ~     ~    
5932|CD-44 2909                                                                                                                                  |Star                                  |06 46 50.1649662240 -45 00 46.010251440|254.3251249328963 -19.5806689000566|   -2.553 2.669   |10.80    |F8                   |    ~     ~    
5933|CD-45 2748                                                                                                                                  |Star                                  |06 47 45.8103937056 -45 22 10.675058160|254.7398015745241 -19.5437454450701|  -3.174 21.077   |9.89     |G5                   |    ~     ~    
5934|CD-45 2755                                                                                                                                  |Star                                  |06 48 14.3045657160 -45 52 48.496037304|255.2805617476228 -19.6329467406790|   -8.478 4.018   |9.79     |K2                   |    ~     ~    
5935|HD 49943                                                                                                                                    |Star                                  |06 48 37.5342542496 -46 00 47.711154564|255.4374954575184 -19.6129840506516|  -0.001 16.720   |9.31     |K1III                |    ~     ~    
5936|CD-46 2693                                                                                                                                  |Star                                  |06 49 07.5640172688 -46 34 21.872806464|256.0289976207880 -19.7142011531104|   -5.270 8.769   |9.66     |F5                   |    ~     ~    
5937|HD 50080                                                                                                                                    |Star                                  |06 49 13.5315682440 -46 42 34.454507364|256.1723356861891 -19.7426398188989|   7.170 12.280   |7.36     |A1V                  |    ~     ~    
5938|CD-46 2714                                                                                                                                  |Star                                  |06 50 37.0841690064 -47 06 37.374769800|256.6571757201071 -19.6486118164982|    3.114 4.567   |9.91     |F8                   |    ~     ~    
5939|CD-45 2745                                                                                                                                  |Star                                  |06 47 18.3651804888 -45 17 57.084562752|254.6411484402724 -19.5965070206840|  2.476 -12.080   |10.777   |~                    |    ~     ~    
5940|CD-46 2734                                                                                                                                  |Star                                  |06 52 46.4895198072 -46 09 55.664163468|255.8433055531644 -18.9852707837626|  -4.006 11.845   |10.29    |~                    |    ~     ~    
5941|AKARI-IRC-V1 J0657264-453013                                                                                                                |Long-Period Variable Candidate        |06 57 26.4585311592 -45 30 13.617260820|255.4849551269586 -17.9938745795329|   -3.372 6.368   |10.17    |~                    |    ~     ~    
5942|CD-45 2844                                                                                                                                  |Star                                  |06 58 07.6779611136 -45 52 08.065206336|255.8886831926199 -18.0107047807062|   -1.921 5.552   |9.70     |~                    |    ~     ~    
5943|CD-45 2848                                                                                                                                  |Star                                  |06 58 28.9217715552 -45 23 14.742322764|255.4387994239486 -17.7818589950021|   -6.640 8.205   |10.447   |~                    |    ~     ~    
5944|CD-44 2890                                                                                                                                  |Star                                  |06 45 17.0 -44 35 18                   |253.8035 -19.7017                  |            ~ ~   |9.71     |~                    |    ~     ~    
5945|CD-45 2825                                                                                                                                  |Star                                  |06 56 08.1225347376 -45 41 23.469834444|255.5838323738316 -18.2730716413199|  -11.105 6.002   |10.86    |~                    |    ~     ~    
5946|TYC 7639-1996-1                                                                                                                             |Star                                  |06 48 08.6497814112 -44 39 57.796025220|254.0597352960087 -19.2469936821056|   4.553 -1.844   |10.440   |~                    |    ~     ~    
5947|GSC 07640-00349                                                                                                                             |Double or Multiple Star               |06 50 35.8800491472 -44 22 48.689750460|253.9314739504192 -18.7387564496032|  -6.010 12.069   |10.854   |~                    |    ~     ~    
5948|TYC 7640-357-1                                                                                                                              |Star                                  |06 50 27.2728791432 -44 39 09.244496484|254.1927611006391 -18.8556329407794|    1.812 6.478   |10.804   |~                    |    ~     ~    
5949|TYC 7640-763-1                                                                                                                              |Star                                  |06 53 18.9410405208 -44 17 09.131786592|254.0151398066926 -18.2501064463889|   1.192 -6.157   |10.870   |~                    |    ~     ~    
5950|TYC 7640-1257-1                                                                                                                             |High Proper Motion Star               |06 55 14.2022619528 -44 38 13.530475716|254.4877629392749 -18.0522408274306| -12.169 63.343   |10.87    |~                    |    ~     ~    
5951|TYC 7640-1293-1                                                                                                                             |Spectroscopic Binary                  |06 51 33.8509223184 -44 40 33.433679892|254.2870953254745 -18.6781571370788|  -12.566 3.026   |10.96    |~                    |    ~     ~    
5952|TYC 7640-1557-1                                                                                                                             |Star                                  |06 51 34.2143143776 -44 42 42.609801276|254.3230712659303 -18.6894374586300|  -3.738 12.688   |10.720   |~                    |    ~     ~    
5953|TYC 7640-1882-1                                                                                                                             |Star                                  |06 52 52.4338269312 -44 28 11.820560052|254.1679812328136 -18.3881806591498|   -7.443 8.922   |10.79    |~                    |    ~     ~    
5954|TYC 7640-1972-1                                                                                                                             |Star                                  |06 53 01.2984743232 -44 38 13.201384920|254.3427312280265 -18.4214238347575|  -8.724 -8.745   |10.88    |~                    |    ~     ~    
5955|TYC 8117-885-1                                                                                                                              |Star                                  |06 48 08.6434914264 -45 09 08.927057700|254.5458492111824 -19.4088241470365|   -5.070 5.932   |10.81    |~                    |    ~     ~    
5956|TYC 8117-908-1                                                                                                                              |Star                                  |06 49 37.1366439168 -45 08 30.982215012|254.6271386855258 -19.1601231165133| -13.433 -8.777   |10.88    |~                    |    ~     ~    
5957|TYC 8117-915-1                                                                                                                              |Star                                  |06 46 44.1520955400 -45 13 36.305102388|254.5335663196145 -19.6675531804326|  -0.225 -0.929   |10.760   |~                    |    ~     ~    
5958|TYC 8117-1281-1                                                                                                                             |Star                                  |06 55 52.2908878896 -46 24 45.888947352|256.2816791968040 -18.5668505162120|  -5.402 14.054   |10.07    |~                    |    ~     ~    
5959|TYC 8117-1395-1                                                                                                                             |Star                                  |06 49 22.9741292304 -46 10 29.341914600|255.6452254623947 -19.5420237150760|   -8.005 6.074   |10.79    |~                    |    ~     ~    
5960|TYC 8117-1410-1                                                                                                                             |Star                                  |06 55 51.0250249008 -45 33 53.740796544|255.4422335741446 -18.2761410150734|    8.958 5.293   |10.75    |~                    |    ~     ~    
5961|TYC 8117-1559-1                                                                                                                             |Star                                  |06 49 34.7027881296 -46 05 09.529103688|255.5680749723689 -19.4807800977757|   1.165 -2.721   |10.321   |~                    |    ~     ~    
5962|TYC 8117-1593-1                                                                                                                             |Star                                  |06 50 01.3677381912 -46 19 42.773742120|255.8378803709485 -19.4882089970486|  -3.313 -2.760   |10.497   |~                    |    ~     ~    
5963|TYC 8117-1599-1                                                                                                                             |Spectroscopic Binary                  |06 52 02.0660803968 -45 54 23.061338892|255.5395226341844 -19.0187503510160|    1.906 2.521   |10.614   |~                    |    ~     ~    
5964|TYC 8117-1702-1                                                                                                                             |Spectroscopic Binary                  |06 54 46.6473088272 -45 15 04.529430360|255.0634218865239 -18.3433449681600|   0.124 11.699   |10.620   |~                    |    ~     ~    
5965|TYC 8117-1707-1                                                                                                                             |Star                                  |06 50 01.6168363896 -46 11 20.246983728|255.6983819484980 -19.4414422835281| -15.814 38.985   |10.99    |~                    |    ~     ~    
5966|TYC 8117-1813-1                                                                                                                             |Star                                  |06 52 24.8733219984 -46 29 28.502149452|256.1457484037654 -19.1534917356658| -3.370 -19.534   |10.79    |~                    |    ~     ~    
5967|TYC 8117-1845-1                                                                                                                             |Star                                  |06 53 29.1121219776 -46 44 34.642763808|256.4620194969125 -19.0648994419254|  -0.007 10.392   |10.28    |~                    |    ~     ~    
5968|TYC 8117-1862-1                                                                                                                             |Star                                  |06 54 59.6791098528 -46 32 58.221232404|256.3625608019108 -18.7555750645060|    0.788 9.181   |10.71    |~                    |    ~     ~    
5969|TYC 8117-1915-1                                                                                                                             |Star                                  |06 50 32.5536393744 -46 20 16.107908100|255.8785899804298 -19.4065891479706|  -0.504 14.988   |10.285   |~                    |    ~     ~    
5970|TYC 8117-1997-1                                                                                                                             |Star                                  |06 55 28.0027839288 -46 35 52.178606124|256.4398202544182 -18.6958874589101|  8.659 -16.159   |10.52    |~                    |    ~     ~    
5971|TYC 8117-2056-1                                                                                                                             |Star                                  |06 55 57.3740644608 -45 45 34.969227012|255.6413089318940 -18.3267390107655|    3.298 1.579   |10.81    |~                    |    ~     ~    
5972|TYC 8118-115-1                                                                                                                              |Star                                  |06 58 40.8319035072 -46 24 02.278222704|256.4475155006807 -18.1087636800213|   -8.707 9.824   |10.42    |~                    |    ~     ~    
5973|TYC 8118-868-1                                                                                                                              |Star                                  |06 56 24.1737131304 -45 37 19.612132284|255.5342261723769 -18.2055882437198|   6.602 19.277   |10.922   |~                    |    ~     ~    
5974|TYC 8118-1013-1                                                                                                                             |Star                                  |06 58 21.6831289800 -46 20 02.606915508|256.3615569419761 -18.1368599493956|   1.545 11.416   |10.40    |~                    |    ~     ~    
5975|TYC 8118-1269-1                                                                                                                             |Star                                  |06 56 52.6325507712 -46 37 07.706308800|256.5486653497741 -18.4757065569997|  -9.138 13.245   |10.455   |~                    |    ~     ~    
5976|TYC 8118-1502-1                                                                                                                             |Star                                  |06 57 20.1446999856 -45 41 12.529545432|255.6582265554773 -18.0756911624464|  -1.281 15.716   |10.81    |~                    |    ~     ~    
5977|TYC 8118-1591-1                                                                                                                             |Star                                  |06 56 53.0739324744 -45 38 00.778030872|255.5765885341018 -18.1307418646520|   3.535 -6.617   |10.848   |~                    |    ~     ~    
5978|TYC 8118-1710-1                                                                                                                             |Star                                  |06 56 36.5251026384 -45 52 18.189665184|255.7936452985721 -18.2592710918412|   6.417 -2.280   |10.716   |~                    |    ~     ~    
5979|TYC 8118-1869-1                                                                                                                             |Star                                  |06 59 41.5468712976 -46 05 42.482442912|256.2123567473512 -17.8369168321129| -10.762 11.865   |10.76    |~                    |    ~     ~    
5980|* X Pup                                                                                                                                     |High Proper Motion Star               |06 49 54.6163443500 -46 36 52.421710574|256.1177403359371 -19.6005601502745| -0.932 373.786   |5.14     |F5.5V                |    ~     ~    
5981|HD 49355                                                                                                                                    |High Proper Motion Star               |06 45 48.5285492784 -45 59 51.883727964|255.2533309583105 -20.0706646661559|  77.799 -3.469   |9.01     |F7V                  |    ~     ~    
5982|CD-45 2733                                                                                                                                  |Star                                  |06 46 03.3656572272 -45 55 24.413671344|255.1931187331691 -20.0061115448511|  -10.761 9.282   |10.88    |A5                   |    ~     ~    
5983|CD-45 2739                                                                                                                                  |High Proper Motion Star               |06 46 42.9575070960 -45 34 25.108910652|254.8807012446463 -19.7840428507814| 22.196 108.814   |10.33    |G5                   |    ~     ~    
5984|CD-45 2729                                                                                                                                  |Star                                  |06 45 33.3485809032 -46 07 25.602388644|255.3655512482819 -20.1525553884032|   -9.793 0.724   |10.27    |G5                   |    ~     ~    
5985|HD 49217                                                                                                                                    |Spectroscopic Binary                  |06 45 00.8888481456 -46 19 09.781308156|255.5315076976115 -20.3034481753582| -15.991 -7.498   |9.41     |F0IV/V               |    ~     ~    
5986|HD 49234                                                                                                                                    |Star                                  |06 45 05.5603716360 -46 56 09.023852976|256.1602296669342 -20.4848566337143|   -5.815 9.198   |7.77     |B4III                |    ~     ~    
5987|HD 49259                                                                                                                                    |Star                                  |06 45 13.3428641832 -46 51 12.044346768|256.0840373061371 -20.4379474397781|   -6.488 8.559   |7.48     |B3IV/V               |    ~     ~    
5988|V* V649 Pup                                                                                                                                 |Eclipsing Binary                      |06 45 17.2963745688 -46 42 06.449833260|255.9343251773044 -20.3795716374599|   -3.313 8.524   |9.17     |B9V                  |    ~     ~    
5989|CD-46 2661                                                                                                                                  |High Proper Motion Star               |06 45 35.4248581008 -46 33 56.436431508|255.8140671281217 -20.2873672343357| -38.809 47.732   |10.43    |G0                   |    ~     ~    
5990|HD 49356                                                                                                                                    |Star                                  |06 45 42.0646873752 -46 55 52.203544392|256.1902974028017 -20.3847803896429|  11.265 12.131   |8.68     |G8/K0III             |    ~     ~    
5991|CD-46 2667                                                                                                                                  |Star                                  |06 46 13.2869708184 -46 17 48.558645348|255.5793736458423 -20.0987209379842|   0.135 34.813   |10.45    |F8                   |    ~     ~    
5992|HD 49493                                                                                                                                    |Star                                  |06 46 17.1693949896 -46 30 32.203151280|255.7972573459590 -20.1558944893833|   -5.082 4.194   |9.73     |G8III                |    ~     ~    
5993|HD 49260                                                                                                                                    |Eclipsing Binary                      |06 45 10.4869202640 -47 13 21.802871604|256.4558844856509 -20.5612062133905|   -2.161 4.189   |7.204    |B2III                |    ~     ~    
5994|HD 49320                                                                                                                                    |Spectroscopic Binary                  |06 45 29.2969493304 -47 10 28.986984624|256.4249438964400 -20.4956267787005| -12.220 18.639   |9.89     |A1mA8-A9             |    ~     ~    
5995|CD-45 2746                                                                                                                                  |Star                                  |06 47 19.6252312920 -46 05 21.317400456|255.4358224392123 -19.8507444697421|   0.265 -5.207   |9.92     |~                    |    ~     ~    
5996|CD-46 2674                                                                                                                                  |Star                                  |06 47 01.1447515440 -46 23 36.718484352|255.7238755355172 -19.9993491690647| -11.224 20.157   |10.010   |G5                   |    ~     ~    
5997|HD 49757                                                                                                                                    |Star                                  |06 47 33.3444054432 -46 44 48.764010912|256.1115320080039 -20.0254825169917|   -0.257 9.517   |9.49     |G8III/IV             |    ~     ~    
5998|HD 49755                                                                                                                                    |Star                                  |06 47 39.1340220960 -46 23 38.905239804|255.7619180384569 -19.8961990617270|   -0.779 6.747   |10.02    |A3/7                 |    ~     ~    
5999|HD 49756                                                                                                                                    |Star                                  |06 47 38.5116911568 -46 33 27.495008820|255.9259097216020 -19.9506425108093| -13.009 12.709   |9.76     |F3V                  |    ~     ~    
6000|HD 49777                                                                                                                                    |Double or Multiple Star               |06 47 48.94261 -46 19 32.3840          |255.70272390 -19.84735567          |   20.84 -21.49   |9.682    |G5V                  |    ~     ~    
6001|HD 49898                                                                                                                                    |Star                                  |06 48 19.2155140056 -46 41 32.558880156|256.1015328213919 -19.8838789174373|   -1.277 4.942   |9.35     |A0IV                 |    ~     ~    
6002|CD-46 2690                                                                                                                                  |Star                                  |06 48 24.0607071072 -46 40 48.622830168|256.0940145823580 -19.8668274163995|   3.423 11.455   |9.79     |G5                   |    ~     ~    
6003|CD-47 2580                                                                                                                                  |Variable Star                         |06 47 10.4283844800 -47 10 35.913829548|256.5231608952004 -20.2243896927176|   5.325 10.742   |9.981    |~                    |    ~     ~    
6004|HD 49668                                                                                                                                    |Star                                  |06 47 12.3952607808 -47 09 15.093629604|256.5023595797768 -20.2119785865968|   1.347 13.287   |8.95     |F2V                  |    ~     ~    
6005|CD-44 2887                                                                                                                                  |Star                                  |06 45 04.4462659920 -44 58 29.618112756|254.1790162945487 -19.8627274481558|    5.110 6.174   |10.48    |~                    |    ~     ~    
6006|CD-44 2886                                                                                                                                  |Star                                  |06 45 05.3973618744 -44 32 11.989691340|253.7396415964770 -19.7173538230758|   7.406 12.458   |9.80     |~                    |    ~     ~    
6007|CD-44 2891                                                                                                                                  |Star                                  |06 45 16.5440750544 -44 52 00.893844912|254.0827920821142 -19.7938822390768|   -3.840 7.359   |10.846   |~                    |    ~     ~    
6008|CD-45 2742                                                                                                                                  |Star                                  |06 46 52.8770035560 -45 41 59.305001928|255.0174870813200 -19.7977372305931|  -3.154 25.510   |10.81    |~                    |    ~     ~    
6009|TYC 7639-2087-1                                                                                                                             |High Proper Motion Star               |06 45 43.1206991952 -44 57 14.098093020|254.1973528731677 -19.7480881254390| 78.381 -46.949   |10.70    |~                    |    ~     ~    
6010|TYC 8117-195-1                                                                                                                              |Star                                  |06 45 05.2940705904 -46 47 34.741076892|256.0151881511052 -20.4407815882728|   -8.461 1.933   |10.7     |~                    |    ~     ~    
6011|TYC 8117-217-1                                                                                                                              |Star                                  |06 48 28.4825721216 -46 46 48.389709468|256.1989147146094 -19.8871887627979|   0.890 14.993   |10.92    |~                    |    ~     ~    
6012|TYC 8117-271-1                                                                                                                              |Star                                  |06 45 01.1801079360 -46 49 04.045591380|256.0363963988061 -20.4597066986630|  -20.171 9.654   |10.93    |~                    |    ~     ~    
6013|TYC 8117-566-1                                                                                                                              |Spectroscopic Binary                  |06 45 03.8530857720 -46 18 51.638824296|255.5292907443986 -20.2937609360850| -20.030 -8.601   |10.81    |~                    |    ~     ~    
6014|CD-46 2774                                                                                                                                  |High Proper Motion Star               |06 56 01.8026480784 -47 03 44.715732228|256.9355842610945 -18.7643875143628|-166.157 215.647  |10.26    |G5                   |    ~     ~    
6015|HD 51827                                                                                                                                    |Star                                  |06 56 30.7183547544 -47 07 50.627705880|257.0330058037661 -18.7107051289066|   -3.886 4.678   |9.46     |K1(III)              |    ~     ~    
6016|HD 52222                                                                                                                                    |Star                                  |06 57 57.4565788992 -47 06 57.426936372|257.1078156959248 -18.4747752614613|  8.537 -21.437   |9.90     |G8(III)              |    ~     ~    
6017|CD-46 2808                                                                                                                                  |Star                                  |06 58 54.6413738280 -46 59 32.941322160|257.0454412902292 -18.2796008339817|   -4.537 5.676   |10.8     |A3                   |    ~     ~    
6018|HD 52470                                                                                                                                    |Eclipsing Binary                      |06 58 59.9803549176 -47 01 24.051948420|257.0814805333064 -18.2761911433472|  -9.181 -4.337   |7.27     |A0V                  |    ~     ~    
6019|CD-46 2813                                                                                                                                  |Star                                  |06 59 06.4554629184 -47 01 22.376749080|257.0878027872233 -18.2588002844933|  3.266 -13.665   |9.81     |F2                   |    ~     ~    
6020|HD 50503                                                                                                                                    |Star                                  |06 51 07.0873337328 -47 19 33.745680336|256.9030550271480 -19.6389201848390| -14.436 41.916   |7.33     |K0III                |    ~     ~    
6021|HD 50620                                                                                                                                    |Star                                  |06 51 38.3884052856 -47 19 40.234471860|256.9356315188405 -19.5559973769275|  -7.099 24.875   |9.72     |ApSrEuCr             |    ~     ~    
6022|HD 50834                                                                                                                                    |Pulsating Variable                    |06 52 29.6626104600 -47 25 36.935101272|257.0854455139117 -19.4520501592340|    0.988 1.605   |9.05     |A6V                  |    ~     ~    
6023|CD-47 2650                                                                                                                                  |Star                                  |06 52 54.4948419120 -47 33 03.937928292|257.2342266437669 -19.4271126795869|   3.625 -1.365   |10.11    |G5                   |    ~     ~    
6024|HD 51235                                                                                                                                    |Star                                  |06 54 06.7270081296 -47 42 11.841245352|257.4577711185889 -19.2863147094849|  -1.549 11.008   |9.79     |G6III                |    ~     ~    
6025|HD 51263                                                                                                                                    |Star                                  |06 54 14.8654812408 -47 59 46.947695136|257.7586899911916 -19.3623443505392|   -4.035 7.326   |9.59     |F3V                  |    ~     ~    
6026|HD 51292                                                                                                                                    |Star                                  |06 54 23.8693640280 -47 09 56.451668472|256.9386350268929 -19.0606483303829|  -1.420 16.015   |10.32    |F5V                  |    ~     ~    
6027|CD-47 2676                                                                                                                                  |Star                                  |06 54 59.1234205296 -47 37 34.805715492|257.4330820361593 -19.1220094958424|   -4.627 7.618   |10.56    |F0                   |    ~     ~    
6028|CD-47 2678                                                                                                                                  |Spectroscopic Binary                  |06 55 00.3450923424 -47 49 58.851627240|257.6404095499503 -19.1881263313863| -1.998 -15.255   |10.15    |G0                   |    ~     ~    
6029|HD 51705                                                                                                                                    |Double or Multiple Star               |06 56 00.4150697040 -47 29 44.003629572|257.3644517682052 -18.9156319618327| -36.976 11.568   |9.03     |G0V                  |0.0133  0.0    
6030|HD 51768                                                                                                                                    |Star                                  |06 56 17.1670628304 -47 47 38.631683328|257.6782152841112 -18.9726116298283|   -4.923 1.128   |9.42     |A2/3V                |    ~     ~    
6031|CD-47 2691B                                                                                                                                 |Star                                  |06 56 17.47 -47 47 48.3                |257.68119 -18.97272                |          9 -28   |10.0     |~                    |    ~     ~    
6032|HD 51949                                                                                                                                    |Star                                  |06 56 55.0364606304 -47 32 39.856964496|257.4682993531565 -18.7877610435729| -13.857 19.585   |10.05    |F0V                  |    ~     ~    
6033|CD-47 2711B                                                                                                                                 |Star                                  |06 58 01.1325523128 -47 25 25.946280120|257.4162941384307 -18.5715692915914|   -3.634 0.505   |10.4     |~                    |    ~     ~    
6034|HD 52248                                                                                                                                    |Star                                  |06 58 02.2070093112 -47 25 26.494949064|257.4175484445929 -18.5687793218969|   -3.201 3.797   |9.37     |A3III                |    ~     ~    
6035|HD 52417                                                                                                                                    |Star                                  |06 58 42.7253233728 -47 59 18.215199420|258.0178766772611 -18.6567331795907|    0.215 9.747   |10.42    |B9(IVn)              |    ~     ~    
6036|HD 52446                                                                                                                                    |Star                                  |06 58 55.1426245392 -47 19 46.289002080|257.3787026970502 -18.3959155379962|   -0.256 2.399   |10.61    |A2IV                 |    ~     ~    
6037|HD 52521                                                                                                                                    |Star                                  |06 59 09.2052450552 -47 27 03.772409112|257.5133141689029 -18.4010457510871|   -1.070 7.264   |9.59     |F2V                  |    ~     ~    
6038|CD-47 2729                                                                                                                                  |Star                                  |06 59 32.0308381944 -47 26 57.917936544|257.5353410692792 -18.3402021675296|   -0.421 6.339   |10.05    |K0                   |    ~     ~    
6039|CD-47 2732                                                                                                                                  |Spectroscopic Binary                  |06 59 39.1871055984 -47 50 15.013825908|257.9260772978113 -18.4565884701479|  -1.367 21.955   |10.52    |F0                   |    ~     ~    
6040|HD 50992                                                                                                                                    |Star                                  |06 53 07.2895817880 -48 08 37.701047688|257.8404328764913 -19.5886110524536|  -3.088 19.573   |10.04    |A2mA5-A7             |    ~     ~    
6041|HD 51798                                                                                                                                    |Star                                  |06 56 18.8355886872 -48 07 57.852869304|258.0170659222139 -19.0826364781164|   -4.695 4.911   |10.33    |A7/9V                |    ~     ~    
6042|HD 52223                                                                                                                                    |Star                                  |06 57 56.6253875208 -48 07 19.701612228|258.1040652475694 -18.8231979324033|   -2.175 5.804   |8.70     |A5IV                 |    ~     ~    
6043|CD-48 2583                                                                                                                                  |High Proper Motion Star               |06 53 40.6506356568 -48 44 05.866366812|258.4655945402088 -19.6949258310172| -26.123 89.736   |10.90    |~                    |    ~     ~    
6044|HD 51264                                                                                                                                    |Star                                  |06 54 09.4488055488 -48 13 06.797538624|257.9756578292312 -19.4501699170119|  -0.195 19.692   |9.812    |G8(IV)               |    ~     ~    
6045|HD 51319                                                                                                                                    |delta Sct Variable                    |06 54 18.8041754760 -49 02 17.147867856|258.8061692716600 -19.6950645164880|  -2.151 11.606   |10.36    |A7/9(IIIm)           |    ~     ~    
