C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:16

dec >=0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4977

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
4788|TYC 4288-101-1                                                                                                                              |Star                               |23 37 35.9191383024 +65 19 42.760520400|115.3222089946955 +03.5535224966191| -16.180 -2.333   |10.69    |~                      |    ~     ~    |    1|  676.453   pc  |  -4.7589     +4.7589  |paral   |2020yCat.1350....0G
4789|TYC 4288-120-1                                                                                                                              |Star                               |23 38 02.0548391472 +64 45 50.674209408|115.2072281978883 +02.9989435707062| -10.561 -5.251   |10.75    |~                      |    ~     ~    |    1|  758.438   pc  |  -6.3275     +6.3275  |paral   |2020yCat.1350....0G
4790|TYC 4288-147-1                                                                                                                              |Star                               |23 37 50.0006918448 +65 18 28.152218304|115.3399072167692 +03.5267315413654|   3.682 -0.946   |10.67    |~                      |    ~     ~    |    1|  687.427   pc  |  -7.3246     +7.3246  |paral   |2020yCat.1350....0G
4791|TYC 4288-243-1                                                                                                                              |Star                               |23 40 15.8456291832 +64 53 44.533471596|115.4718393426132 +03.0598897185788|  -0.423 -0.753   |10.63    |~                      |    ~     ~    |    1|  700.820   pc  | -23.6242    +23.6242  |paral   |2020yCat.1350....0G
4792|TYC 4288-936-1                                                                                                                              |Star                               |23 34 36.0212623536 +64 49 17.772186720|114.8730114695820 +03.1589579789157|  -0.804 -3.904   |10.80    |~                      |    ~     ~    |    1|  907.029   pc  |  -9.2965     +9.2965  |paral   |2020yCat.1350....0G
4793|TYC 4288-990-1                                                                                                                              |Star                               |23 33 20.1160930920 +65 02 08.741726016|114.8081878989708 +03.4031630358678|   15.460 7.882   |10.87    |~                      |    ~     ~    |    1|  716.846   pc  |  -5.0873     +5.0873  |paral   |2020yCat.1350....0G
4794|TYC 4289-1179-1                                                                                                                             |Star                               |23 43 47.7852423144 +64 16 18.726550536|115.6716757089173 +02.3577843704843|  -0.384 -1.308   |10.45    |~                      |    ~     ~    |    1|  795.798   pc  | -17.2256    +17.2256  |paral   |2020yCat.1350....0G
4795|TYC 4292-114-1                                                                                                                              |Star                               |23 36 42.0535865400 +67 03 19.555885656|115.7275212193261 +05.2349020810899|    3.207 2.245   |10.65    |~                      |    ~     ~    |    1|  565.707   pc  |  -3.7123     +3.7123  |paral   |2020yCat.1350....0G
4796|TYC 4292-367-1                                                                                                                              |Star                               |23 33 39.0198803616 +67 19 31.139307948|115.5226535455642 +05.5793529121244|  16.271 10.619   |10.73    |~                      |    ~     ~    |    1|  356.062   pc  |  -1.3312     +1.3312  |paral   |2020yCat.1350....0G
4797|TYC 4292-449-1                                                                                                                              |Star                               |23 33 20.4348588096 +66 20 29.146050816|115.1990218786144 +04.6492676882191|   17.367 7.621   |10.34    |~                      |    ~     ~    |    1|  337.655   pc  |  -1.4365     +1.4365  |paral   |2020yCat.1350....0G
4798|TYC 4293-380-1                                                                                                                              |Spectroscopic Binary               |23 43 51.3631814592 +67 14 18.455143380|116.4487805463194 +05.2212741837855|-37.306 -18.329   |10.94    |~                      |    ~     ~    |    1|  255.232   pc  |  -4.4558     +4.4558  |paral   |2020yCat.1350....0G
4799|TYC 4478-42-1                                                                                                                               |Star                               |23 32 28.9279273560 +69 02 15.655648920|115.9360112713134 +07.2452580247642|    6.750 3.702   |10.57    |~                      |    ~     ~    |    1|  859.180   pc  | -18.6762    +18.6762  |paral   |2020yCat.1350....0G
4800|TYC 4478-1008-1                                                                                                                             |Star                               |23 30 32.1051119712 +68 23 32.545659984|115.5673730220351 +06.6851300845265|  -1.286 -1.438   |10.91    |~                      |    ~     ~    |    0|                |                       |        |                   
4801|TYC 4479-76-1                                                                                                                               |Star                               |23 37 07.1100128472 +68 45 14.471053632|116.2537858965305 +06.8513406029724|  13.870 -9.161   |10.19    |~                      |    ~     ~    |    1|  222.370   pc  |  -3.8372     +3.8372  |paral   |2020yCat.1350....0G
4802|TYC 4479-479-1                                                                                                                              |Star                               |23 43 12.9986284776 +69 02 11.317149132|116.8635681571340 +06.9723622084171|   -1.280 1.735   |10.96    |~                      |    ~     ~    |    1|  746.938   pc  |  -8.1456     +8.1456  |paral   |2020yCat.1350....0G
4803|TYC 4479-603-1                                                                                                                              |Star                               |23 39 37.7535960072 +68 33 47.310345468|116.4205522507349 +06.6039878504754|  15.381 13.108   |10.40    |~                      |    ~     ~    |    1|  237.321   pc  |  -1.0194     +1.0194  |paral   |2020yCat.1350....0G
4804|TYC 4479-606-1                                                                                                                              |Star                               |23 41 53.8456140840 +67 49 27.432912432|116.4225138792624 +05.8357038907632|  3.063 -19.860   |10.96    |~                      |    ~     ~    |    1|  136.323   pc  |  -0.2435     +0.2435  |paral   |2020yCat.1350....0G
4805|TYC 4479-624-1                                                                                                                              |Star                               |23 40 55.2678558744 +68 21 49.887306288|116.4804313911518 +06.3798645177088|  23.228 16.805   |10.99    |~                      |    ~     ~    |    1|  316.526   pc  |  -3.6068     +3.6068  |paral   |2020yCat.1350....0G
4806|TYC 4479-751-1                                                                                                                              |Star                               |23 43 30.9196120248 +68 34 45.892281792|116.7690771918519 +06.5242222375691|   21.227 1.980   |10.98    |~                      |    ~     ~    |    1|  467.028   pc  |  -2.4211     +2.4211  |paral   |2020yCat.1350....0G
4807|TYC 4482-45-1                                                                                                                               |Star                               |23 32 06.3851436648 +69 35 05.645542416|116.0718492771396 +07.7766839693726| -10.135 -2.111   |10.78    |~                      |    ~     ~    |    1|  601.287   pc  |  -3.6155     +3.6155  |paral   |2020yCat.1350....0G
4808|TYC 4482-103-1                                                                                                                              |Star                               |23 32 19.9302261744 +70 13 33.303610884|116.2876924408998 +08.3813408336524|    5.873 2.522   |10.82    |~                      |    ~     ~    |    1|  926.097   pc  |  -9.3485     +9.3485  |paral   |2020yCat.1350....0G
4809|TYC 4482-349-1                                                                                                                              |Star                               |23 34 11.6037827208 +70 33 27.803572308|116.5392593985049 +08.6507440285013|   -5.728 2.321   |10.97    |~                      |    ~     ~    |    1| 1005.025   pc  | -40.6050    +40.6050  |paral   |2020yCat.1350....0G
4810|TYC 4483-1413-1                                                                                                                             |Star                               |23 43 32.7323715864 +70 18 51.212323872|117.2300296054418 +08.1977224329946|  -0.037 -0.064   |9.92     |~                      |    ~     ~    |    1|  324.918   pc  |  -1.3513     +1.3513  |paral   |2020yCat.1350....0G
4811|TYC 4483-1838-1                                                                                                                             |Star                               |23 44 00.6727343544 +70 47 24.733212648|117.3938005250985 +08.6469572398386|   -4.039 0.732   |10.94    |~                      |    ~     ~    |    1| 1054.519   pc  | -14.9009    +14.9009  |paral   |2020yCat.1350....0G
4812|TYC 4483-1936-1                                                                                                                             |Star                               |23 36 14.0896967424 +70 38 22.701617484|116.7275285188813 +08.6792109927134|   7.679 -0.775   |10.96    |~                      |    ~     ~    |    1|  892.538   pc  |  -7.6476     +7.6476  |paral   |2020yCat.1350....0G
4813|TYC 4486-279-1                                                                                                                              |Star                               |23 31 02.6964278640 +72 01 05.383863156|116.7457014230797 +10.1187593436029|  -2.527 -1.271   |10.94    |~                      |    ~     ~    |    1|  731.689   pc  |  -6.3174     +6.3174  |paral   |2020yCat.1350....0G
4814|TYC 4486-418-1                                                                                                                              |Star                               |23 31 17.5375821672 +71 51 38.209991832|116.7145910057745 +09.9630334318471|  -0.709 -0.870   |10.86    |~                      |    ~     ~    |    1| 1140.641   pc  | -11.9698    +11.9698  |paral   |2020yCat.1350....0G
4815|TYC 4486-703-1                                                                                                                              |Star                               |23 30 46.1914658256 +72 40 16.525691904|116.9323949083840 +10.7458611034002|    0.354 1.491   |10.95    |~                      |    ~     ~    |    1| 1266.785   pc  | -20.3802    +20.3802  |paral   |2020yCat.1350....0G
4816|TYC 4486-854-1                                                                                                                              |Star                               |23 35 18.2827608240 +72 49 07.990373640|117.3041766385000 +10.7843073773477|   5.967 17.581   |10.35    |~                      |    ~     ~    |    1|  341.518   pc  |  -1.2013     +1.2013  |paral   |2020yCat.1350....0G
4817|TYC 4490-139-1                                                                                                                              |Star                               |23 31 30.6270151416 +74 20 29.378112144|117.5148598117248 +12.3164539721601| 32.921 -13.244   |10.86    |~                      |    ~     ~    |    1|  106.575   pc  |  -0.9359     +0.9359  |paral   |2020yCat.1350....0G
4818|TYC 4490-351-1                                                                                                                              |Star                               |23 34 12.1283934192 +74 14 07.257508332|117.6591121131642 +12.1596170229816|  -7.889 -1.604   |10.60    |~                      |    ~     ~    |    1| 1912.046   pc  | -59.5915    +59.5915  |paral   |2020yCat.1350....0G
4819|TYC 4491-609-2                                                                                                                              |Star                               |23 38 32.955 +73 38 13.31              |117.774096 +11.499527              |       -1.2 1.6   |10.59    |~                      |    ~     ~    |    0|                |                       |        |                   
4820|TYC 4491-774-1                                                                                                                              |Star                               |23 38 18.2031459432 +74 45 48.887907984|118.0860271072313 +12.5841144669131| -15.497 -2.405   |10.98    |~                      |    ~     ~    |    1|  781.372   pc  |  -5.9223     +5.9223  |paral   |2020yCat.1350....0G
4821|TYC 4602-819-1                                                                                                                              |Star                               |23 40 50.8142626608 +75 40 14.781182880|118.5080920652543 +13.4088402314674| -6.636 -10.659   |10.95    |~                      |    ~     ~    |    1|  821.760   pc  |  -7.7658     +7.7658  |paral   |2020yCat.1350....0G
4822|TYC 4602-926-1                                                                                                                              |Star                               |23 30 43.2731402280 +75 27 35.502142896|117.8243500534241 +13.3945751076634|    5.298 3.191   |10.83    |~                      |    ~     ~    |    1|  713.521   pc  |  -5.3457     +5.3457  |paral   |2020yCat.1350....0G
4823|TYC 4602-1735-1                                                                                                                             |Star                               |23 41 14.7845052960 +76 23 11.903445780|118.7361008003931 +14.0900131748248|  -1.133 -1.345   |10.89    |~                      |    ~     ~    |    1|  772.977   pc  |  -6.3334     +6.3334  |paral   |2020yCat.1350....0G
4824|TYC 4606-1598-1                                                                                                                             |Star                               |23 36 56.1373865040 +77 38 50.142501168|118.8686141156710 +15.3672083759032| -14.249 -0.252   |10.89    |~                      |    ~     ~    |    1|  885.975   pc  |  -7.1431     +7.1431  |paral   |2020yCat.1350....0G
4825|TYC 4610-559-1                                                                                                                              |Spectroscopic Binary               |23 34 26.1394560984 +80 20 35.577890556|119.5986825926257 +17.9735777195773|   -1.176 2.304   |10.87    |~                      |    ~     ~    |    1| 2028.398   pc  | -67.0647    +67.0647  |paral   |2020yCat.1350....0G
4826|TYC 4610-907-1                                                                                                                              |Star                               |23 44 17.3403372528 +79 19 02.493067008|119.7248751516718 +16.8660796091422|   0.668 -6.668   |10.54    |~                      |    ~     ~    |    1|  352.373   pc  |  -1.7259     +1.7259  |paral   |2020yCat.1350....0G
4827|TYC 4610-1338-1                                                                                                                             |High Proper Motion Star            |23 37 22.8044103960 +78 59 50.999157240|119.3051879453699 +16.6507798908371|  64.313 15.931   |10.79    |~                      |    ~     ~    |    1|  757.289   pc  |  -4.9320     +4.9320  |paral   |2020yCat.1350....0G
4828|TYC 4610-1458-1                                                                                                                             |Star                               |23 31 55.1306724696 +78 55 06.867401520|119.0201344580900 +16.6555043704539|   0.343 -1.096   |10.88    |~                      |    ~     ~    |    1| 2287.283   pc  | -60.1641    +60.1641  |paral   |2020yCat.1350....0G
4829|TYC 4610-1670-1                                                                                                                             |Star                               |23 44 15.3150163704 +79 03 15.021251280|119.6494938027869 +16.6129813069480|   -7.539 0.854   |10.55    |~                      |    ~     ~    |    1| 1116.819   pc  | -15.9653    +15.9653  |paral   |2020yCat.1350....0G
4830|TYC 4614-901-1                                                                                                                              |Star                               |23 44 32.5404871848 +80 57 03.594476664|120.1974661584443 +18.4364628888215|   13.182 5.186   |10.92    |~                      |    ~     ~    |    1|  600.456   pc  |  -4.3626     +4.3626  |paral   |2020yCat.1350....0G
4831|TYC 4650-930-1                                                                                                                              |Star                               |23 30 12.7414767408 +83 47 52.159782048|120.6257070163159 +21.2930931915200|    4.536 7.757   |10.62    |~                      |    ~     ~    |    1|  680.041   pc  |  -5.1333     +5.1333  |paral   |2020yCat.1350....0G
4832|TYC 4654-158-1                                                                                                                              |Star                               |23 36 57.4534994112 +85 57 46.743329880|121.5295510068405 +23.2956679292411|    2.274 2.241   |10.79    |~                      |    ~     ~    |    1| 1852.538   pc  | -55.5967    +55.5967  |paral   |2020yCat.1350....0G
4833|TYC 4662-33-1                                                                                                                               |Star                               |23 36 57.2935034376 +88 07 48.186849144|122.2713040377015 +25.3546528742801|   -4.122 2.628   |10.91    |~                      |    ~     ~    |    1| 1410.636   pc  | -27.4605    +27.4605  |paral   |2020yCat.1350....0G
4834|UCAC3 290-243539                                                                                                                            |Star                               |23 43 13.0799 +54 55 59.042            |113.1649115 -06.6397880            |  -0.929 -3.000   |10.62    |~                      |    ~     ~    |    0|                |                       |        |                   
4835|* 78 Peg B                                                                                                                                  |High Proper Motion Star            |23 43 59.418814 +29 21 41.10115        |105.732293850 -31.247701619        |     71.1 -39.2   |8.03     |~                      |    ~     ~    |    0|                |                       |        |                   
4836|BD+26 4659A                                                                                                                                 |High Proper Motion Star            |23 35 57.6649296096 +27 16 05.078213832|102.9660547140827 -32.6606015597401| -11.732 86.005   |10.62    |~                      |    ~     ~    |    1|   62.777   pc  |  -0.0560     +0.0560  |paral   |2020yCat.1350....0G
4837|BD+26 4659B                                                                                                                                 |High Proper Motion Star            |23 35 57.2217857184 +27 15 59.293662372|102.9635701177622 -32.6615503864330|  -8.977 83.800   |10.62    |~                      |    ~     ~    |    1|   62.686   pc  |  -0.0798     +0.0798  |paral   |2020yCat.1350....0G
4838|HD 222718A                                                                                                                                  |High Proper Motion Star            |23 43 06.0910683936 +11 50 04.070617296|097.6626795031016 -47.6564178961859|  98.528 -3.210   |9.27     |~                      |    ~     ~    |    1|   89.998   pc  |  -0.1968     +0.1968  |paral   |2020yCat.1350....0G
4839|BD+67 1546A                                                                                                                                 |Star                               |23 37 49.093175 +68 13 11.96079        |116.162938962 +06.321096641        |      -1.0 -4.6   |9.31     |~                      |    ~     ~    |    0|                |                       |        |                   
4840|BD+67 1546B                                                                                                                                 |Star                               |23 37 49.049519 +68 13 11.14683        |116.162809513 +06.320898847        |      -1.0 -4.6   |9.82     |~                      |    ~     ~    |    0|                |                       |        |                   
4841|TYC 4000-1716-1                                                                                                                             |Star                               |23 35 35.9928192912 +52 41 11.495244444|111.4460584777793 -08.4857105567041|   8.346 -1.826   |9.923    |~                      |    ~     ~    |    1|  434.443   pc  |  -5.0016     +5.0016  |paral   |2020yCat.1350....0G
4842|NGC 7686 8                         BD+48 4073                                                                                               |Star                               |23 30 25.8772667592 +49 09 26.257337604|109.5704259865327 -11.6014307065241|   -2.557 1.336   |10.92    |K0III                  |    ~     ~    |    1| 1043.406   pc  | -20.0320    +20.0320  |paral   |2020yCat.1350....0G
4843|HD 222471B                                                                                                                                  |Star                               |23 40 29.6713935998 +67 33 12.440861355|116.2202098964712 +05.6108541153914|   25.631 8.177   |9.72     |~                      |    ~     ~    |    1|  148.81    pc  |  -4.9182     +4.9182  |paral   |2020yCat.1350....0G
4844|HD 221305B                                                                                                                                  |High Proper Motion Star            |23 30 55.8474267216 +09 28 54.230269800|092.1122219962642 -48.5131379350977| 63.390 -33.345   |9.69     |~                      |    ~     ~    |    1|  149.546   pc  |  -0.7581     +0.7581  |paral   |2020yCat.1350....0G
4845|AG+29 2950                                                                                                                                  |Long-Period Variable Candidate     |23 44 56.8526869632 +30 13 07.260471732|106.2615429153666 -30.4916073762680|   6.769 -8.945   |10.67    |K0                     |    ~     ~    |    1| 2460.63    pc  |-128.965    +128.965   |paral   |2020yCat.1350....0G
4846|HD 221492A                                                                                                                                  |High Proper Motion Star            |23 32 32.9784146256 +31 26 50.261194356|103.8132900679438 -28.4789428383734| 106.777 50.460   |9.84     |~                      |    ~     ~    |    1|  110.062   pc  |  -0.2822     +0.2822  |paral   |2020yCat.1350....0G
4847|TYC 3243-1413-1                                                                                                                             |Star                               |23 32 00.9626735088 +43 49 23.515164336|108.1045569822730 -16.7500679315645| -10.798 -7.323   |9.32     |~                      |    ~     ~    |    1|  310.655   pc  |  -1.7661     +1.7661  |paral   |2020yCat.1350....0G
4848|AG+34 2425                                                                                                                                  |Star                               |23 38 33.7435960752 +35 01 45.529242528|106.4540465090015 -25.4997729199208|  23.640 -7.639   |9.97     |~                      |    ~     ~    |    1|  617.589   pc  |  -7.6283     +7.6283  |paral   |2020yCat.1350....0G
4849|TYC 1176-1666-1                                                                                                                             |Star                               |23 41 19.9615313736 +14 46 37.854506280|098.7161664245685 -44.7730482637489|   45.775 3.885   |10.84    |~                      |    ~     ~    |    1|  157.045   pc  |  -0.6733     +0.6733  |paral   |2020yCat.1350....0G
4850|HD 222659B                                                                                                                                  |Star                               |23 42 31.3672960752 +18 39 51.641270028|101.0146993984213 -41.2559463395237| 12.152 -29.071   |10.24    |G5                     |    ~     ~    |    1|  193.866   pc  |  -2.1009     +2.1009  |paral   |2020yCat.1350....0G
4851|TYC 4293-1218-1                                                                                                                             |Star                               |23 43 55.4173141344 +66 33 22.466174724|116.2775384065281 +04.5607013064329|   4.997 -8.420   |9.83     |~                      |    ~     ~    |    1|  352.734   pc  |  -1.6175     +1.6175  |paral   |2020yCat.1350....0G
4852|HD 222900B                                                                                                                                  |Star                               |23 44 32.6758021056 +46 22 47.291170044|111.0753232450602 -14.9462328023706|  -1.388 -4.771   |9.83     |~                      |    ~     ~    |    1|  426.730   pc  |  -4.9531     +4.9531  |paral   |2020yCat.1350....0G
4853|TYC 4288-1445-2                                                                                                                             |Star                               |23 30 06.360 +65 03 11.39              |114.488387 +03.523261              |    -20.7 -34.7   |10.00    |~                      |    ~     ~    |    0|                |                       |        |                   
4854|BD+13 5122B                                                                                                                                 |High Proper Motion Star            |23 30 12.0908415048 +13 58 37.793936064|094.7999417950356 -44.4119388340761|  82.030 19.519   |10.78    |~                      |    ~     ~    |    1|  130.796   pc  |  -0.3695     +0.3695  |paral   |2020yCat.1350....0G
4855|TYC 4288-969-2                                                                                                                              |Star                               |23 30 42.631 +64 19 19.03              |114.323929 +02.807803              |       3.0 -8.3   |9.60     |~                      |    ~     ~    |    0|                |                       |        |                   
4856|TYC 4003-310-2                                                                                                                              |Star                               |23 31 11.817426 +56 04 04.60263        |111.849463598 -05.067556459        |        2.5 1.5   |10.90    |~                      |    ~     ~    |    0|                |                       |        |                   
4857|TYC 4284-572-2                                                                                                                              |Star                               |23 31 18.821 +62 05 58.88              |113.708057 +00.671412              |       34.0 9.2   |9.24     |~                      |    ~     ~    |    0|                |                       |        |                   
4858|TYC 1726-653-2                                                                                                                              |Star                               |23 31 50.869 +21 48 15.83              |099.487638 -37.417396              |      16.3 -9.4   |10.26    |~                      |    ~     ~    |    0|                |                       |        |                   
4859|BD+35 5045B                                                                                                                                 |Star                               |23 32 13.128340 +35 59 45.74967        |105.446372631 -24.171376066        |       0.5 -6.6   |10.15    |~                      |    ~     ~    |    0|                |                       |        |                   
4860|TYC 3645-2268-2                                                                                                                             |Star                               |23 32 35.846 +49 49 12.16              |110.121179 -11.080485              |     -0.6 -19.1   |10.23    |~                      |    ~     ~    |    0|                |                       |        |                   
4861|TYC 3637-1334-2                                                                                                                             |Star                               |23 33 19.539 +46 43 56.31              |109.270564 -14.057006              |      4.4 -27.4   |10.93    |~                      |    ~     ~    |    0|                |                       |        |                   
4862|TYC 2770-278-2                                                                                                                              |Star                               |23 33 22.081459 +32 14 54.17457        |104.306545251 -27.784150794        |      -0.3 -8.2   |10.76    |~                      |    ~     ~    |    0|                |                       |        |                   
4863|TYC 3645-2232-2                                                                                                                             |Star                               |23 33 19.089288 +49 25 58.51561        |110.114240279 -11.484762570        |      -4.8 -8.2   |10.97    |~                      |    ~     ~    |    0|                |                       |        |                   
4864|* 72 Peg B                                                                                                                                  |High Proper Motion Star            |23 33 57.227081 +31 19 31.03408        |104.087227619 -28.695340796        |     48.6 -17.2   |5.95     |K5III                  |    ~     ~    |    0|                |                       |        |                   
4865|BD+07 5053B                                                                                                                                 |Star                               |23 34 09.652809 +07 58 30.87199        |092.132816810 -50.217943957        |       11.9 3.5   |9.98     |~                      |    ~     ~    |    0|                |                       |        |                   
4866|TYC 4486-27-2                                                                                                                               |Star                               |23 34 53.8686772368 +71 19 46.540649928|116.8267218914034 +09.3708020839754|  18.576 -2.745   |10.64    |~                      |    ~     ~    |    1|  144.647   pc  |  -0.4519     +0.4519  |paral   |2020yCat.1350....0G
4867|BD+15 4849B                                                                                                                                 |Star                               |23 34 54.712260 +15 52 33.68005        |097.327859105 -43.158796390        |       7.9 -7.6   |10.15    |~                      |    ~     ~    |    0|                |                       |        |                   
4868|TYC 4482-170-2                                                                                                                              |Star                               |23 35 20.472091 +71 07 55.70246        |116.802279549 +09.171607219        |      -1.7 -5.0   |10.56    |~                      |    ~     ~    |    0|                |                       |        |                   
4869|HD 221875B                                                                                                                                  |Star                               |23 35 29.449961 +54 00 56.94543        |111.822312211 -07.209638591        |       28.0 0.9   |9.40     |~                      |    ~     ~    |    0|                |                       |        |                   
4870|TYC 3641-575-2                                                                                                                              |Star                               |23 35 48.062 +47 29 23.30              |109.919214 -13.461828              |      -1.0 -0.9   |10.62    |~                      |    ~     ~    |    0|                |                       |        |                   
4871|TYC 1726-1567-2                                                                                                                             |Star                               |23 36 06.958006 +20 26 41.93607        |100.011900695 -39.051126181        |       1.0 -9.4   |10.68    |~                      |    ~     ~    |    0|                |                       |        |                   
4872|HD 221969B                                                                                                                                  |Star                               |23 36 20.365590 +53 00 30.25021        |111.648664909 -08.210232475        |       4.8 -0.2   |10.37    |~                      |    ~     ~    |    0|                |                       |        |                   
4873|TYC 3649-621-2                                                                                                                              |Star                               |23 36 25.805979 +52 29 57.33552        |111.512965867 -08.701556043        |        7.3 0.2   |10.97    |~                      |    ~     ~    |    0|                |                       |        |                   
4874|TYC 2250-891-2                                                                                                                              |Star                               |23 36 47.748 +23 46 05.85              |101.709642 -36.008482              |       22.5 0.2   |10.17    |~                      |    ~     ~    |    0|                |                       |        |                   
4875|HD 222109B                                                                                                                                  |Star                               |23 37 32.044688 +44 25 44.93118        |109.281496335 -16.474933518        |     14.0 -12.7   |7.39     |~                      |    ~     ~    |    0|                |                       |        |                   
4876|HD 222104B                                                                                                                                  |High Proper Motion Star            |23 37 27.368399 +49 21 50.95904        |110.749979365 -11.749723399        |     -57.5 10.8   |9.31     |~                      |    ~     ~    |    0|                |                       |        |                   
4877|TYC 3243-469-2                                                                                                                              |High Proper Motion Star            |23 37 39.878 +44 57 25.35              |109.465960 -15.977097              |     54.3 -19.4   |10.48    |~                      |    ~     ~    |    0|                |                       |        |                   
4878|HD 222153B                                                                                                                                  |Star                               |23 37 53.8267318100 +58 05 44.206349556|113.3193335167028 -03.3970135070965|   4.029 -2.935   |10.11    |~                      |    ~     ~    |    1|  236.027   pc  |  -2.8021     +2.8021  |paral   |2020yCat.1350....0G
4879|TYC 1175-887-2                                                                                                                              |Star                               |23 38 02.031 +12 52 48.48              |096.606146 -46.205717              |       25.7 0.2   |9.71     |~                      |    ~     ~    |    0|                |                       |        |                   
4880|TYC 4483-1493-2                                                                                                                             |Star                               |23 38 25.865 +70 37 40.74              |116.900627 +08.615963              |       40.9 2.0   |9.57     |~                      |    ~     ~    |    0|                |                       |        |                   
4881|TYC 1172-588-2                                                                                                                              |Star                               |23 38 35.479786 +11 50 35.62370        |096.171813391 -47.208218269        |     -9.4 -24.1   |10.80    |~                      |    ~     ~    |    0|                |                       |        |                   
4882|BD+49 4181B                                                                                                                                 |Star                               |23 39 12.472875 +50 32 42.18641        |111.367948697 -10.697826748        |       14.7 7.2   |10.98    |~                      |    ~     ~    |    0|                |                       |        |                   
4883|TYC 4606-92-2                                                                                                                               |Star                               |23 39 28.619 +77 51 30.35              |119.065972 +15.530207              |        9.3 4.2   |10.42    |~                      |    ~     ~    |    0|                |                       |        |                   
4884|BD+12 5013B                                                                                                                                 |High Proper Motion Star            |23 40 06.0439440689 +12 58 05.409205404|097.3248194476758 -46.3263783562076|-17.089 -144.143  |9.91     |~                      |    ~     ~    |    1|   57.4994  pc  |  -0.2555     +0.2555  |paral   |2020yCat.1350....0G
4885|TYC 4280-1537-2                                                                                                                             |Star                               |23 40 04.757 +60 15 06.42              |114.185871 -01.402611              |       12.1 6.8   |10.69    |~                      |    ~     ~    |    0|                |                       |        |                   
4886|TYC 4280-1432-2                                                                                                                             |Star                               |23 40 43.845966 +60 12 25.17262        |114.251561522 -01.467678218        |      30.6 -1.1   |10.80    |~                      |    ~     ~    |    0|                |                       |        |                   
4887|TYC 1170-1511-2                                                                                                                             |Star                               |23 40 52.702 +07 59 00.12              |094.485282 -50.949535              |       0.7 -0.9   |10.27    |~                      |    ~     ~    |    0|                |                       |        |                   
4888|BD+64 1839B                                                                                                                                 |Star                               |23 41 22.996109 +65 21 00.69705        |115.708406897 +03.465637056        |      -7.1 -3.0   |10.87    |~                      |    ~     ~    |    0|                |                       |        |                   
4889|TYC 4008-2085-2                                                                                                                             |Star                               |23 41 53.868 +56 58 22.99              |113.528612 -04.623685              |       7.3 -6.6   |10.52    |~                      |    ~     ~    |    0|                |                       |        |                   
4890|HD 222610B                                                                                                                                  |High Proper Motion Star            |23 42 02.1529510488 +20 17 45.805439364|101.6191717208005 -39.6861562637604|-60.122 -78.088   |8.57     |~                      |    ~     ~    |    1|  114.536   pc  |  -0.6717     +0.6717  |paral   |2020yCat.1350....0G
4891|TYC 4004-1886-2                                                                                                                             |Star                               |23 42 27.295 +54 36 02.56              |112.969561 -06.931239              |      10.3 -0.9   |9.58     |~                      |    ~     ~    |    0|                |                       |        |                   
4892|TYC 4610-230-2                                                                                                                              |Star                               |23 42 46.264 +80 31 25.13              |120.002381 +18.044829              |     -17.8 -3.2   |10.06    |~                      |    ~     ~    |    0|                |                       |        |                   
4893|TYC 4289-241-2                                                                                                                              |Star                               |23 42 59.434 +63 50 35.27              |115.474735 +01.966820              |       4.9 -3.6   |10.74    |~                      |    ~     ~    |    0|                |                       |        |                   
4894|HD 222798B                                                                                                                                  |High Proper Motion Star            |23 43 38.626 +06 28 27.87              |094.444373 -52.606847              |    -25.6 -45.3   |9.46     |~                      |    ~     ~    |    0|                |                       |        |                   
4895|TYC 1724-1510-2                                                                                                                             |Star                               |23 43 56.927694 +18 38 03.90056        |101.422633098 -41.401392048        |     12.4 -34.7   |10.36    |~                      |    ~     ~    |    0|                |                       |        |                   
4896|BD+10 4986B                                                                                                                                 |Star                               |23 44 39.110093 +11 46 04.76341        |098.145589447 -47.863709079        |      17.5 -6.4   |10.36    |~                      |    ~     ~    |    0|                |                       |        |                   
4897|TYC 3240-28-2                                                                                                                               |Star                               |23 44 41.438 +43 05 55.98              |110.187835 -18.115060              |      18.6 -5.6   |10.71    |~                      |    ~     ~    |    0|                |                       |        |                   
4898|TYC 4284-939-1                                                                                                                              |Star                               |23 30 07.3974219480 +63 04 12.888234408|113.8757334222120 +01.6371501739083|  -7.277 -4.297   |10.97    |~                      |    ~     ~    |    1|  248.416   pc  |  -0.7405     +0.7405  |paral   |2020yCat.1350....0G
4899|BD+13 5122A                                                                                                                                 |High Proper Motion Star            |23 30 12.0227216520 +13 58 39.056536416|094.7998064534319 -44.4115034946203|  82.539 18.299   |10.24    |~                      |    ~     ~    |    1|  129.646   pc  |  -0.3967     +0.3967  |paral   |2020yCat.1350....0G
