C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:39

dec >=0&rah >=11.0&rah< 11.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2287

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
79  |BD+78 371                                                                                                                                   |Star                                |11 04 08.1496886328 +77 36 11.626357932|129.9952219076402 +38.0139924714088|-14.841 -12.495    |9.50     |K0                |    ~     ~    |    1|  594.636   pc  |  -4.7735     +4.7735  |paral   |2020yCat.1350....0G
80  |HD 94946                                                                                                                                    |Star                                |11 00 11.0222631648 +76 37 57.371486124|130.8801141808600 +38.7276320137544| 15.928 -12.202    |8.74     |G5                |    ~     ~    |    1|  518.323   pc  | -13.6747    +13.6747  |paral   |2020yCat.1350....0G
81  |BD+77 418                                                                                                                                   |Star                                |11 00 56.0224997712 +76 51 11.507318532|130.6837242174862 +38.5633668095820|-31.120 -13.393    |9.45     |F2                |    ~     ~    |    1|  225.601   pc  |  -1.0332     +1.0332  |paral   |2020yCat.1350....0G
82  |HD 95721                                                                                                                                    |Star                                |11 05 14.5252943976 +76 27 06.923349432|130.6789126330023 +39.0354041025764| 27.446 -19.122    |7.89     |F8                |    ~     ~    |    1|   82.977   pc  |  -0.1439     +0.1439  |paral   |2020yCat.1350....0G
83  |BD+77 421                                                                                                                                   |Star                                |11 07 53.3347805832 +76 48 03.551853744|130.2823988970457 +38.8115618634367|-21.610 -14.152    |10.22    |K2                |    ~     ~    |    1|  599.916   pc  |  -4.1029     +4.1029  |paral   |2020yCat.1350....0G
84  |BD+77 422                                                                                                                                   |Star                                |11 08 53.5514632128 +76 55 41.691474624|130.1379200399568 +38.7293572512367|    5.196 1.182    |9.52     |K2                |    ~     ~    |    1|  863.334   pc  | -23.4784    +23.4784  |paral   |2020yCat.1350....0G
85  |HD 96369                                                                                                                                    |Double or Multiple Star             |11 08 45.699 +76 24 32.69              |130.477113 +39.176586              |            ~ ~    |9.66     |G5                |    ~     ~    |    0|                |                       |        |                   
86  |HD 96590                                                                                                                                    |Star                                |11 09 53.5163664720 +77 01 05.052642348|130.0185226768805 +38.6787796118168|    4.779 1.647    |9.42     |K0                |    ~     ~    |    1|  582.208   pc  |  -3.9998     +3.9998  |paral   |2020yCat.1350....0G
87  |BD+76 410                                                                                                                                   |Star                                |11 02 33.7535225064 +75 54 09.516512916|131.2238529962833 +39.4215702044766| -10.098 -4.556    |8.700    |K0                |    ~     ~    |    1|  379.968   pc  |  -1.9202     +1.9202  |paral   |2020yCat.1350....0G
88  |BD+76 412                                                                                                                                   |Star                                |11 07 08.7414401640 +75 56 23.657338176|130.8898291758082 +39.5338032007591| -15.971 -4.610    |9.00     |G5                |    ~     ~    |    1|  469.550   pc  |  -3.1308     +3.1308  |paral   |2020yCat.1350....0G
89  |HD 96342                                                                                                                                    |Spectroscopic Binary                |11 08 28.8755218176 +76 07 09.467361444|130.6825418041126 +39.4194429651779| -1.360 -15.802    |8.91     |K0                |    ~     ~    |    1|  321.709   pc  |  -4.5849     +4.5849  |paral   |2020yCat.1350....0G
90  |BD+76 415                                                                                                                                   |Star                                |11 08 43.6647707112 +75 50 07.265934420|130.8501387470947 +39.6727129816606|   6.919 -8.143    |9.09     |K                 |    ~     ~    |    1|  428.486   pc  |  -2.6071     +2.6071  |paral   |2020yCat.1350....0G
91  |BD+76 417                                                                                                                                   |Star                                |11 10 34.2165855816 +75 41 13.589694924|130.8182213883109 +39.8576734734256|   -9.709 4.845    |10.22    |F5                |    ~     ~    |    1|  249.016   pc  |  -1.2154     +1.2154  |paral   |2020yCat.1350....0G
92  |BD+76 419                                                                                                                                   |Star                                |11 11 46.5473916240 +75 40 20.863523208|130.7429937350858 +39.9070575933562|   6.449 -5.364    |10.07    |G5                |    ~     ~    |    1|  227.796   pc  | -18.3953    +18.3953  |paral   |2020yCat.1350....0G
93  |TYC 4549-698-1                                                                                                                              |Star                                |11 08 28.0486212144 +77 29 00.127813308|129.8145703496318 +38.2347412942625|-12.620 -16.077    |10.69    |~                 |    ~     ~    |    1|  291.622   pc  |  -0.9695     +0.9695  |paral   |2020yCat.1350....0G
94  |TYC 4549-1066-1                                                                                                                             |Star                                |11 01 42.8872499136 +76 51 37.481321664|130.6305726658037 +38.5805921433094| -9.081 -12.932    |10.86    |~                 |    ~     ~    |    1|  308.642   pc  |  -1.1336     +1.1336  |paral   |2020yCat.1350....0G
95  |TYC 4549-1140-1                                                                                                                             |Star                                |11 01 20.9239232256 +75 51 01.127459484|131.3410426936824 +39.4267340695869|   -1.365 0.265    |10.74    |~                 |    ~     ~    |    1|  839.067   pc  |  -8.8708     +8.8708  |paral   |2020yCat.1350....0G
