C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
3530|HD 188394                                                             |Star                                  |19 57 09.8349788568 -48 56 03.889944060|349.9947143763277 -30.6087502787188|  2.350 -14.331   |10.231   |F7/8V          |    ~     ~    
3531|CD-48 13321                                                           |Star                                  |19 54 24.0853812600 -48 36 47.397806820|350.2933790612399 -30.1148453300874|  6.112 -10.178   |10.30    |~              |    ~     ~    
3532|CD-48 13322                                                           |Star                                  |19 54 42.3913672824 -48 35 08.972732760|350.3327813539345 -30.1610051108331|  3.664 -12.271   |10.397   |~              |    ~     ~    
3533|HD 188072                                                             |Star                                  |19 55 25.5019619016 -46 53 02.773487544|352.2990399700198 -30.0323671985140|   1.611 -9.385   |9.54     |K1/2III        |    ~     ~    
3534|HD 188435                                                             |High Proper Motion Star               |19 57 14.5383191448 -46 46 32.915177508|352.4772013825712 -30.3232645979445| 15.793 -90.742   |9.00     |F7V            |    ~     ~    
3535|CD-47 13119                                                           |Star                                  |19 52 00.4562782248 -47 28 26.555445876|351.5236271134335 -29.5502814478235| -6.536 -12.060   |10.59    |~              |    ~     ~    
3536|HD 188094                                                             |Star                                  |19 55 35.6136165144 -47 03 55.468152108|352.0970461512337 -30.0883467621802|-13.881 -35.656   |10.22    |G5IV/V         |    ~     ~    
3537|HD 188117                                                             |Star                                  |19 55 44.8233977784 -47 35 27.153820752|351.5005796552901 -30.1918814470243|  25.567 -5.764   |9.36     |F5V            |    ~     ~    
3538|HD 188144                                                             |Star                                  |19 55 54.2651654592 -46 59 31.802611524|352.1899769525141 -30.1296677089194|  -1.470 -7.077   |10.115   |F6V            |    ~     ~    
3539|HD 188203                                                             |Star                                  |19 56 10.5779073264 -47 23 15.065273616|351.7456149746979 -30.2340061116170| 13.504 -10.097   |9.88     |A1V            |    ~     ~    
3540|HD 188301                                                             |Star                                  |19 56 35.5851521328 -46 59 31.553146572|352.2103986640508 -30.2457680693483| -21.436 16.856   |9.36     |F5V            |    ~     ~    
3541|HD 188380                                                             |Star                                  |19 56 57.0325255464 -47 25 22.495376820|351.7270041584749 -30.3687530922247|  8.854 -27.343   |9.60     |A2/3V          |    ~     ~    
3542|HD 188493                                                             |Star                                  |19 57 31.5026733216 -47 00 08.277605208|352.2258322933176 -30.4044437688146|   23.911 0.586   |10.543   |F0V            |    ~     ~    
3543|HD 188519                                                             |Star                                  |19 57 38.8556522592 -47 17 48.977775996|351.8911626637894 -30.4675693877972|   1.615 -4.638   |10.038   |F5IV/V         |    ~     ~    
3544|HD 188850                                                             |Star                                  |19 59 16.6420424232 -47 37 02.576207604|351.5667386313514 -30.7848110010025|  -2.919 -9.434   |10.02    |F0V            |    ~     ~    
3545|HD 188944                                                             |Star                                  |19 59 45.3491797728 -47 32 59.382923316|351.6572976159883 -30.8556959151020|  -5.948 -6.130   |9.08     |F0V            |    ~     ~    
3546|HD 188247                                                             |Star                                  |19 56 22.6060892832 -47 44 15.380484468|351.3500978287892 -30.3178752759896|    8.632 7.653   |8.81     |F5V            |    ~     ~    
3547|CD-48 13357                                                           |High Proper Motion Star               |19 57 53.4982659912 -47 41 30.840412272|351.4439426115312 -30.5637828229728|-24.877 -75.162   |10.42    |G5             |    ~     ~    
3548|HD 188620                                                             |Star                                  |19 58 15.3340982184 -47 40 09.391965564|351.4797594470200 -30.6213458266909|  12.618 -8.041   |9.91     |K0III          |    ~     ~    
3549|HD 188742                                                             |Star                                  |19 58 50.8907979936 -47 45 00.536733684|351.4023356858314 -30.7310933049939|  -4.266 -3.284   |9.92     |K1(III)        |    ~     ~    
3550|HD 187939                                                             |Star                                  |19 54 45.3738072384 -48 09 46.437543324|350.8182951757448 -30.1097656895270|  3.489 -17.854   |10.15    |F2/3V          |    ~     ~    
3551|HD 188032                                                             |gamma Dor Variable                    |19 55 20.3967828336 -48 16 56.196688260|350.6974584659168 -30.2228543323125|-14.145 -36.299   |8.14     |A9V            |    ~     ~    
3552|HD 188051                                                             |Star                                  |19 55 24.0199285536 -47 52 49.204092576|351.1594918852366 -30.1759693664595|  9.248 -25.640   |10.19    |G0V            |    ~     ~    
3553|HD 188436                                                             |Spectroscopic Binary                  |19 57 17.9543041368 -48 01 18.343017444|351.0487581588905 -30.5105799109635|   -2.164 0.725   |9.08     |K2III          |    ~     ~    
3554|HD 188556                                                             |High Proper Motion Star               |19 57 58.7600560296 -48 20 28.338961956|350.6986175020437 -30.6656398007508| 37.811 -60.118   |9.74     |F3V            |    ~     ~    
3555|HD 188581                                                             |Double or Multiple Star               |19 58 04.3609362528 -48 08 00.887692524|350.9402564166372 -30.6536452771346|   27.995 3.646   |8.34     |G0V            |0.0017  0.0    
3556|HD 188706                                                             |High Proper Motion Star               |19 58 40.3129880712 -47 59 42.400062564|351.1153094905754 -30.7344956260074|65.076 -100.499   |9.18     |F3V            |    ~     ~    
3557|HD 188962                                                             |Star                                  |19 59 57.9345235968 -48 11 25.294896096|350.9223963957740 -30.9739966188453| 18.172 -30.592   |8.92     |A5/7mA8-F2     |    ~     ~    
3558|HD 188680                                                             |Star                                  |19 58 31.9526450928 -48 53 53.218873464|350.0694522206965 -30.8272628118105|   29.106 5.639   |10.379   |F0V            |    ~     ~    
3559|CD-47 13127                                                           |Star                                  |19 52 29.4742815984 -47 26 42.778847040|351.5711050741505 -29.6264983769554|   2.270 -0.090   |10.05    |~              |    ~     ~    
3560|CD-47 13150                                                           |Star                                  |19 55 30.6208296240 -47 07 58.477467540|352.0174573872767 -30.0845192037902|  3.664 -20.047   |10.117   |~              |    ~     ~    
3561|CD-48 13346                                                           |Star                                  |19 56 46.3980181536 -48 39 24.407135640|350.3047400250853 -30.5090079565775|   3.501 -2.106   |10.054   |~              |    ~     ~    
3562|CD-47 13177                                                           |Star                                  |19 58 55.9245089760 -47 24 36.141226200|351.7965007907775 -30.6988239542599|   0.223 -8.055   |10.16    |~              |    ~     ~    
3563|CD-47 13184                                                           |Star                                  |19 59 33.0420820440 -47 04 29.499627936|352.1995801733488 -30.7563878278575|   -4.680 6.383   |10.45    |~              |    ~     ~    
3564|TYC 8394-714-1                                                        |Star                                  |19 50 53.8499178360 -48 16 17.129397756|350.5851936742315 -29.4900733061086|  3.604 -10.088   |10.23    |~              |    ~     ~    
3565|TYC 8394-1685-1                                                       |Star                                  |19 50 18.6786475176 -47 14 35.253280212|351.7321438797486 -29.2295964862357| 11.326 -24.150   |10.77    |~              |    ~     ~    
3566|TYC 8395-37-1                                                         |Star                                  |19 53 49.2256310232 -48 42 46.163235960|350.1638817551351 -30.0337482868376|  12.416 -7.771   |10.73    |~              |    ~     ~    
3567|TYC 8395-252-1                                                        |Star                                  |19 56 42.6613911216 -47 39 20.306225448|351.4533534649107 -30.3619232554385|  -4.463 -9.924   |10.826   |~              |    ~     ~    
3568|TYC 8395-393-1                                                        |Star                                  |19 57 14.2188241560 -48 28 36.654032676|350.5235529770865 -30.5613502477509|  14.101 -3.033   |10.542   |~              |    ~     ~    
3569|TYC 8395-438-1                                                        |Star                                  |19 58 53.6480911368 -46 57 07.275735396|352.3226714275581 -30.6282827074952|    6.128 6.461   |10.92    |~              |    ~     ~    
3570|TYC 8395-787-1                                                        |Star                                  |19 59 57.9227981376 -48 30 46.995557508|350.5488993572572 -31.0142914291413|   1.053 -1.391   |10.33    |~              |    ~     ~    
3571|TYC 8395-1196-1                                                       |High Proper Motion Star               |19 56 10.4236775688 -47 31 10.818404580|351.5941921205562 -30.2527858140083| 44.351 -73.047   |10.537   |~              |    ~     ~    
3572|TYC 8395-2046-1                                                       |Star                                  |19 58 28.7129752008 -47 28 41.903462136|351.7055905682476 -30.6322991335424|  -6.597 -8.564   |10.80    |~              |    ~     ~    
3573|TYC 8395-2312-1                                                       |Star                                  |19 55 06.5966836104 -47 04 46.446838392|352.0664599101725 -30.0090992845732|    7.946 2.528   |10.636   |~              |    ~     ~    
3574|TYC 8395-2338-1                                                       |Star                                  |19 58 41.2862293656 -47 19 12.253564272|351.8934421945388 -30.6454484315855|   13.584 3.359   |10.59    |~              |    ~     ~    
3575|TYC 8395-2470-1                                                       |Star                                  |19 52 36.1115650560 -47 12 08.775145512|351.8502865116833 -29.6068400497326| -2.004 -16.623   |10.628   |~              |    ~     ~    
3576|TYC 8395-2511-1                                                       |Star                                  |19 59 42.1190601792 -48 00 55.590096708|351.1180960234139 -30.9079747788934|   -0.556 4.652   |10.59    |~              |    ~     ~    
3577|TYC 8395-2825-1                                                       |Star                                  |19 58 48.8485218408 -48 09 21.160182420|350.9334887308937 -30.7791893538760|  5.616 -13.913   |10.401   |~              |    ~     ~    
3578|TYC 8399-628-1                                                        |Star                                  |19 58 46.3472987712 -49 17 54.681305100|349.6119461978934 -30.9148030319081| 12.903 -11.952   |10.317   |~              |    ~     ~    
3579|TYC 8399-1331-1                                                       |Star                                  |19 56 18.4856161608 -49 05 01.283569548|349.8019385760331 -30.4886786484590|   9.883 -7.435   |10.386   |~              |    ~     ~    
3580|TYC 8399-1489-1                                                       |Star                                  |19 59 53.1043685736 -49 16 32.259103248|349.6632911569051 -31.0922987941633|   3.061 28.181   |10.660   |~              |    ~     ~    
3581|TYC 8399-1513-1                                                       |Star                                  |19 56 35.8699944120 -49 23 39.632250660|349.4511313303024 -30.5749155743790| 11.210 -17.029   |10.163   |~              |    ~     ~    
3582|TYC 8399-1555-1                                                       |Star                                  |19 57 17.2258003992 -49 29 03.509300652|349.3633895624911 -30.6971829560335| 14.457 -12.664   |10.796   |~              |    ~     ~    
3583|TYC 8399-1771-1                                                       |Star                                  |19 58 26.4524525976 -49 16 24.802922604|349.6333012854971 -30.8581361694360|  -18.403 8.915   |10.186   |~              |    ~     ~    
3584|TYC 8394-57-1                                                         |Star                                  |19 45 58.3325767080 -47 22 18.096342384|351.4445445536240 -28.5266523236555|  -19.317 9.351   |10.92    |~              |    ~     ~    
3585|HD 186248                                                             |Star                                  |19 45 23.0596533192 -46 07 53.844078180|352.8093315238801 -28.2015681288357| 18.171 -29.868   |10.01    |G0V            |    ~     ~    
3586|HD 186391                                                             |Star                                  |19 46 06.8399725680 -46 10 54.124068504|352.7803854229983 -28.3350762095193|  4.542 -14.055   |7.98     |K1III          |    ~     ~    
3587|HD 186435                                                             |Star                                  |19 46 28.0448883360 -47 01 15.906669312|351.8542797888950 -28.5474955219284|   0.534 -4.823   |9.94     |G6III          |    ~     ~    
3588|HD 186559                                                             |Star                                  |19 47 22.6627188288 -47 22 29.070594084|351.4882385742069 -28.7615204307095|  12.573 -5.709   |10.042   |F0IV/V         |    ~     ~    
3589|CD-46 13196                                                           |Star                                  |19 46 07.9886795688 -46 39 15.377415768|352.2531303223711 -28.4253203302649|  3.782 -13.411   |10.13    |~              |    ~     ~    
3590|CD-47 13090                                                           |Star                                  |19 47 36.8502252000 -47 12 25.878523428|351.6844026446842 -28.7721718446129|   6.889 -4.698   |10.26    |~              |    ~     ~    
3591|CD-47 13091                                                           |Star                                  |19 47 58.9381599264 -46 55 18.105550068|352.0175936012952 -28.7844093183885|  -7.072 11.397   |10.03    |~              |    ~     ~    
3592|HD 186771                                                             |High Proper Motion Star               |19 48 22.9062339072 -44 58 39.437068584|354.2099415358272 -28.4976460968950| 53.217 -21.112   |9.03     |F5V            |    ~     ~    
3593|HD 186897                                                             |High Proper Motion Star               |19 48 58.1004029832 -44 47 41.138009016|354.4368379258068 -28.5646964104260|-51.146 -49.867   |9.84     |G8/K0V         |    ~     ~    
3594|HD 186988                                                             |Star                                  |19 49 32.6602545168 -45 13 15.836128104|353.9815787820534 -28.7449745540504|  -24.261 2.098   |9.32     |F5V            |    ~     ~    
3595|HD 187099                                                             |Star                                  |19 50 10.8385303224 -45 22 46.329766860|353.8272982932356 -28.8841137579345|  5.416 -13.176   |6.96     |K0III          |    ~     ~    
3596|HD 187187                                                             |Star                                  |19 50 39.3246 -44 53 39.457            |354.3895961 -28.8771333            | 19.012 -21.762   |10.064   |A9V            |    ~     ~    
3597|HD 187250                                                             |Star                                  |19 51 00.3396650160 -44 58 39.204746148|354.3091932125420 -28.9534331361998|   4.208 -5.113   |10.69    |A7/8V          |    ~     ~    
3598|HD 187358                                                             |Star                                  |19 51 33.9480761520 -45 10 57.452086596|354.0991996405523 -29.0880122500449| -6.828 -16.684   |8.74     |K1III          |    ~     ~    
3599|HD 187562                                                             |Star                                  |19 52 31.5202042368 -45 17 41.421556140|354.0072878176005 -29.2742506097248| 25.876 -35.697   |9.39     |G6IV           |    ~     ~    
3600|HD 187702                                                             |Star                                  |19 53 20.3005989600 -45 06 02.730179520|354.2554037661395 -29.3809645050830|  30.728 10.960   |9.97     |G6/8V          |    ~     ~    
3601|HD 186682                                                             |Star                                  |19 47 52.3477090152 -45 43 03.602602704|353.3635499070659 -28.5491208255925| 34.417 -44.808   |7.26     |A3V            |    ~     ~    
3602|HD 186975                                                             |High Proper Motion Star               |19 49 27.7097894976 -45 44 52.414352160|353.3876245354201 -28.8273091426922| 56.576 -33.046   |7.27     |K0/1III        |    ~     ~    
3603|HD 187312                                                             |Star                                  |19 51 21.6221720328 -45 51 21.033447912|353.3334301146352 -29.1721173863498|  12.412 -9.298   |8.78     |G8III          |    ~     ~    
3604|HD 187608                                                             |Star                                  |19 52 51.3038038776 -45 41 32.297162136|353.5698920377846 -29.4004585413033|  7.277 -14.507   |9.58     |F0V            |    ~     ~    
3605|HD 186616                                                             |Star                                  |19 47 32.7651732264 -46 16 55.747700796|352.7198508767933 -28.5969786855511|  -2.814 -2.264   |9.51     |K2/3(III)      |    ~     ~    
3606|HD 186652                                                             |Star                                  |19 47 46.5826649664 -46 19 50.888035128|352.6735336538353 -28.6448906002913|  -39.482 2.804   |10.00    |F6V            |    ~     ~    
3607|HD 186670                                                             |Star                                  |19 47 49.3529096784 -45 54 42.529400100|353.1444778690587 -28.5764521202590|  2.904 -17.671   |10.16    |F7/8V          |    ~     ~    
3608|HD 186671                                                             |Star                                  |19 47 50.6 -46 29 26                   |352.4968 -28.6849                  |            ~ ~   |10.0     |G3/5           |    ~     ~    
3609|HD 186738                                                             |Spectroscopic Binary                  |19 48 21.1837235304 -46 01 11.479388844|353.0426509132432 -28.6868319789442|  15.968 -8.722   |8.95     |F2IV/V         |    ~     ~    
3610|HD 186834                                                             |Star                                  |19 48 50.3300911128 -46 00 25.693815132|353.0743125046737 -28.7674810544558|  17.781 -1.344   |9.92     |F2/3V          |    ~     ~    
3611|HD 186854                                                             |Star                                  |19 48 57.8889622968 -46 08 42.530377812|352.9238660646241 -28.8137408913134|  -0.883 -7.678   |7.9      |G8III          |    ~     ~    
3612|CD-46 13228                                                           |Star                                  |19 49 00.0618776328 -46 08 28.802063400|352.9294271844025 -28.8192319535638|  8.978 -32.625   |10.0     |~              |    ~     ~    
3613|HD 186876                                                             |Star                                  |19 49 07.0395822024 -46 36 41.701399380|352.4048749934121 -28.9218413824948| 14.462 -14.346   |10.31    |A9(IV)         |    ~     ~    
3614|HD 186898                                                             |Star                                  |19 49 07.4292655104 -46 27 02.219085756|352.5861531548465 -28.8948365578186| 28.425 -30.081   |9.93     |K2(III)        |    ~     ~    
3615|HD 186918                                                             |Star                                  |19 49 15.6581544216 -46 03 11.229412068|353.0376945671052 -28.8478135063689|  -20.243 2.322   |10.11    |G2/3V          |    ~     ~    
3616|CD-46 13245                                                           |High Proper Motion Star               |19 50 27.9921642000 -45 59 27.226236012|353.1500677432765 -29.0427500773021| 41.685 -39.701   |10.25    |F8             |    ~     ~    
3617|HD 187212                                                             |Star                                  |19 50 53.0742074040 -46 21 38.163226644|352.7477062872232 -29.1781781323840|  7.378 -34.535   |7.50     |F3V            |    ~     ~    
3618|HD 187227                                                             |Star                                  |19 51 02.0457409056 -46 28 41.409951816|352.6200236345540 -29.2236093500347|  1.949 -10.697   |10.764   |F5             |    ~     ~    
3619|HD 187228                                                             |Star                                  |19 51 02.4659076384 -46 33 43.617885300|352.5254485495881 -29.2390057839113|   2.082 -2.912   |9.78     |K5             |    ~     ~    
3620|HD 187271                                                             |Star                                  |19 51 14.4282513360 -46 39 38.607270624|352.4206207868339 -29.2893342960322|  9.465 -14.067   |9.27     |G8III          |    ~     ~    
3621|HD 187476                                                             |Star                                  |19 52 13.4485298040 -46 00 55.707366528|353.1829273540540 -29.3476074812010|  2.408 -24.369   |9.49     |G8III          |    ~     ~    
3622|HD 187631                                                             |High Proper Motion Star               |19 52 58.4390331624 -46 00 58.685961744|353.2073454581410 -29.4760441754145| 77.408 -46.415   |9.78     |G3V            |    ~     ~    
3623|HD 187652                                                             |Star                                  |19 53 09.0331450560 -46 22 12.076663620|352.8123908107951 -29.5651211307726|   11.174 6.931   |8.18     |A4IV/V         |    ~     ~    
3624|HD 187703                                                             |Star                                  |19 53 22.1389476264 -46 03 04.078849752|353.1811135246502 -29.5494740338750| 31.194 -21.326   |9.46     |K1III          |    ~     ~    
3625|HD 188071                                                             |Star                                  |19 55 21.2918751696 -46 08 02.893640892|353.1518270223343 -29.9027226452385|   10.604 2.993   |8.18     |K1/2III        |    ~     ~    
3626|HD 187200                                                             |Star                                  |19 50 55.3564738896 -46 41 33.829001772|352.3739731464466 -29.2409493344895|   25.672 2.606   |10.46    |F3V            |    ~     ~    
3627|HD 187229                                                             |Star                                  |19 51 07.6381718136 -46 55 30.296959356|352.1180025426187 -29.3141848403123|   0.114 14.459   |9.965    |F6/7V          |    ~     ~    
3628|HD 187313                                                             |Star                                  |19 51 28.4145238368 -46 57 55.870886520|352.0833947350997 -29.3791303702051|  -17.263 4.855   |9.68     |G5III/IV       |    ~     ~    
3629|HD 188050                                                             |Star                                  |19 55 20.4915 -46 47 57.238            |352.3933589 -30.0052103            |    5.001 4.292   |10.399   |F2V            |    ~     ~    
3630|V* HO Tel                                                             |Spectroscopic Binary                  |19 51 58.9315901448 -46 51 42.433074756|352.2171812615918 -29.4478554476527|  1.811 -33.524   |8.31     |A7III(m)       |    ~     ~    
3631|HD 188393                                                             |Star                                  |19 57 03.3816153648 -46 35 26.440439568|352.6836304234151 -30.2639282146637|   -1.668 0.997   |9.20     |A3III          |    ~     ~    
3632|HD 188492                                                             |Star                                  |19 57 30.5626055280 -46 33 24.977588040|352.7358683080966 -30.3357980858719|-17.788 -13.219   |9.66     |F3V            |    ~     ~    
3633|CD-46 13309                                                           |High Proper Motion Star               |19 58 29.0570734224 -46 34 45.503577192|352.7391538264532 -30.5048209423927|-79.480 -27.493   |10.59    |G0             |    ~     ~    
3634|HD 188816                                                             |Star                                  |19 58 57.2975922792 -46 22 01.173016668|352.9968354845644 -30.5535901517920|  4.846 -23.530   |9.937    |K0/1(III)      |    ~     ~    
3635|HD 188408                                                             |Star                                  |19 57 07.5059631960 -46 44 05.310842424|352.5206880434479 -30.2972900035774|-24.359 -32.089   |8.98     |K2III          |    ~     ~    
3636|IRAS 19518-4636                                                       |Long-Period Variable Candidate        |19 55 30.1670824008 -46 28 39.805770108|352.7650339672744 -29.9825238677617| -3.240 -12.608   |10.68    |~              |    ~     ~    
3637|CD-46 13199                                                           |Star                                  |19 46 18.5407239768 -45 49 38.576858124|353.1829420249296 -28.3018631678850| -9.769 -11.791   |10.61    |~              |    ~     ~    
3638|CD-46 13219                                                           |Star                                  |19 48 03.7311884856 -46 06 25.262713152|352.9345213804995 -28.6530341370635| -4.488 -17.767   |10.38    |~              |    ~     ~    
3639|CD-47 13098                                                           |Spectroscopic Binary                  |19 49 09.9940951608 -46 49 22.923808356|352.1685434399628 -28.9666923041546| 12.262 -16.698   |10.61    |~              |    ~     ~    
3640|CD-46 13240                                                           |Star                                  |19 49 56.2135167072 -45 46 06.559086360|353.3815399798417 -28.9125252561686|    4.739 8.858   |10.55    |~              |    ~     ~    
3641|CD-46 13244                                                           |Star                                  |19 50 20.8120684176 -46 09 15.069482172|352.9620152244071 -29.0509363856388|  45.396 -0.874   |10.41    |~              |    ~     ~    
3642|CD-45 13460                                                           |Star                                  |19 51 38.4083484552 -45 04 32.105101008|354.2223797174442 -29.0815527300479|  2.561 -39.190   |10.73    |~              |    ~     ~    
3643|CD-46 13296                                                           |Star                                  |19 56 23.3982426816 -45 57 17.090882172|353.3894571153808 -30.0512895115731|  9.896 -26.636   |10.492   |~              |    ~     ~    
3644|CD-45 13423                                                           |Spectroscopic Binary                  |19 47 10.2332498496 -45 29 48.489797832|353.5841361493039 -28.3871069937432|   5.494 -1.312   |10.13    |~              |    ~     ~    
3645|CD-45 13427                                                           |Star                                  |19 47 51.4289846472 -45 28 30.716897160|353.6340941954368 -28.5012072883905|    0.661 4.437   |10.36    |~              |    ~     ~    
3646|CD-46 13224                                                           |Star                                  |19 48 36.8999050200 -46 27 22.343574420|352.5622567636443 -28.8095515665599|  -9.986 -3.615   |10.31    |~              |    ~     ~    
3647|CD-45 13442                                                           |Star                                  |19 50 07.6806504624 -45 05 50.421794712|354.1420631673442 -28.8231489604730|   5.232 -7.668   |10.72    |~              |    ~     ~    
3648|CD-45 13457                                                           |Star                                  |19 51 14.9172089352 -44 59 30.726889584|354.3021212390589 -28.9982906121079|  13.184 -5.449   |10.14    |~              |    ~     ~    
3649|CD-46 13272                                                           |Star                                  |19 53 11.6322468384 -45 46 14.156902920|353.4929400705589 -29.4721122864201|  -1.858 -3.869   |10.82    |~              |    ~     ~    
3650|CD-46 13207                                                           |Star                                  |19 46 52.9490988768 -45 51 22.292407296|353.1721280321767 -28.4053751047710|   -2.604 2.310   |10.3     |~              |    ~     ~    
3651|CD-45 13503                                                           |Star                                  |19 55 09.5708894544 -45 37 28.462821528|353.7249872161831 -29.7858646464160|   7.017 -7.158   |9.92     |~              |    ~     ~    
3652|TYC 7945-1454-1                                                       |Star                                  |19 47 59.2012153776 -44 44 05.778167172|354.4654235654263 -28.3821908750191|  5.630 -23.761   |10.47    |~              |    ~     ~    
3653|TYC 7946-490-1                                                        |Star                                  |19 50 26.0257882392 -44 34 02.315485596|354.7477977951051 -28.7771844775920| 42.279 -25.509   |10.73    |~              |    ~     ~    
3654|TYC 7946-1584-1                                                       |Spectroscopic Binary                  |19 50 23.9937938832 -44 38 56.674325436|354.6548864363883 -28.7867104098879|  3.135 -16.996   |10.872   |~              |    ~     ~    
3655|TYC 8390-167-1                                                        |Star                                  |19 49 50.8639537320 -45 03 42.056495496|354.1715597724839 -28.7679103686506|    1.138 0.513   |10.85    |~              |    ~     ~    
3656|TYC 8390-217-1                                                        |Star                                  |19 50 13.0234405872 -45 52 45.129802224|353.2670100436558 -28.9803155313736| 12.795 -13.577   |10.84    |~              |    ~     ~    
3657|TYC 8390-232-1                                                        |Star                                  |19 49 26.0657869584 -46 01 01.526305044|353.0843096053339 -28.8710001643080|    1.777 1.758   |10.09    |~              |    ~     ~    
3658|TYC 8390-363-1                                                        |Star                                  |19 52 20.9954391960 -46 50 18.111678180|352.2554919017828 -29.5060739712482|   18.050 2.297   |10.70    |~              |    ~     ~    
3659|TYC 8390-375-1                                                        |Star                                  |19 52 19.2245767536 -46 39 20.132493192|352.4616941930132 -29.4712212586641|   0.309 -0.522   |10.49    |~              |    ~     ~    
3660|TYC 8390-376-1                                                        |Star                                  |19 50 12.1436588184 -45 51 59.137028424|353.2808633081899 -28.9755336712485|   3.632 -4.610   |10.69    |~              |    ~     ~    
3661|TYC 8390-675-1                                                        |Star                                  |19 50 43.4184226920 -46 15 05.549863860|352.8652550937579 -29.1320463428370|   0.228 -5.787   |10.73    |~              |    ~     ~    
3662|TYC 8390-709-1                                                        |High Proper Motion Star               |19 49 18.4758907608 -46 32 14.291385360|352.4949639013450 -28.9411783211108| 25.309 -52.338   |10.738   |~              |    ~     ~    
3663|TYC 8390-973-1                                                        |Star                                  |19 45 11.9389943016 -46 09 45.360671508|352.7679393594729 -28.1758951100468| 14.065 -44.241   |10.97    |~              |    ~     ~    
3664|TYC 8390-1031-1                                                       |Star                                  |19 45 03.3826939512 -46 10 15.542304096|352.7533032759969 -28.1532361734414|    0.214 2.536   |10.57    |~              |    ~     ~    
3665|TYC 8390-1099-1                                                       |Star                                  |19 45 29.1284891856 -45 44 35.903400612|353.2455793075957 -28.1449045613313|   7.615 -8.490   |10.57    |~              |    ~     ~    
3666|TYC 8390-1147-1                                                       |Star                                  |19 46 34.1319623904 -45 30 11.217128472|353.5542908954442 -28.2848047620242|  2.436 -22.660   |10.87    |~              |    ~     ~    
3667|TYC 8390-1232-1                                                       |Star                                  |19 48 32.3396125680 -45 53 38.289538536|353.1904626991884 -28.6957184073521|  11.992 -6.030   |10.5     |~              |    ~     ~    
3668|TYC 8390-1722-1                                                       |Star                                  |19 45 04.2126066240 -46 28 18.482022480|352.4186184964869 -28.2121213887897|   6.996 -1.951   |10.80    |~              |    ~     ~    
3669|TYC 8390-2029-1                                                       |Star                                  |19 46 49.3067866704 -46 10 50.890450512|352.8071943874417 -28.4553013179389|  23.506 -0.902   |10.70    |~              |    ~     ~    
3670|TYC 8390-2121-1                                                       |Star                                  |19 47 15.4680886704 -46 25 14.018840364|352.5545757028592 -28.5731235758885|   3.894 -8.418   |10.623   |~              |    ~     ~    
3671|TYC 8391-762-1                                                        |Star                                  |19 55 35.3025033624 -46 37 05.680859484|352.6074167719547 -30.0190009932861| 25.786 -20.657   |10.486   |~              |    ~     ~    
3672|TYC 8391-918-1                                                        |Star                                  |19 56 59.0499731808 -46 45 01.492916292|352.4986285197093 -30.2757572902720|  2.906 -14.087   |10.593   |~              |    ~     ~    
3673|TYC 8391-1775-1                                                       |Star                                  |19 53 31.0658608752 -45 55 25.836815496|353.3303472181287 -29.5536245405445|    0.903 1.967   |10.75    |~              |    ~     ~    
3674|TYC 8391-1828-1                                                       |Star                                  |19 54 59.5210726176 -46 03 31.315373532|353.2259506297216 -29.8284531914957| 14.656 -11.065   |10.676   |~              |    ~     ~    
3675|TYC 8391-2303-1                                                       |Star                                  |19 54 11.1318094032 -46 30 24.166463256|352.6905349372459 -29.7632804781581|  -1.649 -2.769   |10.79    |~              |    ~     ~    
3676|TYC 8394-619-1                                                        |Star                                  |19 48 28.1139013852 -47 06 17.752210808|351.8278894290797 -28.8976865179840|  -3.470 -2.350   |10.86    |~              |    ~     ~    
3677|HD 187442                                                             |Star                                  |19 51 51.9810891312 -44 21 57.719436660|355.0285076640794 -28.9903228173016|  4.326 -11.590   |9.78     |A1IV/V         |    ~     ~    
3678|HD 187785                                                             |Star                                  |19 53 38.5324680744 -44 27 19.518532200|354.9948890401911 -29.3185104203975|   2.517 -9.634   |9.16     |K4III          |    ~     ~    
3679|HD 187832                                                             |Star                                  |19 53 51.8726492856 -44 33 12.101150736|354.8926094035035 -29.3752136760244|  6.795 -37.458   |9.65     |F3/5V          |    ~     ~    
3680|HD 187833                                                             |Star                                  |19 53 53.4944923320 -44 45 09.411933996|354.6685995074487 -29.4156342882433|  4.371 -14.563   |10.23    |F0IV           |    ~     ~    
3681|HD 187873                                                             |Star                                  |19 54 15.8522298000 -45 11 14.061779124|354.1903482723927 -29.5568177921986| 13.527 -17.430   |10.206   |G5(V)          |    ~     ~    
3682|HD 187889                                                             |Star                                  |19 54 17.5188466416 -45 01 17.179014612|354.3790113521079 -29.5328415852845|-34.222 -20.750   |10.12    |K0/1(III)      |    ~     ~    
3683|HD 187966                                                             |High Proper Motion Star               |19 54 42.7829038872 -45 15 45.856793088|354.1204424584205 -29.6476576848677|29.987 -156.971   |9.97     |G6/8V          |    ~     ~    
