C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
97  |CD-38 13788                                                           |Star                                  |19 59 04.9628583456 -38 14 21.314585256|002.2045684674498 -29.0497453112561|   4.646 -5.161   |10.438   |~              |    ~     ~    
98  |HD 188477                                                             |Star                                  |19 56 55.5206086632 -39 35 11.857231212|000.5959567889508 -28.9405700776235|   2.491 -1.588   |9.35     |A3/5III(m)     |    ~     ~    
99  |HD 188551                                                             |High Proper Motion Star               |19 57 20.7908961072 -39 23 04.511077368|000.8416147088873 -28.9755422026412| 43.276 -55.317   |7.72     |K1III          |    ~     ~    
100 |HD 188702                                                             |Star                                  |19 58 02.4932731392 -39 13 13.675222272|001.0585049021191 -29.0706520819770|  -5.719 16.126   |8.93     |F3V            |    ~     ~    
101 |HD 188788                                                             |Star                                  |19 58 23.9311402800 -38 54 00.527186628|001.4334648320506 -29.0675870106971|   2.570 -3.041   |9.10     |M0/1III        |    ~     ~    
102 |HD 188865                                                             |Star                                  |19 58 51.4841277120 -39 51 09.681216912|000.3901258805035 -29.3608090252962| -5.832 -15.673   |9.942    |F3V            |    ~     ~    
103 |HD 188943                                                             |Star                                  |19 59 17.0001531552 -39 41 39.491336436|000.5876541146692 -29.4070588983995|  16.868 -9.703   |9.600    |G8III/IV       |    ~     ~    
104 |HD 188277                                                             |Star                                  |19 55 58.0285732704 -40 23 34.896261120|359.6509570414964 -28.9358037434130|    8.166 1.885   |9.17     |F5V            |    ~     ~    
105 |HD 188678                                                             |Star                                  |19 58 00.3616381632 -40 31 06.382253280|359.6041581244840 -29.3413712451555| 13.324 -16.838   |9.589    |F3V            |    ~     ~    
106 |HD 189029                                                             |Star                                  |19 59 43.9999820328 -40 30 20.729289240|359.6959990495359 -29.6600479800143|  5.525 -19.124   |9.452    |K3             |    ~     ~    
107 |CD-40 13594                                                           |Star                                  |19 59 45.1730760192 -40 29 57.488029584|359.7041438484375 -29.6623718332623|    5.103 2.539   |9.938    |~              |    ~     ~    
108 |HD 188533                                                             |Double or Multiple Star               |19 57 22.2022 -41 00 01.840            |359.0345913 -29.3229216            |       4.1 -1.7   |8.77     |G8/K0III+G     |    ~     ~    
109 |HD 188866                                                             |Star                                  |19 58 53.4269741256 -40 57 49.320624312|359.1428931948597 -29.5964181956160|    2.932 7.685   |9.74     |F0IV/V         |    ~     ~    
110 |HD 189104                                                             |Star                                  |19 59 59.4236913768 -40 48 20.773291608|359.3690155642050 -29.7683772216695|  19.162 -0.274   |8.44     |F0V            |    ~     ~    
111 |CD-39 13520                                                           |Star                                  |19 56 09.2374493136 -39 15 13.194647100|000.9289750721053 -28.7216048251941|   2.025 -3.491   |9.65     |~              |    ~     ~    
112 |CD-38 13760                                                           |Star                                  |19 56 21.5465864877 -38 38 48.704607399|001.6129410176905 -28.6231868116108|  -12.573 1.768   |10.37    |~              |    ~     ~    
113 |CD-39 13528                                                           |Star                                  |19 57 00.7376538192 -39 21 50.146075620|000.8483840791168 -28.9079889165278| -0.579 -26.539   |10.13    |~              |    ~     ~    
114 |CD-39 13539                                                           |Star                                  |19 58 11.7470906304 -39 17 43.331927712|000.9823567606493 -29.1161979253970|   4.130 -5.069   |10.27    |~              |    ~     ~    
115 |CD-40 13579                                                           |Star                                  |19 58 21.4415946936 -39 42 41.186443248|000.5248581175478 -29.2367149467945|  0.402 -47.106   |10.26    |~              |    ~     ~    
116 |CD-40 13580                                                           |High Proper Motion Star               |19 58 34.1852705232 -39 48 19.735787520|000.4295469957248 -29.2966894293870| 20.938 -79.214   |10.58    |~              |    ~     ~    
117 |CD-38 13791                                                           |Star                                  |19 59 15.8978627184 -38 38 24.387654516|001.7666100016277 -29.1744491113426|-24.266 -12.862   |10.19    |~              |    ~     ~    
118 |CD-39 13519                                                           |Star                                  |19 55 54.7109295024 -39 16 41.983762440|000.8896101548374 -28.6814544142945|  -5.185 -7.712   |10.95    |~              |    ~     ~    
119 |CD-39 13531                                                           |Star                                  |19 57 25.9723893072 -38 52 17.826885156|001.4173248140649 -28.8779806939978|  -2.241 -6.638   |10.87    |~              |    ~     ~    
120 |CD-38 13785                                                           |Star                                  |19 58 40.7348472432 -38 22 54.777606240|002.0251877261252 -29.0048458532822| 10.707 -10.472   |9.65     |~              |    ~     ~    
121 |CD-40 13583                                                           |Star                                  |19 58 45.2864309424 -39 43 20.370736560|000.5314082047780 -29.3136982482468| -6.934 -16.622   |10.429   |~              |    ~     ~    
122 |CD-39 13544                                                           |Star                                  |19 58 59.2430954208 -39 23 41.592731568|000.9091669110364 -29.2872080118010| 12.780 -20.030   |10.61    |~              |    ~     ~    
123 |CD-39 13549                                                           |Star                                  |19 59 29.2454740176 -39 20 51.654916248|000.9859315719757 -29.3714011473836| -5.874 -10.489   |10.57    |~              |    ~     ~    
124 |CD-40 13591                                                           |Star                                  |19 59 34.4848842624 -39 39 42.691856328|000.6377197268127 -29.4549673744943|   8.161 -2.437   |10.995   |~              |    ~     ~    
125 |CD-40 13562                                                           |Star                                  |19 56 42.0804044160 -40 25 36.650858448|359.6471582327536 -29.0795584827779|   0.057 -2.206   |10.62    |~              |    ~     ~    
126 |CD-40 13567                                                           |Star                                  |19 57 02.1340282296 -40 37 15.734394336|359.4451172368929 -29.1825001668953|   8.910 -7.007   |10.668   |~              |    ~     ~    
127 |CD-41 13774                                                           |Star                                  |19 57 38.5772535672 -40 46 08.718309768|359.3065196896505 -29.3258594885133|   8.607 19.861   |10.06    |~              |    ~     ~    
128 |CD-39 13518                                                           |Star                                  |19 55 50.6772028728 -38 52 05.060115120|001.3415620736974 -28.5760405869174|   -1.997 3.760   |9.77     |~              |    ~     ~    
129 |CD-41 13750                                                           |Star                                  |19 54 23.4099931872 -40 49 48.403183368|359.0905431054333 -28.7367823989112|  8.645 -13.725   |10.159   |~              |    ~     ~    
130 |CD-40 13563                                                           |Long-Period Variable                  |19 56 48.7188804360 -40 33 02.069359884|359.5138182132387 -29.1262217636218|   9.557 -5.922   |10.835   |MV             |    ~     ~    
131 |TYC 7934-154-1                                                        |Star                                  |19 52 51.0164721720 -39 15 24.984421668|000.7599616099295 -28.0995768393642|  -7.351 -6.360   |10.78    |~              |    ~     ~    
132 |TYC 7934-226-1                                                        |Star                                  |19 59 15.2864560512 -39 21 12.052650636|000.9684680094639 -29.3287017316057|  -2.572 -5.504   |10.92    |~              |    ~     ~    
