C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:17:40

Vmag< 11&dec >=0&rah >=17.5&rah< 17.75
--------------------------------------

Number of objects : 4781

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
567 |BD+49 2662                                                            |Double or Multiple Star        |17 34 22.9645 +49 12 51.413            |075.9591952 +32.4834285            |    -1.80 42.90   |9.05     |G0             |    ~     ~    
568 |HD 159947                                                             |Double or Multiple Star        |17 34 56.7831271504 +48 02 42.332361557|074.5919156621748 +32.2775018766591|  8.507 -13.402   |8.78     |A2             |0.0033  0.0    
569 |HD 160156                                                             |Star                           |17 35 53.4518179608 +48 12 11.796745608|074.7973410225893 +32.1373136999627| -32.626 11.533   |9.16     |A3             |    ~     ~    
570 |TYC 3513-45-1                                                         |Star                           |17 36 07.1696640144 +48 40 05.989517112|075.3482681872465 +32.1475368197661|   9.763 20.038   |10.62    |~              |    ~     ~    
571 |TYC 3513-165-1                                                        |Spectroscopic Binary           |17 34 57.9721167432 +48 23 13.641588672|074.9948080723042 +32.3091998849260|  -0.675 -5.616   |10.71    |~              |    ~     ~    
572 |TYC 3513-277-1                                                        |Star                           |17 34 34.8975414144 +48 40 26.352990192|075.3253422579759 +32.4007530504597|   6.127 15.463   |10.35    |~              |    ~     ~    
573 |TYC 3513-473-1                                                        |High Proper Motion Star        |17 36 05.5579806192 +48 19 51.260301552|074.9513749302824 +32.1173071100730|-59.226 120.940   |10.50    |~              |    ~     ~    
574 |TYC 3513-647-1                                                        |Star                           |17 37 05.6474561712 +48 12 36.935519508|074.8308494522715 +31.9387369419060|-15.141 -18.084   |9.58     |~              |    ~     ~    
575 |TYC 3513-815-1                                                        |Star                           |17 35 31.7464095192 +47 44 55.150537200|074.2558476056265 +32.1487821111469|   2.572 -2.512   |9.70     |~              |    ~     ~    
576 |TYC 3514-12-1                                                         |Star                           |17 43 01.3986983280 +47 46 53.782827492|074.4717160001805 +30.9025445022773|  -24.600 8.949   |10.41    |~              |    ~     ~    
577 |TYC 3514-84-1                                                         |Star                           |17 42 31.0527528504 +47 53 53.775477168|074.5937540193823 +31.0018400950100|   -3.340 3.436   |10.83    |~              |    ~     ~    
578 |TYC 3514-175-1                                                        |Spectroscopic Binary           |17 42 28.9971623472 +48 35 10.262711328|075.3895843735780 +31.0933945131270|   4.019 -2.951   |9.87     |~              |    ~     ~    
579 |TYC 3514-409-1                                                        |Star                           |17 40 45.7106775648 +48 21 38.274900840|075.0877603069919 +31.3496303001817|    0.852 1.727   |10.21    |~              |    ~     ~    
580 |TYC 3514-539-1                                                        |Star                           |17 39 38.5902441024 +48 17 54.064852404|074.9897657122670 +31.5270019227574| -4.223 -10.083   |10.04    |~              |    ~     ~    
581 |TYC 3514-592-1                                                        |Star                           |17 42 11.2550889096 +47 52 30.465706692|074.5587017093045 +31.0537379124042|   3.799 13.104   |9.66     |~              |    ~     ~    
582 |TYC 3514-599-1                                                        |Star                           |17 41 42.0971399064 +48 31 41.465103672|075.3041117692066 +31.2148140307808| -19.065 30.222   |10.90    |~              |    ~     ~    
583 |TYC 3514-604-1                                                        |Star                           |17 37 45.8078795952 +48 03 46.240546032|074.6728738007673 +31.8114385072771|   1.809 -4.023   |10.24    |~              |    ~     ~    
584 |TYC 3514-855-1                                                        |Spectroscopic Binary           |17 44 50.0412147576 +48 22 19.245636552|075.1991655382560 +30.6799581010260|  -4.040 -5.392   |10.65    |~              |    ~     ~    
585 |TYC 3514-919-1                                                        |Star                           |17 39 15.7160681400 +48 38 51.349252200|075.3886810360114 +31.6293230912764|   12.291 1.481   |10.57    |~              |    ~     ~    
586 |TYC 3514-957-1                                                        |Star                           |17 37 36.9964227192 +48 07 17.886449640|074.7384030339791 +31.8423870132907|  -4.080 -0.142   |10.43    |~              |    ~     ~    
587 |TYC 3514-992-1                                                        |Star                           |17 37 46.6824532488 +47 56 27.619239948|074.5307551367043 +31.7952323584261|  1.233 -11.319   |9.93     |~              |    ~     ~    
588 |TYC 3514-999-1                                                        |Star                           |17 39 26.0042913576 +48 07 22.184906736|074.7804628756038 +31.5413066408198|    5.350 2.049   |10.88    |~              |    ~     ~    
589 |TYC 3514-1150-1                                                       |Spectroscopic Binary           |17 40 03.0597225072 +48 00 54.993033720|074.6695497670967 +31.4261279390988|   5.181 13.562   |10.70    |~              |    ~     ~    
590 |TYC 3514-1256-1                                                       |Star                           |17 38 21.7610900856 +47 44 25.082288052|074.3097060113113 +31.6745577224108|  -4.434 13.938   |10.90    |~              |    ~     ~    
591 |TYC 3517-339-1                                                        |Star                           |17 37 23.3125548936 +50 01 15.447972072|076.9611849737601 +32.0710337955299|  -27.790 0.312   |10.36    |~              |    ~     ~    
592 |TYC 3517-392-1                                                        |Spectroscopic Binary           |17 36 04.0929016320 +49 37 08.209722360|076.4655420674998 +32.2468276292446|  -1.172 -3.986   |10.84    |~              |    ~     ~    
593 |TYC 3517-535-1                                                        |Spectroscopic Binary           |17 35 15.2742421416 +49 56 03.876843156|076.8238492931623 +32.4052508797690|   -6.777 4.809   |10.35    |~              |    ~     ~    
594 |TYC 3517-594-1                                                        |Star                           |17 34 58.3524721728 +49 30 08.960375520|076.3094885455458 +32.4133904868681| -6.665 -15.316   |10.60    |~              |    ~     ~    
595 |TYC 3517-673-1                                                        |Star                           |17 35 14.5018915224 +49 51 10.715441940|076.7275374936808 +32.4004107909934|  4.855 -10.933   |10.01    |~              |    ~     ~    
596 |TYC 3517-761-1                                                        |Star                           |17 34 35.5046740584 +49 58 06.365614548|076.8535292848568 +32.5143320553738|  -4.225 -7.927   |10.31    |~              |    ~     ~    
597 |TYC 3517-878-1                                                        |Star                           |17 34 54.7317746496 +49 28 05.874502980|076.2681195111664 +32.4201329154448|  -9.388 31.411   |10.15    |~              |    ~     ~    
598 |TYC 3517-959-1                                                        |Spectroscopic Binary           |17 33 22.8972341880 +50 04 36.939156060|076.9636139263724 +32.7167002534272|  -16.498 9.737   |10.68    |~              |    ~     ~    
599 |TYC 3517-979-1                                                        |Star                           |17 33 30.5953661784 +49 45 22.446965484|076.5856689211625 +32.6708352652125|   1.416 10.007   |10.89    |~              |    ~     ~    
600 |TYC 3517-1101-1                                                       |Star                           |17 34 25.4545770336 +49 49 23.507165424|076.6792290055755 +32.5292438429020|-17.963 -24.983   |10.09    |~              |    ~     ~    
601 |TYC 3517-1161-1                                                       |Star                           |17 33 29.9441846088 +49 38 24.685932300|076.4481074677058 +32.6631345831813|   8.604 -2.749   |10.87    |~              |    ~     ~    
602 |TYC 3518-119-1                                                        |Spectroscopic Binary           |17 43 44.8953498264 +49 04 57.869144220|075.9940723523000 +30.9466415234579| 11.768 -13.678   |10.96    |~              |    ~     ~    
603 |TYC 3518-133-1                                                        |High Proper Motion Star        |17 38 08.9256662712 +49 12 21.162776652|076.0186921789005 +31.8703665678106|-13.354 -48.443   |10.41    |~              |    ~     ~    
604 |TYC 3518-309-1                                                        |High Proper Motion Star        |17 37 56.6816035392 +48 48 56.532286872|075.5576580188593 +31.8633973342085| -32.417 45.400   |10.94    |~              |    ~     ~    
605 |TYC 3518-376-1                                                        |Star                           |17 43 48.7970712120 +49 49 47.696931336|076.8611411541051 +31.0229814598409|    3.261 9.484   |10.41    |~              |    ~     ~    
606 |TYC 3518-416-1                                                        |Star                           |17 39 14.0493493704 +50 07 01.358079348|077.1062285005977 +31.7850471364516|-19.129 -28.999   |10.61    |~              |    ~     ~    
607 |TYC 3518-451-1                                                        |Star                           |17 43 25.0266132744 +48 52 15.981068424|075.7414330676915 +30.9750677603302|    5.821 9.087   |10.59    |~              |    ~     ~    
608 |Wolf 1383                                                             |High Proper Motion Star        |17 43 43.3685476992 +49 11 39.954780816|076.1228028311658 +30.9641054641421|  19.585 75.417   |10.36    |~              |    ~     ~    
609 |TYC 3518-603-1                                                        |Red Giant Branch star          |17 43 49.6291068648 +49 05 43.402926948|076.0105202240707 +30.9353361934725|-35.076 -32.133   |10.52    |~              |    ~     ~    
610 |TYC 3518-641-1                                                        |High Proper Motion Star        |17 37 38.8627432056 +48 47 53.167874244|075.5310194846016 +31.9101862192822| -14.232 50.079   |10.51    |~              |    ~     ~    
611 |TYC 3518-645-1                                                        |Star                           |17 44 43.1706401664 +49 06 13.909202136|076.0409794718247 +30.7913786962591|  -5.816 -8.516   |10.33    |~              |    ~     ~    
612 |TYC 3518-800-1                                                        |Spectroscopic Binary           |17 43 03.4520740992 +50 21 44.598683340|077.4640431244997 +31.2012425147602| -4.228 -13.251   |10.96    |~              |    ~     ~    
613 |TYC 3518-839-1                                                        |Star                           |17 42 48.7111057536 +50 07 29.380414296|077.1829951805506 +31.2152677612375|   0.117 -2.046   |10.52    |~              |    ~     ~    
614 |TYC 3518-847-1                                                        |Star                           |17 38 16.0851124920 +49 38 38.362790904|076.5343647176526 +31.8945289336984| -8.861 -30.114   |10.96    |~              |    ~     ~    
615 |TYC 3518-926-1                                                        |Star                           |17 44 58.4832776016 +50 05 20.769247284|077.1860047397108 +30.8666502542080| -3.167 -15.884   |10.47    |~              |    ~     ~    
616 |TYC 3518-945-1                                                        |Spectroscopic Binary           |17 43 48.2492387088 +49 35 14.477929080|076.5797713815235 +30.9968697532161|   5.966 -6.711   |10.37    |~              |    ~     ~    
617 |BD+50 2445                                                            |High Proper Motion Star        |17 40 50.8336992672 +50 07 21.432016380|077.1423783830320 +31.5282552982880| 43.312 -28.684   |10.61    |~              |    ~     ~    
618 |TYC 3518-1122-1                                                       |Star                           |17 39 53.8678423032 +50 15 15.561958140|077.2788200238372 +31.6923861877654|   3.554 -1.386   |10.82    |~              |    ~     ~    
619 |TYC 3518-1142-1                                                       |Star                           |17 37 57.8024787744 +49 20 22.986103812|076.1719566655063 +31.9138881145885|    3.372 4.653   |10.49    |~              |    ~     ~    
620 |TYC 3518-1168-1                                                       |Spectroscopic Binary           |17 44 01.6841665704 +49 18 56.674017000|076.2701383459097 +30.9290331387828|-16.590 -54.619   |10.62    |~              |    ~     ~    
621 |TYC 3518-1184-1                                                       |Star                           |17 37 43.8188657616 +49 19 58.574698428|076.1595749161207 +31.9509963316638|   -0.314 4.242   |10.64    |~              |    ~     ~    
622 |TYC 3518-1280-1                                                       |Star                           |17 41 21.7922857368 +49 38 50.000805168|076.5981040197760 +31.3964346363572|  -4.983 -9.895   |10.77    |~              |    ~     ~    
623 |TYC 3514-238-1                                                        |Star                           |17 38 52.3682460288 +47 44 20.726765700|074.3202279184317 +31.5892545490073| 15.008 -20.900   |10.07    |~              |    ~     ~    
624 |HD 161054                                                             |Star                           |17 40 23.2101142752 +53 20 06.732799908|080.8986557477178 +31.8632830803810| -36.923 -2.161   |8.28     |F5             |    ~     ~    
625 |HD 234465                                                             |Spectroscopic Binary           |17 37 35.6990551680 +53 10 20.902796904|080.6772629853394 +32.2702787735558|    2.827 3.698   |9.25     |G5             |    ~     ~    
626 |HD 234470                                                             |Star                           |17 39 18.6631716528 +53 16 55.457490288|080.8243077693125 +32.0203365630146| 12.220 -23.851   |9.56     |K0             |    ~     ~    
627 |HD 234486                                                             |Star                           |17 44 53.3646122376 +53 17 08.043284400|080.8974035965283 +31.1889124441018|  14.328 -8.733   |9.91     |F5             |    ~     ~    
628 |HD 159497                                                             |Star                           |17 32 14.6101990296 +52 35 32.630234028|079.9406335237705 +33.0472216891914| 33.072 -24.548   |8.10     |F2             |    ~     ~    
629 |HD 159542                                                             |Star                           |17 32 32.6885655480 +52 05 40.218634536|079.3502105953617 +32.9772972794509|    7.350 5.378   |7.95     |K0             |    ~     ~    
630 |HD 234456                                                             |Star                           |17 33 11.0869613688 +52 24 43.374497184|079.7339977437862 +32.8955871698379|   6.891 47.639   |10.21    |G0             |    ~     ~    
631 |HD 234458                                                             |Star                           |17 34 39.3537237528 +52 42 19.174930560|080.0959399483273 +32.6871975041457|   7.617 -4.327   |9.63     |K5             |    ~     ~    
632 |HD 234459                                                             |Star                           |17 35 02.8993098552 +51 59 42.196055496|079.2578307689758 +32.5873758901693|   8.841 -6.617   |9.62     |F8             |    ~     ~    
633 |HD 234460                                                             |Star                           |17 35 15.8057409120 +51 59 42.916626996|079.2604752170446 +32.5543384789274|    7.555 8.517   |10.95    |F5             |    ~     ~    
634 |HD 234461                                                             |Star                           |17 35 16.9601534112 +52 09 42.366388284|079.4578845052217 +32.5615008815210|   -2.696 3.677   |9.45     |F5             |    ~     ~    
635 |HD 160270                                                             |Star                           |17 36 09.2151337200 +52 28 59.561591556|079.8477515434041 +32.4477882459316|  2.451 -17.043   |8.37     |K2             |    ~     ~    
636 |HD 234462                                                             |Star                           |17 36 39.0623629440 +52 34 30.364829292|079.9617400698059 +32.3777343502317|  -3.412 11.256   |9.380    |F0             |    ~     ~    
637 |HD 234468                                                             |Double or Multiple Star        |17 38 11.5793 +52 36 22.880            |080.0158720 +32.1459498            |  -14.963 4.159   |9.69     |K0             |    ~     ~    
638 |BD+52 2085                                                            |Star                           |17 39 25.8707322936 +52 55 06.297810564|080.3976977336148 +31.9793347274966|  -10.839 2.362   |10.74    |K0             |    ~     ~    
639 |HD 161353                                                             |High Proper Motion Star        |17 42 13.4569348728 +52 03 23.432324220|079.4244781209512 +31.4909023659428| -19.444 78.637   |8.05     |K0             |    ~     ~    
640 |HD 234481                                                             |Star                           |17 44 11.0066013288 +52 44 20.663355984|080.2503698657731 +31.2501658436132|  11.163 10.745   |9.62     |F8             |    ~     ~    
641 |AG+52 1153                                                            |Long-Period Variable Candidate |17 44 27.7084127904 +52 14 54.231601884|079.6830919522141 +31.1656079067749|  -0.348 13.297   |9.61     |M3             |    ~     ~    
642 |BD+52 2092                                                            |Star                           |17 43 33.0446035344 +52 05 24.173846916|079.4841562531522 +31.2907134571951|   5.709 -1.923   |9.83     |K5             |    ~     ~    
643 |HD 160343                                                             |Star                           |17 36 40.3574891064 +51 05 12.130695924|078.2047080116048 +32.2730840051856|    7.029 0.795   |8.42     |K0             |    ~     ~    
644 |HD 160362                                                             |Star                           |17 36 46.2597699288 +50 59 04.253831880|078.0856313478110 +32.2497961995846|  10.116 -2.200   |8.06     |A3             |    ~     ~    
645 |HD 234463                                                             |Star                           |17 37 01.4306678256 +51 10 12.968414904|078.3082052527405 +32.2245250711922|  11.936 14.008   |10.50    |F8             |    ~     ~    
646 |HD 234464                                                             |Spectroscopic Binary           |17 37 01.7374211184 +51 41 00.122469144|078.9132730667235 +32.2615522429175| -26.910 57.099   |9.52     |G0             |    ~     ~    
647 |HD 234466                                                             |Star                           |17 37 54.1046845584 +51 22 16.141611972|078.5572684070309 +32.1030556131816|   4.778 -8.059   |9.43     |K5             |    ~     ~    
648 |HD 234457                                                             |Star                           |17 33 37.3819753584 +50 49 30.929773476|077.8540954062366 +32.7330332064566| -20.179 10.981   |10.08    |G0             |    ~     ~    
649 |HD 160469                                                             |Star                           |17 37 25.0807448928 +50 40 06.620810016|077.7231697876784 +32.1225152802470|  4.090 -31.962   |8.28     |K5             |    ~     ~    
650 |BD+50 2438B                                                           |Star                           |17 37 31.0735762344 +50 39 54.293165244|077.7207001211064 +32.1064579397092| 10.181 -22.263   |9.78     |~              |    ~     ~    
651 |HD 160760                                                             |Star                           |17 38 56.5540447344 +51 42 49.747337820|078.9749956548206 +31.9681003653951|   1.151 20.638   |8.66     |K2             |    ~     ~    
652 |HD 234472                                                             |Star                           |17 40 42.1342970496 +51 37 01.743193344|078.8873691594154 +31.6883613374688| -9.629 -35.601   |9.39     |M0             |    ~     ~    
653 |HD 161179                                                             |Star                           |17 41 22.5071101872 +51 28 16.837791852|078.7272645424000 +31.5716522621899|  -8.097 -0.602   |8.16     |K2             |    ~     ~    
654 |HD 161193                                                             |Star                           |17 41 21.7973360928 +51 49 05.332414260|079.1327097776815 +31.6031554920907| -36.808 -5.101   |5.994    |K0III:         |    ~     ~    
655 |HD 234476                                                             |Star                           |17 42 35.5282444104 +51 36 26.177073336|078.9057088344826 +31.3952142133784|   0.842 39.822   |9.69     |G0             |    ~     ~    
656 |HD 234477                                                             |Star                           |17 42 38.6770926960 +51 16 00.918686100|078.5096313960537 +31.3558136547557|   4.650 19.986   |9.05     |K0             |    ~     ~    
657 |HD 161401                                                             |Star                           |17 42 42.2558745120 +51 37 52.376319552|078.9354789164328 +31.3800355840334|   0.848 39.587   |8.92     |F5             |    ~     ~    
658 |HD 161694                                                             |Star                           |17 44 16.3901049120 +51 47 12.753673872|079.1429219638962 +31.1523076246367|  4.583 -31.196   |8.38     |A5             |    ~     ~    
659 |HD 234484                                                             |Star                           |17 44 47.5731206952 +51 55 17.252154192|079.3082181122685 +31.0850170441721|   5.910 11.819   |10.11    |G0             |    ~     ~    
660 |BD+52 2097D                                                           |Star                           |17 44 46.7428765296 +51 55 21.378082728|079.3093167887075 +31.0872486453730|  -2.112 -4.056   |10.51    |F0             |    ~     ~    
661 |HD 234475                                                             |High Proper Motion Star        |17 42 19.3428246720 +50 55 42.963791628|078.1095743126242 +31.3740419553858| -73.321 93.052   |9.330    |G0             |    ~     ~    
662 |HD 234449                                                             |Star                           |17 30 01.8391074360 +53 05 15.605626956|080.5169851438866 +33.4000632075277| -12.729 20.738   |9.88     |G5             |    ~     ~    
663 |HD 234450                                                             |Spectroscopic Binary           |17 30 13.0722776568 +53 04 42.343084920|080.5070016935631 +33.3716685047264|   6.076 -8.163   |9.57     |K0             |    ~     ~    
664 |HD 159203                                                             |Star                           |17 30 25.3981842504 +53 09 16.932216744|080.5994637480544 +33.3433207882490| -20.606 27.481   |8.82     |K0             |    ~     ~    
665 |BD+51 2226                                                            |Star                           |17 32 28.8423345432 +51 39 40.590492732|078.8339276950848 +32.9638769378285| -0.540 -18.647   |9.97     |K2             |    ~     ~    
666 |HD 234452                                                             |Star                           |17 32 37.0084402272 +50 52 13.068371964|077.8948319983561 +32.8945347825791|    7.185 6.577   |9.80     |A7             |    ~     ~    
667 |HD 234453                                                             |Star                           |17 32 41.9636319696 +50 50 35.116087416|077.8635212310917 +32.8797402316675| -12.661 -8.186   |9.49     |K5             |    ~     ~    
668 |HD 234454                                                             |Star                           |17 33 12.3622703832 +50 31 37.557721200|077.4949185780002 +32.7779885162656|  -7.228 -1.513   |10.34    |K7             |    ~     ~    
669 |TYC 3517-213-1                                                        |Star                           |17 34 41.5968110952 +50 33 27.680585724|077.5517752620676 +32.5445863310690|  1.795 -17.507   |9.73     |~              |    ~     ~    
670 |TYC 3518-142-1                                                        |Star                           |17 38 09.4269597600 +50 31 05.371860576|077.5582196782146 +31.9928233942767|   -3.628 6.992   |10.58    |~              |    ~     ~    
671 |TYC 3518-1106-1                                                       |Star                           |17 40 17.5544834832 +50 35 20.879211552|077.6774630986345 +31.6614252957197|   10.986 4.009   |10.98    |~              |    ~     ~    
672 |TYC 3521-600-1                                                        |Star                           |17 34 41.3999968632 +52 27 32.837025060|079.8041765667163 +32.6689469450262|  14.636 -6.596   |10.07    |~              |    ~     ~    
673 |TYC 3521-780-1                                                        |Star                           |17 33 29.4466446528 +52 17 01.752996336|079.5843812570017 +32.8423470504915|   0.432 22.382   |10.70    |~              |    ~     ~    
674 |TYC 3521-866-1                                                        |High Proper Motion Star        |17 36 07.3545113808 +52 07 21.343541916|079.4209174673445 +32.4304735550885| -1.110 -70.108   |10.29    |~              |    ~     ~    
675 |TYC 3521-1116-1                                                       |Star                           |17 36 46.0651155264 +50 51 50.339721636|077.9435113787526 +32.2408589638989|  1.739 -15.785   |10.00    |~              |    ~     ~    
676 |TYC 3521-1207-1                                                       |Star                           |17 32 26.8025707800 +51 46 16.888962360|078.9645914824573 +32.9752376000687|  -3.646 22.290   |10.20    |~              |    ~     ~    
677 |TYC 3521-1239-1                                                       |Star                           |17 34 49.1064570672 +51 20 55.802592492|078.4897578365549 +32.5815057978136|   -2.916 6.570   |10.11    |~              |    ~     ~    
678 |TYC 3521-1261-1                                                       |Star                           |17 35 29.3554506984 +51 39 50.980113360|078.8712285703616 +32.4983831042958|   1.130 10.376   |10.42    |~              |    ~     ~    
679 |TYC 3521-1303-1                                                       |Star                           |17 35 42.4790097936 +51 31 52.400039484|078.7167036397034 +32.4555670823638|   6.768 29.186   |9.95     |~              |    ~     ~    
680 |TYC 3521-1424-1                                                       |Spectroscopic Binary           |17 33 37.2919033152 +51 22 10.944634944|078.5000181727496 +32.7693174282481| -4.316 -15.838   |10.87    |~              |    ~     ~    
681 |TYC 3521-1547-1                                                       |Star                           |17 33 34.5087041544 +50 40 53.790725208|077.6831185343341 +32.7305361527560| -3.446 -10.953   |10.74    |~              |    ~     ~    
682 |TYC 3522-106-1                                                        |Star                           |17 41 22.0613725368 +52 00 46.759084920|079.3607789459538 +31.6185861675809|   0.687 -0.223   |10.13    |~              |    ~     ~    
683 |TYC 3522-135-1                                                        |Star                           |17 42 17.5530954360 +52 26 32.669233188|079.8765583753107 +31.5121535324455|    9.839 8.847   |10.15    |~              |    ~     ~    
684 |TYC 3522-229-1                                                        |Star                           |17 44 20.3511539184 +52 29 12.541192116|079.9587821821287 +31.2052062752964|   7.795 -0.594   |10.78    |~              |    ~     ~    
685 |TYC 3522-317-1                                                        |Star                           |17 42 30.1492245432 +52 09 03.256833348|079.5389710466118 +31.4562568669121|    4.653 1.852   |9.99     |~              |    ~     ~    
686 |TYC 3522-325-1                                                        |Star                           |17 42 33.8632715856 +52 22 10.438137696|079.7953540561484 +31.4649334219485|  -17.525 4.521   |10.38    |~              |    ~     ~    
687 |TYC 3522-370-1                                                        |Star                           |17 40 41.4970867008 +51 59 15.111369924|079.3211031402772 +31.7202509381550|    2.192 9.016   |9.66     |~              |    ~     ~    
688 |TYC 3522-420-1                                                        |Star                           |17 38 35.5585679856 +51 59 25.301348052|079.2954282273320 +32.0426707049683|  15.557 -0.144   |10.20    |~              |    ~     ~    
689 |TYC 3522-422-1                                                        |Star                           |17 41 46.6104312624 +51 24 57.587211288|078.6690703716587 +31.5044089160365| -6.729 -14.692   |10.75    |~              |    ~     ~    
690 |TYC 3522-463-1                                                        |Star                           |17 39 09.9852929832 +52 16 28.087942224|079.6370915957891 +31.9753407408233|  -0.020 -7.692   |10.91    |~              |    ~     ~    
691 |TYC 3522-823-1                                                        |Star                           |17 37 55.6138434816 +51 08 53.198150856|078.2951745691471 +32.0816376189769|   -6.867 8.877   |10.95    |~              |    ~     ~    
692 |TYC 3522-959-1                                                        |Star                           |17 43 24.4876810896 +51 22 25.929601464|078.6474163097286 +31.2471491701371|    0.812 6.775   |10.40    |~              |    ~     ~    
693 |TYC 3522-972-1                                                        |Star                           |17 41 10.3948702032 +50 51 32.233149324|078.0081596148575 +31.5478327589298|  6.771 -11.130   |10.91    |~              |    ~     ~    
694 |TYC 3522-1030-1                                                       |High Proper Motion Star        |17 38 40.0248506952 +51 14 17.219068296|078.4119942553453 +31.9732825282865|-34.211 -62.602   |10.95    |~              |    ~     ~    
695 |TYC 3522-1041-1                                                       |High Proper Motion Star        |17 39 35.0710700808 +51 44 44.719566612|079.0216139423806 +31.8714832468008|  46.926 30.777   |10.83    |~              |    ~     ~    
696 |TYC 3522-1317-1                                                       |Star                           |17 43 46.3277850936 +51 57 24.882210468|079.3325631521269 +31.2449343525747|    2.267 0.151   |10.06    |~              |    ~     ~    
697 |TYC 3522-1361-1                                                       |Star                           |17 37 55.5163618080 +51 05 43.482449256|078.2331543468346 +32.0776770699666|  -0.024 13.946   |10.58    |~              |    ~     ~    
698 |BD+50 2444                                                            |Double or Multiple Star        |17 40 17.313264 +50 47 12.48432        |077.908659165 +31.680300114        |      1.9 -41.2   |10.239   |~              |    ~     ~    
699 |TYC 3522-1443-1                                                       |Star                           |17 41 51.1491308616 +51 03 31.865501772|078.2532993013664 +31.4599955049157|  -14.324 8.676   |10.14    |~              |    ~     ~    
700 |TYC 3522-1539-1                                                       |Star                           |17 42 07.6926913392 +50 42 11.022586740|077.8431586439322 +31.3826616692781|    3.074 1.091   |10.46    |~              |    ~     ~    
701 |TYC 3888-1465-1                                                       |Star                           |17 30 54.2035673232 +52 54 37.909843596|080.3104567635714 +33.2627878416202| -12.876 -1.496   |10.48    |~              |    ~     ~    
702 |TYC 3888-1609-1                                                       |Double or Multiple Star        |17 31 44.708976 +53 03 09.02304        |080.485655074 +33.141463916        |    -16.5 -47.2   |10.94    |~              |    ~     ~    
703 |TYC 3888-1708-1                                                       |Star                           |17 31 25.4160039504 +52 56 21.086629116|080.3481933189593 +33.1855094565359|  1.091 -11.649   |10.16    |~              |    ~     ~    
704 |TYC 3889-106-1                                                        |High Proper Motion Star        |17 40 16.7679139488 +53 16 45.553084212|080.8317750430566 +31.8756969180153| -41.510 33.916   |10.88    |~              |    ~     ~    
705 |TYC 3889-108-1                                                        |Star                           |17 44 29.7300111120 +53 00 40.818835404|080.5722545609138 +31.2256616659451|   7.032 -1.697   |9.98     |~              |    ~     ~    
706 |TYC 3889-146-1                                                        |Spectroscopic Binary           |17 41 56.4024833088 +53 06 21.448289448|080.6483155192320 +31.6157396140928|   0.988 -7.412   |10.96    |~              |    ~     ~    
707 |TYC 3889-312-1                                                        |Spectroscopic Binary           |17 44 31.3308451632 +52 54 59.263983648|080.4620707630509 +31.2138792361238|  -3.757 -1.705   |10.65    |~              |    ~     ~    
708 |TYC 3889-670-1                                                        |Star                           |17 35 39.8865042024 +53 08 43.040119128|080.6268291872532 +32.5577541449146|   7.060 37.470   |10.42    |~              |    ~     ~    
709 |TYC 3889-876-1                                                        |Star                           |17 38 51.9063502800 +52 35 32.490126276|080.0073223708537 +32.0431909562394| -4.284 -18.089   |10.79    |~              |    ~     ~    
710 |TYC 3889-902-1                                                        |Star                           |17 42 13.5954436224 +53 12 14.043766860|080.7666319688133 +31.5799277826453|   -8.446 7.773   |10.58    |~              |    ~     ~    
711 |TYC 3889-938-1                                                        |High Proper Motion Star        |17 38 12.7248270600 +53 05 13.832769048|080.5829509536942 +32.1729243274697|  0.906 -72.395   |9.90     |~              |    ~     ~    
712 |TYC 3889-1314-1                                                       |Star                           |17 38 03.3457874568 +52 35 21.804269388|079.9942856669480 +32.1656492326880|  -2.380 -0.327   |10.23    |~              |    ~     ~    
713 |TYC 3889-1410-1                                                       |Star                           |17 37 36.2253671544 +52 40 50.582619696|080.0968828595201 +32.2398590286431|   0.897 -1.559   |10.13    |~              |    ~     ~    
714 |HD 238732                                                             |Star                           |17 39 16.6331655576 +56 05 32.674077420|084.1377511121915 +32.1536529210674|  -1.447 12.836   |10.06    |A7             |    ~     ~    
715 |HD 238734                                                             |Spectroscopic Binary           |17 39 50.7786039384 +56 04 44.091411204|084.1247652844397 +32.0738873105473|  -5.042 13.815   |9.43     |F8             |    ~     ~    
716 |HD 161368                                                             |Star                           |17 41 55.9024268184 +56 03 57.811551768|084.1220527619054 +31.7826255079088|  -5.309 -9.050   |8.12     |K0             |    ~     ~    
717 |HD 238710                                                             |Star                           |17 30 59.5135778256 +55 56 28.107064932|083.9356310482237 +33.3087732565488|   -2.983 9.884   |9.31     |K2             |    ~     ~    
718 |HD 238725                                                             |Star                           |17 35 28.5407100912 +55 56 54.541493484|083.9520437330094 +32.6811680407434|-18.482 -39.755   |9.96     |K2             |    ~     ~    
719 |HD 238717                                                             |High Proper Motion Star        |17 33 21.0291340992 +55 15 55.152966888|083.1326779486424 +32.9687296903714|-50.468 114.835   |9.29     |F8             |    ~     ~    
720 |V* NP Dra                                                             |Spectroscopic Binary           |17 35 16.2852625152 +55 00 12.219309396|082.8286493013104 +32.6881899900489|    9.404 1.000   |9.005    |A0(N)          |    ~     ~    
