C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
6092|TYC 3204-1155-1                                                                                          |High Proper Motion Star               |22 26 12.4401620376 +40 17 42.695707632|095.1115757650660 -14.6033116804646|-30.016 -46.536   |10.71    |~                  |    ~     ~    |    1|  224.004   pc  |  -0.9433     +0.9433  |paral   |2020yCat.1350....0G
6093|TYC 3204-1182-1                                                                                          |Star                                  |22 27 43.8107561808 +40 24 48.456417996|095.4297972625419 -14.6612349024051| -7.652 -10.630   |10.92    |~                  |    ~     ~    |    1|  984.252   pc  | -12.6907    +12.6907  |paral   |2020yCat.1350....0G
6094|BD+40 4807                                                                                               |Star                                  |22 23 57.2299185000 +40 47 39.307129368|095.0237811090824 -13.9513198269490|   1.565 -5.123   |9.80     |~                  |    ~     ~    |    1|  758.668   pc  | -15.1377    +15.1377  |paral   |2020yCat.1350....0G
6095|BD+40 4801                                                                                               |Star                                  |22 23 34.2705484488 +40 59 06.587620044|095.0698706135855 -13.7521347938377|   4.036 -0.476   |10.43    |~                  |    ~     ~    |    1| 1477.541   pc  | -25.3243    +25.3243  |paral   |2020yCat.1350....0G
6096|TYC 3204-2049-1                                                                                          |Star                                  |22 26 45.0059526480 +40 42 46.641638124|095.4354302476757 -14.3086508620386|  -3.724 -9.198   |10.87    |~                  |    ~     ~    |    1|  159.721   pc  |  -0.4413     +0.4413  |paral   |2020yCat.1350....0G
6097|TYC 3204-2115-1                                                                                          |Star                                  |22 29 25.1798925192 +40 42 26.282042928|095.8726204118031 -14.5856402243193|   6.441 -3.492   |10.85    |~                  |    ~     ~    |    1|  650.153   pc  |  -7.1436     +7.1436  |paral   |2020yCat.1350....0G
6098|TYC 3204-2170-1                                                                                          |Star                                  |22 27 20.3582716128 +40 40 58.523496528|095.5155820416694 -14.3943495278544|  -3.582 -0.746   |10.32    |~                  |    ~     ~    |    1|  652.103   pc  |  -5.7407     +5.7407  |paral   |2020yCat.1350....0G
6099|TYC 3204-2312-1                                                                                          |Star                                  |22 21 17.6915926776 +41 13 36.607460772|094.8404594773786 -13.3133590307232| -6.958 -10.729   |10.59    |~                  |    ~     ~    |    1| 1159.152   pc  | -17.0641    +17.0641  |paral   |2020yCat.1350....0G
6100|TYC 3207-32-1                                                                                            |Star                                  |22 19 56.9036856216 +41 40 08.051103408|094.8792168080842 -12.8057574242271|  -0.572 -1.320   |10.99    |~                  |    ~     ~    |    1| 1617.338   pc  | -37.4057    +37.4057  |paral   |2020yCat.1350....0G
6101|TYC 3207-671-1                                                                                           |Star                                  |22 15 34.8882100176 +42 54 58.401029772|094.9194606881241 -11.3203842032514|  -6.464 -7.556   |10.93    |~                  |    ~     ~    |    1|  863.782   pc  |  -8.9534     +8.9534  |paral   |2020yCat.1350....0G
6102|TYC 3207-922-1                                                                                           |Star                                  |22 19 35.8159210632 +41 19 41.822059980|094.6272249861600 -13.0507695689311|   13.230 7.150   |10.94    |~                  |    ~     ~    |    1|  915.416   pc  |  -9.7206     +9.7206  |paral   |2020yCat.1350....0G
6103|TYC 3207-1232-1                                                                                          |Star                                  |22 19 16.4062068408 +41 55 22.235708640|094.9185130538724 -12.5249709679415|   -0.175 0.065   |10.78    |~                  |    ~     ~    |    1|  944.287   pc  | -39.1447    +39.1447  |paral   |2020yCat.1350....0G
6104|TYC 3208-9-1                                                                                             |Star                                  |22 24 16.2367851192 +43 07 11.078974056|096.3812625014312 -12.0376873774825|   -2.271 0.499   |10.45    |~                  |    ~     ~    |    1|  720.357   pc  |  -5.9675     +5.9675  |paral   |2020yCat.1350....0G
6105|TYC 3208-694-1                                                                                           |Star                                  |22 28 38.7668405496 +42 27 02.016838980|096.7044389099436 -13.0340520238146|  -6.061 -4.102   |10.81    |~                  |    ~     ~    |    1| 1918.281   pc  | -45.2616    +45.2616  |paral   |2020yCat.1350....0G
6106|TYC 3208-1648-1                                                                                          |Star                                  |22 25 21.9519977352 +43 02 15.117406800|096.5072846355645 -12.2153869707470|    0.447 0.462   |10.74    |~                  |    ~     ~    |    1| 2012.882   pc  | -51.8617    +51.8617  |paral   |2020yCat.1350....0G
6107|TYC 3208-1891-1                                                                                          |Star                                  |22 25 55.5773219664 +42 48 39.458607516|096.4700632975249 -12.4614315068487|   0.293 -2.199   |10.79    |~                  |    ~     ~    |    1| 2176.279   pc  | -58.7287    +58.7287  |paral   |2020yCat.1350....0G
6108|TYC 3211-315-1                                                                                           |Star                                  |22 18 32.9432371560 +44 44 43.588171644|096.4208044794477 -10.1135760229975|  -8.438 -7.469   |10.92    |~                  |    ~     ~    |    1|  561.640   pc  |  -3.4698     +3.4698  |paral   |2020yCat.1350....0G
6109|TYC 3212-748-1                                                                                           |Star                                  |22 27 24.9527240520 +44 05 55.198009752|097.4104245095374 -11.5206001592680|  -9.082 -7.655   |10.91    |~                  |    ~     ~    |    1| 1383.509   pc  | -21.6293    +21.6293  |paral   |2020yCat.1350....0G
6110|TYC 3212-838-1                                                                                           |Star                                  |22 27 44.2273565424 +44 27 15.511164120|097.6534749076683 -11.2503841683565|   7.133 -6.544   |10.51    |~                  |    ~     ~    |    1| 1046.025   pc  | -15.6466    +15.6466  |paral   |2020yCat.1350....0G
6111|TYC 3212-914-1                                                                                           |Star                                  |22 22 10.7155808760 +44 11 22.800586452|096.6555433294695 -10.9351169282647|  -4.099 -0.675   |10.98    |~                  |    ~     ~    |    1|  893.017   pc  |  -9.6495     +9.6495  |paral   |2020yCat.1350....0G
6112|TYC 3212-917-1                                                                                           |Star                                  |22 23 06.3606481872 +44 24 57.559006584|096.9231711077033 -10.8367115129294|   3.760 -6.463   |10.96    |~                  |    ~     ~    |    1| 1226.091   pc  | -17.2879    +17.2879  |paral   |2020yCat.1350....0G
6113|TYC 3212-2694-1                                                                                          |Star                                  |22 25 37.6298367360 +43 16 12.447837588|096.6770449034695 -12.0456105831922|  -2.319 -4.765   |10.89    |~                  |    ~     ~    |    1| 1010.611   pc  | -25.7377    +25.7377  |paral   |2020yCat.1350....0G
6114|TYC 3606-526-1                                                                                           |Star                                  |22 15 36.2322952368 +45 46 29.647770780|096.5740742038230 -08.9709835869394|  -4.784 -2.621   |10.97    |~                  |    ~     ~    |    1| 1668.613   pc  | -38.4229    +38.4229  |paral   |2020yCat.1350....0G
6115|TYC 3606-903-1                                                                                           |Star                                  |22 17 44.4778611576 +45 28 31.143218916|096.7157457563325 -09.4290718526357|  -4.938 -5.979   |10.70    |~                  |    ~     ~    |    1| 1872.309   pc  | -56.0886    +56.0886  |paral   |2020yCat.1350....0G
6116|TYC 3606-1714-1                                                                                          |Star                                  |22 16 13.2107246376 +46 48 08.564245128|097.2499921756183 -08.1833618543592|  -1.567 -0.935   |10.43    |~                  |    ~     ~    |    1|  801.603   pc  |  -6.6184     +6.6184  |paral   |2020yCat.1350....0G
6117|TYC 3606-1732-1                                                                                          |Star                                  |22 17 00.6139310520 +46 26 28.101261876|097.1579636521152 -08.5583368719964|   -2.758 1.221   |10.52    |~                  |    ~     ~    |    1| 1276.161   pc  | -17.9145    +17.9145  |paral   |2020yCat.1350....0G
6118|TYC 3606-2369-1                                                                                          |Star                                  |22 16 15.4704656880 +46 32 55.458748464|097.1109353748134 -08.3965294184251|  -2.436 -0.918   |10.87    |~                  |    ~     ~    |    1| 2029.221   pc  | -54.7659    +54.7659  |paral   |2020yCat.1350....0G
6119|TYC 3607-69-1                                                                                            |Star                                  |22 19 36.4505629176 +45 34 45.763181760|097.0496175959790 -09.5250532611117|  -5.818 -3.026   |10.94    |~                  |    ~     ~    |    1| 2338.087   pc  | -55.2132    +55.2132  |paral   |2020yCat.1350....0G
6120|TYC 3607-100-1                                                                                           |Star                                  |22 23 08.6875514184 +45 35 21.747362388|097.5796288910210 -09.8569887020147|  -2.919 -3.631   |10.87    |~                  |    ~     ~    |    1| 2827.255   pc  |-114.3052   +114.3052  |paral   |2020yCat.1350....0G
6121|TYC 3607-1290-1                                                                                          |Star                                  |22 23 09.8714337720 +45 05 57.892810092|097.3114450169872 -10.2697188620406|  -9.865 -7.533   |10.83    |~                  |    ~     ~    |    1| 1229.407   pc  | -19.6488    +19.6488  |paral   |2020yCat.1350....0G
6122|TYC 3607-1780-1                                                                                          |Star                                  |22 28 33.0747840840 +46 31 38.999099820|098.8929888138452 -09.5674266159643|  -4.968 -4.043   |10.72    |~                  |    ~     ~    |    1| 2012.477   pc  | -81.0013    +81.0013  |paral   |2020yCat.1350....0G
6123|TYC 3607-1863-1                                                                                          |Star                                  |22 29 45.2000442552 +45 55 25.924621332|098.7505428737086 -10.1902440104677|  -7.153 -3.020   |10.58    |~                  |    ~     ~    |    1|  868.961   pc  | -11.0999    +11.0999  |paral   |2020yCat.1350....0G
6124|TYC 3607-1959-1                                                                                          |Pulsating Variable                    |22 22 17.7184539072 +46 39 10.370017944|098.0421289401862 -08.8851441331762|  -1.123 -3.529   |10.40    |~                  |    ~     ~    |    1|  669.478   pc  | -10.0845    +10.0845  |paral   |2020yCat.1350....0G
6125|TYC 3607-2073-1                                                                                          |Star                                  |22 23 14.7614886768 +46 31 28.947674028|098.1102119821134 -09.0815772752160|    4.308 4.089   |10.80    |~                  |    ~     ~    |    1| 1109.508   pc  | -15.7569    +15.7569  |paral   |2020yCat.1350....0G
6126|TYC 3607-2077-1                                                                                          |Star                                  |22 24 27.3695903232 +46 42 00.826018632|098.3833639705065 -09.0464164241312|   4.520 -1.579   |10.80    |~                  |    ~     ~    |    1| 1928.640   pc  |-112.7055   +112.7055  |paral   |2020yCat.1350....0G
6127|TYC 3607-2134-1                                                                                          |Star                                  |22 26 41.2776647352 +46 34 25.588909740|098.6423878753983 -09.3584698855495|  19.780 -5.943   |10.83    |~                  |    ~     ~    |    1|  283.857   pc  |  -1.0314     +1.0314  |paral   |2020yCat.1350....0G
6128|TYC 3607-2249-1                                                                                          |Star                                  |22 22 22.8065023608 +46 38 37.673383812|098.0494586138805 -08.9006956914854|  -4.028 -4.561   |10.97    |~                  |    ~     ~    |    1| 1848.771   pc  | -90.9175    +90.9175  |paral   |2020yCat.1350....0G
6129|TYC 3607-2252-1                                                                                          |High Proper Motion Star               |22 26 36.3506702208 +46 36 55.004547672|098.6526932280170 -09.3158294593710|  79.210 38.356   |10.91    |~                  |    ~     ~    |    1|  125.458   pc  |  -0.1967     +0.1967  |paral   |2020yCat.1350....0G
6130|TYC 3607-2392-1                                                                                          |Star                                  |22 21 10.4195295744 +46 02 15.062169804|097.5367639158614 -09.2939493404496|   2.763 -1.996   |10.76    |~                  |    ~     ~    |    1| 1876.525   pc  | -66.5534    +66.5534  |paral   |2020yCat.1350....0G
6131|TYC 3607-2497-1                                                                                          |Star                                  |22 27 23.3977827768 +46 45 18.091972404|098.8433799480367 -09.2689260569228|    0.580 0.842   |10.86    |~                  |    ~     ~    |    1| 2339.729   pc  | -77.1881    +77.1881  |paral   |2020yCat.1350....0G
6132|TYC 3607-2519-1                                                                                          |Star                                  |22 26 51.6427700088 +46 18 20.206245384|098.5231611892890 -09.6013014038124|   1.513 -1.568   |10.61    |~                  |    ~     ~    |    1|  493.681   pc  |  -6.5073     +6.5073  |paral   |2020yCat.1350....0G
6133|TYC 3607-2552-1                                                                                          |Star                                  |22 27 23.6256382056 +46 19 54.229146492|098.6163096693687 -09.6281029728867|    3.763 0.776   |9.49     |~                  |    ~     ~    |    1| 1104.606   pc  | -15.3740    +15.3740  |paral   |2020yCat.1350....0G
6134|TYC 3610-19-1                                                                                            |High Proper Motion Star               |22 18 07.9752101880 +48 16 37.129636164|098.3528658130123 -07.1422264580456| 11.160 -54.080   |10.50    |~                  |    ~     ~    |    1|  151.637   pc  |  -0.2667     +0.2667  |paral   |2020yCat.1350....0G
6135|TYC 3610-595-1                                                                                           |Star                                  |22 15 41.5680915960 +48 26 01.264957908|098.1028230135082 -06.7854664211040|  -7.552 -6.149   |10.90    |~                  |    ~     ~    |    1|  887.784   pc  |  -8.4333     +8.4333  |paral   |2020yCat.1350....0G
6136|TYC 3610-809-1                                                                                           |Star                                  |22 15 38.9184491472 +47 40 45.930802728|097.6682188973014 -07.4043076372994|  -1.694 -3.290   |10.93    |~                  |    ~     ~    |    1| 3145.643   pc  |-149.4156   +149.4156  |paral   |2020yCat.1350....0G
6137|TYC 3610-941-1                                                                                           |Spectroscopic Binary                  |22 16 59.4986313240 +47 59 12.499821204|098.0303641365170 -07.2767418136528| -4.914 -11.350   |10.83    |~                  |    ~     ~    |    1| 1180.080   pc  | -33.9792    +33.9792  |paral   |2020yCat.1350....0G
6138|TYC 3610-990-1                                                                                           |Star                                  |22 16 10.5824011992 +48 21 25.217700948|098.1262132489893 -06.8940202359285|  -5.866 -7.735   |10.89    |~                  |    ~     ~    |    1| 1242.390   pc  | -19.9116    +19.9116  |paral   |2020yCat.1350....0G
6139|TYC 3610-1219-1                                                                                          |Star                                  |22 15 26.6271561504 +47 45 48.520074312|097.6873759371172 -07.3154769338712|   7.980 -3.470   |10.92    |~                  |    ~     ~    |    1| 1123.974   pc  | -13.6438    +13.6438  |paral   |2020yCat.1350....0G
6140|TYC 3610-1353-1                                                                                          |Star                                  |22 15 34.8454068096 +48 27 33.388965828|098.1018836562368 -06.7538561708885|  -2.940 -3.887   |10.85    |~                  |    ~     ~    |    1| 1898.614   pc  | -65.2457    +65.2457  |paral   |2020yCat.1350....0G
6141|TYC 3611-677-1                                                                                           |Star                                  |22 27 40.2492173568 +47 25 28.721080416|099.2433221564135 -08.7261233048450|    4.759 0.776   |10.73    |~                  |    ~     ~    |    1|  914.578   pc  | -10.2047    +10.2047  |paral   |2020yCat.1350....0G
6142|TYC 3611-909-1                                                                                           |Star                                  |22 19 27.5069098776 +48 15 00.143433936|098.5228933158537 -07.2869261268086|  -4.035 -4.636   |10.76    |~                  |    ~     ~    |    1|  839.208   pc  | -16.4799    +16.4799  |paral   |2020yCat.1350....0G
6143|TYC 3611-999-1                                                                                           |Star                                  |22 19 39.4777463472 +48 24 45.118989180|098.6411731045271 -07.1697295799071|   0.947 -3.054   |10.23    |~                  |    ~     ~    |    1| 1343.725   pc  | -16.4309    +16.4309  |paral   |2020yCat.1350....0G
6144|DO 41256                                                                                                 |Carbon Star                           |22 23 03.5956769880 +48 27 52.808876244|099.1462946672223 -07.4343997762092|  -0.392 -0.734   |10.94    |R                  |    ~     ~    |    1| 1985.309   pc  | -47.2974    +47.2974  |paral   |2020yCat.1350....0G
6145|TYC 3611-1131-1                                                                                          |Star                                  |22 21 00.9582001320 +48 26 32.226626724|098.8473748644423 -07.2686725471911|  19.477 17.697   |10.82    |~                  |    ~     ~    |    1|  653.808   pc  |  -4.8731     +4.8731  |paral   |2020yCat.1350....0G
6146|TYC 3611-1137-1                                                                                          |Star                                  |22 22 02.9482615056 +47 52 19.314752052|098.6787409479264 -07.8404510291825|-12.623 -15.405   |10.87    |~                  |    ~     ~    |    1|  356.913   pc  |  -6.6878     +6.6878  |paral   |2020yCat.1350....0G
6147|TYC 3611-1262-1                                                                                          |Star                                  |22 25 56.3402566992 +47 06 04.928428224|098.8176499370603 -08.8438701828583|    5.035 1.017   |10.65    |~                  |    ~     ~    |    1| 1479.290   pc  | -29.7609    +29.7609  |paral   |2020yCat.1350....0G
6148|TYC 3611-1291-1                                                                                          |Star                                  |22 25 28.3425014784 +47 26 39.884516664|098.9355255411664 -08.5116571313792|  -7.130 -5.226   |10.65    |~                  |    ~     ~    |    1| 1545.595   pc  | -34.3996    +34.3996  |paral   |2020yCat.1350....0G
6149|TYC 3611-1318-1                                                                                          |Star                                  |22 20 44.7012046416 +47 42 39.733691616|098.4047478050499 -07.8553989866062|    7.944 0.573   |10.72    |~                  |    ~     ~    |    1|  945.716   pc  |  -9.8382     +9.8382  |paral   |2020yCat.1350....0G
6150|TYC 3611-1736-1                                                                                          |High Proper Motion Star               |22 21 45.9331049856 +47 30 35.754052032|098.4388541962694 -08.1178627495441|-58.727 -25.228   |10.07    |~                  |    ~     ~    |    1|  175.064   pc  |  -0.8765     +0.8765  |paral   |2020yCat.1350....0G
6151|TYC 3611-1833-1                                                                                          |Star                                  |22 20 14.9064258960 +48 31 55.352327700|098.7898296459235 -07.1238592111058|   6.038 -3.076   |10.65    |~                  |    ~     ~    |    1|  914.829   pc  |  -8.9550     +8.9550  |paral   |2020yCat.1350....0G
6152|TYC 3611-1935-1                                                                                          |Star                                  |22 23 13.9532477064 +47 16 35.684411448|098.5210169294647 -08.4487457834515|   17.578 8.011   |9.86     |~                  |    ~     ~    |    1|  398.819   pc  |  -3.4356     +3.4356  |paral   |2020yCat.1350....0G
6153|TYC 3611-1950-1                                                                                          |Star                                  |22 21 59.8466070264 +46 58 20.683353612|098.1754229868619 -08.5896101359326|   0.328 -2.944   |10.30    |~                  |    ~     ~    |    1| 2020.610   pc  | -74.7164    +74.7164  |paral   |2020yCat.1350....0G
6154|TYC 3611-1990-1                                                                                          |Star                                  |22 21 12.0588848040 +47 06 51.813052920|098.1391695100227 -08.3965208429274|  -0.493 -3.096   |10.55    |~                  |    ~     ~    |    1| 1831.166   pc  | -58.0099    +58.0099  |paral   |2020yCat.1350....0G
6155|TYC 3611-2062-1                                                                                          |Star                                  |22 19 18.3995202216 +48 02 13.084382148|098.3828767733867 -07.4505069161291|   0.129 -3.749   |10.60    |~                  |    ~     ~    |    1|  955.201   pc  | -11.4051    +11.4051  |paral   |2020yCat.1350....0G
6156|TYC 3611-2076-1                                                                                          |Star                                  |22 24 02.3065018272 +47 52 41.361645792|098.9651294723578 -08.0161084010909|  -4.042 -2.485   |10.80    |~                  |    ~     ~    |    1| 1850.481   pc  | -42.1186    +42.1186  |paral   |2020yCat.1350....0G
6157|TYC 3611-2119-1                                                                                          |Star                                  |22 21 09.1885699392 +46 56 03.086967552|098.0323333932059 -08.5427151255480|    8.025 1.441   |10.44    |~                  |    ~     ~    |    1|  978.569   pc  | -10.7251    +10.7251  |paral   |2020yCat.1350....0G
6158|TYC 3611-2166-1                                                                                          |Star                                  |22 18 58.8781408440 +48 19 55.662514860|098.5019946049017 -07.1746416537464|  -4.828 -4.849   |10.92    |~                  |    ~     ~    |    1| 2354.049   pc  | -68.1610    +68.1610  |paral   |2020yCat.1350....0G
6159|TYC 3611-2193-1                                                                                          |Star                                  |22 21 12.2660895000 +46 56 28.329321696|098.0436257160285 -08.5416569388575| -19.867 11.168   |10.94    |~                  |    ~     ~    |    1|  184.030   pc  |  -0.7281     +0.7281  |paral   |2020yCat.1350....0G
6160|TYC 3614-1105-1                                                                                          |Star                                  |22 16 10.7100687432 +50 35 33.404173188|099.3873880898196 -05.0434205870121|  -4.762 -1.037   |10.57    |~                  |    ~     ~    |    1| 1816.201   pc  | -53.7669    +53.7669  |paral   |2020yCat.1350....0G
6161|TYC 3615-61-1                                                                                            |Star                                  |22 27 15.8519580624 +50 13 51.692106144|100.6795824161947 -06.3068214713217|  -6.991 -5.187   |10.49    |K4:III:            |    ~     ~    |    1| 2117.298   pc  | -67.2443    +67.2443  |paral   |2020yCat.1350....0G
6162|TYC 3615-1402-1                                                                                          |Star                                  |22 22 20.5268532168 +50 24 35.994951756|100.1079321558107 -05.7357525627832|   2.433 -2.204   |10.11    |~                  |    ~     ~    |    1| 1005.935   pc  | -11.2321    +11.2321  |paral   |2020yCat.1350....0G
6163|TYC 3615-1403-1                                                                                          |Star                                  |22 20 51.4400226624 +49 33 44.580081924|099.4426802055405 -06.3168981136125|    8.463 1.695   |10.89    |~                  |    ~     ~    |    1| 1162.385   pc  | -14.5923    +14.5923  |paral   |2020yCat.1350....0G
6164|TYC 3615-1472-1                                                                                          |Star                                  |22 19 20.1526069560 +50 18 51.463236780|099.6518584285015 -05.5540020458690|   2.039 -2.407   |10.87    |~                  |    ~     ~    |    1| 1025.431   pc  | -15.9829    +15.9829  |paral   |2020yCat.1350....0G
6165|TYC 3615-1487-1                                                                                          |Star                                  |22 23 35.7898080984 +48 50 50.638701876|099.4299539510236 -07.1602279361933|  -2.248 -1.277   |10.85    |~                  |    ~     ~    |    1|  871.308   pc  |  -7.7436     +7.7436  |paral   |2020yCat.1350....0G
6166|TYC 3615-1961-1                                                                                          |Star                                  |22 23 50.9293294944 +49 00 57.284693820|099.5566403343332 -07.0406045147079|    6.965 0.565   |10.82    |~                  |    ~     ~    |    1|  410.627   pc  | -12.5112    +12.5112  |paral   |2020yCat.1350....0G
6167|TYC 3615-2029-1                                                                                          |Star                                  |22 24 01.9862273592 +48 56 46.596127560|099.5445586898427 -07.1155686438709|  8.359 -11.058   |10.35    |~                  |    ~     ~    |    1|  308.290   pc  |  -1.3021     +1.3021  |paral   |2020yCat.1350....0G
6168|TYC 3615-2080-1                                                                                          |Star                                  |22 20 47.7083084904 +50 12 42.562751004|099.7912866412061 -05.7676320373743|    8.116 1.797   |10.15    |~                  |    ~     ~    |    1|  679.995   pc  |  -5.9649     +5.9649  |paral   |2020yCat.1350....0G
6169|TYC 3615-2216-1                                                                                          |Star                                  |22 19 43.7744345232 +50 26 12.037100604|099.7721655191703 -05.4863446402994|  -4.227 -5.681   |10.56    |~                  |    ~     ~    |    1| 2312.673   pc  |-107.5040   +107.5040  |paral   |2020yCat.1350....0G
6170|TYC 3615-2234-1                                                                                          |Star                                  |22 19 24.0607287096 +49 58 42.754250928|099.4747380970126 -05.8399674637168|  -1.913 -2.621   |10.17    |~                  |    ~     ~    |    1|  429.498   pc  |  -2.8593     +2.8593  |paral   |2020yCat.1350....0G
6171|TYC 3615-2474-1                                                                                          |Star                                  |22 22 30.6628429224 +50 16 34.095403596|100.0578476822505 -05.8628838915815|  -3.835 -3.685   |10.79    |~                  |    ~     ~    |    1| 1874.766   pc  | -44.9888    +44.9888  |paral   |2020yCat.1350....0G
6172|TYC 3615-2534-1                                                                                          |Star                                  |22 20 23.6391883392 +50 28 56.708106816|099.8861969894185 -05.5061043788112|  -2.120 -5.426   |10.90    |~                  |    ~     ~    |    1| 2167.317   pc  | -76.0957    +76.0957  |paral   |2020yCat.1350....0G
6173|TYC 3615-2601-1                                                                                          |Star                                  |22 22 14.9408685264 +49 12 38.514688560|099.4409058317563 -06.7351936850161|  -1.501 -2.433   |10.60    |~                  |    ~     ~    |    1| 1432.460   pc  | -38.9869    +38.9869  |paral   |2020yCat.1350....0G
6174|TYC 3615-2733-1                                                                                          |Star                                  |22 23 58.8873116112 +49 30 17.982665100|099.8400053109629 -06.6399626923062|    1.435 0.320   |10.28    |~                  |    ~     ~    |    1|  528.039   pc  |  -4.7958     +4.7958  |paral   |2020yCat.1350....0G
6175|TYC 3615-2818-1                                                                                          |Star                                  |22 20 18.0744992736 +50 23 34.474815600|099.8245289235649 -05.5729061575637|  -6.961 -7.294   |10.94    |~                  |    ~     ~    |    1|  710.429   pc  |  -8.1763     +8.1763  |paral   |2020yCat.1350....0G
6176|TYC 3615-2821-1                                                                                          |Star                                  |22 21 03.9549060720 +49 51 31.198359564|099.6339450316681 -06.0871910670481|  -4.064 -4.019   |10.65    |~                  |    ~     ~    |    1| 1426.737   pc  | -22.7985    +22.7985  |paral   |2020yCat.1350....0G
6177|TYC 3615-2877-1                                                                                          |Star                                  |22 18 51.6477543720 +50 25 02.543189160|099.6454781330125 -05.4262347104905|  -6.040 -2.559   |10.67    |~                  |    ~     ~    |    1|  817.795   pc  |  -9.8981     +9.8981  |paral   |2020yCat.1350....0G
6178|TYC 3615-2965-1                                                                                          |Star                                  |22 23 24.0550091328 +49 40 50.835534492|099.8554563065705 -06.4411712221338|  -8.158 -2.342   |10.36    |~                  |    ~     ~    |    1|  790.264   pc  |  -7.5567     +7.5567  |paral   |2020yCat.1350....0G
6179|TYC 3618-218-1                                                                                           |Star                                  |22 18 41.5754759136 +51 48 11.952444780|100.3911266761964 -04.2559651161335|  -0.519 -3.697   |10.96    |~                  |    ~     ~    |    0|                |                       |        |                   
6180|TYC 3618-491-1                                                                                           |Star                                  |22 16 08.6375821824 +52 29 18.215063268|100.4465102901115 -03.4690876611099| -17.265 -7.068   |10.42    |~                  |    ~     ~    |    1| 1151.808   pc  | -14.0626    +14.0626  |paral   |2020yCat.1350....0G
6181|TYC 3618-1289-2                                                                                          |Star                                  |22 18 25.6017382728 +52 01 16.815964044|100.4774800903765 -04.0515156805345|   4.054 -2.265   |10.50    |~                  |    ~     ~    |    1|  243.410   pc  |  -0.9598     +0.9598  |paral   |2020yCat.1350....0G
6182|TYC 3618-2077-1                                                                                          |Star                                  |22 16 26.4641095128 +52 00 17.578036116|100.2136301364192 -03.8955159486950|   9.493 -4.432   |10.88    |~                  |    ~     ~    |    1|  476.417   pc  |  -3.2003     +3.2003  |paral   |2020yCat.1350....0G
6183|TYC 3618-2918-1                                                                                          |Star                                  |22 16 24.8173181592 +50 44 54.701994048|099.5059642922201 -04.9350523275854|   1.459 -5.587   |10.65    |~                  |    ~     ~    |    1| 1122.209   pc  | -22.4165    +22.4165  |paral   |2020yCat.1350....0G
6184|TYC 3618-3755-1                                                                                          |Star                                  |22 15 18.2432307384 +51 01 47.735300424|099.5189215500704 -04.6039367472702|-10.858 -10.967   |9.94     |~                  |    ~     ~    |    1|  785.053   pc  |  -6.9026     +6.9026  |paral   |2020yCat.1350....0G
6185|TYC 3618-3772-1                                                                                          |Star                                  |22 15 19.0643955648 +51 19 04.806292548|099.6831526561142 -04.3669027601560|  -0.862 -4.575   |10.87    |~                  |    ~     ~    |    1| 1292.491   pc  | -27.5638    +27.5638  |paral   |2020yCat.1350....0G
6186|TYC 3618-3864-2                                                                                          |Star                                  |22 15 24.0071571168 +51 03 26.974596672|099.5469964513664 -04.5896267870360|   7.912 -0.057   |10.91    |~                  |    ~     ~    |    1|  362.700   pc  |  -2.8415     +2.8415  |paral   |2020yCat.1350....0G
6187|TYC 3618-3903-1                                                                                          |Star                                  |22 15 43.1752589904 +50 51 38.922888996|099.4779342743691 -04.7806146679994|  -5.967 -3.855   |10.44    |~                  |    ~     ~    |    1| 2177.226   pc  | -59.2539    +59.2539  |paral   |2020yCat.1350....0G
6188|TYC 3618-3975-1                                                                                          |Star                                  |22 15 21.3329639184 +51 07 26.903251956|099.5787673098210 -04.5305694106896|  -4.860 -3.469   |10.67    |~                  |    ~     ~    |    1| 2295.157   pc  | -74.2752    +74.2752  |paral   |2020yCat.1350....0G
6189|TYC 3618-4096-1                                                                                          |Star                                  |22 15 24.2646050136 +50 49 11.345610540|099.4135176416723 -04.7865840658949|   5.095 -1.355   |10.53    |~                  |    ~     ~    |    1|  984.931   pc  | -12.0291    +12.0291  |paral   |2020yCat.1350....0G
6190|TYC 3619-252-1                                                                                           |Star                                  |22 22 20.9543279472 +52 10 59.778907788|101.0719915426516 -04.2450563125948|  -2.188 -2.056   |10.59    |~                  |    ~     ~    |    1| 1476.015   pc  | -25.7077    +25.7077  |paral   |2020yCat.1350....0G
6191|TYC 3619-465-1                                                                                           |Star                                  |22 23 31.7166466080 +51 37 33.625930008|100.9244975294175 -04.8125199065139|  -4.688 -4.825   |10.93    |~                  |    ~     ~    |    1| 2981.515   pc  |-110.2289   +110.2289  |paral   |2020yCat.1350....0G
